Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,40.625,40.625,38.5625,38.6875,675200,4.156531
2000-01-04,38.9375,39.375,38.625,38.6875,613600,4.156531
2000-01-05,38.875,39.5,38.75,38.875,428000,4.1766760000000005
2000-01-06,38.875,38.9375,38.25,38.375,706400,4.1229569999999995
2000-01-07,38.4375,39.5,38.4375,39.4375,3228800,4.2371099999999995
2000-01-10,39.5,39.75,38.8125,39.0,889600,4.190106
2000-01-11,39.0,39.5,38.875,38.875,2004000,4.1766760000000005
2000-01-12,38.9375,39.25,38.75,38.8125,694400,4.169961
2000-01-13,39.0625,39.1875,38.9375,39.0625,602400,4.196821
2000-01-14,39.125,39.25,38.75,38.75,864800,4.163246
2000-01-18,38.875,38.875,37.8125,38.0625,904800,4.089382
2000-01-19,38.0,38.1875,37.25,37.625,843200,4.042378
2000-01-20,37.8125,37.9375,37.375,37.4375,1096000,4.022233
2000-01-21,37.5,37.875,37.375,37.375,1508000,4.015518
2000-01-24,37.875,37.875,36.5,36.5625,1733600,3.9282239999999997
2000-01-25,36.625,36.625,35.1875,35.6875,1386400,3.834215
2000-01-26,35.5625,36.0,35.25,35.5,764000,3.8140709999999998
2000-01-27,35.5,35.75,34.5,34.75,1005600,3.733492
2000-01-28,34.5625,34.5625,33.5625,33.8125,1021600,3.648517
2000-01-31,34.0,34.625,33.3125,33.625,1460000,3.628285
2000-02-01,33.875,33.875,31.25,32.4375,3586400,3.5001480000000003
2000-02-02,32.75,33.125,32.25,32.5,2112000,3.5068919999999997
2000-02-03,33.0,34.0,32.875,33.5,1642400,3.6147970000000003
2000-02-04,33.75,34.25,33.0,33.125,574400,3.574333
2000-02-07,33.0,33.125,32.5625,32.6875,672800,3.5271239999999997
2000-02-08,32.875,33.5,32.5,33.0,1793600,3.5608449999999996
2000-02-09,33.0,33.5,33.0,33.3125,1509600,3.5945650000000002
2000-02-10,33.0625,34.0625,33.0625,33.625,2168800,3.628285
2000-02-11,33.875,34.0625,33.3125,33.3125,1455200,3.5945650000000002
2000-02-14,33.25,34.0,33.0625,33.6875,1676000,3.6350290000000003
2000-02-15,33.8125,34.125,33.3125,34.0,1344800,3.6687489999999996
2000-02-16,33.875,33.9375,32.9375,32.9375,1183200,3.554101
2000-02-17,33.125,33.125,32.125,32.1875,1260000,3.473172
2000-02-18,32.4375,32.4375,31.4375,31.4375,1137600,3.3922440000000003
2000-02-22,31.5,31.5,31.0625,31.5,1024000,3.3989879999999997
2000-02-23,31.4375,31.4375,30.75,31.0,901600,3.345036
2000-02-24,30.75,30.8437,29.75,30.0625,931200,3.243875
2000-02-25,30.3125,31.0,29.75,31.0,1556000,3.345036
2000-02-28,30.9375,31.1875,30.125,31.0625,770400,3.35178
