Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,31.125,31.125,30.5,30.6875,59900,14.019875
2000-01-04,30.6875,30.75,30.125,30.1875,95800,13.791445000000001
2000-01-05,30.1875,30.5625,30.125,30.4375,101000,13.905660000000001
2000-01-06,30.5625,31.125,30.3125,31.0,143100,14.162644
2000-01-07,30.9375,32.25,30.9375,32.125,139000,14.67661
2000-01-10,32.125,32.4375,31.9375,32.375,189100,14.790825
2000-01-11,32.375,32.4375,31.875,32.0625,85300,14.648057000000001
2000-01-12,32.1875,32.1875,31.4375,31.5625,61100,14.419626999999998
2000-01-13,31.5625,31.8125,31.5,31.75,40800,14.505288
2000-01-14,31.625,31.875,31.25,31.5625,64400,14.419626999999998
2000-01-18,31.625,31.625,31.125,31.25,73000,14.276857999999999
2000-01-19,31.125,31.375,31.0,31.25,100500,14.276857999999999
2000-01-20,31.0625,31.3125,30.8125,30.875,158700,14.105535999999999
2000-01-21,30.875,31.0,30.25,30.5625,272300,13.962767999999999
2000-01-24,30.75,31.0,30.4375,30.4375,117100,13.905660000000001
2000-01-25,30.6875,30.75,30.4375,30.5625,135300,13.962767999999999
2000-01-26,30.5,31.0,30.5,30.6875,119700,14.019875
2000-01-27,30.625,30.6875,30.5,30.5625,118600,13.962767999999999
2000-01-28,30.5625,30.6875,30.125,30.4375,228200,13.905660000000001
2000-01-31,30.5,30.5,30.0,30.0,127900,13.705784
2000-02-01,30.125,30.4375,29.0,29.8125,2240200,13.620123000000001
2000-02-02,30.125,30.125,29.75,29.9375,428800,13.677229999999998
2000-02-03,30.0,30.25,29.9375,30.1875,149400,13.791445000000001
2000-02-04,30.125,30.5625,29.875,29.9375,506300,13.677229999999998
2000-02-07,29.875,30.1875,29.625,30.0,105800,13.705784
2000-02-08,30.0,30.5625,29.9375,30.5625,76500,13.962767999999999
2000-02-09,30.3125,30.9375,30.3125,30.5625,91700,13.962767999999999
2000-02-10,30.4375,30.5625,30.25,30.3125,68600,13.848552999999999
2000-02-11,30.4375,30.625,29.9375,30.0625,84900,13.734338000000001
2000-02-14,30.125,30.3125,30.0,30.125,124600,13.762892
2000-02-15,30.375,30.375,29.9375,30.0,153100,13.705784
2000-02-16,30.0,30.1875,30.0,30.1875,102300,13.791445000000001
2000-02-17,30.25,30.625,30.25,30.5,144900,13.934214
2000-02-18,30.25,30.4375,29.875,30.125,80000,13.762892
2000-02-22,29.9375,30.1875,29.875,30.0625,93400,13.734338000000001
2000-02-23,30.1875,30.375,30.0,30.375,73300,13.877106
2000-02-24,30.375,30.5,30.375,30.4375,45500,13.905660000000001
2000-02-25,30.5,30.625,30.375,30.5,113900,13.934214
2000-02-28,30.5,30.5,30.3125,30.375,83000,13.877106
2000-02-29,30.5,30.5625,30.3125,30.3125,105900,13.848552999999999
2000-03-01,30.5,30.5,30.3125,30.375,84800,13.877106
2000-03-02,30.3125,30.5,30.3125,30.375,64200,13.877106
2000-03-03,30.375,30.5,30.375,30.375,160000,13.877106
2000-03-06,30.3125,30.5,30.25,30.3125,60600,13.848552999999999
2000-03-07,30.125,30.3125,29.5625,29.875,97100,13.648677
2000-03-08,29.6875,30.125,29.6875,30.0,49100,13.705784
2000-03-09,30.1875,30.6875,30.1875,30.4375,113500,13.905660000000001
2000-03-10,30.4375,30.5,30.125,30.375,132000,13.877106
2000-03-13,29.9375,30.125,29.75,30.0,53100,13.705784
2000-03-14,30.0,30.375,30.0,30.375,51900,13.877106
2000-03-15,30.4375,30.75,30.125,30.625,337200,13.991321
2000-03-16,30.5,31.0,30.5,30.875,102900,14.105535999999999
2000-03-17,30.75,31.125,30.625,31.0,84200,14.162644
2000-03-20,31.0,31.25,30.9375,31.25,149400,14.276857999999999
2000-03-21,31.4375,31.4375,31.0625,31.25,124400,14.276857999999999
2000-03-22,31.25,31.375,31.125,31.25,107100,14.276857999999999
2000-03-23,31.1875,31.5625,31.125,31.25,142700,14.276857999999999
2000-03-24,31.375,31.375,31.0625,31.25,119900,14.276857999999999
2000-03-27,31.375,31.4375,31.1875,31.3125,87100,14.305411999999999
2000-03-28,31.25,31.5,31.25,31.4375,188000,14.362520000000002
2000-03-29,31.0,31.3125,31.0,31.25,34700,14.484187
2000-03-30,31.5,31.625,31.25,31.5,218000,14.600060000000001
2000-03-31,31.5,31.8125,31.4375,31.8125,156600,14.744902
2000-04-03,31.6875,32.0625,31.5,31.75,272400,14.715933999999999
2000-04-04,31.9375,32.25,31.8125,32.0,324600,14.831807000000001
2000-04-05,32.0,32.5,32.0,32.4375,243100,15.034586
2000-04-06,32.5625,34.4375,32.5625,34.125,224400,15.816732
2000-04-07,34.0625,34.3125,33.5625,34.25,180000,15.874669
2000-04-10,34.25,34.4375,34.0625,34.4375,91000,15.961573999999999
2000-04-11,34.625,34.625,34.25,34.3125,125100,15.903637
2000-04-12,34.1875,34.5,34.1875,34.5,141900,15.990542000000001
2000-04-13,34.5,34.75,34.0,34.375,325400,15.932604999999999
2000-04-14,34.5,34.5,33.875,34.0,185600,15.758795000000001
2000-04-17,33.8125,34.25,33.8125,34.0,139400,15.758795000000001
2000-04-18,34.0,34.125,33.8125,34.125,141200,15.816732
2000-04-19,34.125,34.25,33.9375,34.1875,185500,15.8457
2000-04-20,34.125,34.3125,34.125,34.1875,52700,15.8457
2000-04-24,34.1875,34.375,34.125,34.375,115100,15.932604999999999
2000-04-25,34.75,34.75,34.1875,34.3125,161800,15.903637
2000-04-26,34.625,35.1875,34.5625,35.0,349100,16.222289
2000-04-27,35.0,35.125,34.8125,35.0,112500,16.222289
2000-04-28,35.0,35.1875,34.875,34.875,189400,16.164351999999997
2000-05-01,35.0,35.4375,34.5625,35.375,259100,16.396099
2000-05-02,35.375,36.75,35.375,36.1875,558200,16.772688
2000-05-03,36.125,36.25,35.9375,36.0,349500,16.685782999999997
2000-05-04,36.125,36.1875,35.5625,36.0,258500,16.685782999999997
2000-05-05,35.9375,36.25,35.875,36.125,266000,16.74372
2000-05-08,36.0625,36.3125,35.9375,36.3125,181500,16.830625
2000-05-09,36.1875,36.5,36.0,36.375,315900,16.859593
2000-05-10,36.1875,36.4375,36.1875,36.3125,136700,16.830625
2000-05-11,36.5,36.5,36.25,36.4375,138100,16.888562
2000-05-12,36.375,36.6875,36.375,36.625,128700,16.975467000000002
2000-05-15,36.625,36.6875,36.125,36.25,389400,16.801657000000002
2000-05-16,36.1875,36.25,36.0625,36.1875,154500,16.772688
