Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,46.0,47.125,45.25,46.875,1532600,32.064783
2000-01-04,47.5,47.5625,46.1875,46.3125,1061600,31.680006
2000-01-05,46.3125,48.5625,46.3125,47.875,1674400,32.748832
2000-01-06,47.8125,49.3125,47.125,48.5625,1437300,33.219116
2000-01-07,47.0,48.5625,47.0,48.0,1813900,32.834338
2000-01-10,48.5,50.8125,48.4375,50.125,1888900,34.287942
2000-01-11,50.0625,50.5625,49.5625,50.5,1161700,34.54446
2000-01-12,50.375,50.4375,48.0625,48.1875,1642100,32.962596999999995
2000-01-13,48.1875,50.4375,48.0,50.0,1667000,34.202436
2000-01-14,49.75,51.25,49.5,50.5625,1841200,34.587213
2000-01-18,49.5,50.25,49.375,50.0,1199900,34.202436
2000-01-19,50.0,51.125,49.875,50.25,1419200,34.373447999999996
2000-01-20,50.5625,50.875,49.1875,49.1875,628600,33.646646000000004
2000-01-21,50.625,50.625,46.0,46.625,1776500,31.893771
2000-01-24,46.0,46.0,42.75,43.125,4527700,29.499601000000002
2000-01-25,43.25,44.0625,41.875,42.25,3590500,28.901058000000003
2000-01-26,42.375,45.25,41.875,43.9375,3154800,30.055390000000003
2000-01-27,42.5,43.75,42.3125,42.75,2367700,29.243082
2000-01-28,42.5,44.5,42.0,44.5,3433600,30.440168
2000-01-31,44.5,45.5,43.75,45.0625,2468500,30.824945
2000-02-01,45.0625,45.4375,44.25,45.0625,1648400,30.824945
2000-02-02,46.0,46.0,44.75,45.0,1648300,30.782192
2000-02-03,44.875,47.625,44.625,47.25,1303700,32.321302
2000-02-04,48.25,48.3125,46.125,46.625,1572600,31.893771
2000-02-07,46.625,46.6875,42.75,43.0625,1274900,29.456847999999997
2000-02-08,44.25,44.25,40.5,42.75,3870000,29.243082
2000-02-09,42.5625,43.3125,42.375,42.9375,1551500,29.371342
2000-02-10,42.875,42.875,41.75,42.0625,900700,28.772799
2000-02-11,43.0,43.0,39.625,40.375,1116800,27.618467
2000-02-14,40.5,40.625,34.375,35.5,5839900,24.283729
2000-02-15,35.5,36.0,33.9375,34.0,6539600,23.257656
2000-02-16,33.75,33.75,31.25,31.875,5904300,21.804053
2000-02-17,32.25,33.6875,30.9375,31.1875,4628200,21.333769
2000-02-18,31.6875,32.25,30.5625,31.0625,3899700,21.248263
2000-02-22,30.9375,31.625,30.25,30.4375,2411700,20.820732999999997
2000-02-23,30.25,30.3125,29.0625,29.625,2496000,20.264943
2000-02-24,30.125,30.125,27.25,28.0,3625100,19.221491
