Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,40.0,40.0,38.875,39.125,1029600,7.437908999999999
2000-01-04,38.5,38.5,37.8125,37.8125,805600,7.188394000000001
2000-01-05,37.5,37.75,37.0625,37.3125,809600,7.093341000000001
2000-01-06,37.0,37.5,37.0,37.5,1070800,7.128986
2000-01-07,37.5625,38.0,37.1875,38.0,554800,7.224039
2000-01-10,38.25,39.875,38.0,39.6875,300800,7.544842999999999
2000-01-11,39.5,39.875,38.8125,39.0625,247600,7.426027
2000-01-12,39.125,39.875,39.0,39.375,482800,7.485435000000001
2000-01-13,39.25,39.875,39.25,39.75,122800,7.556725
2000-01-14,39.5,40.125,39.4375,40.0,304000,7.604252000000001
2000-01-18,39.8125,40.0,39.625,39.6875,208000,7.544842999999999
2000-01-19,39.5625,40.9375,39.5,40.875,353200,7.770595
2000-01-20,40.8125,40.8125,40.1875,40.4375,262400,7.687423
2000-01-21,40.4062,40.4062,39.25,39.3125,538000,7.473553
2000-01-24,39.5,41.375,39.25,41.1875,606000,7.830003
2000-01-25,41.125,42.0625,40.1875,40.5,1126800,7.699305000000001
2000-01-26,40.875,40.875,39.5625,40.75,794800,7.746830999999999
2000-01-27,40.75,40.75,39.875,39.9375,111600,7.59237
2000-01-28,39.875,41.5,39.75,41.5,488400,7.889411
2000-01-31,41.0625,42.125,40.0,40.6875,376000,7.73495
2000-02-01,40.75,41.25,39.375,41.25,411200,7.841883999999999
2000-02-02,40.7812,43.0,40.5,42.5625,793600,8.091399000000001
2000-02-03,42.5625,42.625,42.0,42.5,184000,8.079517
2000-02-04,42.5,43.0625,42.3125,42.8125,290400,8.138925
2000-02-07,42.625,43.5,42.046799,43.5,422400,8.269624
2000-02-08,43.5,45.25,43.4375,44.1875,686000,8.400322000000001
2000-02-09,44.25,49.0,44.25,47.875,1471200,9.101339
2000-02-10,48.25,48.375,47.125,47.1875,696000,8.97064
2000-02-11,47.625,47.625,43.5625,43.5625,972800,8.281505000000001
2000-02-14,44.125,44.25,41.75,43.25,484400,8.222097
2000-02-15,43.25,43.5,41.125,41.75,718000,7.9369380000000005
2000-02-16,42.25,42.875,42.234299,42.625,266800,8.103280999999999
2000-02-17,42.7187,42.9375,41.875,42.125,282400,8.008227
2000-02-18,42.5,42.5,40.75,40.75,224000,7.746830999999999
2000-02-22,40.625,42.125,40.0,41.5,488800,7.889411
2000-02-23,44.5,46.25,43.875,44.6875,2728000,8.495375
2000-02-24,44.5,46.5,44.375,45.25,1463200,8.602310000000001
2000-02-25,45.375,46.375,45.25,45.9062,938400,8.727057
2000-02-28,46.0,50.125,45.5625,49.5,1347600,9.410261
2000-02-29,49.5,51.375,48.875,51.0,11688800,9.695421000000001
2000-03-01,50.4062,50.5625,49.8125,50.25,3234000,9.552841
2000-03-02,50.375,50.4375,49.625,49.6562,2401600,9.439956
2000-03-03,50.0,50.046799,49.5625,49.625,1906000,9.434025
2000-03-06,49.6875,49.6875,49.5,49.5625,714800,9.437357
2000-03-07,49.5,50.9375,49.375,50.9375,859200,9.699175
2000-03-08,50.375,51.875,50.375,50.875,812000,9.687274
2000-03-09,51.25,51.25,50.375,50.375,338400,9.592068
2000-03-10,50.375,50.4375,49.375,49.4375,488000,9.413555
2000-03-13,49.25,49.25,47.5,48.625,560400,9.258844
2000-03-14,48.625,48.875,43.375,46.0625,1622000,8.77091
2000-03-15,46.25,46.5,45.375,45.4375,2358400,8.651902
2000-03-16,45.625,46.0,42.875,44.0625,1012400,8.390084
2000-03-17,42.2187,43.0625,41.6875,41.6875,960400,7.937852
2000-03-20,43.375,43.5,40.0,40.125,976400,7.640332000000001
2000-03-21,40.625,41.125,39.3125,41.0625,604800,7.818844
2000-03-22,41.5625,42.0625,41.125,42.0625,574800,8.009257
2000-03-23,42.0,42.25,41.6875,42.0625,1060000,8.009257
2000-03-24,42.5,42.5,42.0,42.0,573600,7.997357000000001
2000-03-27,42.375,42.375,41.4375,41.875,228000,7.973555
2000-03-28,41.9687,42.0625,41.875,41.875,491600,7.973555
2000-03-29,41.875,42.125,40.25,40.5,425600,7.711736999999999
2000-03-30,40.625,42.125,39.5,39.5625,551200,7.533224000000001
2000-03-31,40.125,40.875,37.25,37.25,2133200,7.092894
2000-04-03,38.0,38.25,34.3125,35.0,711600,6.664464
2000-04-04,35.5625,43.375,35.0,40.375,3248000,7.687935
2000-04-05,39.75,41.375,38.75,39.375,2910400,7.497522
2000-04-06,39.5,42.125,39.0625,40.375,540000,7.687935
2000-04-07,41.0625,43.8125,40.625,43.4375,763200,8.271075999999999
2000-04-10,42.875,44.0,41.6875,41.6875,771600,7.937852
2000-04-11,41.5625,45.125,40.625,42.125,438400,8.021158
2000-04-12,42.125,46.25,42.125,46.0,639600,8.75901
2000-04-13,46.0,46.125,43.875,44.0625,713200,8.390084
2000-04-14,43.8125,43.8125,38.75,41.25,308400,7.854547
2000-04-17,41.0,42.0,38.4375,41.3125,1004000,7.866447
2000-04-18,41.25,47.5,41.0625,45.0,1580400,8.568596000000001
2000-04-19,45.6875,47.0,43.75,46.9062,599200,8.931562
2000-04-20,47.0,49.1875,45.9375,48.0,1030000,9.139836
2000-04-24,48.0,49.9375,47.4375,48.875,724400,9.306448
2000-04-25,49.25,49.5625,47.5,49.4375,299200,9.413555
2000-04-26,49.75,49.75,48.0,48.1875,256800,9.175539
2000-04-27,47.75,49.6875,46.75,49.25,384400,9.377853
2000-04-28,49.4375,50.125,48.875,50.0,654400,9.520663
2000-05-01,49.75,51.0,49.75,50.375,1045200,9.592068
2000-05-02,50.0,50.6875,49.75,50.625,547200,9.639671
2000-05-03,50.5,50.75,46.0,47.375,508400,9.020828
2000-05-04,48.125,50.75,47.5,48.375,1424400,9.211241000000001
2000-05-05,48.625,52.25,48.375,51.875,1543600,9.877687
2000-05-08,52.1875,52.1875,50.75,51.625,564000,9.830084
2000-05-09,51.625,53.0,50.875,51.8125,1727600,9.865787
2000-05-10,52.0,52.75,51.25,51.4375,568400,9.794382
2000-05-11,51.5625,52.25,51.4375,51.75,902000,9.853886
2000-05-12,51.75,52.375,51.5,51.7187,440400,9.847926
2000-05-15,51.5,51.6875,50.6875,51.6875,226400,9.841985000000001
2000-05-16,51.75,52.5,48.75,48.75,477200,9.282646000000002
2000-05-17,49.125,49.1875,45.1875,45.6875,640000,8.699505
2000-05-18,46.125,46.125,43.375,44.375,540000,8.449588
2000-05-19,43.0,44.125,42.625,44.125,398400,8.401985
2000-05-22,43.5625,44.625,39.875,44.4375,872400,8.461489
2000-05-23,44.75,49.5625,42.5,47.625,1327200,9.068431
2000-05-24,47.125,48.0,46.390598,47.3125,495200,9.008927
2000-05-25,48.3125,48.5,45.75,46.0,928400,8.75901
2000-05-26,45.875,46.75,45.8125,46.0,1017600,8.75901
2000-05-30,46.625,46.625,44.125,45.375,598000,8.640001
2000-05-31,45.375,46.4375,44.9375,44.9375,372800,8.556695
2000-06-01,45.375,48.1875,45.25,47.8125,236800,9.104134
2000-06-02,48.375,48.75,46.0,46.0,400400,8.75901
2000-06-05,46.3125,46.375,44.0625,45.5625,732800,8.675704
2000-06-06,45.2812,46.3125,44.8125,45.0312,704000,8.574537
2000-06-07,45.25,45.375,44.5,44.875,718400,8.544795
2000-06-08,44.5,44.5,42.1875,43.125,973600,8.226237
2000-06-09,43.625,43.75,42.3125,43.2187,965600,8.244110000000001
2000-06-12,43.5,47.875,43.3125,46.375,416000,8.846185
2000-06-13,46.25,47.0,45.5,46.875,314400,8.941561
2000-06-14,46.875,48.375,45.6875,47.0625,324800,8.977328
2000-06-15,47.0,47.25,45.4375,46.8125,409200,8.929639
2000-06-16,47.125,49.75,46.8125,47.25,1404800,9.013094
2000-06-19,47.5,47.625,44.75,46.0,243200,8.774652
2000-06-20,46.125,46.125,44.0,44.0625,1064800,8.405068
2000-06-21,44.125,44.25,41.75,42.5,708400,8.107016
2000-06-22,42.5625,43.125,41.5,41.5,769200,7.916262
2000-06-23,42.75,43.125,41.5,41.75,632000,7.963951
2000-06-26,42.0,42.375,40.875,41.75,790800,7.963951
2000-06-27,41.625,42.125,40.9375,41.5625,756800,7.928184
2000-06-28,41.5,43.75,41.5,42.5,1437200,8.107016
