Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,91.0625,91.0625,87.9375,89.0,6057400,34.93039
2000-01-04,88.9375,89.125,83.9375,84.125,5722800,33.017068
2000-01-05,84.4375,85.875,83.6875,85.5625,7726400,33.581253000000004
2000-01-06,86.625,89.125,86.5,87.28119699999999,7221400,34.2558
2000-01-07,86.875,93.25,86.8125,93.0625,5164800,36.524825
2000-01-10,93.0625,95.0625,91.8125,95.0,4454000,37.285247999999996
2000-01-11,94.25,95.125,91.5,91.625,2955000,35.960640000000005
2000-01-12,93.125,94.5,89.875,91.5,4687400,35.911581
2000-01-13,92.5625,96.125,90.875,94.9375,5750800,37.260718
2000-01-14,48.125,50.25,48.0,49.0625,4571000,38.511736
2000-01-18,48.75,51.75,48.25,51.25,5932000,40.22882
2000-01-19,51.9375,53.125,50.125,51.875,4130500,40.719415000000005
2000-01-20,52.375,53.125,50.0,50.0,5551900,39.247628999999996
2000-01-21,51.4375,51.5,48.0,48.5,3520200,38.0702
2000-01-24,48.1875,51.25,46.5,47.0,5005500,36.892771
2000-01-25,47.5625,49.75,45.75,49.6875,3730800,39.002331
2000-01-26,49.125,52.0,48.6875,50.4375,3782800,39.591046
2000-01-27,50.5625,51.375,46.5,48.9375,3109600,38.413616999999995
2000-01-28,48.625,49.75,45.875,46.0,2834600,36.107819
2000-01-31,46.0625,49.5,45.0,48.9375,3249700,38.413616999999995
2000-02-01,49.3125,52.125,48.0,51.875,4530500,40.719415000000005
2000-02-02,52.0,54.0,51.0,53.9375,4945700,42.33838
2000-02-03,54.0,55.0,53.25,54.1875,4640800,42.534618
2000-02-04,54.75,55.1875,52.625,53.0,3273700,41.602486999999996
2000-02-07,52.0,52.25,51.0,51.25,2566700,40.22882
2000-02-08,51.9375,53.75,51.75,53.0625,2440700,41.651546
2000-02-09,52.0,53.0,51.4375,52.875,1466800,41.504368
2000-02-10,52.8125,52.875,51.875,52.125,2761800,40.915653000000006
2000-02-11,52.125,52.3125,51.0,51.6875,2071000,40.572237
2000-02-14,51.5625,51.625,50.0,50.75,1856300,39.836343
2000-02-15,50.0625,50.5,48.5,49.375,2675400,38.757034000000004
2000-02-16,49.1875,49.3125,46.375,47.75,4231600,37.481486
2000-02-17,48.0,48.0,43.5,44.0,6955400,34.537914
2000-02-18,43.75,45.9375,41.875,44.9375,6004200,35.273807
2000-02-22,44.8125,45.25,42.625,44.0,3769600,34.537914
2000-02-23,44.375,45.25,43.640598,44.5625,4267300,34.979449
2000-02-24,44.703098,45.0625,43.0,44.375,3990500,34.832271
2000-02-25,44.25,48.3437,43.75,47.5625,7698400,37.334307
2000-02-28,47.25,50.625,47.25,48.9375,6621300,38.413616999999995
2000-02-29,48.875,50.0,48.125,49.625,3681800,38.953272
2000-03-01,49.4375,49.8125,46.125,46.5,4624400,36.500295
2000-03-02,47.5625,51.875,47.5,49.625,7841800,38.953272
2000-03-03,50.1875,51.25,48.875,49.9375,2430500,39.198570000000004
2000-03-06,49.875,50.25,49.125,50.125,3419200,39.345748
2000-03-07,50.0312,50.0625,45.0,45.375,7506100,35.617222999999996
2000-03-08,46.3125,46.375,42.375,45.625,6526600,35.813462
2000-03-09,45.5,45.5625,43.6875,44.5625,4937300,34.979449
2000-03-10,44.6875,46.25,43.9375,44.125,4934000,34.636033000000005
2000-03-13,44.0,45.0,42.375,43.0,3747300,33.752961
2000-03-14,43.5,45.5,43.125,43.3125,2097100,33.998259000000004
2000-03-15,43.1875,50.5,43.0,49.8125,5515300,39.10045
2000-03-16,48.875,56.0625,48.25,55.953098,12820600,43.920528999999995
2000-03-17,54.75,54.875,52.25,53.9375,7765900,42.33838
2000-03-20,53.75,53.875,51.0,52.3125,3873800,41.062832
2000-03-21,52.125,53.25,52.0,52.1875,4335200,40.964713
2000-03-22,52.3125,55.0,52.125,52.875,5072800,41.504368
2000-03-23,52.75,54.0,52.0,53.625,2929400,42.093082
2000-03-24,53.8125,55.0625,53.3125,53.875,5254700,42.289320000000004
2000-03-27,53.25,54.625,52.75,53.4375,2459100,41.945904
2000-03-28,53.25,55.6875,50.25,51.125,6036600,40.130701
2000-03-29,51.1875,51.1875,49.4375,50.5,5350400,39.640105
2000-03-30,50.2812,52.3125,49.75,50.25,8942800,39.443867
2000-03-31,51.3125,52.75,49.5,52.5625,9953300,41.25907
2000-04-03,51.5,53.25,49.9375,52.5,4199700,41.21001
2000-04-04,53.9375,55.25,49.75,54.0625,9565100,42.436499
2000-04-05,53.9375,55.0,53.0,53.5,2591700,41.994963
2000-04-06,54.5,54.75,50.625,51.875,4240500,40.719415000000005
2000-04-07,51.25,54.4375,50.75,52.8125,2588400,41.455308
2000-04-10,52.25,55.125,51.125,54.25,5795900,42.583678000000006
2000-04-11,53.5,57.625,52.5,57.4375,7303000,45.085714
2000-04-12,57.0625,60.5,54.75,55.0625,7751400,43.221451
2000-04-13,56.25,58.75,54.5,54.625,6418200,42.878035
2000-04-14,54.125,54.125,50.375,50.875,4131600,39.934463
2000-04-17,49.5,50.25,46.3125,49.125,7134400,38.560796
2000-04-18,49.25,51.625,48.75,50.9375,5177100,39.983522
2000-04-19,51.125,53.0625,49.5,52.25,3508700,41.013771999999996
2000-04-20,52.125,55.625,51.625,54.8125,4288000,43.025213
2000-04-24,53.25,58.125,53.25,56.0,5967100,43.957345000000004
2000-04-25,56.625,57.125,55.0,57.0,3733300,44.742297
2000-04-26,56.5937,57.0,54.625,54.9375,3081000,43.123332
2000-04-27,53.0,56.5,51.625,56.0625,5615600,44.006403999999996
2000-04-28,55.75,55.875,53.5,54.0625,3699000,42.436499
2000-05-01,54.0625,59.0,52.875,58.4375,3629500,45.870666
2000-05-02,56.75,58.5,54.5,54.75,3729600,42.976154
2000-05-03,52.0625,52.625,50.375,52.1875,7462700,40.964713
2000-05-04,51.5625,52.375,46.3125,48.9375,9973900,38.413616999999995
2000-05-05,47.8125,50.875,47.125,48.8125,4189400,38.315498
2000-05-08,48.625,48.75,46.75,47.4375,3451500,37.236188
2000-05-09,48.0625,50.375,47.6875,49.1875,2988400,38.609854999999996
2000-05-10,49.0,50.5,48.375,48.9375,3644300,38.413616999999995
2000-05-11,49.5,50.25,48.5,49.8125,2339900,39.10045
2000-05-12,49.5,50.125,47.75,47.8125,2610000,37.530545000000004
2000-05-15,47.875,49.4375,47.0625,48.9375,3392900,38.413616999999995
2000-05-16,49.6875,52.5,49.625,51.3125,2932400,40.277879
2000-05-17,50.3125,50.3125,47.375,47.734299,4054800,37.469161
2000-05-18,47.75,48.375,46.5,46.75,3042200,36.696533
2000-05-19,45.828098,46.0,44.8125,45.0,4730400,35.322866
2000-05-22,45.25,45.5,41.75,43.125,8660100,33.851079999999996
2000-05-23,42.9375,44.25,40.5625,40.625,8692300,31.888699
2000-05-24,28.5,33.375,25.9375,31.875,40016500,25.020364
2000-05-25,32.0,32.5,29.6875,30.0,33098200,23.548576999999998
2000-05-26,30.625,31.375,30.0625,30.875,15012800,24.235411
2000-05-30,31.75,32.875,31.3125,32.5,28791800,25.510959
2000-05-31,32.5,32.8125,31.625,31.9375,16909700,25.069423
2000-06-01,32.6875,32.6875,31.875,32.375,15637200,25.41284
2000-06-02,32.9375,34.4375,32.375,34.25,12979600,26.884626
2000-06-05,34.25,34.3125,33.0,33.25,6547400,26.099673000000003
2000-06-06,33.0,33.0625,31.75,31.75,12969000,24.922244
2000-06-07,32.0625,33.5,32.0,32.75,7443500,25.707197
2000-06-08,32.8125,32.875,31.9375,32.0625,10472800,25.167542
2000-06-09,32.375,32.6875,31.75,32.3125,7604100,25.36378
2000-06-12,32.25,32.25,31.3125,31.4375,8322600,24.676947
2000-06-13,31.4375,34.6875,31.25,32.125,6943800,25.216601999999998
2000-06-14,32.5,33.5,32.0,32.5625,3403400,25.560018
2000-06-15,32.875,33.5625,32.0,33.1875,3251500,26.050614000000003
2000-06-16,33.375,33.4375,32.25,32.5,3507800,25.510959
2000-06-19,32.25,32.9375,31.9375,32.0,6770200,25.118482999999998
2000-06-20,32.5625,32.625,31.375,31.625,6683800,24.824125
2000-06-21,31.625,33.0,31.5,32.375,4953000,25.41284
2000-06-22,32.4375,33.359299,31.9375,32.0,5329500,25.118482999999998
2000-06-23,32.0,32.5,31.5,32.0,7073400,25.118482999999998
2000-06-26,32.1875,32.25,31.75,31.875,6453500,25.020364
2000-06-27,31.875,33.1875,31.8125,33.0,4771400,25.903435
2000-06-28,33.0,33.125,32.0625,32.3125,6008900,25.36378
2000-06-29,32.1875,32.4375,31.9375,32.0625,6545300,25.167542
2000-06-30,32.125,33.4375,32.0,33.0,6764800,25.903435
2000-07-03,33.0,34.25,32.875,34.1875,2559000,26.835565999999996
2000-07-05,34.375,34.375,32.9375,33.25,3182200,26.099673000000003
2000-07-06,33.1875,33.1875,32.0,32.875,4599900,25.805316
2000-07-07,32.875,34.875,32.375,34.5625,6814100,27.129924
2000-07-10,34.6875,37.125,34.25,37.0625,9257200,29.092305
2000-07-11,37.0,37.125,34.625,35.5625,8824400,27.914876
2000-07-12,35.75,36.8125,34.875,36.5625,4114200,28.699828999999998
