Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,39.0,39.0,38.0625,38.125,2073400,9.661373
2000-01-04,38.125,39.125,37.75,39.0625,3330800,9.898947
2000-01-05,39.5,40.6875,39.5,40.125,6406600,10.168199000000001
2000-01-06,40.625,41.125,40.3125,40.5625,4833600,10.279067
2000-01-07,40.5,40.9375,40.375,40.5625,3335200,10.279067
2000-01-10,41.0,41.0,40.5,40.5625,2612400,10.279067
2000-01-11,40.5,40.9375,40.375,40.6875,2376600,10.310744
2000-01-12,40.6875,41.625,40.6875,41.0,3530000,10.389935000000001
2000-01-13,41.0,41.625,41.0,41.5625,4820000,10.53248
2000-01-14,41.6875,41.75,41.375,41.625,3940800,10.548318
2000-01-18,41.625,41.75,41.25,41.5625,2310800,10.53248
2000-01-19,41.9375,42.5,41.75,42.25,3779800,10.706700999999999
2000-01-20,42.25,42.5,42.125,42.4375,3099800,10.754216
2000-01-21,42.4375,42.625,42.25,42.3125,4584200,10.722539999999999
2000-01-24,42.5625,43.125,42.3125,42.4375,790000,10.754216
2000-01-25,42.4375,42.625,41.75,42.0,1290000,10.643348
2000-01-26,42.625,42.6875,42.25,42.6875,1105600,10.81757
2000-01-27,42.6875,42.6875,42.5,42.5625,903000,10.785893
2000-01-28,40.75,41.5,40.25,40.625,5532800,10.294905
2000-01-31,40.875,41.75,40.6875,41.75,3462000,10.579995
2000-02-01,41.75,41.75,40.8125,41.0625,2273200,10.405773
2000-02-02,41.125,41.5,40.875,41.375,1335600,10.484964999999999
2000-02-03,42.25,42.4375,41.875,41.9375,6594800,10.627510000000001
2000-02-04,42.0625,42.25,41.1875,41.1875,3685800,10.43745
2000-02-07,41.375,41.5,40.75,40.875,2388200,10.358258
2000-02-08,40.75,41.3125,40.6875,40.8125,2985000,10.342419999999999
2000-02-09,40.875,40.9375,40.5625,40.6875,2141000,10.310744
2000-02-10,41.375,41.375,40.6875,40.8125,1794200,10.342419999999999
2000-02-11,40.5625,40.75,40.25,40.4375,1465000,10.24739
2000-02-14,40.25,40.9375,40.0625,40.3125,1567600,10.215714
2000-02-15,40.5625,40.75,40.5,40.625,2450400,10.294905
2000-02-16,40.75,40.8125,40.5625,40.6875,2011800,10.310744
2000-02-17,40.6875,40.9375,40.5625,40.8125,1638400,10.342419999999999
2000-02-18,40.75,40.9375,40.375,40.6875,2243000,10.310744
2000-02-22,40.625,40.6875,40.4375,40.625,1809600,10.294905
2000-02-23,40.3125,40.5625,39.0,39.0,2969600,9.883109
2000-02-24,39.25,39.25,37.8125,38.625,1958400,9.788079
2000-02-25,38.625,38.625,37.125,37.125,1703600,9.407960000000001
2000-02-28,36.5,37.375,36.0625,37.0,4631800,9.542064
2000-02-29,37.0625,37.1875,36.625,36.6875,1404600,9.461472
