Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,33.125,33.5,32.0625,32.375,717600,13.805612
2000-01-04,32.6875,32.6875,31.375,31.6875,1480200,13.512443
2000-01-05,31.875,32.25,31.5,32.25,854000,13.752308
2000-01-06,31.875,34.5,31.75,33.875,521000,14.445254
2000-01-07,34.0,35.25,33.75,34.0625,545200,14.525210000000001
2000-01-10,34.125,34.25,32.9375,33.625,381800,14.338647
2000-01-11,33.625,34.1875,33.375,34.125,540400,14.551860999999999
2000-01-12,34.0,34.0,33.5,33.625,370800,14.338647
2000-01-13,33.8125,34.5625,33.75,34.375,807400,14.658468
2000-01-14,34.375,34.75,33.5,34.5625,714400,14.738423999999998
2000-01-18,34.5625,37.375,34.5625,37.375,964600,15.937753
2000-01-19,37.375,38.5,37.375,38.375,1093800,16.364181
2000-01-20,38.125,39.75,38.125,38.9375,1191400,16.604047
2000-01-21,39.5,41.75,39.5,41.3125,1187200,17.616814
2000-01-24,41.5,42.0625,39.25,40.25,2022000,17.163733999999998
2000-01-25,40.0,40.0625,39.125,39.25,595600,16.737306
2000-01-26,39.3125,40.3125,38.25,38.25,668200,16.310876999999998
2000-01-27,38.375,39.5,36.9375,37.5625,737400,16.017708
2000-01-28,37.5,38.125,37.0,37.5625,587200,16.017708
2000-01-31,37.5,37.5,35.125,35.125,954000,14.978289000000002
2000-02-01,35.125,36.4375,35.125,36.0625,934400,15.378066
2000-02-02,36.3125,36.8125,35.625,35.625,556000,15.191504
2000-02-03,36.25,36.3125,35.625,35.9375,409800,15.324762
2000-02-04,35.9375,36.75,35.625,36.0,466400,15.351414000000002
2000-02-07,35.75,37.0,35.75,36.0,535600,15.351414000000002
2000-02-08,36.0,36.125,35.125,36.0,266600,15.351414000000002
2000-02-09,36.0,36.625,35.25,35.3125,1006800,15.058245000000001
2000-02-10,35.5,37.9375,35.5,37.125,621400,15.831145999999999
2000-02-11,37.5,37.5,36.0,36.0,376800,15.351414000000002
2000-02-14,36.375,37.625,36.0,37.1875,560000,15.857798
2000-02-15,37.1875,38.375,37.125,38.0625,953200,16.230922
2000-02-16,37.6875,38.9375,37.625,38.375,385800,16.364181
2000-02-17,39.0,39.0,38.25,38.625,639800,16.470788
2000-02-18,38.375,38.875,37.9375,38.125,905000,16.257573999999998
2000-02-22,38.4375,38.4375,37.0625,38.3125,669200,16.337529
2000-02-23,38.0625,38.125,36.0,36.875,377800,15.724539000000002
2000-02-24,36.625,37.125,35.75,36.4375,737000,15.537976
2000-02-25,36.875,36.875,35.75,35.9375,896800,15.324762
2000-02-28,35.25,36.875,35.25,36.6875,455000,15.644582999999999
2000-02-29,36.625,37.5,36.125,37.25,801600,15.884448999999998
