Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.625,47.6875,45.1875,45.9375,334100,34.342994
2000-01-04,45.75,46.0,44.5625,44.625,216500,33.361765000000005
2000-01-05,44.375,45.25,44.375,45.25,277100,33.829017
2000-01-06,45.0,45.125,44.75,45.0625,206300,33.688841
2000-01-07,42.5,45.75,41.25,44.375,1686300,33.174865000000004
2000-01-10,44.625,46.3125,43.5625,46.3125,562100,34.623345
2000-01-11,46.0625,48.875,45.625,48.5,942300,36.258725
2000-01-12,48.4375,50.75,48.4375,50.125,1412800,37.473579
2000-01-13,50.5,52.0,50.25,52.0,892200,38.875334
2000-01-14,52.75,56.25,52.75,55.625,1107900,41.585394
2000-01-18,55.625,55.6875,53.625,54.625,582300,40.837790999999996
2000-01-19,53.875,54.875,53.6875,54.875,305500,41.024692
2000-01-20,55.0,55.25,53.875,54.625,534900,40.837790999999996
2000-01-21,53.375,54.25,53.375,54.0625,537000,40.417265
2000-01-24,54.0625,54.5,54.0,54.1875,890100,40.510715000000005
2000-01-25,54.1875,54.25,49.5,51.4375,796300,38.454808
2000-01-26,50.4375,51.375,49.875,50.375,617500,37.66048
2000-01-27,50.4375,52.0,49.25,50.25,426300,37.567029999999995
2000-01-28,50.0,50.0625,48.125,48.125,374800,35.978374
2000-01-31,48.25,49.4375,47.0625,47.9375,595600,35.838198999999996
2000-02-01,48.0,48.0,46.625,46.9375,541300,35.090596000000005
2000-02-02,47.0,47.8125,47.0,47.4375,479100,35.464397
2000-02-03,47.0,48.875,45.875,47.5,695900,35.631302000000005
2000-02-04,47.375,48.3125,47.0,48.0,301400,36.006369
2000-02-07,47.75,48.25,47.625,48.0,204400,36.006369
2000-02-08,48.0,48.25,47.8125,48.0,318100,36.006369
2000-02-09,48.375,49.0,47.625,48.75,664300,36.568968
2000-02-10,48.625,50.125,48.4375,50.125,683400,37.600401
2000-02-11,50.0,51.6875,48.875,51.5625,628700,38.678715999999994
2000-02-14,51.625,53.0625,51.375,52.8125,718000,39.616382
2000-02-15,52.8125,52.8125,50.75,51.0,433700,38.256766999999996
2000-02-16,51.0,51.0,49.6875,50.5625,490900,37.928584
2000-02-17,50.625,50.625,49.8125,49.9375,371500,37.459751000000004
2000-02-18,49.25,49.5,47.0,47.625,260000,35.725069
2000-02-22,47.75,47.75,45.5,46.75,345300,35.068703
2000-02-23,47.0,47.5,46.0,47.125,217500,35.350003
2000-02-24,46.5,46.625,45.0625,45.75,340800,34.31857
2000-02-25,45.6875,45.6875,42.25,43.3125,646100,32.490122
2000-02-28,43.4375,43.8125,41.75,43.5,510800,32.630772
2000-02-29,43.625,44.0625,42.625,42.8125,453700,32.115055
2000-03-01,42.375,42.375,40.8125,42.0,422500,31.505573
2000-03-02,41.75,41.75,39.6875,39.6875,376000,29.770891
2000-03-03,39.6875,41.25,39.4375,40.5625,429900,30.427257
2000-03-06,41.0,41.0,39.8125,40.4375,479300,30.33349
2000-03-07,40.875,41.0,38.8125,38.875,415300,29.161408
2000-03-08,38.25,38.25,37.25,37.75,707200,28.317509
2000-03-09,37.625,40.4375,37.25,40.4375,656800,30.33349
2000-03-10,40.4375,40.4375,38.5,39.625,460900,29.724007
2000-03-13,39.625,39.75,38.0,38.8125,245100,29.114525
2000-03-14,40.5,45.8125,40.375,45.5,1053400,34.131037
2000-03-15,45.5,49.125,44.375,46.9375,1258500,35.209353
2000-03-16,48.0,51.0625,47.9375,51.0,1091100,38.256766999999996
2000-03-17,51.0625,51.875,49.875,50.4375,921900,37.834817
2000-03-20,50.1875,51.75,49.4375,50.25,618600,37.694167
2000-03-21,50.0,51.9375,50.0,51.875,486100,38.913133
2000-03-22,52.0,52.9375,51.0625,52.875,437500,39.663265
2000-03-23,52.875,55.0625,52.875,55.0,725500,41.257296999999994
2000-03-24,55.0,55.75,54.75,55.375,856600,41.538596999999996
2000-03-27,55.0,55.5,54.1875,55.0,612800,41.257296999999994
2000-03-28,55.0,56.625,55.0,56.0,631900,42.00743
2000-03-29,55.9375,56.875,55.375,56.0,401700,42.00743
2000-03-30,55.75,55.75,54.375,54.5,737000,40.882231
2000-03-31,54.5,55.375,54.25,54.25,1087600,40.694697999999995
2000-04-03,54.0625,55.625,53.75,55.375,685100,41.538596999999996
2000-04-04,55.125,55.6875,52.5,53.75,698600,40.319632
2000-04-05,53.25,53.6875,49.875,50.75,958000,38.069234
2000-04-06,50.875,51.9375,50.8125,51.5625,929900,38.678715999999994
2000-04-07,51.6875,51.75,49.1875,49.4375,1038600,37.084684
2000-04-10,50.0,50.5,48.3125,48.6875,920900,36.522085
2000-04-11,48.875,50.5,48.875,49.9375,747000,37.459751000000004
2000-04-12,49.5625,51.75,49.5625,50.5625,849800,37.928584
2000-04-13,50.625,50.9375,49.625,50.125,519100,37.600401
2000-04-14,49.875,49.875,45.0,45.25,1245900,33.943504
2000-04-17,45.625,46.75,45.5,46.375,322700,34.787403000000005
2000-04-18,46.4375,46.6875,45.625,45.625,880800,34.224804
2000-04-19,45.875,45.875,43.0,44.125,1105500,33.099605
2000-04-20,43.75,44.0,43.4375,43.75,604600,32.818305
2000-04-24,43.6875,43.6875,42.4375,42.4375,381100,31.833756
2000-04-25,43.0,43.625,42.8125,43.5,318700,32.630772
2000-04-26,43.5,44.25,42.75,43.1875,363100,32.396355
2000-04-27,43.1875,43.3125,42.75,43.125,403000,32.349472
2000-04-28,43.0625,43.5,42.75,43.375,359300,32.537005
2000-05-01,43.375,45.8125,43.375,45.3125,345000,33.990387
2000-05-02,45.3125,45.4375,44.375,44.5625,386700,33.427788
2000-05-03,44.4375,44.8125,44.0,44.5625,542100,33.427788
2000-05-04,44.25,45.125,44.1875,44.375,291100,33.414611
2000-05-05,44.375,45.4375,44.125,45.4375,263100,34.214679
2000-05-08,45.1875,45.5625,43.9375,44.0625,188900,33.179297
2000-05-09,44.3125,44.4375,43.75,44.125,205300,33.22636
2000-05-10,44.375,44.9375,43.375,43.625,300400,32.849857
2000-05-11,43.875,44.625,43.25,43.5625,373500,32.802795
2000-05-12,43.75,43.75,41.6875,42.3125,614900,31.861538
2000-05-15,42.5625,44.9375,42.3125,44.6875,387200,33.649925
2000-05-16,44.5,45.25,44.375,44.75,254100,33.696988
2000-05-17,44.5,44.8125,44.0625,44.8125,308600,33.744051
2000-05-18,44.8125,45.1875,44.5,44.875,292100,33.791114
2000-05-19,44.25,44.75,44.25,44.75,585400,33.696988
2000-05-22,44.6875,45.0,42.6875,43.125,320900,32.473355
2000-05-23,43.25,43.25,42.5,42.6875,137100,32.143915
2000-05-24,42.9375,43.125,41.375,41.5,259000,31.249721
2000-05-25,41.25,42.25,41.125,42.1875,389600,31.767412
2000-05-26,42.3125,42.5,40.8125,40.875,193200,30.779093
2000-05-30,40.875,41.5625,40.75,41.375,350900,31.155595
2000-05-31,41.125,41.625,39.75,39.9375,316200,30.07315
2000-06-01,40.0,40.1875,39.375,40.125,467500,30.214339000000002
2000-06-02,40.625,41.9375,40.5,41.375,479200,31.155595
2000-06-05,41.375,41.5625,39.6875,39.875,402400,30.026087
2000-06-06,40.0,40.3125,39.3125,39.75,375400,29.931962
2000-06-07,39.75,39.75,38.375,38.75,426100,29.178956
2000-06-08,38.875,39.375,38.5625,38.75,172600,29.178956
2000-06-09,38.75,39.0625,37.6875,38.1875,299500,28.755390999999996
2000-06-12,38.375,38.4375,35.25,35.53125,754800,26.75522
2000-06-13,35.0,35.5,33.625,34.75,1986900,26.166935000000002
2000-06-14,34.875,36.625,34.8125,35.6875,1584300,26.872878000000004
2000-06-15,35.125,35.9375,33.25,33.8125,738600,25.460993
2000-06-16,32.0,33.4375,32.0,32.03125,643100,24.119702
2000-06-19,32.0,32.75,30.5,30.5,746200,22.966662
2000-06-20,30.625,31.125,30.25,31.0625,709300,23.390228
2000-06-21,31.0625,31.375,29.375,29.8125,776700,22.448971
2000-06-22,30.125,32.5,30.0,31.6875,571600,23.860856
2000-06-23,31.8125,31.8125,30.4375,30.4375,365700,22.9196
2000-06-26,31.0,31.3125,30.5,30.9375,617400,23.296101999999998
2000-06-27,30.625,31.25,30.5,30.875,344600,23.249039
2000-06-28,31.125,31.25,30.0625,30.59375,327100,23.037257
2000-06-29,30.5625,30.875,30.0,30.75,358400,23.154914
2000-06-30,30.75,31.625,30.625,30.8125,852200,23.201977
2000-07-03,30.875,32.0625,30.875,32.0625,281500,24.143233
2000-07-05,31.625,31.875,30.5625,30.875,524400,23.249039
2000-07-06,31.0,31.0,28.875,29.0,632000,21.837154
2000-07-07,29.1875,29.5625,28.5,29.0,721700,21.837154
2000-07-10,28.9375,30.625,28.9375,30.375,564400,22.872537
2000-07-11,30.625,30.75,29.9375,30.625,540600,23.060788
2000-07-12,30.5625,30.625,29.375,29.9375,595500,22.543097
2000-07-13,29.9375,31.25,29.9375,30.875,473600,23.249039
2000-07-14,30.8125,31.5625,30.8125,31.3125,411200,23.578479
2000-07-17,31.3125,32.25,31.3125,32.1875,595500,24.237358999999998
2000-07-18,32.125,33.5,32.0,32.5,1013600,24.472673
2000-07-19,32.5,32.8125,32.25,32.5,917400,24.472673
2000-07-20,32.75,33.625,32.5625,33.1875,462800,24.990364000000003
2000-07-21,33.25,34.75,32.9375,33.125,336400,24.943301
2000-07-24,33.0,33.5,32.0,32.375,534000,24.378547
2000-07-25,32.625,32.6875,31.625,31.75,476300,23.907919
2000-07-26,31.8125,31.875,31.0625,31.25,437900,23.531416
2000-07-27,31.3125,31.9375,31.1875,31.625,331100,23.813793
2000-07-28,31.5,31.625,30.6875,31.125,323900,23.437291000000002
2000-07-31,31.375,32.375,31.375,31.75,264900,23.907919
2000-08-01,31.8125,32.375,31.625,32.1875,196400,24.237358999999998
2000-08-02,32.0,32.125,31.625,31.9375,199800,24.049108
2000-08-03,31.8125,32.0625,31.5,31.625,223700,23.813793
