Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,112.25,112.25,103.375,108.5,3769400,33.070283
2000-01-04,106.5625,110.4375,103.625,103.875,3129800,31.660605
2000-01-05,101.875,102.0,96.625,98.6875,5478600,30.07948
2000-01-06,97.1875,101.5,97.0,99.4375,8351000,30.308076
2000-01-07,99.8125,105.5,97.5,105.3125,6038200,32.098748
2000-01-10,108.125,118.25,107.9375,116.5625,5177000,35.527695
2000-01-11,113.5,120.0,113.25,115.5625,4988200,35.222899
2000-01-12,115.875,121.375,111.625,119.1875,6113000,36.327782
2000-01-13,117.5,122.0,113.8125,119.75,7030000,36.499229
2000-01-14,125.0625,139.75,124.875,138.0,10145600,42.061741999999995
2000-01-18,136.25,137.234375,129.125,130.625,6755400,39.813878
2000-01-19,64.5625,67.125,62.5,64.3125,2796600,39.204287
2000-01-20,65.0625,66.125,59.5,63.25,4974600,38.556597
2000-01-21,63.625,65.125,61.875,64.25,3352900,39.166188
2000-01-24,65.0,66.0,59.0,59.8125,3038100,36.46113
2000-01-25,60.6875,62.125,56.75,61.9375,2354200,37.75651
2000-01-26,62.25,62.5,58.375,58.375,2487700,35.584844
2000-01-27,59.3125,62.0,54.375,56.9375,3446300,34.708557
2000-01-28,55.0,57.875,54.5,56.3125,3466400,34.327563
2000-01-31,55.375,60.3125,54.875,58.625,4471300,35.737241
2000-02-01,58.4375,62.25,57.25,60.625,3138800,36.956421999999996
2000-02-02,59.25,65.125,59.25,64.5625,5396500,39.356685
2000-02-03,64.9375,66.5,63.5,66.1875,3979900,40.347269
2000-02-04,67.25,67.875,65.8125,65.9375,5089400,40.194872
2000-02-07,65.625,69.0,65.0,68.1875,2810400,41.56645
2000-02-08,68.875,70.0,67.5,69.75,3813800,42.518935
2000-02-09,68.25,71.6875,66.1875,67.8125,4037400,41.337854
2000-02-10,67.6875,71.0,66.6875,70.4375,1995400,42.938029
2000-02-11,70.625,70.75,67.75,68.5,1689800,41.756947
2000-02-14,68.0,69.125,65.875,67.625,2027100,41.223556
2000-02-15,67.0,70.5,65.0,69.6875,2724100,42.480836
2000-02-16,71.0,73.375,70.375,71.75,3866200,43.738116
2000-02-17,72.375,74.125,70.375,74.0,2928900,45.109695
2000-02-18,72.875,73.4375,67.875,68.0,2433800,41.452152000000005
2000-02-22,67.9375,73.0,65.125,71.625,2742100,43.661916999999995
2000-02-23,71.375,73.6875,70.1875,72.3125,2477200,44.081011
2000-02-24,73.75,74.375,70.3125,72.8125,3568500,44.385806
2000-02-25,72.9375,74.75,68.625,68.625,2569800,41.833146
2000-02-28,67.875,70.53125,64.34375,69.8125,3464600,42.557035
2000-02-29,71.625,78.8125,71.625,77.9375,5754100,47.509957
2000-03-01,78.875,80.0,75.1875,75.3125,2647500,45.909782
2000-03-02,77.125,78.25,72.125,72.125,2101700,43.966713
2000-03-03,76.25,83.25,76.125,83.25,3855900,50.748407
2000-03-06,85.0,86.25,83.0,83.9375,4428700,51.1675
2000-03-07,84.875,85.375,80.125,84.0,3361900,51.2056
2000-03-08,83.875,84.0,77.125,79.0,4588300,48.157647
2000-03-09,79.0625,85.25,78.0625,85.0,2837500,51.81519
2000-03-10,84.625,91.5,83.5,91.125,3701800,55.54893199999999
2000-03-13,86.25,87.5,82.5,83.9375,3553300,51.1675
2000-03-14,86.25,86.25,76.25,76.375,3356100,46.557472
2000-03-15,77.1875,80.0625,74.0625,75.125,3840700,45.795484
2000-03-16,76.875,79.25,70.375,75.125,7237100,45.795484
2000-03-17,74.125,80.25,72.875,80.0,4847400,48.767238
2000-03-20,79.875,81.625,77.0,77.0625,2706700,46.976566
2000-03-21,77.875,80.6875,74.0,80.6875,3892000,49.186331
2000-03-22,80.5,85.0,80.4375,83.5625,3256500,50.938904
2000-03-23,84.875,90.25,84.625,86.75,5604100,52.881972999999995
2000-03-24,87.4375,91.6875,87.375,89.3125,3079600,54.444049
2000-03-27,89.4375,91.0,87.5,89.4375,1950500,54.520247999999995
2000-03-28,88.625,89.25,84.5625,85.0,2301700,51.81519
2000-03-29,85.625,85.625,76.875,77.8125,3600700,47.433759
2000-03-30,76.75,82.5,75.9375,79.25,3505300,48.310045
2000-03-31,80.4375,85.75,76.25,84.25,2928600,51.357997
2000-04-03,84.125,84.25,75.5,77.0625,3344200,46.976566
2000-04-04,78.5,82.5,66.5625,79.625,6737100,48.538641
2000-04-05,77.875,86.9375,77.125,81.375,6091700,49.605425
2000-04-06,83.3125,89.6875,82.0,89.125,4445900,54.329751
2000-04-07,89.6875,97.75,88.375,97.4375,5924000,59.39697099999999
2000-04-10,97.3125,97.625,83.5,83.8125,5175100,51.091301
2000-04-11,81.0,90.6875,79.0,86.375,6761700,52.653377
2000-04-12,88.75,90.5625,77.890617,78.0,5835500,47.548057
2000-04-13,82.125,82.75,63.875,64.75,12102500,39.470983000000004
2000-04-14,63.5,65.625,54.625,57.625,12581400,35.127651
2000-04-17,57.0,69.5,56.0,68.0,8585900,41.452152000000005
2000-04-18,67.75,72.1875,64.25,72.0,6424900,43.890514
2000-04-19,71.4375,71.6875,64.0,64.5625,4023000,39.356685
2000-04-20,65.125,67.875,62.5,65.125,3461100,39.699579
2000-04-24,63.125,67.25,59.125,63.875,4079100,38.937591
2000-04-25,65.0,67.625,63.0625,66.125,4382600,40.30917
2000-04-26,67.1875,70.0,63.5,63.6875,4716500,38.823293
2000-04-27,61.375,72.0,60.625,70.9375,5710300,43.242824
2000-04-28,72.4375,75.5,70.9375,74.875,4720700,45.643087
2000-05-01,76.28125,77.25,70.25,71.5625,5387700,43.623818
2000-05-02,71.0,75.75,68.5,68.6875,6656800,41.871245
2000-05-03,67.5,68.0,60.0625,62.4375,6786300,38.061305
2000-05-04,64.0,65.125,61.125,63.0,4324000,38.4042
2000-05-05,62.921879000000004,66.4375,61.625,63.625,4684500,38.785194
2000-05-08,63.3125,63.5,59.625,59.9375,4834900,36.537329
2000-05-09,60.875,61.5625,54.25,55.0,6424400,33.527476
2000-05-10,54.0,55.0625,47.25,49.0,10733600,29.869933000000003
2000-05-11,49.75,51.3125,45.875,50.0625,12884500,30.517622999999997
2000-05-12,51.875,54.375,50.5625,51.8125,5307200,31.584406
2000-05-15,52.5625,55.5,50.25,55.0,3519300,33.527476
2000-05-16,57.0,58.8125,55.0625,57.0,6211200,34.746657
2000-05-17,55.5625,59.125,55.5,57.625,4532300,35.127651
2000-05-18,58.25,58.75,56.375,56.625,2900500,34.51806
2000-05-19,55.9375,56.75,51.5625,52.375,5972400,31.927301
2000-05-22,52.5625,52.625,45.125,52.0625,6891600,31.736804
2000-05-23,51.0,53.5,46.375,46.5,4992600,28.345957000000002
2000-05-24,46.0,48.75,40.0,48.0,11724700,29.260343
2000-05-25,47.0,51.25,43.5625,44.125,5709600,26.89818
2000-05-26,44.8125,46.25,43.0,45.4375,2241100,27.698266999999998
2000-05-30,47.0,53.0,46.75,52.75,3845100,32.155896999999996
2000-05-31,52.375,54.0,49.125,49.5625,5247800,30.212828000000002
2000-06-01,51.625,55.5,50.4375,54.875,6829700,33.451277000000005
2000-06-02,59.125,62.25,56.375,61.5,6892600,37.489814
2000-06-05,59.625,61.6875,57.25,58.6875,5308500,35.775341
2000-06-06,58.9375,59.75,54.4375,54.5625,4500700,33.26078
2000-06-07,55.625,57.5,54.875,57.375,5235900,34.975253
2000-06-08,58.1875,59.25,57.1875,58.25,3953300,35.508645
2000-06-09,59.25,60.375,57.375,57.9375,4148000,35.318148
2000-06-12,58.875,58.875,54.125,54.375,3325500,33.146482
2000-06-13,54.375,55.75,51.4375,55.75,6233400,33.984669
2000-06-14,56.25,57.125,51.0,53.125,4740000,32.384494000000004
2000-06-15,52.5625,54.5625,51.5625,54.0,4236500,32.917885
2000-06-16,55.8125,56.6875,53.3125,54.875,5196500,33.451277000000005
2000-06-19,54.25,62.625,53.8125,61.5,5010200,37.489814
2000-06-20,62.5,66.125,62.125,63.4375,7632200,38.670895
2000-06-21,61.6875,64.875,60.25,62.9375,5047700,38.3661
2000-06-22,64.1875,64.6875,61.125,61.625,4374300,37.566013
2000-06-23,61.5,62.625,57.625,59.1875,3039800,36.080135999999996
2000-06-26,59.8125,63.125,59.8125,63.0625,3953900,38.442299
2000-06-27,62.8125,66.125,60.75,60.875,7853100,37.10882
2000-06-28,61.5,64.3125,60.5,61.875,4486600,37.71841
2000-06-29,62.25,62.625,57.125,57.625,4542300,35.127651
2000-06-30,58.5625,61.375,57.5,58.5625,4362000,35.699141999999995
2000-07-03,58.125,59.875,57.3125,58.3125,2536700,35.546744
2000-07-05,56.25,56.3125,49.75,50.0625,8037500,30.517622999999997
2000-07-06,51.5,51.75,48.875,51.0,12600100,31.089114000000002
2000-07-07,52.9375,55.234379000000004,52.75,53.75,6341000,32.765488
2000-07-10,54.0625,55.75,52.5625,52.875,5363500,32.232096000000006
2000-07-11,54.125,56.75,53.0,56.125,8283700,34.213265
2000-07-12,57.25,60.9375,55.5,60.0,5803700,36.575428
2000-07-13,61.625,63.125,58.0625,58.9375,5058000,35.927738
2000-07-14,60.875,62.25,59.1875,62.0,3351800,37.794609
2000-07-17,63.6875,64.75,62.1875,63.6875,3489100,38.823293
2000-07-18,62.234379000000004,62.875,59.0,60.0625,5009000,36.613528
2000-07-19,59.4375,59.6875,54.625,54.75,5238800,33.375078
2000-07-20,55.875,58.4375,53.9375,56.0625,6373400,34.175166
