Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.3125,20.6875,20.25,20.3125,56000,7.806544000000001
2000-01-04,20.375,20.375,19.75,19.9375,44600,7.6624229999999995
2000-01-05,19.9375,20.75,19.75,20.25,41000,7.782524
2000-01-06,20.1875,21.0,20.0625,20.625,252200,7.926645
2000-01-07,20.75,21.6875,20.625,21.4375,247200,8.238906
2000-01-10,22.0,22.25,22.0,22.0,71000,8.455088
2000-01-11,22.0,22.375,21.875,22.25,81100,8.551167999999999
2000-01-12,22.25,22.875,22.1875,22.5625,105300,8.671269
2000-01-13,22.75,23.0,22.6875,22.875,132000,8.79137
2000-01-14,22.875,22.9375,22.625,22.875,45000,8.79137
2000-01-18,22.75,22.9375,22.625,22.9375,121200,8.815389999999999
2000-01-19,22.8125,23.375,22.8125,23.3125,125700,8.959511000000001
2000-01-20,23.3125,23.9375,23.25,23.9375,76700,9.199712
2000-01-21,23.5625,23.6875,23.5,23.6875,126300,9.103631
2000-01-24,23.5625,23.625,22.875,23.3125,56300,8.959511000000001
2000-01-25,23.3125,23.3125,22.625,23.25,92500,8.93549
2000-01-26,22.875,23.1875,22.75,22.8125,34100,8.767349000000001
2000-01-27,22.875,23.0,22.625,22.625,59400,8.695289
2000-01-28,22.6875,22.6875,22.1875,22.5625,57200,8.671269
2000-01-31,22.5,22.625,22.25,22.5625,50500,8.671269
2000-02-01,22.6875,22.6875,22.1875,22.25,58500,8.551167999999999
2000-02-02,21.0,21.75,21.0,21.4375,287400,8.238906
2000-02-03,21.5,21.625,21.4375,21.625,182900,8.310967
2000-02-04,21.8125,21.9375,21.5,21.5625,60300,8.286947
2000-02-07,21.625,21.8125,21.5,21.5625,34800,8.286947
2000-02-08,21.625,22.0625,21.625,22.0,46200,8.455088
2000-02-09,22.1875,22.375,21.8125,22.1875,55000,8.527148
2000-02-10,21.625,21.875,21.625,21.75,62600,8.359007
2000-02-11,21.5,21.9375,21.1875,21.25,83400,8.166846000000001
2000-02-14,21.125,21.5625,21.0,21.5625,31800,8.286947
2000-02-15,21.625,21.75,21.25,21.625,91200,8.310967
2000-02-16,21.4375,21.4375,20.5,20.8125,60200,8.191901
2000-02-17,20.6875,21.0625,20.5,20.75,58200,8.167301
2000-02-18,20.625,20.75,20.0625,20.125,47000,7.921297999999999
2000-02-22,20.1875,20.625,20.125,20.625,68600,8.118101
2000-02-23,20.25,20.25,19.625,19.9375,64400,7.847497
2000-02-24,19.875,20.25,19.4375,19.875,79200,7.822897
2000-02-25,19.9375,20.25,19.8125,19.8125,141400,7.798297
2000-02-28,19.875,19.9375,19.5625,19.875,57500,7.822897
2000-02-29,19.6875,20.125,19.6875,20.125,121100,7.921297999999999
2000-03-01,20.0,20.25,19.25,19.25,332100,7.576894
2000-03-02,19.25,19.375,18.9375,19.0625,152500,7.503092999999999
2000-03-03,19.25,19.25,18.875,19.0625,134100,7.503092999999999
2000-03-06,19.25,19.375,19.0,19.3125,74500,7.601494000000001
2000-03-07,19.0625,19.25,18.8125,19.0,52300,7.478492999999999
2000-03-08,19.0625,19.5625,18.9375,19.5,73100,7.675294999999999
2000-03-09,19.4375,20.0,19.375,19.8125,129800,7.798297
2000-03-10,19.5625,19.75,19.5,19.625,197000,7.724496
2000-03-13,19.5625,19.75,19.375,19.5,41200,7.675294999999999
2000-03-14,19.625,19.625,19.375,19.5,49000,7.675294999999999
2000-03-15,19.5,19.9375,19.4375,19.8125,233900,7.798297
2000-03-16,19.8125,20.1875,19.8125,20.1875,36000,7.945898
2000-03-17,19.9375,20.25,19.9375,20.1875,279200,7.945898
2000-03-20,19.8125,20.1875,19.8125,20.1875,45600,7.945898
2000-03-21,19.9375,20.25,19.75,20.1875,58400,7.945898
2000-03-22,20.3125,20.375,19.9375,20.3125,39600,7.995099000000001
2000-03-23,20.1875,20.1875,19.9375,20.0,44400,7.872097
2000-03-24,20.125,20.375,20.0,20.1875,50000,7.945898
2000-03-27,20.4375,20.4375,20.0,20.125,36200,7.921297999999999
2000-03-28,20.125,20.375,20.0625,20.0625,169600,7.896698
2000-03-29,21.25,21.25,20.4375,20.4375,193800,8.0443
2000-03-30,20.0,20.625,20.0,20.25,55800,7.970499
2000-03-31,20.25,20.75,20.25,20.625,97200,8.118101
2000-04-03,20.625,20.6875,20.3125,20.5625,43600,8.0935
2000-04-04,20.5,20.5,20.125,20.4375,98800,8.0443
2000-04-05,20.3125,20.75,20.25,20.75,47100,8.167301
2000-04-06,20.75,20.875,20.5,20.625,88800,8.118101
2000-04-07,20.5,21.25,20.5,21.25,88900,8.364104
2000-04-10,21.125,22.0,21.125,21.5625,96100,8.487105
2000-04-11,21.5625,21.875,21.375,21.375,115400,8.413304
2000-04-12,21.5,21.75,21.3125,21.4375,95500,8.437904
2000-04-13,21.5625,22.375,21.5625,22.3125,183000,8.782309
2000-04-14,21.875,22.375,21.8125,21.875,59400,8.610107000000001
2000-04-17,21.75,22.1875,21.75,21.9375,44400,8.634707
2000-04-18,21.8125,22.25,21.8125,21.875,154300,8.610107000000001
2000-04-19,22.125,22.5,21.75,22.4375,50800,8.831509
2000-04-20,22.4375,22.4375,22.125,22.1875,53500,8.733108
2000-04-24,22.25,22.25,22.0,22.0,27300,8.659307
2000-04-25,22.0,22.5625,22.0,22.5625,57400,8.88071
2000-04-26,22.5,22.75,22.5,22.625,77800,8.90531
2000-04-27,22.625,23.0,22.5,23.0,21000,9.052912
2000-04-28,23.0,23.1875,22.6875,23.1875,123500,9.126713
2000-05-01,23.25,23.5,23.125,23.5,91000,9.249715
2000-05-02,23.5,24.0,23.375,23.8125,103500,9.372716
2000-05-03,23.8125,24.0625,23.6875,23.8125,67000,9.372716
2000-05-04,23.9375,24.25,23.875,24.0,108700,9.446517
2000-05-05,24.1875,24.25,24.0,24.0,50000,9.446517
2000-05-08,24.0625,24.0625,23.8125,23.875,38400,9.397316
2000-05-09,23.75,24.1875,23.6875,23.9375,66500,9.421917
2000-05-10,23.9375,23.9375,23.625,23.625,124000,9.298915
2000-05-11,23.75,24.0,23.75,24.0,14900,9.446517
2000-05-12,24.0,24.0,23.3125,23.4375,130100,9.225114
2000-05-15,23.4375,23.5,23.1875,23.5,22000,9.249715
2000-05-16,22.75,23.1875,22.625,23.1875,76400,9.329176
2000-05-17,23.125,23.125,22.625,22.75,41200,9.153153999999999
2000-05-18,22.75,22.875,22.0,22.0,112300,8.851402
2000-05-19,21.5,22.1875,21.5,22.0,143500,8.851402
2000-05-22,22.0,22.125,21.9375,22.0,42300,8.851402
2000-05-23,22.9375,22.9375,22.1875,22.25,55500,8.951986
2000-05-24,22.125,22.25,21.6875,22.25,27500,8.951986
2000-05-25,22.25,22.25,21.3125,21.5,23800,8.650234
2000-05-26,21.375,21.875,21.125,21.8125,273100,8.775964
2000-05-30,21.875,22.0,21.5625,21.8125,250200,8.775964
2000-05-31,21.875,21.9375,21.5625,21.8125,20400,8.775964
2000-06-01,21.8125,22.0,21.8125,22.0,19200,8.851402
2000-06-02,21.875,22.0,21.8125,21.875,87200,8.801110000000001
2000-06-05,21.875,22.0,21.8125,21.8125,29000,8.775964
2000-06-06,21.9375,22.0,21.875,21.9375,34200,8.826255999999999
2000-06-07,21.8125,21.9375,21.6875,21.6875,86700,8.725672
2000-06-08,21.75,21.9375,21.6875,21.875,18300,8.801110000000001
2000-06-09,21.75,21.8125,21.625,21.6875,49400,8.725672
2000-06-12,21.5625,21.9375,21.5625,21.875,34700,8.801110000000001
2000-06-13,21.75,22.0,21.6875,22.0,129500,8.851402
2000-06-14,22.0,22.125,21.75,21.8125,156200,8.775964
2000-06-15,21.75,22.0,21.5625,22.0,130400,8.851402
2000-06-16,22.0625,22.0625,21.8125,21.875,61800,8.801110000000001
2000-06-19,22.0,22.0,21.8125,21.9375,22700,8.826255999999999
2000-06-20,21.9375,22.25,21.875,22.1875,47200,8.926839999999999
2000-06-21,22.0625,22.125,21.875,22.0,51200,8.851402
2000-06-22,21.9375,22.125,21.875,21.9375,48900,8.826255999999999
2000-06-23,22.0,22.0,21.8125,21.9375,43100,8.826255999999999
2000-06-26,21.9375,22.0625,21.875,22.0,22000,8.851402
2000-06-27,21.9375,22.1875,21.9375,22.0,55100,8.851402
2000-06-28,22.0,22.1875,21.9375,22.1875,182600,8.926839999999999
2000-06-29,22.1875,22.75,22.125,22.5625,70000,9.077716
2000-06-30,22.5,22.5,22.0625,22.078119,118400,8.882832
2000-07-03,22.0,22.25,22.0,22.25,6700,8.951986
2000-07-05,22.3125,22.5,22.0,22.1875,73400,8.926839999999999
2000-07-06,22.0625,22.875,22.0625,22.875,88000,9.203446000000001
2000-07-07,22.8125,22.8125,22.4375,22.5625,57500,9.077716
2000-07-10,22.4375,22.6875,22.4375,22.5625,65300,9.077716
2000-07-11,22.4375,22.625,22.3125,22.375,22200,9.002278
2000-07-12,22.25,22.875,22.25,22.5,131700,9.05257
2000-07-13,22.375,22.5625,22.375,22.4375,24600,9.027424
2000-07-14,22.6875,22.6875,22.5,22.5,120400,9.05257
2000-07-17,22.4375,22.5,22.375,22.375,25500,9.002278
2000-07-18,22.5,22.625,22.375,22.375,315700,9.002278
2000-07-19,22.625,22.8125,22.5,22.5625,29900,9.077716
2000-07-20,22.6875,23.0,22.5625,22.875,85400,9.203446000000001
2000-07-21,23.0,23.375,22.9375,23.0625,92300,9.278884
2000-07-24,23.0625,23.375,23.0625,23.125,118800,9.304030000000001
2000-07-25,23.0625,23.4375,23.0625,23.25,48400,9.354322
2000-07-26,23.375,23.75,23.3125,23.75,110500,9.555491
2000-07-27,23.875,23.875,23.4375,23.8125,38100,9.580637
2000-07-28,23.875,23.875,23.5,23.5625,51200,9.480053
2000-07-31,23.6875,23.9375,23.5625,23.9375,38100,9.630929
2000-08-01,23.75,24.75,23.5625,24.75,120800,9.957827
2000-08-02,24.75,24.75,24.1875,24.5625,50900,9.882389
2000-08-03,24.375,24.4375,24.1875,24.375,94600,9.806951
2000-08-04,24.375,24.375,23.5,23.625,47800,9.505199000000001
2000-08-07,23.875,23.9375,23.625,23.6875,45500,9.530345
2000-08-08,23.5,23.9375,23.5,23.875,71100,9.605783
2000-08-09,23.625,23.9375,23.5,23.625,326100,9.505199000000001
2000-08-10,23.8125,23.8125,23.3125,23.5,111700,9.454907
2000-08-11,23.5625,23.5625,23.25,23.4375,52600,9.429761
2000-08-14,23.5,23.5,22.375,22.5,325400,9.05257
2000-08-15,22.5,22.5,22.0,22.125,277500,8.901694
2000-08-16,21.8125,22.0625,21.75,21.9375,191100,9.034509
2000-08-17,22.0,22.125,21.75,21.9375,166400,9.034509
2000-08-18,21.75,21.9375,21.6875,21.8125,66500,8.98303
2000-08-21,21.8125,21.875,21.5625,21.75,58800,8.957291
2000-08-22,21.75,21.9375,21.75,21.8125,70100,8.98303
2000-08-23,21.75,21.875,21.6875,21.75,76400,8.957291
2000-08-24,21.4375,21.75,21.1875,21.25,183500,8.751375999999999
2000-08-25,21.0,21.3125,21.0,21.125,62200,8.699898
2000-08-28,21.1875,21.25,20.875,20.9375,62800,8.62268
2000-08-29,21.0,21.125,20.625,20.6875,54800,8.519722
2000-08-30,20.6875,21.25,20.6875,21.25,72100,8.751375999999999
2000-08-31,21.3125,21.375,20.875,20.9375,185300,8.62268
2000-09-01,21.0,21.0,20.625,20.875,29900,8.59694
2000-09-05,20.875,20.875,20.25,20.375,93000,8.391025
2000-09-06,20.375,20.375,20.1875,20.25,54400,8.339547
2000-09-07,20.4375,20.875,20.375,20.875,200100,8.59694
2000-09-08,20.875,21.1875,20.875,21.0625,78600,8.674158
2000-09-11,21.375,21.5,21.125,21.4375,103600,8.828594
2000-09-12,21.3125,21.9375,21.0625,21.875,45700,9.00877
2000-09-13,21.6875,21.6875,21.1875,21.3125,44600,8.777116
2000-09-14,21.375,21.375,21.125,21.3125,30500,8.777116
2000-09-15,21.25,21.25,20.9375,20.9375,38100,8.62268
2000-09-18,21.0,21.0625,20.5,20.5625,87800,8.468244
2000-09-19,20.75,21.375,20.75,21.375,47200,8.802855000000001
2000-09-20,21.1875,21.25,21.0,21.0625,49200,8.674158
2000-09-21,21.0625,21.125,20.875,20.875,138100,8.59694
2000-09-22,20.5,21.5,20.5,21.125,85500,8.699898
2000-09-25,21.0,21.0625,20.75,21.0,112700,8.648419
2000-09-26,21.0,21.5,21.0,21.375,172500,8.802855000000001
2000-09-27,21.25,21.25,20.75,21.1875,174400,8.725636999999999
2000-09-28,21.125,21.5,21.125,21.375,278100,8.802855000000001
2000-09-29,21.4375,21.4375,20.9375,21.25,97600,8.751375999999999
2000-10-02,21.125,21.125,20.6875,20.75,87000,8.545461999999999
2000-10-03,20.75,21.125,20.0,20.125,630600,8.288067999999999
2000-10-04,20.125,20.6875,20.125,20.5,48800,8.442504
2000-10-05,20.4375,20.75,20.4375,20.5625,28800,8.468244
2000-10-06,20.6875,20.6875,20.4375,20.625,18300,8.493983
2000-10-09,20.6875,20.6875,20.375,20.5625,25100,8.468244
2000-10-10,20.5625,20.625,20.375,20.375,79800,8.391025
2000-10-11,20.375,20.5,20.0625,20.4375,87100,8.416765
2000-10-12,20.3125,20.375,20.0,20.1875,43000,8.313807
2000-10-13,20.125,20.3125,19.6875,20.125,58600,8.288067999999999
2000-10-16,20.375,20.625,20.1875,20.5,44500,8.442504
2000-10-17,20.5,20.5625,19.875,20.0,94400,8.236589
2000-10-18,19.75,20.25,19.75,20.125,46500,8.288067999999999
2000-10-19,20.1875,20.4375,20.1875,20.25,51900,8.339547
2000-10-20,20.3125,20.5625,20.3125,20.3125,33700,8.365286
2000-10-23,20.0,20.25,19.9375,19.9375,32200,8.21085
