Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.0,23.625,22.1875,23.4375,1810300,20.677951
2000-01-04,23.125,23.125,21.75,21.9375,1153400,19.354561999999998
2000-01-05,22.0625,22.375,21.5,22.1875,1309500,19.575127
2000-01-06,22.125,24.25,22.0625,23.75,2030600,20.953657
2000-01-07,23.9375,24.25,23.25,23.5,1195700,20.733092000000003
2000-01-10,25.5,25.875,24.0,24.0,2476300,21.174222
2000-01-11,25.25,28.0625,25.0,27.0,5369300,23.820999999999998
2000-01-12,27.4375,27.4375,25.5,25.9375,2052200,22.883599
2000-01-13,26.0,26.6875,25.625,26.375,1131500,23.269588
2000-01-14,27.0,27.0,26.0625,26.375,1055400,23.269588
2000-01-18,26.3125,27.0,25.9375,26.8125,1328700,23.655576
2000-01-19,26.625,26.875,26.0,26.1875,889100,23.104164
2000-01-20,26.0625,26.125,25.25,25.25,1538800,22.277046
2000-01-21,25.9375,25.9375,25.0,25.125,1622000,22.166764
2000-01-24,25.125,25.375,24.8125,24.875,799200,21.946199
2000-01-25,22.0,22.75,21.25,22.0,4931900,19.409703
2000-01-26,21.9375,22.0,21.375,21.6875,1739800,19.133997
2000-01-27,21.875,21.9375,20.125,20.875,3096400,18.417162
2000-01-28,20.9375,20.9375,20.125,20.125,1084000,17.755467000000003
2000-01-31,20.0625,20.9375,20.0,20.5625,952200,18.141455999999998
2000-02-01,20.875,21.0625,20.5,20.875,1244000,18.417162
2000-02-02,20.875,21.1875,20.3125,20.375,1533300,17.976032
2000-02-03,20.75,20.9375,20.375,20.5625,1375500,18.141455999999998
2000-02-04,20.5,20.875,20.375,20.5,550300,18.086315
2000-02-07,20.5,20.6875,20.25,20.3125,574200,17.920891
2000-02-08,20.6875,21.1875,20.375,20.375,973700,17.976032
2000-02-09,20.4375,20.5625,20.25,20.375,918900,17.976032
2000-02-10,20.5,20.5,18.9375,19.125,2522800,16.873207999999998
2000-02-11,19.4375,19.4375,18.8125,18.875,3993600,16.652642999999998
2000-02-14,18.6875,19.1875,18.625,18.9375,622200,16.707785
2000-02-15,18.875,18.9375,18.3125,18.625,1196700,16.432079
2000-02-16,19.0625,20.1875,19.0,20.0,1167600,17.645185
