Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,51.312492,51.312492,48.499992,48.812508,593400,24.418512
2000-01-04,48.812508,49.249992,46.875,46.875,217600,23.449272
2000-01-05,47.125005,47.749995,46.624995,46.875,420900,23.449272
2000-01-06,46.999995,47.749995,46.125,47.749995,1203400,23.886989
2000-01-07,52.000008,54.0,51.75,52.125,2630100,26.07559
2000-01-10,52.125,53.4375,50.749992,51.499992,774900,25.762929999999997
2000-01-11,51.250008,51.812508,49.999992,50.187492,523500,25.10635
2000-01-12,50.4375,51.1875,50.374992,50.875008,1078900,25.45028
2000-01-13,50.937492,50.937492,49.812492,50.25,551500,25.137619
2000-01-14,50.374992,50.374992,48.625008,49.624992,741100,24.824959
2000-01-18,49.000008,49.187508,45.5625,46.6875,1312800,23.355475
2000-01-19,46.000005,47.875005,45.75,47.875005,899200,23.949525
2000-01-20,49.000008,49.000008,47.312505,47.562495,862800,23.793192
2000-01-21,47.562495,48.0,46.000005,46.750005,755200,23.386743
2000-01-24,46.812495,46.812495,44.125005,44.312505,783900,22.167381
2000-01-25,44.374995,44.500005,42.75,43.125,556000,21.57333
2000-01-26,43.3125,44.625,41.8125,44.0625,1097700,22.042316
2000-01-27,43.999995,45.0,43.5,43.875,442500,21.948519
2000-01-28,43.624995,43.624995,42.0,42.1875,567100,21.104345000000002
2000-01-31,42.124995,43.624995,41.687505,43.249995,387900,21.635859
2000-02-01,43.125,44.4375,43.125,44.125005,705400,22.073584
2000-02-02,44.125005,44.749995,42.75,43.062495,306100,21.542061999999998
2000-02-03,43.187505,43.562505,41.875005,42.5625,320400,21.291939000000003
2000-02-04,42.812505,43.000005,41.4375,41.937495,404400,20.97928
2000-02-07,42.0,42.437505,40.249995,40.937505,653200,20.479032999999998
2000-02-08,40.937505,42.250005,40.937505,40.937505,587700,20.479032999999998
2000-02-09,41.125005,41.187495,38.187495,38.687505,1052100,19.353468
2000-02-10,39.1875,39.250005,37.624995,37.812495,828600,18.915744
2000-02-11,37.812495,37.812495,35.374995,35.500005,843300,17.758917999999998
2000-02-14,35.749995,38.8125,35.625,38.187495,763600,19.103338
2000-02-15,38.4375,41.937495,38.4375,41.687505,1480000,20.854222
2000-02-16,41.500005,43.375005,41.500005,41.937495,1201000,20.97928
2000-02-17,42.1875,42.1875,40.000005,40.5,483900,20.260171
2000-02-18,41.25,42.437505,41.0625,41.187495,796900,20.604091
2000-02-22,40.5,41.625,40.5,41.312505,776500,20.752278
2000-02-23,41.312505,41.374995,40.624995,41.25,603900,20.720881
2000-02-24,40.249995,40.249995,37.000005,37.437495,771900,18.805767000000003
2000-02-25,37.6875,38.25,34.125,34.3125,1359900,17.236005
2000-02-28,34.750005,35.500005,34.125,34.937505,2224000,17.549961
2000-02-29,34.937505,36.75,34.5,36.250005,1242700,18.209260999999998
2000-03-01,35.875005,37.3125,35.8125,37.062495,785700,18.617395000000002
2000-03-02,37.187505,37.187505,34.5,35.687505,760000,17.926704
2000-03-03,35.687505,37.750005,35.374995,35.937495,803700,18.05228
2000-03-06,36.874995,36.874995,34.96875,35.4375,533100,17.80112
2000-03-07,35.25,35.25,34.062495,34.062495,629800,17.110422
2000-03-08,34.3125,35.25,34.125,35.25,493800,17.706934
2000-03-09,35.500005,36.250005,35.4375,36.0,708600,18.083678
2000-03-10,35.875005,36.1875,35.374995,35.500005,440700,17.832518
2000-03-13,34.624995,35.312505,34.562505,34.999995,484800,17.581351
2000-03-14,35.25,35.25,33.9375,33.9375,292500,17.047634
2000-03-15,34.000005,37.375005,33.9375,36.499995,1545300,18.334838
2000-03-16,36.5625,40.624995,36.5625,40.249995,803500,20.218554
2000-03-17,38.500005,39.499995,37.062495,37.999995,1132800,19.088324
2000-03-20,37.999995,39.499995,37.999995,39.250005,479800,19.716234
2000-03-21,39.124995,39.375,37.999995,38.562495,417400,19.370882
2000-03-22,38.562495,38.562495,37.062495,37.375005,560100,18.774376
2000-03-23,37.249995,38.625,36.874995,38.562495,553800,19.370882
2000-03-24,38.749995,39.375,38.500005,39.124995,497500,19.653439000000002
2000-03-27,39.124995,39.437505,37.624995,37.999995,218800,19.088324
2000-03-28,41.500005,41.500005,39.625005,40.5,813300,20.344137
2000-03-29,40.5,41.625,40.5,41.25,879700,20.720881
2000-03-30,41.625,42.9375,41.25,41.562495,413800,20.877855
2000-03-31,41.500005,42.1875,41.312505,41.312505,364900,20.752278
2000-04-03,41.0625,42.9375,40.937505,41.8125,636400,21.003438
2000-04-04,41.625,43.3125,41.625,43.000005,806700,21.599951
2000-04-05,43.249995,43.249995,42.5625,42.625005,708400,21.411579
2000-04-06,43.000005,43.999995,42.9375,43.6875,617400,21.945296
2000-04-07,43.562505,45.0,43.562505,43.937505,495700,22.07088
2000-04-10,43.812495,44.875005,43.375005,44.625,613600,22.416226
2000-04-11,44.187495,46.375005,44.187495,45.75,493300,22.98134
2000-04-12,45.812505,48.062508,45.812505,47.0625,730600,23.640641
2000-04-13,47.0625,47.0625,44.687505,44.749995,471700,22.479014000000003
2000-04-14,44.562495,44.562495,40.999995,41.125005,691900,20.658093
2000-04-17,40.999995,42.437505,40.5,42.124995,855000,21.160412
2000-04-18,43.062495,45.0,42.250005,42.437505,585900,21.317393
2000-04-19,42.312495,44.187495,42.124995,42.812505,572700,21.505765
2000-04-20,42.9375,44.562495,42.5625,44.25,516400,22.227854
2000-04-24,43.5,44.749995,43.375005,44.374995,448000,22.290642000000002
2000-04-25,44.25,47.749995,44.125005,47.0625,995800,23.640641
2000-04-26,46.249995,47.312505,45.812505,46.125,748300,23.169712
2000-04-27,45.062505,47.125005,45.062505,46.375005,578200,23.295296
2000-04-28,46.750005,47.312505,46.3125,46.5,626500,23.358083999999998
2000-05-01,46.3125,47.187495,46.000005,46.562505,447700,23.389481
2000-05-02,46.062495,47.562495,45.9375,46.375005,597700,23.295296
2000-05-03,46.999995,46.999995,45.062505,45.312495,351700,22.761571
2000-05-04,45.5625,45.874995,44.875005,45.250005,487800,22.730180999999998
2000-05-05,45.250005,48.312492,45.062505,48.250008,862900,24.237154999999998
2000-05-08,47.500005,47.625,46.187505,46.375005,418200,23.295296
2000-05-09,46.5,46.5,44.25,44.8125,521200,22.510410999999998
2000-05-10,45.0,45.5625,43.875,44.625,292600,22.416226
2000-05-11,45.124995,46.187505,45.0,45.687495,518500,22.949942999999998
2000-05-12,45.687495,46.000005,45.250005,45.437505,319900,22.824367000000002
2000-05-15,45.687495,46.249995,45.375,45.499995,411700,22.855757
2000-05-16,45.625005,46.999995,45.375,46.750005,473200,23.571735999999998
2000-05-17,46.000005,46.375005,45.250005,45.687495,203500,23.03601
2000-05-18,45.499995,46.062495,45.062505,45.437505,203200,22.909963
2000-05-19,45.062505,46.6875,44.4375,46.437495,743700,23.414166
2000-05-22,46.3125,46.999995,45.312495,45.5625,530100,22.972986
2000-05-23,44.625,45.312495,44.625,45.062505,302200,22.720885
2000-05-24,45.124995,45.625005,43.999995,44.125005,569200,22.24819
