Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,48.375,49.75,47.6875,49.375,416200,12.575003
2000-01-04,49.4375,50.5,47.4375,47.5625,422900,12.113389
2000-01-05,48.9375,49.375,47.75,47.8125,247500,12.17706
2000-01-06,47.0,47.3125,46.3125,46.875,397300,11.938294
2000-01-07,48.0,49.0,47.0,48.3125,286100,12.304402
2000-01-10,48.875,49.6875,48.3125,48.3125,306700,12.304402
2000-01-11,47.5625,48.1875,46.75,47.375,302700,12.065636
2000-01-12,47.1875,48.0,46.75,47.75,281800,12.161143
2000-01-13,47.125,49.1875,46.625,48.9375,497400,12.463579
2000-01-14,48.6875,48.6875,47.3125,48.1875,325700,12.272567
2000-01-18,50.0,50.8125,49.375,50.75,795200,12.925193
2000-01-19,52.0,54.0,51.5,51.9375,1444400,13.22763
2000-01-20,52.5,52.625,48.625,49.0,588000,12.479497
2000-01-21,50.9375,51.0,49.375,49.625,597800,12.638674
2000-01-24,49.125,49.5,46.75,46.875,660700,11.938294
2000-01-25,48.0,49.4375,47.75,48.0,1033200,12.224813000000001
2000-01-26,48.375,48.875,47.875,48.25,645300,12.288484
2000-01-27,48.25,49.75,48.25,48.75,567900,12.415826
2000-01-28,49.0,49.9375,48.5,48.5,703900,12.352155
2000-01-31,48.5,49.6875,47.5625,49.4375,571300,12.590921
2000-02-01,49.4375,49.75,48.125,49.4375,338500,12.590921
2000-02-02,49.3125,49.875,48.375,48.5,387800,12.352155
2000-02-03,49.0,49.0,48.0625,48.5,540900,12.352155
2000-02-04,48.6875,49.0,47.5,47.6875,739800,12.145225
2000-02-07,47.6875,47.875,46.125,46.3125,408400,11.795035
2000-02-08,47.0,47.375,45.625,46.0,501300,11.715446
2000-02-09,45.9375,45.9375,43.6875,44.0625,594500,11.221997
2000-02-10,44.375,45.25,44.375,45.1875,581100,11.575505999999999
2000-02-11,45.1875,45.25,43.75,44.375,388700,11.367371
2000-02-14,44.0,44.4375,43.25,43.75,270100,11.207267
2000-02-15,43.625,46.0,43.375,45.8125,439500,11.735609
2000-02-16,45.5625,46.6875,45.4375,46.5625,346600,11.927734
2000-02-17,46.0625,47.25,45.8125,47.0625,370300,12.055817
2000-02-18,48.375,48.9375,48.0,48.5625,604700,12.440066
2000-02-22,48.1875,51.25,48.1875,51.125,682700,13.096492
2000-02-23,50.875,50.875,49.0,49.25,988900,12.61618
2000-02-24,49.0,49.1875,46.6875,47.625,577800,12.199911
2000-02-25,48.125,48.375,46.0,46.375,614900,11.879703
2000-02-28,46.375,46.4375,44.125,45.0,403500,11.527475
2000-02-29,44.75,46.75,44.4375,45.25,468200,11.591516
2000-03-01,45.25,45.5,44.375,45.0,667000,11.527475
2000-03-02,44.875,46.5,44.375,45.625,1529400,11.687578
2000-03-03,45.75,47.1875,45.1875,46.8125,282200,11.991776
2000-03-06,45.875,46.875,44.8125,45.5625,540400,11.671567999999999
2000-03-07,45.0625,45.0625,36.8125,40.0,1434500,10.246644
2000-03-08,40.0,40.5,38.875,39.0625,961800,10.006488000000001
2000-03-09,39.0,39.5,38.625,39.4375,562400,10.102551
2000-03-10,39.375,40.1875,39.0,39.25,503600,10.054519
2000-03-13,38.5,39.125,37.8125,38.5,516700,9.862395
2000-03-14,38.5,38.9375,37.625,38.375,1218600,9.830374
2000-03-15,38.0,41.375,38.0,40.375,508400,10.342706
2000-03-16,40.125,43.0,40.0,42.75,499400,10.951101
2000-03-17,41.5,41.9375,40.5625,40.5625,564100,10.390737
2000-03-20,40.9375,42.4375,40.75,41.5625,235300,10.646904
2000-03-21,41.0625,42.875,40.1875,42.0625,487100,10.774987
2000-03-22,41.5625,41.5625,39.6875,39.9375,320900,10.230634
2000-03-23,39.875,41.625,39.125,41.25,415000,10.566852
2000-03-24,40.5,42.125,40.5,41.4375,238200,10.614883
2000-03-27,41.5625,42.625,41.375,41.4375,322500,10.614883
2000-03-28,40.4375,41.625,40.375,40.8125,325700,10.454778999999998
2000-03-29,40.5625,40.875,39.0625,39.25,522200,10.054519
2000-03-30,39.25,40.0,38.625,39.8125,406800,10.198613
2000-03-31,39.6875,43.5625,39.625,41.8125,630200,10.710944999999999
2000-04-03,42.4375,42.9375,40.8125,41.4375,417400,10.614883
2000-04-04,40.4375,42.5,40.25,41.875,679200,10.726955
2000-04-05,42.1875,43.125,41.1875,42.5,384700,10.887058999999999
2000-04-06,42.75,44.6875,42.5,43.3125,512300,11.095194000000001
2000-04-07,43.0625,44.1875,42.6875,43.75,448100,11.207267
2000-04-10,43.5,44.125,42.875,43.5,419700,11.143225
2000-04-11,44.5,44.9375,43.9375,44.625,335600,11.431412
2000-04-12,44.5625,45.9375,43.6875,43.75,942400,11.207267
2000-04-13,43.9375,46.75,43.5,43.5625,1164300,11.159236
2000-04-14,43.4375,43.4375,41.0,41.0625,417900,10.518821
2000-04-17,40.5,40.8125,38.0,39.1875,813700,10.038509
2000-04-18,38.125,38.9375,38.0625,38.5625,643100,9.878405
2000-04-19,38.3125,38.9375,37.9375,38.25,1259600,9.798353
2000-04-20,38.875,40.0,38.3125,39.5,847500,10.118561
2000-04-24,39.75,40.625,39.125,39.125,648400,10.022499
2000-04-25,39.25,40.1875,39.25,39.5625,650800,10.134571000000001
2000-04-26,39.8125,40.0625,38.9375,38.9375,749100,9.974468
2000-04-27,38.25,40.0,38.0,39.5625,984800,10.134571000000001
2000-04-28,39.3125,40.0625,39.25,39.375,584000,10.08654
2000-05-01,39.375,39.9375,37.875,38.75,1672900,9.926436
2000-05-02,38.9375,39.8125,38.4375,39.1875,2193500,10.038509
2000-05-03,39.1875,39.8125,38.25,38.8125,519900,9.942447
2000-05-04,38.9375,41.0,38.5625,39.0625,927700,10.006488000000001
2000-05-05,38.875,40.875,38.8125,40.25,658400,10.310686
2000-05-08,39.75,40.75,39.5,40.1875,872400,10.294675
2000-05-09,39.9375,40.25,38.3125,39.125,417400,10.022499
2000-05-10,39.125,39.125,37.6875,37.875,439000,9.702291
2000-05-11,37.9375,38.5,37.75,38.25,828800,9.868705
2000-05-12,38.125,38.25,37.875,38.0,449100,9.804203
2000-05-15,37.75,37.875,36.8125,37.875,464100,9.771953
2000-05-16,37.625,38.375,37.5625,38.0625,708800,9.820329
2000-05-17,38.6875,41.4375,38.6875,40.625,1566800,10.481467
2000-05-18,41.0,41.6875,40.0,40.4375,571100,10.433091000000001
2000-05-19,40.5625,40.75,39.625,39.9375,608600,10.304089
2000-05-22,40.1875,41.625,40.0,41.4375,743600,10.691097000000001
2000-05-23,41.1875,41.9375,40.1875,40.25,501500,10.384715
2000-05-24,40.5,41.875,40.4375,41.0625,535300,10.594345
2000-05-25,41.375,42.6875,40.375,40.6875,822200,10.497593
2000-05-26,41.0,42.0625,41.0,41.375,368100,10.674971000000001
2000-05-30,40.5,41.5,39.5,40.4375,605100,10.433091000000001
2000-05-31,40.1875,42.125,40.1875,41.0,496700,10.578219
2000-06-01,41.5,42.25,41.0625,41.9375,432700,10.820099
2000-06-02,42.5,43.125,41.25,41.625,492600,10.739473
2000-06-05,41.625,42.1875,41.5,41.8125,316600,10.787849000000001
2000-06-06,41.0625,42.0,40.25,41.1875,400400,10.626595
2000-06-07,41.5,41.625,39.125,39.625,455900,10.223462
2000-06-08,39.125,39.5,38.75,39.375,652300,10.158961
2000-06-09,39.375,39.875,39.1875,39.3125,201000,10.142835
2000-06-12,39.0625,39.8125,38.1875,38.4375,347600,9.917081
2000-06-13,38.5,38.5625,37.625,37.9375,317500,9.788078
2000-06-14,37.625,38.0625,37.1875,37.1875,451000,9.594574
2000-06-15,37.4375,38.5,36.625,38.0,1044700,9.804203
2000-06-16,37.75,38.75,37.625,37.8125,873700,9.755827
2000-06-19,38.0,38.125,35.5,36.0,649900,9.288193
2000-06-20,36.0,36.375,32.875,32.9375,1660500,8.498051
2000-06-21,32.9375,33.625,32.375,33.3125,1825800,8.594803
2000-06-22,34.375,34.5,33.625,33.875,958300,8.739931
2000-06-23,33.8125,33.875,32.875,33.375,583000,8.610928999999999
2000-06-26,33.125,33.6875,33.0,33.5,744400,8.643179
2000-06-27,33.5,34.1875,33.375,33.5625,523300,8.659305
2000-06-28,33.625,33.9375,32.5,32.65625,781700,8.425487
2000-06-29,32.6875,32.9375,31.3125,32.0,787100,8.256171
2000-06-30,32.0,32.25,31.0,31.5,1033000,8.127169
2000-07-03,31.625,31.8125,31.375,31.75,214600,8.19167
2000-07-05,31.75,33.3125,31.75,32.5,942000,8.385174000000001
2000-07-06,32.375,33.0,32.375,32.4375,598800,8.369049
2000-07-07,32.5,33.3125,32.5,33.125,802500,8.546427
2000-07-10,33.1875,33.875,32.9375,33.0,546800,8.514177
2000-07-11,33.0,33.375,32.875,33.0625,726300,8.530302
