Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,64.9375,65.0,62.0,62.5,2140400,22.303929999999998
2000-01-04,61.125,62.4375,59.0,59.9375,3367000,21.389468
2000-01-05,59.9375,60.25,58.5,58.75,3904600,20.965694
2000-01-06,58.5,61.8125,56.875,61.5625,6148600,21.969371
2000-01-07,61.5625,64.6875,60.625,64.0,3995000,22.839223999999998
2000-01-10,64.0,65.25,63.6875,64.625,2460200,23.062263
2000-01-11,64.375,64.4375,62.9375,63.125,2210000,22.526969
2000-01-12,63.1875,65.5,63.125,64.5625,2532200,23.039959
2000-01-13,64.1875,65.875,64.0,65.25,2106400,23.285301999999998
2000-01-14,65.25,65.25,63.0,63.8125,3040800,22.772312
2000-01-18,63.0,63.4375,60.1875,62.75,4874600,22.393145
2000-01-19,62.375,63.5,60.4375,60.6875,3621200,21.657116000000002
2000-01-20,61.0625,61.3125,58.0625,59.3125,3840200,21.166429
2000-01-21,59.5,61.0,58.0625,60.625,4532400,21.634812
2000-01-24,62.5,63.75,59.5,60.0,5444400,21.411772
2000-01-25,59.375,59.625,56.0,56.875,5178200,20.296576
2000-01-26,56.875,58.0,55.375,57.0,4411200,20.341184
2000-01-27,57.0,57.375,54.0,55.1875,3873800,19.694370000000003
2000-01-28,54.9375,55.125,51.5,52.25,7165400,18.646085
2000-01-31,52.625,53.75,52.3125,52.9375,4094800,18.891428
2000-02-01,53.5,54.0,52.5625,53.6875,5269600,19.159075
2000-02-02,53.875,54.5,53.1875,53.75,3064200,19.181379
2000-02-03,54.25,54.375,51.5,52.9375,4442000,18.891428
2000-02-04,53.0,53.5,50.0,51.375,6752800,18.33383
2000-02-07,51.1875,52.0,50.3125,51.1875,7392400,18.266918
2000-02-08,51.0,51.625,49.9375,51.0,4819600,18.200007
2000-02-09,51.875,52.5625,50.5,50.625,5518600,18.066183
2000-02-10,50.75,51.6875,49.75,50.125,3483600,17.887752
2000-02-11,50.125,51.0625,47.5625,48.375,3988000,17.263241
2000-02-14,48.8125,51.5,48.8125,50.3125,4672400,17.954663
2000-02-15,50.625,52.875,49.625,52.4375,6492000,18.712997
2000-02-16,52.6875,53.875,52.0,52.125,3866200,18.672695
2000-02-17,54.0,54.625,52.0,54.125,3986200,19.389153
2000-02-18,54.25,54.5,51.875,52.375,2937000,18.762252
2000-02-22,53.625,54.4375,51.3125,53.5,2887800,19.16526
2000-02-23,53.5,54.375,52.75,52.75,3639000,18.896588
2000-02-24,52.875,53.125,50.1875,50.875,4850000,18.224909
2000-02-25,50.5,51.125,49.875,50.0625,4349600,17.933847
2000-02-28,50.75,51.75,50.0,51.0625,7077600,18.292076
2000-02-29,52.0,52.0,50.5,50.9375,3241600,18.247298
2000-03-01,50.9375,51.125,48.75,50.8125,3662800,18.202519
2000-03-02,50.75,51.375,49.625,50.8125,3311600,18.202519
2000-03-03,50.5625,52.9375,50.0,51.8125,3196000,18.560748
2000-03-06,52.3125,52.6875,49.25,50.0,3306200,17.911458
2000-03-07,50.125,51.5625,48.75,50.5,3321600,18.090573000000003
2000-03-08,50.5,50.5,49.0,49.25,3341400,17.642785999999997
2000-03-09,48.5,49.0,46.5,48.0625,4442200,17.217389
2000-03-10,47.8125,49.5,46.9375,48.875,4031600,17.50845
2000-03-13,48.5,49.4375,48.1875,49.0,2977800,17.553229
2000-03-14,49.5625,50.625,49.5625,49.9375,4819000,17.889069
2000-03-15,50.0625,55.5,49.375,53.875,6193600,19.299595999999998
2000-03-16,54.875,57.9375,54.25,57.0,6666400,20.419062
2000-03-17,56.0,58.375,54.1875,54.625,5387400,19.568268
2000-03-20,54.625,57.8125,53.9375,56.125,3508200,20.105612
2000-03-21,55.75,57.8125,55.25,56.75,3442000,20.329504999999997
2000-03-22,57.5,58.25,55.375,55.8125,5261000,19.993665
2000-03-23,55.875,58.375,55.0,58.375,3499600,20.911627
2000-03-24,57.5,59.0,56.5,57.0625,3298200,20.441451
2000-03-27,58.875,58.875,57.0,57.4375,2979600,20.575787
2000-03-28,57.0,58.25,57.0,57.8125,2408800,20.710123
2000-03-29,57.375,58.25,56.3125,57.625,2301200,20.642955
2000-03-30,57.5,62.0,57.5,61.375,4159400,21.986315
2000-03-31,60.0,64.5,59.75,63.1875,5577400,22.635604999999998
2000-04-03,63.1875,63.875,59.75,61.875,4282400,22.165429
2000-04-04,63.0,63.875,59.5625,63.1875,3104000,22.635604999999998
2000-04-05,62.25,62.75,60.5,61.0,2719200,21.851979
2000-04-06,61.0625,62.625,60.75,61.5,2314200,22.031093
2000-04-07,61.5,61.875,60.0,60.9375,2466200,21.829589000000002
2000-04-10,60.9375,64.0,60.75,64.0,3665200,22.926666
2000-04-11,62.875,65.75,62.6875,64.25,4577000,23.016223999999998
2000-04-12,64.125,65.25,64.125,64.25,4755200,23.016223999999998
2000-04-13,64.125,64.6875,60.8125,60.875,4741400,21.8072
2000-04-14,57.125,59.0,56.0625,56.25,5061600,20.150389999999998
2000-04-17,58.0,59.6875,57.625,59.5625,2781000,21.337024
2000-04-18,58.75,60.375,56.8125,58.0625,2700800,20.799681
2000-04-19,59.125,62.4375,58.75,61.125,3027400,21.896757
2000-04-20,60.0,64.625,59.875,64.0625,4478000,22.949056
2000-04-24,65.0,66.125,64.0,64.875,5185600,23.240117
2000-04-25,65.0,65.6875,63.3125,64.5625,3311000,23.12817
2000-04-26,64.1875,64.5,60.625,60.625,3729200,21.717643
2000-04-27,60.5,62.8125,60.0,62.0,2289800,22.210207999999998
2000-04-28,62.0,62.875,60.75,62.1875,1395200,22.277376
2000-05-01,61.4375,63.625,61.0,62.0,2307800,22.210207999999998
2000-05-02,62.4375,63.875,61.5625,62.75,3010000,22.47888
2000-05-03,61.25,62.1875,60.5625,61.3125,1538400,21.963925
2000-05-04,61.4375,62.25,60.0,61.75,3223000,22.120651000000002
2000-05-05,62.0,65.9375,61.625,65.3125,3386200,23.396842000000003
2000-05-08,65.0625,66.9375,61.9375,62.25,3777400,22.299765
2000-05-09,62.375,63.5,61.5625,62.5,2408400,22.389323
2000-05-10,62.9375,63.5,59.0,59.75,4306200,21.404192000000002
2000-05-11,61.625,64.5,61.375,63.5,2625400,22.747552
2000-05-12,63.625,64.875,62.875,64.25,2420400,23.016223999999998
2000-05-15,63.5,65.0,63.5,64.0625,2277800,22.949056
2000-05-16,64.875,66.4375,64.3125,66.1875,2178200,23.710293
2000-05-17,65.75,65.75,64.625,65.1875,2165200,23.422841000000002
2000-05-18,64.9375,65.875,64.375,64.890617,1848000,23.316167
2000-05-19,63.5,63.875,61.625,62.375,2161000,22.412268
2000-05-22,63.0,63.0,61.625,61.9375,3453600,22.255067999999998
2000-05-23,62.4375,62.4375,60.4375,60.8125,3230800,21.850838
2000-05-24,61.875,61.875,59.0,59.875,4726800,21.513981
2000-05-25,59.875,59.875,58.4375,59.375,3716800,21.334323
2000-05-26,60.125,60.125,58.375,58.9375,1678800,21.177123
2000-05-30,58.6875,59.5625,57.75,59.0,3547000,21.199579999999997
2000-05-31,58.9375,61.375,58.6875,60.4375,2836800,21.716095000000003
2000-06-01,59.0,61.875,58.0625,61.6875,3278600,22.165239
2000-06-02,62.8125,64.875,62.625,63.125,3129400,22.681754
2000-06-05,61.125,61.5625,59.75,60.75,2447800,21.828381
2000-06-06,60.75,61.9375,60.125,61.5625,1887000,22.120325
2000-06-07,61.625,62.25,59.875,60.0,1936200,21.558895
2000-06-08,58.0,58.25,56.0,56.9375,7184600,20.458493
2000-06-09,57.5,59.3125,57.375,58.6875,3856000,21.087294
2000-06-12,58.75,59.125,58.25,58.281239,1764800,20.941318
2000-06-13,58.75,58.8125,57.0,57.1875,2685600,20.548322
2000-06-14,58.0,60.25,58.0,59.75,3227200,21.469066
2000-06-15,59.8125,61.75,58.9375,59.625,2175600,21.424152
2000-06-16,59.125,60.25,58.1875,58.875,3612800,21.154666
2000-06-19,59.25,59.3125,56.3125,57.375,4281800,20.615693
2000-06-20,57.0,57.125,55.125,55.625,5452200,19.986892
2000-06-21,57.125,57.4375,55.375,56.875,2787000,20.436035999999998
2000-06-22,58.0,58.0,55.625,56.5,2640200,20.301292999999998
2000-06-23,56.5,57.25,55.8125,57.0625,1551800,20.503408
2000-06-26,57.75,58.0,56.5,57.0625,1500000,20.503408
2000-06-27,57.0,58.125,56.3125,56.5,3035600,20.301292999999998
2000-06-28,56.5,57.6875,56.1875,56.734379000000004,2568200,20.385509
2000-06-29,56.0625,56.125,54.1875,54.5,3472400,19.582663
2000-06-30,54.9375,58.984379000000004,54.0,58.875,5072200,21.154666
2000-07-03,57.5,57.5625,55.375,56.6875,1696600,20.368664000000003
2000-07-05,58.5,59.1875,57.625,58.75,2827400,21.109751
2000-07-06,58.75,59.125,57.625,57.6875,2493600,20.727979
2000-07-07,57.9375,58.9375,57.75,58.75,2858200,21.109751
2000-07-10,58.8125,59.5625,58.25,59.3125,2957800,21.311866000000002
2000-07-11,59.375,60.0625,58.5625,60.0,3401800,21.558895
2000-07-12,59.1875,60.375,58.25,60.25,3886000,21.648723999999998
2000-07-13,60.25,60.875,59.875,60.5,3175200,21.738553
2000-07-14,61.0,61.75,60.375,61.125,1695800,21.963124
2000-07-17,60.875,60.9375,60.25,60.531239,1464800,21.749776999999998
2000-07-18,60.25,60.25,58.375,59.0,2002200,21.199579999999997
2000-07-19,60.0,60.4375,57.25,57.5,4131200,20.660608
2000-07-20,57.5,58.0,56.875,57.375,4198200,20.615693
2000-07-21,57.375,59.0,57.375,58.75,3527200,21.109751
2000-07-24,58.625,59.5,58.375,59.0625,1684000,21.222037
2000-07-25,59.0,60.0,58.125,58.25,2336000,20.930094
2000-07-26,58.5,58.5,56.9375,57.375,2997400,20.615693
2000-07-27,57.5,58.125,56.3125,57.5,3107800,20.660608
2000-07-28,57.5,57.75,56.3125,57.4375,1991400,20.638151
2000-07-31,58.0,59.75,57.9375,58.375,1589400,20.975008
2000-08-01,59.125,59.5,58.625,59.25,3064800,21.289409
2000-08-02,59.125,59.375,58.0625,58.1875,1756200,20.907637
2000-08-03,58.1875,58.375,56.8125,57.125,2499600,20.525865
2000-08-04,57.5625,59.0625,57.0,59.0,3432800,21.199579999999997
2000-08-07,59.5,61.0,58.625,61.0,2939800,21.918210000000002
2000-08-08,60.9375,61.5,60.0,61.25,2569000,22.008039
2000-08-09,61.75,61.75,60.375,60.875,2426800,21.873296
2000-08-10,61.125,62.25,60.875,61.125,2821600,21.963124
2000-08-11,61.3125,61.3125,60.1875,60.75,2259800,21.828381
2000-08-14,60.25,61.0,60.125,60.9375,1361200,21.895753
2000-08-15,61.0,61.25,59.75,60.0625,2404200,21.581352
2000-08-16,61.0,61.125,60.1875,60.625,1562800,21.783467
2000-08-17,60.875,62.875,60.25,62.5,3595800,22.457182
2000-08-18,62.9375,62.9375,61.5,61.5,1542600,22.097867
2000-08-21,62.125,63.75,62.0,63.5,2897400,22.816497000000002
2000-08-22,63.75,64.25,62.5625,63.75,3040800,22.906326
2000-08-23,63.5,64.375,62.375,64.093758,3225400,23.102322
2000-08-24,64.125,65.0,62.625,63.25,3050200,22.798192999999998
2000-08-25,63.625,63.9375,62.5625,63.25,1676200,22.798192999999998
2000-08-28,63.1875,64.0,62.5,63.8125,2157200,23.000944
2000-08-29,63.5625,63.5625,62.375,62.5625,1788400,22.550386
2000-08-30,62.5,62.5,60.5,61.0,2056600,21.98719
2000-08-31,61.0,62.625,60.9375,62.4375,2519400,22.505330999999998
2000-09-01,62.6875,62.75,61.5625,62.0,1420000,22.347635999999998
2000-09-05,61.125,62.0,61.0,61.25,1784800,22.077301000000002
2000-09-06,61.1875,64.125,61.125,63.8125,3977200,23.000944
2000-09-07,64.875,65.5625,63.125,63.5,4842200,22.888304
2000-09-08,63.375,63.375,60.875,61.875,3282800,22.30258
2000-09-11,61.875,63.3125,61.75,62.875,2935600,22.663026000000002
2000-09-12,62.125,63.0,61.4375,62.875,2960600,22.663026000000002
2000-09-13,62.9375,63.25,62.375,62.9375,3172800,22.685554
2000-09-14,64.0,64.375,63.8125,64.0,5147800,23.068527
2000-09-15,65.0,67.3125,63.6875,63.9375,10467000,23.045999
2000-09-18,64.5,65.0,63.125,64.375,4838200,23.203694
2000-09-19,64.875,64.875,61.5625,62.625,6235000,22.572914
2000-09-20,63.0,63.875,59.0,63.5,10323800,22.888304
2000-09-21,61.5,63.0625,61.25,62.25,4557800,22.437747
2000-09-22,62.75,65.75,61.1875,65.5,8024800,23.609196
2000-09-25,66.0,68.0,65.875,66.75,5436000,24.059753
2000-09-26,67.125,68.25,66.625,67.125,3733800,24.19492
2000-09-27,67.3125,70.0,66.6875,68.8125,6242600,24.803172
2000-09-28,69.5,72.875,69.0,71.5,6746200,25.77187
2000-09-29,71.0,71.625,68.625,69.375,3682600,25.005923000000003
2000-10-02,68.875,69.75,67.5,68.25,3782200,24.600422000000002
2000-10-03,68.75,72.625,68.4375,70.625,3625600,25.45648
