Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
THRM  ,-7.34      ,36.60     ,254831   ,18.78    ,1.44B     ,57             ,+3.27                     ,44.61     ,37.40     ,0.49 ,-78.46      ,11.94                  ,13.59             ,17.72                  ,37.01                  ,Auto Components                               ,NASDAQ  ,GENTHERM INC             ,Auto Parts & Equipment                    ,--      ,39.25         ,36.55 ,300     ,210278       ,305164      ,121.19                  ,83.51                  ,No        ,39.50 ,39.55 ,36.65 ,98.63                 ,219539        ,235465     ,116.08                   ,108.22                ,No                ,Consumer Discretionary    ,--            ,39.25     ,36.20 ,700     ,212710      ,63.82                     ,119.80                 ,8.05M          ,Yes                 ,D  ,--       ,B                  ,30.00          ,30.00                 ,40.00           ,--                     ,--              ,10                ,2.10              ,76.60M    ,917.60M,76.60M  ,36.58M            ,2.09    ,2.09      ,2.62      ,2.43        ,1.95      ,0.94      ,0.39      ,20.00                       ,8.35    ,78.53             ,-2.65 ,-0.40                  ,+6.05                      ,+5.93                  ,+9.62                   ,-22.29               ,+142.58              ,-0.90                ,+2.01     ,39.47        ,39.47    ,5.07                   ,34.54     ,26.60    ,88.06                   ,2.45                         ,-6.75   ,+0.25,+2.25                  ,-0.01                 ,+2.35                  ,+17.80                   ,+15.95               ,+13.05               ,+13.81               ,+18.14            ,1               ,39.47     ,39.47   ,38.37       ,34.54   ,-9.60                ,2.95           ,-2.90    ,+0.64,+1.24                   ,+2.24                    ,+6.37                    ,+3.45                 ,-5.63                ,+139.62              ,+9.95                ,+10.27            ,39.47      ,44.62     ,35.79    ,32.40  ,3.35         ,62.00            ,-0.40         ,0.81              ,--                   ,18.78                    ,4.09            ,36.80        ,16.17                ,1.56     ,37.50     ,36.27     ,33.60      ,37.23     ,35.18      ,73.04                ,52.52     ,26.60                   ,21.54,39.23               ,3.10                      ,2.35           ,35.88     ,33.42      ,37.50     ,36.27     ,35.00      ,51.74     ,57.91                ,0.37          ,66.74,0.47       ,0.70           ,3.55                      ,37.01     ,34.57      ,35.98     ,60.89                ,26.80                   ,72.80   ,34.80                  ,1.06           ,4.40                      ,485.49    , 
VRTU  ,-6.89      ,27.86     ,599958   ,65.86    ,905.33M   ,94             ,+1.78                     ,28.88     ,30.20     ,-0.13,-98.12      ,4.10                   ,-32.86            ,22.81                  ,30.96                  ,IT Services                                   ,NASDAQ  ,VIRTUSA CORP             ,IT Consulting & Other Services            ,--      ,30.22         ,27.84 ,100     ,502658       ,356608      ,119.36                  ,168.24                 ,No        ,29.92 ,30.20 ,27.91 ,91.39                 ,579979        ,351327     ,103.44                   ,170.77                ,No                ,Information Technology    ,--            ,30.22     ,27.76 ,200     ,576156      ,175.80                    ,104.13                 ,15.14M         ,Yes                 ,D  ,--       ,--                 ,55.56          ,33.33                 ,11.11           ,--                     ,--              ,9                 ,1.56              ,45.02M    ,600.30M,45.02M  ,29.96M            ,0.46    ,1.49      ,1.44      ,1.27        ,1.27      ,1.11      ,0.79      ,15.83                       ,7.46    ,32.94             ,-2.36 ,-3.54                  ,-2.39                      ,+4.87                  ,+5.02                   ,-26.97               ,+74.99               ,-11.98               ,+1.56     ,30.64        ,34.92    ,8.11                   ,29.05     ,18.03    ,95.90                   ,9.79                         ,-7.81   ,-0.30,+2.67                  ,-0.08                 ,-1.08                  ,+19.22                   ,+20.30               ,-9.82                ,+39.56               ,+3.66             ,2               ,31.09     ,34.92   ,29.94       ,29.05   ,-9.73                ,2.34           ,-2.06    ,-0.99,+0.53                   ,-0.74                    ,-3.44                    ,+1.44                 ,-19.33               ,+27.19               ,+18.22               ,+2.38             ,34.92      ,38.31     ,29.62    ,24.84  ,2.44         ,93.00            ,-0.10         ,2.83              ,--                   ,20.28                    ,4.29            ,29.56        ,23.70                ,1.51     ,29.89     ,29.26     ,25.52      ,30.27     ,27.89      ,46.02                ,49.91     ,25.94                   ,1.88 ,33.47               ,-1.53                     ,2.27           ,28.92     ,25.81      ,30.59     ,29.31     ,27.72      ,46.49     ,55.06                ,14.61         ,12.55,0.29       ,2.02           ,4.42                      ,30.96     ,26.50      ,28.92     ,54.44                ,19.32                   ,15.90   ,28.45                  ,-5.29          ,4.76                      ,-2453.99  , 
PATK  ,-5.25      ,67.18     ,158179   ,19.48    ,1.19B     ,67             ,+2.96                     ,33.13     ,70.18     ,-2.45,-88.19      ,12.14                  ,14.11             ,34.52                  ,70.40                  ,Building Products                             ,NCM     ,PATRICK INDUSTRIES INC   ,Building Products                         ,--      ,70.90         ,67.10 ,100     ,168191       ,140141      ,94.05                   ,112.87                 ,No        ,70.90 ,71.70 ,67.25 ,78.87                 ,266939        ,165905     ,59.26                    ,95.34                 ,No                ,Industrials               ,--            ,70.90     ,66.55 ,300     ,249576      ,56.22                     ,63.38                  ,11.61M         ,Yes                 ,C  ,--       ,B-                 ,25.00          ,50.00                 ,25.00           ,--                     ,--              ,4                 ,2.00              ,55.58M    ,1.22B  ,55.58M  ,16.76M            ,3.64    ,3.64      ,2.72      ,3.91        ,1.91      ,1.49      ,1.76      ,15.00                       ,4.55    ,271.71            ,-3.72 ,-14.12                 ,+0.71                      ,-0.65                  ,-8.85                   ,+70.79               ,+775.31              ,+49.45               ,+1.15     ,71.40        ,82.85    ,14.40                  ,66.65     ,43.36    ,87.86                   ,3.23                         ,-5.25   ,0.00 ,-9.16                  ,-0.02                 ,-1.10                  ,-0.90                    ,-7.08                ,+139.91              ,+11.91               ,+35.39            ,5               ,71.40     ,86.10   ,68.75       ,66.65   ,-23.19               ,4.53           ,-3.72    ,0.00 ,+2.04                   ,+0.50                    ,-1.53                    ,-6.88                 ,+56.20               ,+574.81              ,+24.71               ,+12.13            ,81.59      ,86.10     ,66.65    ,66.65  ,5.15         ,13.00            ,-0.63         ,0.84              ,--                   ,19.48                    ,--              ,138.48       ,18.14                ,0.97     ,68.91     ,77.02     ,72.44      ,71.10     ,73.17      ,47.46                ,44.51     ,28.43                   ,11.81,74.96               ,-10.40                    ,-12.48         ,77.54     ,68.49      ,69.34     ,74.09     ,72.21      ,39.61     ,47.68                ,31.05         ,45.03,-2.61      ,-14.03         ,-9.15                     ,70.40     ,75.03      ,74.24     ,44.31                ,14.96                   ,42.30   ,65.84                  ,-13.78         ,-10.30                    ,400.65    , 
CRAY  ,-5.25      ,20.75     ,339006   ,84.23    ,892.12M   ,28             ,+1.67                     ,46.13     ,21.06     ,0.38 ,-51.36      ,10.91                  ,39.12             ,19.80                  ,20.66                  ,Technology Hardware Storage & Peripherals     ,NASDAQ  ,CRAY INC                 ,Technology Hardware Storage & Peripherals ,--      ,21.90         ,20.75 ,800     ,299056       ,462496      ,113.36                  ,73.30                  ,No        ,21.90 ,21.98 ,20.80 ,96.33                 ,310178        ,456670     ,109.29                   ,74.23                 ,No                ,Information Technology    ,--            ,21.90     ,20.60 ,800     ,304137      ,102.19                    ,111.46                 ,6.47M          ,Yes                 ,C  ,--       ,B-                 ,60.00          ,20.00                 ,20.00           ,--                     ,--              ,5                 ,1.60              ,10.62M    ,629.81M,10.62M  ,40.74M            ,0.26    ,0.26      ,0.68      ,-0.13       ,1.54      ,0.81      ,4.27      ,21.50                       ,1.69    ,480.04            ,-1.15 ,-0.45                  ,+6.00                      ,+1.55                  ,+11.02                  ,-22.01               ,+199.18              ,-37.42               ,+1.35     ,22.07        ,22.07    ,21.43                  ,19.20     ,16.10    ,89.09                   ,1.14                         ,-5.25   ,0.00 ,-0.20                  ,-0.03                 ,+1.32                  ,+7.62                    ,+5.80                ,-41.32               ,+8.03                ,+2.09             ,1               ,22.07     ,22.55   ,21.75       ,19.20   ,-4.50                ,1.23           ,-1.15    ,0.00 ,+0.36                   ,+1.24                    ,+6.42                    ,+2.17                 ,-47.75               ,-5.64                ,-8.95                ,+1.51             ,22.07      ,43.40     ,20.60    ,16.10  ,1.38         ,51.00            ,-0.15         ,3.62              ,--                   ,84.23                    ,1.72            ,--           ,--                   ,1.42     ,21.24     ,19.89     ,20.02      ,20.92     ,20.73      ,76.77                ,50.09     ,24.87                   ,48.64,22.17               ,1.85                      ,0.05           ,19.70     ,22.36      ,20.99     ,20.42     ,21.10      ,51.95     ,53.47                ,1.67          ,80.16,0.34       ,3.70           ,0.55                      ,20.66     ,19.85      ,20.38     ,58.79                ,24.05                   ,91.30   ,19.15                  ,0.95           ,5.51                      ,1974.63   , 
VDSI  ,-4.80      ,12.90     ,106793   ,51.00    ,542.81M   ,14             ,+2.43                     ,42.72     ,13.14     ,-0.14,-79.17      ,--                     ,15.93             ,17.42                  ,13.07                  ,Software                                      ,NSC     ,VASCO DATA SEC INTL INC  ,Systems Software                          ,--      ,13.50         ,12.85 ,1100    ,161001       ,250426      ,66.33                   ,42.64                  ,No        ,13.55 ,13.60 ,12.95 ,64.96                 ,186806        ,229556     ,57.17                    ,46.52                 ,No                ,Information Technology    ,--            ,13.50     ,12.90 ,1500    ,186530      ,41.07                     ,57.25                  ,2.13M          ,Yes                 ,C  ,--       ,B-                 ,75.00          ,--                    ,25.00           ,--                     ,--              ,4                 ,1.50              ,10.51M    ,192.30M,10.51M  ,40.21M            ,0.26    ,0.26      ,1.06      ,0.28        ,0.85      ,0.28      ,0.40      ,26.00                       ,5.47    ,319.97            ,-0.60 ,-0.40                  ,+3.33                      ,-1.23                  ,-3.81                   ,-37.33               ,+25.12               ,-21.36               ,+1.67     ,13.55        ,13.85    ,5.70                   ,12.40     ,12.40    ,100.00                  ,1.78                         ,-4.44   ,+0.05,-0.95                  ,-0.01                 ,+0.45                  ,-8.32                    ,-1.10                ,+79.05               ,-10.34               ,+4.17             ,1               ,13.55     ,15.77   ,13.00       ,12.40   ,-0.50                ,0.70           ,-0.65    ,+0.37,+0.32                   ,+0.44                    ,+3.45                    ,-0.53                 ,-12.34               ,+59.95               ,-28.69               ,+3.29             ,13.85      ,19.30     ,12.65    ,12.40  ,0.70         ,18.00            ,0.00          ,2.19              ,--                   ,51.00                    ,3.46            ,--           ,49.09                ,2.82     ,13.04     ,13.85     ,14.35      ,13.18     ,14.24      ,60.00                ,44.08     ,18.41                   ,20.83,13.57               ,0.60                      ,-1.75          ,14.00     ,15.61      ,13.13     ,13.62     ,14.45      ,43.42     ,46.51                ,0.53          ,47.22,-0.21      ,-2.45          ,-1.15                     ,13.07     ,14.15      ,13.75     ,47.76                ,18.61                   ,49.46   ,12.56                  ,0.20           ,-1.35                     ,390.90    , 
FNGN  ,-4.68      ,41.70     ,378884   ,94.67    ,2.71B     ,38             ,+3.49                     ,51.21     ,41.57     ,0.19 ,-39.06      ,10.48                  ,28.71             ,18.56                  ,41.42                  ,Capital Markets                               ,NASDAQ  ,FINANCIAL ENGINES INC    ,Asset Management & Custody Banks          ,0.28    ,43.55         ,41.70 ,500     ,375025       ,312432      ,101.03                  ,121.27                 ,No        ,43.75 ,43.85 ,41.80 ,93.00                 ,510376        ,376160     ,74.24                    ,100.72                ,No                ,Financials                ,0.60          ,43.55     ,41.45 ,300     ,526729      ,61.11                     ,71.93                  ,15.75M         ,Yes                 ,C  ,--       ,--                 ,83.33          ,--                    ,16.67           ,--                     ,--              ,6                 ,1.33              ,28.56M    ,--     ,28.56M  ,62.22M            ,0.46    ,0.46      ,0.60      ,1.34        ,0.69      ,0.57      ,0.37      ,21.17                       ,6.74    ,471.04            ,-1.85 ,-2.95                  ,+5.15                      ,+7.83                  ,+8.80                   ,+5.89                ,+100.38              ,+61.40               ,+2.03     ,43.65        ,45.75    ,1.90                   ,38.35     ,23.56    ,89.52                   ,-1.04                        ,-4.24   ,+0.20,+4.16                  ,+0.04                 ,+1.61                  ,+21.93                   ,+18.71               ,-12.22               ,+27.36               ,+4.91             ,2               ,43.65     ,45.75   ,42.00       ,38.35   ,-17.89               ,2.15           ,-2.05    ,+0.46,+1.47                   ,+2.13                    ,+3.84                    ,+3.52                 ,+39.78               ,+23.52               ,+39.17               ,+4.32             ,45.40      ,45.75     ,38.85    ,35.39  ,2.40         ,71.00            ,-0.25         ,4.06              ,--                   ,94.67                    ,11.81           ,0.02         ,32.49                ,--       ,40.96     ,40.79     ,36.44      ,41.52     ,38.27      ,67.24                ,55.87     ,20.63                   ,60.94,43.63               ,-1.70                     ,3.20           ,40.15     ,33.34      ,41.27     ,40.52     ,37.52      ,54.38     ,59.62                ,9.05          ,80.63,0.11       ,2.85           ,4.90                      ,41.42     ,38.24      ,40.06     ,60.28                ,24.73                   ,75.25   ,39.21                  ,-3.65          ,5.60                      ,1835.49   , 
ROCK  ,-4.61      ,39.35     ,156435   ,39.29    ,1.30B     ,33             ,+1.85                     ,39.50     ,40.53     ,-0.30,-85.71      ,20.39                  ,22.64             ,10.38                  ,40.39                  ,Building Products                             ,NGM/NGS ,GIBRALTAR INDUSTRIES INC ,Building Products                         ,--      ,41.20         ,39.30 ,500     ,158959       ,233016      ,98.41                   ,67.13                  ,No        ,41.25 ,41.40 ,39.40 ,98.98                 ,168630        ,227161     ,92.77                    ,68.87                 ,No                ,Industrials               ,--            ,41.20     ,38.83 ,300     ,168818      ,66.33                     ,92.66                  ,6.45M          ,Yes                 ,C  ,--       ,B-                 ,75.00          ,25.00                 ,--              ,--                     ,--              ,4                 ,1.25              ,33.68M    ,1.01B  ,33.68M  ,31.58M            ,1.05    ,1.05      ,0.74      ,1.82        ,-2.63     ,-0.18     ,0.41      ,20.00                       ,3.34    ,436.17            ,-1.85 ,-2.40                  ,+2.01                      ,-0.17                  ,-1.53                   ,+151.07              ,+171.95              ,+38.72               ,+2.08     ,41.40        ,42.50    ,6.65                   ,38.54     ,24.12    ,79.61                   ,3.57                         ,-4.49   ,+0.05,-2.65                  ,-0.02                 ,+0.74                  ,-0.42                    ,-1.08                ,+118.34              ,-7.89                ,+7.73             ,1               ,41.40     ,45.05   ,40.70       ,38.54   ,-14.71               ,2.05           ,-1.90    ,+0.12,+0.75                   ,+0.81                    ,+1.82                    ,-0.64                 ,+44.06               ,+125.75              ,+8.62                ,+3.73             ,42.50      ,48.05     ,38.90    ,38.54  ,2.58         ,18.00            ,-0.53         ,1.69              ,--                   ,39.29                    ,28.23           ,45.40        ,22.70                ,1.29     ,40.35     ,41.55     ,41.76      ,40.64     ,41.03      ,54.58                ,47.52     ,28.63                   ,14.29,42.41               ,0.41                      ,-4.10          ,41.71     ,39.46      ,40.76     ,41.23     ,40.66      ,45.28     ,50.18                ,13.43         ,46.43,-0.31      ,-1.90          ,-2.85                     ,40.39     ,42.67      ,41.30     ,49.58                ,21.85                   ,50.15   ,38.37                  ,-0.90          ,-2.20                     ,565.04    , 
MRCY  ,-4.41      ,37.32     ,449808   ,70.74    ,1.60B     ,128            ,+1.02                     ,38.77     ,38.57     ,0.43 ,-79.37      ,13.73                  ,12.02             ,26.34                  ,38.72                  ,Aerospace & Defense                           ,NGM/NGS ,MERCURY SYSTEMS INC      ,Aerospace & Defense                       ,--      ,39.05         ,37.30 ,200     ,484120       ,427189      ,92.91                   ,105.29                 ,No        ,39.04 ,39.33 ,37.32 ,85.22                 ,458937        ,584167     ,98.01                    ,77.00                 ,No                ,Industrials               ,--            ,39.04     ,37.00 ,100     ,443234      ,106.93                    ,101.48                 ,18.70M         ,Yes                 ,D  ,--       ,B-                 ,66.67          ,11.11                 ,22.22           ,--                     ,--              ,9                 ,1.56              ,19.74M    ,270.15M,19.74M  ,41.04M            ,0.55    ,0.56      ,0.32      ,1.10        ,-0.37     ,-0.44     ,0.75      ,13.61                       ,7.31    ,279.95            ,-1.72 ,-0.51                  ,+0.82                      ,+7.53                  ,+9.82                   ,+151.13              ,+194.72              ,+75.81               ,+0.52     ,39.18        ,40.86    ,1.53                   ,36.40     ,18.98    ,86.27                   ,4.25                         ,-4.41   ,0.00 ,+6.67                  ,-0.02                 ,+0.38                  ,+23.89                   ,+29.22               ,+195.61              ,+25.75               ,+4.93             ,5               ,39.22     ,40.86   ,38.68       ,36.40   ,-18.02               ,2.01           ,-1.72    ,0.00 ,+0.39                   ,+0.32                    ,+0.97                    ,+3.49                 ,+92.36               ,+429.85              ,+64.73               ,+3.59             ,40.86      ,40.86     ,36.40    ,29.31  ,2.33         ,95.00            ,-0.32         ,3.04              ,--                   ,69.73                    ,122.35          ,38.53        ,35.48                ,5.93     ,38.66     ,36.92     ,32.35      ,38.43     ,34.01      ,55.62                ,56.80     ,30.10                   ,20.63,40.11               ,1.35                      ,7.53           ,35.84     ,29.05      ,38.91     ,36.77     ,33.09      ,53.72     ,61.10                ,24.22         ,45.44,0.70       ,3.11           ,7.96                      ,38.72     ,33.79      ,36.17     ,60.58                ,18.36                   ,53.04   ,37.34                  ,-0.90          ,4.68                      ,821.27    , 
AAOI  ,-4.34      ,54.45     ,1093974  ,31.90    ,1.05B     ,109            ,-0.63                     ,55.33     ,53.66     ,3.67 ,-42.27      ,11.31                  ,23.49             ,53.31                  ,52.81                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment                  ,--      ,56.15         ,54.41 ,100     ,2397993      ,756976      ,45.62                   ,144.52                 ,No        ,56.92 ,57.90 ,54.56 ,66.01                 ,1672959       ,1168537    ,65.39                    ,93.62                 ,No                ,Information Technology    ,--            ,56.15     ,54.01 ,100     ,1712224     ,44.34                     ,63.89                  ,138.41M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-1.70 ,+8.03                  ,+6.33                      ,+25.43                 ,+42.32                  ,+304.54              ,0.00                 ,+335.26              ,+2.81     ,56.53        ,60.19    ,2.29                   ,46.61     ,8.08     ,88.69                   ,-2.73                        ,-3.03   ,+0.77,+30.74                 ,-0.09                 ,+3.62                  ,+82.80                   ,+139.55              ,+127.60              ,+85.39               ,+15.90            ,23              ,60.19     ,60.19   ,54.17       ,46.61   ,-45.93               ,3.45           ,-2.47    ,+1.37,-0.36                   ,+3.34                    ,+6.88                    ,+16.70                ,+276.59              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,52.57    ,21.88  ,3.89         ,100.00           ,-0.44         ,1.37              ,--                   ,31.90                    ,4.65            ,15.38        ,16.56                ,4.02     ,54.98     ,43.21     ,31.88      ,52.34     ,37.23      ,60.73                ,63.89     ,13.31                   ,57.73,59.91               ,2.83                      ,31.64          ,40.52     ,25.26      ,52.96     ,44.95     ,35.13      ,62.74     ,65.66                ,35.20         ,64.11,3.94       ,21.85          ,32.64                     ,52.81     ,34.11      ,43.02     ,65.16                ,27.77                   ,71.93   ,45.71                  ,2.99           ,24.84                     ,6041.69   , 
CAR   ,-4.33      ,28.25     ,1901447  ,16.90    ,2.53B     ,121            ,+2.03                     ,30.91     ,30.06     ,-1.58,-87.59      ,12.21                  ,-18.78            ,26.26                  ,30.86                  ,Road & Rail                                   ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                                  ,--      ,29.58         ,28.25 ,600     ,2308476      ,2008207     ,82.37                   ,94.68                  ,No        ,29.53 ,29.76 ,28.26 ,81.85                 ,2259124       ,2022432    ,84.17                    ,94.02                 ,Yes               ,Industrials               ,--            ,29.58     ,28.04 ,100     ,2164128     ,99.60                     ,87.86                  ,66.59M         ,No                  ,C  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,85.45M            ,1.75    ,1.75      ,2.98      ,3.30        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-1.33 ,-6.79                  ,-4.14                      ,-5.92                  ,-14.77                  ,-49.88               ,+109.05              ,+15.27               ,+2.05     ,29.88        ,34.74    ,11.77                  ,27.36     ,21.85    ,87.79                   ,7.27                         ,-4.50   ,-0.05,-9.07                  ,0.00                  ,-1.78                  ,-16.68                   ,-19.36               ,-39.26               ,-9.69                ,+49.39            ,1               ,29.88     ,41.00   ,29.30       ,27.36   ,-6.19                ,1.51           ,-1.28    ,-0.17,+0.59                   ,-1.28                    ,-5.68                    ,-5.13                 ,+8.11                ,+6.29                ,-4.29                ,+0.92             ,34.61      ,41.53     ,27.36    ,27.36  ,1.72         ,3.00             ,-0.21         ,0.73              ,--                   ,16.90                    ,--              ,5486.88      ,8.95                 ,0.29     ,28.91     ,34.12     ,35.50      ,30.65     ,34.36      ,38.60                ,41.98     ,40.42                   ,12.41,34.95               ,-4.89                     ,-7.69          ,34.49     ,35.49      ,30.30     ,33.01     ,34.52      ,38.21     ,43.46                ,36.46         ,23.82,-1.52      ,-9.44          ,-7.80                     ,30.86     ,36.02      ,33.45     ,40.58                ,18.82                   ,24.90   ,26.76                  ,-4.14          ,-7.71                     ,-6312.66  , 
