Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
NSP   ,-3.61      ,+220.82              ,85.35     ,125972   ,28.69    ,1.86B     ,42             ,+1.92                     ,42.82     ,86.91     ,1.12 ,-92.86      ,9.52                   ,-8.24             ,30.28                  ,87.68                  ,Professional Services                         ,NYSE    ,INSPERITY INC            ,Human Resource & Employment Services ,1.00    ,88.65         ,85.30 ,400     ,101965       ,153785      ,123.54                  ,81.91                  ,No        ,88.55 ,89.15 ,85.40 ,87.77                 ,122358        ,149540     ,102.95                   ,84.24                 ,No                ,Industrials           ,1.10          ,88.65     ,84.95 ,300     ,130721      ,64.17                     ,96.37                  ,8.89M          ,Yes                 ,D  ,--       ,B+                 ,20.00          ,20.00                 ,60.00           ,--                     ,--              ,5                 ,2.40              ,65.99M    ,2.94B  ,65.99M  ,21M               ,3.09    ,3.09      ,1.58      ,4.30        ,1.05      ,1.25      ,1.56      ,16.50                       ,2.24    ,1131.29           ,-3.30 ,+1.00                  ,+1.10                      ,+12.97                 ,+11.48                  ,+75.03               ,+251.11              ,+16.89               ,+0.90     ,88.65        ,90.55    ,1.40                   ,85.15     ,50.61    ,90.48                   ,2.68                         ,-3.72   ,-0.10,+13.85                 ,-0.01                 ,+1.09                  ,+17.13                   ,+25.31               ,+14.99               ,+56.65            ,1               ,88.65     ,90.55   ,86.30       ,83.25   ,-34.34               ,3.80           ,-3.20    ,-0.11,+1.67                   ,+0.97                    ,+1.24                    ,+9.13                 ,+73.67               ,+257.94              ,+27.89               ,+7.80             ,90.55      ,90.55     ,85.15    ,69.20  ,4.20         ,93.00            ,-0.40         ,1.23              ,--                   ,28.69                    ,50.33           ,172.49       ,20.62                ,0.63     ,86.79     ,81.79     ,75.97      ,86.55     ,78.84      ,64.03                ,56.87     ,16.72                   ,7.14 ,90.25               ,2.10                      ,14.05          ,79.99     ,74.49      ,87.63     ,82.92     ,77.66      ,56.07     ,61.08                ,9.06          ,34.48,1.72       ,12.90          ,15.50                     ,87.68     ,76.73      ,81.89     ,63.36                ,20.05                   ,36.80   ,85.11                  ,-0.60          ,17.60                     ,-141.20   , 
OCLR  ,-3.19      ,+216.77              ,9.565     ,4311941  ,29.56    ,1.64B     ,57             ,-1.44                     ,48.35     ,9.69      ,0.15 ,-43.20      ,21.88                  ,9.26              ,13.80                  ,9.43                   ,Communications Equipment                      ,NASDAQ  ,OCLARO INC               ,Communications Equipment             ,--      ,9.82          ,9.56  ,3400    ,9664067      ,7270223     ,44.62                   ,59.31                  ,No        ,9.88  ,9.94  ,9.57  ,68.60                 ,10932000      ,9655016    ,39.44                    ,44.66                 ,No                ,Information Technology,--            ,9.82      ,9.46  ,1500    ,11167311    ,38.47                     ,38.61                  ,96.75M         ,No                  ,C  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,8.58M     ,407.91M,8.58M   ,166.59M           ,0.33    ,0.08      ,-0.53     ,0.74        ,0.18      ,-1.40     ,-1.32     ,17.50                       ,2.10    ,241.51            ,-0.255,+0.875                 ,+4.18                      ,+0.8195                ,+4.58                   ,+395.96              ,+149.24              ,+69.66               ,+1.70     ,10.11        ,10.55    ,1.36                   ,8.02      ,4.25     ,78.13                   ,0.17                         ,-2.60   ,+0.06,+0.755                 ,-0.03                 ,+0.4141                ,+9.11                    ,+9.72                ,-4.92                ,+16.28            ,9               ,10.55     ,11.30   ,9.65        ,8.02    ,-5.21                ,0.375          ,-0.315   ,+0.61,-0.143                  ,+0.3938                  ,+4.40                    ,+0.4297               ,+81.85               ,+679.37              ,+7.87                ,+10.28            ,10.55      ,11.30     ,9.60     ,8.02   ,0.48         ,67.00            ,-0.105        ,1.27              ,--                   ,126.58                   ,6.68            ,38.51        ,13.22                ,4.01     ,9.86      ,9.61      ,9.02       ,9.63      ,9.10       ,53.94                ,51.83     ,23.75                   ,56.80,10.59               ,0.22                      ,0.99           ,9.44      ,8.15       ,9.58      ,9.46      ,8.92       ,51.06     ,52.87                ,5.71          ,70.32,0.10       ,-0.25          ,1.38                      ,9.43      ,9.23       ,9.40      ,52.75                ,26.62                   ,79.14   ,8.27                   ,0.08           ,0.21                      ,14490.76  , 
IPHI  ,-3.26      ,+203.42              ,47.38     ,459222   ,21.67    ,2.03B     ,101            ,+1.32                     ,54.54     ,46.88     ,0.44 ,-23.42      ,27.57                  ,26.39             ,16.67                  ,45.65                  ,Semiconductors & Semiconductor Equipment      ,NYSE    ,INPHI CORP               ,Semiconductors                       ,--      ,48.82         ,47.36 ,300     ,846843       ,849573      ,54.23                   ,54.05                  ,No        ,48.98 ,49.00 ,47.41 ,92.35                 ,1027936       ,852576     ,44.67                    ,53.86                 ,No                ,Information Technology,--            ,48.82     ,46.77 ,200     ,1004888     ,55.22                     ,45.70                  ,40.75M         ,No                  ,C  ,--       ,--                 ,69.23          ,23.08                 ,7.69            ,--                     ,--              ,13                ,1.38              ,99.46M    ,266.28M,99.46M  ,41.62M            ,2.25    ,2.25      ,-0.35     ,1.93        ,-0.69     ,-0.45     ,-0.73     ,25.85                       ,37.35   ,454.40            ,-1.44 ,-0.10                  ,+6.93                      ,+4.16                  ,+4.54                   ,+173.81              ,+244.29              ,+50.50               ,+1.41     ,49.09        ,49.09    ,2.78                   ,41.62     ,25.89    ,72.43                   ,-2.55                        ,-2.94   ,+0.16,+2.38                  ,+0.01                 ,+3.19                  ,+9.31                    ,+9.41                ,+3.92                ,+26.41            ,1               ,49.09     ,51.78   ,48.47       ,41.62   ,-20.88               ,1.62           ,-1.60    ,+0.33,+0.64                   ,+3.17                    ,+7.00                    ,+2.12                 ,+46.43               ,+367.18              ,+8.99                ,+13.30            ,49.09      ,51.78     ,45.21    ,41.62  ,2.23         ,38.00            ,-0.61         ,0.93              ,--                   ,21.67                    ,66.37           ,86.16        ,25.36                ,7.63     ,47.03     ,46.95     ,44.87      ,46.71     ,45.29      ,66.53                ,52.81     ,22.42                   ,76.58,49.45               ,2.05                      ,3.01           ,46.82     ,42.11      ,46.18     ,46.43     ,44.68      ,52.50     ,54.92                ,3.45          ,90.90,--         ,-0.31          ,4.15                      ,45.65     ,45.98      ,46.27     ,56.04                ,24.03                   ,93.19   ,41.86                  ,1.96           ,1.33                      ,3528.74   , 
FIX   ,-2.99      ,+148.53              ,35.65     ,215531   ,21.31    ,1.36B     ,32             ,+2.43                     ,49.15     ,35.72     ,0.06 ,-43.33      ,30.83                  ,23.42             ,12.68                  ,35.78                  ,Construction & Engineering                    ,NYSE    ,COMFORT SYSTEMS USA INC  ,Construction & Engineering           ,0.28    ,36.65         ,35.60 ,200     ,168980       ,242893      ,127.55                  ,88.73                  ,No        ,36.75 ,36.80 ,35.70 ,97.98                 ,157381        ,180436     ,136.95                   ,119.45                ,No                ,Industrials           ,0.80          ,36.65     ,35.14 ,300     ,163444      ,53.64                     ,131.87                 ,6.06M          ,Yes                 ,C  ,--       ,B                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,4                 ,2.00              ,64.90M    ,1.63B  ,64.90M  ,37.21M            ,1.72    ,1.72      ,1.30      ,1.92        ,0.61      ,0.73      ,0.36      ,18.33                       ,3.97    ,212.25            ,-1.00 ,-3.35                  ,+2.44                      ,+3.92                  ,+5.54                   ,+77.41               ,+258.41              ,+19.81               ,+1.38     ,36.95        ,38.60    ,2.87                   ,33.95     ,26.05    ,69.17                   ,-0.01                        ,-2.73   ,+0.10,+2.20                  ,+0.02                 ,+0.61                  ,+11.98                   ,+10.27               ,+18.48               ,+17.94            ,1               ,36.95     ,39.67   ,35.60       ,33.95   ,-9.09                ,1.15           ,-1.10    ,+0.27,+0.87                   ,+0.87                    ,+1.70                    ,+1.92                 ,+16.41               ,+172.40              ,+34.71               ,+9.27             ,37.60      ,39.67     ,33.95    ,32.15  ,1.66         ,57.00            ,-0.51         ,0.91              ,--                   ,21.31                    ,7.35            ,0.54         ,19.12                ,0.83     ,35.41     ,35.18     ,33.13      ,35.71     ,34.06      ,63.66                ,53.53     ,23.76                   ,56.67,36.88               ,-0.95                     ,2.20           ,34.80     ,31.85      ,35.65     ,35.17     ,33.70      ,52.59     ,55.99                ,2.28          ,72.96,0.09       ,1.25           ,2.65                      ,35.78     ,34.16      ,34.94     ,56.71                ,22.70                   ,68.07   ,34.67                  ,-1.30          ,2.95                      ,517.91    , 
PATK  ,-5.57      ,+139.91              ,66.95     ,159179   ,19.48    ,1.19B     ,67             ,+3.02                     ,32.53     ,70.15     ,-2.47,-92.44      ,7.77                   ,13.59             ,34.52                  ,70.39                  ,Building Products                             ,NCM     ,PATRICK INDUSTRIES INC   ,Building Products                    ,--      ,70.90         ,66.90 ,200     ,168191       ,140141      ,94.64                   ,113.58                 ,No        ,70.90 ,71.70 ,67.05 ,78.87                 ,266939        ,165905     ,59.63                    ,95.95                 ,No                ,Industrials           ,--            ,70.90     ,66.55 ,100     ,249576      ,56.57                     ,63.78                  ,11.61M         ,Yes                 ,C  ,--       ,B-                 ,25.00          ,50.00                 ,25.00           ,--                     ,--              ,4                 ,2.00              ,55.58M    ,1.22B  ,55.58M  ,16.76M            ,3.64    ,3.64      ,2.72      ,3.91        ,1.91      ,1.49      ,1.76      ,15.00                       ,4.55    ,271.71            ,-3.95 ,-14.35                 ,+0.72                      ,-0.65                  ,-8.85                   ,+70.79               ,+775.31              ,+49.45               ,+1.15     ,71.40        ,82.85    ,14.40                  ,66.65     ,43.36    ,92.23                   ,3.55                         ,-5.57   ,0.00 ,-9.39                  ,-0.02                 ,-1.10                  ,-0.90                    ,-7.08                ,+11.91               ,+35.39            ,5               ,71.40     ,86.10   ,68.75       ,66.65   ,-23.19               ,4.75           ,-3.95    ,0.00 ,+2.08                   ,+0.51                    ,-1.53                    ,-6.88                 ,+56.20               ,+574.81              ,+24.71               ,+12.13            ,81.59      ,86.10     ,66.65    ,66.65  ,5.15         ,13.00            ,-0.40         ,0.84              ,--                   ,19.48                    ,--              ,138.48       ,18.14                ,0.97     ,68.89     ,77.02     ,72.44      ,71.08     ,73.16      ,47.46                ,44.33     ,28.43                   ,7.56 ,74.98               ,-10.40                    ,-12.70         ,77.54     ,68.49      ,69.33     ,74.08     ,72.21      ,39.36     ,47.68                ,31.05         ,43.61,-2.61      ,-14.25         ,-9.15                     ,70.39     ,75.02      ,74.23     ,44.31                ,14.96                   ,41.83   ,65.80                  ,-14.00         ,-10.30                    ,385.98    , 
IIVI  ,-3.44      ,+133.64              ,34.81     ,479734   ,33.03    ,2.26B     ,39             ,-3.33                     ,39.89     ,36.65     ,0.28 ,-73.33      ,12.05                  ,22.43             ,21.02                  ,36.04                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,II-VI INC                ,Electronic Components                ,--      ,36.05         ,34.75 ,500     ,1155495      ,539555      ,41.52                   ,88.91                  ,No        ,36.05 ,36.35 ,34.80 ,79.59                 ,964969        ,665485     ,49.71                    ,72.09                 ,No                ,Information Technology,--            ,36.04     ,34.60 ,600     ,916087      ,28.60                     ,52.37                  ,43.91M         ,Yes                 ,C  ,--       ,B                  ,66.67          ,33.33                 ,--              ,--                     ,--              ,3                 ,1.33              ,65.49M    ,827.22M,65.49M  ,62.56M            ,1.09    ,1.04      ,1.05      ,1.29        ,0.60      ,0.79      ,0.93      ,20.00                       ,7.92    ,92.66             ,-1.23 ,-1.29                  ,+0.01                      ,+4.62                  ,+2.09                   ,+95.29               ,+52.43               ,+74.68               ,+0.16     ,37.35        ,39.79    ,4.75                   ,32.60     ,17.76    ,87.95                   ,4.18                         ,-3.41   ,+0.01,+4.86                  ,-0.12                 ,+0.01                  ,+14.69                   ,+21.59               ,+17.88               ,+8.84             ,6               ,39.79     ,41.10   ,35.04       ,32.60   ,-16.84               ,1.54           ,-1.24    ,+0.03,-1.24                   ,0.00                     ,+0.04                    ,+0.74                 ,+66.05               ,+111.56              ,+68.00               ,+5.95             ,39.79      ,41.10     ,35.04    ,29.10  ,1.75         ,96.00            ,-0.21         ,1.42              ,--                   ,34.66                    ,5.27            ,27.60        ,27.95                ,2.73     ,37.19     ,36.70     ,32.22      ,36.55     ,33.30      ,45.70                ,52.33     ,27.70                   ,26.67,39.63               ,0.44                      ,5.21           ,35.57     ,27.81      ,36.27     ,35.62     ,32.43      ,49.04     ,54.42                ,9.96          ,46.86,0.31       ,-2.29          ,5.99                      ,36.04     ,33.37      ,35.18     ,51.92                ,22.68                   ,64.98   ,32.44                  ,-0.69          ,-0.11                     ,3369.98   , 
AAOI  ,-4.16      ,+127.60              ,54.55     ,1095185  ,31.90    ,1.05B     ,109            ,-0.67                     ,55.63     ,53.67     ,3.68 ,-41.53      ,13.88                  ,23.70             ,53.31                  ,52.81                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment             ,--      ,56.15         ,54.51 ,100     ,2397993      ,756976      ,45.67                   ,144.68                 ,No        ,56.92 ,57.90 ,54.61 ,66.01                 ,1672959       ,1168537    ,65.46                    ,93.72                 ,No                ,Information Technology,--            ,56.15     ,54.01 ,100     ,1712224     ,44.38                     ,63.96                  ,138.41M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-1.60 ,+8.13                  ,+6.32                      ,+25.43                 ,+42.32                  ,+304.54              ,0.00                 ,+335.26              ,+2.81     ,56.53        ,60.19    ,2.29                   ,46.61     ,8.08     ,86.12                   ,-2.90                        ,-2.85   ,+0.77,+30.84                 ,-0.09                 ,+3.62                  ,+82.80                   ,+139.55              ,+85.39               ,+15.90            ,23              ,60.19     ,60.19   ,54.17       ,46.61   ,-45.93               ,3.35           ,-2.37    ,+1.37,-0.38                   ,+3.34                    ,+6.88                    ,+16.70                ,+276.59              ,0.00                 ,+172.52              ,+10.48            ,60.19      ,60.19     ,52.57    ,21.88  ,3.89         ,100.00           ,-0.54         ,1.37              ,--                   ,31.90                    ,4.65            ,15.38        ,16.56                ,4.02     ,54.99     ,43.21     ,31.88      ,52.35     ,37.24      ,60.73                ,63.99     ,13.31                   ,58.47,59.92               ,2.83                      ,31.74          ,40.52     ,25.26      ,52.97     ,44.96     ,35.13      ,62.88     ,65.66                ,35.20         ,64.36,3.94       ,21.95          ,32.64                     ,52.81     ,34.11      ,43.02     ,65.16                ,27.77                   ,72.01   ,45.71                  ,3.09           ,24.84                     ,6097.06   , 
SKX   ,-2.97      ,+125.37              ,26.78     ,1791731  ,17.48    ,3.67B     ,80             ,-2.31                     ,43.98     ,27.60     ,0.53 ,-82.99      ,4.65                   ,8.11              ,18.09                  ,27.31                  ,Textiles Apparel & Luxury Goods               ,NYSE    ,SKECHERS U S A INC       ,Footwear                             ,--      ,27.45         ,26.77 ,500     ,3338738      ,2676509     ,53.66                   ,66.94                  ,No        ,27.60 ,27.60 ,26.78 ,67.62                 ,2263341       ,2290396    ,79.16                    ,78.23                 ,Yes               ,Consumer Discretionary,--            ,27.45     ,26.74 ,700     ,2257256     ,59.17                     ,79.38                  ,95.01M         ,No                  ,C  ,*****    ,B                  ,45.45          ,--                    ,45.45           ,--                     ,9.09            ,11                ,2.27              ,285.36M   ,3.58B  ,285.36M ,133.77M           ,1.57    ,1.57      ,1.50      ,1.78        ,0.91      ,0.36      ,0.06      ,12.00                       ,6.81    ,518.43            ,-0.67 ,+0.78                  ,+0.51                      ,+3.09                  ,+5.91                   ,+14.52               ,+547.41              ,-17.65               ,+0.27     ,27.94        ,30.00    ,6.60                   ,25.16     ,18.81    ,95.35                   ,3.71                         ,-2.44   ,+0.15,+1.78                  ,-0.07                 ,+0.34                  ,+12.68                   ,+11.68               ,+12.69               ,+19.47            ,0               ,30.00     ,30.00   ,27.26       ,25.16   ,-7.93                ,0.82           ,-0.82    ,+0.55,-0.65                   ,+0.14                    ,+1.26                    ,+1.53                 ,-9.85                ,+289.36              ,+5.59                ,+12.87            ,30.00      ,34.20     ,27.26    ,22.30  ,0.86         ,90.00            ,-0.04         ,0.75              ,--                   ,17.48                    ,2.66            ,3.98         ,15.42                ,1.03     ,28.01     ,26.12     ,24.57      ,27.40     ,25.75      ,49.38                ,52.12     ,25.22                   ,17.01,29.61               ,1.86                      ,1.56           ,25.97     ,25.03      ,27.77     ,26.46     ,25.69      ,51.71     ,53.57                ,2.05          ,31.19,0.64       ,3.27           ,1.84                      ,27.31     ,25.26      ,26.24     ,54.04                ,24.21                   ,49.52   ,25.01                  ,1.32           ,3.79                      ,3032.18   , 
ROCK  ,-4.58      ,+118.34              ,39.36     ,156747   ,39.29    ,1.30B     ,33             ,+1.85                     ,39.56     ,40.53     ,-0.30,-85.44      ,20.78                  ,22.67             ,10.38                  ,40.39                  ,Building Products                             ,NGM/NGS ,GIBRALTAR INDUSTRIES INC ,Building Products                    ,--      ,41.20         ,39.30 ,600     ,158959       ,233016      ,98.61                   ,67.27                  ,No        ,41.25 ,41.40 ,39.40 ,98.98                 ,168630        ,227161     ,92.95                    ,69.00                 ,No                ,Industrials           ,--            ,41.20     ,38.83 ,300     ,168818      ,66.47                     ,92.85                  ,6.45M          ,Yes                 ,C  ,--       ,B-                 ,75.00          ,25.00                 ,--              ,--                     ,--              ,4                 ,1.25              ,33.68M    ,1.01B  ,33.68M  ,31.58M            ,1.05    ,1.05      ,0.74      ,1.82        ,-2.63     ,-0.18     ,0.41      ,20.00                       ,3.34    ,436.17            ,-1.84 ,-2.39                  ,+2.01                      ,-0.17                  ,-1.53                   ,+151.07              ,+171.95              ,+38.72               ,+2.08     ,41.40        ,42.50    ,6.65                   ,38.54     ,24.12    ,79.22                   ,3.55                         ,-4.47   ,+0.05,-2.64                  ,-0.02                 ,+0.74                  ,-0.42                    ,-1.08                ,-7.89                ,+7.73             ,1               ,41.40     ,45.05   ,40.70       ,38.54   ,-14.71               ,2.04           ,-1.89    ,+0.12,+0.75                   ,+0.81                    ,+1.82                    ,-0.64                 ,+44.06               ,+125.75              ,+8.62                ,+3.73             ,42.50      ,48.05     ,38.90    ,38.54  ,2.58         ,18.00            ,-0.54         ,1.69              ,--                   ,39.29                    ,28.23           ,45.40        ,22.70                ,1.29     ,40.35     ,41.55     ,41.77      ,40.64     ,41.03      ,54.58                ,47.53     ,28.63                   ,14.56,42.41               ,0.41                      ,-4.09          ,41.71     ,39.46      ,40.76     ,41.23     ,40.66      ,45.30     ,50.18                ,13.43         ,46.52,-0.31      ,-1.89          ,-2.85                     ,40.39     ,42.67      ,41.30     ,49.58                ,21.85                   ,50.18   ,38.37                  ,-0.89          ,-2.20                     ,566.07    , 
TREX  ,-3.07      ,+89.69               ,67.51     ,131091   ,30.30    ,2.04B     ,66             ,+0.80                     ,38.07     ,69.45     ,-0.13,-94.14      ,13.11                  ,7.81              ,17.02                  ,70.06                  ,Building Products                             ,NYSE    ,TREX CO INC              ,Building Products                    ,--      ,69.39         ,67.48 ,100     ,189043       ,255313      ,69.34                   ,51.35                  ,No        ,69.65 ,69.89 ,67.58 ,97.16                 ,211056        ,258323     ,62.11                    ,50.75                 ,No                ,Industrials           ,--            ,69.39     ,67.15 ,100     ,214394      ,76.02                     ,61.14                  ,13.09M         ,Yes                 ,D  ,--       ,B-                 ,14.29          ,--                    ,85.71           ,--                     ,--              ,7                 ,2.71              ,67.85M    ,479.62M,67.85M  ,29.41M            ,2.29    ,2.29      ,1.52      ,2.80        ,1.27      ,1.01      ,0.08      ,20.00                       ,14.15   ,577.85            ,-1.88 ,-1.65                  ,-0.96                      ,+4.08                  ,+0.65                   ,+27.25               ,+332.61              ,+50.56               ,+2.28     ,69.63        ,73.28    ,8.27                   ,67.53     ,39.74    ,86.89                   ,3.83                         ,-2.71   ,+0.26,+2.56                  ,-0.03                 ,-0.66                  ,+6.24                    ,+7.75                ,+3.37                ,+54.14            ,2               ,70.29     ,78.15   ,68.20       ,67.53   ,-27.41               ,2.38           ,-2.14    ,+0.37,+0.55                   ,-0.67                    ,-0.94                    ,+0.45                 ,+44.77               ,+182.19              ,+9.80                ,+31.31            ,73.28      ,78.16     ,67.81    ,64.19  ,2.74         ,71.00            ,-0.36         ,1.30              ,--                   ,30.30                    ,16.44           ,--           ,24.78                ,4.25     ,69.15     ,69.09     ,66.00      ,69.51     ,66.80      ,47.76                ,50.70     ,28.52                   ,5.86 ,73.00               ,0.34                      ,0.38           ,68.97     ,61.36      ,70.09     ,68.93     ,65.80      ,48.00     ,52.78                ,24.31         ,18.98,0.22       ,-1.04          ,0.13                      ,70.06     ,68.14      ,68.59     ,51.36                ,17.36                   ,22.38   ,67.13                  ,-0.94          ,2.98                      ,208.50    , 
