Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
THRM  ,-6.96      ,36.75     ,259034    ,18.78    ,1.44B     ,57             ,+3.19                     ,45.61     ,37.42     ,0.50 ,-74.47      ,16.42                  ,14.13             ,17.72                  ,37.02                  ,Auto Components                               ,NASDAQ  ,GENTHERM INC             ,Auto Parts & Equipment                    ,--      ,39.25         ,36.70 ,400     ,210278       ,305164      ,123.19                  ,84.88                  ,No        ,39.50 ,39.55 ,36.80 ,98.63                 ,219539        ,235465     ,117.99                   ,110.01                ,No                ,Consumer Discretionary    ,--            ,39.25     ,36.20 ,100     ,212710      ,64.88                     ,121.78                 ,8.05M          ,Yes                 ,D  ,--       ,B                  ,30.00          ,30.00                 ,40.00           ,--                     ,--              ,10                ,2.10              ,76.60M    ,917.60M,76.60M  ,36.58M            ,2.09    ,2.09      ,2.62      ,2.43        ,1.95      ,0.94      ,0.39      ,20.00                       ,8.35    ,78.53             ,-2.50 ,-0.25                  ,+6.03                      ,+5.93                  ,+9.62                   ,-22.29               ,+142.58              ,-0.90                ,+2.01     ,39.47        ,39.47    ,5.07                   ,34.54     ,26.60    ,83.58                   ,2.06                         ,-6.37   ,+0.25,+2.40                  ,0.00                  ,+2.35                  ,+17.80                   ,+15.95               ,+13.05               ,+13.81               ,+18.14            ,1               ,39.47     ,39.47   ,38.37       ,34.54   ,-9.60                ,2.80           ,-2.75    ,+0.64,+1.21                   ,+2.23                    ,+6.37                    ,+3.45                 ,-5.63                ,+139.62              ,+9.95                ,+10.27            ,39.47      ,44.62     ,35.79    ,32.40  ,3.35         ,62.00            ,-0.55         ,0.81              ,--                   ,18.78                    ,4.09            ,36.80        ,16.17                ,1.56     ,37.51     ,36.27     ,33.60      ,37.24     ,35.18      ,73.04                ,52.80     ,26.60                   ,25.53,39.23               ,3.10                      ,2.50           ,35.88     ,33.42      ,37.51     ,36.27     ,35.00      ,52.19     ,57.91                ,0.37          ,68.07,0.47       ,0.85           ,3.55                      ,37.02     ,34.57      ,35.98     ,60.89                ,26.80                   ,73.25   ,34.81                  ,1.21           ,4.40                      ,505.49    , 
VRTU  ,-6.89      ,27.86     ,599958    ,65.86    ,905.33M   ,94             ,+1.78                     ,28.88     ,30.20     ,-0.13,-98.12      ,4.10                   ,-32.86            ,22.81                  ,30.96                  ,IT Services                                   ,NASDAQ  ,VIRTUSA CORP             ,IT Consulting & Other Services            ,--      ,30.22         ,27.84 ,200     ,502658       ,356608      ,119.36                  ,168.24                 ,No        ,29.92 ,30.20 ,27.91 ,91.39                 ,579979        ,351327     ,103.44                   ,170.77                ,No                ,Information Technology    ,--            ,30.22     ,27.76 ,300     ,576156      ,175.80                    ,104.13                 ,15.14M         ,Yes                 ,D  ,--       ,--                 ,55.56          ,33.33                 ,11.11           ,--                     ,--              ,9                 ,1.56              ,45.02M    ,600.30M,45.02M  ,29.96M            ,0.46    ,1.49      ,1.44      ,1.27        ,1.27      ,1.11      ,0.79      ,15.83                       ,7.46    ,32.94             ,-2.36 ,-3.54                  ,-2.39                      ,+4.87                  ,+5.02                   ,-26.97               ,+74.99               ,-11.98               ,+1.56     ,30.64        ,34.92    ,8.11                   ,29.05     ,18.03    ,95.90                   ,9.79                         ,-7.81   ,-0.30,+2.67                  ,-0.08                 ,-1.08                  ,+19.22                   ,+20.30               ,-9.82                ,+39.56               ,+3.66             ,2               ,31.09     ,34.92   ,29.94       ,29.05   ,-9.73                ,2.34           ,-2.06    ,-0.99,+0.53                   ,-0.74                    ,-3.44                    ,+1.44                 ,-19.33               ,+27.19               ,+18.22               ,+2.38             ,34.92      ,38.31     ,29.62    ,24.84  ,2.44         ,93.00            ,-0.10         ,2.83              ,--                   ,20.28                    ,4.29            ,29.56        ,23.70                ,1.51     ,29.89     ,29.26     ,25.52      ,30.27     ,27.89      ,46.02                ,49.91     ,25.94                   ,1.88 ,33.47               ,-1.53                     ,2.27           ,28.92     ,25.81      ,30.59     ,29.31     ,27.72      ,46.49     ,55.06                ,14.61         ,12.55,0.29       ,2.02           ,4.42                      ,30.96     ,26.50      ,28.92     ,54.44                ,19.32                   ,15.90   ,28.45                  ,-5.29          ,4.76                      ,-2453.99  , 
AXL   ,-6.65      ,17.56     ,2752440   ,6.14     ,1.44B     ,166            ,+1.43                     ,25.14     ,18.94     ,-0.45,-88.43      ,22.95                  ,-19.69            ,19.16                  ,19.27                  ,Auto Components                               ,NYSE    ,AMERICAN AXLE & MFG HOLDI,Auto Parts & Equipment                    ,--      ,18.78         ,17.56 ,100     ,912008       ,1471787     ,301.80                  ,187.01                 ,No        ,18.81 ,18.97 ,17.57 ,94.14                 ,1125282       ,1474312    ,244.60                   ,186.69                ,No                ,Consumer Discretionary    ,--            ,18.78     ,17.14 ,400     ,1146981     ,341.16                    ,239.97                 ,17.05M         ,Yes                 ,NR ,--       ,B-                 ,9.09           ,18.18                 ,45.45           ,18.18                  ,9.09            ,11                ,3.00              ,240.70M   ,3.95B  ,240.70M ,76.91M            ,3.06    ,3.06      ,3.02      ,3.40        ,1.85      ,1.23      ,4.87      ,8.07                        ,6.10    ,301.37            ,-1.22 ,-2.63                  ,-2.54                      ,+0.43                  ,-5.84                   ,-27.29               ,+60.38               ,+18.90               ,+1.38     ,19.00        ,20.83    ,2.28                   ,18.16     ,12.61    ,77.05                   ,9.16                         ,-6.50   ,+0.03,-2.01                  ,-0.05                 ,-0.70                  ,+2.37                    ,-2.69                ,+1.40                ,+26.56               ,+57.90            ,2               ,19.00     ,21.24   ,18.64       ,18.16   ,-4.53                ,1.41           ,-1.25    ,+0.16,+0.26                   ,-0.49                    ,-3.60                    ,-1.17                 ,+22.03               ,+37.58               ,+15.64               ,+7.24             ,20.77      ,21.25     ,18.16    ,18.16  ,1.83         ,26.00            ,-0.42         ,0.26              ,--                   ,6.14                     ,4.08            ,264.32       ,5.52                 ,0.37     ,18.61     ,19.88     ,18.47      ,19.12     ,18.97      ,39.17                ,45.50     ,39.00                   ,11.57,20.81               ,-1.66                     ,-1.96          ,19.92     ,17.74      ,19.17     ,19.40     ,18.78      ,40.44     ,49.24                ,44.41         ,21.10,-0.32      ,-2.64          ,-1.26                     ,19.27     ,18.76      ,19.35     ,46.26                ,15.01                   ,22.32   ,17.73                  ,-2.24          ,-1.45                     ,-3493.20  , 
GPI   ,-5.96      ,69.72     ,203458    ,11.11    ,1.58B     ,87             ,+1.24                     ,29.51     ,74.05     ,-1.54,-95.33      ,10.16                  ,-3.63             ,23.57                  ,74.81                  ,Specialty Retail                              ,NYSE    ,GROUP 1 AUTOMOTIVE INC   ,Automotive Retail                         ,0.96    ,74.08         ,69.73 ,200     ,196355       ,250992      ,103.62                  ,81.06                  ,No        ,74.14 ,74.14 ,69.83 ,86.02                 ,197104        ,213572     ,103.22                   ,95.26                 ,No                ,Consumer Discretionary    ,1.30          ,74.08     ,69.22 ,200     ,195649      ,69.35                     ,103.99                 ,14.46M         ,Yes                 ,C  ,***      ,A-                 ,16.67          ,--                    ,58.33           ,16.67                  ,8.33            ,12                ,3.00              ,147.06M   ,10.89B ,147.06M ,21.38M            ,6.67    ,6.67      ,3.90      ,7.81        ,3.60      ,4.32      ,4.19      ,7.00                        ,1.35    ,806.49            ,-4.36 ,-9.26                  ,-0.97                      ,+1.29                  ,-5.26                   ,-12.00               ,+39.27               ,+26.21               ,+1.52     ,75.27        ,79.93    ,9.04                   ,70.84     ,47.31    ,89.84                   ,6.87                         ,-5.89   ,+0.06,-10.26                 ,-0.03                 ,-1.37                  ,+1.77                    ,-4.67                ,+16.73               ,+7.35                ,+15.91            ,0               ,75.27     ,83.18   ,73.54       ,70.84   ,-21.91               ,4.42           ,-4.42    ,+0.08,+0.91                   ,-0.73                    ,-1.82                    ,-4.11                 ,+27.98               ,+28.85               ,+31.74               ,+3.32             ,79.93      ,83.18     ,70.84    ,70.84  ,4.92         ,16.00            ,-0.50         ,0.48              ,--                   ,11.11                    ,--              ,132.58       ,9.49                 ,0.15     ,72.87     ,77.57     ,73.84      ,74.64     ,74.61      ,44.34                ,45.56     ,34.19                   ,4.67 ,79.53               ,-4.00                     ,-8.96          ,77.96     ,67.78      ,74.51     ,76.10     ,73.77      ,40.60     ,49.36                ,44.41         ,28.18,-1.31      ,-10.28         ,-7.65                     ,74.81     ,76.55      ,76.02     ,46.42                ,13.16                   ,34.23   ,70.08                  ,-6.95          ,-4.71                     ,-107.38   , 
BKE   ,-5.65      ,17.55     ,638689    ,9.16     ,908.59M   ,26             ,+1.82                     ,40.92     ,18.21     ,-0.43,-62.26      ,12.50                  ,10.21             ,25.82                  ,18.11                  ,Specialty Retail                              ,NYSE    ,BUCKLE INC               ,Apparel Retail                            ,1.75    ,18.60         ,17.55 ,1500    ,423991       ,540812      ,150.64                  ,118.10                 ,No        ,18.60 ,18.60 ,17.60 ,60.81                 ,659748        ,589046     ,96.81                    ,108.43                ,No                ,Consumer Discretionary    ,9.40          ,18.60     ,17.40 ,200     ,682464      ,127.14                    ,93.59                  ,7.77M          ,Yes                 ,C  ,***      ,B+                 ,--             ,--                    ,75.00           ,--                     ,25.00           ,4                 ,3.50              ,97.96M    ,974.87M,97.96M  ,48.85M            ,2.03    ,2.03      ,3.06      ,1.78        ,3.38      ,3.39      ,3.44      ,9.00                        ,10.05   ,165.23            ,-1.05 ,-2.59                  ,+2.73                      ,-3.13                  ,-7.68                   ,-58.30               ,-44.00               ,-14.30               ,+1.13     ,18.85        ,19.85    ,16.42                  ,16.50     ,16.50    ,87.50                   ,3.43                         ,-5.65   ,0.00 ,-5.60                  ,-0.01                 ,+0.41                  ,-14.40                   ,-14.70               ,-49.97               ,-17.97               ,+23.24            ,0               ,18.85     ,24.07   ,18.39       ,16.50   ,-0.90                ,1.05           ,-1.05    ,0.00 ,+0.33                   ,+0.50                    ,+2.25                    ,-1.55                 ,-40.87               ,-48.79               ,-18.52               ,+17.00            ,19.20      ,35.02     ,17.25    ,16.50  ,1.20         ,5.00             ,-0.15         ,0.39              ,--                   ,9.16                     ,2.09            ,--           ,10.46                ,0.93     ,17.89     ,19.57     ,21.51      ,18.36     ,20.86      ,52.52                ,42.71     ,25.65                   ,37.74,19.28               ,0.40                      ,-4.95          ,19.95     ,23.11      ,18.15     ,19.47     ,21.33      ,41.85     ,44.75                ,20.09         ,64.65,-0.56      ,-2.80          ,-5.20                     ,18.11     ,21.60      ,19.79     ,45.24                ,17.07                   ,70.92   ,16.93                  ,-0.34          ,-2.45                     ,849.01    , 
PATK  ,-5.57      ,66.95     ,159179    ,19.48    ,1.19B     ,67             ,+3.02                     ,32.53     ,70.15     ,-2.47,-92.44      ,7.77                   ,13.59             ,34.52                  ,70.39                  ,Building Products                             ,NCM     ,PATRICK INDUSTRIES INC   ,Building Products                         ,--      ,70.90         ,66.85 ,100     ,168191       ,140141      ,94.64                   ,113.58                 ,No        ,70.90 ,71.70 ,66.95 ,78.87                 ,266939        ,165905     ,59.63                    ,95.95                 ,No                ,Industrials               ,--            ,70.90     ,66.55 ,100     ,249576      ,56.57                     ,63.78                  ,11.61M         ,Yes                 ,C  ,--       ,B-                 ,25.00          ,50.00                 ,25.00           ,--                     ,--              ,4                 ,2.00              ,55.58M    ,1.22B  ,55.58M  ,16.76M            ,3.64    ,3.64      ,2.72      ,3.91        ,1.91      ,1.49      ,1.76      ,15.00                       ,4.55    ,271.71            ,-3.95 ,-14.35                 ,+0.72                      ,-0.65                  ,-8.85                   ,+70.79               ,+775.31              ,+49.45               ,+1.15     ,71.40        ,82.85    ,14.40                  ,66.65     ,43.36    ,92.23                   ,3.55                         ,-5.57   ,0.00 ,-9.39                  ,-0.02                 ,-1.10                  ,-0.90                    ,-7.08                ,+139.91              ,+11.91               ,+35.39            ,5               ,71.40     ,86.10   ,68.75       ,66.65   ,-23.19               ,4.75           ,-3.95    ,0.00 ,+2.08                   ,+0.51                    ,-1.53                    ,-6.88                 ,+56.20               ,+574.81              ,+24.71               ,+12.13            ,81.59      ,86.10     ,66.65    ,66.65  ,5.15         ,13.00            ,-0.40         ,0.84              ,--                   ,19.48                    ,--              ,138.48       ,18.14                ,0.97     ,68.89     ,77.02     ,72.44      ,71.08     ,73.16      ,47.46                ,44.33     ,28.43                   ,7.56 ,74.98               ,-10.40                    ,-12.70         ,77.54     ,68.49      ,69.33     ,74.08     ,72.21      ,39.36     ,47.68                ,31.05         ,43.61,-2.61      ,-14.25         ,-9.15                     ,70.39     ,75.02      ,74.23     ,44.31                ,14.96                   ,41.83   ,65.80                  ,-14.00         ,-10.30                    ,385.98    , 
CRAY  ,-5.02      ,20.80     ,339307    ,84.23    ,892.12M   ,28             ,+1.62                     ,46.95     ,21.07     ,0.38 ,-49.42      ,14.55                  ,39.60             ,19.80                  ,20.66                  ,Technology Hardware Storage & Peripherals     ,NASDAQ  ,CRAY INC                 ,Technology Hardware Storage & Peripherals ,--      ,21.90         ,20.75 ,800     ,299056       ,462496      ,113.46                  ,73.36                  ,No        ,21.90 ,21.98 ,20.80 ,96.33                 ,310178        ,456670     ,109.39                   ,74.30                 ,No                ,Information Technology    ,--            ,21.90     ,20.60 ,700     ,304137      ,102.28                    ,111.56                 ,6.47M          ,Yes                 ,C  ,--       ,B-                 ,60.00          ,20.00                 ,20.00           ,--                     ,--              ,5                 ,1.60              ,10.62M    ,629.81M,10.62M  ,40.74M            ,0.26    ,0.26      ,0.68      ,-0.13       ,1.54      ,0.81      ,4.27      ,21.50                       ,1.69    ,480.04            ,-1.10 ,-0.40                  ,+5.99                      ,+1.55                  ,+11.02                  ,-22.01               ,+199.18              ,-37.42               ,+1.35     ,22.07        ,22.07    ,21.43                  ,19.20     ,16.10    ,85.45                   ,0.91                         ,-5.02   ,0.00 ,-0.15                  ,-0.03                 ,+1.32                  ,+7.62                    ,+5.80                ,-41.32               ,+8.03                ,+2.09             ,1               ,22.07     ,22.55   ,21.75       ,19.20   ,-4.50                ,1.18           ,-1.10    ,0.00 ,+0.35                   ,+1.24                    ,+6.42                    ,+2.17                 ,-47.75               ,-5.64                ,-8.95                ,+1.51             ,22.07      ,43.40     ,20.60    ,16.10  ,1.38         ,51.00            ,-0.20         ,3.62              ,--                   ,84.23                    ,1.72            ,--           ,--                   ,1.42     ,21.25     ,19.89     ,20.02      ,20.93     ,20.73      ,76.77                ,50.23     ,24.87                   ,50.58,22.18               ,1.85                      ,0.10           ,19.70     ,22.36      ,20.99     ,20.42     ,21.11      ,52.21     ,53.47                ,1.67          ,80.80,0.34       ,3.75           ,0.55                      ,20.66     ,19.85      ,20.38     ,58.79                ,24.05                   ,91.51   ,19.15                  ,1.00           ,5.51                      ,1999.07   , 
SUP   ,-5.02      ,24.13     ,120935    ,15.65    ,631.16M   ,29             ,+1.18                     ,34.45     ,25.21     ,0.09 ,-99.17      ,1.92                   ,-32.88            ,19.19                  ,25.55                  ,Auto Components                               ,NYSE    ,SUPERIOR INDUSTRIES INTL ,Auto Parts & Equipment                    ,0.72    ,25.35         ,24.10 ,300     ,311175       ,157365      ,38.86                   ,76.85                  ,No        ,25.40 ,25.40 ,24.15 ,94.55                 ,204250        ,170313     ,59.21                    ,71.01                 ,No                ,Consumer Discretionary    ,2.80          ,25.35     ,24.10 ,700     ,209789      ,35.98                     ,57.65                  ,7.87M          ,Yes                 ,C  ,***      ,B-                 ,25.00          ,25.00                 ,50.00           ,--                     ,--              ,4                 ,2.25              ,41.38M    ,732.68M,41.38M  ,24.9M             ,1.62    ,1.62      ,0.90      ,1.91        ,0.33      ,0.83      ,1.13      ,10.00                       ,5.65    ,174.90            ,-1.22 ,+1.38                  ,-0.77                      ,-0.33                  ,+3.17                   ,+42.73               ,+55.27               ,-15.82               ,+0.70     ,25.50        ,27.39    ,6.72                   ,24.80     ,21.53    ,98.08                   ,5.42                         ,-4.83   ,+0.05,-1.98                  ,-0.05                 ,-0.32                  ,-1.29                    ,-2.45                ,+38.10               ,-10.32               ,+10.19            ,0               ,25.90     ,27.40   ,24.95       ,24.80   ,-2.57                ,1.28           ,-1.28    ,+0.20,+0.30                   ,-0.20                    ,-1.26                    ,+0.78                 ,+17.93               ,+52.97               ,-22.04               ,+7.64             ,27.10      ,32.12     ,24.90    ,21.90  ,1.30         ,23.00            ,-0.03         ,0.67              ,--                   ,15.65                    ,1.61            ,--           ,13.30                ,0.86     ,25.21     ,24.38     ,25.27      ,25.18     ,25.26      ,50.80                ,47.05     ,23.84                   ,0.83 ,26.51               ,-0.90                     ,-2.48          ,24.45     ,26.68      ,25.43     ,24.99     ,25.36      ,46.09     ,50.19                ,1.94          ,16.22,0.26       ,0.98           ,-2.00                     ,25.55     ,25.06      ,25.02     ,51.43                ,24.78                   ,18.93   ,24.58                  ,-1.98          ,2.10                      ,-1029.99  , 
ZTO   ,-5.00      ,12.39     ,3915335   ,29.85    ,9.43B     ,114            ,+1.26                     ,42.89     ,12.76     ,-0.03,-75.28      ,30.91                  ,-1.32             ,14.02                  ,12.53                  ,Air Freight & Logistics                       ,NYSE    ,ZTO EXPRESS (CAYM) INC -A,Air Freight & Logistics                   ,--      ,13.09         ,12.38 ,800     ,2694605      ,3185127     ,145.30                  ,122.93                 ,No        ,13.04 ,13.19 ,12.39 ,13.41                 ,2755209       ,2476133    ,142.11                   ,158.12                ,No                ,Industrials               ,--            ,13.09     ,12.03 ,800     ,2777027     ,125.72                    ,140.99                 ,34.92M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,309.16M   ,1.48B  ,309.16M ,720.57M           ,0.44    ,0.44      ,0.32      ,4.33        ,0.10      ,--        ,--        ,--                          ,3.16    ,--                ,-0.70 ,-0.91                  ,+4.49                      ,-0.46                  ,+1.15                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,13.12        ,13.48    ,5.26                   ,11.14     ,11.14    ,69.09                   ,2.94                         ,-5.36   ,-0.05,+0.18                  ,-0.02                 ,+0.49                  ,-3.43                    ,+8.45                ,0.00                 ,-14.81               ,+16.77            ,2               ,13.48     ,14.76   ,12.85       ,11.14   ,-0.89                ,0.80           ,-0.65    ,-0.38,+0.16                   ,+0.56                    ,+3.92                    ,+0.15                 ,0.00                 ,0.00                 ,0.00                 ,+12.63            ,13.48      ,18.45     ,12.45    ,11.14  ,1.16         ,40.00            ,-0.36         ,1.28              ,--                   ,29.85                    ,4.59            ,--           ,3.03                 ,6.39     ,12.74     ,12.89     ,--         ,12.77     ,--         ,56.35                ,--        ,31.24                   ,24.72,13.52               ,0.07                      ,-0.58          ,12.95     ,--         ,12.75     ,--        ,--         ,--        ,50.00                ,12.74         ,59.90,-0.07      ,0.15           ,0.82                      ,12.53     ,13.34      ,--        ,50.00                ,24.18                   ,76.84   ,11.53                  ,-0.57          ,0.56                      ,-470.08   , 
VDSI  ,-4.80      ,12.90     ,106793    ,51.00    ,542.81M   ,14             ,+2.43                     ,42.72     ,13.14     ,-0.14,-79.17      ,--                     ,15.93             ,17.42                  ,13.07                  ,Software                                      ,NSC     ,VASCO DATA SEC INTL INC  ,Systems Software                          ,--      ,13.50         ,12.85 ,600     ,161001       ,250426      ,66.33                   ,42.64                  ,No        ,13.55 ,13.60 ,12.95 ,64.96                 ,186806        ,229556     ,57.17                    ,46.52                 ,No                ,Information Technology    ,--            ,13.50     ,12.90 ,1900    ,186530      ,41.07                     ,57.25                  ,2.13M          ,Yes                 ,C  ,--       ,B-                 ,75.00          ,--                    ,25.00           ,--                     ,--              ,4                 ,1.50              ,10.51M    ,192.30M,10.51M  ,40.21M            ,0.26    ,0.26      ,1.06      ,0.28        ,0.85      ,0.28      ,0.40      ,26.00                       ,5.47    ,319.97            ,-0.60 ,-0.40                  ,+3.33                      ,-1.23                  ,-3.81                   ,-37.33               ,+25.12               ,-21.36               ,+1.67     ,13.55        ,13.85    ,5.70                   ,12.40     ,12.40    ,100.00                  ,1.78                         ,-4.44   ,+0.05,-0.95                  ,-0.01                 ,+0.45                  ,-8.32                    ,-1.10                ,+79.05               ,-10.34               ,+4.17             ,1               ,13.55     ,15.77   ,13.00       ,12.40   ,-0.50                ,0.70           ,-0.65    ,+0.37,+0.32                   ,+0.44                    ,+3.45                    ,-0.53                 ,-12.34               ,+59.95               ,-28.69               ,+3.29             ,13.85      ,19.30     ,12.65    ,12.40  ,0.70         ,18.00            ,0.00          ,2.19              ,--                   ,51.00                    ,3.46            ,--           ,49.09                ,2.82     ,13.04     ,13.85     ,14.35      ,13.18     ,14.24      ,60.00                ,44.08     ,18.41                   ,20.83,13.57               ,0.60                      ,-1.75          ,14.00     ,15.61      ,13.13     ,13.62     ,14.45      ,43.42     ,46.51                ,0.53          ,47.22,-0.21      ,-2.45          ,-1.15                     ,13.07     ,14.15      ,13.75     ,47.76                ,18.61                   ,49.46   ,12.56                  ,0.20           ,-1.35                     ,390.90    , 
