Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SAIC  ,-1.36      ,73.06     ,378251    ,24.59    ,3.24B     ,55             ,-5.62                     ,16.08     ,82.39     ,-2.37,-96.63      ,29.26                  ,-19.64            ,25.45                  ,84.78                  ,IT Services                                 ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,74.40         ,73.06 ,300     ,773276       ,320898      ,48.92                   ,117.87                 ,No        ,74.07 ,74.39 ,73.13 ,70.60                 ,371929        ,307028     ,101.70                   ,123.20                ,Yes               ,Information Technology,1.70          ,74.40     ,72.51 ,300     ,357994      ,40.20                     ,105.66                 ,59.74M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,117.00M   ,4.32B  ,117.00M ,43.57M            ,3.03    ,2.47      ,2.91      ,3.35        ,2.27      ,3.66      ,3.66      ,5.00                        ,2.71    ,287.67            ,-1.34 ,-15.01                 ,-12.24                     ,-5.84                  ,-12.48                  ,+51.54               ,0.00                 ,+61.51               ,+1.61     ,76.34        ,89.14    ,15.48                  ,72.70     ,51.26    ,70.74                   ,15.15                        ,-1.80   ,-0.33,-11.90                 ,-0.15                 ,-11.36                 ,-7.28                    ,-11.94               ,+113.52              ,+5.71                ,+37.38            ,4               ,86.71     ,89.87   ,74.34       ,72.70   ,-21.25               ,1.33           ,-1.01    ,-0.44,-4.43                   ,-10.38                   ,-13.25                   ,-10.61                ,+42.18               ,0.00                 ,+37.41               ,+6.52             ,88.82      ,89.87     ,72.70    ,72.70  ,1.88         ,44.00            ,-0.55         ,1.06              ,--                   ,30.12                    ,--              ,266.58       ,22.22                ,0.75     ,82.48     ,84.89     ,81.35      ,83.30     ,81.76      ,17.50                ,41.11     ,51.95                   ,3.37 ,93.85               ,-13.64                    ,-11.81         ,84.82     ,73.93      ,84.13     ,84.28     ,80.40      ,33.33     ,42.24                ,66.76         ,9.33 ,-0.76      ,-9.64          ,-11.03                    ,84.78     ,83.94      ,83.98     ,34.70                ,10.35                   ,20.19   ,75.71                  ,-14.25         ,-7.63                     ,-1265.97  , 
SJM   ,-0.28      ,130.78    ,423049    ,22.82    ,15.26B    ,9              ,-0.52                     ,16.14     ,134.02    ,-1.89,-99.73      ,3.60                   ,-26.71            ,27.07                  ,135.79                 ,Food Products                               ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,131.08        ,130.77,300     ,1426036      ,1005237     ,29.67                   ,42.08                  ,Yes       ,131.15,131.45,130.79,78.12                 ,1311448       ,1274137    ,32.26                    ,33.20                 ,No                ,Consumer Staples      ,2.30          ,131.08    ,130.76,100     ,1278849     ,48.93                     ,33.08                  ,188.87M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.30 ,-10.50                 ,-3.47                      ,-1.82                  ,-3.56                   ,+18.32               ,+80.63               ,+11.51               ,+0.59     ,131.86       ,141.53   ,25.86                  ,131.05    ,122.05   ,96.40                   ,2.97                         ,-0.23   ,+0.07,+2.27                  ,-0.02                 ,-5.58                  ,-1.37                    ,+2.92                ,+44.27               ,+13.14               ,+9.24             ,6               ,133.52    ,143.68  ,131.05      ,131.05  ,-8.71                ,0.67           ,-0.37    ,+0.05,-0.69                   ,-4.71                    ,-4.08                    ,-4.84                 ,+3.11                ,+44.57               ,+1.07                ,+4.19             ,140.55     ,157.31    ,131.05   ,127.00 ,0.70         ,52.00            ,-0.03         ,0.98              ,--                   ,22.76                    ,--              ,73.43        ,17.13                ,1.95     ,132.62    ,137.22    ,132.67     ,134.77    ,135.12     ,16.94                ,44.92     ,34.39                   ,0.27 ,142.38              ,-9.41                     ,1.60           ,136.18    ,137.93     ,134.67    ,135.61    ,135.03     ,39.85     ,45.24                ,45.09         ,0.72 ,-1.21      ,-8.00          ,2.55                      ,135.79    ,132.95     ,135.47    ,40.35                ,13.01                   ,2.86    ,129.21                 ,-9.21          ,-6.50                     ,-4797.19  , 
AKAM  ,-2.91      ,58.00     ,2420966   ,33.35    ,10.34B    ,200            ,-2.11                     ,18.13     ,62.26     ,-1.12,-98.20      ,6.57                   ,-35.11            ,21.11                  ,63.22                  ,Internet Software & Services                ,NGM/NGS ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services         ,--      ,59.70         ,58.00 ,400     ,3161248      ,2080754     ,76.58                   ,116.35                 ,Yes       ,59.74 ,59.99 ,58.01 ,92.69                 ,1820681       ,1990009    ,132.97                   ,121.66                ,No                ,Information Technology,--            ,59.70     ,57.86 ,200     ,1813537     ,67.23                     ,133.49                 ,194.12M        ,No                  ,C  ,*****    ,B+                 ,50.00          ,8.33                  ,33.33           ,8.33                   ,--              ,24                ,2.00              ,316.13M   ,2.34B  ,316.13M ,173.19M           ,1.79    ,1.79      ,1.78      ,2.79        ,1.84      ,1.61      ,1.12      ,13.91                       ,13.51   ,360.56            ,-1.70 ,-4.82                  ,-5.56                      ,-4.34                  ,-9.14                   ,-15.97               ,+62.67               ,+14.69               ,+0.83     ,60.91        ,65.65    ,11.65                  ,59.50     ,47.80    ,93.43                   ,8.56                         ,-2.85   ,+0.04,-9.27                  ,-0.08                 ,-3.78                  ,-6.77                    ,-10.47               ,+2.56                ,-6.15                ,+9.96             ,3               ,64.06     ,71.64   ,59.50       ,59.50   ,-10.06               ,1.99           ,-1.74    ,+0.07,-1.28                   ,-3.52                    ,-5.95                    ,-6.00                 ,+7.43                ,+69.03               ,+14.03               ,+7.39             ,65.65      ,71.64     ,59.50    ,59.50  ,2.13         ,19.00            ,-0.14         ,1.43              ,--                   ,33.35                    ,5.61            ,19.85        ,21.43                ,4.42     ,62.19     ,64.57     ,65.12      ,62.66     ,63.81      ,23.02                ,41.12     ,41.97                   ,1.80 ,66.71               ,-3.66                     ,-11.55         ,65.44     ,60.56      ,62.96     ,64.00     ,63.41      ,34.25     ,43.32                ,54.24         ,2.69 ,-0.62      ,-11.55         ,-8.63                     ,63.22     ,65.87      ,64.14     ,37.40                ,12.45                   ,11.13   ,59.72                  ,-5.06          ,-9.70                     ,-10420.28 , 
INTU  ,-0.05      ,115.99    ,2478864   ,31.15    ,29.67B    ,70             ,-0.60                     ,19.92     ,119.36    ,-1.56,-88.73      ,69.19                  ,-9.16             ,31.80                  ,121.51                 ,Software                                    ,NGM/NGS ,INTUIT INC               ,Application Software                 ,1.36    ,115.99        ,115.98,200     ,3178790      ,1370210     ,77.98                   ,180.91                 ,Yes       ,116.05,116.52,116.00,87.30                 ,1929450       ,1491960    ,128.48                   ,166.15                ,No                ,Information Technology,1.20          ,115.99    ,114.80,100     ,1892397     ,52.74                     ,130.99                 ,372.23M        ,No                  ,C  ,***      ,B+                 ,22.22          ,11.11                 ,50.00           ,11.11                  ,5.56            ,18                ,2.67              ,979.00M   ,4.69B  ,979.00M ,255.79M           ,3.72    ,3.69      ,1.28      ,4.35        ,3.13      ,2.83      ,2.60      ,15.47                       ,20.86   ,594.18            ,0.00  ,-9.90                  ,-4.54                      ,+0.43                  ,-3.22                   ,+22.40               ,+103.70              ,+18.63               ,+1.08     ,116.39       ,126.67   ,11.93                  ,115.30    ,99.20    ,30.81                   ,3.71                         ,0.00    ,+0.06,+1.65                  ,-0.02                 ,-6.37                  ,+0.37                    ,+1.50                ,+54.33               ,+10.67               ,+135.90           ,1               ,119.06    ,128.44  ,115.30      ,115.30  ,-15.60               ,0.53           ,-0.06    ,+0.05,-0.71                   ,-5.52                    ,-5.20                    ,-3.86                 ,+12.81               ,+84.67               ,+13.23               ,+22.22            ,126.55     ,128.45    ,115.30   ,111.90 ,1.72         ,50.00            ,-1.19         ,1.34              ,--                   ,31.41                    ,--              ,42.03        ,26.69                ,6.32     ,118.38    ,120.73    ,116.24     ,119.98    ,117.99     ,19.92                ,47.29     ,34.37                   ,11.27,128.40              ,-10.46                    ,0.30           ,120.02    ,114.16     ,120.30    ,120.08    ,117.17     ,41.51     ,47.29                ,55.62         ,6.68 ,-0.62      ,-2.38          ,1.01                      ,121.51    ,118.00     ,119.70    ,41.51                ,9.80                    ,6.67    ,114.61                 ,-10.11         ,-1.84                     ,-2815.21  , 
FDS   ,-0.94      ,164.12    ,258295    ,19.37    ,6.52B     ,46             ,+0.26                     ,20.16     ,171.19    ,-3.27,-89.17      ,21.95                  ,-13.65            ,24.09                  ,174.34                 ,Capital Markets                             ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.91        ,164.03,200     ,606458       ,328392      ,42.59                   ,78.65                  ,No        ,165.67,167.00,164.21,96.25                 ,322247        ,252079     ,80.15                    ,102.47                ,Yes               ,Financials            ,1.20          ,164.91    ,163.31,100     ,312330      ,79.46                     ,82.70                  ,100.52M        ,No                  ,F  ,***      ,A+                 ,--             ,5.56                  ,66.67           ,22.22                  ,5.56            ,18                ,3.28              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,-0.79 ,-15.56                 ,-5.41                      ,-2.30                  ,-5.68                   ,+5.97                ,+76.95               ,+12.81               ,+0.77     ,166.10       ,182.56   ,16.64                  ,161.88    ,145.48   ,78.05                   ,5.66                         ,-0.48   ,+0.76,-0.94                  ,-0.06                 ,-10.42                 ,-1.38                    ,+1.18                ,+58.37               ,+11.37               ,+66.59            ,14              ,176.74    ,183.64  ,164.03      ,161.88  ,-17.83               ,2.88           ,-1.55    ,+0.46,+0.43                   ,-9.43                    ,-5.94                    ,-9.94                 ,+10.13               ,+86.86               ,+0.51                ,+33.06            ,182.56     ,183.64    ,161.88   ,161.88 ,3.69         ,73.00            ,-0.81         ,0.83              ,--                   ,20.14                    ,--              ,57.98        ,22.72                ,--       ,170.43    ,176.03    ,167.52     ,172.46    ,171.49     ,21.27                ,44.33     ,36.42                   ,10.83,186.05              ,-13.43                    ,-4.76          ,175.02    ,168.27     ,173.40    ,173.70    ,170.67     ,38.19     ,44.86                ,37.50         ,12.60,-1.59      ,-12.04         ,-4.80                     ,174.34    ,170.14     ,173.32    ,38.95                ,16.55                   ,11.65   ,162.63                 ,-12.85         ,-9.61                     ,-712.03   , 
GPC   ,-2.58      ,90.11     ,970490    ,20.13    ,13.71B    ,163            ,+0.31                     ,20.52     ,92.96     ,-1.11,-84.79      ,26.85                  ,-2.63             ,24.55                  ,93.25                  ,Distributors                                ,NYSE    ,GENUINE PARTS CO         ,Distributors                         ,2.70    ,92.41         ,90.11 ,700     ,611705       ,677937      ,158.65                  ,143.15                 ,Yes       ,92.50 ,92.50 ,90.15 ,75.51                 ,639966        ,659855     ,151.65                   ,147.08                ,No                ,Consumer Discretionary,2.90          ,92.41     ,89.23 ,200     ,645009      ,141.60                    ,150.46                 ,56.62M         ,No                  ,D  ,**       ,A                  ,7.14           ,--                    ,85.71           ,7.14                   ,--              ,14                ,2.93              ,687.24M   ,15.34B ,687.24M ,148.38M           ,4.59    ,4.59      ,4.63      ,4.76        ,4.61      ,4.40      ,4.14      ,4.80                        ,4.48    ,383.49            ,-2.30 ,-6.43                  ,-0.90                      ,-3.57                  ,-3.91                   ,+4.80                ,+69.23               ,+0.74                ,+0.93     ,93.28        ,96.52    ,13.47                  ,91.93     ,86.61    ,73.15                   ,3.43                         ,-2.49   ,+0.09,-6.31                  ,-0.03                 ,-1.21                  ,-3.72                    ,-2.58                ,+15.33               ,+0.11                ,+21.68            ,0               ,93.71     ,100.90  ,91.93       ,91.93   ,-2.62                ,2.39           ,-2.39    ,+0.10,+0.28                   ,-0.84                    ,-1.29                    ,-3.76                 ,-4.44                ,+31.96               ,-5.69                ,+8.08             ,95.00      ,105.97    ,91.93    ,91.93  ,3.27         ,22.00            ,-0.88         ,0.86              ,--                   ,20.13                    ,8.48            ,18.37        ,19.41                ,0.89     ,92.65     ,95.68     ,95.56      ,93.37     ,95.80      ,33.29                ,41.88     ,31.28                   ,15.21,95.21               ,-2.29                     ,-6.56          ,96.06     ,97.65      ,93.20     ,94.90     ,95.97      ,36.86     ,44.76                ,49.73         ,13.66,-0.96      ,-7.03          ,-4.71                     ,93.25     ,96.25      ,95.17     ,41.70                ,10.50                   ,17.08   ,91.28                  ,-4.07          ,-4.21                     ,-243.73   , 
AAP   ,-2.22      ,145.10    ,1435306   ,23.91    ,10.94B    ,95             ,+0.17                     ,21.11     ,150.14    ,-3.00,-85.55      ,27.30                  ,-0.31             ,36.84                  ,151.32                 ,Specialty Retail                            ,NYSE    ,ADVANCE AUTO PARTS INC   ,Automotive Retail                    ,0.24    ,148.26        ,145.08,200     ,861917       ,1073427     ,166.52                  ,133.71                 ,Yes       ,148.40,149.20,145.14,99.57                 ,960327        ,1090473    ,149.46                   ,131.62                ,No                ,Consumer Discretionary,0.20          ,148.26    ,143.56,100     ,982581      ,146.20                    ,146.08                 ,127.93M        ,No                  ,D  ,**       ,A+                 ,31.03          ,20.69                 ,41.38           ,3.45                   ,3.45            ,29                ,2.28              ,459.62M   ,9.57B  ,459.62M ,73.82M            ,6.20    ,6.20      ,6.40      ,7.58        ,6.71      ,5.32      ,5.22      ,13.91                       ,4.80    ,166.39            ,-3.16 ,-13.49                 ,-2.02                      ,-10.16                 ,-7.74                   ,-0.65                ,+69.17               ,+1.92                ,+1.01     ,149.40       ,158.13   ,28.63                  ,146.17    ,132.98   ,72.70                   ,3.64                         ,-2.13   ,+0.14,-25.68                 ,-0.02                 ,-3.93                  ,-6.41                    ,-12.30               ,+17.76               ,-7.69                ,+17.10            ,15              ,150.07    ,177.50  ,147.38      ,146.17  ,-10.58               ,4.10           ,-3.30    ,+0.09,+0.25                   ,-3.06                    ,-2.58                    ,-12.43                ,-7.39                ,+80.69               ,-0.41                ,+5.59             ,156.09     ,177.83    ,146.17   ,146.17 ,5.64         ,11.00            ,-1.54         ,1.03              ,--                   ,23.91                    ,8.49            ,35.76        ,19.56                ,1.14     ,149.08    ,157.43    ,159.37     ,151.23    ,158.39     ,29.24                ,39.86     ,34.84                   ,14.45,156.67              ,-7.09                     ,-26.78         ,159.89    ,159.00     ,150.38    ,156.04    ,158.60     ,33.48     ,41.84                ,57.79         ,22.49,-2.83      ,-17.65         ,-23.74                    ,151.32    ,162.86     ,156.90    ,36.63                ,9.32                    ,27.11   ,145.96                 ,-9.15          ,-14.08                    ,-41.07    , 
KMX   ,-2.10      ,56.98     ,4159361   ,18.77    ,11.08B    ,134            ,+0.01                     ,21.57     ,60.39     ,-1.73,-87.84      ,38.96                  ,-0.67             ,44.52                  ,61.34                  ,Specialty Retail                            ,NYSE    ,CARMAX INC               ,Automotive Retail                    ,--      ,59.22         ,56.97 ,400     ,2510168      ,2175881     ,165.70                  ,191.16                 ,Yes       ,58.20 ,58.50 ,56.99 ,94.63                 ,2244716       ,2089587    ,185.30                   ,199.05                ,No                ,Consumer Discretionary,--            ,59.22     ,56.01 ,1300    ,2212427     ,104.16                    ,188.00                 ,149.24M        ,No                  ,D  ,***      ,B+                 ,40.00          ,15.00                 ,30.00           ,5.00                   ,10.00           ,20                ,2.30              ,623.43M   ,15.83B ,623.43M ,187.12M           ,3.16    ,3.03      ,2.73      ,3.28        ,2.16      ,1.87      ,1.79      ,13.31                       ,3.94    ,705.90            ,-2.24 ,-8.53                  ,-3.46                      ,-0.91                  ,-8.84                   ,-14.19               ,+70.91               ,+20.28               ,+1.32     ,59.96        ,66.15    ,10.61                  ,57.83     ,45.06    ,61.04                   ,6.12                         ,-3.78   ,-1.02,-8.05                  ,-0.03                 ,-2.76                  ,-1.51                    ,-8.03                ,+26.54               ,+11.68               ,+20.77            ,11              ,60.73     ,69.11   ,58.13       ,57.83   ,-10.95               ,1.52           ,-1.22    ,-1.72,+0.01                   ,-2.12                    ,-4.46                    ,-5.75                 ,+15.89               ,+42.01               ,+9.48                ,+4.08             ,65.13      ,69.11     ,57.83    ,57.83  ,2.49         ,18.00            ,-0.97         ,0.81              ,--                   ,19.54                    ,3.98            ,356.04       ,18.06                ,0.70     ,59.41     ,64.49     ,60.87      ,61.05     ,62.02      ,30.41                ,42.86     ,38.52                   ,12.16,65.65               ,-5.65                     ,-9.40          ,64.78     ,58.62      ,60.47     ,62.77     ,61.51      ,35.86     ,45.68                ,58.89         ,22.94,-1.51      ,-8.71          ,-7.54                     ,61.34     ,62.91      ,62.79     ,40.08                ,9.97                    ,27.80   ,57.03                  ,-6.92          ,-5.78                     ,-249.14   , 
RAD   ,-2.22      ,4.185     ,12444659  ,53.47    ,4.48B     ,15             ,-2.81                     ,21.59     ,4.59      ,-0.36,-98.47      ,8.82                   ,-35.24            ,40.96                  ,4.64                   ,Food & Staples Retailing                    ,NYSE    ,RITE AID CORP            ,Drug Retail                          ,--      ,4.25          ,4.18  ,44500   ,15300695     ,21263746    ,81.33                   ,58.53                  ,No        ,4.28  ,4.34  ,4.19  ,62.49                 ,22816729      ,25879419   ,54.54                    ,48.09                 ,No                ,Consumer Staples      ,--            ,4.25      ,4.17  ,15700   ,23205243    ,33.57                     ,53.63                  ,66.96M         ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.06        ,0.23      ,0.12      ,-0.43     ,2.75                        ,0.54    ,435.49            ,-0.065,-1.815                 ,-8.37                      ,-2.6036                ,-29.45                  ,-51.09               ,+144.25              ,-22.08               ,+1.86     ,4.38         ,5.92     ,4.43                   ,4.22      ,4.22     ,91.18                   ,9.73                         ,-1.53   ,+0.03,-4.045                 ,-0.09                 ,-0.5241                ,-37.99                   ,-48.42               ,-32.22               ,-24.62               ,+15.84            ,8               ,4.65      ,8.77    ,4.22        ,4.22    ,0.05                 ,0.155          ,-0.095   ,+0.71,-0.123                  ,-0.3883                  ,-10.98                   ,-1.7739               ,-47.85               ,+123.68              ,-20.32               ,+0.78             ,5.49       ,8.77      ,4.22     ,4.22   ,0.17         ,1.00             ,-0.015        ,2.30              ,--                   ,26.56                    ,--              ,1198.31      ,67.10                ,0.15     ,4.45      ,5.37      ,6.74       ,4.71      ,6.18       ,23.11                ,33.17     ,35.88                   ,1.53 ,5.09                ,-1.20                     ,-4.01          ,5.88      ,7.04       ,4.59      ,5.45      ,6.36       ,29.10     ,33.54                ,50.20         ,3.72 ,-0.36      ,-1.09          ,-4.02                     ,4.64      ,6.72       ,5.64      ,29.64                ,11.90                   ,8.07    ,4.18                   ,-1.05          ,-1.00                     ,-98543.49 , 
PAYX  ,-0.41      ,58.51     ,1362135   ,26.77    ,21.16B    ,68             ,-0.57                     ,21.82     ,60.51     ,-0.54,-91.68      ,49.39                  ,-35.01            ,31.04                  ,61.42                  ,IT Services                                 ,NGM/NGS ,PAYCHEX INC              ,Data Processing & Outsourced Services,1.84    ,58.90         ,58.50 ,300     ,3710690      ,2063951     ,36.71                   ,66.00                  ,Yes       ,58.75 ,58.93 ,58.51 ,69.68                 ,1948637       ,1871127    ,69.90                    ,72.80                 ,No                ,Information Technology,3.10          ,58.90     ,58.10 ,100     ,1915213     ,53.67                     ,71.12                  ,221.60M        ,No                  ,D  ,***      ,A                  ,9.09           ,4.55                  ,54.55           ,9.09                   ,22.73           ,22                ,3.32              ,756.80M   ,2.95B  ,756.80M ,359.2M            ,2.20    ,2.09      ,1.85      ,2.22        ,1.71      ,1.56      ,1.51      ,8.40                        ,25.64   ,218.66            ,-0.39 ,-3.20                  ,-4.10                      ,-0.27                  ,-3.08                   ,+26.77               ,+126.48              ,+15.98               ,+0.89     ,59.26        ,63.03    ,4.10                   ,58.58     ,51.06    ,50.61                   ,4.46                         ,-0.66   ,-0.15,-2.64                  ,-0.04                 ,-2.79                  ,-0.46                    ,-2.52                ,+52.76               ,+4.98                ,+42.44            ,4               ,61.46     ,63.03   ,58.84       ,58.58   ,-7.04                ,0.42           ,-0.24    ,-0.25,-0.34                   ,-2.52                    ,-4.52                    ,-1.87                 ,+12.57               ,+90.39               ,+2.85                ,+11.13            ,63.03      ,63.03     ,58.58    ,57.07  ,0.83         ,33.00            ,-0.41         ,1.15              ,--                   ,28.18                    ,17.92           ,--           ,26.59                ,7.17     ,60.39     ,60.64     ,59.29      ,60.72     ,60.08      ,24.00                ,45.93     ,35.47                   ,8.32 ,64.19               ,-3.60                     ,-2.34          ,60.72     ,59.25      ,61.12     ,60.72     ,59.80      ,40.94     ,46.85                ,57.71         ,9.29 ,-0.05      ,0.54           ,-2.39                     ,61.42     ,60.06      ,60.61     ,42.31                ,9.51                    ,9.35    ,58.65                  ,-3.90          ,0.35                      ,-11235.27 , 
