Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                    ,% Change,% Total Return (YTD3),Volume   ,% Vol Over Yesterday's Vol,% Vol Over 5 Day Avg Vol, 
VRTU  ,-6.55      ,27.96     ,65.86    ,905.33M   ,VIRTUSA CORP             ,IT Services                                 ,-7.48   ,-9.82                ,601683   ,176.30                    ,119.70                  , 
CAR   ,-4.50      ,28.20     ,16.90    ,2.53B     ,AVIS BUDGET GROUP INC    ,Road & Rail                                 ,-4.67   ,-39.26               ,1926046  ,100.89                    ,83.43                   , 
XPER  ,-4.25      ,32.65     ,30.31    ,1.67B     ,XPERI CORPORATION        ,Semiconductors & Semiconductor Equipment    ,-3.83   ,+56.70               ,421431   ,62.03                     ,69.41                   , 
TLRD  ,-3.74      ,14.42     ,29.29    ,728.83M   ,TAILORED BRANDS INC      ,Specialty Retail                            ,-3.48   ,-66.69               ,779635   ,80.59                     ,78.12                   , 
PRAA  ,-3.71      ,31.83     ,18.11    ,1.54B     ,PRA GROUP INC            ,Consumer Finance                            ,-4.00   ,-42.71               ,472762   ,175.43                    ,154.07                  , 
DLX   ,-3.50      ,69.78     ,15.51    ,3.50B     ,DELUXE CORP              ,Commercial Services & Supplies              ,-3.31   ,+45.79               ,623643   ,201.10                    ,202.69                  , 
SNCR  ,-3.41      ,23.51     ,54.27    ,1.12B     ,SYNCHRONOSS TECHNOLOGIES ,Software                                    ,-3.65   ,-28.84               ,457721   ,84.47                     ,50.95                   , 
ORLY  ,-3.32      ,257.18    ,25.15    ,24.73B    ,O'REILLY AUTOMOTIVE INC  ,Specialty Retail                            ,-4.69   ,+81.85               ,1807145  ,230.09                    ,230.29                  , 
CACI  ,-2.96      ,113.93    ,18.65    ,2.86B     ,CACI INTL INC  -CL A     ,IT Services                                 ,-2.88   ,+58.94               ,129626   ,77.90                     ,109.46                  , 
AKAM  ,-2.90      ,58.01     ,33.35    ,10.34B    ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services                ,-2.84   ,+2.56                ,2423823  ,67.31                     ,76.67                   , 
MPG   ,-2.62      ,22.30     ,16.44    ,1.55B     ,METALDYNE PERFORMANCE GRO,Auto Components                             ,-2.41   ,0.00                 ,276090   ,158.57                    ,317.28                  , 
GPC   ,-2.58      ,90.11     ,20.13    ,13.71B    ,GENUINE PARTS CO         ,Distributors                                ,-2.49   ,+15.33               ,970930   ,141.67                    ,158.73                  , 
NEWM  ,-2.53      ,13.89     ,20.31    ,759.84M   ,NEW MEDIA INVESTMENT GROU,Media                                       ,-2.25   ,+16.19               ,512786   ,103.19                    ,135.54                  , 
