Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FMCC  ,-6.29      ,2.235     ,4561393   ,80.02    ,1.56B     ,32             ,-1.28                     ,22.93     ,2.53      ,-0.18,-86.99      ,38.78                  ,-11.93            ,39.17                  ,2.56                   ,Thrifts & Mortgage Finance                    ,OTC     ,FEDERAL HOME LOAN MORTG C,Thrifts & Mortgage Finance           ,--      ,2.40          ,2.23  ,8300    ,1418690      ,4067995     ,321.52                  ,112.13                 ,No        ,2.385 ,2.385 ,2.24  ,0.03                  ,1931363       ,3262436    ,236.17                   ,139.82                ,No                ,Financials            ,--            ,2.40      ,2.14  ,100     ,1932902     ,230.76                    ,235.99                 ,3.51M          ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,7.82B     ,15.09B ,7.82B   ,650.05M           ,0.03    ,0.03      ,-0.01     ,2.00        ,-0.72     ,-1.09     ,-0.64     ,6.00                        ,49.17   ,2656.80           ,-0.165,-0.265                 ,-6.22                      ,-0.5287                ,-27.31                  ,+8.77                ,+726.67              ,+34.05               ,+3.87     ,2.50         ,2.87     ,2.455                  ,2.38      ,1.21     ,61.22                   ,14.23                        ,-6.88   ,-0.015,-1.505                 ,-0.11                 ,-0.1873                ,-18.05                   ,-35.83               ,-35.75               ,-33.69               ,-9.48             ,0               ,2.58      ,4.26    ,2.38        ,2.38    ,-0.93                ,0.15           ,-0.15    ,-0.63,-0.031                  ,-0.1593                  ,-7.24                    ,-0.9016               ,+85.07               ,+266.27              ,+57.96               ,+0.39             ,2.87       ,4.84      ,2.38     ,2.29   ,0.245        ,1.00             ,-0.095        ,3.44              ,--                   ,80.02                    ,--              ,36211.27     ,1.20                 ,0.10     ,2.48      ,3.14      ,3.06       ,2.59      ,2.95       ,29.90                ,41.81     ,41.94                   ,13.01,2.80                ,-0.22                     ,-1.62          ,3.25      ,2.53       ,2.55      ,2.91      ,2.91       ,35.97     ,43.41                ,54.17         ,10.14,-0.19      ,-1.95          ,-1.44                     ,2.56      ,3.34       ,2.96      ,38.36                ,12.47                   ,13.71   ,2.31                   ,-0.40          ,-1.75                     ,-3668.38  , 
INSY  ,-4.79      ,10.21     ,481473    ,34.36    ,773.54M   ,45             ,+0.47                     ,39.88     ,10.69     ,-0.09,-78.49      ,4.65                   ,-23.19            ,19.17                  ,10.63                  ,Biotechnology                                 ,NASDAQ  ,INSYS THERAPEUTICS INC   ,Biotechnology                        ,--      ,10.75         ,10.20 ,400     ,588721       ,915245      ,81.78                   ,52.61                  ,No        ,10.72 ,10.75 ,10.22 ,26.92                 ,750196        ,1065532    ,64.18                    ,45.19                 ,No                ,Health Care           ,--            ,10.75     ,10.18 ,300     ,774989      ,54.07                     ,62.13                  ,6.37M          ,No                  ,C  ,--       ,C                  ,33.33          ,50.00                 ,16.67           ,--                     ,--              ,6                 ,1.83              ,58.48M    ,330.80M,58.48M  ,71.96M            ,0.31    ,0.77      ,0.52      ,0.31        ,0.70      ,-0.87     ,-0.69     ,65.00                       ,17.68   ,648.62            ,-0.54 ,-0.04                  ,+1.14                      ,-0.29                  ,+0.88                   ,-63.84               ,+174.17              ,-18.78               ,+0.68     ,11.01        ,12.06    ,9.21                   ,9.80      ,8.70     ,95.35                   ,3.06                         ,-5.06   ,-0.03 ,+0.93                  ,-0.07                 ,+0.02                  ,-2.64                    ,+16.85               ,-49.26               ,+14.24               ,+9.49             ,1               ,11.38     ,13.69   ,10.01       ,9.80    ,-1.48                ,0.54           ,-0.51    ,-0.28,+0.05                   ,+0.12                    ,+0.19                    ,+0.09                 ,-34.27               ,+186.38              ,-10.86               ,+7.19             ,11.69      ,19.96     ,10.01    ,9.25   ,0.57         ,85.00            ,-0.03         ,1.48              ,--                   ,13.96                    ,3.05            ,--           ,34.90                ,2.34     ,10.70     ,10.76     ,10.88      ,10.73     ,11.13      ,49.36                ,47.18     ,19.78                   ,21.51,11.40               ,-0.54                     ,-0.08          ,10.67     ,12.40      ,10.52     ,10.78     ,11.39      ,46.63     ,48.78                ,4.78          ,36.45,-0.08      ,0.02           ,0.03                      ,10.63     ,10.83      ,10.81     ,49.53                ,21.77                   ,47.36   ,9.86                   ,-0.72          ,0.84                      ,-2515.59  , 
BZUN  ,-4.62      ,14.67     ,620223    ,64.23    ,749.55M   ,54             ,+3.19                     ,46.00     ,14.91     ,0.07 ,-61.90      ,13.49                  ,-11.55            ,15.01                  ,15.05                  ,Internet Software & Services                  ,NASDAQ  ,BAOZUN INC -ADR          ,Internet Software & Services         ,--      ,15.39         ,14.65 ,200     ,467083       ,494834      ,132.79                  ,125.34                 ,No        ,15.38 ,15.76 ,14.69 ,28.36                 ,441557        ,460310     ,140.46                   ,134.74                ,No                ,Information Technology,--            ,15.39     ,14.50 ,400     ,421097      ,75.13                     ,147.29                 ,7.02M          ,No                  ,-- ,--       ,--                 ,66.67          ,33.33                 ,--              ,--                     ,--              ,6                 ,1.33              ,12.87M    ,510.89M,12.87M  ,48.7M             ,0.24    ,0.24      ,-0.01     ,4.97        ,-2.40     ,-1.50     ,-1.03     ,150.76                      ,0.39    ,--                ,-0.72 ,-0.38                  ,+2.26                      ,+1.03                  ,+8.14                   ,0.00                 ,0.00                 ,+130.20              ,0.00      ,15.84        ,15.94    ,2.85                   ,13.95     ,5.19     ,86.51                   ,1.87                         ,-4.68   ,-0.01 ,+2.62                  ,-0.02                 ,+0.43                  ,+7.20                    ,+27.51               ,0.00                 ,+23.78               ,+6.37             ,19              ,15.84     ,16.20   ,14.94       ,13.92   ,-9.31                ,1.09           ,-0.71    ,-0.06,+0.48                   ,+0.34                    ,+2.85                    ,+1.16                 ,+155.82              ,0.00                 ,-0.99                ,+4.20             ,15.94      ,18.61     ,14.48    ,11.07  ,1.26         ,93.00            ,-0.17         ,2.76              ,--                   ,64.23                    ,3.68            ,--           ,3.10                 ,1.47     ,14.86     ,14.63     ,14.16      ,14.89     ,14.04      ,59.51                ,51.99     ,20.05                   ,38.10,15.83               ,1.31                      ,2.99           ,14.42     ,12.75      ,14.94     ,14.59     ,--         ,50.96     ,54.47                ,7.83          ,54.67,0.11       ,0.42           ,3.79                      ,15.05     ,14.07      ,14.49     ,55.25                ,23.46                   ,51.73   ,14.27                  ,-0.08          ,1.82                      ,-725.47   , 
NTES  ,-4.40      ,272.25    ,1161360   ,21.57    ,37.82B    ,269            ,+1.35                     ,31.25     ,284.78    ,-0.13,-97.50      ,4.55                   ,-20.53            ,18.65                  ,286.85                 ,Internet Software & Services                  ,NGM/NGS ,NETEASE INC              ,Internet Software & Services         ,3.30    ,285.22        ,272.24,300     ,865019       ,1107010     ,134.26                  ,104.91                 ,No        ,284.77,286.30,272.35,56.91                 ,926770        ,1120004    ,125.31                   ,103.69                ,No                ,Information Technology,1.20          ,285.22    ,271.58,100     ,930308      ,134.79                    ,124.84                 ,245.95M        ,No                  ,-- ,--       ,--                 ,68.00          ,12.00                 ,16.00           ,4.00                   ,--              ,25                ,1.56              ,1.78B     ,5.75B  ,1.78B   ,132.6M            ,13.22   ,13.22     ,7.69      ,16.94       ,5.46      ,5.12      ,4.17      ,26.87                       ,4.58    ,--                ,-12.97,-11.08                 ,-0.57                      ,+31.64                 ,+5.83                   ,+177.73              ,+433.67              ,+48.51               ,+0.73     ,286.88       ,298.39   ,22.36                  ,280.31    ,130.82   ,95.45                   ,4.94                         ,-4.55   ,-0.45 ,+52.87                 ,-0.06                 ,-3.08                  ,+12.48                   ,+32.89               ,+341.46              ,+32.32               ,+36.60            ,11              ,292.81    ,308.65  ,283.30      ,280.31  ,-140.76              ,14.05          ,-12.52   ,-0.16,+3.79                   ,-1.63                    ,-1.07                    ,+15.72                ,+100.74              ,+453.70              ,+18.74               ,+24.88            ,298.39     ,308.66    ,280.35   ,215.63 ,14.72        ,96.00            ,-0.67         ,0.93              ,--                   ,21.57                    ,6.92            ,--           ,16.83                ,6.57     ,284.72    ,279.24    ,254.33     ,285.02    ,261.84     ,47.49                ,52.62     ,29.31                   ,2.50 ,296.25              ,-7.05                     ,45.29          ,272.63    ,237.30     ,285.71    ,276.91    ,256.61     ,49.26     ,56.33                ,33.40         ,16.69,2.10       ,13.58          ,56.01                     ,286.85    ,253.46     ,273.59    ,55.39                ,14.64                   ,17.47   ,277.45                 ,-19.83         ,30.22                     ,-2867.35  , 
PLCE  ,-3.99      ,113.78    ,488302    ,22.05    ,2.09B     ,71             ,-0.16                     ,43.09     ,117.16    ,3.37 ,-93.15      ,3.72                   ,-4.98             ,33.08                  ,118.02                 ,Specialty Retail                              ,NGM/NGS ,CHILDRENS PLACE INC      ,Apparel Retail                       ,1.60    ,119.05        ,113.70,300     ,345952       ,502055      ,141.15                  ,97.26                  ,No        ,118.50,119.60,113.85,98.48                 ,683809        ,492545     ,71.41                    ,99.14                 ,No                ,Consumer Discretionary,1.30          ,119.05    ,113.55,300     ,672247      ,123.65                    ,72.64                  ,41.67M         ,Yes                 ,B  ,--       ,B+                 ,45.45          ,9.09                  ,45.45           ,--                     ,--              ,11                ,2.00              ,102.34M   ,1.79B  ,102.34M ,17.59M            ,5.40    ,5.40      ,2.80      ,6.64        ,2.59      ,2.32      ,2.61      ,12.05                       ,5.73    ,185.97            ,-5.28 ,-6.62                  ,+0.87                      ,+22.03                 ,+12.71                  ,+90.73               ,+139.38              ,+50.38               ,+0.39     ,120.98       ,122.95   ,3.35                   ,98.15     ,66.92    ,96.28                   ,3.98                         ,-4.43   ,-0.55 ,+12.22                 ,-0.06                 ,+3.34                  ,+22.70                   ,+17.93               ,+147.67              ,+18.92               ,+19.99            ,1               ,122.95    ,122.95  ,118.00      ,97.65   ,-46.63               ,5.83           ,-4.72    ,-0.46,-0.20                   ,+1.03                    ,+2.88                    ,+13.42                ,+45.21               ,+175.97              ,+50.59               ,+11.32            ,122.95     ,122.95    ,118.00   ,92.95  ,6.05         ,90.00            ,-0.23         ,0.95              ,--                   ,22.05                    ,4.26            ,--           ,17.94                ,1.17     ,119.01    ,106.92    ,99.19      ,115.92    ,103.30     ,59.38                ,56.16     ,23.13                   ,6.85 ,122.33              ,19.85                     ,13.08          ,105.97    ,92.03      ,118.31    ,109.81    ,101.20     ,54.98     ,59.83                ,3.73          ,45.94,4.09       ,16.38          ,14.85                     ,118.02    ,104.14     ,108.30    ,60.78                ,24.92                   ,67.20   ,113.71                 ,13.88          ,21.10                     ,-273.69   , 
HOLI  ,-3.93      ,15.91     ,499210    ,11.64    ,1.01B     ,52             ,+0.25                     ,25.52     ,16.90     ,-0.29,-97.13      ,5.08                   ,3.41              ,28.68                  ,17.19                  ,Electronic Equipment Instruments & Components ,NASDAQ  ,HOLLYSYS AUTOMATION TECH ,Electronic Equipment & Instruments   ,0.20    ,16.69         ,15.90 ,200     ,490603       ,380331      ,101.75                  ,131.26                 ,No        ,16.56 ,17.03 ,15.92 ,69.83                 ,330063        ,464422     ,151.25                   ,107.49                ,No                ,Information Technology,1.20          ,16.69     ,15.85 ,1400    ,335060      ,229.86                    ,148.99                 ,8.27M          ,No                  ,NC ,--       ,--                 ,22.22          ,22.22                 ,44.44           ,11.11                  ,--              ,9                 ,2.44              ,123.50M   ,544.32M,123.50M ,60.26M            ,1.43    ,1.97      ,1.61      ,1.55        ,1.19      ,0.92      ,1.01      ,15.00                       ,21.76   ,149.50            ,-0.78 ,-1.06                  ,-2.91                      ,-2.18                  ,-4.92                   ,-13.98               ,+64.48               ,-1.60                ,+1.45     ,17.04        ,18.23    ,6.52                   ,16.41     ,15.69    ,94.92                   ,6.83                         ,-4.67   ,-0.13 ,-2.59                  ,-0.06                 ,-0.61                  ,-11.53                   ,-8.90                ,-19.06               ,-7.59                ,+13.98            ,10              ,17.04     ,19.52   ,16.57       ,16.41   ,-0.16                ,1.12           ,-0.65    ,-0.78,+0.04                   ,-0.50                    ,-3.51                    ,-0.86                 ,-18.80               ,+43.03               ,-22.91               ,+9.20             ,18.12      ,23.55     ,16.41    ,16.21  ,1.18         ,14.00            ,-0.06         ,0.50              ,--                   ,8.49                     ,1.63            ,3.00         ,10.79                ,1.85     ,16.70     ,17.30     ,18.44      ,17.01     ,18.02      ,37.44                ,41.36     ,32.23                   ,2.87 ,18.30               ,-0.74                     ,-2.45          ,17.45     ,19.16      ,17.00     ,17.43     ,18.20      ,38.02     ,44.14                ,56.00         ,17.42,-0.20      ,-1.16          ,-2.11                     ,17.19     ,18.04      ,17.56     ,42.73                ,9.09                    ,23.95   ,16.08                  ,-1.56          ,-0.38                     ,187.97    , 
AOBC  ,-3.86      ,19.65     ,1013744   ,8.60     ,1.15B     ,74             ,+3.57                     ,54.22     ,19.41     ,0.03 ,-51.38      ,4.26                   ,15.22             ,30.75                  ,19.30                  ,Leisure Products                              ,NASDAQ  ,AMERICAN OUTDOOR BRANDS C,Leisure Products                     ,--      ,20.45         ,19.65 ,800     ,1830809      ,1950560     ,55.37                   ,51.97                  ,No        ,20.44 ,20.55 ,19.66 ,72.73                 ,1627027       ,1616269    ,62.31                    ,62.72                 ,No                ,Consumer Discretionary,--            ,20.45     ,19.61 ,100     ,1887669     ,33.07                     ,53.70                  ,36.14M         ,No                  ,D  ,--       ,B-                 ,12.50          ,--                    ,75.00           ,--                     ,12.50           ,8                 ,3.00              ,93.96M    ,722.91M,93.96M  ,56.36M            ,2.38    ,1.68      ,0.90      ,2.37        ,1.48      ,1.18      ,0.25      ,13.75                       ,13.00   ,393.31            ,-0.80 ,-0.08                  ,+5.94                      ,-1.67                  ,+3.05                   ,+55.62               ,+155.61              ,-27.12               ,+0.44     ,20.95        ,20.95    ,10.64                  ,18.42     ,17.50    ,95.74                   ,-1.80                        ,-3.91   ,-0.01 ,-1.54                  ,+0.05                 ,+1.20                  ,-7.56                    ,-2.99                ,+35.50               ,-6.02                ,+40.13            ,2               ,20.95     ,21.84   ,19.70       ,17.50   ,-2.11                ,0.90           ,-0.79    ,-0.05,+0.70                   ,+1.15                    ,+6.25                    ,+0.61                 ,-25.58               ,+120.11              ,-25.50               ,+20.63            ,20.95      ,31.19     ,18.46    ,17.50  ,0.94         ,16.00            ,-0.04         ,0.37              ,--                   ,12.17                    ,6.80            ,54.11        ,8.64                 ,1.59     ,19.24     ,19.61     ,21.69      ,19.39     ,20.95      ,71.01                ,46.17     ,17.13                   ,48.62,20.17               ,1.41                      ,-1.35          ,19.75     ,24.18      ,19.30     ,19.79     ,21.34      ,48.13     ,48.44                ,26.44         ,73.62,-0.11      ,-0.35          ,-0.78                     ,19.30     ,20.74      ,20.01     ,52.59                ,29.45                   ,81.13   ,18.43                  ,0.51           ,0.33                      ,3010.28   , 
CYTK  ,-3.83      ,11.93     ,154996    ,31.92    ,538.35M   ,11             ,-0.52                     ,40.46     ,12.47     ,0.19 ,-93.42      ,--                     ,-16.64            ,17.72                  ,12.70                  ,Biotechnology                                 ,NCM     ,CYTOKINETICS INC         ,Biotechnology                        ,--      ,12.45         ,11.90 ,1700    ,317905       ,330507      ,48.76                   ,46.90                  ,No        ,12.40 ,12.40 ,11.95 ,54.21                 ,447220        ,332013     ,34.66                    ,46.68                 ,No                ,Health Care           ,--            ,12.45     ,11.93 ,900     ,443656      ,65.88                     ,34.94                  ,4.01M          ,No                  ,C  ,--       ,C                  ,71.43          ,28.57                 ,--              ,--                     ,--              ,7                 ,1.29              ,16.45M    ,106.41M,16.45M  ,43.24M            ,0.39    ,0.39      ,-0.97     ,-2.64       ,-0.41     ,-1.24     ,-2.30     ,10.00                       ,15.46   ,837.85            ,-0.52 ,-1.12                  ,-2.00                      ,+1.40                  ,+6.41                   ,+89.53               ,+86.23               ,+35.41               ,+1.75     ,13.05        ,13.70    ,1.30                   ,11.35     ,7.13     ,100.00                  ,6.12                         ,-4.22   ,-0.05 ,-0.38                  ,-0.05                 ,-0.14                  ,+12.63                   ,+2.47                ,+35.26               ,+5.76                ,+20.19            ,0               ,13.05     ,13.70   ,12.40       ,10.95   ,-4.80                ,0.48           ,-0.48    ,-0.40,-0.07                   ,-0.25                    ,-1.14                    ,+0.75                 ,+82.27               ,+87.87               ,+39.98               ,+11.53            ,13.70      ,13.70     ,12.40    ,9.80   ,0.48         ,61.00            ,0.00          ,1.37              ,--                   ,31.92                    ,5.37            ,29.02        ,--                   ,5.06     ,12.57     ,11.66     ,11.27      ,12.40     ,11.52      ,49.49                ,51.49     ,23.52                   ,6.58 ,13.47               ,0.60                      ,-1.08          ,11.63     ,10.84      ,12.66     ,11.98     ,11.36      ,50.24     ,53.54                ,9.11          ,32.02,0.30       ,0.28           ,-0.25                     ,12.70     ,11.66      ,11.88     ,53.50                ,19.59                   ,42.84   ,11.94                  ,0.43           ,1.20                      ,-876.76   , 
LPNT  ,-3.57      ,63.40     ,227076    ,23.33    ,2.63B     ,32             ,+1.25                     ,49.88     ,63.58     ,0.56 ,-39.52      ,2.08                   ,9.92              ,27.11                  ,62.96                  ,Health Care Providers & Services              ,NGM/NGS ,LIFEPOINT HEALTH INC     ,Health Care Facilities               ,--      ,65.80         ,63.35 ,200     ,624227       ,486331      ,36.38                   ,46.69                  ,No        ,65.75 ,65.75 ,63.40 ,97.73                 ,422453        ,438090     ,53.75                    ,51.83                 ,Yes               ,Health Care           ,--            ,65.80     ,63.35 ,400     ,416129      ,34.88                     ,54.57                  ,40.73M         ,No                  ,C  ,***      ,B                  ,16.67          ,11.11                 ,55.56           ,11.11                  ,5.56            ,18                ,2.78              ,131.80M   ,6.36B  ,131.80M ,39.94M            ,2.82    ,2.82      ,3.95      ,4.18        ,2.69      ,2.69      ,3.14      ,8.11                        ,1.92    ,135.40            ,-2.40 ,-2.05                  ,+4.52                      ,+6.01                  ,+6.40                   ,-10.82               ,+66.08               ,+0.20                ,+0.95     ,66.25        ,66.34    ,9.95                   ,58.90     ,50.60    ,97.92                   ,-0.98                        ,-3.65   ,-0.05 ,+6.05                  ,-0.01                 ,+2.62                  ,+10.05                   ,+15.85               ,+20.07               ,+15.32               ,+5.93             ,0               ,66.34     ,70.95   ,65.20       ,58.90   ,-12.75               ,2.35           ,-2.35    ,-0.08,+0.81                   ,+2.84                    ,+4.15                    ,+3.96                 ,-5.42                ,+35.16               ,+10.59               ,+2.14             ,66.34      ,75.70     ,62.20    ,56.60  ,2.40         ,86.00            ,-0.05         ,1.00              ,--                   ,23.33                    ,8.16            ,123.48       ,15.75                ,0.41     ,63.40     ,62.51     ,59.91      ,63.39     ,61.35      ,67.66                ,52.91     ,21.42                   ,60.48,66.62               ,1.00                      ,4.30           ,62.07     ,60.18      ,62.78     ,62.39     ,61.25      ,53.05     ,56.72                ,12.55         ,80.65,0.27       ,3.00           ,6.70                      ,62.96     ,59.91      ,62.09     ,59.60                ,27.57                   ,88.01   ,59.29                  ,-1.15          ,5.15                      ,623.02    , 
OCLR  ,-3.37      ,9.18      ,5093711   ,28.74    ,1.59B     ,42             ,-2.25                     ,41.22     ,9.62      ,0.10 ,-71.35      ,6.98                   ,-0.03             ,13.05                  ,9.41                   ,Communications Equipment                      ,NASDAQ  ,OCLARO INC               ,Communications Equipment             ,--      ,9.55          ,9.17  ,3200    ,8679147      ,7158040     ,58.69                   ,71.16                  ,No        ,9.50  ,9.58  ,9.18  ,71.50                 ,10832266      ,9589766    ,47.02                    ,53.12                 ,No                ,Information Technology,--            ,9.55      ,9.15  ,4200    ,10891827    ,91.87                     ,46.77                  ,86.69M         ,No                  ,C  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,8.58M     ,407.91M,8.58M   ,166.59M           ,0.33    ,0.08      ,-0.53     ,0.74        ,0.18      ,-1.40     ,-1.32     ,17.50                       ,2.10    ,241.51            ,-0.37 ,-0.70                  ,+1.47                      ,+0.5468                ,+1.67                   ,+395.96              ,+149.24              ,+101.23              ,+1.74     ,9.94         ,10.55    ,1.72                   ,8.02      ,4.25     ,93.02                   ,5.14                         ,-3.87   ,-0.05 ,+0.37                  ,-0.09                 ,+0.1136                ,+6.07                    ,+6.70                ,+216.77              ,+9.72                ,+16.28            ,9               ,10.55     ,11.30   ,9.46        ,8.02    ,-4.90                ,0.40           ,-0.32    ,-0.52,-0.22                   ,+0.1385                  ,+1.20                    ,+0.1571               ,+81.85               ,+679.37              ,+14.85               ,+10.28            ,10.55      ,11.30     ,9.46     ,8.02   ,0.43         ,75.00            ,-0.03         ,1.24              ,--                   ,123.10                   ,6.50            ,38.51        ,12.85                ,3.90     ,9.82      ,9.61      ,9.03       ,9.58      ,9.10       ,48.06                ,50.29     ,26.69                   ,28.65,10.58               ,0.06                      ,0.84           ,9.45      ,8.17       ,9.65      ,9.44      ,8.92       ,48.63     ,51.77                ,3.26          ,51.98,0.10       ,-0.22          ,0.97                      ,9.41      ,9.23       ,9.39      ,50.96                ,25.00                   ,67.31   ,8.25                   ,-0.28          ,-0.26                     ,-45.61    , 
