Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                            ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FLT   ,-5.33      ,142.78    ,7259674  ,31.61    ,13.80B    ,270            ,+0.78                     ,23.79     ,154.14    ,-3.37,-96.05      ,9.10                   ,-34.67            ,29.61                  ,156.94                 ,IT Services                         ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,150.15        ,142.77,300     ,2483608      ,1012136     ,292.30                  ,717.26                 ,No        ,150.82,151.76,142.89,92.31                 ,1223067       ,1046247    ,593.56                   ,693.88                ,No                ,Information Technology,--            ,150.15    ,141.88,200     ,1175924     ,410.86                    ,617.36                 ,375.29M        ,No                  ,C  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-7.37 ,-8.78                  ,-4.32                      ,-7.22                  ,-4.14                   ,+0.34                ,+290.59              ,+5.80                ,+1.29     ,152.13       ,165.37   ,24.66                  ,146.76    ,133.64   ,90.90                   ,9.12                         ,-4.91   ,+0.67,-0.87                  ,-0.09                 ,-8.37                  ,-4.59                    ,+6.10                ,+31.56               ,+7.00                ,+15.30            ,15              ,158.00    ,171.77  ,148.99      ,146.76  ,-8.24                ,8.98           ,-8.04    ,+0.45,+1.16                   ,-6.79                    ,-5.28                    ,-6.49                 ,+1.80                ,+97.51               ,-12.84               ,+5.17             ,165.37     ,176.42    ,146.76   ,142.62 ,9.88         ,66.00            ,-0.90         ,1.36              ,--                   ,31.61                    ,--              ,81.77        ,18.22                ,7.53     ,153.27    ,158.54    ,155.60     ,155.46    ,156.54     ,32.99                ,42.43     ,40.78                   ,3.95 ,167.44              ,-13.51                    ,-5.62          ,157.06    ,157.10     ,155.81    ,157.01    ,156.35     ,37.68     ,46.09                ,63.00         ,16.33,-1.75      ,-4.91          ,2.68                      ,156.94    ,153.30     ,156.92    ,43.02                ,9.26                    ,16.20   ,146.44                 ,-20.41         ,-0.57                     ,-9148.04  , 
VIPS  ,-4.81      ,12.66     ,6267582  ,26.31    ,6.79B     ,93             ,+0.41                     ,32.29     ,13.46     ,0.12 ,-94.36      ,13.58                  ,-2.08             ,24.78                  ,13.58                  ,Internet & Direct Marketing Retail  ,NYSE    ,VIPSHOP HOLDINGS LTD  -AD,Internet & Direct Marketing Retail   ,--      ,13.37         ,12.65 ,3100    ,3757610      ,5926008     ,166.80                  ,105.76                 ,No        ,13.30 ,13.36 ,12.66 ,67.22                 ,5358539       ,5528021    ,116.96                   ,113.38                ,No                ,Consumer Discretionary,--            ,13.37     ,12.55 ,3600    ,5418313     ,168.77                    ,115.67                 ,50.91M         ,No                  ,-- ,--       ,--                 ,57.69          ,11.54                 ,26.92           ,3.85                   ,--              ,26                ,1.77              ,300.30M   ,8.53B  ,300.30M ,507.54M           ,0.51    ,0.51      ,0.40      ,5.66        ,0.21      ,0.08      ,-0.02     ,23.87                       ,0.54    ,--                ,-0.71 ,-0.72                  ,-1.54                      ,+0.61                  ,+7.87                   ,-54.69               ,+2938.72             ,+19.43               ,+1.68     ,13.51        ,14.50    ,4.05                   ,12.75     ,10.21    ,86.42                   ,8.37                         ,-5.31   ,-0.07,+1.56                  ,-0.09                 ,-0.17                  ,+4.74                    ,+21.44               ,-10.65               ,+21.16               ,+44.98            ,4               ,14.05     ,14.50   ,13.12       ,12.75   ,-2.34                ,0.70           ,-0.64    ,-0.52,+0.05                   ,-0.21                    ,-1.25                    ,+0.98                 ,+3.57                ,+339.25              ,-9.07                ,+9.24             ,14.50      ,17.41     ,13.12    ,10.50  ,0.81         ,92.00            ,-0.11         ,1.13              ,--                   ,26.31                    ,24.17           ,75.78        ,2.36                 ,0.80     ,13.58     ,12.75     ,12.50      ,13.42     ,12.77      ,45.64                ,49.49     ,30.37                   ,5.64 ,14.47               ,0.37                      ,0.97           ,12.47     ,13.03      ,13.72     ,12.98     ,12.79      ,48.18     ,52.80                ,21.07         ,13.23,0.29       ,1.16           ,1.97                      ,13.58     ,12.26      ,12.89     ,53.89                ,19.80                   ,22.55   ,12.69                  ,-0.35          ,1.84                      ,-1475.65  , 
JWN   ,-4.71      ,43.92     ,2566522  ,23.01    ,7.76B     ,178            ,+1.33                     ,46.67     ,44.48     ,0.09 ,-49.05      ,1.36                   ,18.50             ,18.46                  ,43.98                  ,Multiline Retail                    ,NYSE    ,NORDSTROM INC            ,Department Stores                    ,1.48    ,46.48         ,43.91 ,200     ,3162608      ,3319429     ,81.15                   ,77.32                  ,Yes       ,46.09 ,46.09 ,43.92 ,66.49                 ,2738697       ,3402789    ,93.71                    ,75.42                 ,No                ,Consumer Discretionary,3.20          ,46.48     ,43.89 ,500     ,2773798     ,83.17                     ,92.53                  ,144.77M        ,No                  ,C  ,***      ,A-                 ,17.24          ,6.90                  ,58.62           ,10.34                  ,6.90            ,29                ,2.83              ,354.00M   ,14.76B ,354.00M ,166.85M           ,2.02    ,2.02      ,3.15      ,2.93        ,3.72      ,3.71      ,3.56      ,9.60                        ,2.40    ,189.19            ,-2.56 ,-2.65                  ,+5.70                      ,-3.13                  ,+4.00                   ,-34.41               ,+0.33                ,+25.01               ,+0.88     ,47.03        ,47.03    ,16.73                  ,40.69     ,35.01    ,98.64                   ,-0.14                        ,-5.51   ,-0.39,-4.32                  ,+0.01                 ,+2.32                  ,-6.30                    ,-2.27                ,-14.07               ,-2.08                ,+40.67            ,0               ,47.03     ,49.19   ,45.55       ,40.69   ,-8.88                ,2.17           ,-2.17    ,-0.84,+0.61                   ,+2.50                    ,+5.26                    ,+1.79                 ,-16.04               ,-0.82                ,-8.97                ,+4.55             ,47.03      ,62.82     ,42.12    ,40.69  ,2.20         ,22.00            ,-0.03         ,0.99              ,--                   ,23.01                    ,12.51           ,317.59       ,15.88                ,0.53     ,44.09     ,44.53     ,49.24      ,44.43     ,46.75      ,66.49                ,46.59     ,27.06                   ,50.95,47.08               ,0.98                      ,-1.55          ,44.53     ,48.14      ,43.86     ,45.19     ,47.16      ,46.69     ,49.62                ,3.65          ,79.24,-0.25      ,1.04           ,0.92                      ,43.98     ,48.54      ,45.56     ,52.00                ,25.16                   ,90.77   ,40.87                  ,-0.11          ,2.58                      ,7411.97   , 
RGR   ,-4.57      ,53.25     ,107217   ,12.17    ,986.53M   ,48             ,+4.37                     ,53.71     ,52.88     ,0.73 ,-52.90      ,8.77                   ,21.37             ,19.44                  ,52.74                  ,Leisure Products                    ,NYSE    ,STURM RUGER & CO INC     ,Leisure Products                     ,1.76    ,55.85         ,53.20 ,200     ,349699       ,345135      ,30.66                   ,31.07                  ,No        ,55.80 ,55.85 ,53.30 ,84.72                 ,322504        ,345119     ,33.25                    ,31.07                 ,No                ,Consumer Discretionary,3.20          ,55.85     ,53.00 ,100     ,336975      ,13.13                     ,31.82                  ,18.94M         ,Yes                 ,D  ,--       ,B+                 ,--             ,--                    ,50.00           ,--                     ,50.00           ,2                 ,4.00              ,87.47M    ,664.33M,87.47M  ,17.66M            ,4.59    ,4.59      ,3.21      ,3.98        ,1.95      ,5.58      ,3.60      ,5.00                        ,13.17   ,313.36            ,-2.60 ,-0.55                  ,+5.90                      ,+2.35                  ,+8.60                   ,+13.64               ,+36.59               ,-14.36               ,+0.45     ,56.90        ,56.90    ,14.45                  ,47.75     ,47.15    ,91.23                   ,-0.33                        ,-4.66   ,-0.05,+0.35                  ,+0.02                 ,+3.70                  ,+4.39                    ,+6.86                ,-3.46                ,+2.46                ,+35.44            ,1               ,56.90     ,56.90   ,53.80       ,47.75   ,-5.85                ,2.60           ,-2.55    ,-0.09,+2.34                   ,+3.11                    ,+7.10                    ,+4.42                 ,-19.25               ,+18.19               ,-5.79                ,+26.06            ,56.90      ,70.30     ,51.10    ,47.75  ,2.85         ,41.00            ,-0.25         ,0.52              ,--                   ,12.17                    ,3.97            ,--           ,14.03                ,1.49     ,52.99     ,51.22     ,53.14      ,52.60     ,53.00      ,75.51                ,50.39     ,19.95                   ,47.10,54.99               ,7.45                      ,-0.90          ,51.31     ,56.90      ,53.07     ,52.02     ,53.55      ,52.75     ,54.19                ,24.23         ,72.14,0.61       ,3.00           ,1.75                      ,52.74     ,51.74      ,52.10     ,59.92                ,32.71                   ,72.35   ,50.49                  ,4.65           ,5.80                      ,835.82    , 
RL    ,-4.51      ,77.35     ,1421511  ,46.53    ,4.58B     ,208            ,+0.40                     ,34.28     ,80.34     ,-0.13,-90.42      ,14.10                  ,-4.74             ,18.23                  ,80.26                  ,Textiles Apparel & Luxury Goods     ,NYSE    ,RALPH LAUREN CORP        ,Apparel Accessories & Luxury Goods   ,2.00    ,81.37         ,77.35 ,300     ,1132375      ,1294281     ,125.53                  ,109.83                 ,Yes       ,81.00 ,81.37 ,77.37 ,65.10                 ,1075865       ,1786325    ,132.13                   ,79.58                 ,No                ,Consumer Discretionary,2.50          ,81.37     ,76.69 ,200     ,1085254     ,96.37                     ,130.98                 ,92.73M         ,No                  ,B  ,**       ,A                  ,5.26           ,--                    ,84.21           ,5.26                   ,5.26            ,19                ,3.05              ,396.00M   ,7.41B  ,396.00M ,56.33M            ,1.75    ,4.62      ,7.88      ,5.60        ,8.43      ,--        ,7.13      ,5.24                        ,5.35    ,361.22            ,-4.02 ,-4.48                  ,+1.39                      ,-11.00                 ,-1.39                   ,-35.39               ,-49.65               ,-7.40                ,+0.73     ,82.08        ,83.58    ,32.63                  ,77.38     ,75.62    ,85.90                   ,3.87                         ,-4.94   ,-0.37,-13.92                 ,-0.05                 ,+1.08                  ,-11.91                   ,-9.37                ,-46.58               ,-9.09                ,+3.94             ,3               ,83.58     ,93.05   ,80.97       ,77.38   ,-1.07                ,4.02           ,-3.65    ,-0.45,+0.33                   ,+1.11                    ,+1.34                    ,-1.14                 ,-13.30               ,-48.71               ,-18.36               ,+2.37             ,83.58      ,114.00    ,80.17    ,75.62  ,4.68         ,11.00            ,-0.66         ,2.00              ,--                   ,17.61                    ,2.62            ,23.93        ,14.52                ,0.62     ,80.44     ,80.74     ,91.38      ,80.35     ,86.78      ,55.37                ,40.77     ,32.20                   ,9.58 ,82.96               ,1.64                      ,-11.23         ,81.95     ,94.67      ,80.34     ,82.31     ,88.15      ,39.60     ,44.20                ,21.75         ,47.44,-0.18      ,0.82           ,-7.68                     ,80.26     ,89.99      ,83.29     ,45.96                ,20.69                   ,64.92   ,77.55                  ,-1.79          ,5.20                      ,-740.18   , 
EXPR  ,-4.04      ,8.31      ,1340289  ,12.02    ,687.76M   ,44             ,-1.86                     ,29.94     ,9.04      ,-0.45,-95.31      ,2.33                   ,-7.60             ,35.94                  ,9.06                   ,Specialty Retail                    ,NYSE    ,EXPRESS INC              ,Apparel Retail                       ,--      ,8.77          ,8.31  ,2200    ,1838925      ,2063070     ,72.88                   ,64.97                  ,No        ,8.66  ,8.73  ,8.32  ,96.41                 ,2304901       ,1878869    ,58.15                    ,71.33                 ,No                ,Consumer Discretionary,--            ,8.77      ,8.30  ,1700    ,2274283     ,82.77                     ,58.93                  ,16.66M         ,Yes                 ,B  ,--       ,--                 ,--             ,8.33                  ,83.33           ,--                     ,8.33            ,12                ,3.08              ,57.42M    ,2.19B  ,57.42M  ,78.42M            ,0.73    ,0.73      ,1.38      ,0.69        ,0.81      ,1.37      ,1.60      ,-12.00                      ,2.62    ,194.20            ,-0.46 ,-0.80                  ,-3.16                      ,-2.543                 ,-14.91                  ,-44.89               ,-63.53               ,-37.22               ,+1.56     ,9.18         ,11.27    ,12.79                  ,8.25      ,8.25     ,97.67                   ,7.25                         ,-5.25   ,-0.11,-2.59                  ,-0.06                 ,-0.5582                ,-22.48                   ,-18.49               ,-42.63               ,-15.33               ,+9.16             ,1               ,9.38      ,11.69   ,8.74        ,8.25    ,-0.05                ,0.42           ,-0.35    ,-1.25,-0.166                  ,-0.286                   ,-5.98                    ,-1.537                ,-57.45               ,-48.85               ,-22.73               ,+4.86             ,10.99      ,21.52     ,8.58     ,8.25   ,0.43         ,6.00             ,-0.01         ,0.52              ,--                   ,12.02                    ,1.58            ,10.73        ,12.70                ,0.31     ,8.79      ,10.17     ,11.20      ,9.21      ,10.78      ,37.08                ,39.63     ,38.44                   ,4.69 ,9.88                ,-2.04                     ,-1.74          ,10.27     ,12.14      ,8.91      ,9.95      ,11.08      ,36.84     ,41.20                ,37.97         ,36.68,-0.47      ,-2.28          ,-1.45                     ,9.06      ,11.03      ,10.14     ,39.39                ,17.28                   ,54.54   ,8.24                   ,-2.36          ,-1.81                     ,-1990.40  , 
AEO   ,-3.90      ,13.16     ,3765105  ,11.91    ,2.52B     ,76             ,-0.87                     ,26.92     ,14.03     ,-0.31,-99.56      ,1.18                   ,-12.87            ,23.87                  ,14.14                  ,Specialty Retail                    ,NYSE    ,AMERN EAGLE OUTFITTERS IN,Apparel Retail                       ,0.50    ,13.81         ,13.15 ,3700    ,3552064      ,5000974     ,106.00                  ,75.29                  ,No        ,13.69 ,13.71 ,13.16 ,91.38                 ,3792565       ,4505530    ,99.28                    ,83.57                 ,Yes               ,Consumer Discretionary,3.60          ,13.81     ,13.15 ,10200   ,4045906     ,89.49                     ,93.06                  ,50.05M         ,No                  ,C  ,***      ,B                  ,33.33          ,9.52                  ,47.62           ,4.76                   ,4.76            ,21                ,2.38              ,212.45M   ,3.61B  ,212.45M ,182.22M           ,1.16    ,1.16      ,1.11      ,1.24        ,0.41      ,0.43      ,1.16      ,11.67                       ,5.89    ,159.38            ,-0.65 ,-0.89                  ,-2.35                      ,-2.25                  ,-6.97                   ,-12.74               ,+0.94                ,-9.93                ,+0.83     ,14.09        ,15.17    ,5.84                   ,13.45     ,13.32    ,98.82                   ,6.51                         ,-4.73   ,-0.12,-2.22                  ,-0.06                 ,-0.45                  ,-14.03                   ,-8.97                ,+25.31               ,-7.51                ,+18.83            ,1               ,14.48     ,15.86   ,13.74       ,13.45   ,0.17                 ,0.55           ,-0.53    ,-0.87,-0.12                   ,-0.33                    ,-3.12                    ,-1.03                 ,-13.26               ,-15.09               ,-20.28               ,+12.52            ,14.70      ,19.55     ,13.74    ,13.45  ,0.56         ,14.00            ,-0.01         ,0.51              ,--                   ,11.91                    ,2.21            ,--           ,11.14                ,0.70     ,13.92     ,14.74     ,15.87      ,14.14     ,15.33      ,37.45                ,41.51     ,34.07                   ,0.44 ,14.89               ,-0.73                     ,-1.29          ,14.79     ,16.56      ,14.01     ,14.68     ,15.50      ,38.58     ,43.71                ,36.15         ,26.48,-0.28      ,-2.03          ,-1.39                     ,14.14     ,15.64      ,14.83     ,42.24                ,15.98                   ,47.27   ,13.39                  ,-1.29          ,-1.18                     ,-6670.29  , 
CHS   ,-3.79      ,13.21     ,2392477  ,20.06    ,1.77B     ,52             ,-1.34                     ,34.04     ,13.96     ,-0.03,-100.00     ,--                     ,3.80              ,12.81                  ,13.92                  ,Specialty Retail                    ,NYSE    ,CHICOS FAS INC           ,Apparel Retail                       ,0.33    ,13.84         ,13.21 ,2200    ,1955467      ,2292804     ,122.35                  ,104.35                 ,No        ,13.73 ,13.79 ,13.22 ,96.29                 ,2295446       ,2422456    ,104.23                   ,98.76                 ,Yes               ,Consumer Discretionary,2.40          ,13.84     ,13.21 ,1000    ,2288712     ,132.43                    ,104.53                 ,27.80M         ,No                  ,B  ,***      ,B+                 ,27.78          ,5.56                  ,66.67           ,--                     ,--              ,18                ,2.39              ,91.23M    ,2.48B  ,91.23M  ,128.03M           ,0.69    ,0.69      ,0.01      ,0.92        ,0.42      ,0.41      ,1.08      ,11.79                       ,3.68    ,181.42            ,-0.63 ,-0.99                  ,-0.57                      ,+0.08                  ,-0.24                   ,-15.83               ,+3.23                ,+34.94               ,+0.67     ,14.24        ,14.60    ,3.06                   ,13.29     ,9.86     ,100.00                  ,5.91                         ,-4.55   ,-0.11,-1.32                  ,-0.06                 ,-0.11                  ,+0.62                    ,-3.24                ,-5.39                ,-0.72                ,+14.61            ,4               ,14.60     ,15.50   ,13.76       ,13.29   ,-3.35                ,0.58           ,-0.52    ,-0.79,-0.19                   ,-0.08                    ,-0.79                    ,-0.03                 ,+9.69                ,-8.33                ,+20.68               ,+8.02             ,14.60      ,16.85     ,13.76    ,12.46  ,0.58         ,25.00            ,0.00          ,0.86              ,--                   ,20.06                    ,3.70            ,11.25        ,14.97                ,0.72     ,14.01     ,13.90     ,13.92      ,13.97     ,13.83      ,44.75                ,47.36     ,30.17                   ,--   ,14.52               ,-0.06                     ,-0.81          ,13.83     ,13.04      ,13.99     ,13.99     ,13.73      ,44.62     ,49.99                ,27.07         ,37.15,0.01       ,-0.10          ,-0.13                     ,13.92     ,14.34      ,13.97     ,48.80                ,17.31                   ,62.17   ,13.32                  ,-0.57          ,0.48                      ,1186.23   , 
GCO   ,-3.59      ,52.40     ,134834   ,11.31    ,1.07B     ,29             ,-0.89                     ,27.77     ,56.04     ,-1.30,-99.32      ,2.08                   ,-8.54             ,10.13                  ,56.88                  ,Specialty Retail                    ,NYSE    ,GENESCO INC              ,Apparel Retail                       ,--      ,54.60         ,52.35 ,300     ,321719       ,254696      ,41.91                   ,52.94                  ,No        ,54.35 ,54.75 ,52.45 ,96.56                 ,309671        ,251370     ,43.54                    ,53.64                 ,No                ,Consumer Discretionary,--            ,54.60     ,52.35 ,300     ,308386      ,37.12                     ,43.72                  ,17.92M         ,Yes                 ,C  ,--       ,B                  ,9.09           ,9.09                  ,72.73           ,--                     ,9.09            ,11                ,2.91              ,97.43M    ,2.87B  ,97.43M  ,19.61M            ,4.83    ,4.83      ,4.11      ,4.46        ,4.12      ,3.93      ,4.68      ,11.33                       ,3.40    ,165.68            ,-2.20 ,-3.00                  ,-4.01                      ,-5.36                  ,-8.24                   ,-22.15               ,-22.61               ,-13.78               ,+1.19     ,55.70        ,63.50    ,19.46                  ,54.35     ,47.66    ,97.92                   ,7.63                         ,-4.03   ,-0.25,-10.85                 ,-0.07                 ,-2.53                  ,-8.94                    ,-12.08               ,-25.64               ,-10.71               ,+10.40            ,1               ,57.70     ,65.70   ,54.35       ,54.35   ,-4.69                ,2.35           ,-1.95    ,-0.46,-0.49                   ,-2.28                    ,-4.44                    ,-4.90                 ,-23.25               ,-7.72                ,+1.82                ,+6.52             ,63.50      ,74.21     ,54.35    ,54.35  ,2.40         ,10.00            ,-0.05         ,0.49              ,--                   ,11.31                    ,1.94            ,7.99         ,12.24                ,0.37     ,55.51     ,58.77     ,60.49      ,56.52     ,59.71      ,35.53                ,43.39     ,29.91                   ,0.68 ,60.74               ,-2.85                     ,-4.80          ,59.30     ,61.32      ,56.40     ,58.38     ,60.03      ,40.15     ,45.16                ,18.54         ,8.56 ,-1.02      ,-7.10          ,-5.60                     ,56.88     ,61.67      ,58.76     ,43.00                ,20.56                   ,16.75   ,53.03                  ,-4.05          ,-5.35                     ,-318.80   , 
DDS   ,-3.55      ,48.34     ,563407   ,10.25    ,1.39B     ,68             ,-1.56                     ,38.97     ,50.48     ,-1.12,-73.78      ,2.73                   ,-11.67            ,24.68                  ,50.59                  ,Multiline Retail                    ,NYSE    ,DILLARDS INC  -CL A      ,Department Stores                    ,0.28    ,50.52         ,48.33 ,100     ,845306       ,686309      ,66.65                   ,82.09                  ,No        ,50.12 ,50.12 ,48.36 ,47.13                 ,738108        ,870024     ,76.33                    ,64.76                 ,Yes               ,Consumer Discretionary,0.60          ,50.52     ,48.29 ,100     ,735867      ,54.62                     ,76.56                  ,43.39M         ,No                  ,C  ,***      ,B                  ,--             ,--                    ,50.00           ,33.33                  ,16.67           ,6                 ,3.67              ,169.22M   ,6.42B  ,169.22M ,27.48M            ,4.93    ,4.93      ,6.91      ,4.90        ,7.79      ,7.10      ,6.87      ,2.57                        ,2.64    ,208.38            ,-2.18 ,-3.61                  ,-0.14                      ,-9.67                  ,-7.62                   ,-61.42               ,-10.76               ,-13.48               ,+0.85     ,52.27        ,54.14    ,34.33                  ,46.56     ,46.56    ,97.27                   ,3.28                         ,-4.32   ,-0.40,-15.30                 ,-0.01                 ,-0.37                  ,-16.06                   ,-19.31               ,-42.90               ,-16.56               ,+9.63             ,0               ,53.50     ,63.64   ,49.01       ,46.56   ,-1.73                ,1.78           ,-1.78    ,-0.79,-0.80                   ,-0.07                    ,-0.72                    ,-4.17                 ,-38.18               ,-32.65               ,-16.89               ,+4.37             ,53.96      ,84.45     ,47.20    ,46.56  ,1.83         ,6.00             ,-0.05         ,0.44              ,--                   ,10.25                    ,0.95            ,42.51        ,10.32                ,0.22     ,49.47     ,53.82     ,59.80      ,50.88     ,56.85      ,47.30                ,42.49     ,30.07                   ,26.22,55.05               ,-0.88                     ,-8.00          ,54.27     ,60.85      ,49.93     ,53.62     ,57.81      ,41.05     ,44.14                ,16.13         ,55.04,-1.43      ,-7.88          ,-5.97                     ,50.59     ,59.68      ,54.42     ,43.77                ,21.72                   ,73.55   ,46.14                  ,-3.21          ,-6.67                     ,-1278.73  , 
