Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FMCC  ,-6.50      ,2.23      ,4565893   ,80.02    ,1.56B     ,32             ,-1.23                     ,22.77     ,2.53      ,-0.18,-87.67      ,36.73                  ,-12.54            ,39.17                  ,2.56                   ,Thrifts & Mortgage Finance                    ,OTC     ,FEDERAL HOME LOAN MORTG C,Thrifts & Mortgage Finance           ,--      ,2.40          ,2.23  ,10800   ,1418690      ,4067995     ,321.84                  ,112.24                 ,No        ,2.385 ,2.385 ,2.24  ,0.03                  ,1931363       ,3262436    ,236.41                   ,139.95                ,No                ,Financials            ,--            ,2.40      ,2.14  ,200     ,1932902     ,230.99                    ,236.22                 ,3.51M          ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,7.82B     ,15.09B ,7.82B   ,650.05M           ,0.03    ,0.03      ,-0.01     ,2.00        ,-0.72     ,-1.09     ,-0.64     ,6.00                        ,49.17   ,2656.80           ,-0.17 ,-0.27                  ,-6.21                      ,-0.5287                ,-27.31                  ,+8.77                ,+726.67              ,+34.05               ,+3.87     ,2.50         ,2.87     ,2.455                  ,2.38      ,1.21     ,63.27                   ,14.47                        ,-7.08   ,-0.015,-1.51                  ,-0.12                 ,-0.1873                ,-18.05                   ,-35.83               ,-35.75               ,-33.69               ,-9.48             ,0               ,2.58      ,4.26    ,2.38        ,2.38    ,-0.93                ,0.155          ,-0.155   ,-0.63,-0.03                   ,-0.159                   ,-7.24                    ,-0.9016               ,+85.07               ,+266.27              ,+57.96               ,+0.39             ,2.87       ,4.84      ,2.38     ,2.29   ,0.245        ,1.00             ,-0.09         ,3.44              ,--                   ,80.02                    ,--              ,36211.27     ,1.20                 ,0.10     ,2.48      ,3.14      ,3.06       ,2.59      ,2.95       ,29.90                ,41.76     ,41.94                   ,12.33,2.81                ,-0.22                     ,-1.62          ,3.25      ,2.53       ,2.55      ,2.91      ,2.91       ,35.90     ,43.41                ,54.17         ,9.91 ,-0.19      ,-1.95          ,-1.44                     ,2.56      ,3.34       ,2.96      ,38.36                ,12.47                   ,13.63   ,2.31                   ,-0.40          ,-1.75                     ,-3855.75  , 
FLT   ,-5.35      ,142.76    ,7273671   ,31.61    ,13.80B    ,270            ,+0.79                     ,23.70     ,154.12    ,-3.38,-96.49      ,8.85                   ,-35.26            ,29.61                  ,156.93                 ,IT Services                                   ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,150.15        ,142.68,200     ,2483608      ,1012136     ,292.87                  ,718.65                 ,No        ,150.82,151.76,142.77,92.31                 ,1223067       ,1046247    ,594.71                   ,695.22                ,No                ,Information Technology,--            ,150.15    ,141.88,100     ,1175924     ,411.65                    ,618.55                 ,375.29M        ,No                  ,C  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-7.40 ,-8.80                  ,-4.32                      ,-7.22                  ,-4.14                   ,+0.34                ,+290.59              ,+5.80                ,+1.29     ,152.13       ,165.37   ,24.66                  ,146.76    ,133.64   ,91.15                   ,9.14                         ,-4.93   ,+0.67 ,-0.90                  ,-0.09                 ,-8.37                  ,-4.59                    ,+6.10                ,+31.56               ,+7.00                ,+15.30            ,15              ,158.00    ,171.77  ,148.99      ,146.76  ,-8.24                ,9.00           ,-8.06    ,+0.45,+1.18                   ,-6.78                    ,-5.28                    ,-6.49                 ,+1.80                ,+97.51               ,-12.84               ,+5.17             ,165.37     ,176.42    ,146.76   ,142.62 ,9.88         ,66.00            ,-0.87         ,1.36              ,--                   ,31.61                    ,--              ,81.77        ,18.22                ,7.53     ,153.26    ,158.54    ,155.60     ,155.45    ,156.54     ,32.99                ,42.39     ,40.78                   ,3.51 ,167.46              ,-13.51                    ,-5.72          ,157.06    ,157.10     ,155.80    ,157.00    ,156.34     ,37.62     ,46.09                ,63.00         ,16.19,-1.75      ,-5.01          ,2.68                      ,156.93    ,153.30     ,156.91    ,43.02                ,9.26                    ,16.16   ,146.40                 ,-20.51         ,-0.57                     ,-9306.58  , 
VIPS  ,-4.85      ,12.66     ,6273082   ,26.31    ,6.79B     ,93             ,+0.41                     ,32.23     ,13.46     ,0.12 ,-94.62      ,12.96                  ,-2.20             ,24.78                  ,13.58                  ,Internet & Direct Marketing Retail            ,NYSE    ,VIPSHOP HOLDINGS LTD  -AD,Internet & Direct Marketing Retail   ,--      ,13.37         ,12.65 ,3200    ,3757610      ,5926008     ,166.94                  ,105.86                 ,No        ,13.30 ,13.36 ,12.66 ,67.22                 ,5358539       ,5528021    ,117.07                   ,113.48                ,No                ,Consumer Discretionary,--            ,13.37     ,12.55 ,3400    ,5418313     ,168.91                    ,115.78                 ,50.91M         ,No                  ,-- ,--       ,--                 ,57.69          ,11.54                 ,26.92           ,3.85                   ,--              ,26                ,1.77              ,300.30M   ,8.53B  ,300.30M ,507.54M           ,0.51    ,0.51      ,0.40      ,5.66        ,0.21      ,0.08      ,-0.02     ,23.87                       ,0.54    ,--                ,-0.72 ,-0.72                  ,-1.54                      ,+0.61                  ,+7.87                   ,-54.69               ,+2938.72             ,+19.43               ,+1.68     ,13.51        ,14.50    ,4.05                   ,12.75     ,10.21    ,87.04                   ,8.41                         ,-5.35   ,-0.07 ,+1.56                  ,-0.09                 ,-0.17                  ,+4.74                    ,+21.44               ,-10.65               ,+21.16               ,+44.98            ,4               ,14.05     ,14.50   ,13.12       ,12.75   ,-2.34                ,0.71           ,-0.64    ,-0.52,+0.06                   ,-0.21                    ,-1.25                    ,+0.98                 ,+3.57                ,+339.25              ,-9.07                ,+9.24             ,14.50      ,17.41     ,13.12    ,10.50  ,0.81         ,92.00            ,-0.11         ,1.13              ,--                   ,26.31                    ,24.17           ,75.78        ,2.36                 ,0.80     ,13.58     ,12.75     ,12.50      ,13.42     ,12.77      ,45.64                ,49.47     ,30.37                   ,5.38 ,14.47               ,0.37                      ,0.97           ,12.47     ,13.03      ,13.72     ,12.98     ,12.79      ,48.14     ,52.80                ,21.07         ,13.15,0.29       ,1.16           ,1.97                      ,13.58     ,12.26      ,12.89     ,53.89                ,19.80                   ,22.52   ,12.69                  ,-0.36          ,1.84                      ,-1557.10  , 
JWN   ,-4.75      ,43.90     ,2582740   ,23.01    ,7.76B     ,179            ,+1.34                     ,46.61     ,44.48     ,0.09 ,-49.21      ,0.90                   ,18.45             ,18.46                  ,43.98                  ,Multiline Retail                              ,NYSE    ,NORDSTROM INC            ,Department Stores                    ,1.48    ,46.48         ,43.90 ,100     ,3162608      ,3319429     ,81.66                   ,77.81                  ,Yes       ,46.09 ,46.09 ,43.91 ,66.49                 ,2738697       ,3402789    ,94.31                    ,75.90                 ,No                ,Consumer Discretionary,3.20          ,46.48     ,43.88 ,100     ,2773798     ,83.70                     ,93.11                  ,144.77M        ,No                  ,C  ,***      ,A-                 ,17.24          ,6.90                  ,58.62           ,10.34                  ,6.90            ,29                ,2.83              ,354.00M   ,14.76B ,354.00M ,166.85M           ,2.02    ,2.02      ,3.15      ,2.93        ,3.72      ,3.71      ,3.56      ,9.60                        ,2.40    ,189.19            ,-2.58 ,-2.67                  ,+5.70                      ,-3.13                  ,+4.00                   ,-34.41               ,+0.33                ,+25.01               ,+0.88     ,47.03        ,47.03    ,16.73                  ,40.69     ,35.01    ,99.10                   ,-0.10                        ,-5.55   ,-0.39 ,-4.34                  ,+0.01                 ,+2.32                  ,-6.30                    ,-2.27                ,-14.07               ,-2.08                ,+40.67            ,0               ,47.03     ,49.19   ,45.55       ,40.69   ,-8.87                ,2.19           ,-2.19    ,-0.84,+0.61                   ,+2.51                    ,+5.26                    ,+1.79                 ,-16.04               ,-0.82                ,-8.97                ,+4.55             ,47.03      ,62.82     ,42.12    ,40.69  ,2.21         ,22.00            ,-0.02         ,0.99              ,--                   ,23.01                    ,12.51           ,317.59       ,15.88                ,0.53     ,44.09     ,44.53     ,49.24      ,44.43     ,46.75      ,66.49                ,46.58     ,27.10                   ,50.79,47.08               ,0.98                      ,-1.56          ,44.53     ,48.14      ,43.86     ,45.19     ,47.16      ,46.67     ,49.62                ,3.74          ,79.19,-0.25      ,1.03           ,0.92                      ,43.98     ,48.54      ,45.56     ,52.00                ,25.14                   ,90.75   ,40.87                  ,-0.12          ,2.58                      ,7396.07   , 
INSY  ,-4.73      ,10.21     ,481673    ,34.36    ,773.54M   ,45             ,+0.46                     ,39.97     ,10.69     ,-0.09,-78.15      ,5.79                   ,-23.09            ,19.17                  ,10.63                  ,Biotechnology                                 ,NASDAQ  ,INSYS THERAPEUTICS INC   ,Biotechnology                        ,--      ,10.75         ,10.20 ,400     ,588721       ,915245      ,81.82                   ,52.63                  ,No        ,10.72 ,10.75 ,10.22 ,26.92                 ,750196        ,1065532    ,64.21                    ,45.20                 ,No                ,Health Care           ,--            ,10.75     ,10.18 ,1700    ,774989      ,54.10                     ,62.15                  ,6.37M          ,No                  ,C  ,--       ,C                  ,33.33          ,50.00                 ,16.67           ,--                     ,--              ,6                 ,1.83              ,58.48M    ,330.80M,58.48M  ,71.96M            ,0.31    ,0.77      ,0.52      ,0.31        ,0.70      ,-0.87     ,-0.69     ,65.00                       ,17.68   ,648.62            ,-0.54 ,-0.04                  ,+1.14                      ,-0.29                  ,+0.88                   ,-63.84               ,+174.17              ,-18.78               ,+0.68     ,11.01        ,12.06    ,9.21                   ,9.80      ,8.70     ,94.21                   ,2.99                         ,-5.00   ,-0.03 ,+0.93                  ,-0.07                 ,+0.02                  ,-2.64                    ,+16.85               ,-49.26               ,+14.24               ,+9.49             ,1               ,11.38     ,13.69   ,10.01       ,9.80    ,-1.48                ,0.54           ,-0.51    ,-0.28,+0.05                   ,+0.12                    ,+0.19                    ,+0.09                 ,-34.27               ,+186.38              ,-10.86               ,+7.19             ,11.69      ,19.96     ,10.01    ,9.25   ,0.57         ,85.00            ,-0.03         ,1.48              ,--                   ,13.96                    ,3.05            ,--           ,34.90                ,2.34     ,10.70     ,10.76     ,10.88      ,10.73     ,11.13      ,49.36                ,47.20     ,19.78                   ,21.85,11.40               ,-0.54                     ,-0.08          ,10.67     ,12.40      ,10.52     ,10.78     ,11.39      ,46.66     ,48.78                ,4.78          ,36.56,-0.08      ,0.02           ,0.03                      ,10.63     ,10.83      ,10.81     ,49.53                ,21.77                   ,47.40   ,9.86                   ,-0.72          ,0.84                      ,-2504.79  , 
RGR   ,-4.66      ,53.20     ,107871    ,12.17    ,986.53M   ,48             ,+4.39                     ,53.41     ,52.87     ,0.73 ,-53.62      ,7.02                   ,21.25             ,19.44                  ,52.74                  ,Leisure Products                              ,NYSE    ,STURM RUGER & CO INC     ,Leisure Products                     ,1.76    ,55.85         ,53.15 ,400     ,349699       ,345135      ,30.85                   ,31.25                  ,No        ,55.80 ,55.85 ,53.25 ,84.72                 ,322504        ,345119     ,33.45                    ,31.26                 ,No                ,Consumer Discretionary,3.20          ,55.85     ,53.00 ,400     ,336975      ,13.21                     ,32.01                  ,18.94M         ,Yes                 ,D  ,--       ,B+                 ,--             ,--                    ,50.00           ,--                     ,50.00           ,2                 ,4.00              ,87.47M    ,664.33M,87.47M  ,17.66M            ,4.59    ,4.59      ,3.21      ,3.98        ,1.95      ,5.58      ,3.60      ,5.00                        ,13.17   ,313.36            ,-2.65 ,-0.60                  ,+5.91                      ,+2.35                  ,+8.60                   ,+13.64               ,+36.59               ,-14.36               ,+0.45     ,56.90        ,56.90    ,14.45                  ,47.75     ,47.15    ,92.98                   ,-0.24                        ,-4.74   ,-0.05 ,+0.30                  ,+0.02                 ,+3.70                  ,+4.39                    ,+6.86                ,-3.46                ,+2.46                ,+35.44            ,1               ,56.90     ,56.90   ,53.80       ,47.75   ,-5.85                ,2.65           ,-2.60    ,-0.09,+2.35                   ,+3.12                    ,+7.10                    ,+4.42                 ,-19.25               ,+18.19               ,-5.79                ,+26.06            ,56.90      ,70.30     ,51.10    ,47.75  ,2.85         ,41.00            ,-0.20         ,0.52              ,--                   ,12.17                    ,3.97            ,--           ,14.03                ,1.49     ,52.98     ,51.22     ,53.14      ,52.59     ,53.00      ,75.51                ,50.32     ,19.95                   ,46.38,54.98               ,7.45                      ,-0.95          ,51.31     ,56.90      ,53.07     ,52.02     ,53.55      ,52.63     ,54.19                ,24.23         ,71.89,0.61       ,2.95           ,1.75                      ,52.74     ,51.74      ,52.10     ,59.92                ,32.71                   ,72.27   ,50.49                  ,4.60           ,5.80                      ,831.50    , 
RL    ,-4.51      ,77.35     ,1428654   ,46.53    ,4.58B     ,208            ,+0.40                     ,34.31     ,80.34     ,-0.13,-90.30      ,14.10                  ,-4.73             ,18.23                  ,80.26                  ,Textiles Apparel & Luxury Goods               ,NYSE    ,RALPH LAUREN CORP        ,Apparel Accessories & Luxury Goods   ,2.00    ,81.37         ,77.34 ,300     ,1132375      ,1294281     ,126.16                  ,110.38                 ,Yes       ,81.00 ,81.37 ,77.37 ,65.10                 ,1075865       ,1786325    ,132.79                   ,79.98                 ,No                ,Consumer Discretionary,2.50          ,81.37     ,76.69 ,300     ,1085254     ,96.86                     ,131.64                 ,92.73M         ,No                  ,B  ,**       ,A                  ,5.26           ,--                    ,84.21           ,5.26                   ,5.26            ,19                ,3.05              ,396.00M   ,7.41B  ,396.00M ,56.33M            ,1.75    ,4.62      ,7.88      ,5.60        ,8.43      ,--        ,7.13      ,5.24                        ,5.35    ,361.22            ,-4.02 ,-4.48                  ,+1.39                      ,-11.00                 ,-1.39                   ,-35.39               ,-49.65               ,-7.40                ,+0.73     ,82.08        ,83.58    ,32.63                  ,77.38     ,75.62    ,85.90                   ,3.87                         ,-4.94   ,-0.37 ,-13.92                 ,-0.05                 ,+1.08                  ,-11.91                   ,-9.37                ,-46.58               ,-9.09                ,+3.94             ,3               ,83.58     ,93.05   ,80.97       ,77.38   ,-1.07                ,4.02           ,-3.65    ,-0.45,+0.33                   ,+1.11                    ,+1.34                    ,-1.14                 ,-13.30               ,-48.71               ,-18.36               ,+2.37             ,83.58      ,114.00    ,80.17    ,75.62  ,4.68         ,11.00            ,-0.66         ,2.00              ,--                   ,17.61                    ,2.62            ,23.93        ,14.52                ,0.62     ,80.44     ,80.74     ,91.38      ,80.35     ,86.78      ,55.37                ,40.78     ,32.20                   ,9.70 ,82.96               ,1.64                      ,-11.22         ,81.95     ,94.67      ,80.34     ,82.31     ,88.15      ,39.61     ,44.20                ,21.75         ,47.48,-0.18      ,0.83           ,-7.68                     ,80.26     ,89.99      ,83.29     ,45.96                ,20.69                   ,64.94   ,77.55                  ,-1.78          ,5.20                      ,-739.94   , 
BZUN  ,-4.49      ,14.69     ,621023    ,64.23    ,749.55M   ,54             ,+3.16                     ,46.29     ,14.92     ,0.07 ,-60.85      ,15.08                  ,-11.25            ,15.01                  ,15.05                  ,Internet Software & Services                  ,NASDAQ  ,BAOZUN INC -ADR          ,Internet Software & Services         ,--      ,15.39         ,14.67 ,400     ,467083       ,494834      ,132.96                  ,125.50                 ,No        ,15.38 ,15.76 ,14.71 ,28.36                 ,441557        ,460310     ,140.64                   ,134.91                ,No                ,Information Technology,--            ,15.39     ,14.50 ,200     ,421097      ,75.23                     ,147.48                 ,7.02M          ,No                  ,-- ,--       ,--                 ,66.67          ,33.33                 ,--              ,--                     ,--              ,6                 ,1.33              ,12.87M    ,510.89M,12.87M  ,48.7M             ,0.24    ,0.24      ,-0.01     ,4.97        ,-2.40     ,-1.50     ,-1.03     ,150.76                      ,0.39    ,--                ,-0.70 ,-0.36                  ,+2.25                      ,+1.03                  ,+8.14                   ,0.00                 ,0.00                 ,+130.20              ,0.00      ,15.84        ,15.94    ,2.85                   ,13.95     ,5.19     ,84.92                   ,1.74                         ,-4.55   ,-0.01 ,+2.64                  ,-0.02                 ,+0.43                  ,+7.20                    ,+27.51               ,0.00                 ,+23.78               ,+6.37             ,19              ,15.84     ,16.20   ,14.94       ,13.92   ,-9.31                ,1.07           ,-0.69    ,-0.06,+0.47                   ,+0.34                    ,+2.85                    ,+1.16                 ,+155.82              ,0.00                 ,-0.99                ,+4.20             ,15.94      ,18.61     ,14.48    ,11.07  ,1.26         ,93.00            ,-0.19         ,2.76              ,--                   ,64.23                    ,3.68            ,--           ,3.10                 ,1.47     ,14.87     ,14.63     ,14.16      ,14.89     ,14.04      ,59.51                ,52.05     ,20.05                   ,39.15,15.83               ,1.31                      ,3.01           ,14.42     ,12.75      ,14.95     ,14.59     ,--         ,51.07     ,54.47                ,7.83          ,55.02,0.11       ,0.44           ,3.79                      ,15.05     ,14.07      ,14.49     ,55.25                ,23.46                   ,51.85   ,14.27                  ,-0.06          ,1.82                      ,-706.34   , 
NTES  ,-4.25      ,272.68    ,1172176   ,21.57    ,37.82B    ,269            ,+1.32                     ,31.61     ,284.83    ,-0.09,-95.90      ,7.47                   ,-20.09            ,18.65                  ,286.87                 ,Internet Software & Services                  ,NGM/NGS ,NETEASE INC              ,Internet Software & Services         ,3.30    ,285.22        ,272.61,100     ,865019       ,1107010     ,135.51                  ,105.89                 ,No        ,284.77,286.30,272.73,56.91                 ,926770        ,1120004    ,126.48                   ,104.66                ,No                ,Information Technology,1.20          ,285.22    ,271.58,200     ,930308      ,136.04                    ,126.00                 ,245.95M        ,No                  ,-- ,--       ,--                 ,68.00          ,12.00                 ,16.00           ,4.00                   ,--              ,25                ,1.56              ,1.78B     ,5.75B  ,1.78B   ,132.6M            ,13.22   ,13.22     ,7.69      ,16.94       ,5.46      ,5.12      ,4.17      ,26.87                       ,4.58    ,--                ,-12.54,-10.65                 ,-0.58                      ,+31.64                 ,+5.83                   ,+177.73              ,+433.67              ,+48.51               ,+0.73     ,286.88       ,298.39   ,22.36                  ,280.31    ,130.82   ,92.53                   ,4.79                         ,-4.40   ,-0.45 ,+53.30                 ,-0.06                 ,-3.08                  ,+12.48                   ,+32.89               ,+341.46              ,+32.32               ,+36.60            ,11              ,292.81    ,308.65  ,283.30      ,280.31  ,-140.76              ,13.62          ,-12.09   ,-0.16,+3.71                   ,-1.65                    ,-1.07                    ,+15.72                ,+100.74              ,+453.70              ,+18.74               ,+24.88            ,298.39     ,308.66    ,280.35   ,215.63 ,14.72        ,96.00            ,-1.10         ,0.93              ,--                   ,21.57                    ,6.92            ,--           ,16.83                ,6.57     ,284.76    ,279.25    ,254.34     ,285.06    ,261.85     ,47.49                ,52.74     ,29.31                   ,4.10 ,296.14              ,-7.05                     ,45.72          ,272.64    ,237.31     ,285.74    ,276.93    ,256.62     ,49.44     ,56.33                ,33.40         ,17.22,2.10       ,14.01          ,56.01                     ,286.87    ,253.47     ,273.61    ,55.39                ,14.64                   ,17.65   ,277.61                 ,-19.40         ,30.22                     ,-2808.70  , 
EXPR  ,-4.10      ,8.305     ,1355511   ,12.02    ,687.76M   ,44             ,-1.85                     ,29.87     ,9.04      ,-0.45,-95.70      ,1.16                   ,-7.77             ,35.94                  ,9.06                   ,Specialty Retail                              ,NYSE    ,EXPRESS INC              ,Apparel Retail                       ,--      ,8.77          ,8.30  ,2200    ,1838925      ,2063070     ,73.71                   ,65.70                  ,No        ,8.66  ,8.73  ,8.31  ,96.41                 ,2304901       ,1878869    ,58.81                    ,72.15                 ,No                ,Consumer Discretionary,--            ,8.77      ,8.30  ,12000   ,2274283     ,83.71                     ,59.60                  ,16.66M         ,Yes                 ,B  ,--       ,--                 ,--             ,8.33                  ,83.33           ,--                     ,8.33            ,12                ,3.08              ,57.42M    ,2.19B  ,57.42M  ,78.42M            ,0.73    ,0.73      ,1.38      ,0.69        ,0.81      ,1.37      ,1.60      ,-12.00                      ,2.62    ,194.20            ,-0.465,-0.805                 ,-3.16                      ,-2.543                 ,-14.91                  ,-44.89               ,-63.53               ,-37.22               ,+1.56     ,9.18         ,11.27    ,12.79                  ,8.25      ,8.25     ,98.84                   ,7.31                         ,-5.30   ,-0.11 ,-2.595                 ,-0.06                 ,-0.5582                ,-22.48                   ,-18.49               ,-42.63               ,-15.33               ,+9.16             ,1               ,9.38      ,11.69   ,8.74        ,8.25    ,-0.05                ,0.425          ,-0.355   ,-1.25,-0.165                  ,-0.2858                  ,-5.98                    ,-1.537                ,-57.45               ,-48.85               ,-22.73               ,+4.86             ,10.99      ,21.52     ,8.58     ,8.25   ,0.43         ,6.00             ,-0.005        ,0.52              ,--                   ,12.02                    ,1.58            ,10.73        ,12.70                ,0.31     ,8.79      ,10.17     ,11.20      ,9.20      ,10.78      ,37.08                ,39.61     ,38.44                   ,4.30 ,9.88                ,-2.04                     ,-1.75          ,10.27     ,12.14      ,8.91      ,9.95      ,11.08      ,36.82     ,41.20                ,37.97         ,36.55,-0.47      ,-2.29          ,-1.45                     ,9.06      ,11.03      ,10.14     ,39.39                ,17.28                   ,54.50   ,8.23                   ,-2.37          ,-1.81                     ,-2036.44  , 
