Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
SJM   ,-0.44      ,130.80    ,752510    ,22.82    ,15.26B    ,39             ,-0.21                     ,16.11     ,133.65    ,-1.94,-95.87      ,34.58                  ,-22.78            ,28.53                  ,135.39                 ,Food Products                           ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,131.08        ,130.77,200     ,1308402      ,1009408     ,57.51                   ,74.55                  ,Yes       ,131.38,131.50,130.82,78.13                 ,1326170       ,1272319    ,56.74                    ,59.14                 ,No                ,Consumer Staples      ,2.30          ,131.08    ,130.43,400     ,1295260     ,64.90                     ,58.10                  ,172.82M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.28 ,-0.35                  ,-3.18                      ,-1.77                  ,-3.50                   ,+18.32               ,+80.63               ,-12.61               ,+0.59     ,131.44       ,141.22   ,25.81                  ,130.63    ,122.05   ,65.42                   ,2.56                         ,-0.21   ,+0.30 ,+2.29                  ,-0.02                 ,-5.13                  ,-1.33                    ,+2.92                ,+44.27               ,+2.92                ,+9.24             ,3               ,133.52    ,143.68  ,130.63      ,130.63  ,-8.38                ,0.70           ,-0.58    ,+0.23 ,-0.28                   ,-4.31                    ,-3.77                    ,-4.76                 ,+3.11                ,+44.57               ,-2.21                ,+4.19             ,140.44     ,157.31    ,130.63   ,127.00 ,1.07         ,45.00            ,-0.37         ,0.98              ,--                   ,22.76                    ,--              ,73.43        ,17.13                ,1.95     ,132.27    ,137.18    ,132.66     ,134.42    ,135.04     ,16.94                ,44.94     ,33.95                   ,4.13 ,142.09              ,-8.91                     ,1.76           ,136.22    ,137.86     ,134.15    ,135.43    ,134.96     ,39.86     ,45.24                ,46.94         ,3.08 ,-1.36      ,-7.20          ,1.90                      ,135.39    ,132.93     ,135.33    ,40.35                ,12.26                   ,2.48    ,128.69                 ,-8.36          ,-7.70                     ,-4154.27   , 
AAP   ,-1.32      ,143.02    ,559615    ,23.47    ,10.74B    ,56             ,-1.03                     ,17.48     ,149.29    ,-3.26,-99.51      ,2.44                   ,-9.86             ,38.44                  ,150.89                 ,Specialty Retail                        ,NYSE    ,ADVANCE AUTO PARTS INC   ,Automotive Retail                    ,0.24    ,145.50        ,142.99,100     ,1113900      ,1076915     ,50.24                   ,51.96                  ,Yes       ,144.93,145.22,143.07,99.57                 ,1008920       ,1105383    ,55.47                    ,50.63                 ,No                ,Consumer Discretionary,0.20          ,145.50    ,142.97,100     ,1022204     ,27.57                     ,54.75                  ,164.24M        ,No                  ,D  ,**       ,A+                 ,31.03          ,20.69                 ,41.38           ,3.45                   ,3.45            ,29                ,2.28              ,459.62M   ,9.57B  ,459.62M ,73.82M            ,6.20    ,6.20      ,6.40      ,7.58        ,6.71      ,5.32      ,5.22      ,13.77                       ,4.80    ,166.39            ,-2.48 ,-5.38                  ,-3.57                      ,-12.89                 ,-9.32                   ,-0.65                ,+69.17               ,-8.17                ,+1.02     ,149.19       ,158.13   ,32.61                  ,143.56    ,132.98   ,97.56                   ,4.67                         ,-1.70   ,-0.57 ,-27.76                 ,-0.04                 ,-6.15                  ,-8.14                    ,-13.93               ,+17.76               ,-12.30               ,+17.10            ,12              ,150.07    ,177.50  ,143.56      ,143.56  ,-9.99                ,2.20           ,-1.91    ,-0.39 ,-1.52                   ,-5.39                    ,-4.06                    ,-14.95                ,-7.39                ,+80.69               ,-0.50                ,+5.59             ,155.81     ,177.83    ,143.56   ,143.56 ,2.26         ,9.00             ,-0.06         ,1.01              ,--                   ,23.47                    ,8.34            ,35.76        ,19.21                ,1.12     ,148.30    ,156.95    ,159.35     ,150.48    ,158.09     ,21.88                ,38.63     ,34.10                   ,0.49 ,157.27              ,-8.75                     ,-26.61         ,159.46    ,158.94     ,149.69    ,155.55    ,158.35     ,31.62     ,40.10                ,59.33         ,14.46,-2.91      ,-17.25         ,-26.38                    ,150.89    ,162.92     ,156.46    ,33.85                ,8.70                    ,22.65   ,144.51                 ,-8.97          ,-17.25                    ,-1248.87   , 
KATE  ,-1.31      ,19.59     ,13148200  ,19.23    ,2.93B     ,94             ,+1.94                     ,17.67     ,22.73     ,-0.04,-91.60      ,57.53                  ,-3.48             ,31.84                  ,23.24                  ,Textiles Apparel & Luxury Goods         ,NYSE    ,KATE SPADE & CO          ,Apparel Accessories & Luxury Goods   ,--      ,22.80         ,19.58 ,1100    ,3561812      ,3620347     ,369.14                  ,363.18                 ,No        ,19.85 ,19.90 ,19.59 ,99.61                 ,2888234       ,3862759    ,455.23                   ,340.38                ,Yes               ,Consumer Discretionary,--            ,22.80     ,19.17 ,1300    ,2861543     ,536.67                    ,459.48                 ,82.15M         ,No                  ,A  ,***      ,B-                 ,38.89          ,5.56                  ,55.56           ,--                     ,--              ,18                ,2.17              ,153.58M   ,1.38B  ,153.58M ,128.29M           ,1.19    ,1.19      ,0.13      ,0.87        ,1.25      ,0.60      ,-0.68     ,27.00                       ,11.12   ,354.23            ,-3.21 ,-3.56                  ,-1.87                      ,+4.18                  ,+8.87                   ,-30.43               ,+73.88               ,+12.71               ,+1.62     ,23.23        ,24.20    ,6.56                   ,22.50     ,14.02    ,42.47                   ,17.70                        ,-14.08  ,-2.95 ,+0.89                  ,-0.15                 ,-0.62                  ,+22.45                   ,+22.12               ,-37.37               ,+24.42               ,+45.50            ,2               ,23.58     ,24.24   ,22.75       ,22.50   ,-5.15                ,0.31           ,-0.26    ,-12.94,+0.43                   ,-0.44                    ,-2.65                    ,+1.86                 ,-8.97                ,+23.04               ,+35.61               ,+14.73            ,24.20      ,26.46     ,22.74    ,17.38  ,0.73         ,94.00            ,-0.42         ,0.83              ,--                   ,19.23                    ,9.97            ,90.65        ,26.22                ,2.12     ,22.75     ,21.73     ,18.72      ,22.77     ,20.42      ,42.78                ,47.83     ,44.32                   ,8.40 ,25.09               ,-0.49                     ,2.02           ,21.12     ,18.98      ,23.06     ,21.76     ,20.16      ,42.23     ,57.05                ,50.49         ,23.00,0.38       ,1.29           ,4.54                      ,23.24     ,19.12      ,21.39     ,57.24                ,14.58                   ,31.65   ,21.38                  ,-3.87          ,4.44                      ,-1884.75   , 
KMX   ,-1.01      ,55.80     ,3291524   ,17.96    ,10.60B    ,45             ,-2.90                     ,18.50     ,59.78     ,-1.95,-97.97      ,12.40                  ,-15.73            ,45.65                  ,60.92                  ,Specialty Retail                        ,NYSE    ,CARMAX INC               ,Automotive Retail                    ,--      ,56.67         ,55.79 ,100     ,3062424      ,2197498     ,107.48                  ,149.79                 ,Yes       ,56.37 ,57.00 ,55.80 ,94.68                 ,2431199       ,2143559    ,135.39                   ,153.55                ,No                ,Consumer Discretionary,--            ,56.67     ,55.63 ,200     ,2378645     ,59.96                     ,138.38                 ,179.33M        ,No                  ,D  ,***      ,B+                 ,40.00          ,15.00                 ,30.00           ,5.00                   ,10.00           ,20                ,2.30              ,623.43M   ,15.83B ,623.43M ,187.12M           ,3.16    ,3.03      ,2.73      ,3.28        ,2.16      ,1.87      ,1.79      ,13.31                       ,3.94    ,705.90            ,-0.87 ,-2.40                  ,-6.98                      ,-3.47                  ,-12.59                  ,-14.19               ,+70.91               ,+20.78               ,+1.29     ,58.50        ,65.55    ,12.11                  ,56.01     ,45.06    ,87.60                   ,7.47                         ,-1.54   ,-0.30 ,-9.23                  ,-0.07                 ,-4.93                  ,-5.78                    ,-11.99               ,+26.54               ,-8.03                ,+20.77            ,35              ,60.73     ,69.11   ,56.01       ,56.01   ,-10.57               ,1.20           ,-0.57    ,-0.53 ,-1.69                   ,-4.25                    ,-8.01                    ,-8.16                 ,+15.89               ,+42.01               ,+11.00               ,+4.08             ,65.13      ,69.11     ,56.01    ,56.01  ,1.37         ,13.00            ,-0.17         ,0.77              ,--                   ,18.70                    ,3.80            ,356.04       ,17.28                ,0.67     ,59.01     ,64.26     ,60.91      ,60.52     ,61.89      ,20.73                ,41.48     ,37.86                   ,2.03 ,65.75               ,-7.23                     ,-9.60          ,64.62     ,58.65      ,59.97     ,62.49     ,61.41      ,33.93     ,42.49                ,60.37         ,10.96,-1.60      ,-9.31          ,-9.71                     ,60.92     ,62.98      ,62.56     ,35.34                ,9.36                    ,20.70   ,56.09                  ,-8.01          ,-9.02                     ,-6193.18   , 
FDS   ,-0.77      ,163.00    ,285156    ,19.29    ,6.50B     ,38             ,+0.02                     ,18.62     ,170.18    ,-3.58,-94.45      ,27.25                  ,-19.00            ,25.33                  ,173.66                 ,Capital Markets                         ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,164.22        ,162.99,200     ,609444       ,329580      ,46.79                   ,86.52                  ,No        ,164.26,166.07,163.05,96.46                 ,328626        ,254740     ,86.77                    ,111.94                ,Yes               ,Financials            ,1.20          ,164.22    ,161.85,100     ,322225      ,67.94                     ,88.50                  ,100.18M        ,No                  ,F  ,***      ,A+                 ,--             ,5.88                  ,64.71           ,23.53                  ,5.88            ,17                ,3.29              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,-1.22 ,-2.67                  ,-5.44                      ,-2.87                  ,-5.99                   ,+5.97                ,+76.95               ,+3.05                ,+0.74     ,167.00       ,182.56   ,17.57                  ,161.88    ,145.48   ,72.75                   ,5.81                         ,-0.74   ,+0.04 ,-2.06                  ,-0.01                 ,-10.43                 ,-1.72                    ,+0.76                ,+58.37               ,+1.18                ,+66.59            ,1               ,168.03    ,183.64  ,163.31      ,161.88  ,-16.37               ,3.07           ,-1.26    ,+0.02 ,+0.04                   ,-9.44                    ,-5.97                    ,-10.46                ,+10.13               ,+86.86               ,+2.33                ,+33.06            ,182.56     ,183.64    ,161.88   ,161.88 ,4.22         ,36.00            ,-1.15         ,0.83              ,--                   ,20.05                    ,--              ,57.98        ,22.62                ,--       ,169.11    ,175.87    ,167.58     ,171.57    ,171.32     ,20.30                ,43.58     ,36.25                   ,5.55 ,186.29              ,-12.75                    ,-7.74          ,174.89    ,168.30     ,172.47    ,173.29    ,170.54     ,37.12     ,44.40                ,41.53         ,10.51,-1.98      ,-12.76         ,-4.66                     ,173.66    ,170.22     ,172.98    ,38.28                ,14.97                   ,12.09   ,161.03                 ,-13.70         ,-11.94                    ,-1003.78   , 
AYI   ,+0.27      ,175.15    ,4451098   ,29.49    ,9.00B     ,34             ,+2.33                     ,18.85     ,201.42    ,-4.40,-91.98      ,37.35                  ,-14.76            ,19.90                  ,204.13                 ,Electrical Equipment                    ,NYSE    ,ACUITY BRANDS INC        ,Electrical Components & Equipment    ,0.52    ,204.06        ,175.14,200     ,746747       ,654693      ,596.07                  ,679.88                 ,Yes       ,174.68,180.25,175.26,98.99                 ,672954        ,811634     ,661.43                   ,548.41                ,No                ,Industrials           ,0.30          ,204.06    ,172.11,100     ,695439      ,447.58                    ,640.04                 ,152.78M        ,No                  ,F  ,****     ,B+                 ,64.29          ,7.14                  ,14.29           ,14.29                  ,--              ,14                ,1.79              ,290.80M   ,3.29B  ,290.80M ,44.09M            ,6.92    ,6.63      ,5.09      ,8.72        ,4.05      ,2.95      ,2.72      ,23.50                       ,8.84    ,278.92            ,-28.91,-29.46                 ,-0.04                      ,-24.40                 ,-3.35                   ,+21.91               ,+232.34              ,-17.59               ,+1.33     ,209.17       ,214.82   ,100.64                 ,196.78    ,193.06   ,62.65                   ,15.71                        ,-14.17  ,-29.38,-57.74                 ,-0.13                 ,-1.73                  ,-10.68                   ,-11.55               ,+55.27               ,-11.58               ,+19.22            ,46              ,209.17    ,241.60  ,203.05      ,196.78  ,20.95                ,5.10           ,+0.47    ,-14.40,+4.65                   ,-0.07                    ,-0.84                    ,-7.07                 ,-6.28                ,+198.52              ,-22.81               ,+11.12            ,212.42     ,280.89    ,198.03   ,193.06 ,8.14         ,9.00             ,-3.04         ,1.27              ,--                   ,30.78                    ,26.82           ,21.39        ,23.40                ,2.73     ,200.54    ,208.71    ,225.28     ,203.03    ,219.43     ,45.70                ,36.29     ,51.83                   ,8.02 ,218.91              ,-0.85                     ,-62.21         ,208.77    ,240.11     ,202.67    ,209.89    ,222.19     ,31.76     ,44.05                ,52.33         ,39.24,-2.86      ,-31.69         ,-34.61                    ,204.13    ,223.64     ,212.03    ,44.00                ,16.22                   ,53.29   ,189.36                 ,-30.26         ,-2.29                     ,-1990.79   , 
LKQ   ,-0.75      ,28.48     ,1741079   ,19.19    ,8.85B     ,29             ,-1.51                     ,19.66     ,29.56     ,-0.60,-96.91      ,18.67                  ,-20.22            ,31.48                  ,29.77                  ,Distributors                            ,NASDAQ  ,LKQ CORP                 ,Distributors                         ,--      ,28.70         ,28.47 ,1100    ,2685327      ,2238087     ,64.84                   ,77.79                  ,Yes       ,28.69 ,28.78 ,28.48 ,94.65                 ,2551595       ,2480654    ,68.23                    ,70.19                 ,No                ,Consumer Discretionary,--            ,28.70     ,28.41 ,1900    ,2589774     ,58.82                     ,67.23                  ,78.76M         ,No                  ,D  ,****     ,A-                 ,56.25          ,37.50                 ,6.25            ,--                     ,--              ,16                ,1.50              ,463.98M   ,8.58B  ,463.98M ,308.22M           ,1.50    ,1.50      ,1.38      ,1.86        ,1.25      ,1.02      ,0.87      ,13.50                       ,5.41    ,201.98            ,-0.22 ,-0.66                  ,-3.59                      ,-3.31                  ,-7.62                   ,+14.51               ,+87.81               ,-7.67                ,+0.56     ,29.39        ,31.74    ,7.57                   ,28.59     ,28.60    ,81.33                   ,3.91                         ,-0.78   ,-0.01 ,-2.52                  ,-0.04                 ,-1.34                  ,-10.33                   ,-6.36                ,+11.08               ,-4.50                ,+14.15            ,3               ,29.89     ,33.17   ,28.59       ,28.59   ,0.20                 ,0.31           ,-0.22    ,-0.03 ,-0.44                   ,-1.07                    ,-4.45                    ,-2.37                 ,-8.33                ,+34.51               ,-17.46               ,+6.65             ,31.40      ,36.35     ,28.59    ,28.59  ,0.38         ,19.00            ,-0.07         ,0.83              ,--                   ,19.19                    ,--              ,95.23        ,15.47                ,1.03     ,29.33     ,30.90     ,31.70      ,29.78     ,31.35      ,21.77                ,39.63     ,36.23                   ,3.09 ,30.88               ,-2.61                     ,-3.20          ,31.01     ,32.73      ,29.59     ,30.62     ,31.52      ,35.06     ,40.27                ,49.50         ,7.67 ,-0.52      ,-3.01          ,-2.56                     ,29.77     ,31.55      ,30.81     ,36.08                ,12.24                   ,18.27   ,28.66                  ,-2.42          ,-3.26                     ,-6937.58   , 
PAYX  ,-0.22      ,58.18     ,887677    ,26.56    ,20.99B    ,26             ,-0.52                     ,20.15     ,60.21     ,-0.67,-95.79      ,56.12                  ,-37.52            ,33.03                  ,61.22                  ,IT Services                             ,NGM/NGS ,PAYCHEX INC              ,Data Processing & Outsourced Services,1.84    ,58.44         ,58.18 ,200     ,3625511      ,2066261     ,24.48                   ,42.96                  ,Yes       ,58.31 ,58.35 ,58.19 ,69.89                 ,2002523       ,1878292    ,44.33                    ,47.26                 ,No                ,Information Technology,3.10          ,58.44     ,57.97 ,500     ,1957918     ,38.22                     ,45.34                  ,215.27M        ,No                  ,D  ,***      ,A                  ,9.09           ,4.55                  ,54.55           ,9.09                   ,22.73           ,22                ,3.32              ,756.80M   ,2.95B  ,756.80M ,359.25M           ,2.20    ,2.09      ,1.85      ,2.22        ,1.71      ,1.56      ,1.51      ,8.40                        ,25.64   ,218.66            ,-0.26 ,-0.57                  ,-4.54                      ,-0.72                  ,-3.78                   ,+26.77               ,+126.48              ,+1.36                ,+0.92     ,58.89        ,63.03    ,4.68                   ,58.10     ,51.06    ,43.88                   ,4.57                         ,-0.44   ,-0.13 ,-2.97                  ,-0.04                 ,-3.07                  ,-1.21                    ,-3.28                ,+52.76               ,-2.52                ,+42.44            ,2               ,61.05     ,63.03   ,58.10       ,58.10   ,-6.91                ,0.17           ,-0.13    ,-0.22 ,-0.30                   ,-2.78                    ,-4.99                    ,-2.29                 ,+12.57               ,+90.39               ,+3.41                ,+11.13            ,63.03      ,63.03     ,58.10    ,57.07  ,0.38         ,21.00            ,-0.21         ,1.14              ,--                   ,27.96                    ,17.78           ,--           ,26.38                ,7.11     ,60.03     ,60.58     ,59.31      ,60.47     ,60.04      ,21.47                ,45.18     ,35.22                   ,4.21 ,64.31               ,-3.97                     ,-3.09          ,60.67     ,59.27      ,60.84     ,60.62     ,59.77      ,39.84     ,45.77                ,58.86         ,6.10 ,-0.17      ,0.56           ,-2.41                     ,61.22     ,60.10      ,60.53     ,40.71                ,9.12                    ,8.34    ,58.12                  ,-3.98          ,0.47                      ,-12205.85  , 
LULU  ,-1.60      ,49.69     ,4798426   ,23.04    ,6.48B     ,114            ,-5.54                     ,20.57     ,58.69     ,-3.35,-98.46      ,17.00                  ,-22.71            ,29.60                  ,61.46                  ,Textiles Apparel & Luxury Goods         ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods   ,--      ,50.92         ,49.69 ,100     ,17215264     ,2580015     ,27.87                   ,185.98                 ,No        ,50.50 ,50.96 ,49.70 ,79.44                 ,5567005       ,2756915    ,86.19                    ,174.05                ,No                ,Consumer Discretionary,--            ,50.92     ,49.43 ,100     ,5204002     ,63.22                     ,92.21                  ,913.85M        ,No                  ,NR ,****     ,B+                 ,30.56          ,13.89                 ,47.22           ,2.78                   ,5.56            ,36                ,2.39              ,303.38M   ,2.34B  ,303.38M ,127.27M           ,2.21    ,2.21      ,1.89      ,2.32        ,1.66      ,1.91      ,1.85      ,14.96                       ,12.94   ,187.55            ,-1.23 ,-2.42                  ,-17.15                     ,-11.72                 ,-22.37                  ,-18.98               ,-30.59               ,-29.77               ,+0.16     ,52.18        ,66.56    ,30.85                  ,50.50     ,50.50    ,83.00                   ,21.48                        ,-2.42   ,-0.42 ,-16.25                 ,-0.22                 ,-11.60                 ,-18.72                   ,-21.65               ,-1.37                ,-20.19               ,+25.41            ,27              ,66.34     ,70.50   ,50.87       ,50.50   ,1.07                 ,1.27           ,-0.81    ,-0.82 ,-2.99                   ,-10.54                   ,-18.55                   ,-14.67                ,-23.39               ,-16.80               ,-14.94               ,+20.42            ,66.43      ,81.81     ,50.50    ,50.50  ,1.53         ,4.00             ,-0.26         ,0.99              ,--                   ,23.04                    ,5.23            ,--           ,21.97                ,2.76     ,58.69     ,64.52     ,62.74      ,59.95     ,63.97      ,22.00                ,36.43     ,47.54                   ,1.54 ,72.29               ,-14.01                    ,-18.58         ,65.15     ,66.53      ,60.36     ,62.95     ,64.15      ,30.62     ,37.28                ,57.43         ,4.28 ,-1.83      ,-16.78         ,-17.81                    ,61.46     ,63.94      ,63.29     ,31.70                ,12.85                   ,15.02   ,50.64                  ,-15.45         ,-15.47                    ,-24202.73  , 
GPC   ,+0.20      ,90.23     ,374340    ,19.68    ,13.40B    ,9              ,-1.37                     ,20.90     ,92.64     ,-1.21,-82.67      ,52.22                  ,-0.40             ,26.35                  ,93.09                  ,Distributors                            ,NYSE    ,GENUINE PARTS CO         ,Distributors                         ,2.70    ,90.34         ,90.22 ,200     ,780676       ,681547      ,47.95                   ,54.93                  ,Yes       ,90.05 ,90.66 ,90.24 ,75.79                 ,671923        ,670035     ,55.71                    ,55.87                 ,No                ,Consumer Discretionary,3.00          ,90.34     ,89.76 ,200     ,676571      ,28.77                     ,55.33                  ,71.67M         ,No                  ,D  ,**       ,A                  ,7.14           ,--                    ,85.71           ,7.14                   ,--              ,14                ,2.93              ,687.24M   ,15.34B ,687.24M ,148.38M           ,4.59    ,4.59      ,4.63      ,4.76        ,4.61      ,4.40      ,4.14      ,4.80                        ,4.48    ,383.49            ,-0.11 ,-2.27                  ,-2.96                      ,-5.56                  ,-5.97                   ,+4.80                ,+69.23               ,-6.86                ,+0.95     ,92.50        ,95.99    ,15.31                  ,89.23     ,86.61    ,47.78                   ,3.02                         ,-0.12   ,-0.29 ,-6.19                  ,-0.03                 ,-3.03                  ,-5.79                    ,-4.76                ,+15.33               ,-2.58                ,+21.68            ,26              ,93.71     ,100.90  ,89.23       ,89.23   ,-3.15                ,0.43           ,+0.18    ,-0.32 ,-1.26                   ,-2.75                    ,-3.24                    ,-5.74                 ,-4.44                ,+31.96               ,-6.73                ,+8.08             ,95.00      ,105.97    ,89.23    ,89.23  ,0.90         ,21.00            ,-0.47         ,0.85              ,--                   ,19.68                    ,8.29            ,18.37        ,18.97                ,0.87     ,92.36     ,95.57     ,95.50      ,93.09     ,95.70      ,21.34                ,42.01     ,29.75                   ,17.33,95.40               ,-3.84                     ,-5.93          ,95.96     ,97.62      ,92.96     ,94.72     ,95.88      ,37.08     ,42.15                ,49.75         ,17.40,-1.01      ,-6.98          ,-6.33                     ,93.09     ,96.27      ,95.01     ,37.29                ,9.98                    ,15.97   ,90.79                  ,-3.29          ,-6.80                     ,-36.83     , 
