Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
FMCC  ,-6.50      ,2.23      ,4566493   ,80.02    ,1.56B     ,32             ,-1.23                     ,22.77     ,2.53      ,-0.18,-87.67      ,36.73                  ,-12.54            ,39.17                  ,2.56                   ,Thrifts & Mortgage Finance                  ,OTC     ,FEDERAL HOME LOAN MORTG C,Thrifts & Mortgage Finance           ,--      ,2.40          ,2.23  ,10800   ,1418690      ,4067995     ,321.88                  ,112.25                 ,No        ,2.385 ,2.385 ,2.24  ,0.03                  ,1931363       ,3262436    ,236.44                   ,139.97                ,No                ,Financials            ,--            ,2.40      ,2.14  ,200     ,1932902     ,231.02                    ,236.25                 ,3.51M          ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,100.00                 ,--              ,1                 ,4.00              ,7.82B     ,15.09B ,7.82B   ,650.05M           ,0.03    ,0.03      ,-0.01     ,2.00        ,-0.72     ,-1.09     ,-0.64     ,6.00                        ,49.17   ,2656.80           ,-0.17 ,-0.27                  ,-6.21                      ,-0.5287                ,-27.31                  ,+8.77                ,+726.67              ,+34.05               ,+3.87     ,2.50         ,2.87     ,2.455                  ,2.38      ,1.21     ,63.27                   ,14.47                        ,-7.08   ,-0.015,-1.51                  ,-0.12                 ,-0.1873                ,-18.05                   ,-35.83               ,-35.75               ,-33.69               ,-9.48             ,0               ,2.58      ,4.26    ,2.38        ,2.38    ,-0.93                ,0.155          ,-0.155   ,-0.63 ,-0.03                   ,-0.159                   ,-7.24                    ,-0.9016               ,+85.07               ,+266.27              ,+57.96               ,+0.39             ,2.87       ,4.84      ,2.38     ,2.29   ,0.245        ,1.00             ,-0.09         ,3.44              ,--                   ,80.02                    ,--              ,36211.27     ,1.20                 ,0.10     ,2.48      ,3.14      ,3.06       ,2.59      ,2.95       ,29.90                ,41.76     ,41.94                   ,12.33,2.81                ,-0.22                     ,-1.62          ,3.25      ,2.53       ,2.55      ,2.91      ,2.91       ,35.90     ,43.41                ,54.17         ,9.91 ,-0.19      ,-1.95          ,-1.44                     ,2.56      ,3.34       ,2.96      ,38.36                ,12.47                   ,13.63   ,2.31                   ,-0.40          ,-1.75                     ,-3855.91   , 
FLT   ,-5.36      ,142.73    ,7274971   ,31.61    ,13.80B    ,270            ,+0.78                     ,23.74     ,154.13    ,-3.37,-96.27      ,8.59                   ,-34.98            ,29.61                  ,156.93                 ,IT Services                                 ,NYSE    ,FLEETCOR TECHNOLOGIES INC,Data Processing & Outsourced Services,--      ,150.15        ,142.68,200     ,2483608      ,1012136     ,292.92                  ,718.77                 ,No        ,150.82,151.76,142.75,92.31                 ,1223067       ,1046247    ,594.81                   ,695.34                ,No                ,Information Technology,--            ,150.15    ,141.88,300     ,1175924     ,411.72                    ,618.66                 ,375.29M        ,No                  ,C  ,****     ,--                 ,50.00          ,37.50                 ,12.50           ,--                     ,--              ,16                ,1.63              ,452.38M   ,1.83B  ,452.38M ,91.89M            ,4.75    ,4.75      ,3.85      ,8.24        ,4.24      ,3.36      ,2.52      ,15.73                       ,24.70   ,257.96            ,-7.42 ,-8.83                  ,-4.32                      ,-7.22                  ,-4.14                   ,+0.34                ,+290.59              ,+5.80                ,+1.29     ,152.13       ,165.37   ,24.66                  ,146.76    ,133.64   ,91.41                   ,9.16                         ,-4.94   ,+0.67 ,-0.92                  ,-0.09                 ,-8.37                  ,-4.59                    ,+6.10                ,+31.56               ,+7.00                ,+15.30            ,15              ,158.00    ,171.77  ,148.99      ,146.76  ,-8.24                ,9.03           ,-8.09    ,+0.45 ,+1.17                   ,-6.78                    ,-5.28                    ,-6.49                 ,+1.80                ,+97.51               ,-12.84               ,+5.17             ,165.37     ,176.42    ,146.76   ,142.62 ,9.88         ,66.00            ,-0.85         ,1.36              ,--                   ,31.61                    ,--              ,81.77        ,18.22                ,7.53     ,153.26    ,158.54    ,155.60     ,155.45    ,156.54     ,32.99                ,42.41     ,40.78                   ,3.73 ,167.45              ,-13.51                    ,-5.67          ,157.06    ,157.10     ,155.81    ,157.00    ,156.34     ,37.65     ,46.09                ,63.00         ,16.26,-1.75      ,-4.96          ,2.68                      ,156.93    ,153.30     ,156.92    ,43.02                ,9.26                    ,16.18   ,146.42                 ,-20.46         ,-0.57                     ,-9234.19   , 
LTRPA ,-2.36      ,13.43     ,294110    ,49.29    ,1.04B     ,12             ,-0.83                     ,36.88     ,13.86     ,-0.29,-65.79      ,6.25                   ,2.05              ,25.25                  ,13.81                  ,Internet & Direct Marketing Retail          ,NASDAQ  ,LIBERTY TRIPADVISOR HOLDI,Internet & Direct Marketing Retail   ,--      ,13.80         ,13.40 ,2000    ,797951       ,758465      ,36.86                   ,38.78                  ,No        ,13.75 ,13.80 ,13.45 ,93.53                 ,974819        ,849552     ,30.17                    ,34.62                 ,No                ,Consumer Discretionary,--            ,13.80     ,13.40 ,3800    ,998082      ,36.77                     ,29.47                  ,11.17M         ,No                  ,B  ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,47.00M    ,1.53B  ,47.00M  ,75M               ,0.28    ,0.28      ,-0.53     ,-0.39       ,-0.30     ,-0.10     ,13.35     ,--                          ,1.37    ,439.60            ,-0.38 ,-0.62                  ,-0.08                      ,-3.47                  ,-12.06                  ,-55.65               ,0.00                 ,-35.56               ,+2.32     ,14.10        ,14.30    ,10.84                  ,12.97     ,12.98    ,93.75                   ,2.68                         ,-2.72   ,-0.05 ,-1.92                  ,-0.03                 ,+0.05                  ,-20.11                   ,-8.31                ,0.00                 ,-6.31                ,+5.83             ,1               ,14.30     ,18.75   ,13.60       ,12.97   ,-0.42                ,0.38           ,-0.32    ,-0.36 ,-0.12                   ,-0.01                    ,+0.33                    ,-1.89                 ,-36.37               ,0.00                 ,-35.47               ,+0.65             ,14.30      ,24.64     ,13.60    ,12.97  ,0.40         ,16.00            ,-0.03         ,2.12              ,--                   ,49.29                    ,--              ,10.23        ,--                   ,0.68     ,13.83     ,15.20     ,16.74      ,13.96     ,16.12      ,44.67                ,40.61     ,27.29                   ,34.21,14.32               ,0.55                      ,-3.38          ,15.62     ,18.78      ,13.79     ,14.82     ,16.58      ,39.22     ,41.69                ,20.86         ,60.53,-0.39      ,-4.08          ,-2.50                     ,13.81     ,15.81      ,15.10     ,41.17                ,17.87                   ,74.31   ,13.31                  ,0.23           ,-4.05                     ,251.55     , 
CAL   ,-2.34      ,25.47     ,172219    ,17.21    ,1.12B     ,17             ,-1.24                     ,27.11     ,27.23     ,-1.11,-96.46      ,4.69                   ,14.93             ,22.60                  ,28.05                  ,Specialty Retail                            ,NYSE    ,CALERES INC              ,Apparel Retail                       ,0.28    ,26.16         ,25.47 ,100     ,384918       ,322304      ,44.74                   ,53.43                  ,No        ,26.08 ,26.08 ,25.50 ,88.69                 ,535539        ,334850     ,32.16                    ,51.43                 ,No                ,Consumer Discretionary,1.10          ,26.16     ,25.44 ,300     ,529487      ,46.61                     ,32.53                  ,10.28M         ,Yes                 ,C  ,--       ,B                  ,42.86          ,14.29                 ,42.86           ,--                     ,--              ,7                 ,2.00              ,66.09M    ,2.58B  ,66.09M  ,42.96M            ,1.52    ,1.52      ,1.85      ,2.17        ,1.89      ,0.88      ,0.64      ,11.00                       ,2.55    ,214.95            ,-0.69 ,-0.96                  ,-6.74                      ,-3.30                  ,-12.84                  ,-17.85               ,+203.66              ,+9.93                ,+0.58     ,26.51        ,32.83    ,10.53                  ,25.23     ,21.27    ,95.31                   ,7.07                         ,-2.64   ,-0.08 ,-7.68                  ,-0.05                 ,-2.28                  ,-11.21                   ,-20.09               ,+2.51                ,-19.30               ,+10.88            ,0               ,27.70     ,33.95   ,26.06       ,25.23   ,-4.17                ,0.61           ,-0.61    ,-0.31 ,-0.33                   ,-1.89                    ,-8.01                    ,-3.86                 ,-5.65                ,+71.99               ,+4.95                ,+4.76             ,32.01      ,36.61     ,26.06    ,25.23  ,0.64         ,4.00             ,-0.03         ,0.74              ,--                   ,17.21                    ,4.70            ,32.06        ,12.05                ,0.44     ,26.58     ,29.50     ,29.85      ,27.64     ,29.32      ,31.37                ,42.22     ,31.56                   ,3.54 ,32.14               ,-3.88                     ,-5.83          ,29.78     ,28.03      ,27.27     ,29.03     ,29.21      ,37.60     ,43.40                ,28.30         ,11.60,-0.97      ,-4.85          ,-5.83                     ,28.05     ,30.78      ,29.22     ,39.35                ,17.64                   ,18.94   ,23.96                  ,-4.27          ,-4.50                     ,1320.88    , 
TLRD  ,-2.16      ,14.04     ,777310    ,28.24    ,702.49M   ,32             ,-2.72                     ,27.21     ,15.36     ,-1.55,-93.94      ,15.63                  ,-4.09             ,40.21                  ,15.23                  ,Specialty Retail                            ,NYSE    ,TAILORED BRANDS INC      ,Apparel Retail                       ,0.72    ,14.40         ,14.03 ,200     ,1059231      ,1467553     ,73.38                   ,52.97                  ,No        ,14.35 ,14.58 ,14.05 ,86.04                 ,2396688       ,1720805    ,32.43                    ,45.17                 ,No                ,Consumer Discretionary,5.00          ,14.40     ,13.94 ,300     ,2280636     ,64.80                     ,34.08                  ,15.83M         ,Yes                 ,B  ,**       ,B-                 ,16.67          ,16.67                 ,66.67           ,--                     ,--              ,6                 ,2.50              ,24.96M    ,3.38B  ,24.96M  ,48.78M            ,0.51    ,0.51      ,-21.26    ,1.63        ,-0.01     ,1.70      ,2.55      ,16.50                       ,0.74    ,173.71            ,-0.36 ,-0.94                  ,-5.42                      ,-5.10                  ,-28.13                  ,-69.20               ,-56.24               ,+21.54               ,+1.54     ,15.18        ,23.99    ,14.18                  ,14.01     ,10.90    ,84.38                   ,5.05                         ,-2.50   ,-0.05 ,-11.61                 ,-0.05                 ,-1.97                  ,-26.14                   ,-42.96               ,-66.69               ,-40.82               ,-24.03            ,12              ,15.59     ,26.20   ,14.31       ,14.01   ,-3.04                ,0.54           ,-0.31    ,-0.35 ,-0.40                   ,-0.83                    ,-12.05                   ,-5.64                 ,-12.71               ,-50.35               ,-3.06                ,+1.15             ,23.70      ,28.76     ,14.26    ,14.01  ,0.64         ,1.00             ,-0.10         ,1.21              ,--                   ,28.24                    ,--              ,-1470.15     ,8.81                 ,0.21     ,14.70     ,19.36     ,19.87      ,15.94     ,--         ,29.67                ,--        ,38.53                   ,6.06 ,19.06               ,-8.89                     ,-8.29          ,19.69     ,17.67      ,14.75     ,18.27     ,--         ,34.66     ,50.00                ,45.73         ,29.87,-1.71      ,-7.52          ,-8.49                     ,15.23     ,20.65      ,18.62     ,35.49                ,14.35                   ,51.72   ,11.40                  ,-9.08          ,-7.09                     ,-729.75    , 
UAA   ,-2.15      ,19.12     ,4424067   ,44.15    ,7.65B     ,63             ,-1.06                     ,38.69     ,19.72     ,-0.48,-69.38      ,18.87                  ,0.39              ,28.97                  ,19.48                  ,Textiles Apparel & Luxury Goods             ,NYSE    ,UNDER ARMOUR INC         ,Apparel Accessories & Luxury Goods   ,--      ,19.65         ,19.12 ,1400    ,5658736      ,5800484     ,78.18                   ,76.27                  ,Yes       ,19.54 ,19.55 ,19.13 ,61.95                 ,5104220       ,5827215    ,86.67                    ,75.92                 ,No                ,Consumer Discretionary,--            ,19.64     ,19.02 ,13000   ,5083591     ,50.84                     ,87.03                  ,113.21M        ,No                  ,F  ,**       ,B+                 ,16.67          ,5.56                  ,63.89           ,8.33                   ,5.56            ,36                ,2.81              ,256.98M   ,4.83B  ,256.98M ,404.08M           ,0.45    ,0.45      ,0.53      ,0.42        ,0.47      ,0.38      ,0.31      ,16.52                       ,5.33    ,444.73            ,-0.52 ,-0.85                  ,+0.82                      ,-8.89                  ,-15.50                  ,-52.10               ,+64.61               ,-50.71               ,+0.12     ,20.07        ,21.02    ,28.40                  ,18.39     ,18.40    ,81.13                   ,2.51                         ,-2.65   ,-0.10 ,-10.22                 ,-0.04                 ,+0.06                  ,-31.16                   ,-32.36               ,-32.51               ,-31.91               ,+13.89            ,1               ,20.79     ,31.06   ,19.20       ,18.39   ,-0.62                ,0.43           ,-0.42    ,-0.51 ,-0.21                   ,+0.16                    ,+0.30                    ,-3.60                 ,-54.40               ,+51.11               ,-48.86               ,+7.89             ,20.79      ,47.95     ,19.20    ,18.39  ,0.53         ,1.00             ,-0.10         ,1.90              ,--                   ,44.15                    ,6.15            ,38.94        ,46.66                ,1.65     ,19.68     ,21.28     ,27.36      ,19.87     ,25.35      ,45.40                ,34.78     ,27.57                   ,30.63,20.34               ,-0.41                     ,-11.35         ,22.71     ,32.40      ,19.60     ,21.82     ,26.53      ,34.66     ,35.67                ,17.11         ,46.88,-0.66      ,-1.48          ,-10.65                    ,19.48     ,25.96      ,22.58     ,36.30                ,19.51                   ,60.35   ,18.61                  ,-0.57          ,-1.06                     ,281.75     , 
TRIP  ,-1.69      ,41.82     ,1274008   ,52.16    ,5.62B     ,64             ,-0.40                     ,37.05     ,42.87     ,-0.73,-67.35      ,3.09                   ,13.38             ,28.60                  ,42.88                  ,Internet & Direct Marketing Retail          ,NASDAQ  ,TRIPADVISOR INC          ,Internet & Direct Marketing Retail   ,--      ,42.77         ,41.81 ,300     ,2371801      ,2578286     ,53.71                   ,49.41                  ,Yes       ,42.54 ,42.76 ,41.82 ,79.99                 ,2701030       ,2804380    ,47.17                    ,45.43                 ,No                ,Consumer Discretionary,--            ,42.77     ,41.79 ,400     ,2778120     ,41.44                     ,45.86                  ,102.34M        ,No                  ,F  ,**       ,--                 ,3.85           ,3.85                  ,76.92           ,11.54                  ,3.85            ,26                ,3.08              ,120.00M   ,1.48B  ,120.00M ,131.36M           ,0.82    ,0.82      ,1.36      ,1.23        ,1.55      ,1.41      ,1.37      ,16.17                       ,8.11    ,444.85            ,-0.95 ,-1.44                  ,-0.26                      ,-8.94                  ,-9.66                   ,-48.11               ,+21.00               ,-32.88               ,+1.88     ,43.44        ,44.60    ,28.93                  ,40.86     ,40.45    ,96.91                   ,2.16                         ,-2.22   ,-0.23 ,-4.93                  ,-0.03                 ,+0.02                  ,-17.28                   ,-7.76                ,-52.36               ,-6.92                ,+8.24             ,2               ,43.77     ,53.58   ,42.16       ,40.81   ,-1.34                ,0.94           ,-0.72    ,-0.54 ,-0.17                   ,-0.11                    ,+0.05                    ,-4.57                 ,-35.10               ,-17.82               ,-31.69               ,+5.50             ,44.60      ,71.69     ,42.16    ,40.45  ,0.97         ,15.00            ,-0.03         ,2.24              ,--                   ,52.16                    ,12.02           ,11.65        ,34.66                ,3.80     ,42.71     ,46.17     ,50.32      ,43.11     ,48.69      ,45.18                ,40.26     ,29.38                   ,32.65,44.21               ,1.17                      ,-8.96          ,47.14     ,55.87      ,42.72     ,45.29     ,49.90      ,39.10     ,41.37                ,27.58         ,59.11,-0.96      ,-10.15         ,-6.43                     ,42.88     ,47.80      ,46.01     ,41.11                ,16.68                   ,70.78   ,41.56                  ,0.50           ,-9.84                     ,4329.36    , 
LULU  ,-1.56      ,49.71     ,4778410   ,23.04    ,6.48B     ,114            ,-5.55                     ,20.59     ,58.70     ,-3.35,-98.34      ,18.30                  ,-22.59            ,29.60                  ,61.46                  ,Textiles Apparel & Luxury Goods             ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods   ,--      ,50.92         ,49.70 ,400     ,17215264     ,2580015     ,27.76                   ,185.21                 ,No        ,50.50 ,50.96 ,49.72 ,79.44                 ,5567005       ,2756915    ,85.83                    ,173.32                ,No                ,Consumer Discretionary,--            ,50.92     ,49.43 ,400     ,5204002     ,62.96                     ,91.82                  ,913.85M        ,No                  ,NR ,****     ,B+                 ,30.56          ,13.89                 ,47.22           ,2.78                   ,5.56            ,36                ,2.39              ,303.38M   ,2.34B  ,303.38M ,127.27M           ,2.21    ,2.21      ,1.89      ,2.32        ,1.66      ,1.91      ,1.85      ,14.96                       ,12.94   ,187.55            ,-1.21 ,-2.40                  ,-17.15                     ,-11.72                 ,-22.37                  ,-18.98               ,-30.59               ,-29.77               ,+0.16     ,52.18        ,66.56    ,30.85                  ,50.50     ,50.50    ,81.70                   ,21.43                        ,-2.38   ,-0.42 ,-16.23                 ,-0.22                 ,-11.60                 ,-18.72                   ,-21.65               ,-1.37                ,-20.19               ,+25.41            ,27              ,66.34     ,70.50   ,50.87       ,50.50   ,1.07                 ,1.25           ,-0.79    ,-0.82 ,-2.99                   ,-10.54                   ,-18.55                   ,-14.67                ,-23.39               ,-16.80               ,-14.94               ,+20.42            ,66.43      ,81.81     ,50.50    ,50.50  ,1.53         ,4.00             ,-0.28         ,0.99              ,--                   ,23.04                    ,5.23            ,--           ,21.97                ,2.76     ,58.69     ,64.53     ,62.74      ,59.96     ,63.97      ,22.00                ,36.44     ,47.54                   ,1.66 ,72.28               ,-14.01                    ,-18.56         ,65.15     ,66.53      ,60.37     ,62.95     ,64.15      ,30.64     ,37.28                ,57.43         ,4.32 ,-1.83      ,-16.76         ,-17.81                    ,61.46     ,63.94      ,63.29     ,31.70                ,12.85                   ,15.04   ,50.64                  ,-15.43         ,-15.47                    ,-24065.72  , 
UA    ,-1.56      ,17.94     ,3548457   ,41.23    ,7.65B     ,35             ,-0.05                     ,42.98     ,18.21     ,-0.29,-55.74      ,14.92                  ,-2.42             ,19.28                  ,17.99                  ,Textiles Apparel & Luxury Goods             ,NYSE    ,UNDER ARMOUR INC         ,Apparel Accessories & Luxury Goods   ,--      ,18.35         ,17.93 ,1500    ,3997507      ,3354708     ,88.77                   ,105.78                 ,Yes       ,18.22 ,18.25 ,17.94 ,61.95                 ,3685640       ,4925336    ,96.28                    ,72.04                 ,No                ,Consumer Discretionary,--            ,18.35     ,17.88 ,2100    ,3608014     ,55.28                     ,98.35                  ,73.87M         ,No                  ,NC ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,256.98M   ,4.83B  ,256.98M ,404.08M           ,0.45    ,0.45      ,0.53      ,0.42        ,0.47      ,0.38      ,0.31      ,--                          ,5.33    ,444.73            ,-0.41 ,-0.67                  ,+1.98                      ,-6.32                  ,-11.72                  ,0.00                 ,0.00                 ,-49.73               ,0.00      ,18.63        ,19.05    ,27.95                  ,17.05     ,17.05    ,85.08                   ,0.93                         ,-2.26   ,-0.13 ,-7.55                  ,-0.03                 ,+0.30                  ,-25.62                   ,-27.10               ,0.00                 ,-27.29               ,+13.89            ,2               ,19.05     ,27.63   ,18.01       ,17.05   ,-0.83                ,0.31           ,-0.28    ,-0.71 ,-0.01                   ,+0.36                    ,+1.69                    ,-2.44                 ,-55.82               ,0.00                 ,-45.95               ,+7.89             ,19.05      ,46.20     ,18.01    ,17.05  ,0.37         ,2.00             ,-0.06         ,1.77              ,--                   ,41.23                    ,5.74            ,38.94        ,43.57                ,1.54     ,18.17     ,19.21     ,23.65      ,18.30     ,--         ,50.82                ,--        ,23.24                   ,44.26,18.75               ,0.05                      ,-9.10          ,20.37     ,28.46      ,18.10     ,19.69     ,--         ,38.94     ,50.00                ,5.00          ,57.25,-0.44      ,-0.20          ,-7.86                     ,17.99     ,22.49      ,20.26     ,40.54                ,21.02                   ,64.81   ,17.23                  ,-0.17          ,0.16                      ,-1294.30   , 
MNRO  ,-1.47      ,50.30     ,136593    ,25.92    ,1.67B     ,17             ,-1.18                     ,22.15     ,52.68     ,-1.45,-94.02      ,26.92                  ,-10.70            ,20.51                  ,53.39                  ,Specialty Retail                            ,NGM/NGS ,MONRO MUFFLER BRAKE INC  ,Automotive Retail                    ,0.68    ,51.15         ,50.25 ,400     ,360995       ,302904      ,37.84                   ,45.09                  ,No        ,51.05 ,51.25 ,50.35 ,96.53                 ,341956        ,279428     ,39.94                    ,48.88                 ,No                ,Consumer Discretionary,1.30          ,51.15     ,49.95 ,200     ,328621      ,23.30                     ,41.57                  ,18.72M         ,Yes                 ,F  ,***      ,A-                 ,45.45          ,--                    ,54.55           ,--                     ,--              ,11                ,2.09              ,66.80M    ,943.65M,66.80M  ,32.57M            ,1.97    ,2.00      ,1.88      ,1.97        ,1.67      ,1.32      ,1.69      ,13.33                       ,7.08    ,140.32            ,-0.85 ,-1.75                  ,-4.20                      ,-6.15                  ,-9.68                   ,-18.22               ,+32.13               ,-17.29               ,+0.85     ,52.05        ,58.50    ,22.08                  ,50.65     ,50.65    ,73.08                   ,4.57                         ,-1.66   ,-0.10 ,-7.30                  ,-0.03                 ,-2.85                  ,-10.74                   ,-10.30               ,-5.61                ,-8.64                ,+11.98            ,3               ,53.20     ,61.10   ,50.65       ,50.65   ,0.70                 ,0.95           ,-0.75    ,-0.20 ,-0.61                   ,-2.24                    ,-5.28                    ,-5.48                 ,-26.24               ,+36.41               ,-14.31               ,+6.07             ,57.50      ,73.33     ,50.65    ,50.65  ,1.30         ,12.00            ,-0.35         ,1.11              ,--                   ,25.54                    ,17.10           ,50.18        ,26.02                ,1.77     ,51.99     ,55.94     ,56.85      ,53.22     ,56.53      ,26.10                ,40.62     ,26.29                   ,5.98 ,56.97               ,-5.70                     ,-7.60          ,56.40     ,58.50      ,52.60     ,55.13     ,56.97      ,36.01     ,41.67                ,25.97         ,10.36,-1.30      ,-4.30          ,-8.40                     ,53.39     ,56.92      ,55.49     ,37.69                ,15.45                   ,15.94   ,49.81                  ,-6.30          ,-4.10                     ,-493.14    , 
