Symbol,% Chg(Open),Last Trade,P/E (ttm),Market Cap,Description              ,Industry                                ,DM Average (ADX) 14 Day,% Change,% Total Return (YTD3),Volume    ,% Vol Over Yesterday's Vol,% Vol Over 5 Day Avg Vol, 
FLT   ,-5.44      ,142.62    ,31.61    ,13.80B    ,FLEETCOR TECHNOLOGIES INC,IT Services                             ,29.61                  ,-5.01   ,+31.56               ,7303065   ,413.31                    ,294.05                  , 
BWA   ,-2.94      ,38.92     ,73.35    ,8.59B     ,BORGWARNER INC           ,Auto Components                         ,17.81                  ,-3.52   ,-29.56               ,2722516   ,69.86                     ,136.62                  , 
CAL   ,-2.34      ,25.47     ,17.21    ,1.12B     ,CALERES INC              ,Specialty Retail                        ,22.60                  ,-2.64   ,+2.51                ,172229    ,46.62                     ,44.74                   , 
TLRD  ,-2.23      ,14.03     ,28.24    ,702.49M   ,TAILORED BRANDS INC      ,Specialty Retail                        ,40.21                  ,-2.57   ,-66.69               ,782022    ,65.19                     ,73.83                   , 
CBG   ,-1.85      ,32.90     ,19.95    ,11.39B    ,CBRE GROUP INC           ,Real Estate Management & Development    ,24.81                  ,-2.40   ,+26.83               ,3178366   ,82.84                     ,111.85                  , 
LULU  ,-1.66      ,49.66     ,23.04    ,6.48B     ,LULULEMON ATHLETICA INC  ,Textiles Apparel & Luxury Goods         ,29.60                  ,-2.47   ,-1.37                ,4830992   ,63.65                     ,28.06                   , 
THO   ,-1.60      ,92.50     ,16.33    ,4.97B     ,THOR INDUSTRIES INC      ,Automobiles                             ,36.13                  ,-2.11   ,+66.18               ,558428    ,73.54                     ,85.30                   , 
CHUBK ,-1.44      ,15.01     ,73.90    ,667.41M   ,COMMERCEHUB INC          ,Internet Software & Services            ,22.94                  ,-3.29   ,0.00                 ,116988    ,35.50                     ,73.57                   , 
MNRO  ,-1.37      ,50.35     ,25.92    ,1.67B     ,MONRO MUFFLER BRAKE INC  ,Specialty Retail                        ,20.51                  ,-1.56   ,-5.61                ,137524    ,23.46                     ,38.10                   , 
AAP   ,-1.35      ,142.97    ,23.47    ,10.74B    ,ADVANCE AUTO PARTS INC   ,Specialty Retail                        ,38.44                  ,-1.74   ,+17.76               ,560588    ,27.62                     ,50.33                   , 
KATE  ,-1.34      ,19.59     ,19.23    ,2.93B     ,KATE SPADE & CO          ,Textiles Apparel & Luxury Goods         ,31.84                  ,-14.10  ,-37.37               ,13617359  ,555.82                    ,382.32                  , 
MYL   ,-1.33      ,38.46     ,42.40    ,20.76B    ,MYLAN NV                 ,Pharmaceuticals                         ,25.19                  ,-1.41   ,-20.15               ,3712190   ,48.96                     ,51.37                   , 
KAR   ,-1.30      ,42.27     ,26.93    ,5.89B     ,KAR AUCTION SERVICES INC ,Commercial Services & Supplies          ,23.39                  ,-1.91   ,+57.37               ,1290850   ,133.40                    ,171.73                  , 
CAR   ,-1.25      ,27.65     ,15.98    ,2.39B     ,AVIS BUDGET GROUP INC    ,Road & Rail                             ,27.36                  ,-1.11   ,-39.26               ,1087140   ,35.30                     ,48.20                   , 
NWL   ,-1.18      ,46.40     ,37.63    ,22.66B    ,NEWELL BRANDS INC        ,Household Durables                      ,12.72                  ,-1.24   ,+66.56               ,1769857   ,47.90                     ,59.77                   , 
ALV   ,-1.03      ,97.37     ,15.68    ,8.89B     ,AUTOLIV INC              ,Auto Components                         ,22.17                  ,-3.30   ,+8.41                ,735676    ,96.07                     ,99.68                   , 
KMX   ,-1.01      ,55.80     ,17.96    ,10.60B    ,CARMAX INC               ,Specialty Retail                        ,45.65                  ,-1.54   ,+26.54               ,3295000   ,60.02                     ,107.59                  , 
WEX   ,-1.00      ,100.20    ,68.66    ,4.34B     ,WEX INC                  ,IT Services                             ,32.93                  ,-1.39   ,+8.89                ,433618    ,96.76                     ,141.99                  , 
AZO   ,-0.89      ,693.77    ,16.43    ,19.90B    ,AUTOZONE INC             ,Specialty Retail                        ,20.75                  ,-0.99   ,+34.62               ,327307    ,41.09                     ,78.43                   , 
FDS   ,-0.75      ,163.02    ,19.29    ,6.50B     ,FACTSET RESEARCH SYSTEMS ,Capital Markets                         ,25.33                  ,-0.73   ,+58.37               ,285266    ,67.96                     ,46.81                   , 
LKQ   ,-0.75      ,28.48     ,19.19    ,8.85B     ,LKQ CORP                 ,Distributors                            ,31.48                  ,-0.78   ,+11.08               ,1741985   ,58.85                     ,64.87                   , 
ADTN  ,-0.74      ,20.00     ,27.99    ,977.68M   ,ADTRAN INC               ,Communications Equipment                ,29.83                  ,-0.70   ,-9.98                ,112100    ,38.75                     ,30.79                   , 
MWA   ,-0.60      ,11.54     ,29.50    ,1.89B     ,MUELLER WATER PRODUCTS IN,Machinery                               ,29.74                  ,-0.69   ,+27.97               ,821224    ,39.33                     ,44.64                   , 
BF/B  ,-0.59      ,45.65     ,17.31    ,17.85B    ,BROWN FORMAN CORP        ,Beverages                               ,17.93                  ,-0.50   ,+7.29                ,355990    ,31.42                     ,44.53                   , 
ORLY  ,-0.58      ,256.50    ,24.11    ,23.71B    ,O'REILLY AUTOMOTIVE INC  ,Specialty Retail                        ,14.36                  ,-0.85   ,+81.85               ,841310    ,34.57                     ,72.98                   , 
SJM   ,-0.45      ,130.79    ,22.82    ,15.26B    ,SMUCKER (JM) CO          ,Food Products                           ,28.53                  ,-0.22   ,+44.27               ,753723    ,65.00                     ,57.61                   , 
NTGR  ,-0.41      ,48.30     ,21.64    ,1.60B     ,NETGEAR INC              ,Communications Equipment                ,41.40                  ,-0.82   ,+46.90               ,223736    ,39.19                     ,44.89                   , 
CBPX  ,-0.31      ,23.88     ,22.27    ,958.56M   ,CONTINENTAL BUILDING PROD,Building Products                       ,26.10                  ,-0.73   ,+30.04               ,190496    ,36.65                     ,42.54                   , 
FIS   ,-0.30      ,79.16     ,46.10    ,26.12B    ,FIDELITY NATIONAL INFO SV,IT Services                             ,28.97                  ,-0.35   ,+56.09               ,1196485   ,36.90                     ,60.75                   , 
PAYX  ,-0.24      ,58.17     ,26.56    ,20.99B    ,PAYCHEX INC              ,IT Services                             ,33.03                  ,-0.46   ,+52.76               ,894293    ,38.51                     ,24.67                   , 
NEWM  ,-0.22      ,13.82     ,19.79    ,740.05M   ,NEW MEDIA INVESTMENT GROU,Media                                   ,30.04                  ,-0.14   ,+16.19               ,154267    ,20.76                     ,32.42                   , 
WBA   ,-0.19      ,82.68     ,21.95    ,89.54B    ,WALGREENS BOOTS ALLIANCE ,Food & Staples Retailing                ,24.69                  ,-0.33   ,+32.79               ,1627418   ,49.56                     ,58.44                   , 
CVS   ,-0.14      ,77.90     ,15.90    ,80.84B    ,CVS HEALTH CORP          ,Food & Staples Retailing                ,27.57                  ,-0.19   ,+10.04               ,3419131   ,46.37                     ,61.47                   , 
CME   ,-0.10      ,117.27    ,25.94    ,39.91B    ,CME GROUP INC            ,Capital Markets                         ,32.06                  ,-0.20   ,+86.13               ,987179    ,40.33                     ,58.27                   , 
CDK   ,-0.08      ,64.08     ,36.58    ,9.35B     ,CDK GLOBAL INC           ,Software                                ,30.94                  ,-0.62   ,0.00                 ,458835    ,42.86                     ,49.05                   , 
SNCR  ,-0.04      ,23.51     ,52.38    ,1.08B     ,SYNCHRONOSS TECHNOLOGIES ,Software                                ,62.57                  ,-0.17   ,-28.84               ,485336    ,66.09                     ,63.76                   , 
MPG   ,0.00       ,22.25     ,16.01    ,1.51B     ,METALDYNE PERFORMANCE GRO,Auto Components                         ,24.26                  ,0.00    ,0.00                 ,125591    ,38.55                     ,91.30                   , 
GWW   ,+0.03      ,231.00    ,23.42    ,13.58B    ,GRAINGER (W W) INC       ,Trading Companies & Distributors        ,31.04                  ,-0.09   ,-2.20                ,453001    ,42.08                     ,53.91                   , 
CPB   ,+0.07      ,56.76     ,35.45    ,17.32B    ,CAMPBELL SOUP CO         ,Food Products                           ,38.70                  ,-0.23   ,+37.51               ,736074    ,34.97                     ,54.05                   , 
VRTU  ,+0.11      ,27.67     ,60.78    ,835.53M   ,VIRTUSA CORP             ,IT Services                             ,23.01                  ,-0.79   ,-9.82                ,676570    ,88.69                     ,126.27                  , 
USB   ,+0.15      ,51.47     ,15.91    ,87.29B    ,U S BANCORP              ,Banks                                   ,31.57                  ,-0.16   ,+28.94               ,2555594   ,34.32                     ,31.86                   , 
BUFF  ,+0.17      ,22.90     ,35.12    ,4.49B     ,BLUE BUFFALO PET PRODUCTS,Food Products                           ,38.41                  ,+0.31   ,0.00                 ,1230769   ,107.52                    ,151.70                  , 
GPC   ,+0.20      ,90.23     ,19.68    ,13.40B    ,GENUINE PARTS CO         ,Distributors                            ,26.35                  ,-0.12   ,+15.33               ,374622    ,28.79                     ,47.99                   , 
AYI   ,+0.31      ,175.22    ,29.49    ,9.00B     ,ACUITY BRANDS INC        ,Electrical Equipment                    ,19.90                  ,-14.14  ,+55.27               ,4457508   ,448.23                    ,596.92                  , 
XLNX  ,+0.45      ,57.23     ,25.08    ,14.23B    ,XILINX INC               ,Semiconductors & Semiconductor Equipment,15.30                  ,+0.08   ,+15.64               ,1438861   ,57.31                     ,49.89                   , 
XPER  ,+0.46      ,32.80     ,29.20    ,1.61B     ,XPERI CORPORATION        ,Semiconductors & Semiconductor Equipment,32.47                  ,+0.31   ,+56.70               ,273914    ,39.77                     ,41.28                   , 
INTU  ,+0.48      ,116.24    ,31.19    ,29.71B    ,INTUIT INC               ,Software                                ,33.20                  ,+0.06   ,+54.33               ,1108883   ,27.22                     ,31.05                   , 
SEE   ,+0.53      ,43.23     ,17.72    ,8.43B     ,SEALED AIR CORP          ,Containers & Packaging                  ,31.56                  ,-0.83   ,+37.75               ,872252    ,41.82                     ,41.97                   , 
AKAM  ,+1.83      ,59.26     ,32.46    ,10.06B    ,AKAMAI TECHNOLOGIES INC  ,Internet Software & Services            ,23.48                  ,+1.99   ,+2.56                ,3023632   ,85.83                     ,86.43                   , 
SAIC  ,+2.27      ,74.22     ,22.68    ,3.18B     ,SCIENCE APPLICATIONS INTL,IT Services                             ,28.47                  ,+1.62   ,+113.52              ,262689    ,35.20                     ,30.63                   , 
