Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
AAOI  ,-9.10      ,46.63     ,3986515  ,29.09    ,956.13M   ,236            ,-2.60                     ,37.44     ,52.41     ,2.28 ,-99.05      ,2.57                   ,1.97              ,47.35                  ,52.30                  ,Communications Equipment                      ,NASDAQ  ,APPLIED OPTOELECTRONICS I,Communications Equipment                  ,--      ,51.19         ,46.62 ,400     ,1941548      ,774693      ,205.33                  ,514.59                 ,No        ,51.30 ,51.55 ,46.67 ,65.35                 ,1689218       ,1187097    ,236.00                   ,335.82                ,No                ,Information Technology,--            ,51.19     ,46.50 ,200     ,1681095     ,210.09                    ,237.14                 ,106.25M        ,No                  ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,31.23M    ,260.71M,31.23M  ,18.68M            ,1.76    ,1.76      ,0.65      ,3.39        ,0.28      ,-0.14     ,-3.56     ,17.50                       ,11.98   ,93.92             ,-4.56 ,-10.29                 ,-2.12                      ,+20.00                 ,+28.44                  ,+304.54              ,0.00                 ,+403.59              ,+2.76     ,53.90        ,60.19    ,8.64                   ,46.61     ,8.08     ,97.43                   ,13.76                        ,-8.91   ,+0.11,+22.92                 ,-0.20                 ,-1.44                  ,+64.12                   ,+118.39              ,+127.60              ,+139.55              ,+15.90            ,4               ,59.41     ,60.19   ,50.56       ,46.61   ,-38.42               ,4.92           ,-4.67    ,+0.21,-1.37                   ,-1.11                    ,-2.74                    ,+11.34                ,+276.59              ,0.00                 ,+152.81              ,+10.48            ,60.19      ,60.19     ,50.56    ,21.88  ,5.05         ,100.00           ,-0.13         ,1.25              ,--                   ,29.09                    ,4.24            ,15.38        ,15.10                ,3.67     ,54.58     ,43.88     ,32.32      ,51.62     ,37.67      ,46.75                ,56.63     ,24.00                   ,0.95 ,59.81               ,-3.35                     ,24.39          ,41.39     ,25.65      ,53.05     ,45.22     ,35.57      ,53.17     ,60.69                ,2.56          ,28.40,3.46       ,15.07          ,28.77                     ,52.30     ,34.62      ,43.37     ,58.46                ,22.80                   ,47.20   ,44.78                  ,-5.93          ,19.40                     ,582.14    , 
AFSI  ,-7.54      ,20.27     ,6898221  ,9.22     ,3.76B     ,166            ,+12.48                    ,52.94     ,19.55     ,-1.04,-38.94      ,4.88                   ,-1.13             ,44.45                  ,19.35                  ,Insurance                                     ,NASDAQ  ,AMTRUST FINANCIAL SERVICE,Property & Casualty Insurance             ,0.68    ,21.95         ,20.26 ,1600    ,4626715      ,1236114     ,149.10                  ,558.06                 ,No        ,21.92 ,21.95 ,20.27 ,42.55                 ,3497228       ,1795544    ,197.25                   ,384.19                ,No                ,Financials            ,3.10          ,21.95     ,20.18 ,2900    ,3302782     ,41.79                     ,208.86                 ,96.92M         ,No                  ,D  ,--       ,A                  ,100.00         ,--                    ,--              ,--                     ,--              ,4                 ,1.00              ,482.24M   ,5.45B  ,482.24M ,171.08M           ,2.38    ,2.38      ,2.80      ,2.78        ,2.72      ,1.78      ,1.17      ,10.00                       ,8.49    ,--                ,-1.68 ,+2.00                  ,+13.45                     ,-3.50                  ,-9.42                   ,-32.07               ,+83.35               ,-23.00               ,+0.99     ,22.63        ,22.97    ,6.53                   ,16.57     ,16.58    ,95.12                   ,-8.23                        ,-7.67   ,-0.03,-7.28                  ,+0.09                 ,+2.27                  ,-13.75                   ,-19.10               ,+4.88                ,-31.96               ,+19.16            ,1               ,22.63     ,27.93   ,20.39       ,16.57   ,-3.60                ,1.68           ,-1.65    ,-0.14,+2.44                   ,+2.60                    ,+11.53                   ,-2.28                 ,-26.65               ,+27.39               ,-29.68               ,0.00              ,22.63      ,28.48     ,18.19    ,16.57  ,1.77         ,1.00             ,-0.09         ,0.40              ,--                   ,9.22                     ,2.46            ,--           ,7.91                 ,0.69     ,18.93     ,23.31     ,25.28      ,19.93     ,23.94      ,66.81                ,41.67     ,27.44                   ,61.06,23.04               ,-0.18                     ,-6.79          ,23.91     ,25.43      ,18.60     ,22.22     ,24.29      ,42.29     ,45.06                ,17.50         ,60.46,-1.55      ,-6.53          ,-5.55                     ,19.35     ,25.08      ,22.72     ,47.21                ,39.08                   ,49.04   ,15.66                  ,-1.56          ,-4.91                     ,-759.72   , 
TASR  ,-6.98      ,21.72     ,8743972  ,68.75    ,1.15B     ,172            ,-1.99                     ,31.15     ,22.63     ,-0.53,-77.96      ,24.40                  ,-31.76            ,26.77                  ,22.65                  ,Aerospace & Defense                           ,NGM/NGS ,TASER INTERNATIONAL INC  ,Aerospace & Defense                       ,--      ,22.00         ,21.71 ,200     ,811150       ,1034503     ,1077.97                 ,845.23                 ,No        ,23.35 ,23.39 ,21.72 ,81.44                 ,797845        ,889161     ,1095.95                  ,983.40                ,No                ,Industrials           ,--            ,22.00     ,21.18 ,400     ,854564      ,795.01                    ,1023.21                ,18.33M         ,Yes                 ,F  ,--       ,B-                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,9                 ,2.00              ,17.30M    ,268.24M,17.30M  ,52.34M            ,0.32    ,0.32      ,0.36      ,0.42        ,0.37      ,0.34      ,0.27      ,30.00                       ,6.45    ,383.76            ,-0.28 ,-1.06                  ,-2.89                      ,-2.73                  ,-10.10                  ,-5.47                ,+425.12              ,-8.40                ,+0.62     ,22.64        ,23.63    ,6.76                   ,21.97     ,17.18    ,75.60                   ,4.13                         ,-1.27   ,+1.35,-2.68                  ,-0.04                 ,-0.67                  ,-11.02                   ,-9.24                ,+24.60               ,-5.98                ,+11.24            ,4               ,23.34     ,27.56   ,21.97       ,21.97   ,-4.00                ,1.67           ,-1.63    ,+6.14,-0.45                   ,-0.65                    ,-2.96                    ,-2.47                 ,+16.10               ,+186.67              ,-20.34               ,+6.81             ,23.63      ,30.15     ,21.97    ,21.97  ,2.21         ,16.00            ,-0.54         ,2.95              ,--                   ,68.75                    ,9.20            ,0.08         ,52.59                ,4.29     ,22.53     ,24.33     ,24.65      ,22.82     ,24.34      ,34.20                ,42.14     ,28.97                   ,22.04,23.39               ,-0.49                     ,-2.55          ,24.42     ,25.54      ,22.62     ,23.74     ,24.42      ,38.34     ,42.84                ,40.06         ,17.44,-0.56      ,-5.09          ,-2.55                     ,22.65     ,25.03      ,23.93     ,39.48                ,12.40                   ,30.98   ,21.92                  ,-0.65          ,-4.92                     ,-6030.83  , 
BEAT  ,-6.08      ,27.05     ,449482   ,16.34    ,803.29M   ,55             ,+0.70                     ,45.43     ,27.71     ,0.74 ,-59.76      ,--                     ,-1.53             ,27.75                  ,27.47                  ,Health Care Providers & Services              ,NASDAQ  ,BIOTELEMETRY INC         ,Health Care Services                      ,--      ,28.60         ,27.05 ,300     ,376221       ,327048      ,119.47                  ,137.44                 ,No        ,28.80 ,29.00 ,27.10 ,83.87                 ,398437        ,336309     ,112.81                   ,133.65                ,No                ,Health Care           ,--            ,28.60     ,27.05 ,600     ,379141      ,148.14                    ,118.55                 ,10.83M         ,Yes                 ,A  ,--       ,B-                 ,75.00          ,25.00                 ,--              ,--                     ,--              ,4                 ,1.25              ,53.44M    ,198.40M,53.44M  ,28.09M            ,1.75    ,1.75      ,0.26      ,0.89        ,-0.37     ,-0.29     ,-0.49     ,16.43                       ,26.93   ,182.52            ,-1.55 ,-1.90                  ,+4.10                      ,+6.50                  ,+14.92                  ,+227.12              ,+839.94              ,+77.61               ,+0.97     ,28.79        ,29.50    ,0.50                   ,25.30     ,10.96    ,100.00                  ,2.27                         ,-5.42   ,+0.20,+4.70                  ,-0.07                 ,+1.36                  ,+29.40                   ,+27.96               ,+186.92              ,+29.53               ,+49.75            ,1               ,29.50     ,29.50   ,28.25       ,25.30   ,-16.09               ,1.95           ,-1.75    ,+0.70,+0.20                   ,+1.13                    ,+5.01                    ,+3.71                 ,+147.86              ,+1091.36             ,+55.90               ,+33.07            ,29.50      ,29.50     ,28.20    ,21.05  ,1.95         ,96.00            ,0.00          ,0.70              ,--                   ,16.34                    ,12.56           ,17.30        ,31.99                ,4.05     ,28.05     ,25.72     ,22.45      ,27.45     ,23.97      ,63.29                ,57.35     ,24.38                   ,40.24,29.47               ,3.05                      ,4.55           ,25.11     ,20.93      ,27.66     ,25.91     ,23.34      ,55.79     ,61.87                ,1.61          ,63.41,0.80       ,3.20           ,5.85                      ,27.47     ,23.39      ,25.46     ,62.84                ,25.17                   ,74.93   ,25.47                  ,1.55           ,4.70                      ,-91.76    , 
IPHS  ,-6.00      ,49.03     ,180720   ,21.40    ,1.02B     ,50             ,-0.29                     ,26.12     ,52.69     ,-0.11,-94.45      ,9.32                   ,-3.48             ,21.33                  ,53.13                  ,Chemicals                                     ,NASDAQ  ,INNOPHOS HOLDINGS INC    ,Specialty Chemicals                       ,1.92    ,52.22         ,48.91 ,200     ,114400       ,128681      ,157.97                  ,140.44                 ,No        ,52.16 ,52.24 ,48.98 ,94.91                 ,103840        ,113722     ,174.04                   ,158.91                ,No                ,Materials             ,3.70          ,52.22     ,48.70 ,300     ,102513      ,133.17                    ,176.29                 ,6.06M          ,Yes                 ,B  ,--       ,B                  ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,47.97M    ,725.34M,47.97M  ,19.48M            ,2.44    ,2.44      ,1.29      ,2.57        ,2.91      ,2.21      ,3.30      ,9.75                        ,6.61    ,549.92            ,-3.19 ,-4.96                  ,-1.71                      ,+2.58                  ,+1.20                   ,+5.18                ,+28.95               ,+31.79               ,+0.79     ,53.18        ,54.98    ,5.98                   ,51.70     ,30.98    ,90.68                   ,8.22                         ,-6.11   ,-0.06,-3.61                  ,-0.09                 ,-1.16                  ,+5.20                    ,+0.83                ,+7.90                ,+4.20                ,+14.10            ,1               ,54.61     ,58.22   ,51.97       ,51.70   ,-17.72               ,3.21           ,-3.13    ,-0.11,-0.15                   ,-0.91                    ,-2.17                    ,+0.62                 ,+82.35               ,+15.51               ,+40.86               ,+7.31             ,54.98      ,58.22     ,51.70    ,47.00  ,3.54         ,50.00            ,-0.33         ,0.92              ,--                   ,21.40                    ,4.65            ,53.28        ,20.34                ,1.40     ,52.94     ,51.69     ,50.83      ,52.74     ,50.70      ,41.46                ,47.40     ,29.56                   ,5.55 ,55.39               ,-1.41                     ,-2.00          ,51.53     ,46.84      ,53.06     ,52.23     ,50.01      ,42.81     ,52.39                ,40.20         ,16.88,0.33       ,1.53           ,0.18                      ,53.13     ,52.26      ,51.97     ,50.32                ,12.61                   ,39.98   ,50.87                  ,-4.13          ,4.18                      ,-54.80    , 
YIN   ,-4.85      ,20.11     ,210047   ,9.38     ,1.23B     ,32             ,+1.89                     ,48.11     ,20.46     ,0.65 ,-79.77      ,3.44                   ,0.77              ,47.22                  ,20.32                  ,Capital Markets                               ,NASDAQ  ,YINTECH INVST HLDGS LTD -,Investment Banking & Brokerage            ,0.80    ,21.20         ,20.07 ,100     ,143960       ,75750       ,145.91                  ,277.29                 ,No        ,21.14 ,21.36 ,20.15 ,8.49                  ,193736        ,111280     ,108.42                   ,188.76                ,No                ,Financials            ,3.80          ,21.20     ,20.07 ,600     ,193133      ,101.31                    ,108.76                 ,3.02M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,139.50M   ,386.38M,139.50M ,58.24M            ,2.26    ,2.26      ,1.15      ,2.62        ,1.45      ,0.32      ,--        ,--                          ,5.47    ,--                ,-1.09 ,-0.47                  ,+4.36                      ,+3.19                  ,+16.72                  ,0.00                 ,0.00                 ,+59.15               ,0.00      ,21.79        ,22.97    ,1.61                   ,18.51     ,10.92    ,96.56                   ,3.46                         ,-5.12   ,-0.06,+3.93                  ,-0.04                 ,+1.07                  ,+17.69                   ,+34.29               ,0.00                 ,+33.15               ,+52.64            ,2               ,21.79     ,22.97   ,21.02       ,18.45   ,-9.15                ,1.25           ,-1.03    ,-0.28,+0.39                   ,+0.88                    ,+5.32                    ,+3.04                 ,0.00                 ,0.00                 ,+17.78               ,+41.22            ,22.97      ,22.97     ,20.50    ,16.00  ,1.29         ,95.00            ,-0.04         ,0.40              ,--                   ,9.38                     ,5.55            ,--           ,8.09                 ,3.20     ,20.68     ,18.56     ,17.98      ,20.22     ,--         ,63.18                ,--        ,17.09                   ,20.23,22.35               ,1.97                      ,3.33           ,18.32     ,17.32      ,20.81     ,19.11     ,--         ,--        ,50.00                ,30.51         ,43.01,0.75       ,3.40           ,4.31                      ,20.32     ,17.89      ,--        ,50.00                ,32.09                   ,50.48   ,18.28                  ,1.25           ,4.33                      ,22.49     , 
CYTK  ,-4.64      ,11.30     ,232519   ,30.26    ,510.24M   ,17             ,-3.59                     ,32.72     ,12.31     ,0.08 ,-100.00     ,--                     ,-18.57            ,18.67                  ,12.65                  ,Biotechnology                                 ,NCM     ,CYTOKINETICS INC         ,Biotechnology                             ,--      ,11.80         ,11.30 ,1200    ,348195       ,332100      ,66.78                   ,70.01                  ,No        ,11.85 ,12.15 ,11.35 ,45.65                 ,453737        ,333860     ,51.25                    ,69.65                 ,No                ,Health Care           ,--            ,11.80     ,11.30 ,8900    ,450677      ,51.64                     ,51.59                  ,4.33M          ,No                  ,C  ,--       ,C                  ,71.43          ,28.57                 ,--              ,--                     ,--              ,7                 ,1.29              ,16.45M    ,106.41M,16.45M  ,43.24M            ,0.39    ,0.39      ,-0.97     ,-2.64       ,-0.41     ,-1.24     ,-2.30     ,10.00                       ,15.46   ,837.85            ,-0.50 ,-1.75                  ,-6.68                      ,+0.72                  ,+0.84                   ,+89.53               ,+86.23               ,+35.41               ,+1.75     ,12.40        ,13.70    ,1.55                   ,11.60     ,7.13     ,100.00                  ,10.53                        ,-4.24   ,+0.05,-1.00                  ,-0.10                 ,-0.80                  ,+6.53                    ,-2.88                ,+35.26               ,+5.76                ,+20.19            ,1               ,13.05     ,13.70   ,11.60       ,11.35   ,-4.17                ,0.85           ,-0.55    ,+0.42,-0.44                   ,-0.85                    ,-6.38                    ,+0.10                 ,+82.27               ,+87.87               ,+39.98               ,+11.53            ,13.70      ,13.70     ,11.60    ,9.80   ,0.85         ,61.00            ,0.00          ,1.30              ,--                   ,30.26                    ,5.09            ,29.02        ,--                   ,4.80     ,12.41     ,11.67     ,11.28      ,12.29     ,11.51      ,38.78                ,49.20     ,27.42                   ,--   ,13.64               ,0.30                      ,-1.75          ,11.60     ,10.85      ,12.49     ,11.95     ,11.36      ,46.74     ,51.02                ,23.66         ,14.58,0.25       ,-0.40          ,-1.20                     ,12.65     ,11.67      ,11.85     ,49.52                ,16.93                   ,31.65   ,11.65                  ,-1.05          ,0.15                      ,-1024.74  , 
TTMI  ,-4.09      ,16.42     ,1235459  ,50.18    ,1.74B     ,88             ,+4.51                     ,55.60     ,16.09     ,0.09 ,-40.19      ,--                     ,7.12              ,13.64                  ,15.99                  ,Electronic Equipment Instruments & Components ,NGM/NGS ,TTM TECHNOLOGIES INC     ,Electronic Manufacturering Services       ,--      ,17.06         ,16.42 ,100     ,1560221      ,1901612     ,79.18                   ,64.97                  ,No        ,17.12 ,17.27 ,16.43 ,90.65                 ,1222928       ,1648112    ,101.02                   ,74.96                 ,No                ,Information Technology,--            ,17.05     ,16.42 ,500     ,1227113     ,37.06                     ,100.68                 ,25.69M         ,Yes                 ,B  ,--       ,B-                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,3                 ,2.00              ,35.58M    ,2.53B  ,35.58M  ,101.74M           ,0.34    ,0.34      ,-0.28     ,1.58        ,0.18      ,0.26      ,-2.13     ,13.00                       ,1.38    ,89.33             ,-0.63 ,+0.30                  ,+6.65                      ,+2.84                  ,+9.32                   ,+79.02               ,+40.14               ,+114.21              ,+1.49     ,17.23        ,17.23    ,0.59                   ,15.18     ,6.22     ,100.00                  ,-2.72                        ,-3.70   ,+0.07,+2.64                  ,+0.04                 ,+1.08                  ,+19.95                   ,+25.17               ,+90.89               ,+18.34               ,+4.34             ,11              ,17.23     ,17.86   ,15.97       ,15.18   ,-10.20               ,0.85           ,-0.70    ,+0.41,+0.74                   ,+1.06                    ,+6.77                    ,+1.45                 ,+142.56              ,+112.24              ,+40.87               ,+1.38             ,17.23      ,17.86     ,15.58    ,13.31  ,0.85         ,89.00            ,0.00          ,2.16              ,--                   ,50.18                    ,5.33            ,109.64       ,10.80                ,0.69     ,16.00     ,16.02     ,14.52      ,16.07     ,14.83      ,67.33                ,56.40     ,18.60                   ,59.81,16.70               ,0.96                      ,2.83           ,15.76     ,12.64      ,15.97     ,15.75     ,14.45      ,55.32     ,59.32                ,20.13         ,65.01,0.01       ,1.23           ,3.50                      ,15.99     ,14.95      ,15.59     ,59.95                ,27.97                   ,67.81   ,15.28                  ,0.29           ,1.88                      ,1340.98   , 
FNSR  ,-3.92      ,25.48     ,3239460  ,22.54    ,2.95B     ,130            ,-1.62                     ,27.17     ,27.78     ,-1.26,-98.36      ,5.92                   ,-12.37            ,30.18                  ,27.65                  ,Communications Equipment                      ,NCM     ,FINISAR CORP             ,Communications Equipment                  ,--      ,26.48         ,25.47 ,100     ,3549555      ,2911746     ,91.26                   ,111.25                 ,No        ,26.52 ,26.59 ,25.48 ,98.03                 ,5954080       ,3848089    ,54.41                    ,84.18                 ,No                ,Information Technology,--            ,26.48     ,25.41 ,400     ,5592342     ,169.52                    ,57.93                  ,97.43M         ,No                  ,C  ,--       ,B                  ,69.23          ,23.08                 ,7.69            ,--                     ,--              ,13                ,1.38              ,35.19M    ,1.26B  ,35.19M  ,111.39M           ,1.17    ,0.32      ,0.11      ,2.07        ,1.09      ,-0.06     ,0.46      ,15.00                       ,2.79    ,94.27             ,-1.00 ,-1.91                  ,-4.25                      ,-4.09                  ,-13.20                  ,+28.12               ,+35.68               ,+56.14               ,+1.41     ,27.21        ,35.25    ,10.26                  ,25.61     ,15.21    ,94.08                   ,7.84                         ,-3.78   ,+0.04,-5.04                  ,-0.09                 ,-2.23                  ,-13.39                   ,-12.52               ,+3.13                ,-9.68                ,+10.41            ,3               ,29.01     ,36.40   ,26.41       ,25.61   ,-10.20               ,1.11           ,-1.04    ,+0.15,-0.44                   ,-1.17                    ,-7.77                    ,-4.03                 ,+49.89               ,+107.28              ,-8.26                ,+6.63             ,35.25      ,36.85     ,26.41    ,25.61  ,1.18         ,11.00            ,-0.07         ,0.97              ,--                   ,82.75                    ,2.74            ,19.78        ,12.79                ,2.34     ,27.61     ,30.77     ,30.59      ,28.25     ,29.63      ,32.12                ,43.56     ,37.31                   ,1.64 ,31.39               ,-8.21                     ,-3.13          ,30.54     ,27.27      ,27.48     ,29.73     ,29.25      ,39.16     ,44.93                ,45.97         ,14.47,-1.18      ,-5.42          ,-2.48                     ,27.65     ,30.96      ,29.87     ,41.14                ,13.81                   ,33.17   ,23.91                  ,-8.88          ,-3.65                     ,-6111.32  , 
OCLR  ,-3.89      ,8.89      ,7408798  ,27.51    ,1.52B     ,64             ,-3.83                     ,36.73     ,9.53      ,0.03 ,-98.22      ,6.12                   ,-12.83            ,12.97                  ,9.40                   ,Communications Equipment                      ,NASDAQ  ,OCLARO INC               ,Communications Equipment                  ,--      ,9.14          ,8.89  ,6900    ,8669666      ,7172715     ,85.46                   ,103.29                 ,No        ,9.25  ,9.35  ,8.90  ,71.50                 ,10800172      ,9559033    ,68.60                    ,77.51                 ,No                ,Information Technology,--            ,9.14      ,8.86  ,2900    ,10536685    ,97.19                     ,70.31                  ,85.09M         ,No                  ,C  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,8.58M     ,407.91M,8.58M   ,166.59M           ,0.33    ,0.08      ,-0.53     ,0.74        ,0.18      ,-1.40     ,-1.32     ,17.50                       ,2.10    ,241.51            ,-0.25 ,-0.99                  ,-2.72                      ,+0.1347                ,-2.65                   ,+395.96              ,+149.24              ,+101.23              ,+1.74     ,9.58         ,10.55    ,1.95                   ,8.02      ,4.25     ,93.88                   ,8.66                         ,-2.74   ,+0.11,+0.08                  ,-0.13                 ,-0.2755                ,+1.50                    ,+2.12                ,+216.77              ,+9.72                ,+16.28            ,9               ,10.55     ,11.30   ,9.10        ,8.02    ,-4.61                ,0.46           ,-0.36    ,+1.20,-0.364                  ,-0.256                   ,-2.93                    ,-0.2489               ,+81.85               ,+679.37              ,+14.85               ,+10.28            ,10.55      ,11.30     ,9.10     ,8.02   ,0.49         ,75.00            ,-0.03         ,1.18              ,--                   ,117.82                   ,6.22            ,38.51        ,12.30                ,3.73     ,9.74      ,9.59      ,9.03       ,9.51      ,9.09       ,40.59                ,49.18     ,28.71                   ,1.78 ,10.58               ,-0.32                     ,0.62           ,9.46      ,8.19       ,9.66      ,9.42      ,8.92       ,46.89     ,50.14                ,10.79         ,28.16,0.08       ,-0.41          ,0.80                      ,9.40      ,9.24       ,9.37      ,48.39                ,23.11                   ,49.85   ,8.21                   ,-0.27          ,-0.26                     ,-17756.54 , 
