Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
CLF   ,-5.69      ,8.28      ,17576678  ,9.89     ,2.55B     ,96             ,+3.34                     ,39.24     ,8.57      ,-0.40,-67.58      ,--                     ,-19.76            ,31.55                  ,8.66                   ,Metals & Mining                                    ,NYSE    ,CLIFFS NATURAL RESOURCES ,Steel                                ,--      ,8.61          ,8.28  ,1600    ,12712112     ,16046205    ,138.27                  ,109.54                 ,No        ,8.78  ,9.0601,8.29  ,47.20                 ,14891821      ,19249655   ,118.03                   ,91.31                 ,No                ,Materials             ,--            ,8.61      ,8.28  ,5900    ,14866847    ,160.89                    ,118.23                 ,105.61M        ,No                  ,B  ,*****    ,C                  ,12.50          ,12.50                 ,62.50           ,12.50                  ,--              ,8                 ,2.75              ,199.30M   ,2.11B  ,199.30M ,296.4M            ,0.87    ,0.87      ,-5.13     ,1.40        ,-47.52    ,2.08      ,-6.32     ,2.00                        ,8.26    ,721.52            ,-0.33 ,+0.01                  ,-0.56                      ,+0.1985                ,-9.04                   ,+70.69               ,-86.81               ,+44.80               ,+1.85     ,8.63         ,10.08    ,3.3099                 ,7.70      ,2.77     ,100.00                  ,2.79                         ,-3.83   ,+0.17,-0.31                  ,+0.01                 ,-0.1768                ,+2.36                    ,+2.38                ,-58.58               ,-2.38                ,-9.54             ,31              ,8.63      ,12.37   ,8.22        ,7.70    ,-5.51                ,0.7801         ,-0.50    ,+1.97,+0.278                  ,-0.0485                  ,-2.01                    ,-0.8556               ,+173.67              ,-54.26               ,+40.34               ,+9.82             ,9.92       ,12.37     ,8.11     ,7.70   ,0.7801       ,23.00            ,0.00          ,0.42              ,--                   ,9.89                     ,--              ,-166.37      ,6.16                 ,1.21     ,8.29      ,9.57      ,8.69       ,8.73      ,8.81       ,46.28                ,47.98     ,23.43                   ,32.42,9.59                ,-0.82                     ,-0.14          ,9.52      ,7.73       ,8.51      ,9.13      ,8.60       ,44.57     ,49.15                ,11.39         ,33.18,-0.42      ,-0.82          ,0.14                      ,8.66      ,9.27       ,9.12      ,46.45                ,18.64                   ,29.38   ,7.73                   ,-0.81          ,-0.49                     ,-39982.66 , 
SID   ,-5.54      ,2.90      ,1459731   ,11.00    ,4.13B     ,26             ,+2.33                     ,34.15     ,3.12      ,-0.19,-91.03      ,--                     ,-12.79            ,33.04                  ,3.21                   ,Metals & Mining                                    ,NYSE    ,COMPANHIA SIDERURGICA NAC,Steel                                ,--      ,2.99          ,2.90  ,30900   ,2673356      ,2506270     ,54.60                   ,58.24                  ,No        ,3.07  ,3.07  ,2.91  ,11.68                 ,2486687       ,2310398    ,58.70                    ,63.18                 ,No                ,Materials             ,--            ,2.99      ,2.90  ,14300   ,2527562     ,70.78                     ,57.75                  ,7.88M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,20.00           ,60.00                  ,20.00           ,5                 ,4.00              ,484.21M   ,4.59B  ,484.21M ,1.39B             ,0.27    ,0.36      ,-0.02     ,--          ,0.10      ,-0.09     ,0.76      ,-9.06                       ,3.16    ,--                ,-0.09 ,-0.04                  ,-6.94                      ,-0.4169                ,-17.20                  ,+73.81               ,-59.71               ,+19.18               ,+2.42     ,2.99         ,3.77     ,1.17                   ,2.83      ,1.73     ,100.00                  ,8.32                         ,-3.01   ,+0.08,-0.49                  ,-0.06                 ,-0.2782                ,-12.24                   ,-7.43                ,-27.95               ,-9.60                ,+21.28            ,0               ,3.11      ,4.23    ,2.87        ,2.83    ,-1.17                ,0.17           ,-0.17    ,+2.68,+0.068                  ,-0.223                   ,-8.51                    ,-0.6211               ,+48.22               ,-20.38               ,+5.80                ,+2.54             ,3.65       ,4.24      ,2.83     ,2.83   ,0.17         ,11.00            ,0.00          ,0.47              ,--                   ,8.37                     ,7.29            ,370.98       ,--                   ,0.90     ,3.02      ,3.57      ,3.45       ,3.19      ,3.40       ,37.62                ,45.28     ,26.63                   ,8.97 ,3.67                ,-0.60                     ,-0.64          ,3.61      ,3.23       ,3.14      ,3.40      ,3.36       ,41.76     ,46.04                ,35.50         ,11.61,-0.17      ,-0.71          ,-0.47                     ,3.21      ,3.50       ,3.42      ,42.95                ,12.68                   ,10.30   ,2.76                   ,-0.40          ,-0.56                     ,-4271.86  , 
VALE  ,-4.76      ,9.60      ,24799697  ,13.37    ,50.39B    ,84             ,+2.75                     ,46.82     ,9.67      ,-0.14,-51.08      ,1.96                   ,-5.44             ,20.64                  ,9.71                   ,Metals & Mining                                    ,NYSE    ,VALE SA                  ,Steel                                ,0.34    ,9.86          ,9.59  ,16200   ,23778926     ,30198673    ,104.29                  ,82.12                  ,No        ,10.08 ,10.10 ,9.60  ,45.67                 ,28089968      ,28667792   ,88.29                    ,86.51                 ,No                ,Materials             ,3.40          ,9.86      ,9.59  ,10900   ,27397585    ,103.70                    ,90.52                  ,228.21M        ,No                  ,-- ,***      ,--                 ,14.29          ,10.71                 ,57.14           ,3.57                   ,14.29           ,28                ,2.93              ,3.80B     ,27.02B ,3.80B   ,5.24B             ,0.74    ,0.74      ,-2.45     ,--          ,0.05      ,0.01      ,0.55      ,33.13                       ,4.02    ,--                ,-0.26 ,+0.05                  ,+1.58                      ,+1.3359                ,-0.80                   ,+78.08               ,-48.72               ,+88.83               ,+1.63     ,9.90         ,10.80    ,1.60                   ,8.69      ,3.85     ,98.04                   ,0.58                         ,-2.64   ,+0.22,+1.71                  ,0.00                  ,+0.1386                ,+15.67                   ,+29.40               ,-22.39               ,+24.67               ,+9.57             ,2               ,9.90      ,11.70   ,9.47        ,8.69    ,-5.74                ,0.50           ,-0.48    ,+2.23,+0.264                  ,+0.153                   ,+1.43                    ,-0.0797               ,+126.96              ,-34.54               ,+73.73               ,+3.70             ,10.80      ,11.70     ,9.24     ,7.84   ,0.51         ,94.00            ,-0.01         ,0.57              ,--                   ,13.37                    ,1.58            ,71.12        ,--                   ,1.91     ,9.50      ,10.15     ,8.85       ,9.73      ,9.13       ,53.81                ,52.06     ,26.48                   ,48.92,10.47               ,-0.07                     ,1.38           ,10.09     ,7.48       ,9.66      ,9.74      ,8.85       ,49.58     ,53.28                ,9.25          ,47.43,-0.16      ,-0.03          ,1.87                      ,9.71      ,9.31       ,9.65      ,51.50                ,22.00                   ,43.35   ,8.94                   ,0.14           ,0.30                      ,-20471.34 , 
BSBR  ,-4.27      ,8.52      ,5105430   ,15.83    ,33.30B    ,69             ,+0.34                     ,22.28     ,9.32      ,-0.49,-98.52      ,7.32                   ,-39.93            ,37.21                  ,9.64                   ,Banks                                              ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.81          ,8.52  ,3000    ,3806762      ,1534134     ,134.11                  ,332.79                 ,No        ,8.90  ,8.90  ,8.53  ,0.63                  ,2673032       ,1779673    ,191.00                   ,286.87                ,No                ,Financials            ,4.90          ,8.81      ,8.49  ,1500    ,2517076     ,229.23                    ,202.83                 ,33.53M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,66.67                  ,33.33           ,6                 ,4.33              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.23                        ,5.89    ,--                ,-0.29 ,-0.28                  ,-8.61                      ,-0.1079                ,-13.23                  ,+135.11              ,+42.89               ,+62.52               ,+1.58     ,8.91         ,11.19    ,2.85                   ,8.63      ,4.41     ,92.68                   ,10.81                        ,-3.29   ,+0.09,-0.75                  ,-0.03                 ,-1.0295                ,-1.21                    ,+3.30                ,+91.34               ,+3.42                ,+8.49             ,0               ,9.02      ,11.75   ,8.69        ,8.63    ,-4.08                ,0.38           ,-0.38    ,+1.02,+0.03                   ,-0.8295                  ,-10.46                   ,-1.3434               ,+99.21               ,+72.49               ,+37.22               ,+1.12             ,10.64      ,11.75     ,8.63     ,8.63   ,0.41         ,27.00            ,-0.03         ,0.68              ,--                   ,15.83                    ,2.01            ,--           ,--                   ,2.44     ,9.10      ,10.30     ,9.14       ,9.51      ,9.36       ,26.24                ,45.38     ,35.28                   ,1.48 ,10.94               ,-2.03                     ,-0.74          ,10.20     ,8.05       ,9.44      ,9.81      ,9.13       ,39.04     ,46.83                ,62.15         ,7.72 ,-0.37      ,-1.59          ,-0.27                     ,9.64      ,9.39       ,9.76      ,41.06                ,8.23                    ,9.46    ,8.34                   ,-1.85          ,-1.43                     ,-19234.35 , 
UVE   ,-4.15      ,23.10     ,149895    ,8.58     ,842.39M   ,22             ,+0.08                     ,31.74     ,24.09     ,-0.57,-97.67      ,2.38                   ,-2.47             ,25.95                  ,24.16                  ,Insurance                                          ,NYSE    ,UNIVERSAL INSURANCE HLDGS,Property & Casualty Insurance        ,0.69    ,23.95         ,23.10 ,400     ,176639       ,324959      ,84.86                   ,46.13                  ,No        ,24.10 ,24.13 ,23.15 ,77.25                 ,186865        ,208400     ,80.22                    ,71.93                 ,No                ,Financials            ,2.90          ,23.95     ,23.08 ,200     ,188016      ,67.69                     ,79.72                  ,4.24M          ,Yes                 ,D  ,--       ,B+                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,99.41M    ,685.29M,99.41M  ,35.17M            ,2.79    ,2.79      ,2.97      ,3.25        ,2.08      ,1.56      ,0.75      ,--                          ,14.51   ,1418.82           ,-0.85 ,-1.50                  ,-0.86                      ,-1.01                  ,-8.25                   ,+1.62                ,+709.10              ,+34.75               ,+1.82     ,24.30        ,26.35    ,5.08                   ,23.05     ,16.32    ,97.62                   ,3.48                         ,-3.55   ,+0.15,-5.45                  ,-0.03                 ,-0.46                  ,-4.06                    ,-15.23               ,+111.62              ,-13.28               ,+29.93            ,1               ,25.20     ,29.20   ,23.72       ,23.05   ,-6.76                ,1.03           ,-1.00    ,+0.63,+0.02                   ,-0.21                    ,-1.90                    ,-2.15                 ,+41.72               ,+483.27              ,-1.20                ,+9.68             ,25.85      ,29.20     ,23.72    ,23.05  ,1.05         ,8.00             ,-0.03         ,0.37              ,--                   ,8.58                     ,2.27            ,3.47         ,7.37                 ,1.23     ,23.88     ,25.57     ,25.14      ,24.30     ,25.10      ,41.80                ,44.51     ,26.39                   ,2.33 ,25.30               ,-1.55                     ,-4.50          ,25.88     ,23.87      ,23.90     ,25.12     ,24.92      ,39.86     ,46.64                ,17.60         ,24.18,-0.60      ,-2.85          ,-3.80                     ,24.16     ,25.89      ,25.21     ,43.29                ,18.49                   ,39.03   ,23.01                  ,-2.40          ,-2.85                     ,-65.34    , 
CMRE  ,-4.10      ,6.32      ,348296    ,8.33     ,598.01M   ,30             ,+0.46                     ,47.44     ,6.42      ,0.09 ,-58.73      ,3.57                   ,3.21              ,15.90                  ,6.42                   ,Marine                                             ,NYSE    ,COSTAMARE INC            ,Marine                               ,0.40    ,6.54          ,6.31  ,400     ,495074       ,776006      ,70.35                   ,44.88                  ,No        ,6.59  ,6.59  ,6.32  ,18.72                 ,821375        ,881640     ,42.40                    ,39.51                 ,No                ,Industrials           ,6.10          ,6.54      ,6.31  ,1600    ,832758      ,91.27                     ,41.82                  ,3.26M          ,No                  ,C  ,--       ,--                 ,12.50          ,25.00                 ,50.00           ,12.50                  ,--              ,8                 ,2.63              ,81.70M    ,468.19M,81.70M  ,91.44M            ,0.79    ,0.79      ,1.68      ,0.88        ,1.38      ,1.36      ,1.20      ,5.00                        ,17.45   ,234.09            ,-0.22 ,-0.32                  ,+1.95                      ,+0.0785                ,+7.40                   ,-54.68               ,-29.63               ,-7.86                ,+2.08     ,6.54         ,7.06     ,4.41                   ,5.80      ,5.07     ,96.43                   ,2.24                         ,-3.36   ,+0.05,+0.66                  ,-0.05                 ,+0.1409                ,+1.21                    ,+18.71               ,-60.73               ,+20.88               ,+8.02             ,0               ,6.72      ,7.06    ,6.41        ,5.80    ,-1.24                ,0.27           ,-0.27    ,+0.76,+0.03                   ,+0.125                   ,+2.20                    ,+0.4505               ,-18.26               ,-43.47               ,-24.93               ,+3.15             ,7.06       ,11.00     ,6.41     ,5.07   ,0.28         ,90.00            ,-0.01         ,0.36              ,--                   ,8.33                     ,0.56            ,110.53       ,7.42                 ,1.28     ,6.45      ,6.09      ,6.27       ,6.39      ,6.44       ,54.48                ,49.22     ,25.43                   ,41.27,6.91                ,0.26                      ,0.46           ,6.10      ,7.30       ,6.46      ,6.26      ,6.58       ,50.62     ,50.67                ,2.99          ,50.53,0.10       ,0.93           ,0.55                      ,6.42      ,6.14       ,6.27      ,53.16                ,23.95                   ,56.88   ,5.92                   ,0.10           ,1.16                      ,366.23    , 
AXL   ,-4.09      ,16.92     ,1692795   ,5.68     ,1.34B     ,80             ,-2.95                     ,20.49     ,18.52     ,-0.63,-99.23      ,3.67                   ,-37.78            ,23.03                  ,19.03                  ,Auto Components                                    ,NYSE    ,AMERICAN AXLE & MFG HOLDI,Auto Parts & Equipment               ,--      ,17.39         ,16.91 ,1800    ,1975077      ,1514158     ,85.71                   ,111.80                 ,No        ,17.64 ,17.68 ,16.92 ,94.15                 ,1350791       ,1542652    ,125.32                   ,109.73                ,No                ,Consumer Discretionary,--            ,17.39     ,16.89 ,1100    ,1355819     ,47.57                     ,124.85                 ,35.20M         ,Yes                 ,NR ,--       ,B-                 ,9.09           ,18.18                 ,45.45           ,18.18                  ,9.09            ,11                ,3.00              ,240.70M   ,3.95B  ,240.70M ,76.91M            ,3.06    ,3.06      ,3.02      ,3.40        ,1.85      ,1.23      ,4.87      ,8.07                        ,6.10    ,301.37            ,-0.47 ,-1.88                  ,-8.61                      ,-0.96                  ,-12.48                  ,-27.29               ,+60.38               ,+29.70               ,+1.40     ,17.64        ,20.77    ,3.57                   ,17.14     ,12.61    ,96.33                   ,10.95                        ,-2.71   ,+0.25,-2.65                  ,-0.09                 ,-1.82                  ,-5.23                    ,-9.90                ,+1.40                ,-2.69                ,+57.90            ,4               ,19.00     ,21.24   ,17.32       ,17.14   ,-4.28                ,0.76           ,-0.72    ,+1.44,-0.53                   ,-1.64                    ,-9.48                    ,-2.48                 ,+22.03               ,+37.58               ,+9.06                ,+7.24             ,20.77      ,21.25     ,17.14    ,17.14  ,0.79         ,22.00            ,-0.03         ,0.24              ,--                   ,5.68                     ,3.78            ,264.32       ,5.11                 ,0.34     ,18.27     ,19.77     ,18.45      ,18.76     ,18.90      ,23.79                ,43.70     ,39.08                   ,0.77 ,20.99               ,-1.96                     ,-2.19          ,19.85     ,17.75      ,18.77     ,19.23     ,18.73      ,37.79     ,45.02                ,49.87         ,6.87 ,-0.41      ,-3.35          ,-1.86                     ,19.03     ,18.83      ,19.21     ,39.71                ,13.07                   ,14.32   ,17.07                  ,-2.92          ,-3.03                     ,-8158.75  , 
CMC   ,-3.73      ,18.56     ,1084282   ,40.24    ,2.21B     ,82             ,+0.37                     ,41.97     ,18.93     ,-0.38,-61.46      ,--                     ,-18.87            ,12.33                  ,18.79                  ,Metals & Mining                                    ,NYSE    ,COMMERCIAL METALS        ,Steel                                ,0.48    ,19.06         ,18.56 ,900     ,1881536      ,2068711     ,57.63                   ,52.41                  ,No        ,19.28 ,19.36 ,18.57 ,93.44                 ,2693579       ,2534859    ,40.25                    ,42.77                 ,Yes               ,Materials             ,2.50          ,19.05     ,18.56 ,900     ,2614867     ,86.73                     ,41.47                  ,35.84M         ,No                  ,B  ,****     ,B-                 ,18.18          ,9.09                  ,54.55           ,9.09                   ,9.09            ,11                ,2.82              ,54.76M    ,4.61B  ,54.76M  ,115.78M           ,0.47    ,0.47      ,0.67      ,0.89        ,0.95      ,0.66      ,1.77      ,16.97                       ,1.19    ,549.66            ,-0.49 ,-0.62                  ,+1.38                      ,-0.85                  ,-6.91                   ,+25.41               ,+50.18               ,+15.51               ,+1.44     ,19.21        ,20.41    ,5.28                   ,17.40     ,14.58    ,100.00                  ,1.07                         ,-2.57   ,+0.23,-3.63                  ,-0.02                 ,+0.17                  ,-4.25                    ,-11.42               ,+10.75               ,-11.65               ,+4.12             ,3               ,19.38     ,23.28   ,18.91       ,17.40   ,-3.98                ,0.80           ,-0.72    ,+1.21,+0.07                   ,+0.26                    ,+0.91                    ,-1.41                 ,+15.86               ,+35.79               ,+19.70               ,+1.81             ,20.41      ,24.64     ,18.64    ,17.40  ,0.80         ,9.00             ,0.00          ,1.73              ,--                   ,40.77                    ,1.70            ,55.43        ,21.39                ,0.48     ,18.76     ,20.24     ,20.31      ,19.07     ,19.87      ,49.25                ,46.45     ,31.60                   ,38.54,19.66               ,-0.13                     ,-2.25          ,20.28     ,18.67      ,18.76     ,19.80     ,19.73      ,44.00     ,47.69                ,3.18          ,49.39,-0.50      ,-2.44          ,-3.55                     ,18.79     ,21.12      ,19.90     ,45.96                ,29.65                   ,53.82   ,17.92                  ,-0.33          ,-2.21                     ,-7827.52  , 
NVGS  ,-3.56      ,14.23     ,204810    ,18.19    ,806.59M   ,14             ,+3.82                     ,64.29     ,13.55     ,0.51 ,-19.96      ,12.50                  ,26.43             ,36.96                  ,13.35                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,NAVIGATOR HOLDINGS LTD   ,Oil & Gas Storage & Transportation   ,--      ,14.55         ,14.20 ,1100    ,243373       ,322914      ,84.15                   ,63.43                  ,No        ,14.75 ,14.75 ,14.25 ,27.81                 ,248739        ,302942     ,82.34                    ,67.61                 ,No                ,Energy                ,--            ,14.55     ,14.15 ,300     ,258728      ,48.65                     ,79.16                  ,3.39M          ,No                  ,NC ,--       ,--                 ,75.00          ,12.50                 ,--              ,--                     ,12.50           ,8                 ,1.63              ,44.64M    ,294.11M,44.64M  ,55.44M            ,0.80    ,0.80      ,1.76      ,0.76        ,1.58      ,0.92      ,0.82      ,9.00                        ,15.18   ,6393.74           ,-0.32 ,+0.42                  ,+8.96                      ,+4.56                  ,+22.16                  ,-28.01               ,+42.24               ,+19.57               ,+0.96     ,14.55        ,14.55    ,2.10                   ,12.12     ,6.47     ,87.50                   ,-5.65                        ,-2.23   ,+0.20,+4.78                  ,+0.06                 ,+1.22                  ,+45.68                   ,+56.45               ,-47.12               ,+47.85               ,+4.78             ,0               ,14.55     ,14.55   ,13.62       ,12.12   ,-7.68                ,0.53           ,-0.52    ,+1.37,+0.54                   ,+1.20                    ,+9.16                    ,+2.64                 ,-14.86               ,-2.60                ,+91.24               ,+2.72             ,14.55      ,16.85     ,13.25    ,9.19   ,0.60         ,98.00            ,-0.08         ,0.78              ,--                   ,18.19                    ,0.85            ,66.98        ,19.10                ,2.74     ,13.71     ,12.35     ,10.32      ,13.37     ,11.41      ,71.57                ,60.59     ,11.39                   ,80.04,14.39               ,1.05                      ,3.93           ,12.14     ,9.68       ,13.42     ,12.42     ,11.22      ,62.11     ,62.09                ,48.36         ,90.61,0.46       ,2.93           ,5.11                      ,13.35     ,10.93      ,12.16     ,64.52                ,32.73                   ,91.41   ,12.32                  ,0.83           ,2.75                      ,903.10    , 
CRC   ,-3.51      ,14.98     ,1707549   ,2.24     ,642.95M   ,46             ,+1.16                     ,50.39     ,14.75     ,-0.69,-32.27      ,10.25                  ,3.10              ,19.48                  ,14.49                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,CALIFORNIA RESOURCES CORP,Oil & Gas Exploration & Production   ,--      ,15.11         ,14.97 ,300     ,1925314      ,2086789     ,88.69                   ,81.83                  ,No        ,15.52 ,16.25 ,14.99 ,73.69                 ,2036999       ,1615694    ,83.83                    ,105.69                ,No                ,Energy                ,--            ,15.11     ,14.83 ,100     ,1946357     ,118.01                    ,87.73                  ,28.53M         ,No                  ,D  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,279.00M   ,1.75B  ,279.00M ,42.55M            ,6.76    ,6.76      ,-92.79    ,-2.95       ,-37.54    ,22.39     ,--        ,--                          ,15.92   ,1208.96           ,-0.13 ,-0.09                  ,+4.26                      ,-1.17                  ,-17.24                  ,-80.15               ,0.00                 ,+23.28               ,+6.48     ,15.58        ,18.60    ,9.25                   ,12.30     ,8.79     ,89.75                   ,-4.92                        ,-0.89   ,+0.41,-7.03                  ,+0.03                 ,+0.29                  ,-7.16                    ,-29.03               ,0.00                 ,-29.36               ,-37.88            ,42              ,15.58     ,23.42   ,14.87       ,12.30   ,-6.04                ,1.27           ,-0.54    ,+2.71,+0.17                   ,+0.62                    ,+1.99                    ,-3.15                 ,+46.02               ,0.00                 ,+20.32               ,+4.16             ,17.29      ,25.50     ,13.48    ,12.30  ,1.42         ,2.00             ,-0.15         ,0.10              ,--                   ,2.24                     ,--              ,-927.83      ,--                   ,0.37     ,14.19     ,17.41     ,16.78      ,15.00     ,16.60      ,52.00                ,47.17     ,20.91                   ,67.73,16.27               ,-2.40                     ,-5.32          ,17.92     ,14.71      ,14.24     ,16.37     ,16.54      ,45.05     ,47.39                ,8.68          ,74.76,-1.01      ,-3.37          ,-6.29                     ,14.49     ,17.87      ,16.56     ,45.43                ,24.88                   ,74.01   ,12.71                  ,-0.27          ,-6.04                     ,855.85    , 
