Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
VREX  ,-0.81      ,32.91     ,126048    ,18.91    ,1.24B     ,18             ,-0.32                     ,--        ,--        ,--   ,-23.87      ,27.05                  ,9.34              ,--                     ,31.77                  ,Health Care Equipment & Supplies            ,NASDAQ  ,VAREX IMAGING CORP       ,Health Care Equipment                ,--      ,33.13         ,32.87 ,400     ,260213       ,1207091     ,48.44                   ,10.44                  ,No        ,33.18 ,33.43 ,32.92 ,27.18                 ,419761        ,1207091    ,30.03                    ,10.44                 ,No                ,Health Care               ,--            ,33.13     ,32.72 ,100     ,420110      ,44.06                     ,30.00                  ,8.60M          ,Yes                 ,D  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,69.00M    ,620.10M,69.00M  ,37.39M            ,1.75    ,--        ,--        ,1.68        ,--        ,--        ,--        ,--                          ,11.05   ,442.93            ,-0.22 ,-0.62                  ,+4.29                      ,+1.43                  ,+4.51                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,33.47        ,33.99    ,2.53                   ,29.89     ,25.00    ,72.95                   ,-3.24                        ,-0.66   ,+0.05 ,+7.91                  ,+0.01                 ,+1.30                  ,+4.51                    ,0.00                 ,0.00                 ,0.00                 ,0.00              ,1               ,33.85     ,35.96   ,32.39       ,29.89   ,-7.72                ,0.52           ,-0.27    ,+0.15 ,-0.11                   ,+1.36                    ,+4.10                    ,+1.43                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,33.85      ,35.96     ,31.89    ,25.00  ,0.71         ,--               ,-0.19         ,0.81              ,--                   ,--                       ,--              ,--           ,19.73                ,2.00     ,32.45     ,--        ,--         ,--        ,--         ,50.00                ,--        ,--                      ,76.13,33.83               ,0.24                      ,--             ,--        ,--         ,31.84     ,--        ,--         ,--        ,--                   ,--            ,80.51,--         ,2.92           ,--                        ,31.77     ,--         ,--        ,50.00                ,--                      ,86.24   ,29.71                  ,0.93           ,2.55                      ,477.28    , 
FIZZ  ,-0.07      ,85.66     ,272752    ,41.77    ,3.98B     ,7              ,+0.76                     ,94.98     ,80.79     ,6.05 ,-7.95       ,32.80                  ,34.95             ,83.52                  ,79.21                  ,Beverages                                   ,NASDAQ  ,NATIONAL BEVERAGE CORP   ,Soft Drinks                          ,--      ,85.50         ,85.66 ,900     ,345502       ,330008      ,78.94                   ,82.65                  ,No        ,85.72 ,86.50 ,85.90 ,22.51                 ,400196        ,279804     ,68.15                    ,97.48                 ,No                ,Consumer Staples          ,--            ,85.50     ,85.25 ,300     ,384615      ,109.34                    ,70.92                  ,29.16M         ,No                  ,D  ,--       ,B+                 ,--             ,100.00                ,--              ,--                     ,--              ,1                 ,2.00              ,61.20M    ,704.78M,61.20M  ,46.57M            ,2.05    ,1.31      ,1.05      ,2.25        ,0.92      ,1.01      ,0.95      ,--                          ,8.68    ,587.32            ,+0.16 ,+1.34                  ,+7.94                      ,+30.85                 ,+40.24                  ,+256.49              ,+535.42              ,+38.54               ,+0.62     ,85.71        ,85.71    ,-0.79                  ,59.75     ,39.14    ,67.20                   ,-4.70                        ,+0.19   ,+0.22 ,+34.57                 ,+0.02                 ,+9.17                  ,+56.45                   ,+67.38               ,+346.02              ,+65.49               ,+45.53            ,21              ,85.71     ,85.71   ,84.14       ,59.51   ,-46.11               ,0.84           ,-0.06    ,+0.26 ,+0.65                   ,+6.29                    ,+12.01                   ,+24.54                ,+105.62              ,+519.35              ,+97.55               ,+31.89            ,85.71      ,85.71     ,82.88    ,45.40  ,1.25         ,99.00            ,-0.41         ,1.80              ,--                   ,65.27                    ,20.28           ,--           ,37.97                ,5.65     ,83.35     ,65.29     ,55.88      ,78.56     ,61.65      ,94.88                ,78.07     ,1.46                    ,92.05,89.54               ,24.92                     ,37.95          ,62.31     ,54.97      ,81.63     ,68.85     ,60.05      ,86.07     ,77.98                ,93.84         ,94.09,6.13       ,30.30          ,36.16                     ,79.21     ,57.50      ,66.81     ,85.99                ,45.96                   ,93.32   ,68.88                  ,25.46          ,31.94                     ,1626.07   , 
PNRA  ,+0.52      ,312.65    ,11041271  ,44.34    ,5.85B     ,6              ,-1.19                     ,87.79     ,262.07    ,14.23,-0.53       ,80.79                  ,37.99             ,58.49                  ,251.12                 ,Hotels Restaurants & Leisure                ,NGM/NGS ,PANERA BREAD CO          ,Restaurants                          ,--      ,274.00        ,312.63,200     ,1863807      ,562513      ,592.40                  ,1962.83                ,No        ,310.96,312.98,312.67,93.27                 ,842768        ,602496     ,1310.11                  ,1832.57               ,Yes               ,Consumer Discretionary    ,--            ,274.00    ,310.86,300     ,793145      ,461.68                    ,1392.07                ,512.30M        ,No                  ,D  ,**       ,B+                 ,42.86          ,21.43                 ,35.71           ,--                     ,--              ,28                ,1.93              ,145.24M   ,2.80B  ,145.24M ,21.34M            ,6.18    ,6.18      ,5.79      ,7.69        ,6.64      ,6.81      ,5.89      ,16.01                       ,5.21    ,69.36             ,+38.57,+50.62                 ,+9.11                      ,+59.13                 ,+19.86                  ,+63.67               ,+62.73               ,+23.56               ,+0.31     ,279.89       ,292.42   ,-20.56                 ,228.02    ,185.69   ,19.21                   ,-17.96                       ,+14.08  ,+36.96,+106.73                ,+0.22                 ,+28.36                 ,+27.52                   ,+33.60               ,+48.39               ,+27.69               ,+36.95            ,60              ,292.42    ,292.42  ,273.98      ,226.81  ,-125.17              ,0.41           ,+1.61    ,+13.49,-3.30                   ,+22.88                   ,+11.54                   ,+45.40                ,+27.85               ,+58.48               ,+34.49               ,+10.59            ,292.42     ,292.42    ,253.15   ,201.17 ,2.12         ,95.00            ,-1.71         ,1.91              ,--                   ,44.34                    ,55.60           ,140.47       ,35.62                ,2.09     ,264.80    ,235.22    ,218.17     ,256.78    ,228.28     ,76.60                ,76.86     ,2.07                    ,99.47,289.80              ,43.62                     ,100.14         ,231.71    ,214.63     ,256.43    ,240.14    ,225.54     ,82.34     ,69.50                ,93.88         ,83.54,8.97       ,98.30          ,65.91                     ,251.12    ,223.29     ,236.87    ,74.04                ,65.65                   ,84.85   ,212.45                 ,78.80          ,58.52                     ,9707.83   , 
WOOF  ,+0.11      ,91.72     ,310801    ,35.77    ,7.44B     ,5              ,-0.02                     ,68.73     ,91.50     ,0.37 ,-15.09      ,61.90                  ,-8.38             ,78.44                  ,91.46                  ,Health Care Providers & Services            ,NGM/NGS ,VCA INC                  ,Health Care Facilities               ,--      ,91.57         ,91.72 ,1200    ,904724       ,1386131     ,34.35                   ,22.42                  ,No        ,91.62 ,91.80 ,91.73 ,95.11                 ,748460        ,1967045    ,41.53                    ,15.80                 ,Yes               ,Health Care               ,--            ,91.57     ,91.59 ,100     ,742249      ,24.35                     ,41.87                  ,82.76M         ,No                  ,NR ,--       ,B                  ,25.00          ,--                    ,75.00           ,--                     ,--              ,12                ,2.50              ,217.40M   ,2.52B  ,217.40M ,81.24M            ,2.56    ,2.56      ,2.56      ,3.27        ,1.54      ,1.53      ,0.51      ,14.62                       ,8.31    ,171.22            ,+0.15 ,+0.20                  ,+0.12                      ,+14.30                 ,+2.02                   ,+66.91               ,+294.23              ,+35.34               ,+1.05     ,91.75        ,91.75    ,-0.05                  ,90.92     ,57.26    ,38.10                   ,-0.21                        ,+0.16   ,+0.05 ,+21.43                 ,0.00                  ,+0.18                  ,+18.51                   ,+33.39               ,+183.90              ,+33.28               ,+16.01            ,5               ,91.75     ,91.75   ,91.55       ,90.92   ,-34.33               ,0.08           ,+0.10    ,+0.05 ,-0.01                   ,+0.11                    ,+0.20                    ,+1.81                 ,+58.61               ,+289.53              ,+30.75               ,+7.40             ,91.75      ,91.75     ,91.40    ,69.50  ,0.21         ,96.00            ,-0.13         ,1.54              ,--                   ,35.77                    ,--              ,82.31        ,28.01                ,2.96     ,91.55     ,91.08     ,78.26      ,91.39     ,83.79      ,62.53                ,71.47     ,2.50                    ,84.91,91.75               ,0.59                      ,0.93           ,91.05     ,74.78      ,91.53     ,89.08     ,82.05      ,76.37     ,71.24                ,83.63         ,80.43,0.46       ,1.01           ,20.80                     ,91.46     ,81.05      ,87.96     ,75.86                ,27.99                   ,73.83   ,91.17                  ,0.65           ,0.88                      ,-849.36   , 
AMT   ,+0.19      ,121.10    ,1096215   ,60.98    ,51.58B    ,1              ,-0.29                     ,76.29     ,119.20    ,2.56 ,-11.71      ,30.43                  ,20.72             ,65.89                  ,117.87                 ,Equity Real Estate Investment Trusts (REITs),NYSE    ,AMERICAN TOWER CORP      ,Specialized REITs                    ,2.48    ,120.74        ,121.10,700     ,2111509      ,2407337     ,51.92                   ,45.54                  ,Yes       ,120.87,121.74,121.13,95.13                 ,2219582       ,2124261    ,49.39                    ,51.60                 ,No                ,Real Estate               ,2.10          ,120.74    ,120.82,200     ,2209357     ,64.10                     ,49.62                  ,255.68M        ,No                  ,D  ,****     ,B+                 ,69.57          ,17.39                 ,13.04           ,--                     ,--              ,23                ,1.43              ,970.36M   ,--     ,970.36M ,427.2M            ,1.98    ,1.98      ,1.41      ,2.78        ,--        ,1.38      ,1.60      ,19.38                       ,16.53   ,1283.71           ,+0.36 ,-0.33                  ,+2.43                      ,+11.10                 ,+9.42                   ,+34.29               ,+109.35              ,+8.09                ,+0.70     ,121.59       ,121.90   ,0.16                   ,112.78    ,99.72    ,69.57                   ,-1.61                        ,+0.30   ,+0.13 ,+14.37                 ,0.00                  ,+3.51                  ,+10.13                   ,+14.25               ,+56.82               ,+15.01               ,+14.47            ,43              ,121.90    ,121.90  ,120.51      ,112.78  ,-21.10               ,0.64           ,+0.23    ,+0.11 ,-0.35                   ,+2.87                    ,+3.00                    ,+10.39                ,+21.13               ,+69.32               ,+7.83                ,+3.36             ,121.90     ,121.90    ,120.16   ,102.51 ,0.92         ,86.00            ,-0.28         ,2.62              ,--                   ,60.98                    ,--              ,226.77       ,43.39                ,--       ,120.52    ,112.22    ,109.59     ,118.26    ,111.56     ,74.66                ,62.56     ,3.13                    ,88.29,123.69              ,6.04                      ,16.08          ,110.91    ,111.15     ,119.15    ,114.13    ,111.05     ,68.82     ,62.21                ,81.05         ,87.53,2.56       ,17.63          ,15.47                     ,117.87    ,108.59     ,113.32    ,68.28                ,29.86                   ,90.52   ,112.05                 ,7.86           ,17.10                     ,6839.11   , 
NORD  ,+1.93      ,26.90     ,792546    ,50.20    ,2.72B     ,2              ,+0.98                     ,92.82     ,25.25     ,0.68 ,-25.32      ,41.67                  ,11.26             ,50.46                  ,24.81                  ,Diversified Consumer Services               ,NYSE    ,NORD ANGLIA EDUCATION INC,Education Services                   ,--      ,26.13         ,26.90 ,200     ,107902       ,100951      ,734.51                  ,785.08                 ,No        ,26.39 ,27.88 ,26.95 ,31.84                 ,102040        ,111736     ,776.70                   ,709.30                ,No                ,Consumer Discretionary    ,--            ,26.13     ,26.20 ,200     ,128712      ,647.21                    ,615.75                 ,2.75M          ,No                  ,NC ,--       ,--                 ,33.33          ,44.44                 ,11.11           ,11.11                  ,--              ,9                 ,2.00              ,49.20M    ,856.00M,49.20M  ,104.13M           ,0.52    ,0.45      ,0.07      ,0.67        ,-1.07     ,-0.34     ,-0.52     ,20.17                       ,5.50    ,116.30            ,+0.77 ,+1.54                  ,+5.33                      ,+3.11                  ,+11.33                  ,+11.53               ,0.00                 ,+19.87               ,+0.95     ,26.44        ,26.44    ,-1.44                  ,23.71     ,19.83    ,58.33                   ,-6.80                        ,+2.95   ,+0.26 ,+3.30                  ,+0.06                 ,+1.51                  ,+13.49                   ,+12.15               ,+32.19               ,+8.76                ,+20.05            ,29              ,26.44     ,26.44   ,25.49       ,23.54   ,-6.37                ,0.98           ,+0.51    ,+1.00 ,+0.25                   ,+1.32                    ,+6.13                    ,+2.66                 ,+21.30               ,0.00                 ,+16.35               ,+2.47             ,26.44      ,26.44     ,24.94    ,21.28  ,1.68         ,72.00            ,-0.70         ,2.16              ,--                   ,58.07                    ,--              ,384.21       ,38.76                ,3.18     ,25.48     ,23.64     ,23.20      ,24.99     ,23.51      ,89.46                ,66.30     ,5.15                    ,74.68,26.41               ,1.93                      ,3.54           ,23.53     ,22.64      ,25.07     ,24.13     ,23.34      ,74.36     ,63.66                ,81.17         ,83.51,0.52       ,4.37           ,2.67                      ,24.81     ,23.48      ,23.97     ,70.72                ,49.51                   ,89.94   ,23.21                  ,2.91           ,4.06                      ,241.28    , 
EDU   ,-0.21      ,61.00     ,738861    ,39.65    ,9.56B     ,16             ,+0.31                     ,79.57     ,58.33     ,2.66 ,-9.82       ,34.68                  ,24.88             ,53.72                  ,56.86                  ,Diversified Consumer Services               ,NYSE    ,NEW ORIENTAL ED & TECH   ,Education Services                   ,--      ,60.69         ,61.00 ,200     ,824927       ,1202101     ,89.57                   ,61.46                  ,No        ,61.13 ,61.81 ,61.03 ,81.46                 ,965443        ,1086005    ,76.53                    ,68.03                 ,No                ,Consumer Discretionary    ,--            ,60.69     ,60.57 ,100     ,957128      ,134.65                    ,77.20                  ,49.56M         ,No                  ,-- ,--       ,--                 ,63.16          ,26.32                 ,10.53           ,--                     ,--              ,19                ,1.47              ,225.33M   ,1.48B  ,225.33M ,157.47M           ,1.53    ,1.43      ,1.23      ,1.79        ,1.37      ,0.87      ,0.85      ,21.96                       ,15.21   ,51.53             ,+0.31 ,+0.49                  ,+6.74                      ,+11.69                 ,+18.91                  ,+177.77              ,+133.12              ,+44.17               ,+1.20     ,61.37        ,61.37    ,-0.44                  ,50.00     ,33.47    ,65.32                   ,-4.01                        ,+0.51   ,+0.44 ,+18.25                 ,+0.03                 ,+4.82                  ,+23.87                   ,+44.16               ,+109.82              ,+43.42               ,+17.51            ,16              ,61.37     ,61.37   ,60.53       ,50.00   ,-27.10               ,0.81           ,-0.13    ,+0.72 ,+0.19                   ,+3.83                    ,+8.63                    ,+9.65                 ,+74.56               ,+247.78              ,+30.24               ,+10.50            ,61.37      ,61.37     ,57.73    ,42.31  ,1.24         ,98.00            ,-0.43         ,1.70              ,--                   ,42.44                    ,6.89            ,--           ,33.98                ,6.46     ,59.56     ,52.24     ,49.38      ,57.33     ,50.65      ,78.55                ,64.51     ,5.66                    ,90.18,63.70               ,9.87                      ,12.13          ,51.60     ,47.00      ,58.55     ,53.54     ,49.82      ,69.66     ,64.20                ,73.80         ,93.56,2.47       ,12.98          ,13.03                     ,56.86     ,49.37      ,52.78     ,69.21                ,37.55                   ,94.66   ,50.02                  ,10.54          ,13.46                     ,3661.49   , 
ALGN  ,-0.05      ,115.88    ,215835    ,49.62    ,9.28B     ,4              ,+0.27                     ,75.51     ,113.10    ,3.38 ,-16.47      ,34.48                  ,12.01             ,55.03                  ,112.01                 ,Health Care Equipment & Supplies            ,NCM     ,ALIGN TECHNOLOGY INC     ,Health Care Supplies                 ,--      ,115.61        ,115.84,100     ,637432       ,879013      ,33.86                   ,24.55                  ,No        ,115.94,116.45,115.90,88.73                 ,658486        ,832645     ,32.78                    ,25.92                 ,Yes               ,Health Care               ,--            ,115.61    ,115.58,300     ,661403      ,37.28                     ,32.63                  ,73.42M         ,No                  ,C  ,****     ,B                  ,46.15          ,38.46                 ,15.38           ,--                     ,--              ,13                ,1.69              ,189.68M   ,1.08B  ,189.68M ,80.28M            ,2.33    ,2.33      ,1.77      ,2.99        ,1.77      ,0.78      ,0.71      ,20.55                       ,17.57   ,178.20            ,+0.27 ,+0.75                  ,+3.22                      ,+18.54                 ,+13.92                  ,+113.28              ,+316.37              ,+42.41               ,+1.39     ,116.99       ,116.99   ,0.54                   ,103.22    ,70.03    ,65.52                   ,-1.99                        ,+0.23   ,+0.33 ,+19.39                 ,+0.01                 ,+4.98                  ,+19.10                   ,+20.26               ,+121.49              ,+19.33               ,+20.58            ,24              ,116.99    ,116.99  ,115.25      ,102.02  ,-45.55               ,0.57           ,-0.06    ,+0.29 ,+0.31                   ,+3.60                    ,+4.50                    ,+14.13                ,+57.81               ,+242.32              ,+22.36               ,+14.85            ,116.99     ,116.99    ,113.25   ,88.56  ,0.87         ,90.00            ,-0.30         ,2.13              ,--                   ,49.62                    ,10.07           ,--           ,38.63                ,8.59     ,114.51    ,103.86    ,97.85      ,111.86    ,101.13     ,74.68                ,64.96     ,7.09                    ,83.53,118.45              ,12.46                     ,21.09          ,102.21    ,94.43      ,113.58    ,106.21    ,99.60      ,69.36     ,64.77                ,62.24         ,86.80,3.44       ,22.23          ,21.53                     ,112.01    ,99.82      ,104.93    ,69.07                ,30.47                   ,90.11   ,105.56                 ,12.16          ,21.76                     ,1108.31   , 
VVC   ,-0.27      ,58.47     ,213690    ,22.95    ,4.86B     ,5              ,+0.09                     ,65.39     ,58.00     ,0.72 ,-25.69      ,17.68                  ,24.17             ,44.16                  ,57.67                  ,Multi-Utilities                             ,NYSE    ,VECTREN CORP             ,Multi-Utilities                      ,1.68    ,58.53         ,58.46 ,300     ,398239       ,372159      ,53.66                   ,57.42                  ,No        ,58.63 ,58.84 ,58.48 ,64.79                 ,439543        ,415099     ,48.62                    ,51.48                 ,Yes               ,Utilities                 ,2.90          ,58.53     ,58.39 ,500     ,428974      ,46.44                     ,49.81                  ,23.24M         ,No                  ,B  ,**       ,B+                 ,50.00          ,--                    ,37.50           ,12.50                  ,--              ,8                 ,2.13              ,211.60M   ,2.45B  ,211.60M ,82.95M            ,2.55    ,2.55      ,2.39      ,2.64        ,2.02      ,1.66      ,1.94      ,5.50                        ,8.64    ,422.12            ,-0.06 ,-0.06                  ,+1.49                      ,+6.00                  ,+5.34                   ,+42.29               ,+144.32              ,+14.02               ,+0.72     ,58.89        ,59.03    ,0.19                   ,55.05     ,46.52    ,82.32                   ,-0.70                        ,-0.10   ,+0.10 ,+6.19                  ,+0.01                 ,+1.12                  ,+11.41                   ,+13.09               ,+65.18               ,+13.25               ,+12.26            ,12              ,59.03     ,59.03   ,58.23       ,55.05   ,-11.87               ,0.37           ,-0.16    ,+0.17 ,+0.05                   ,+0.86                    ,+1.95                    ,+2.97                 ,+19.73               ,+91.19               ,+18.69               ,+3.78             ,59.03      ,59.03     ,57.84    ,51.50  ,0.45         ,81.00            ,-0.08         ,0.99              ,--                   ,22.95                    ,3.37            ,89.92        ,22.21                ,1.98     ,58.36     ,56.24     ,52.97      ,57.74     ,54.55      ,67.02                ,60.68     ,7.19                    ,74.31,59.40               ,2.23                      ,6.05           ,55.89     ,51.99      ,58.06     ,56.31     ,54.03      ,63.03     ,60.88                ,55.98         ,78.05,0.74       ,3.54           ,5.76                      ,57.67     ,53.78      ,55.90     ,63.41                ,25.47                   ,81.40   ,55.93                  ,2.85           ,3.72                      ,1304.06   , 
PENN  ,-1.88      ,18.30     ,868967    ,15.62    ,1.69B     ,40             ,+0.77                     ,75.91     ,17.49     ,1.06 ,-14.96      ,3.30                   ,33.86             ,50.59                  ,16.78                  ,Hotels Restaurants & Leisure                ,NGM/NGS ,PENN NATIONAL GAMING INC ,Casinos & Gaming                     ,--      ,18.59         ,18.29 ,1200    ,2746389      ,1404406     ,31.64                   ,61.87                  ,No        ,18.65 ,18.74 ,18.30 ,84.96                 ,2850899       ,1700251    ,30.48                    ,51.11                 ,No                ,Consumer Discretionary    ,--            ,18.59     ,18.29 ,1200    ,2691946     ,61.74                     ,32.28                  ,50.74M         ,Yes                 ,B  ,--       ,B-                 ,57.14          ,7.14                  ,35.71           ,--                     ,--              ,14                ,1.79              ,109.31M   ,3.02B  ,109.31M ,90.89M            ,1.19    ,1.19      ,0.01      ,0.56        ,-2.34     ,-7.44     ,2.03      ,-0.07                       ,3.62    ,160.48            ,-0.29 ,-0.29                  ,+10.81                     ,+4.41                  ,+25.75                  ,+17.69               ,+85.71               ,+32.11               ,+0.84     ,18.61        ,18.84    ,0.10                   ,14.45     ,11.93    ,96.70                   ,-5.13                        ,-1.56   ,+0.06 ,+4.40                  ,-0.01                 ,+2.18                  ,+31.07                   ,+34.81               ,+49.59               ,+33.65               ,-17.90            ,7               ,18.84     ,18.84   ,18.23       ,14.38   ,-6.36                ,0.44           ,-0.35    ,+0.32 ,+0.14                   ,+1.81                    ,+13.29                   ,+3.81                 ,+10.43               ,+46.64               ,+35.81               ,+2.16             ,18.84      ,18.84     ,18.16    ,13.00  ,0.46         ,97.00            ,-0.02         ,0.67              ,--                   ,15.62                    ,--              ,-881.14      ,32.90                ,0.56     ,18.23     ,15.21     ,14.26      ,17.10     ,14.97      ,86.22                ,65.20     ,7.30                    ,85.04,19.79               ,4.12                      ,5.04           ,14.91     ,14.18      ,17.36     ,15.75     ,14.83      ,70.53     ,66.94                ,67.94         ,89.32,0.94       ,4.28           ,4.85                      ,16.78     ,14.52      ,15.51     ,73.59                ,38.22                   ,90.00   ,13.76                  ,3.78           ,4.99                      ,17272.88  , 
