Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SJM   ,-0.22      ,130.53    ,590016   ,22.77    ,15.23B    ,8              ,-0.11                     ,15.30     ,133.26    ,-2.00,-98.57      ,13.80                  ,-29.95            ,29.86                  ,135.00                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,130.80        ,130.50,100     ,1003309      ,1009709     ,58.81                   ,58.43                  ,Yes       ,130.81,131.33,130.55,78.13                 ,1330321       ,1269068    ,44.35                    ,46.49                 ,No                ,Consumer Staples      ,2.30          ,130.80    ,130.40,100     ,1293308     ,55.44                     ,45.62                  ,131.72M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.27 ,-0.62                  ,-3.11                      ,-2.00                  ,-3.65                   ,+18.32               ,+80.63               ,-12.61               ,+0.59     ,131.50       ,140.55   ,25.98                  ,130.43    ,122.05   ,86.20                   ,2.33                         ,-0.21   ,+0.01,+2.02                  ,-0.02                 ,-4.97                  ,-1.51                    ,+2.70                ,+44.27               ,+2.92                ,+9.24             ,17              ,133.47    ,143.68  ,130.43      ,130.43  ,-8.35                ,0.80           ,-0.28    ,+0.01,-0.15                   ,-4.20                    ,-3.66                    ,-4.96                 ,+3.11                ,+44.57               ,-2.21                ,+4.19             ,140.44     ,157.31    ,130.43   ,127.00 ,0.93         ,45.00            ,-0.13         ,0.98              ,--                   ,22.71                    ,--              ,73.43        ,17.10                ,1.95     ,131.96    ,137.10    ,132.64     ,134.05    ,134.95     ,16.11                ,44.65     ,32.50                   ,1.43 ,141.86              ,-8.36                     ,2.52           ,136.26    ,137.79     ,133.57    ,135.24    ,134.89     ,39.39     ,44.94                ,47.13         ,3.45 ,-1.48      ,-9.13          ,1.76                      ,135.00    ,132.93     ,135.17    ,39.86                ,11.68                   ,2.92    ,128.13                 ,-7.91          ,-7.20                     ,-5275.68  , 
AYI   ,-1.15      ,171.15    ,1747729  ,25.13    ,7.67B     ,34             ,-9.38                     ,17.33     ,197.49    ,-6.46,-97.13      ,23.09                  ,-33.41            ,22.34                  ,202.29                 ,Electrical Equipment                          ,NYSE    ,ACUITY BRANDS INC        ,Electrical Components & Equipment    ,0.52    ,173.93        ,171.07,100     ,1712094      ,694595      ,102.08                  ,251.62                 ,Yes       ,173.14,174.98,171.16,98.99                 ,914580        ,886426     ,191.10                   ,197.17                ,No                ,Industrials           ,0.30          ,173.93    ,170.00,100     ,903778      ,31.22                     ,193.38                 ,316.31M        ,No                  ,F  ,***      ,B+                 ,64.29          ,7.14                  ,14.29           ,14.29                  ,--              ,14                ,1.79              ,290.80M   ,3.29B  ,290.80M ,44.09M            ,6.92    ,6.63      ,5.09      ,8.71        ,4.05      ,2.95      ,2.72      ,23.50                       ,8.84    ,278.92            ,-2.78 ,-33.46                 ,-14.02                     ,-53.88                 ,-17.39                  ,+21.91               ,+232.34              ,-17.59               ,+1.33     ,180.25       ,212.42   ,105.91                 ,172.11    ,172.11   ,76.91                   ,16.96                        ,-1.60   ,-0.79,-61.74                 ,-0.17                 ,-30.24                 ,-23.65                   ,-24.61               ,+55.27               ,-11.58               ,+19.22            ,32              ,209.17    ,241.60  ,172.11      ,172.11  ,2.11                 ,3.83           ,-1.99    ,-0.45,-18.01                  ,-28.36                   ,-14.81                   ,-36.62                ,-6.28                ,+198.52              ,-22.81               ,+11.12            ,212.42     ,280.89    ,172.11   ,172.11 ,4.98         ,9.00             ,-1.15         ,1.08              ,--                   ,26.23                    ,22.86           ,21.39        ,19.96                ,2.33     ,197.03    ,207.93    ,224.66     ,199.89    ,218.45     ,18.39                ,35.42     ,51.29                   ,2.88 ,223.15              ,-31.48                    ,-31.36         ,208.22    ,239.71     ,200.17    ,208.32    ,221.33     ,30.55     ,36.02                ,54.06         ,20.92,-3.60      ,-35.54         ,-63.43                    ,202.29    ,222.93     ,210.65    ,31.39                ,15.29                   ,39.13   ,181.43                 ,-35.72         ,-32.91                    ,-5305.27  , 
SAIC  ,-0.87      ,73.12     ,212665   ,22.93    ,3.22B     ,35             ,-0.05                     ,19.36     ,80.29     ,-3.18,-92.96      ,25.75                  ,-17.79            ,31.26                  ,83.41                  ,IT Services                                   ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,73.85         ,73.11 ,100     ,912732       ,326302      ,23.30                   ,65.17                  ,No        ,73.76 ,74.36 ,73.16 ,71.16                 ,417853        ,317257     ,50.89                    ,67.03                 ,Yes               ,Information Technology,1.70          ,73.84     ,72.69 ,100     ,395785      ,40.70                     ,53.73                  ,68.59M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,148.00M   ,4.45B  ,148.00M ,43.57M            ,3.22    ,3.22      ,2.47      ,3.95        ,2.91      ,2.27      ,3.66      ,5.00                        ,3.33    ,287.10            ,-0.72 ,-0.94                  ,-11.48                     ,-6.45                  ,-12.76                  ,+51.54               ,0.00                 ,+29.21               ,+1.65     ,74.50        ,88.82    ,15.51                  ,72.00     ,51.26    ,74.25                   ,12.44                        ,-0.98   ,-0.08,-11.84                 ,-0.15                 ,-10.56                 ,-8.03                    ,-12.59               ,+113.52              ,-11.94               ,+40.33            ,11              ,86.71     ,89.87   ,72.00       ,72.00   ,-21.43               ,1.24           ,-0.64    ,-0.11,-0.03                   ,-9.57                    ,-12.51                   ,-10.80                ,+42.18               ,0.00                 ,+8.13                ,+7.11             ,88.82      ,89.87     ,72.00    ,72.00  ,1.67         ,9.00             ,-0.43         ,0.99              ,--                   ,22.93                    ,--              ,288.70       ,18.70                ,0.72     ,80.00     ,84.54     ,81.43      ,81.51     ,81.43      ,20.34                ,41.43     ,46.97                   ,7.04 ,94.54               ,-13.54                    ,-11.25         ,84.43     ,74.10      ,82.21     ,83.45     ,80.17      ,34.14     ,42.04                ,67.64         ,7.08 ,-1.57      ,-9.52          ,-11.77                    ,83.41     ,83.95      ,83.30     ,34.90                ,9.07                    ,8.20    ,72.29                  ,-13.80         ,-8.51                     ,-1251.98  , 
FDS   ,+0.41      ,162.76    ,238855   ,19.07    ,6.42B     ,32             ,-0.85                     ,20.19     ,169.18    ,-3.86,-91.84      ,69.02                  ,-20.45            ,26.68                  ,172.93                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,162.35        ,162.78,300     ,466568       ,331028      ,51.19                   ,72.16                  ,No        ,162.09,163.55,162.91,96.46                 ,342916        ,258680     ,69.65                    ,92.34                 ,Yes               ,Financials            ,1.20          ,162.35    ,161.00,200     ,335072      ,47.12                     ,71.28                  ,76.42M         ,No                  ,F  ,***      ,A+                 ,--             ,5.88                  ,64.71           ,23.53                  ,5.88            ,17                ,3.29              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,+0.41 ,-2.91                  ,-6.12                      ,-4.62                  ,-6.96                   ,+5.97                ,+76.95               ,+3.05                ,+0.74     ,166.07       ,182.56   ,20.09                  ,161.69    ,145.48   ,30.98                   ,5.26                         ,+0.25   ,-0.26,-2.30                  ,-0.01                 ,-11.57                 ,-2.77                    ,-0.39                ,+58.37               ,+1.18                ,+66.59            ,17              ,167.00    ,183.64  ,161.69      ,161.69  ,-15.52               ,0.79           ,+0.67    ,-0.16,-1.38                   ,-10.58                   ,-6.65                    ,-12.14                ,+10.13               ,+86.86               ,+2.33                ,+33.06            ,182.56     ,183.64    ,161.69   ,161.69 ,2.55         ,36.00            ,-1.76         ,0.82              ,--                   ,19.82                    ,--              ,57.98        ,22.37                ,--       ,167.65    ,175.66    ,167.63     ,170.68    ,171.14     ,17.83                ,43.51     ,35.93                   ,8.16 ,186.43              ,-14.35                    ,-7.04          ,174.76    ,168.32     ,171.33    ,172.85    ,170.40     ,37.18     ,43.16                ,43.78         ,7.55 ,-2.37      ,-11.25         ,-8.39                     ,172.93    ,170.25     ,172.62    ,36.53                ,14.05                   ,10.01   ,159.43                 ,-13.95         ,-13.41                    ,-1149.28  , 
LULU  ,+0.36      ,50.07     ,3570979  ,22.52    ,6.33B     ,10             ,-1.81                     ,22.07     ,57.62     ,-3.70,-96.22      ,41.25                  ,-22.00            ,31.59                  ,60.66                  ,Textiles Apparel & Luxury Goods               ,NASDAQ  ,LULULEMON ATHLETICA INC  ,Apparel Accessories & Luxury Goods   ,--      ,49.76         ,50.07 ,100     ,17940147     ,2615696     ,19.90                   ,136.52                 ,No        ,49.89 ,50.54 ,50.08 ,79.44                 ,5823752       ,2811223    ,61.32                    ,127.03                ,No                ,Consumer Discretionary,--            ,49.76     ,49.74 ,300     ,5390321     ,57.29                     ,66.25                  ,942.66M        ,No                  ,NR ,****     ,B+                 ,30.56          ,13.89                 ,47.22           ,2.78                   ,5.56            ,36                ,2.39              ,303.38M   ,2.34B  ,303.38M ,127.27M           ,2.21    ,2.21      ,1.89      ,2.32        ,1.66      ,1.91      ,1.85      ,13.96                       ,12.94   ,187.55            ,+0.31 ,-2.04                  ,-17.96                     ,-12.77                 ,-23.85                  ,-18.98               ,-30.59               ,-29.77               ,+0.16     ,50.96        ,66.43    ,31.27                  ,49.43     ,49.43    ,58.75                   ,18.72                        ,+0.62   ,+0.13,-15.87                 ,-0.24                 ,-12.03                 ,-20.42                   ,-23.43               ,-1.37                ,-20.19               ,+25.41            ,56              ,66.34     ,70.50   ,49.43       ,49.43   ,-0.31                ,0.47           ,+0.18    ,+0.26,-0.92                   ,-10.90                   ,-19.47                   ,-15.58                ,-23.39               ,-16.80               ,-14.94               ,+20.42            ,66.43      ,81.81     ,49.43    ,49.43  ,0.80         ,4.00             ,-0.33         ,0.97              ,--                   ,22.52                    ,5.11            ,--           ,21.48                ,2.70     ,57.42     ,64.17     ,62.69      ,59.02     ,63.70      ,20.65                ,36.85     ,46.28                   ,3.78 ,72.30               ,-15.38                    ,-18.12         ,64.84     ,66.42      ,59.44     ,62.45     ,63.92      ,31.29     ,36.48                ,57.43         ,2.80 ,-2.20      ,-16.07         ,-18.51                    ,60.66     ,63.86      ,62.86     ,30.68                ,12.51                   ,3.84    ,49.01                  ,-16.18         ,-16.71                    ,-24290.80 , 
MNRO  ,-0.79      ,50.55     ,178545   ,25.80    ,1.66B     ,2              ,-0.97                     ,23.02     ,52.48     ,-1.45,-88.35      ,6.52                   ,-7.99             ,20.42                  ,53.08                  ,Specialty Retail                              ,NGM/NGS ,MONRO MUFFLER BRAKE INC  ,Automotive Retail                    ,0.68    ,50.90         ,50.55 ,200     ,365578       ,304066      ,48.84                   ,58.72                  ,No        ,50.95 ,51.65 ,50.60 ,96.53                 ,350115        ,280298     ,51.00                    ,63.70                 ,No                ,Consumer Discretionary,1.30          ,50.90     ,50.47 ,200     ,336454      ,53.28                     ,53.07                  ,18.89M         ,Yes                 ,F  ,***      ,A-                 ,45.45          ,--                    ,54.55           ,--                     ,--              ,11                ,2.09              ,66.80M    ,943.65M,66.80M  ,32.57M            ,1.97    ,2.00      ,1.88      ,1.97        ,1.67      ,1.32      ,1.69      ,13.33                       ,7.08    ,140.32            ,-0.35 ,-1.50                  ,-4.10                      ,-6.32                  ,-9.97                   ,-18.22               ,+32.13               ,-17.29               ,+0.85     ,51.25        ,57.90    ,21.68                  ,49.95     ,49.95    ,93.48                   ,3.53                         ,-0.69   ,+0.05,-7.05                  ,-0.05                 ,-2.82                  ,-11.05                   ,-10.74               ,-5.61                ,-8.64                ,+11.98            ,4               ,53.20     ,61.10   ,49.95       ,49.95   ,-0.52                ,1.10           ,-0.40    ,+0.10,-0.50                   ,-2.18                    ,-5.25                    ,-5.64                 ,-26.24               ,+36.41               ,-14.31               ,+6.07             ,57.50      ,73.33     ,49.95    ,49.95  ,1.18         ,12.00            ,-0.08         ,1.11              ,--                   ,25.41                    ,17.01           ,50.18        ,25.90                ,1.76     ,51.86     ,55.78     ,56.76      ,53.02     ,56.42      ,24.80                ,40.92     ,24.62                   ,11.65,56.27               ,-5.70                     ,-7.20          ,56.29     ,58.44      ,52.34     ,54.97     ,56.87      ,36.47     ,41.36                ,19.36         ,12.53,-1.32      ,-4.25          ,-7.00                     ,53.08     ,56.89      ,55.34     ,37.18                ,16.63                   ,13.73   ,49.89                  ,-6.85          ,-3.70                     ,-351.79   , 
SNX   ,-2.58      ,107.72    ,133228   ,17.56    ,4.39B     ,69             ,-0.33                     ,23.50     ,113.24    ,-2.37,-99.17      ,2.82                   ,-7.98             ,26.55                  ,115.20                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors              ,1.00    ,109.88        ,107.62,100     ,199335       ,198422      ,66.84                   ,67.14                  ,No        ,110.57,111.33,107.82,73.82                 ,178200        ,189411     ,74.76                    ,70.34                 ,Yes               ,Information Technology,0.90          ,109.88    ,107.61,200     ,170102      ,76.48                     ,78.32                  ,22.08M         ,No                  ,B  ,****     ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,6.26    ,5.88      ,5.24      ,7.90        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-2.16 ,-4.34                  ,-4.62                      ,-6.16                  ,-7.51                   ,+47.33               ,+199.48              ,+18.80               ,+1.13     ,111.83       ,121.76   ,17.91                  ,108.88    ,77.54    ,97.18                   ,6.24                         ,-1.97   ,+0.69,-14.40                 ,-0.03                 ,-5.95                  ,-5.31                    ,-9.03                ,+88.46               ,-7.32                ,+12.96            ,10              ,112.75    ,129.23  ,108.88      ,108.88  ,-30.07               ,3.62           ,-2.86    ,+0.63,-0.36                   ,-5.32                    ,-5.13                    ,-8.92                 ,+21.94               ,+208.71              ,-1.48                ,+5.38             ,121.76     ,129.24    ,108.88   ,108.88 ,3.72         ,14.00            ,-0.11         ,0.75              ,--                   ,18.68                    ,3.65            ,30.86        ,13.90                ,0.31     ,112.73    ,117.44    ,116.45     ,114.13    ,115.90     ,28.14                ,42.76     ,30.95                   ,0.83 ,122.40              ,-7.51                     ,-12.89         ,118.35    ,111.01     ,114.43    ,116.52    ,115.03     ,36.81     ,44.42                ,52.33         ,6.84 ,-1.57      ,-10.05         ,-11.79                    ,115.20    ,119.07     ,116.70    ,39.22                ,9.68                    ,12.79   ,108.01                 ,-8.72          ,-8.73                     ,-229.62   , 
AAP   ,+0.32      ,144.22    ,421068   ,23.07    ,10.56B    ,19             ,-1.98                     ,25.44     ,148.66    ,-3.36,-86.51      ,72.59                  ,-12.70            ,40.04                  ,150.34                 ,Specialty Retail                              ,NYSE    ,ADVANCE AUTO PARTS INC   ,Automotive Retail                    ,0.24    ,143.04        ,144.17,100     ,1104475      ,1074613     ,38.12                   ,39.18                  ,Yes       ,143.76,144.69,144.27,99.57                 ,1007395       ,1104864    ,41.80                    ,38.11                 ,No                ,Consumer Discretionary,0.20          ,143.04    ,142.98,100     ,1014022     ,39.27                     ,41.52                  ,161.70M        ,No                  ,D  ,**       ,A+                 ,31.03          ,20.69                 ,41.38           ,3.45                   ,3.45            ,29                ,2.28              ,459.62M   ,9.57B  ,459.62M ,73.82M            ,6.20    ,6.20      ,6.40      ,7.57        ,6.71      ,5.32      ,5.22      ,13.77                       ,4.80    ,166.39            ,+1.18 ,-4.18                  ,-4.86                      ,-15.31                 ,-10.70                  ,-0.65                ,+69.17               ,-8.17                ,+1.02     ,145.22       ,156.09   ,33.14                  ,142.66    ,132.98   ,27.41                   ,3.39                         ,+0.82   ,+0.72,-26.56                 ,-0.04                 ,-8.05                  ,-9.67                    ,-15.39               ,+17.76               ,-12.30               ,+17.10            ,37              ,150.07    ,177.50  ,142.66      ,142.66  ,-10.00               ,0.47           ,+0.46    ,+0.50,-2.90                   ,-7.30                    ,-5.33                    ,-17.14                ,-7.39                ,+80.69               ,-0.50                ,+5.59             ,155.81     ,177.83    ,142.66   ,142.66 ,1.72         ,9.00             ,-1.25         ,0.99              ,--                   ,23.07                    ,8.20            ,35.76        ,18.89                ,1.10     ,147.60    ,156.47    ,159.32     ,149.89    ,157.82     ,17.51                ,39.72     ,33.03                   ,13.49,157.02              ,-8.95                     ,-25.31         ,159.04    ,158.89     ,149.12    ,155.10    ,158.12     ,33.78     ,38.64                ,60.07         ,11.66,-3.00      ,-14.96         ,-26.59                    ,150.34    ,162.96     ,156.06    ,31.63                ,8.24                    ,16.93   ,143.67                 ,-10.99         ,-17.23                    ,-1652.02  , 
THO   ,-1.11      ,91.85     ,687953   ,15.98    ,4.86B     ,73             ,-2.00                     ,25.48     ,96.67     ,-2.98,-94.75      ,21.94                  ,-25.79            ,37.01                  ,96.91                  ,Automobiles                                   ,NYSE    ,THOR INDUSTRIES INC      ,Automobile Manufacturers             ,1.32    ,92.46         ,91.85 ,100     ,679541       ,763448      ,101.24                  ,90.11                  ,No        ,92.88 ,93.38 ,91.90 ,95.95                 ,1048011       ,732187     ,65.64                    ,93.96                 ,Yes               ,Consumer Discretionary,1.40          ,92.46     ,91.42 ,200     ,1199897     ,72.92                     ,57.33                  ,64.54M         ,No                  ,C  ,--       ,B+                 ,72.73          ,--                    ,27.27           ,--                     ,--              ,11                ,1.55              ,256.52M   ,4.58B  ,256.52M ,52.59M            ,5.79    ,4.88      ,3.74      ,6.43        ,3.36      ,2.88      ,2.26      ,9.60                        ,5.60    ,307.52            ,-0.61 ,-4.29                  ,-4.59                      ,-3.99                  ,-10.64                  ,+58.26               ,+252.94              ,+50.06               ,+1.30     ,94.07        ,115.73   ,22.36                  ,91.91     ,60.05    ,78.06                   ,5.01                         ,-0.66   ,+0.42,-8.33                  ,-0.05                 ,-6.05                  ,-4.14                    ,-7.28                ,+66.18               ,-3.60                ,+24.32            ,11              ,98.66     ,115.73  ,91.91       ,91.91   ,-31.37               ,1.53           ,-1.03    ,+0.45,-1.88                   ,-4.45                    ,-6.14                    ,-11.01                ,+53.05               ,+186.61              ,+14.70               ,+15.17            ,105.00     ,115.74    ,91.91    ,91.91  ,1.96         ,20.00            ,-0.43         ,0.69              ,--                   ,18.94                    ,12.77           ,28.45        ,14.38                ,1.06     ,95.99     ,103.88    ,97.65      ,97.81     ,98.45      ,26.73                ,44.83     ,37.60                   ,5.25 ,101.05              ,-11.55                    ,-9.21          ,103.41    ,89.40      ,96.45     ,100.69    ,96.91      ,38.99     ,45.25                ,48.24         ,7.84 ,-2.66      ,-12.66         ,-9.71                     ,96.91     ,101.28     ,100.63    ,39.57                ,13.13                   ,19.49   ,92.77                  ,-9.60          ,-12.01                    ,-2874.43  , 
LCII  ,-2.52      ,94.75     ,171300   ,18.55    ,2.39B     ,23             ,-1.30                     ,25.78     ,99.57     ,-2.75,-97.24      ,9.26                   ,-2.81             ,30.73                  ,100.19                 ,Auto Components                               ,NYSE    ,LCI INDUSTRIES           ,Auto Parts & Equipment               ,2.00    ,96.45         ,94.75 ,100     ,242520       ,199169      ,70.63                   ,86.01                  ,No        ,97.20 ,97.20 ,94.85 ,93.87                 ,196222        ,171645     ,87.30                    ,99.80                 ,No                ,Consumer Discretionary,2.10          ,96.45     ,94.50 ,200     ,191606      ,72.36                     ,89.40                  ,23.84M         ,Yes                 ,C  ,--       ,B+                 ,60.00          ,40.00                 ,--              ,--                     ,--              ,5                 ,1.40              ,129.67M   ,1.68B  ,129.67M ,24.76M            ,5.20    ,5.20      ,3.02      ,5.89        ,2.56      ,2.11      ,1.64      ,23.00                       ,7.72    ,219.35            ,-1.70 ,-5.00                  ,-3.73                      ,-6.76                  ,-10.09                  ,+65.58               ,+327.80              ,+19.10               ,+1.24     ,98.36        ,112.00   ,19.95                  ,94.97     ,60.53    ,90.74                   ,4.98                         ,-1.76   ,+0.75,-16.50                 ,-0.04                 ,-5.30                  ,-6.55                    ,-10.09               ,+94.17               ,-6.97                ,+26.23            ,0               ,101.15    ,117.15  ,96.15       ,94.97   ,-33.97               ,2.45           ,-2.45    ,+0.78,-1.27                   ,-3.74                    ,-5.21                    ,-10.82                ,+57.35               ,+201.32              ,+2.77                ,+18.40            ,110.80     ,117.15    ,95.57    ,94.97  ,2.70         ,14.00            ,-0.25         ,0.80              ,--                   ,18.55                    ,6.86            ,9.08         ,16.39                ,1.42     ,98.64     ,106.26    ,103.72     ,100.60    ,103.53     ,29.66                ,44.01     ,36.62                   ,2.76 ,104.75              ,-13.60                    ,-12.55         ,106.81    ,99.82      ,99.47     ,103.92    ,102.58     ,39.00     ,45.03                ,48.42         ,13.95,-2.47      ,-13.30         ,-13.25                    ,100.19    ,106.41     ,104.21    ,40.55                ,12.73                   ,27.36   ,95.63                  ,-12.90         ,-11.65                    ,-81.55    , 
