Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
SJM   ,-0.23      ,130.50    ,588155    ,22.77    ,15.23B    ,8              ,-0.11                     ,15.23     ,133.26    ,-2.00,-98.85      ,11.12                  ,-30.12            ,29.86                  ,134.99                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats               ,3.00    ,130.80        ,130.47,100     ,1003309      ,1009709     ,58.62                   ,58.25                  ,Yes       ,130.81,131.33,130.53,78.13                 ,1330321       ,1269068    ,44.21                    ,46.35                 ,No                ,Consumer Staples      ,2.30          ,130.80    ,130.40,200     ,1293308     ,55.26                     ,45.48                  ,131.72M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.30 ,-0.65                  ,-3.11                      ,-2.00                  ,-3.65                   ,+18.32               ,+80.63               ,-12.61               ,+0.59     ,131.50       ,140.55   ,25.98                  ,130.43    ,122.05   ,88.88                   ,2.35                         ,-0.23   ,+0.01,+1.99                  ,-0.02                 ,-4.97                  ,-1.51                    ,+2.70                ,+44.27               ,+2.92                ,+9.24             ,17              ,133.47    ,143.68  ,130.43      ,130.43  ,-8.35                ,0.83           ,-0.31    ,+0.01,-0.14                   ,-4.19                    ,-3.66                    ,-4.96                 ,+3.11                ,+44.57               ,-2.21                ,+4.19             ,140.44     ,157.31    ,130.43   ,127.00 ,0.93         ,45.00            ,-0.10         ,0.98              ,--                   ,22.71                    ,--              ,73.43        ,17.10                ,1.95     ,131.95    ,137.10    ,132.64     ,134.05    ,134.95     ,16.11                ,44.62     ,32.50                   ,1.15 ,141.86              ,-8.36                     ,2.49           ,136.26    ,137.79     ,133.57    ,135.24    ,134.89     ,39.34     ,44.94                ,47.13         ,3.36 ,-1.48      ,-9.16          ,1.76                      ,134.99    ,132.93     ,135.17    ,39.86                ,11.68                   ,2.89    ,128.13                 ,-7.94          ,-7.20                     ,-5305.83   , 
AYI   ,-1.19      ,171.08    ,1746074   ,25.13    ,7.67B     ,34             ,-9.38                     ,17.30     ,197.48    ,-6.47,-97.31      ,21.59                  ,-33.74            ,22.34                  ,202.28                 ,Electrical Equipment                          ,NYSE    ,ACUITY BRANDS INC        ,Electrical Components & Equipment    ,0.52    ,173.93        ,171.01,200     ,1712094      ,694595      ,101.98                  ,251.38                 ,Yes       ,173.14,174.98,171.14,98.99                 ,914580        ,886426     ,190.92                   ,196.98                ,No                ,Industrials           ,0.30          ,173.93    ,170.00,200     ,903778      ,31.19                     ,193.20                 ,316.31M        ,No                  ,F  ,***      ,B+                 ,64.29          ,7.14                  ,14.29           ,14.29                  ,--              ,14                ,1.79              ,290.80M   ,3.29B  ,290.80M ,44.09M            ,6.92    ,6.63      ,5.09      ,8.71        ,4.05      ,2.95      ,2.72      ,23.50                       ,8.84    ,278.92            ,-2.86 ,-33.54                 ,-14.02                     ,-53.88                 ,-17.39                  ,+21.91               ,+232.34              ,-17.59               ,+1.33     ,180.25       ,212.42   ,105.91                 ,172.11    ,172.11   ,78.41                   ,17.01                        ,-1.64   ,-0.79,-61.82                 ,-0.17                 ,-30.24                 ,-23.65                   ,-24.61               ,+55.27               ,-11.58               ,+19.22            ,32              ,209.17    ,241.60  ,172.11      ,172.11  ,2.11                 ,3.91           ,-2.06    ,-0.45,-18.00                  ,-28.35                   ,-14.81                   ,-36.62                ,-6.28                ,+198.52              ,-22.81               ,+11.12            ,212.42     ,280.89    ,172.11   ,172.11 ,4.98         ,9.00             ,-1.08         ,1.08              ,--                   ,26.23                    ,22.86           ,21.39        ,19.96                ,2.33     ,197.02    ,207.93    ,224.66     ,199.88    ,218.45     ,18.39                ,35.40     ,51.29                   ,2.69 ,223.17              ,-31.48                    ,-31.44         ,208.22    ,239.71     ,200.17    ,208.32    ,221.33     ,30.53     ,36.02                ,54.06         ,20.85,-3.60      ,-35.62         ,-63.43                    ,202.28    ,222.92     ,210.65    ,31.39                ,15.29                   ,39.11   ,181.40                 ,-35.80         ,-32.91                    ,-5356.98   , 
LKQ   ,-1.12      ,28.18     ,1792690   ,18.96    ,8.74B     ,48             ,-1.63                     ,17.31     ,29.37     ,-0.66,-99.20      ,3.70                   ,-28.65            ,33.13                  ,29.64                  ,Distributors                                  ,NASDAQ  ,LKQ CORP                 ,Distributors                         ,--      ,28.35         ,28.17 ,900     ,2537352      ,2249685     ,70.65                   ,79.69                  ,Yes       ,28.50 ,28.70 ,28.18 ,94.65                 ,2594479       ,2490210    ,69.10                    ,71.99                 ,No                ,Consumer Discretionary,--            ,28.35     ,28.16 ,600     ,2586693     ,57.97                     ,69.30                  ,73.59M         ,No                  ,D  ,****     ,A-                 ,56.25          ,37.50                 ,6.25            ,--                     ,--              ,16                ,1.50              ,463.98M   ,8.58B  ,463.98M ,308.22M           ,1.50    ,1.50      ,1.38      ,1.86        ,1.25      ,1.02      ,0.87      ,13.50                       ,5.41    ,201.98            ,-0.17 ,-0.96                  ,-4.34                      ,-3.60                  ,-8.62                   ,+14.51               ,+87.81               ,-7.67                ,+0.56     ,28.78        ,31.74    ,7.65                   ,28.28     ,28.28    ,96.30                   ,4.50                         ,-0.60   ,+0.15,-2.81                  ,-0.05                 ,-1.53                  ,-11.27                   ,-7.50                ,+11.08               ,-4.50                ,+14.15            ,6               ,29.89     ,33.17   ,28.28       ,28.28   ,0.12                 ,0.52           ,-0.32    ,+0.53,-0.47                   ,-1.29                    ,-5.13                    ,-2.67                 ,-8.33                ,+34.51               ,-17.46               ,+6.65             ,31.25      ,36.35     ,28.28    ,28.28  ,0.54         ,19.00            ,-0.02         ,0.81              ,--                   ,18.96                    ,--              ,95.23        ,15.28                ,1.02     ,29.17     ,30.84     ,31.66      ,29.62     ,31.28      ,18.65                ,38.80     ,36.21                   ,0.80 ,30.88               ,-2.54                     ,-3.01          ,30.96     ,32.70      ,29.45     ,30.52     ,31.46      ,33.79     ,39.28                ,52.99         ,3.00 ,-0.55      ,-2.71          ,-3.32                     ,29.64     ,31.51      ,30.71     ,34.53                ,11.13                   ,9.62    ,28.39                  ,-2.52          ,-3.13                     ,-10127.03  , 
KATE  ,+0.26      ,19.53     ,2745694   ,16.41    ,2.50B     ,3              ,-10.09                    ,18.40     ,22.32     ,-0.29,-92.50      ,34.21                  ,-12.00            ,33.17                  ,23.02                  ,Textiles Apparel & Luxury Goods               ,NYSE    ,KATE SPADE & CO          ,Apparel Accessories & Luxury Goods   ,--      ,19.46         ,19.53 ,1400    ,5756597      ,3737135     ,47.70                   ,73.47                  ,No        ,19.48 ,19.78 ,19.54 ,99.61                 ,3584634       ,4065191    ,76.60                    ,67.54                 ,Yes               ,Consumer Discretionary,--            ,19.46     ,19.40 ,400     ,3507388     ,16.33                     ,78.28                  ,120.66M        ,No                  ,A  ,***      ,B-                 ,38.89          ,5.56                  ,55.56           ,--                     ,--              ,18                ,2.17              ,153.58M   ,1.38B  ,153.58M ,128.29M           ,1.19    ,1.19      ,0.13      ,0.87        ,1.25      ,0.60      ,-0.68     ,27.00                       ,11.12   ,354.23            ,+0.07 ,-3.62                  ,-15.46                     ,+0.83                  ,-6.97                   ,-30.43               ,+73.88               ,+12.71               ,+1.62     ,19.89        ,24.20    ,6.68                   ,19.17     ,14.02    ,65.79                   ,16.47                        ,+0.36   ,+0.02,+0.83                  ,-0.15                 ,-3.78                  ,+4.47                    ,+4.23                ,-37.37               ,+24.42               ,+45.50            ,48              ,23.46     ,24.24   ,19.17       ,19.17   ,-5.38                ,0.25           ,+0.05    ,+0.10,-2.18                   ,-3.56                    ,-16.27                   ,-1.46                 ,-8.97                ,+23.04               ,+35.61               ,+14.73            ,24.20      ,26.46     ,19.17    ,17.38  ,0.38         ,94.00            ,-0.13         ,0.71              ,--                   ,16.41                    ,8.51            ,90.65        ,22.38                ,1.81     ,22.40     ,21.75     ,18.73      ,22.45     ,20.40      ,17.26                ,47.71     ,42.73                   ,7.50 ,25.50               ,-4.00                     ,1.73           ,21.15     ,18.97      ,22.75     ,21.67     ,20.15      ,42.13     ,47.52                ,50.49         ,10.32,0.24       ,1.11           ,1.89                      ,23.02     ,19.15      ,21.33     ,41.79                ,14.06                   ,22.12   ,20.54                  ,-4.22          ,1.16                      ,-7109.53   , 
CVS   ,-1.21      ,76.88     ,9000665   ,15.86    ,80.66B    ,108            ,-0.20                     ,18.49     ,78.51     ,-0.55,-95.51      ,11.62                  ,-8.75             ,29.30                  ,78.91                  ,Food & Staples Retailing                      ,NYSE    ,CVS HEALTH CORP          ,Drug Retail                          ,2.00    ,77.87         ,76.88 ,400     ,5596801      ,7595591     ,160.82                  ,118.50                 ,Yes       ,77.82 ,77.87 ,76.89 ,86.43                 ,6574424       ,6936259    ,136.90                   ,129.76                ,No                ,Consumer Staples      ,2.60          ,77.87     ,76.75 ,1500    ,6466664     ,159.56                    ,139.19                 ,438.38M        ,No                  ,C  ,***      ,A+                 ,52.00          ,20.00                 ,28.00           ,--                     ,--              ,25                ,1.76              ,5.32B     ,177.53B,5.32B   ,1.04B             ,4.91    ,4.91      ,4.63      ,5.86        ,3.96      ,3.74      ,3.01      ,10.54                       ,3.00    ,870.23            ,-0.99 ,-1.50                  ,-1.32                      ,-2.83                  ,-2.39                   ,-21.31               ,+89.55               ,-16.74               ,+0.84     ,78.22        ,81.52    ,28.80                  ,77.56     ,69.30    ,88.38                   ,2.07                         ,-1.27   ,-0.05,-2.70                  ,-0.02                 ,-1.41                  ,-3.51                    ,-0.71                ,+10.04               ,+0.09                ,+14.37            ,3               ,79.11     ,84.72   ,77.63       ,77.56   ,-7.45                ,0.99           ,-0.94    ,-0.06,-0.16                   ,-1.04                    ,-1.77                    ,-1.90                 ,-22.83               ,+52.11               ,-10.81               ,+5.69             ,81.52      ,106.67    ,77.56    ,74.05  ,1.12         ,28.00            ,-0.13         ,0.68              ,--                   ,15.86                    ,--              ,69.54        ,13.28                ,0.45     ,78.28     ,79.04     ,79.89      ,78.72     ,80.74      ,26.86                ,42.96     ,27.22                   ,4.49 ,80.76               ,-2.94                     ,-4.82          ,79.62     ,85.36      ,78.47     ,79.32     ,81.51      ,39.96     ,44.55                ,51.54         ,11.91,-0.38      ,0.52           ,-4.33                     ,78.91     ,78.93      ,79.52     ,43.12                ,8.70                    ,20.24   ,77.07                  ,-4.16          ,1.81                      ,-8509.19   , 
WBA   ,-2.51      ,80.90     ,7775219   ,21.83    ,89.05B    ,172            ,-0.05                     ,18.57     ,83.34     ,-0.71,-89.92      ,21.43                  ,-24.87            ,27.01                  ,84.00                  ,Food & Staples Retailing                      ,NASDAQ  ,WALGREENS BOOTS ALLIANCE ,Drug Retail                          ,1.50    ,82.50         ,80.90 ,100     ,2828954      ,3989527     ,274.84                  ,194.89                 ,Yes       ,82.98 ,83.10 ,80.91 ,59.00                 ,3279364       ,3717557    ,237.10                   ,209.15                ,No                ,Consumer Staples      ,1.80          ,82.50     ,80.30 ,400     ,3201491     ,237.53                    ,242.86                 ,234.89M        ,No                  ,A  ,****     ,A-                 ,52.00          ,20.00                 ,24.00           ,4.00                   ,--              ,25                ,1.80              ,4.19B     ,117.35B,4.19B   ,1.08B             ,3.78    ,3.82      ,--        ,4.98        ,--        ,2.67      ,2.42      ,10.77                       ,3.56    ,391.17            ,-1.60 ,-2.46                  ,-1.78                      ,-0.66                  ,-1.58                   ,+1.57                ,+175.64              ,+1.09                ,+1.27     ,83.61        ,86.44    ,19.72                  ,82.39     ,75.74    ,78.57                   ,3.19                         ,-1.94   ,+0.48,-2.20                  ,-0.03                 ,-1.87                  ,-0.79                    ,+0.13                ,+32.79               ,+0.80                ,+13.80            ,5               ,83.87     ,88.00   ,82.39       ,82.39   ,-4.56                ,2.20           ,-2.08    ,+0.58,-0.04                   ,-1.50                    ,-2.21                    ,-1.33                 ,+0.38                ,+87.97               ,+3.94                ,+5.89             ,86.25      ,102.82    ,82.39    ,80.16  ,2.80         ,33.00            ,-0.60         ,0.94              ,--                   ,21.60                    ,22.06           ,61.77        ,16.55                ,0.76     ,82.97     ,84.00     ,83.48      ,83.62     ,83.65      ,28.09                ,44.53     ,31.63                   ,10.08,86.73               ,-3.49                     ,-1.65          ,83.85     ,82.67      ,83.48     ,83.99     ,83.50      ,38.85     ,47.49                ,55.66         ,7.91 ,-0.41      ,-0.53          ,-0.60                     ,84.00     ,84.03      ,83.95     ,43.80                ,9.01                    ,10.64   ,81.26                  ,-4.26          ,1.70                      ,-13031.19  , 
SAIC  ,-0.88      ,73.11     ,211893    ,22.93    ,3.22B     ,35             ,-0.04                     ,19.34     ,80.29     ,-3.18,-93.02      ,25.15                  ,-17.82            ,31.26                  ,83.41                  ,IT Services                                   ,NYSE    ,SCIENCE APPLICATIONS INTL,IT Consulting & Other Services       ,1.24    ,73.85         ,73.09 ,100     ,912732       ,326302      ,23.22                   ,64.94                  ,No        ,73.76 ,74.36 ,73.11 ,71.16                 ,417853        ,317257     ,50.71                    ,66.79                 ,Yes               ,Information Technology,1.70          ,73.84     ,72.69 ,300     ,395785      ,40.56                     ,53.54                  ,68.59M         ,No                  ,C  ,--       ,--                 ,57.14          ,--                    ,42.86           ,--                     ,--              ,7                 ,1.86              ,148.00M   ,4.45B  ,148.00M ,43.57M            ,3.22    ,3.22      ,2.47      ,3.95        ,2.91      ,2.27      ,3.66      ,5.00                        ,3.33    ,287.10            ,-0.73 ,-0.95                  ,-11.47                     ,-6.45                  ,-12.76                  ,+51.54               ,0.00                 ,+29.21               ,+1.65     ,74.50        ,88.82    ,15.51                  ,72.00     ,51.26    ,74.85                   ,12.45                        ,-0.99   ,-0.08,-11.85                 ,-0.15                 ,-10.56                 ,-8.03                    ,-12.59               ,+113.52              ,-11.94               ,+40.33            ,11              ,86.71     ,89.87   ,72.00       ,72.00   ,-21.43               ,1.25           ,-0.65    ,-0.11,-0.03                   ,-9.57                    ,-12.51                   ,-10.80                ,+42.18               ,0.00                 ,+8.13                ,+7.11             ,88.82      ,89.87     ,72.00    ,72.00  ,1.67         ,9.00             ,-0.42         ,0.99              ,--                   ,22.93                    ,--              ,288.70       ,18.70                ,0.72     ,80.00     ,84.54     ,81.43      ,81.51     ,81.43      ,20.34                ,41.42     ,46.97                   ,6.98 ,94.54               ,-13.54                    ,-11.26         ,84.43     ,74.10      ,82.21     ,83.44     ,80.17      ,34.13     ,42.04                ,67.64         ,7.06 ,-1.57      ,-9.53          ,-11.77                    ,83.41     ,83.95      ,83.30     ,34.90                ,9.07                    ,8.20    ,72.28                  ,-13.81         ,-8.51                     ,-1254.33   , 
FDS   ,+0.52      ,162.94    ,238149    ,19.07    ,6.42B     ,32             ,-0.87                     ,21.19     ,169.20    ,-3.84,-91.00      ,76.08                  ,-19.86            ,26.68                  ,172.94                 ,Capital Markets                               ,NYSE    ,FACTSET RESEARCH SYSTEMS ,Financial Exchanges & Data           ,2.00    ,162.35        ,162.94,200     ,466568       ,331028      ,51.04                   ,71.94                  ,No        ,162.09,163.55,163.01,96.46                 ,342916        ,258680     ,69.45                    ,92.06                 ,Yes               ,Financials            ,1.20          ,162.35    ,161.00,100     ,335072      ,46.98                     ,71.07                  ,76.42M         ,No                  ,F  ,***      ,A+                 ,--             ,5.88                  ,64.71           ,23.53                  ,5.88            ,17                ,3.29              ,338.82M   ,--     ,338.82M ,39.57M            ,8.52    ,8.19      ,5.71      ,7.26        ,4.92      ,4.45      ,4.12      ,10.65                       ,30.06   ,134.58            ,+0.59 ,-2.73                  ,-6.12                      ,-4.62                  ,-6.96                   ,+5.97                ,+76.95               ,+3.05                ,+0.74     ,166.07       ,182.56   ,20.09                  ,161.69    ,145.48   ,23.92                   ,5.15                         ,+0.36   ,-0.26,-2.12                  ,-0.01                 ,-11.57                 ,-2.77                    ,-0.39                ,+58.37               ,+1.18                ,+66.59            ,17              ,167.00    ,183.64  ,161.69      ,161.69  ,-15.52               ,0.61           ,+0.85    ,-0.16,-1.42                   ,-10.59                   ,-6.65                    ,-12.14                ,+10.13               ,+86.86               ,+2.33                ,+33.06            ,182.56     ,183.64    ,161.69   ,161.69 ,2.55         ,36.00            ,-1.94         ,0.82              ,--                   ,19.82                    ,--              ,57.98        ,22.37                ,--       ,167.66    ,175.67    ,167.63     ,170.70    ,171.14     ,17.83                ,43.66     ,35.93                   ,9.00 ,186.41              ,-14.35                    ,-6.86          ,174.76    ,168.32     ,171.34    ,172.86    ,170.41     ,37.47     ,43.16                ,43.78         ,7.83 ,-2.36      ,-11.07         ,-8.39                     ,172.94    ,170.26     ,172.63    ,36.53                ,14.05                   ,10.10   ,159.47                 ,-13.77         ,-13.41                    ,-1115.93   , 
GNRC  ,-0.78      ,35.46     ,531858    ,24.61    ,2.32B     ,25             ,+0.22                     ,21.26     ,37.34     ,-0.76,-99.40      ,1.59                   ,-20.51            ,31.84                  ,37.65                  ,Electrical Equipment                          ,NYSE    ,GENERAC HOLDINGS INC     ,Electrical Components & Equipment    ,--      ,36.92         ,35.46 ,200     ,463421       ,483370      ,114.77                  ,110.03                 ,No        ,35.74 ,36.70 ,35.48 ,97.77                 ,390372        ,418402     ,136.24                   ,127.12                ,No                ,Industrials           ,--            ,36.92     ,35.44 ,200     ,376563      ,205.44                    ,141.24                 ,17.24M         ,No                  ,D  ,--       ,--                 ,36.36          ,--                    ,54.55           ,9.09                   ,--              ,11                ,2.36              ,98.81M    ,1.44B  ,98.81M  ,62.74M            ,1.50    ,1.50      ,1.12      ,3.00        ,2.49      ,2.51      ,1.35      ,8.75                        ,6.84    ,369.90            ,-1.46 ,-1.83                  ,-1.94                      ,-2.43                  ,-6.37                   ,-23.43               ,+122.57              ,+6.64                ,+1.19     ,37.26        ,39.58    ,8.14                   ,36.47     ,32.34    ,98.41                   ,5.30                         ,-3.95   ,-1.18,-5.82                  ,-0.05                 ,-1.03                  ,-6.18                    ,-9.38                ,-36.78               ,-8.49                ,+22.79            ,28              ,37.74     ,44.84   ,36.72       ,36.47   ,-3.10                ,1.24           ,-0.28    ,-3.20,+0.08                   ,-0.73                    ,-2.72                    ,-2.51                 ,+0.11                ,+19.96               ,+2.70                ,+5.43             ,39.54      ,44.84     ,36.70    ,36.47  ,1.26         ,13.00            ,-0.02         ,1.06              ,--                   ,24.61                    ,--              ,232.24       ,12.32                ,1.60     ,37.12     ,39.23     ,39.66      ,37.62     ,38.98      ,33.14                ,42.41     ,33.89                   ,0.60 ,39.33               ,-2.26                     ,-4.83          ,39.22     ,38.24      ,37.34     ,38.67     ,38.90      ,37.23     ,45.20                ,54.67         ,13.77,-0.67      ,-5.83          ,-3.79                     ,37.65     ,40.14      ,38.83     ,41.71                ,9.93                    ,22.65   ,35.97                  ,-3.19          ,-3.62                     ,-1220.59   , 
MPG   ,-1.46      ,21.93     ,179737    ,15.94    ,1.50B     ,13             ,-1.18                     ,21.65     ,22.71     ,-0.29,-98.68      ,5.88                   ,-37.69            ,26.23                  ,22.96                  ,Auto Components                               ,NYSE    ,METALDYNE PERFORMANCE GRO,Auto Parts & Equipment               ,0.37    ,22.15         ,21.90 ,1000    ,162034       ,296205      ,110.93                  ,60.68                  ,No        ,22.25 ,22.33 ,21.95 ,20.26                 ,178500        ,232456     ,100.69                   ,77.32                 ,No                ,Consumer Discretionary,1.70          ,22.15     ,21.90 ,17400   ,177815      ,104.95                    ,101.08                 ,3.63M          ,No                  ,NR ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,96.90M    ,2.79B  ,96.90M  ,67.92M            ,1.39    ,1.39      ,1.80      ,1.80        ,1.06      ,0.86      ,-1.96     ,13.00                       ,3.45    ,232.56            ,-0.22 ,-0.98                  ,-3.51                      ,+1.20                  ,-4.77                   ,+31.93               ,0.00                 ,+68.59               ,+1.95     ,22.35        ,23.80    ,1.68                   ,22.05     ,12.55    ,94.12                   ,4.14                         ,-1.02   ,+0.10,-0.98                  ,-0.04                 ,-0.90                  ,+5.70                    ,-3.10                ,0.00                 ,-0.04                ,+14.77            ,2               ,23.00     ,24.00   ,22.15       ,22.05   ,-9.35                ,0.40           ,-0.32    ,+0.45,-0.27                   ,-0.81                    ,-3.91                    ,-1.11                 ,+39.51               ,0.00                 ,+45.40               ,+3.05             ,23.80      ,24.00     ,22.05    ,22.05  ,0.43         ,28.00            ,-0.03         ,0.68              ,--                   ,15.94                    ,--              ,269.71       ,12.31                ,0.54     ,22.60     ,23.30     ,21.52      ,22.83     ,21.97      ,24.89                ,49.63     ,39.15                   ,1.32 ,23.92               ,-1.00                     ,-0.48          ,23.28     ,19.12      ,22.83     ,22.89     ,21.57      ,41.94     ,50.81                ,51.82         ,6.15 ,-0.18      ,-1.68          ,-0.45                     ,22.96     ,22.52      ,22.76     ,43.74                ,12.42                   ,14.63   ,22.00                  ,-1.43          ,-1.40                     ,-950.26    , 
