Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
TASR  ,-7.04      ,21.71     ,8748440   ,68.75    ,1.15B     ,172            ,-1.97                     ,31.01     ,22.63     ,-0.54,-78.53      ,23.76                  ,-32.36            ,26.77                  ,22.65                  ,Aerospace & Defense                           ,NGM/NGS ,TASER INTERNATIONAL INC  ,Aerospace & Defense                  ,--      ,22.00         ,21.70 ,200     ,811150       ,1034503     ,1078.52                 ,845.67                 ,No        ,23.35 ,23.39 ,21.71 ,81.44                 ,797845        ,889161     ,1096.51                  ,983.90                ,No                ,Industrials           ,--            ,22.00     ,21.18 ,200     ,854564      ,795.42                    ,1023.73                ,18.33M         ,Yes                 ,F  ,--       ,B-                 ,33.33          ,33.33                 ,33.33           ,--                     ,--              ,9                 ,2.00              ,17.30M    ,268.24M,17.30M  ,52.34M            ,0.32    ,0.32      ,0.36      ,0.42        ,0.37      ,0.34      ,0.27      ,30.00                       ,6.45    ,383.76            ,-0.29 ,-1.07                  ,-2.89                      ,-2.73                  ,-10.10                  ,-5.47                ,+425.12              ,-8.40                ,+0.62     ,22.64        ,23.63    ,6.76                   ,21.97     ,17.18    ,76.24                   ,4.19                         ,-1.34   ,+1.35 ,-2.69                  ,-0.04                 ,-0.67                  ,-11.02                   ,-9.24                ,+24.60               ,-5.98                ,+11.24            ,4               ,23.34     ,27.56   ,21.97       ,21.97   ,-4.00                ,1.69           ,-1.64    ,+6.14,-0.44                   ,-0.65                    ,-2.96                    ,-2.47                 ,+16.10               ,+186.67              ,-20.34               ,+6.81             ,23.63      ,30.15     ,21.97    ,21.97  ,2.21         ,16.00            ,-0.53         ,2.95              ,--                   ,68.75                    ,9.20            ,0.08         ,52.59                ,4.29     ,22.52     ,24.33     ,24.65      ,22.82     ,24.34      ,34.20                ,42.10     ,28.97                   ,21.47,23.39               ,-0.49                     ,-2.56          ,24.42     ,25.54      ,22.62     ,23.74     ,24.42      ,38.28     ,42.84                ,40.06         ,17.25,-0.56      ,-5.10          ,-2.55                     ,22.65     ,25.03      ,23.93     ,39.48                ,12.40                   ,30.92   ,21.92                  ,-0.66          ,-4.92                     ,-6150.76   , 
BSBR  ,-4.27      ,8.52      ,5162111   ,15.83    ,33.30B    ,69             ,+0.34                     ,22.28     ,9.32      ,-0.49,-98.52      ,7.32                   ,-39.98            ,37.21                  ,9.64                   ,Banks                                         ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.81          ,8.52  ,500     ,3806762      ,1534134     ,135.60                  ,336.48                 ,No        ,8.90  ,8.90  ,8.52  ,0.63                  ,2673032       ,1779673    ,193.12                   ,290.06                ,No                ,Financials            ,4.90          ,8.81      ,8.49  ,1400    ,2517076     ,231.78                    ,205.08                 ,33.53M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,66.67                  ,33.33           ,6                 ,4.33              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.23                        ,5.89    ,--                ,-0.29 ,-0.28                  ,-8.61                      ,-0.1079                ,-13.23                  ,+135.11              ,+42.89               ,+62.52               ,+1.58     ,8.91         ,11.19    ,2.85                   ,8.63      ,4.41     ,92.68                   ,10.81                        ,-3.29   ,+0.09 ,-0.75                  ,-0.03                 ,-1.0295                ,-1.21                    ,+3.30                ,+91.34               ,+3.42                ,+8.49             ,0               ,9.02      ,11.75   ,8.69        ,8.63    ,-4.08                ,0.38           ,-0.38    ,+1.02,+0.03                   ,-0.8295                  ,-10.46                   ,-1.3434               ,+99.21               ,+72.49               ,+37.22               ,+1.12             ,10.64      ,11.75     ,8.63     ,8.63   ,0.41         ,27.00            ,-0.03         ,0.68              ,--                   ,15.83                    ,2.01            ,--           ,--                   ,2.44     ,9.10      ,10.30     ,9.14       ,9.51      ,9.36       ,26.24                ,45.38     ,35.28                   ,1.48 ,10.94               ,-2.03                     ,-0.74          ,10.20     ,8.05       ,9.44      ,9.81      ,9.13       ,39.04     ,46.83                ,62.15         ,7.72 ,-0.37      ,-1.59          ,-0.27                     ,9.64      ,9.39       ,9.76      ,41.06                ,8.23                    ,9.46    ,8.34                   ,-1.85          ,-1.43                     ,-19282.31  , 
FNSR  ,-4.00      ,25.46     ,3243157   ,22.54    ,2.95B     ,130            ,-1.61                     ,27.13     ,27.77     ,-1.26,-98.63      ,4.24                   ,-12.49            ,30.18                  ,27.65                  ,Communications Equipment                      ,NCM     ,FINISAR CORP             ,Communications Equipment             ,--      ,26.48         ,25.45 ,300     ,3549555      ,2911746     ,91.37                   ,111.38                 ,No        ,26.52 ,26.59 ,25.46 ,98.03                 ,5954080       ,3848089    ,54.47                    ,84.28                 ,No                ,Information Technology,--            ,26.48     ,25.41 ,500     ,5592342     ,169.71                    ,57.99                  ,97.43M         ,No                  ,C  ,--       ,B                  ,69.23          ,23.08                 ,7.69            ,--                     ,--              ,13                ,1.38              ,35.19M    ,1.26B  ,35.19M  ,111.39M           ,1.17    ,0.32      ,0.11      ,2.07        ,1.09      ,-0.06     ,0.46      ,15.00                       ,2.79    ,94.27             ,-1.02 ,-1.93                  ,-4.24                      ,-4.09                  ,-13.20                  ,+28.12               ,+35.68               ,+56.14               ,+1.41     ,27.21        ,35.25    ,10.26                  ,25.61     ,15.21    ,95.76                   ,7.93                         ,-3.85   ,+0.04 ,-5.06                  ,-0.09                 ,-2.23                  ,-13.39                   ,-12.52               ,+3.13                ,-9.68                ,+10.41            ,3               ,29.01     ,36.40   ,26.41       ,25.61   ,-10.20               ,1.13           ,-1.06    ,+0.15,-0.43                   ,-1.17                    ,-7.77                    ,-4.03                 ,+49.89               ,+107.28              ,-8.26                ,+6.63             ,35.25      ,36.85     ,26.41    ,25.61  ,1.18         ,11.00            ,-0.05         ,0.97              ,--                   ,82.75                    ,2.74            ,19.78        ,12.79                ,2.34     ,27.61     ,30.77     ,30.59      ,28.25     ,29.63      ,32.12                ,43.55     ,37.31                   ,1.37 ,31.39               ,-8.21                     ,-3.14          ,30.54     ,27.27      ,27.48     ,29.73     ,29.25      ,39.14     ,44.93                ,45.97         ,14.38,-1.18      ,-5.43          ,-2.48                     ,27.65     ,30.96      ,29.87     ,41.14                ,13.81                   ,33.14   ,23.91                  ,-8.89          ,-3.65                     ,-6169.92   , 
OPB   ,-3.16      ,19.13     ,102788    ,60.22    ,673.52M   ,17             ,-0.35                     ,38.04     ,19.63     ,-0.54,-63.51      ,--                     ,11.75             ,31.27                  ,19.55                  ,Banks                                         ,NASDAQ  ,OPUS BANK                ,Regional Banks                       ,--      ,19.65         ,19.10 ,1100    ,424210       ,350969      ,24.23                   ,29.29                  ,No        ,19.75 ,19.85 ,19.15 ,50.02                 ,366991        ,348673     ,28.01                    ,29.48                 ,No                ,Financials            ,--            ,19.64     ,19.13 ,400     ,346038      ,43.58                     ,29.70                  ,8.39M          ,Yes                 ,C  ,--       ,--                 ,--             ,25.00                 ,75.00           ,--                     ,--              ,4                 ,2.75              ,11.45M    ,336.69M,11.45M  ,34.28M            ,0.33    ,0.33      ,1.79      ,1.68        ,1.38      ,4.96      ,0.79      ,--                          ,6.41    ,213.88            ,-0.52 ,-1.02                  ,+0.46                      ,-5.45                  ,-13.74                  ,-33.16               ,0.00                 ,-40.01               ,+1.07     ,19.82        ,21.70    ,18.34                  ,18.45     ,18.21    ,100.00                  ,1.22                         ,-2.62   ,+0.11 ,-11.38                 ,0.00                  ,-0.17                  ,-21.72                   ,-34.61               ,0.00                 ,-32.95               ,+1.28             ,2               ,20.30     ,30.60   ,19.50       ,18.45   ,-0.92                ,0.73           ,-0.62    ,+0.56,-0.07                   ,+0.09                    ,-0.84                    ,-3.13                 ,-40.06               ,0.00                 ,-43.03               ,+0.16             ,21.60      ,38.19     ,19.00    ,18.45  ,0.73         ,1.00             ,0.00          ,2.59              ,--                   ,60.22                    ,1.25            ,--           ,11.70                ,2.00     ,19.39     ,20.99     ,23.97      ,19.81     ,23.66      ,45.92                ,38.22     ,25.23                   ,36.49,20.59               ,-1.81                     ,-10.08         ,22.14     ,28.10      ,19.36     ,21.37     ,24.41      ,36.57     ,39.26                ,19.53         ,57.03,-0.70      ,-2.03          ,-9.86                     ,19.55     ,24.17      ,21.88     ,38.47                ,16.99                   ,71.65   ,18.51                  ,-1.73          ,-1.41                     ,632.44     , 
SNX   ,-2.68      ,107.61    ,132645    ,17.56    ,4.39B     ,69             ,-0.31                     ,23.31     ,113.23    ,-2.38,-100.00     ,--                     ,-8.22             ,26.55                  ,115.20                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors              ,1.00    ,109.88        ,107.61,100     ,199335       ,198422      ,66.54                   ,66.85                  ,No        ,110.57,111.33,107.82,73.82                 ,178200        ,189411     ,74.44                    ,70.03                 ,Yes               ,Information Technology,0.90          ,109.88    ,107.61,100     ,170102      ,76.15                     ,77.98                  ,22.08M         ,No                  ,B  ,****     ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,6.26    ,5.88      ,5.24      ,7.90        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-2.27 ,-4.44                  ,-4.62                      ,-6.16                  ,-7.51                   ,+47.33               ,+199.48              ,+18.80               ,+1.13     ,111.83       ,121.76   ,17.91                  ,108.88    ,77.54    ,100.00                  ,6.33                         ,-2.07   ,+0.69 ,-14.51                 ,-0.03                 ,-5.95                  ,-5.31                    ,-9.03                ,+88.46               ,-7.32                ,+12.96            ,10              ,112.75    ,129.23  ,108.88      ,108.88  ,-30.07               ,3.72           ,-2.96    ,+0.63,-0.34                   ,-5.32                    ,-5.13                    ,-8.92                 ,+21.94               ,+208.71              ,-1.48                ,+5.38             ,121.76     ,129.24    ,108.88   ,108.88 ,3.72         ,14.00            ,0.00          ,0.75              ,--                   ,18.68                    ,3.65            ,30.86        ,13.90                ,0.31     ,112.72    ,117.44    ,116.45     ,114.12    ,115.89     ,28.14                ,42.69     ,30.95                   ,--   ,122.41              ,-7.51                     ,-12.99         ,118.35    ,111.01     ,114.43    ,116.52    ,115.03     ,36.70     ,44.42                ,52.33         ,6.56 ,-1.57      ,-10.15         ,-11.79                    ,115.20    ,119.07     ,116.69    ,39.22                ,9.68                    ,12.70   ,107.98                 ,-8.82          ,-8.73                     ,-236.55    , 
LCII  ,-2.65      ,94.63     ,170100    ,18.55    ,2.39B     ,23             ,-1.27                     ,25.53     ,99.55     ,-2.76,-98.62      ,4.63                   ,-3.32             ,30.73                  ,100.18                 ,Auto Components                               ,NYSE    ,LCI INDUSTRIES           ,Auto Parts & Equipment               ,2.00    ,96.45         ,94.55 ,100     ,242520       ,199169      ,70.14                   ,85.40                  ,No        ,97.20 ,97.20 ,94.70 ,93.87                 ,196222        ,171645     ,86.69                    ,99.10                 ,No                ,Consumer Discretionary,2.10          ,96.45     ,94.50 ,400     ,191606      ,71.85                     ,88.78                  ,23.84M         ,Yes                 ,C  ,--       ,B+                 ,60.00          ,40.00                 ,--              ,--                     ,--              ,5                 ,1.40              ,129.67M   ,1.68B  ,129.67M ,24.76M            ,5.20    ,5.20      ,3.02      ,5.89        ,2.56      ,2.11      ,1.64      ,23.00                       ,7.72    ,219.35            ,-1.82 ,-5.12                  ,-3.73                      ,-6.76                  ,-10.09                  ,+65.58               ,+327.80              ,+19.10               ,+1.24     ,98.36        ,112.00   ,19.95                  ,94.97     ,60.53    ,95.37                   ,5.11                         ,-1.89   ,+0.75 ,-16.62                 ,-0.05                 ,-5.30                  ,-6.55                    ,-10.09               ,+94.17               ,-6.97                ,+26.23            ,0               ,101.15    ,117.15  ,96.15       ,94.97   ,-33.97               ,2.58           ,-2.58    ,+0.78,-1.25                   ,-3.73                    ,-5.21                    ,-10.82                ,+57.35               ,+201.32              ,+2.77                ,+18.40            ,110.80     ,117.15    ,95.57    ,94.97  ,2.70         ,14.00            ,-0.13         ,0.80              ,--                   ,18.55                    ,6.86            ,9.08         ,16.39                ,1.42     ,98.63     ,106.26    ,103.72     ,100.59    ,103.53     ,29.66                ,43.94     ,36.62                   ,1.38 ,104.77              ,-13.60                    ,-12.68         ,106.81    ,99.82      ,99.46     ,103.91    ,102.58     ,38.89     ,45.03                ,48.42         ,13.49,-2.47      ,-13.43         ,-13.25                    ,100.18    ,106.41     ,104.21    ,40.55                ,12.73                   ,27.20   ,95.59                  ,-13.03         ,-11.65                    ,-96.33     , 
WBA   ,-2.52      ,80.89     ,7767089   ,21.83    ,89.05B    ,172            ,-0.05                     ,18.53     ,83.34     ,-0.71,-90.08      ,21.07                  ,-24.97            ,27.01                  ,84.00                  ,Food & Staples Retailing                      ,NASDAQ  ,WALGREENS BOOTS ALLIANCE ,Drug Retail                          ,1.50    ,82.50         ,80.89 ,600     ,2828954      ,3989527     ,274.56                  ,194.69                 ,Yes       ,82.98 ,83.10 ,80.90 ,59.00                 ,3279364       ,3717557    ,236.85                   ,208.93                ,No                ,Consumer Staples      ,1.80          ,82.50     ,80.30 ,300     ,3201491     ,237.28                    ,242.61                 ,234.89M        ,No                  ,A  ,****     ,A-                 ,52.00          ,20.00                 ,24.00           ,4.00                   ,--              ,25                ,1.80              ,4.19B     ,117.35B,4.19B   ,1.08B             ,3.78    ,3.82      ,--        ,4.98        ,--        ,2.67      ,2.42      ,10.77                       ,3.56    ,391.17            ,-1.61 ,-2.47                  ,-1.78                      ,-0.66                  ,-1.58                   ,+1.57                ,+175.64              ,+1.09                ,+1.27     ,83.61        ,86.44    ,19.72                  ,82.39     ,75.74    ,78.93                   ,3.20                         ,-1.95   ,+0.48 ,-2.21                  ,-0.03                 ,-1.87                  ,-0.79                    ,+0.13                ,+32.79               ,+0.80                ,+13.80            ,5               ,83.87     ,88.00   ,82.39       ,82.39   ,-4.56                ,2.21           ,-2.09    ,+0.58,-0.04                   ,-1.50                    ,-2.21                    ,-1.33                 ,+0.38                ,+87.97               ,+3.94                ,+5.89             ,86.25      ,102.82    ,82.39    ,80.16  ,2.80         ,33.00            ,-0.59         ,0.94              ,--                   ,21.60                    ,22.06           ,61.77        ,16.55                ,0.76     ,82.97     ,84.00     ,83.48      ,83.62     ,83.65      ,28.09                ,44.52     ,31.63                   ,9.92 ,86.73               ,-3.49                     ,-1.66          ,83.85     ,82.67      ,83.48     ,83.99     ,83.50      ,38.82     ,47.49                ,55.66         ,7.86 ,-0.41      ,-0.54          ,-0.60                     ,84.00     ,84.03      ,83.95     ,43.80                ,9.01                    ,10.62   ,81.26                  ,-4.27          ,1.70                      ,-13082.02  , 
TVPT  ,-2.22      ,11.47     ,442427    ,90.23    ,1.46B     ,33             ,+0.02                     ,28.19     ,11.83     ,-0.32,-93.67      ,3.23                   ,-13.84            ,53.62                  ,11.86                  ,IT Services                                   ,NYSE    ,TRAVELPORT WORLDWIDE LTD ,Data Processing & Outsourced Services,0.30    ,11.73         ,11.46 ,1500    ,1194492      ,1061831     ,37.04                   ,41.67                  ,No        ,11.73 ,11.77 ,11.47 ,92.99                 ,1223736       ,1124373    ,36.15                    ,39.35                 ,No                ,Information Technology,2.60          ,11.73     ,11.46 ,1700    ,1230810     ,50.52                     ,35.95                  ,14.10M         ,No                  ,B  ,--       ,--                 ,54.55          ,9.09                  ,36.36           ,--                     ,--              ,11                ,1.82              ,15.05M    ,2.35B  ,15.05M  ,124.08M           ,0.13    ,0.13      ,0.13      ,1.34        ,0.98      ,-4.53     ,-35.92    ,8.80                        ,0.72    ,470.27            ,-0.26 ,-0.31                  ,-1.12                      ,-1.91                  ,-11.49                  ,-26.34               ,0.00                 ,-7.16                ,+0.57     ,11.83        ,12.44    ,3.38                   ,11.42     ,11.28    ,96.77                   ,2.66                         ,-2.22   ,0.00  ,-2.65                  ,-0.03                 ,-0.18                  ,-13.98                   ,-16.32               ,0.00                 ,-16.03               ,-4.20             ,3               ,11.93     ,14.70   ,11.67       ,11.42   ,-0.18                ,0.30           ,-0.26    ,0.00 ,0.00                    ,-0.13                    ,-1.53                    ,-1.52                 ,-11.90               ,0.00                 ,-20.81               ,+0.52             ,12.31      ,15.15     ,11.67    ,11.42  ,0.31         ,6.00             ,-0.01         ,3.88              ,--                   ,90.23                    ,--              ,-679.37      ,8.76                 ,0.62     ,11.70     ,12.89     ,13.49      ,11.94     ,13.10      ,36.50                ,37.72     ,33.87                   ,6.33 ,12.33               ,-0.36                     ,-2.98          ,13.12     ,13.58      ,11.77     ,12.59     ,13.20      ,33.22     ,39.23                ,56.47         ,28.33,-0.37      ,-2.42          ,-2.77                     ,11.86     ,13.40      ,12.74     ,35.61                ,9.42                    ,37.28   ,11.40                  ,-0.63          ,-2.50                     ,-1860.02   , 
PATK  ,-2.06      ,64.25     ,109285    ,17.94    ,1.09B     ,24             ,-2.90                     ,26.08     ,68.86     ,-2.82,-94.99      ,18.18                  ,3.36              ,35.37                  ,69.27                  ,Building Products                             ,NCM     ,PATRICK INDUSTRIES INC   ,Building Products                    ,--      ,65.30         ,64.20 ,300     ,203619       ,142262      ,53.67                   ,76.82                  ,No        ,65.60 ,66.05 ,64.30 ,78.52                 ,278967        ,168547     ,39.17                    ,64.84                 ,No                ,Industrials           ,--            ,65.30     ,63.85 ,400     ,265442      ,42.64                     ,41.17                  ,13.82M         ,Yes                 ,C  ,--       ,B-                 ,25.00          ,50.00                 ,25.00           ,--                     ,--              ,4                 ,2.00              ,55.58M    ,1.22B  ,55.58M  ,16.76M            ,3.64    ,3.64      ,2.72      ,3.91        ,1.91      ,1.49      ,1.76      ,15.00                       ,4.55    ,271.71            ,-1.05 ,-6.65                  ,-5.73                      ,-6.31                  ,-15.65                  ,+70.79               ,+775.31              ,+17.60               ,+0.79     ,67.42        ,81.59    ,20.05                  ,65.00     ,43.36    ,81.82                   ,6.77                         ,-1.61   ,+0.30 ,-12.09                 ,-0.07                 ,-5.33                  ,-8.82                    ,-14.42               ,+139.91              ,-7.08                ,+35.39            ,5               ,71.70     ,86.10   ,65.00       ,65.00   ,-20.49               ,1.80           ,-1.35    ,+0.46,-1.95                   ,-3.97                    ,-7.55                    ,-12.12                ,+56.20               ,+574.81              ,+14.50               ,+12.13            ,77.25      ,86.10     ,65.00    ,65.00  ,2.20         ,15.00            ,-0.40         ,0.77              ,--                   ,17.94                    ,--              ,138.48       ,16.71                ,0.90     ,68.08     ,76.43     ,72.46      ,69.92     ,72.83      ,28.43                ,42.25     ,32.45                   ,5.01 ,73.36               ,-11.29                    ,-15.90         ,77.02     ,68.59      ,68.60     ,73.36     ,71.96      ,36.45     ,43.05                ,42.97         ,4.39 ,-2.66      ,-16.95         ,-14.95                    ,69.27     ,75.16      ,73.61     ,37.55                ,12.94                   ,25.59   ,65.18                  ,-10.95         ,-15.70                    ,97.68      , 
RAD   ,-1.84      ,4.27      ,13584996  ,52.97    ,4.44B     ,12             ,-1.36                     ,28.70     ,4.51      ,-0.34,-87.10      ,14.29                  ,-47.26            ,41.23                  ,4.58                   ,Food & Staples Retailing                      ,NYSE    ,RITE AID CORP            ,Drug Retail                          ,--      ,4.21          ,4.27  ,22600   ,18795384     ,21418556    ,72.28                   ,63.43                  ,No        ,4.35  ,4.39  ,4.28  ,62.76                 ,21371162      ,25594760   ,63.57                    ,53.08                 ,No                ,Consumer Staples      ,--            ,4.21      ,4.25  ,21600   ,22267056    ,87.30                     ,61.01                  ,80.48M         ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.07        ,0.23      ,0.12      ,-0.43     ,2.75                        ,0.54    ,435.49            ,+0.06 ,-0.01                  ,-8.07                      ,-2.5845                ,-29.44                  ,-51.09               ,+144.25              ,-43.26               ,+1.90     ,4.25         ,5.49     ,4.38                   ,4.15      ,4.15     ,85.71                   ,5.51                         ,+1.43   ,+0.14 ,-3.96                  ,-0.05                 ,-0.4359                ,-38.04                   ,-48.91               ,-32.22               ,-48.42               ,+15.84            ,6               ,4.59      ,8.77    ,4.15        ,4.15    ,-0.10                ,0.12           ,-0.08    ,+3.33,-0.058                  ,-0.3695                  ,-9.38                    ,-1.7569               ,-47.85               ,+123.68              ,-44.73               ,+0.78             ,5.15       ,8.77      ,4.15     ,4.15   ,0.14         ,--               ,-0.02         ,2.28              ,--                   ,26.31                    ,--              ,1198.31      ,64.77                ,0.14     ,4.41      ,5.26      ,6.69       ,4.63      ,6.10       ,23.43                ,34.11     ,32.68                   ,12.90,5.06                ,-0.80                     ,-4.17          ,5.74      ,7.00       ,4.51      ,5.36      ,6.29       ,30.80     ,33.43                ,34.88         ,7.63 ,-0.36      ,-1.02          ,-4.19                     ,4.58      ,6.67       ,5.55      ,29.55                ,15.78                   ,5.53    ,4.10                   ,-0.38          ,-1.08                     ,-120899.44 , 
