Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                              ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
LII   ,-1.10      ,164.66    ,129701   ,26.24    ,7.13B     ,22             ,-0.37                     ,32.17     ,167.74    ,0.34 ,-100.00     ,--                     ,-19.02            ,25.62                  ,168.88                 ,Building Products                             ,NYSE    ,LENNOX INTERNATIONAL INC ,Building Products                         ,1.72    ,165.87        ,164.67,400     ,250922       ,361447      ,51.69                   ,35.88                  ,No        ,166.49,167.15,164.81,71.07                 ,250040        ,331365     ,51.87                    ,39.14                 ,Yes               ,Industrials           ,1.00          ,165.87    ,164.66,300     ,248201      ,65.82                     ,52.26                  ,41.88M         ,No                  ,D  ,****     ,A-                 ,26.67          ,--                    ,66.67           ,--                     ,6.67            ,15                ,2.60              ,277.80M   ,3.64B  ,277.80M ,42.98M            ,6.32    ,6.32      ,4.10      ,7.93        ,4.23      ,3.39      ,1.75      ,20.00                       ,7.63    ,343.55            ,-1.21  ,-3.34                  ,-1.78                      ,+8.59                  ,+2.53                   ,+53.30               ,+342.71              ,+18.27               ,+1.09     ,167.09       ,172.96   ,5.81                   ,165.26    ,131.90   ,100.00                  ,2.65                         ,-0.73   ,+0.62,+10.22                 ,-0.02                 ,-2.80                  ,+5.46                    ,+8.57                ,+90.81               ,+9.50                ,+400.29           ,2               ,169.07    ,172.96  ,165.40      ,165.26  ,-32.76               ,2.49           ,-1.83    ,+0.37,-0.61                   ,-3.01                    ,-1.66                    ,+4.09                 ,+25.14               ,+176.65              ,+7.11                ,+16.16            ,172.96     ,172.96    ,165.40   ,147.54 ,2.49         ,74.00            ,0.00          ,1.13              ,--                   ,26.24                    ,--              ,1620.26      ,20.91                ,1.96     ,168.09    ,164.85    ,157.15     ,167.66    ,160.86     ,36.89                ,52.95     ,19.55                   ,--  ,173.05              ,0.12                      ,14.16          ,162.57    ,156.03     ,169.02    ,164.86    ,159.55     ,50.92     ,53.96                ,14.29         ,5.64 ,1.27       ,4.36           ,13.96                     ,168.88    ,158.97     ,163.92    ,52.65                ,14.66                   ,8.54    ,164.72                 ,-0.84          ,8.53                      ,-661.56   , 
CYTK  ,-4.64      ,11.30     ,233635   ,30.26    ,510.24M   ,17             ,-3.59                     ,32.72     ,12.31     ,0.08 ,-100.00     ,--                     ,-18.59            ,18.67                  ,12.65                  ,Biotechnology                                 ,NCM     ,CYTOKINETICS INC         ,Biotechnology                             ,--      ,11.80         ,11.30 ,1300    ,348195       ,332100      ,67.10                   ,70.35                  ,No        ,11.85 ,12.15 ,11.35 ,45.65                 ,453737        ,333860     ,51.49                    ,69.98                 ,No                ,Health Care           ,--            ,11.80     ,11.30 ,10400   ,450677      ,51.89                     ,51.84                  ,4.33M          ,No                  ,C  ,--       ,C                  ,71.43          ,28.57                 ,--              ,--                     ,--              ,7                 ,1.29              ,16.45M    ,106.41M,16.45M  ,43.24M            ,0.39    ,0.39      ,-0.97     ,-2.64       ,-0.41     ,-1.24     ,-2.30     ,10.00                       ,15.46   ,837.85            ,-0.50  ,-1.75                  ,-6.68                      ,+0.72                  ,+0.84                   ,+89.53               ,+86.23               ,+35.41               ,+1.75     ,12.40        ,13.70    ,1.55                   ,11.60     ,7.13     ,100.00                  ,10.53                        ,-4.24   ,+0.05,-1.00                  ,-0.10                 ,-0.80                  ,+6.53                    ,-2.88                ,+35.26               ,+5.76                ,+20.19            ,1               ,13.05     ,13.70   ,11.60       ,11.35   ,-4.17                ,0.85           ,-0.55    ,+0.42,-0.44                   ,-0.85                    ,-6.38                    ,+0.10                 ,+82.27               ,+87.87               ,+39.98               ,+11.53            ,13.70      ,13.70     ,11.60    ,9.80   ,0.85         ,61.00            ,0.00          ,1.30              ,--                   ,30.26                    ,5.09            ,29.02        ,--                   ,4.80     ,12.41     ,11.67     ,11.28      ,12.29     ,11.51      ,38.78                ,49.20     ,27.42                   ,--  ,13.64               ,0.30                      ,-1.75          ,11.60     ,10.85      ,12.49     ,11.95     ,11.36      ,46.74     ,51.02                ,23.66         ,14.58,0.25       ,-0.40          ,-1.20                     ,12.65     ,11.67      ,11.85     ,49.52                ,16.93                   ,31.65   ,11.65                  ,-1.05          ,0.15                      ,-1025.80  , 
HII   ,-1.18      ,200.04    ,219739   ,16.64    ,9.35B     ,53             ,+0.37                     ,30.65     ,204.55    ,-2.29,-99.74      ,--                     ,-8.15             ,32.23                  ,206.95                 ,Aerospace & Defense                           ,NYSE    ,HUNTINGTON INGALLS IND IN,Aerospace & Defense                       ,2.40    ,202.06        ,200.06,200     ,347522       ,421831      ,63.23                   ,52.09                  ,No        ,202.43,203.45,200.26,92.27                 ,408654        ,416973     ,53.77                    ,52.70                 ,Yes               ,Industrials           ,1.20          ,202.06    ,200.04,200     ,414840      ,73.22                     ,52.97                  ,69.99M         ,No                  ,B  ,--       ,--                 ,33.33          ,--                    ,50.00           ,8.33                   ,8.33            ,12                ,2.58              ,573.00M   ,7.07B  ,573.00M ,46.27M            ,12.14   ,12.14     ,8.36      ,11.34       ,6.86      ,5.18      ,2.91      ,27.50                       ,8.11    ,191.03            ,-2.02  ,-0.04                  ,-2.36                      ,+16.69                 ,-0.57                   ,+46.75               ,+422.87              ,+20.26               ,+1.20     ,203.38       ,219.88   ,17.23                  ,200.00    ,136.41   ,100.00                  ,2.56                         ,-1.00   ,+0.37,+15.04                 ,-0.01                 ,-6.59                  ,+9.00                    ,+10.00               ,+103.22              ,+9.01                ,+36.46            ,14              ,203.38    ,220.67  ,201.56      ,200.00  ,-63.63               ,3.41           ,-2.39    ,+0.18,+0.75                   ,-4.89                    ,-3.16                    ,-1.17                 ,+48.04               ,+292.70              ,+31.31               ,+9.26             ,218.45     ,220.68    ,200.00   ,184.80 ,3.41         ,72.00            ,0.00          ,0.72              ,--                   ,16.64                    ,--              ,77.31        ,17.82                ,1.32     ,202.61    ,206.45    ,188.84     ,205.52    ,195.46     ,35.32                ,52.65     ,28.37                   ,0.26,216.60              ,-15.71                    ,9.59           ,204.10    ,179.09     ,205.15    ,203.93    ,192.28     ,47.45     ,53.94                ,36.00         ,8.47 ,-1.19      ,1.03           ,8.51                      ,206.95    ,195.20     ,202.32    ,49.47                ,13.35                   ,8.47    ,197.31                 ,-15.34         ,2.61                      ,-477.41   , 
GNTX  ,-1.08      ,20.19     ,1330218  ,17.15    ,5.86B     ,37             ,-1.95                     ,27.40     ,21.00     ,-0.14,-99.23      ,3.16                   ,-20.33            ,27.48                  ,21.28                  ,Auto Components                               ,NGM/NGS ,GENTEX CORP              ,Auto Parts & Equipment                    ,0.36    ,20.41         ,20.19 ,1800    ,1586950      ,2052793     ,83.82                   ,64.80                  ,No        ,20.41 ,20.65 ,20.20 ,87.75                 ,1786627       ,1987511    ,74.45                    ,66.93                 ,Yes               ,Consumer Discretionary,1.80          ,20.41     ,20.18 ,800     ,1761089     ,57.89                     ,75.53                  ,33.19M         ,No                  ,C  ,***      ,A+                 ,33.33          ,16.67                 ,33.33           ,8.33                   ,8.33            ,12                ,2.42              ,347.59M   ,1.68B  ,347.59M ,287.3M            ,1.19    ,1.19      ,1.08      ,1.31        ,0.98      ,0.77      ,0.59      ,11.93                       ,20.70   ,315.88            ,-0.22  ,-1.20                  ,-4.09                      ,+0.89                  ,-2.71                   ,+21.50               ,+94.41               ,+40.20               ,+1.03     ,20.79        ,22.12    ,1.47                   ,20.01     ,14.66    ,96.84                   ,4.72                         ,-1.08   ,0.00 ,+0.39                  ,-0.04                 ,-0.91                  ,+4.55                    ,+4.11                ,+43.90               ,+8.80                ,+19.14            ,13              ,21.49     ,22.12   ,20.36       ,20.01   ,-5.52                ,0.46           ,-0.22    ,0.00 ,-0.41                   ,-0.87                    ,-4.28                    ,-0.57                 ,+38.83               ,+132.02              ,+22.61               ,+15.59            ,22.12      ,22.12     ,20.36    ,19.76  ,0.48         ,71.00            ,-0.02         ,0.74              ,--                   ,17.15                    ,4.62            ,9.32         ,15.57                ,3.49     ,20.92     ,21.04     ,19.73      ,21.05     ,20.24      ,30.61                ,49.64     ,37.25                   ,0.77,22.29               ,-0.78                     ,-0.09          ,21.01     ,18.70      ,21.14     ,20.91     ,19.98      ,44.35     ,50.87                ,44.35         ,7.39 ,--         ,0.03           ,-0.11                     ,21.28     ,20.29      ,20.79     ,46.16                ,14.36                   ,25.88   ,20.27                  ,-1.18          ,0.05                      ,-5253.42  , 
PLCE  ,-2.73      ,110.60    ,611089   ,21.13    ,2.00B     ,54             ,-2.56                     ,36.35     ,116.38    ,2.57 ,-99.20      ,2.33                   ,-18.05            ,31.33                  ,117.66                 ,Specialty Retail                              ,NGM/NGS ,CHILDRENS PLACE INC      ,Apparel Retail                            ,1.60    ,114.10        ,110.50,200     ,444970       ,506682      ,137.33                  ,120.61                 ,No        ,113.70,114.80,110.60,98.48                 ,685488        ,498222     ,89.15                    ,122.65                ,No                ,Consumer Discretionary,1.40          ,114.10    ,110.50,200     ,689088      ,71.40                     ,88.68                  ,52.46M         ,Yes                 ,B  ,--       ,B+                 ,45.45          ,9.09                  ,45.45           ,--                     ,--              ,11                ,2.00              ,102.34M   ,1.79B  ,102.34M ,17.54M            ,5.40    ,5.40      ,2.80      ,6.64        ,2.59      ,2.32      ,2.61      ,12.05                       ,5.73    ,185.97            ,-3.50  ,-9.80                  ,-3.02                      ,+16.82                 ,+7.89                   ,+90.73               ,+139.38              ,+50.38               ,+0.39     ,119.60       ,122.95   ,8.15                   ,109.55    ,66.92    ,97.67                   ,6.53                         ,-3.07   ,-0.40,+9.05                  ,-0.09                 ,-2.25                  ,+17.29                   ,+13.03               ,+147.67              ,+18.92               ,+19.99            ,1               ,122.95    ,122.95  ,113.35      ,97.65   ,-43.58               ,4.20           ,-3.10    ,-0.35,-3.00                   ,-3.56                    ,-1.94                    ,+8.34                 ,+45.21               ,+175.97              ,+50.59               ,+11.32            ,122.95     ,122.95    ,113.35   ,92.95  ,4.30         ,90.00            ,-0.10         ,0.91              ,--                   ,21.13                    ,4.08            ,--           ,17.20                ,1.12     ,118.49    ,107.18    ,99.48      ,115.44    ,103.45     ,43.83                ,54.11     ,27.26                   ,0.80,123.00              ,14.20                     ,6.85           ,106.09    ,92.20      ,117.83    ,109.85    ,101.36     ,51.89     ,56.37                ,9.32          ,23.79,3.79       ,13.15          ,13.40                     ,117.66    ,104.49     ,108.39    ,55.31                ,22.61                   ,48.01   ,112.32                 ,-7.55          ,16.70                     ,-1113.10  , 
SNX   ,-2.58      ,107.72    ,133227   ,17.56    ,4.39B     ,69             ,-0.33                     ,23.50     ,113.24    ,-2.37,-99.17      ,2.82                   ,-7.98             ,26.55                  ,115.20                 ,Electronic Equipment Instruments & Components ,NYSE    ,SYNNEX CORP              ,Technology Distributors                   ,1.00    ,109.88        ,107.62,100     ,199335       ,198422      ,66.84                   ,67.14                  ,No        ,110.57,111.33,107.82,73.82                 ,178200        ,189411     ,74.76                    ,70.34                 ,Yes               ,Information Technology,0.90          ,109.88    ,107.61,200     ,170102      ,76.48                     ,78.32                  ,22.08M         ,No                  ,B  ,****     ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,4                 ,3.00              ,235.00M   ,14.06B ,235.00M ,39.92M            ,6.26    ,5.88      ,5.24      ,7.90        ,4.57      ,3.02      ,3.96      ,2.00                        ,1.67    ,133.29            ,-2.16  ,-4.34                  ,-4.62                      ,-6.16                  ,-7.51                   ,+47.33               ,+199.48              ,+18.80               ,+1.13     ,111.83       ,121.76   ,17.91                  ,108.88    ,77.54    ,97.18                   ,6.24                         ,-1.97   ,+0.69,-14.40                 ,-0.03                 ,-5.95                  ,-5.31                    ,-9.03                ,+88.46               ,-7.32                ,+12.96            ,10              ,112.75    ,129.23  ,108.88      ,108.88  ,-30.07               ,3.62           ,-2.86    ,+0.63,-0.36                   ,-5.32                    ,-5.13                    ,-8.92                 ,+21.94               ,+208.71              ,-1.48                ,+5.38             ,121.76     ,129.24    ,108.88   ,108.88 ,3.72         ,14.00            ,-0.11         ,0.75              ,--                   ,18.68                    ,3.65            ,30.86        ,13.90                ,0.31     ,112.73    ,117.44    ,116.45     ,114.13    ,115.90     ,28.14                ,42.76     ,30.95                   ,0.83,122.40              ,-7.51                     ,-12.89         ,118.35    ,111.01     ,114.43    ,116.52    ,115.03     ,36.81     ,44.42                ,52.33         ,6.84 ,-1.57      ,-10.05         ,-11.79                    ,115.20    ,119.07     ,116.70    ,39.22                ,9.68                    ,12.79   ,108.01                 ,-8.72          ,-8.73                     ,-229.61   , 
NEWM  ,-0.87      ,13.71     ,140808   ,19.74    ,738.45M   ,18             ,-1.15                     ,25.05     ,14.21     ,-0.34,-99.15      ,4.17                   ,-23.12            ,31.38                  ,14.37                  ,Media                                         ,NYSE    ,NEW MEDIA INVESTMENT GROU,Publishing                                ,1.40    ,13.81         ,13.70 ,400     ,492245       ,578219      ,28.61                   ,24.35                  ,No        ,13.83 ,13.94 ,13.71 ,82.84                 ,397913        ,409751     ,35.39                    ,34.36                 ,No                ,Consumer Discretionary,10.10         ,13.81     ,13.70 ,1400    ,408233      ,40.20                     ,34.49                  ,6.90M          ,Yes                 ,C  ,--       ,--                 ,33.33          ,--                    ,33.33           ,--                     ,33.33           ,3                 ,3.00              ,31.64M    ,1.26B  ,31.64M  ,53.47M            ,0.70    ,0.70      ,1.53      ,0.30        ,-0.10     ,14.72     ,-0.51     ,10.50                       ,2.52    ,124.39            ,-0.10  ,-0.54                  ,-3.92                      ,-1.53                  ,-9.17                   ,-30.26               ,0.00                 ,-16.03               ,+1.25     ,13.91        ,15.03    ,5.95                   ,13.77     ,13.77    ,95.83                   ,3.93                         ,-0.72   ,+0.02,-2.34                  ,-0.03                 ,-0.64                  ,-9.98                    ,-11.59               ,+16.19               ,-9.03                ,+4.51             ,6               ,14.30     ,16.34   ,13.77       ,13.77   ,0.07                 ,0.23           ,-0.12    ,+0.14,-0.16                   ,-0.56                    ,-4.41                    ,-1.39                 ,-6.94                ,0.00                 ,-3.97                ,+2.50             ,15.03      ,19.89     ,13.77    ,13.77  ,0.24         ,10.00            ,-0.01         ,0.85              ,--                   ,19.74                    ,4.19            ,44.88        ,46.03                ,0.59     ,14.09     ,15.01     ,15.33      ,14.34     ,15.23      ,27.05                ,40.55     ,34.49                   ,0.85,15.08               ,-0.84                     ,-2.11          ,15.11     ,16.01      ,14.25     ,14.83     ,15.34      ,35.92     ,41.06                ,48.66         ,2.16 ,-0.30      ,-1.84          ,-2.11                     ,14.37     ,15.47      ,14.93     ,36.74                ,11.91                   ,7.86    ,13.67                  ,-0.93          ,-2.01                     ,-1304.47  , 
WSO   ,-1.37      ,141.48    ,197829   ,27.78    ,5.10B     ,51             ,+0.12                     ,28.90     ,144.45    ,-1.93,-99.01      ,3.16                   ,-4.82             ,30.07                  ,145.34                 ,Trading Companies & Distributors              ,NYSE    ,WATSCO INC               ,Trading Companies & Distributors          ,4.20    ,143.08        ,141.41,300     ,301112       ,252188      ,65.70                   ,78.45                  ,No        ,143.44,143.77,141.70,73.46                 ,279539        ,313517     ,70.77                    ,63.10                 ,Yes               ,Industrials           ,2.90          ,143.08    ,141.40,400     ,281241      ,100.84                    ,70.34                  ,43.08M         ,No                  ,F  ,***      ,A-                 ,41.67          ,--                    ,41.67           ,8.33                   ,8.33            ,12                ,2.42              ,235.98M   ,4.22B  ,235.98M ,35.61M            ,5.15    ,5.15      ,4.90      ,5.76        ,4.32      ,3.68      ,2.70      ,15.00                       ,4.33    ,835.78            ,-1.60  ,-2.00                  ,-1.56                      ,-3.91                  ,-4.31                   ,+19.91               ,+133.29              ,+3.89                ,+0.77     ,143.41       ,150.99   ,15.78                  ,141.72    ,127.66   ,96.84                   ,2.27                         ,-1.12   ,+0.36,-6.50                  ,-0.01                 ,-2.99                  ,-2.66                    ,-2.71                ,+54.48               ,-2.65                ,+24.04            ,5               ,145.96    ,157.74  ,142.35      ,141.72  ,-13.74               ,2.29           ,-1.96    ,+0.25,+0.17                   ,-2.26                    ,-2.05                    ,-6.44                 ,+9.16                ,+85.98               ,+3.11                ,+12.88            ,150.32     ,159.55    ,141.72   ,141.72 ,2.37         ,21.00            ,-0.08         ,1.19              ,--                   ,27.78                    ,9.99            ,18.83        ,24.84                ,1.21     ,143.63    ,149.44    ,147.49     ,145.18    ,147.46     ,34.87                ,44.82     ,27.23                   ,0.99,149.51              ,-6.23                     ,-5.11          ,149.48    ,145.49     ,144.68    ,147.48    ,146.99     ,40.32     ,46.07                ,26.95         ,14.57,-1.73      ,-11.77         ,-4.75                     ,145.34    ,149.46     ,147.71    ,42.36                ,15.67                   ,19.13   ,141.18                 ,-7.38          ,-10.36                    ,-192.52   , 
VIAV  ,-1.45      ,10.17     ,1271908  ,26.39    ,2.38B     ,19             ,-1.45                     ,38.38     ,10.48     ,0.14 ,-98.99      ,5.00                   ,-6.20             ,17.59                  ,10.41                  ,Communications Equipment                      ,NASDAQ  ,VIAVI SOLUTIONS INC      ,Communications Equipment                  ,--      ,10.32         ,10.16 ,900     ,4037496      ,2772642     ,31.50                   ,45.87                  ,No        ,10.32 ,10.36 ,10.17 ,89.37                 ,4137532       ,3998251    ,30.74                    ,31.81                 ,No                ,Information Technology,--            ,10.32     ,10.16 ,4100    ,4009583     ,49.48                     ,31.72                  ,42.94M         ,Yes                 ,B  ,--       ,B-                 ,33.33          ,8.33                  ,58.33           ,--                     ,--              ,12                ,2.25              ,-99.20M   ,906.30M,-99.20M ,230.31M           ,0.39    ,-0.43     ,-0.38     ,0.36        ,-0.08     ,0.24      ,-0.24     ,15.00                       ,-10.95  ,302.10            ,-0.15  ,-0.54                  ,-0.83                      ,+1.61                  ,+5.98                   ,+45.21               ,+31.48               ,+61.69               ,+2.10     ,10.43        ,11.15    ,0.79                   ,9.52      ,5.93     ,95.00                   ,4.58                         ,-1.45   ,0.00 ,+1.92                  ,-0.06                 ,-0.02                  ,+18.53                   ,+26.16               ,+36.09               ,+31.05               ,+12.53            ,3               ,11.15     ,11.15   ,10.29       ,9.52    ,-4.23                ,0.19           ,-0.15    ,0.00 ,-0.15                   ,-0.09                    ,-0.19                    ,+0.58                 ,+56.27               ,+42.55               ,+45.06               ,+5.32             ,11.15      ,11.15     ,10.29    ,8.12   ,0.20         ,96.00            ,-0.01         ,1.13              ,--                   ,--                       ,5.03            ,89.51        ,28.69                ,2.62     ,10.64     ,10.10     ,8.87       ,10.43     ,9.37       ,43.37                ,56.39     ,26.32                   ,1.01,11.31               ,0.47                      ,1.81           ,9.85      ,8.23       ,10.64     ,10.01     ,9.17       ,53.69     ,57.76                ,25.40         ,24.25,0.21       ,0.66           ,1.80                      ,10.41     ,9.18       ,9.87      ,55.78                ,15.66                   ,46.17   ,9.50                   ,0.44           ,0.88                      ,-3671.99  , 
SJM   ,-0.24      ,130.49    ,589067   ,22.77    ,15.23B    ,8              ,-0.11                     ,15.22     ,133.26    ,-2.00,-98.89      ,9.68                   ,-30.15            ,29.86                  ,134.99                 ,Food Products                                 ,NYSE    ,SMUCKER (JM) CO          ,Packaged Foods & Meats                    ,3.00    ,130.80        ,130.49,200     ,1003309      ,1009709     ,58.71                   ,58.34                  ,Yes       ,130.81,131.33,130.54,78.13                 ,1330321       ,1269068    ,44.28                    ,46.42                 ,No                ,Consumer Staples      ,2.30          ,130.80    ,130.40,100     ,1293308     ,55.35                     ,45.55                  ,131.72M        ,No                  ,C  ,***      ,A                  ,14.29          ,4.76                  ,71.43           ,9.52                   ,--              ,21                ,2.76              ,688.70M   ,7.81B  ,688.70M ,116.44M           ,5.74    ,5.76      ,3.33      ,7.65        ,5.42      ,--        ,4.06      ,6.39                        ,8.82    ,1130.42           ,-0.31  ,-0.66                  ,-3.11                      ,-2.00                  ,-3.65                   ,+18.32               ,+80.63               ,-12.61               ,+0.59     ,131.50       ,140.55   ,25.98                  ,130.43    ,122.05   ,90.32                   ,2.36                         ,-0.24   ,+0.01,+1.98                  ,-0.02                 ,-4.97                  ,-1.51                    ,+2.70                ,+44.27               ,+2.92                ,+9.24             ,17              ,133.47    ,143.68  ,130.43      ,130.43  ,-8.35                ,0.84           ,-0.32    ,+0.01,-0.14                   ,-4.19                    ,-3.66                    ,-4.96                 ,+3.11                ,+44.57               ,-2.21                ,+4.19             ,140.44     ,157.31    ,130.43   ,127.00 ,0.93         ,45.00            ,-0.09         ,0.98              ,--                   ,22.71                    ,--              ,73.43        ,17.10                ,1.95     ,131.95    ,137.10    ,132.64     ,134.05    ,134.95     ,16.11                ,44.62     ,32.50                   ,1.11,141.86              ,-8.36                     ,2.49           ,136.26    ,137.79     ,133.57    ,135.24    ,134.89     ,39.34     ,44.94                ,47.13         ,3.34 ,-1.48      ,-9.16          ,1.76                      ,134.99    ,132.93     ,135.17    ,39.86                ,11.68                   ,2.89    ,128.13                 ,-7.94          ,-7.20                     ,-5310.69  , 
