Symbol,Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
CIG/C ,3.66      ,-0.72  ,4.41  ,3.59  ,6767      ,4.38      ,4.40  ,-16.82     ,-16.44  ,4.72B     ,Utilities                 ,NYSE    ,21.42    , 
CBHMY ,3.0247    ,-0.3753,3.45  ,3.0247,24976     ,3.40      ,3.45  ,-12.33     ,-11.04  ,2.50B     ,Industrials               ,OTC     ,--       , 
VRX   ,14.34     ,-2.37  ,16.48 ,14.30 ,46791616  ,16.71     ,16.17 ,-11.32     ,-14.18  ,5.71B     ,Health Care               ,NYSE    ,--       , 
GME   ,24.07     ,-2.45  ,26.33 ,23.57 ,6054615   ,26.52     ,26.33 ,-8.59      ,-9.24   ,2.70B     ,Consumer Discretionary    ,NYSE    ,7.05     , 
SIG   ,63.47     ,-9.41  ,69.75 ,63.25 ,9174355   ,72.88     ,69.17 ,-8.24      ,-12.91  ,5.73B     ,Consumer Discretionary    ,NYSE    ,10.91    , 
INCR  ,43.15     ,-13.40 ,47.07 ,40.85 ,4470420   ,56.55     ,46.60 ,-7.40      ,-23.70  ,3.03B     ,Health Care               ,NASDAQ  ,30.01    , 
CBPO  ,99.77     ,-8.11  ,107.25,99.12 ,486363    ,107.88    ,107.15,-6.89      ,-7.52   ,2.93B     ,Health Care               ,NASDAQ  ,28.84    , 
HSNI  ,37.85     ,-2.65  ,40.45 ,37.60 ,444699    ,40.50     ,40.45 ,-6.43      ,-6.54   ,2.12B     ,Consumer Discretionary    ,NASDAQ  ,--       , 
AMD   ,14.55     ,-0.66  ,15.55 ,14.40 ,98072902  ,15.20     ,15.45 ,-5.86      ,-4.31   ,14.30B    ,Information Technology    ,NASDAQ  ,--       , 
ODP   ,4.185     ,-0.265 ,4.45  ,4.175 ,5242089   ,4.45      ,4.44  ,-5.74      ,-5.96   ,2.35B     ,Consumer Discretionary    ,NASDAQ  ,7.88     , 
FTR   ,2.915     ,-0.375 ,3.11  ,2.91  ,96156074  ,3.29      ,3.08  ,-5.36      ,-11.40  ,3.86B     ,Telecommunication Services,NASDAQ  ,--       , 
ESV   ,9.695     ,-0.615 ,10.30 ,9.65  ,11257158  ,10.31     ,10.24 ,-5.32      ,-5.97   ,3.12B     ,Energy                    ,NYSE    ,--       , 
MUSA  ,63.53     ,-4.31  ,66.97 ,62.76 ,1439515   ,67.84     ,66.97 ,-5.14      ,-6.35   ,2.50B     ,Consumer Discretionary    ,NYSE    ,12.14    , 
PDCE  ,67.43     ,-4.26  ,71.19 ,67.34 ,1305332   ,71.69     ,71.06 ,-5.11      ,-5.94   ,4.03B     ,Energy                    ,NASDAQ  ,--       , 
FWONA ,30.40     ,-1.70  ,32.09 ,30.34 ,262548    ,32.10     ,32.02 ,-5.06      ,-5.30   ,2.73B     ,Consumer Discretionary    ,NASDAQ  ,--       , 
P     ,12.42     ,-0.75  ,13.27 ,12.12 ,17286656  ,13.17     ,13.08 ,-5.05      ,-5.69   ,3.10B     ,Information Technology    ,NYSE    ,--       , 
FWONK ,31.09     ,-1.75  ,32.87 ,31.00 ,270385    ,32.84     ,32.72 ,-4.99      ,-5.34   ,2.73B     ,Consumer Discretionary    ,NASDAQ  ,--       , 
ZTO   ,12.84     ,-1.73  ,13.54 ,12.25 ,13631992  ,14.57     ,13.50 ,-4.89      ,-11.87  ,7.65B     ,Industrials               ,NYSE    ,32.30    , 
AKRX  ,21.08     ,-1.00  ,22.13 ,21.00 ,2091012   ,22.08     ,22.13 ,-4.77      ,-4.55   ,2.77B     ,Health Care               ,NASDAQ  ,14.94    , 
RHP   ,64.47     ,-3.08  ,67.73 ,64.17 ,375875    ,67.55     ,67.69 ,-4.76      ,-4.56   ,3.45B     ,Real Estate               ,NYSE    ,23.14    , 
USM   ,37.52     ,-1.52  ,39.37 ,37.45 ,91156     ,39.04     ,39.37 ,-4.70      ,-3.89   ,2.02B     ,Telecommunication Services,NYSE    ,69.73    , 
ABY   ,21.74     ,-0.06  ,22.87 ,20.97 ,616959    ,21.80     ,22.81 ,-4.69      ,-0.28   ,2.18B     ,Utilities                 ,NASDAQ  ,--       , 
NKTR  ,13.13     ,-0.57  ,13.77 ,13.00 ,1322632   ,13.70     ,13.77 ,-4.65      ,-4.16   ,2.09B     ,Health Care               ,NGM/NGS ,--       , 
TDS   ,27.15     ,-1.32  ,28.56 ,27.15 ,583961    ,28.47     ,28.43 ,-4.50      ,-4.64   ,2.93B     ,Telecommunication Services,NYSE    ,--       , 
QVCA  ,18.65     ,-1.30  ,19.75 ,17.24 ,9704638   ,19.95     ,19.50 ,-4.36      ,-6.52   ,9.35B     ,Consumer Discretionary    ,NASDAQ  ,19.18    , 
UAA   ,20.54     ,-0.96  ,21.80 ,20.51 ,5502193   ,21.50     ,21.45 ,-4.24      ,-4.47   ,8.20B     ,Consumer Discretionary    ,NYSE    ,48.31    , 
CRTO  ,47.43     ,-2.08  ,49.50 ,47.35 ,690235    ,49.51     ,49.50 ,-4.19      ,-4.21   ,3.02B     ,Information Technology    ,NASDAQ  ,39.61    , 
AYI   ,211.00    ,-8.84  ,220.00,210.62,584178    ,219.84    ,220.00,-4.09      ,-4.02   ,9.69B     ,Industrials               ,NYSE    ,31.77    , 
PAH   ,13.19     ,-0.11  ,13.96 ,13.02 ,2953703   ,13.30     ,13.75 ,-4.07      ,-0.83   ,3.70B     ,Materials                 ,NYSE    ,--       , 
SLAB  ,67.38     ,-5.02  ,70.15 ,66.65 ,873452    ,72.40     ,70.15 ,-3.96      ,-6.94   ,3.03B     ,Information Technology    ,NGM/NGS ,49.93    , 
