Symbol,Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
CBCA  ,5.50      ,-1.70  ,7.70  ,5.50  ,15121     ,7.20      ,7.29  ,-24.55     ,-23.61  ,1.03B     ,Financials                ,OTC     ,--       , 
CIG/C ,3.66      ,-0.72  ,4.41  ,3.59  ,6767      ,4.38      ,4.40  ,-16.82     ,-16.44  ,4.72B     ,Utilities                 ,NYSE    ,21.42    , 
MEDP  ,28.52     ,-7.86  ,33.19 ,28.16 ,992681    ,36.38     ,33.00 ,-13.58     ,-21.61  ,1.48B     ,Health Care               ,NASDAQ  ,--       , 
CBHMY ,3.0247    ,-0.3753,3.45  ,3.0247,24976     ,3.40      ,3.45  ,-12.33     ,-11.04  ,2.50B     ,Industrials               ,OTC     ,--       , 
I     ,4.7399    ,-1.1301,5.63  ,4.71  ,5411855   ,5.87      ,5.38  ,-11.90     ,-19.25  ,691.49M   ,Telecommunication Services,NYSE    ,--       , 
VRX   ,14.34     ,-2.37  ,16.48 ,14.30 ,46768017  ,16.71     ,16.17 ,-11.32     ,-14.18  ,5.71B     ,Health Care               ,NYSE    ,--       , 
ICFI  ,43.50     ,-7.85  ,49.00 ,42.35 ,480185    ,51.35     ,49.00 ,-11.22     ,-15.29  ,973.49M   ,Industrials               ,NASDAQ  ,22.32    , 
NNI   ,44.94     ,-5.98  ,49.85 ,42.88 ,268646    ,50.92     ,49.85 ,-9.86      ,-11.75  ,1.56B     ,Financials                ,NYSE    ,9.12     , 
RRD   ,16.78     ,-1.32  ,18.52 ,16.55 ,1735434   ,18.10     ,18.49 ,-9.25      ,-7.29   ,1.26B     ,Industrials               ,NYSE    ,14.30    , 
MHLD  ,15.48     ,-1.02  ,17.00 ,15.00 ,708122    ,16.50     ,16.95 ,-8.70      ,-6.21   ,1.42B     ,Financials                ,NASDAQ  ,11.21    , 
