Symbol,Last Trade,Change ,High  ,Low   ,Volume   ,Prev Close,Open  ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
CIG/C ,3.66      ,-0.72  ,4.41  ,3.59  ,6767     ,4.38      ,4.40  ,-16.82     ,-16.44  ,4.72B     ,Utilities                 ,NYSE    ,21.42    , 
ICFI  ,43.45     ,-7.90  ,49.00 ,42.35 ,479525   ,51.35     ,49.00 ,-11.33     ,-15.38  ,973.49M   ,Industrials               ,NASDAQ  ,22.32    , 
NNI   ,44.92     ,-6.00  ,49.85 ,42.88 ,267994   ,50.92     ,49.85 ,-9.89      ,-11.78  ,1.56B     ,Financials                ,NYSE    ,9.12     , 
GPX   ,24.45     ,-0.80  ,26.93 ,22.70 ,53687    ,25.25     ,26.93 ,-9.21      ,-3.17   ,421.35M   ,Industrials               ,NYSE    ,21.53    , 
RRD   ,16.80     ,-1.30  ,18.52 ,16.55 ,1730572  ,18.10     ,18.49 ,-9.17      ,-7.21   ,1.26B     ,Industrials               ,NYSE    ,14.30    , 
ADPT  ,6.7301    ,-0.7699,7.419 ,6.73  ,833807   ,7.50      ,7.40  ,-9.05      ,-10.27  ,122.97M   ,Health Care               ,NYSE    ,1.33     , 
CCRC  ,12.32     ,-1.22  ,13.66 ,12.22 ,97640    ,13.54     ,13.53 ,-8.94      ,-9.01   ,248.19M   ,Information Technology    ,NASDAQ  ,28.92    , 
SDLP  ,4.4016    ,-0.5984,5.325 ,4.40  ,2365571  ,5.00      ,4.83  ,-8.87      ,-11.97  ,376.39M   ,Energy                    ,NYSE    ,1.89     , 
MHLD  ,15.48     ,-1.02  ,17.00 ,15.00 ,706922   ,16.50     ,16.95 ,-8.70      ,-6.21   ,1.42B     ,Financials                ,NASDAQ  ,11.21    , 
SIG   ,63.29     ,-9.59  ,69.75 ,63.25 ,9118779  ,72.88     ,69.17 ,-8.50      ,-13.16  ,5.73B     ,Consumer Discretionary    ,NYSE    ,10.91    , 
GME   ,24.11     ,-2.41  ,26.33 ,23.57 ,6010223  ,26.52     ,26.33 ,-8.43      ,-9.08   ,2.70B     ,Consumer Discretionary    ,NYSE    ,7.05     , 
ASNA  ,4.615     ,-0.475 ,5.045 ,4.60  ,2955876  ,5.09      ,5.03  ,-8.25      ,-9.33   ,991.35M   ,Consumer Discretionary    ,NGM/NGS ,48.09    , 
INCR  ,43.10     ,-13.45 ,47.07 ,40.85 ,4442690  ,56.55     ,46.60 ,-7.51      ,-23.78  ,3.03B     ,Health Care               ,NASDAQ  ,30.01    , 
EXLS  ,45.29     ,-2.44  ,48.91 ,45.24 ,240120   ,47.73     ,48.91 ,-7.40      ,-5.11   ,1.60B     ,Information Technology    ,NASDAQ  ,26.97    , 
ULH   ,13.48     ,-0.82  ,14.52 ,13.40 ,8696     ,14.30     ,14.52 ,-7.19      ,-5.77   ,406.31M   ,Industrials               ,NASDAQ  ,16.82    , 
CBPO  ,99.79     ,-8.09  ,107.25,99.12 ,485234   ,107.88    ,107.15,-6.87      ,-7.50   ,2.93B     ,Health Care               ,NASDAQ  ,28.84    , 
IRDM  ,8.50      ,-0.65  ,9.10  ,8.395 ,2126142  ,9.15      ,9.10  ,-6.59      ,-7.10   ,877.50M   ,Telecommunication Services,NASDAQ  ,10.28    , 
AOSL  ,19.31     ,-1.30  ,20.64 ,19.16 ,132899   ,20.61     ,20.61 ,-6.31      ,-6.31   ,486.52M   ,Information Technology    ,NGM/NGS ,70.86    , 
WLDN  ,27.68     ,-1.75  ,29.98 ,27.63 ,82335    ,29.43     ,29.47 ,-6.07      ,-5.95   ,245.00M   ,Industrials               ,NASDAQ  ,35.14    , 
WHG   ,56.82     ,-3.96  ,60.48 ,56.56 ,25571    ,60.78     ,60.48 ,-6.05      ,-6.52   ,534.68M   ,Financials                ,NYSE    ,21.94    , 
CLRO  ,11.65     ,0.00   ,12.40 ,11.50 ,3004     ,11.65     ,12.40 ,-6.05      ,0.00    ,103.41M   ,Information Technology    ,NASDAQ  ,21.55    , 
TSQ   ,10.78     ,-0.62  ,11.52 ,10.78 ,55542    ,11.40     ,11.47 ,-6.01      ,-5.44   ,156.59M   ,Consumer Discretionary    ,NYSE    ,14.00    , 
FRGI  ,19.65     ,-6.30  ,21.50 ,19.50 ,3269411  ,25.95     ,20.90 ,-5.98      ,-24.28  ,697.80M   ,Consumer Discretionary    ,NASDAQ  ,30.18    , 
BBGI  ,8.65      ,-0.54  ,9.20  ,8.65  ,4222     ,9.19      ,9.20  ,-5.98      ,-5.88   ,111.43M   ,Consumer Discretionary    ,NCM     ,22.85    , 
PLPC  ,45.60     ,-2.90  ,48.45 ,45.60 ,4080     ,48.50     ,48.45 ,-5.88      ,-5.98   ,248.61M   ,Industrials               ,NCM     ,19.21    , 
BOOT  ,10.12     ,-0.69  ,10.75 ,10.12 ,149800   ,10.81     ,10.75 ,-5.86      ,-6.38   ,286.95M   ,Consumer Discretionary    ,NYSE    ,23.01    , 
SMRT  ,3.60      ,-0.24  ,3.84  ,3.58  ,562337   ,3.84      ,3.82  ,-5.76      ,-6.25   ,180.08M   ,Consumer Discretionary    ,NGM/NGS ,15.91    , 
ATNI  ,68.55     ,-4.58  ,73.00 ,68.20 ,68239    ,73.13     ,72.73 ,-5.75      ,-6.26   ,1.18B     ,Telecommunication Services,NCM     ,94.97    , 
ODP   ,4.19      ,-0.26  ,4.45  ,4.175 ,5232807  ,4.45      ,4.44  ,-5.63      ,-5.84   ,2.35B     ,Consumer Discretionary    ,NASDAQ  ,7.88     , 
AMRC  ,5.10      ,-0.30  ,5.4285,5.10  ,58324    ,5.40      ,5.40  ,-5.56      ,-5.56   ,150.38M   ,Industrials               ,NYSE    ,25.81    , 
HURC  ,27.25     ,-2.00  ,28.85 ,27.05 ,15509    ,29.25     ,28.85 ,-5.55      ,-6.84   ,194.31M   ,Industrials               ,NGM/NGS ,14.70    , 
TWMC  ,2.74      ,-0.16  ,2.90  ,2.7181,7966     ,2.90      ,2.90  ,-5.52      ,-5.52   ,104.73M   ,Consumer Discretionary    ,NCM     ,18.88    , 
SYKE  ,27.37     ,-1.20  ,28.95 ,27.24 ,102381   ,28.56     ,28.95 ,-5.47      ,-4.18   ,1.23B     ,Information Technology    ,NGM/NGS ,18.78    , 
KROTY ,4.32      ,-0.16  ,4.57  ,4.31  ,37449    ,4.48      ,4.57  ,-5.47      ,-3.57   ,7.15B     ,Consumer Discretionary    ,OTC     ,20.21    , 
CENT  ,33.98     ,-1.95  ,36.10 ,33.94 ,110607   ,35.93     ,35.90 ,-5.35      ,-5.43   ,1.71B     ,Consumer Staples          ,NGM/NGS ,30.59    , 
MUSA  ,63.39     ,-4.45  ,66.97 ,62.76 ,1428132  ,67.84     ,66.97 ,-5.34      ,-6.56   ,2.50B     ,Consumer Discretionary    ,NYSE    ,12.14    , 
HURN  ,43.40     ,-2.55  ,45.90 ,43.30 ,95636    ,45.95     ,45.85 ,-5.34      ,-5.55   ,998.40M   ,Industrials               ,NGM/NGS ,26.21    , 
SNCR  ,27.23     ,-1.46  ,28.76 ,27.16 ,1209083  ,28.69     ,28.76 ,-5.32      ,-5.09   ,1.32B     ,Information Technology    ,NCM     ,64.23    , 
ADUS  ,32.10     ,-1.85  ,33.90 ,32.06 ,26491    ,33.95     ,33.90 ,-5.31      ,-5.45   ,389.20M   ,Health Care               ,NASDAQ  ,48.65    , 
