Symbol,Last Trade,Change ,High  ,Low   ,Volume   ,Prev Close,Open ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
I     ,4.74      ,-1.13  ,5.63  ,4.71  ,5411955  ,5.87      ,5.38 ,-11.90     ,-19.25  ,691.49M   ,Telecommunication Services,NYSE    ,--       , 
ICFI  ,43.50     ,-7.85  ,49.00 ,42.35 ,480185   ,51.35     ,49.00,-11.22     ,-15.29  ,973.49M   ,Industrials               ,NASDAQ  ,22.32    , 
OPHT  ,3.63      ,-0.94  ,4.30  ,3.59  ,4255073  ,4.57      ,4.08 ,-11.03     ,-20.57  ,163.14M   ,Health Care               ,NASDAQ  ,--       , 
FGB   ,7.36      ,-0.81  ,8.24  ,7.31  ,262746   ,8.17      ,8.24 ,-10.68     ,-9.91   ,117.00M   ,--                        ,NYSE    ,--       , 
AREX  ,2.62      ,-0.31  ,2.97  ,2.62  ,1097120  ,2.93      ,2.90 ,-9.66      ,-10.58  ,122.97M   ,Energy                    ,NASDAQ  ,--       , 
GPX   ,24.45     ,-0.80  ,26.93 ,22.70 ,53687    ,25.25     ,26.93,-9.21      ,-3.17   ,421.35M   ,Industrials               ,NYSE    ,21.53    , 
CDXS  ,4.05      ,-0.35  ,4.45  ,4.00  ,46313    ,4.40      ,4.45 ,-8.99      ,-7.95   ,181.37M   ,Materials                 ,NASDAQ  ,--       , 
ADPT  ,6.735     ,-0.765 ,7.419 ,6.73  ,833907   ,7.50      ,7.40 ,-8.99      ,-10.20  ,122.97M   ,Health Care               ,NYSE    ,1.33     , 
CCRC  ,12.32     ,-1.22  ,13.66 ,12.22 ,97840    ,13.54     ,13.53,-8.94      ,-9.01   ,248.19M   ,Information Technology    ,NASDAQ  ,28.92    , 
SDLP  ,4.40      ,-0.60  ,5.325 ,4.40  ,2391283  ,5.00      ,4.83 ,-8.90      ,-12.00  ,376.39M   ,Energy                    ,NYSE    ,1.89     , 
TWIN  ,18.40     ,-1.99  ,20.58 ,18.33 ,32820    ,20.39     ,20.16,-8.73      ,-9.76   ,234.99M   ,Industrials               ,NCM     ,--       , 
EMES  ,17.02     ,-1.32  ,18.94 ,16.62 ,936587   ,18.34     ,18.64,-8.69      ,-7.20   ,523.90M   ,Energy                    ,NYSE    ,--       , 
CLSD  ,7.97      ,-0.67  ,9.05  ,7.84  ,218381   ,8.64      ,8.72 ,-8.60      ,-7.75   ,212.08M   ,Health Care               ,NASDAQ  ,--       , 
ASNA  ,4.62      ,-0.47  ,5.045 ,4.60  ,2958106  ,5.09      ,5.03 ,-8.15      ,-9.23   ,991.35M   ,Consumer Discretionary    ,NGM/NGS ,48.09    , 
AXIM  ,9.63      ,-0.69  ,10.95 ,8.90  ,29462    ,10.32     ,10.45,-7.85      ,-6.69   ,531.41M   ,Health Care               ,OTC     ,--       , 
CHEF  ,13.93     ,-1.18  ,15.20 ,13.85 ,156466   ,15.10     ,15.05,-7.48      ,-7.78   ,396.44M   ,Consumer Staples          ,NASDAQ  ,--       , 
LONE  ,5.7383    ,-0.5117,6.4347,5.6786,210760   ,6.25      ,6.20 ,-7.45      ,-8.19   ,136.39M   ,Energy                    ,NASDAQ  ,--       , 
NPTN  ,10.11     ,-0.84  ,10.95 ,10.06 ,1138990  ,10.95     ,10.91,-7.33      ,-7.67   ,463.45M   ,Information Technology    ,NYSE    ,--       , 
ULH   ,13.48     ,-0.82  ,14.52 ,13.40 ,8696     ,14.30     ,14.52,-7.19      ,-5.77   ,406.31M   ,Industrials               ,NASDAQ  ,16.82    , 
PLSE  ,13.66     ,-0.91  ,14.77 ,13.60 ,72332    ,14.57     ,14.70,-7.11      ,-6.28   ,194.03M   ,Health Care               ,NASDAQ  ,--       , 
TA    ,6.55      ,-0.90  ,7.30  ,6.45  ,864457   ,7.45      ,7.05 ,-7.09      ,-12.08  ,289.45M   ,Consumer Discretionary    ,NASDAQ  ,--       , 
GNCMA ,20.04     ,-1.62  ,21.56 ,20.04 ,122070   ,21.66     ,21.56,-7.05      ,-7.48   ,775.79M   ,Telecommunication Services,NGM/NGS ,--       , 
VRML  ,2.2184    ,-0.1816,2.38  ,2.19  ,187014   ,2.40      ,2.38 ,-6.79      ,-7.57   ,125.59M   ,Health Care               ,NCM     ,--       , 
KTOS  ,8.175     ,-0.585 ,8.78  ,8.10  ,2848585  ,8.76      ,8.77 ,-6.78      ,-6.68   ,632.42M   ,Industrials               ,NGM/NGS ,--       , 
CHPGF ,2.94      ,-0.25  ,3.15  ,2.94  ,3323     ,3.19      ,3.15 ,-6.67      ,-7.84   ,140.71M   ,Materials                 ,OTC     ,--       , 
ONDK  ,5.38      ,-0.38  ,5.82  ,5.37  ,303088   ,5.76      ,5.76 ,-6.60      ,-6.60   ,412.45M   ,Financials                ,NYSE    ,--       , 
IRDM  ,8.50      ,-0.65  ,9.10  ,8.395 ,2128113  ,9.15      ,9.10 ,-6.59      ,-7.10   ,877.50M   ,Telecommunication Services,NASDAQ  ,10.28    , 
HWCC  ,6.65      ,-0.45  ,7.10  ,6.60  ,65237    ,7.10      ,7.10 ,-6.34      ,-6.34   ,116.31M   ,Industrials               ,NCM     ,--       , 
AOSL  ,19.31     ,-1.30  ,20.64 ,19.16 ,132899   ,20.61     ,20.61,-6.31      ,-6.31   ,486.52M   ,Information Technology    ,NGM/NGS ,70.86    , 
ESND  ,16.00     ,-6.09  ,17.25 ,15.55 ,1759498  ,22.09     ,17.07,-6.27      ,-27.57  ,816.62M   ,Industrials               ,NASDAQ  ,--       , 
