Symbol,Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open ,% Chg(Open),% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
ICFI  ,43.50     ,-7.85 ,49.00 ,42.35 ,480185   ,51.35     ,49.00,-11.22     ,-15.29  ,973.49M   ,Industrials               ,NASDAQ  ,22.32    , 
GPX   ,24.45     ,-0.80 ,26.93 ,22.70 ,53687    ,25.25     ,26.93,-9.21      ,-3.17   ,421.35M   ,Industrials               ,NYSE    ,21.53    , 
ADPT  ,6.735     ,-0.765,7.419 ,6.73  ,833907   ,7.50      ,7.40 ,-8.99      ,-10.20  ,122.97M   ,Health Care               ,NYSE    ,1.33     , 
CCRC  ,12.32     ,-1.22 ,13.66 ,12.22 ,97840    ,13.54     ,13.53,-8.94      ,-9.01   ,248.19M   ,Information Technology    ,NASDAQ  ,28.92    , 
SDLP  ,4.401     ,-0.599,5.325 ,4.40  ,2385083  ,5.00      ,4.83 ,-8.88      ,-11.98  ,376.39M   ,Energy                    ,NYSE    ,1.89     , 
ASNA  ,4.615     ,-0.475,5.045 ,4.60  ,2958006  ,5.09      ,5.03 ,-8.25      ,-9.33   ,991.35M   ,Consumer Discretionary    ,NGM/NGS ,48.09    , 
ULH   ,13.48     ,-0.82 ,14.52 ,13.40 ,8696     ,14.30     ,14.52,-7.19      ,-5.77   ,406.31M   ,Industrials               ,NASDAQ  ,16.82    , 
IRDM  ,8.50      ,-0.65 ,9.10  ,8.395 ,2128113  ,9.15      ,9.10 ,-6.59      ,-7.10   ,877.50M   ,Telecommunication Services,NASDAQ  ,10.28    , 
AOSL  ,19.31     ,-1.30 ,20.64 ,19.16 ,132899   ,20.61     ,20.61,-6.31      ,-6.31   ,486.52M   ,Information Technology    ,NGM/NGS ,70.86    , 
WHG   ,56.82     ,-3.96 ,60.48 ,56.56 ,25571    ,60.78     ,60.48,-6.05      ,-6.52   ,534.68M   ,Financials                ,NYSE    ,21.94    , 
CLRO  ,11.65     ,0.00  ,12.40 ,11.50 ,3004     ,11.65     ,12.40,-6.05      ,0.00    ,103.41M   ,Information Technology    ,NASDAQ  ,21.55    , 
SMRT  ,3.59      ,-0.25 ,3.84  ,3.58  ,563137   ,3.84      ,3.82 ,-6.02      ,-6.51   ,180.08M   ,Consumer Discretionary    ,NGM/NGS ,15.91    , 
TSQ   ,10.78     ,-0.62 ,11.52 ,10.78 ,55542    ,11.40     ,11.47,-6.01      ,-5.44   ,156.59M   ,Consumer Discretionary    ,NYSE    ,14.00    , 
BBGI  ,8.65      ,-0.54 ,9.20  ,8.65  ,4222     ,9.19      ,9.20 ,-5.98      ,-5.88   ,111.43M   ,Consumer Discretionary    ,NCM     ,22.85    , 
PLPC  ,45.60     ,-2.90 ,48.45 ,45.60 ,4080     ,48.50     ,48.45,-5.88      ,-5.98   ,248.61M   ,Industrials               ,NCM     ,19.21    , 
FRGI  ,19.68     ,-6.28 ,21.50 ,19.50 ,3273813  ,25.95     ,20.90,-5.86      ,-24.18  ,697.80M   ,Consumer Discretionary    ,NASDAQ  ,30.18    , 
WLDN  ,27.75     ,-1.68 ,29.98 ,27.63 ,82741    ,29.43     ,29.47,-5.84      ,-5.71   ,245.00M   ,Industrials               ,NASDAQ  ,35.14    , 
BOOT  ,10.14     ,-0.67 ,10.75 ,10.12 ,150827   ,10.81     ,10.75,-5.67      ,-6.20   ,286.95M   ,Consumer Discretionary    ,NYSE    ,23.01    , 
AMRC  ,5.10      ,-0.30 ,5.4285,5.10  ,58335    ,5.40      ,5.40 ,-5.56      ,-5.56   ,150.38M   ,Industrials               ,NYSE    ,25.81    , 
TWMC  ,2.74      ,-0.16 ,2.90  ,2.7181,7966     ,2.90      ,2.90 ,-5.52      ,-5.52   ,104.73M   ,Consumer Discretionary    ,NCM     ,18.88    , 
HURC  ,27.30     ,-1.95 ,28.85 ,27.05 ,15609    ,29.25     ,28.85,-5.37      ,-6.67   ,194.31M   ,Industrials               ,NGM/NGS ,14.70    , 
HURN  ,43.40     ,-2.55 ,45.90 ,43.30 ,95724    ,45.95     ,45.85,-5.34      ,-5.55   ,998.40M   ,Industrials               ,NGM/NGS ,26.21    , 
JKS   ,16.72     ,-1.23 ,17.72 ,16.45 ,806957   ,17.95     ,17.64,-5.22      ,-6.85   ,567.00M   ,Information Technology    ,NYSE    ,3.09     , 
ADUS  ,32.15     ,-1.80 ,33.90 ,32.06 ,26903    ,33.95     ,33.90,-5.16      ,-5.30   ,389.20M   ,Health Care               ,NASDAQ  ,48.65    , 
RAIL  ,13.66     ,-0.94 ,14.51 ,12.63 ,665680   ,14.60     ,14.40,-5.14      ,-6.44   ,180.82M   ,Industrials               ,NGM/NGS ,7.57     , 
PCOM  ,7.05      ,-0.27 ,7.4489,6.98  ,41135    ,7.32      ,7.43 ,-5.11      ,-3.69   ,112.19M   ,Information Technology    ,NASDAQ  ,36.65    , 
NRIM  ,29.30     ,-1.80 ,30.85 ,29.00 ,12470    ,31.10     ,30.85,-5.02      ,-5.79   ,214.53M   ,Financials                ,NGM/NGS ,15.10    , 
SPAR  ,6.75      ,-0.35 ,7.10  ,6.60  ,312872   ,7.10      ,7.10 ,-4.93      ,-4.93   ,244.12M   ,Consumer Discretionary    ,NGM/NGS ,28.40    , 
FRP   ,15.80     ,-0.84 ,16.65 ,15.70 ,229155   ,16.64     ,16.60,-4.82      ,-5.05   ,453.66M   ,Telecommunication Services,NASDAQ  ,3.45     , 
EMKR  ,8.95      ,-0.40 ,9.45  ,8.60  ,451292   ,9.35      ,9.40 ,-4.79      ,-4.28   ,248.57M   ,Information Technology    ,NCM     ,27.43    , 
