Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid  ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask  ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low  ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin   ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap    ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
NCR   ,-7.39      ,43.71     ,8801789   ,28.52    ,6.04B     ,336            ,+1.76                     ,26.66     ,47.54     ,0.82 ,-88.30      ,16.40                  ,-27.13            ,37.32                  ,47.81                  ,Technology Hardware Storage & Peripherals          ,NYSE    ,NCR CORP                 ,Technology Hardware Storage & Peripherals   ,--      ,48.47         ,43.70,1500    ,961262       ,900455      ,915.65                  ,977.48                 ,No        ,47.20 ,47.89 ,43.71,84.53                 ,1309892       ,963417     ,671.95                   ,913.60                ,Yes               ,Information Technology,--            ,48.47     ,42.89,1500    ,1276990     ,1096.06                   ,689.26                 ,46.77M         ,No                  ,A  ,***      ,B-                 ,20.00          ,40.00                 ,40.00           ,--                     ,--              ,5                 ,2.20              ,274.00M   ,6.54B  ,274.00M ,124.6M            ,1.70    ,1.70      ,-1.09     ,3.30        ,1.12      ,2.62      ,2.94      ,10.00                       ,4.13       ,195.31            ,-4.76  ,-5.11                  ,+1.37                      ,+9.63                  ,+7.98                   ,+68.36               ,+126.39              ,+55.67               ,+1.78     ,49.13        ,49.90    ,2.01                   ,44.36     ,25.18    ,83.60                   ,10.57                        ,-9.82   ,-1.27  ,+2.65                  ,-0.11                 ,+0.92                  ,+24.80                   ,+19.50               ,+41.35               ,+24.05               ,+38.73            ,3               ,49.13     ,49.90   ,48.11       ,42.76   ,-17.71               ,4.18           ,-3.49    ,-2.62,+0.84                   ,+0.66                    ,+1.94                    ,+3.58                 ,+88.60               ,+76.90               ,+42.01               ,+3.58             ,49.90      ,49.90     ,48.11    ,40.85  ,5.00         ,94.00            ,-0.82         ,1.22              ,--                   ,28.52                    ,--              ,192.25       ,14.67                ,0.92     ,48.23     ,44.70     ,39.54      ,47.25     ,41.88      ,59.83                ,53.41     ,38.18                   ,11.70,50.77               ,4.29                      ,2.21           ,44.14     ,36.24      ,48.33     ,45.01     ,40.86      ,48.06     ,65.06                ,40.35         ,45.57,1.33       ,1.72           ,6.85                      ,47.81     ,41.15      ,44.31     ,65.53                ,16.23                   ,60.47   ,44.86                  ,-1.83          ,6.16                      ,-6761.12   , 
IVPAF ,-6.86      ,3.0286    ,216659    ,3.46     ,2.44B     ,11             ,+7.25                     ,47.11     ,3.09      ,-0.04,-19.45      ,3.71                   ,-25.06            ,59.10                  ,3.27                   ,Metals & Mining                                    ,OTC     ,IVANHOE MINES LTD        ,Diversified Metals & Mining                 ,--      ,3.14          ,3.02 ,200     ,190922       ,213912      ,113.48                  ,101.28                 ,No        ,3.2518,3.2519,3.04 ,26.92                 ,321366        ,277047     ,67.42                    ,78.20                 ,No                ,Materials             ,--            ,3.14      ,3.02 ,200     ,320665      ,172.91                    ,67.57                  ,550.00K        ,No                  ,-- ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,689.03M   ,--     ,689.03M ,782.09M           ,0.91    ,0.93      ,-0.34     ,-0.04       ,-0.68     ,-0.38     ,-0.30     ,-167.29                     ,--         ,--                ,-0.1114,+0.0486                ,-4.05                      ,+0.9698                ,+4.73                   ,+398.33              ,0.00                 ,+300.92              ,+1.29     ,3.14         ,3.89     ,0.6381                 ,--        ,2.77     ,96.29                   ,3.79                         ,-3.55   ,+0.1118,+1.0386                ,+0.03                 ,-0.1668                ,+44.69                   ,+65.26               ,+106.73              ,+63.08               ,+94.61            ,1               ,3.14      ,3.89    ,2.86        ,--      ,-0.25                ,0.2233         ,-0.2232  ,+3.56,+0.2123                 ,-0.1324                  ,-5.04                    ,+0.1419               ,+398.97              ,-26.39               ,+106.81              ,+107.43           ,3.89       ,3.89      ,2.75     ,--     ,0.2319       ,--               ,-0.0086       ,0.15              ,--                   ,3.39                     ,2.24            ,2.66         ,--                   ,--       ,2.99      ,2.96      ,2.25       ,3.11      ,2.51       ,50.75                ,55.47     ,49.07                   ,80.55,3.95                ,-0.27                     ,0.91           ,2.77      ,1.77       ,3.14      ,2.92      ,2.38       ,52.90     ,56.80                ,53.20         ,77.83,0.02       ,0.73           ,0.97                      ,3.27      ,2.36       ,2.83      ,54.69                ,14.99                   ,75.33   ,2.60                   ,-0.53          ,0.87                      ,-1259.62   , 
ZIOP  ,-6.38      ,6.46      ,1309318   ,--       ,912.08M   ,52             ,+6.07                     ,50.03     ,6.48      ,0.07 ,-54.44      ,7.55                   ,-24.44            ,22.48                  ,6.53                   ,Biotechnology                                      ,NASDAQ  ,ZIOPHARM ONCOLOGY INC    ,Biotechnology                               ,--      ,6.89          ,6.45 ,1800    ,930792       ,1727676     ,140.67                  ,75.78                  ,No        ,6.90  ,6.95  ,6.46 ,36.74                 ,1154901       ,1488215    ,113.37                   ,87.98                 ,No                ,Health Care           ,--            ,6.89      ,6.42 ,51400   ,1138553     ,66.31                     ,115.00                 ,6.15M          ,No                  ,D  ,--       ,C                  ,20.00          ,--                    ,80.00           ,--                     ,--              ,5                 ,2.60              ,-165.30M  ,6.86M  ,-165.30M,132.38M           ,-1.32   ,-1.32     ,-0.96     ,-0.45       ,-0.31     ,-0.66     ,-1.22     ,--                          ,-2409.23   ,190.58            ,-0.43  ,+0.08                  ,+5.48                      ,+0.9181                ,+11.51                  ,-47.70               ,+40.04               ,-18.49               ,+1.54     ,6.90         ,6.98     ,2.24                   ,6.05      ,4.45     ,92.45                   ,-0.14                        ,-6.24   ,+0.01  ,+1.03                  ,-0.01                 ,+0.3559                ,+15.37                   ,+28.79               ,+68.05               ,-2.01                ,-3281.98          ,3               ,6.90      ,6.98    ,6.35        ,6.05    ,-1.97                ,0.49           ,-0.44    ,+0.15,+0.394                  ,+0.358                   ,+5.45                    ,+0.7111               ,-15.56               ,+36.71               ,+25.25               ,-127.12           ,6.98       ,9.19      ,6.30     ,5.31   ,0.53         ,28.00            ,-0.04         ,-0.22             ,--                   ,--                       ,--              ,--           ,--                   ,132.94   ,6.45      ,6.15      ,6.06       ,6.45      ,6.18       ,66.21                ,51.60     ,11.45                   ,45.56,7.01                ,0.35                      ,0.11           ,6.13      ,5.90       ,6.45      ,6.30      ,6.18       ,51.94     ,54.25                ,33.19         ,57.81,0.08       ,0.63           ,0.51                      ,6.53      ,6.16       ,6.27      ,56.74                ,22.82                   ,49.13   ,6.05                   ,-0.05          ,1.48                      ,-4221.42   , 
JCP   ,-5.80      ,6.01      ,19107604  ,--       ,1.96B     ,63             ,+2.81                     ,34.83     ,6.38      ,-0.26,-88.80      ,2.56                   ,-12.85            ,29.02                  ,6.59                   ,Multiline Retail                                   ,NYSE    ,PENNEY (J C) CO          ,Department Stores                           ,--      ,6.36          ,6.01 ,110700  ,18638487     ,17827613    ,102.52                  ,107.18                 ,No        ,6.38  ,6.39  ,6.02 ,91.25                 ,21524642      ,22431569   ,88.77                    ,85.18                 ,Yes               ,Consumer Discretionary,--            ,6.36      ,6.00 ,39900   ,21216504    ,130.42                    ,90.06                  ,114.65M        ,No                  ,B  ,***      ,C                  ,36.36          ,--                    ,54.55           ,4.55                   ,4.55            ,22                ,2.41              ,1.00M     ,12.55B ,1.00M   ,308.3M            ,--      ,--        ,-1.68     ,0.49        ,-2.35     ,-5.13     ,-4.49     ,-2.00                       ,0.01       ,125.47            ,-0.35  ,-0.41                  ,-3.50                      ,-2.0039                ,-7.12                   ,-13.70               ,-83.02               ,-18.61               ,+0.67     ,6.39         ,7.42     ,5.60                   ,5.87      ,5.87     ,97.44                   ,6.67                         ,-5.50   ,+0.02  ,-2.34                  ,+0.01                 ,-0.3218                ,-23.96                   ,-23.47               ,-24.47               ,-33.05               ,+0.08             ,2               ,6.39      ,8.80    ,6.21        ,5.87    ,-0.13                ,0.38           ,-0.37    ,+0.31,+0.174                  ,-0.231                   ,-4.82                    ,-0.4874               ,-44.94               ,-57.91               ,-32.77               ,+0.01             ,7.42       ,11.99     ,5.87     ,5.87   ,0.39         ,1.00             ,-0.01         ,85.12             ,--                   ,1991.23                  ,1.45            ,336.63       ,12.89                ,0.16     ,6.21      ,6.89      ,8.19       ,6.47      ,7.66       ,44.42                ,40.08     ,31.37                   ,11.20,7.46                ,-0.71                     ,-3.85          ,7.21      ,8.57       ,6.41      ,7.01      ,7.83       ,37.80     ,41.81                ,34.50         ,27.14,-0.24      ,-0.93          ,-3.44                     ,6.59      ,7.98       ,7.18      ,40.72                ,15.27                   ,27.13   ,5.73                   ,-1.13          ,-0.69                     ,-42801.51  , 
TTD   ,-5.59      ,43.23     ,318853    ,--       ,751.09M   ,52             ,+3.69                     ,62.81     ,40.99     ,3.71 ,-24.12      ,6.58                   ,53.99             ,52.34                  ,38.66                  ,Internet Software & Services                       ,NASDAQ  ,TRADE DESK INC           ,Internet Software & Services                ,--      ,45.79         ,43.25,300     ,436763       ,521171      ,73.00                   ,61.18                  ,No        ,45.79 ,46.21 ,43.29,25.07                 ,665258        ,392385     ,47.93                    ,81.26                 ,No                ,Information Technology,--            ,45.79     ,43.02,1000    ,613082      ,62.56                     ,52.01                  ,19.12M         ,No                  ,D  ,--       ,--                 ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,20.48M    ,202.93M,20.48M  ,16.4M             ,-1.46   ,-1.46     ,0.39      ,0.84        ,--        ,--        ,--        ,27.30                       ,10.09      ,434.53            ,-2.56  ,+1.68                  ,+18.46                     ,+16.35                 ,+39.45                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,46.02        ,46.02    ,-1.06                  ,28.91     ,22.00    ,93.42                   ,-5.12                        ,-5.59   ,0.00   ,+15.18                 ,+0.02                 ,+8.69                  ,+55.55                   ,+65.49               ,0.00                 ,+58.80               ,+22.95            ,5               ,46.02     ,46.02   ,44.00       ,28.23   ,-21.02               ,2.98           ,-2.56    ,0.00 ,+1.63                   ,+7.13                    ,+23.41                   ,+12.95                ,0.00                 ,0.00                 ,0.00                 ,+5.48             ,46.02      ,45.15     ,40.92    ,26.40  ,3.19         ,99.00            ,-0.21         ,-1.34             ,--                   ,--                       ,11.15           ,15.72        ,54.35                ,3.70     ,43.55     ,32.85     ,--         ,39.59     ,--         ,75.89                ,--        ,10.23                   ,75.88,49.17               ,16.75                     ,13.96          ,32.31     ,--         ,41.02     ,--        ,--         ,--        ,50.00                ,51.75         ,89.46,3.37       ,13.88          ,16.43                     ,38.66     ,29.97      ,--        ,50.00                ,32.18                   ,91.19   ,28.14                  ,14.20          ,16.04                     ,5731.13    , 
NH    ,-5.54      ,4.09      ,322452    ,--       ,524.97M   ,23             ,-3.95                     ,7.02      ,5.99      ,-1.09,-97.71      ,21.05                  ,-40.38            ,47.27                  ,6.79                   ,Health Care Technology                             ,NASDAQ  ,NANTHEALTH INC           ,Health Care Technology                      ,--      ,4.33          ,4.09 ,1000    ,557193       ,189218      ,57.87                   ,170.41                 ,No        ,4.33  ,4.39  ,4.10 ,5.15                  ,227079        ,178593     ,142.00                   ,180.55                ,No                ,Health Care           ,--            ,4.33      ,4.01 ,500     ,218091      ,72.80                     ,147.85                 ,2.75M          ,No                  ,C  ,--       ,--                 ,83.33          ,16.67                 ,--              ,--                     ,--              ,6                 ,1.17              ,-72.01M   ,58.30M ,-72.01M ,121.24M           ,-1.21   ,-0.13     ,-0.18     ,-0.70       ,-0.10     ,--        ,--        ,66.00                       ,-123.51    ,--                ,-0.24  ,-3.55                  ,-36.20                     ,-6.4509                ,-47.48                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,4.59         ,8.16     ,16.61                  ,4.00      ,4.54     ,78.95                   ,57.05                        ,-5.54   ,0.00   ,-5.98                  ,-0.26                 ,-2.7118                ,-59.84                   ,-56.44               ,0.00                 ,-34.35               ,0.00              ,1               ,7.14      ,10.87   ,4.00        ,4.00    ,0.53                 ,0.30           ,-0.24    ,0.00 ,-0.178                  ,-2.4565                  ,-38.51                   ,-3.9145               ,0.00                 ,0.00                 ,-42.26               ,0.00              ,8.16       ,21.00     ,4.00     ,4.00   ,0.38         ,1.00             ,-0.08         ,-0.15             ,--                   ,--                       ,31.97           ,--           ,--                   ,9.00     ,5.80      ,8.23      ,10.45      ,6.39      ,--         ,7.66                 ,--        ,45.42                   ,2.29 ,9.62                ,-3.47                     ,-6.77          ,8.65      ,--         ,6.42      ,--        ,--         ,--        ,50.00                ,78.56         ,4.04 ,-0.80      ,-5.79          ,-6.25                     ,6.79      ,9.90       ,--        ,50.00                ,5.45                    ,4.49    ,3.96                   ,-3.80          ,-5.60                     ,-1617.99   , 
RH    ,-5.22      ,33.21     ,2473221   ,49.43    ,1.44B     ,127            ,+5.21                     ,61.17     ,31.46     ,1.60 ,-21.44      ,17.29                  ,11.70             ,31.19                  ,29.93                  ,Specialty Retail                                   ,NYSE    ,RH                       ,Homefurnishing Retail                       ,--      ,35.32         ,33.20,600     ,2147984      ,2217831     ,115.14                  ,111.52                 ,No        ,35.04 ,35.41 ,33.21,91.01                 ,2735782       ,2269807    ,90.40                    ,108.96                ,No                ,Consumer Discretionary,--            ,35.32     ,32.75,300     ,2625266     ,101.26                    ,94.21                  ,71.54M         ,Yes                 ,D  ,--       ,--                 ,21.05          ,15.79                 ,57.89           ,--                     ,5.26            ,19                ,2.53              ,91.10M    ,2.11B  ,91.10M  ,40.8M             ,0.71    ,2.16      ,2.20      ,1.24        ,0.45      ,-1.36     ,--        ,21.00                       ,4.32       ,502.14            ,-2.11  ,+2.39                  ,+18.00                     ,+4.00                  ,+22.85                  ,-59.82               ,0.00                 ,-8.48                ,+1.61     ,35.42        ,35.42    ,11.46                  ,24.54     ,24.41    ,82.71                   ,-6.81                        ,-5.97   ,-0.28  ,+2.41                  ,+0.04                 ,+6.14                  ,+12.76                   ,+15.05               ,-45.71               ,-15.56               ,+3.36             ,3               ,35.42     ,35.42   ,33.10       ,24.54   ,-8.34                ,2.20           ,-1.83    ,-0.79,+1.75                   ,+5.39                    ,+21.03                   ,+6.57                 ,-8.76                ,-8.43                ,-9.75                ,+1.39             ,35.42      ,46.87     ,30.50    ,24.41  ,2.66         ,8.00             ,-0.46         ,2.11              ,--                   ,16.35                    ,2.01            ,78.24        ,28.45                ,0.68     ,32.26     ,28.91     ,30.96      ,30.84     ,30.66      ,75.33                ,52.98     ,12.68                   ,78.56,36.04               ,9.47                      ,1.60           ,29.35     ,30.97      ,30.95     ,29.94     ,31.22      ,55.97     ,55.66                ,44.53         ,90.43,1.05       ,4.31           ,4.91                      ,29.93     ,30.61      ,30.00     ,60.58                ,33.04                   ,93.39   ,23.82                  ,7.89           ,6.48                      ,5218.50    , 
LHCG  ,-5.19      ,50.75     ,144883    ,25.65    ,963.92M   ,68             ,+6.52                     ,60.17     ,49.29     ,0.77 ,-49.27      ,4.00                   ,5.42              ,16.01                  ,48.80                  ,Health Care Providers & Services                   ,NCM     ,LHC GROUP INC            ,Health Care Services                        ,--      ,53.10         ,50.74,500     ,131492       ,129552      ,110.18                  ,111.83                 ,No        ,53.53 ,54.11 ,50.75,83.91                 ,102207        ,104968     ,141.75                   ,138.03                ,No                ,Health Care           ,--            ,53.10     ,50.61,600     ,105520      ,59.54                     ,137.30                 ,6.58M          ,Yes                 ,C  ,--       ,B                  ,60.00          ,--                    ,40.00           ,--                     ,--              ,10                ,1.80              ,45.94M    ,900.03M,45.94M  ,18.15M            ,2.07    ,2.07      ,1.84      ,2.13        ,1.26      ,1.30      ,1.53      ,15.00                       ,4.06       ,--                ,-2.35  ,+2.08                  ,+8.82                      ,+10.64                 ,+11.47                  ,+62.63               ,+192.56              ,+14.33               ,+0.87     ,53.13        ,53.13    ,-3.48                  ,46.18     ,32.04    ,96.00                   ,-3.15                        ,-4.43   ,+0.43  ,+4.84                  ,+0.04                 ,+4.63                  ,+25.07                   ,+16.19               ,+134.64              ,+14.17               ,+12.26            ,2               ,53.13     ,53.13   ,50.33       ,46.18   ,-18.57               ,3.36           ,-2.78    ,+0.81,+3.25                   ,+4.30                    ,+9.55                    ,+5.46                 ,+50.04               ,+160.93              ,+35.04               ,+7.79             ,53.13      ,50.63     ,47.29    ,44.04  ,3.50         ,86.00            ,-0.14         ,1.10              ,--                   ,25.65                    ,--              ,21.14        ,24.92                ,1.07     ,49.26     ,47.62     ,43.23      ,49.01     ,45.40      ,80.77                ,59.09     ,10.07                   ,50.73,51.31               ,6.15                      ,7.28           ,47.11     ,42.36      ,49.15     ,47.50     ,44.81      ,59.94     ,64.13                ,49.76         ,60.48,0.57       ,6.11           ,9.50                      ,48.80     ,44.46      ,47.00     ,68.28                ,30.01                   ,51.44   ,46.28                  ,4.04           ,8.30                      ,76.09      , 
GPRO  ,-5.03      ,7.5692    ,4757910   ,--       ,839.66M   ,66             ,+1.12                     ,20.26     ,8.55      ,-0.44,-98.01      ,9.71                   ,-46.45            ,23.08                  ,8.92                   ,Household Durables                                 ,NGM/NGS ,GOPRO INC                ,Consumer Electronics                        ,--      ,7.97          ,7.56 ,3900    ,4263913      ,5806161     ,111.59                  ,81.95                  ,No        ,7.97  ,7.98  ,7.57 ,32.84                 ,3070846       ,3968608    ,154.94                   ,119.89                ,No                ,Consumer Discretionary,--            ,7.97      ,7.525,4500    ,3300491     ,193.03                    ,144.16                 ,34.29M         ,No                  ,D  ,***      ,--                 ,--             ,5.26                  ,47.37           ,21.05                  ,26.32           ,19                ,3.68              ,-419.00M  ,1.19B  ,-419.00M,105.35M           ,-3.01   ,-3.01     ,0.25      ,-0.69       ,0.92      ,0.47      ,0.07      ,13.33                       ,-35.34     ,763.84            ,-0.4008,-1.7908                ,-10.62                     ,-3.3055                ,-14.39                  ,-79.42               ,0.00                 ,-8.47                ,+0.63     ,8.11         ,9.75     ,9.70                   ,7.91      ,7.91     ,90.29                   ,16.36                        ,-5.03   ,0.00   ,-1.2508                ,-0.07                 ,-0.9964                ,-29.32                   ,-8.50                ,0.00                 ,-5.81                ,-68.75            ,2               ,8.72      ,11.10   ,7.96        ,7.91    ,0.385                ,0.4108         ,-0.4008  ,0.00 ,+0.0882                 ,-0.9475                  ,-11.11                   ,-1.3394               ,-34.56               ,0.00                 ,-35.84               ,-41.37            ,9.75       ,17.68     ,7.91     ,7.91   ,0.455        ,10.00            ,-0.0442       ,-0.11             ,--                   ,--                       ,4.22            ,--           ,--                   ,0.71     ,8.45      ,9.25      ,10.95      ,8.72      ,10.09      ,25.07                ,39.17     ,39.25                   ,1.99 ,10.28               ,-0.77                     ,-1.25          ,9.20      ,11.55      ,8.81      ,9.26      ,10.41      ,35.31     ,40.55                ,40.87         ,2.65 ,-0.28      ,-1.58          ,-0.84                     ,8.92      ,9.97       ,9.43      ,37.64                ,16.47                   ,2.82    ,7.56                   ,-1.33          ,-1.14                     ,-21374.22  , 
CMP   ,-4.66      ,70.13     ,1054353   ,15.26    ,2.47B     ,60             ,+1.52                     ,18.25     ,73.99     ,-2.23,-99.03      ,2.14                   ,-19.56            ,29.00                  ,75.37                  ,Metals & Mining                                    ,NYSE    ,COMPASS MINERALS INTL INC,Diversified Metals & Mining                 ,2.88    ,73.10         ,70.10,1200    ,435308       ,307849      ,242.21                  ,342.49                 ,No        ,73.55 ,73.55 ,70.15,99.72                 ,418294        ,340872     ,252.06                   ,309.31                ,Yes               ,Materials             ,3.90          ,73.09     ,70.05,1900    ,416539      ,185.15                    ,253.12                 ,31.52M         ,No                  ,C  ,***      ,B+                 ,11.11          ,11.11                 ,66.67           ,11.11                  ,--              ,9                 ,2.78              ,162.70M   ,1.14B  ,162.70M ,33.8M             ,4.79    ,4.79      ,4.69      ,3.39        ,6.44      ,3.88      ,2.65      ,4.20                        ,14.30      ,366.74            ,-2.96  ,-6.52                  ,-3.02                      ,-3.40                  ,-7.24                   ,-14.54               ,+18.12               ,-0.05                ,+0.47     ,73.70        ,83.50    ,10.85                  ,71.15     ,67.05    ,97.86                   ,5.64                         ,-4.06   ,+0.46  ,-8.72                  ,-0.03                 ,-3.16                  ,-4.45                    ,-5.81                ,-7.58                ,-1.33                ,+23.98            ,0               ,73.70     ,84.40   ,72.34       ,71.15   ,-3.00                ,3.43           ,-3.42    ,+0.63,+1.10                   ,-2.28                    ,-4.15                    ,-5.71                 ,+7.19                ,+7.18                ,+3.59                ,+7.95             ,81.00      ,84.40     ,71.15    ,71.15  ,3.50         ,11.00            ,-0.08         ,0.65              ,--                   ,15.26                    ,16.77           ,166.62       ,21.57                ,2.17     ,72.93     ,78.62     ,76.83      ,74.84     ,77.16      ,29.05                ,39.63     ,34.92                   ,0.97 ,81.22               ,-6.56                     ,-10.63         ,78.91     ,75.77      ,74.08     ,77.09     ,77.00      ,32.21     ,43.34                ,46.67         ,12.68,-1.88      ,-10.78         ,-8.75                     ,75.37     ,77.61      ,77.26     ,37.59                ,12.70                   ,14.43   ,69.52                  ,-9.83          ,-7.46                     ,-1422.64   , 
