Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                        ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
JNUG  ,-16.22     ,5.7811    ,85859933  ,--       ,1.13B     ,182            ,+16.70                    ,36.30     ,7.20      ,-1.07,-91.12      ,8.17                   ,-14.27            ,33.67                  ,8.42                   ,--                                            ,NYSE    ,DIREXION DLY JR GOLD MNRS,--                                  ,--      ,6.96          ,5.78  ,10200   ,75649582     ,40206262    ,113.50                  ,213.55                 ,No        ,6.90  ,7.03  ,5.79  ,100.00                ,64385985      ,60356345   ,133.35                   ,142.26                ,No                ,--                    ,--            ,6.96      ,5.67  ,1700    ,63508798    ,88.54                     ,135.19                 ,457.59M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,161.82M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-1.1789,-1.3689                ,-17.35                     ,-3.6467                ,-22.12                  ,-15.67               ,0.00                 ,-27.21               ,-0.23     ,7.07         ,12.49    ,26.26                  ,5.20      ,3.77     ,91.83                   ,27.16                        ,-16.94  ,-0.06,+0.0811                ,+0.01                 ,-2.0055                ,-34.38                   ,+24.73               ,-96.00               ,+17.34               ,0.00              ,14              ,7.07      ,13.03   ,6.18        ,5.20    ,-1.90                ,1.2489         ,-1.1189  ,-0.86,+0.996                  ,-1.461                   ,-22.37                   ,-1.9773               ,-21.88               ,0.00                 ,-50.85               ,0.00              ,12.39      ,33.29     ,5.20     ,5.20   ,1.36         ,21.00            ,-0.1111       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,6.24      ,8.81      ,9.54       ,7.62      ,9.72       ,43.46                ,44.60     ,29.51                   ,8.88 ,13.44               ,-4.98                     ,0.39           ,8.11      ,14.68      ,7.35      ,8.48      ,10.18      ,42.57     ,46.07                ,30.67         ,16.85,-0.78      ,-2.58          ,0.35                      ,8.42      ,8.58       ,8.69      ,45.23                ,15.66                   ,12.93   ,3.40                   ,-5.69          ,-1.32                     ,-155378.77 , 
AMPH  ,-13.11     ,12.13     ,1426554   ,32.20    ,678.39M   ,118            ,+3.86                     ,19.90     ,14.80     ,-0.73,-97.88      ,4.19                   ,-30.80            ,22.21                  ,15.40                  ,Pharmaceuticals                               ,NSC     ,AMPHASTAR PHARMACEUTICLS ,Pharmaceuticals                     ,--      ,14.74         ,12.12 ,300     ,250309       ,464595      ,569.92                  ,307.05                 ,No        ,13.96 ,13.96 ,12.14 ,50.06                 ,388278        ,369041     ,367.41                   ,386.56                ,No                ,Health Care           ,--            ,14.74     ,12.05 ,900     ,376459      ,499.98                    ,378.94                 ,3.69M          ,Yes                 ,C  ,--       ,--                 ,50.00          ,33.33                 ,16.67           ,--                     ,--              ,6                 ,1.67              ,-2.79M    ,251.52M,-2.79M  ,46.02M            ,0.46    ,-0.06     ,-0.25     ,0.51        ,0.31      ,0.46      ,0.20      ,25.00                       ,-1.11     ,172.27            ,-2.61  ,-3.54                  ,-4.25                      ,-3.51                  ,-9.34                   ,-2.47                ,0.00                 ,-1.65                ,+1.62     ,14.87        ,18.50    ,7.79                   ,14.00     ,10.92    ,95.81                   ,21.90                        ,-17.71  ,-0.78,-6.48                  ,-0.19                 ,-1.00                  ,-19.22                   ,-19.98               ,0.00                 ,-23.68               ,+6.80             ,0               ,15.19     ,19.64   ,14.36       ,14.00   ,-1.13                ,1.83           ,-1.83    ,-5.29,+0.55                   ,-0.66                    ,-6.37                    ,-1.52                 ,+31.36               ,0.00                 ,-18.58               ,+5.05             ,18.50      ,21.75     ,14.36    ,14.00  ,1.91         ,3.00             ,-0.08         ,1.38              ,--                   ,--                       ,2.61            ,10.21        ,28.68                ,2.70     ,14.65     ,16.22     ,18.13      ,15.07     ,17.04      ,38.96                ,38.37     ,43.35                   ,2.12 ,18.36               ,-1.98                     ,-7.75          ,16.83     ,17.80      ,14.79     ,16.20     ,17.13      ,33.57     ,43.67                ,51.01         ,21.89,-0.55      ,-5.01          ,-5.15                     ,15.40     ,17.91      ,16.46     ,41.57                ,14.07                   ,22.11   ,12.43                  ,-5.07          ,-2.58                     ,-1654.44   , 
TSRO  ,-13.03     ,149.25    ,4172794   ,--       ,9.22B     ,411            ,+1.64                     ,21.45     ,173.87    ,-0.23,-83.96      ,26.06                  ,-20.53            ,27.26                  ,180.15                 ,Biotechnology                                 ,NGM/NGS ,TESARO INC               ,Biotechnology                       ,--      ,171.84        ,149.24,100     ,682252       ,1028257     ,611.44                  ,405.69                 ,No        ,171.75,171.80,149.25,74.85                 ,743086        ,918222     ,561.38                   ,454.31                ,No                ,Health Care           ,--            ,171.84    ,141.47,100     ,796570      ,533.76                    ,523.69                 ,118.76M        ,No                  ,C  ,--       ,--                 ,43.75          ,18.75                 ,37.50           ,--                     ,--              ,16                ,1.94              ,-387.47M  ,44.82M ,-387.47M,53.63M            ,-8.13   ,-8.13     ,-6.38     ,-7.69       ,-4.79     ,-2.93     ,-4.51     ,24.83                       ,-864.45   ,100.50            ,-22.46 ,-37.24                 ,-4.62                      ,+35.75                 ,+3.82                   ,+206.56              ,0.00                 ,+306.85              ,+1.54     ,175.96       ,192.94   ,21.14                  ,168.58    ,36.68    ,73.94                   ,19.30                        ,-13.07  ,-0.09,+13.12                 ,-0.16                 ,-10.21                 ,+26.27                   ,+27.78               ,+466.90              ,+38.82               ,-111.01           ,1               ,184.00    ,192.94  ,168.58      ,168.58  ,-104.79              ,22.43          ,-22.38   ,-0.05,+2.78                   ,-8.31                    ,-5.61                    ,+6.32                 ,+308.53              ,+623.59              ,+122.42              ,-70.76            ,192.94     ,192.94    ,168.58   ,131.60 ,30.33        ,98.00            ,-7.91         ,-0.90             ,--                   ,--                       ,15.41           ,21.56        ,--                   ,205.59   ,173.45    ,164.58    ,140.73     ,174.12    ,148.76     ,40.14                ,50.09     ,34.25                   ,16.04,198.61              ,-10.18                    ,20.00          ,159.46    ,115.64     ,178.20    ,165.38    ,142.85     ,44.32     ,57.21                ,45.51         ,16.19,3.88       ,-7.04          ,44.09                     ,180.15    ,147.37     ,161.89    ,54.83                ,12.83                   ,16.01   ,161.70                 ,-32.98         ,24.87                     ,-2941.64   , 
ATRA  ,-10.11     ,20.05     ,246052    ,--       ,660.34M   ,49             ,+13.73                    ,62.44     ,18.07     ,1.39 ,-31.44      ,11.37                  ,23.89             ,29.58                  ,16.92                  ,Biotechnology                                 ,NASDAQ  ,ATARA BIOTHERAPEUTICS INC,Biotechnology                       ,--      ,22.70         ,20.00 ,900     ,419311       ,214485      ,58.68                   ,114.72                 ,No        ,22.30 ,22.35 ,20.05 ,45.16                 ,247064        ,226514     ,99.59                    ,108.63                ,No                ,Health Care           ,--            ,22.70     ,19.75 ,500     ,241501      ,41.09                     ,101.88                 ,8.48M          ,No                  ,F  ,--       ,--                 ,50.00          ,16.67                 ,--              ,16.67                  ,16.67           ,6                 ,2.33              ,-79.05M   ,--     ,-79.05M ,29.09M            ,-2.75   ,-2.75     ,-2.24     ,-3.85       ,-5.62     ,-9.08     ,-16.81    ,--                          ,--        ,--                ,-2.66  ,+4.24                  ,+34.19                     ,+5.71                  ,+46.16                  ,-30.16               ,0.00                 ,-14.69               ,+1.48     ,23.00        ,23.00    ,3.39                   ,13.60     ,12.45    ,88.63                   ,-13.62                       ,-11.70  ,-0.40,+5.60                  ,+0.19                 ,+6.13                  ,+33.59                   ,+59.86               ,0.00                 ,-22.17               ,-27.79            ,1               ,23.00     ,23.00   ,20.55       ,13.60   ,-7.30                ,2.30           ,-2.26    ,-1.76,+2.74                   ,+5.78                    ,+36.98                   ,+7.17                 ,+28.83               ,0.00                 ,-20.93               ,-26.85            ,23.00      ,25.73     ,16.50    ,12.45  ,2.60         ,95.00            ,-0.30         ,-0.35             ,--                   ,--                       ,2.59            ,--           ,--                   ,--       ,18.46     ,15.59     ,16.65      ,17.54     ,16.76      ,82.80                ,54.84     ,10.88                   ,68.56,21.21               ,7.65                      ,4.35           ,15.57     ,18.55      ,17.31     ,16.47     ,17.02      ,58.25     ,59.37                ,52.31         ,87.37,0.84       ,5.25           ,4.65                      ,16.92     ,16.23      ,16.44     ,66.01                ,34.76                   ,89.99   ,12.62                  ,4.90           ,7.60                      ,1028.52    , 
COUP  ,-9.25      ,24.04     ,2200815   ,--       ,1.35B     ,87             ,+3.28                     ,31.04     ,26.38     ,-0.06,-86.64      ,21.73                  ,-23.15            ,20.24                  ,26.69                  ,Internet Software & Services                  ,NASDAQ  ,COUPA SOFTWARE INC       ,Internet Software & Services        ,--      ,27.06         ,24.02 ,100     ,245672       ,520402      ,895.79                  ,422.89                 ,No        ,26.49 ,26.49 ,24.04 ,24.50                 ,209365        ,211481     ,1051.14                  ,1040.62               ,No                ,Information Technology,--            ,27.06     ,23.36 ,200     ,205068      ,525.96                    ,1073.16                ,6.55M          ,No                  ,D  ,--       ,--                 ,12.50          ,37.50                 ,50.00           ,--                     ,--              ,8                 ,2.38              ,-46.16M   ,83.68M ,-46.16M ,49.98M            ,-4.83   ,-9.81     ,-9.13     ,-1.69       ,--        ,--        ,--        ,--                          ,-55.16    ,--                ,-3.02  ,-2.55                  ,+1.38                      ,+0.33                  ,+4.22                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,27.10        ,29.25    ,15.12                  ,25.62     ,23.52    ,78.27                   ,10.77                        ,-11.16  ,-0.57,-1.02                  ,-0.10                 ,+0.33                  ,+1.25                    ,+8.20                ,0.00                 ,-16.67               ,-111.83           ,0               ,27.29     ,29.25   ,25.62       ,25.62   ,0.16                 ,2.45           ,-2.45    ,-2.11,+0.86                   ,+0.37                    ,+1.25                    ,+1.10                 ,0.00                 ,0.00                 ,0.00                 ,-21.14            ,29.25      ,41.61     ,25.62    ,23.52  ,3.13         ,41.00            ,-0.68         ,-0.24             ,--                   ,--                       ,--              ,--           ,--                   ,16.16    ,26.51     ,25.91     ,--         ,26.40     ,--         ,55.12                ,--        ,31.75                   ,13.36,28.57               ,0.81                      ,-1.41          ,25.87     ,--         ,26.63     ,--        ,--         ,--        ,50.00                ,35.97         ,21.68,0.16       ,-1.41          ,0.76                      ,26.69     ,26.48      ,--        ,50.00                ,14.95                   ,23.76   ,24.81                  ,-1.92          ,2.20                      ,-1188.79   , 
YY    ,-8.20      ,47.11     ,4451621   ,14.46    ,1.82B     ,215            ,+3.77                     ,57.34     ,46.02     ,0.90 ,-58.81      ,22.46                  ,-18.48            ,22.53                  ,46.12                  ,Internet Software & Services                  ,NASDAQ  ,YY INC  -ADR             ,Internet Software & Services        ,--      ,48.80         ,47.09 ,100     ,1873342      ,1130887     ,237.63                  ,393.64                 ,No        ,51.32 ,51.84 ,47.11 ,78.58                 ,1045610       ,825940     ,425.74                   ,538.98                ,No                ,Information Technology,--            ,48.80     ,45.74 ,400     ,1062797     ,131.98                    ,418.86                 ,88.28M         ,No                  ,-- ,--       ,--                 ,53.33          ,26.67                 ,13.33           ,--                     ,6.67            ,15                ,1.80              ,158.88M   ,938.55M,158.88M ,37.39M            ,3.37    ,2.86      ,2.83      ,3.84        ,1.27      ,0.29      ,-2.01     ,21.51                       ,2.79      ,282.95            ,-1.69  ,+2.41                  ,+5.81                      ,+2.11                  ,+12.10                  ,-16.13               ,0.00                 ,+1.93                ,+1.12     ,51.25        ,51.25    ,12.12                  ,43.78     ,31.07    ,77.54                   ,-2.81                        ,-3.46   ,+2.52,+7.11                  ,+0.05                 ,+2.95                  ,+4.52                    ,+23.80               ,-44.58               ,+2.36                ,+36.14            ,13              ,51.25     ,51.25   ,47.08       ,41.68   ,-14.67               ,4.73           ,-4.21    ,+5.16,+1.77                   ,+2.68                    ,+6.44                    ,+5.27                 ,-14.95               ,+169.95              ,-13.92               ,+16.01            ,51.25      ,63.96     ,44.60    ,37.81  ,6.10         ,65.00            ,-1.37         ,0.62              ,--                   ,17.03                    ,16.10           ,80.00        ,12.70                ,1.94     ,45.98     ,43.52     ,46.05      ,45.68     ,44.92      ,68.76                ,52.44     ,14.34                   ,41.19,49.07               ,4.32                      ,5.01           ,43.17     ,44.76      ,45.79     ,44.64     ,45.21      ,54.75     ,54.47                ,36.05         ,61.57,0.77       ,4.48           ,5.90                      ,46.12     ,44.49      ,44.60     ,58.40                ,30.51                   ,59.53   ,43.17                  ,2.52           ,6.23                      ,-3358.31   , 
XON   ,-7.87      ,20.85     ,1763413   ,--       ,2.71B     ,129            ,+0.94                     ,36.86     ,22.55     ,-0.15,-82.89      ,0.52                   ,-10.46            ,23.80                  ,22.76                  ,Biotechnology                                 ,NYSE    ,INTREXON CORP            ,Biotechnology                       ,--      ,22.86         ,20.85 ,400     ,1058381      ,1261276     ,166.61                  ,139.81                 ,No        ,22.63 ,22.75 ,20.86 ,32.66                 ,1244176       ,1303689    ,141.73                   ,135.26                ,No                ,Health Care           ,--            ,22.86     ,20.84 ,3500    ,1209936     ,97.56                     ,145.74                 ,24.18M         ,No                  ,D  ,--       ,--                 ,57.14          ,14.29                 ,28.57           ,--                     ,--              ,7                 ,1.71              ,-190.27M  ,190.93M,-190.27M,118.73M           ,-1.58   ,-1.58     ,-0.76     ,-0.76       ,-0.83     ,-1.40     ,-18.77    ,-51.19                      ,-97.74    ,215.98            ,-2.01  ,-1.78                  ,+0.43                      ,-3.23                  ,-0.72                   ,-46.98               ,0.00                 ,-26.77               ,+1.50     ,23.74        ,24.00    ,16.74                  ,20.20     ,20.20    ,99.48                   ,8.07                         ,-8.79   ,-0.23,-3.60                  ,-0.06                 ,+0.13                  ,-12.39                   ,-4.86                ,-8.60                ,-22.85               ,-30.34            ,2               ,23.84     ,26.95   ,22.79       ,20.20   ,-0.64                ,1.90           ,-1.78    ,-1.01,+0.21                   ,+0.10                    ,+0.56                    ,-0.17                 ,-31.27               ,0.00                 ,-10.81               ,-19.71            ,24.00      ,39.49     ,22.00    ,20.20  ,1.91         ,6.00             ,-0.01         ,-0.62             ,--                   ,--                       ,15.30           ,1.33         ,--                   ,14.22    ,22.65     ,23.01     ,25.98      ,22.59     ,24.71      ,50.82                ,43.73     ,31.22                   ,17.11,24.23               ,1.01                      ,-7.26          ,23.59     ,26.17      ,22.53     ,23.39     ,25.12      ,42.10     ,46.73                ,38.55         ,60.44,-0.13      ,-3.92          ,-5.85                     ,22.76     ,25.57      ,23.70     ,47.23                ,13.85                   ,72.40   ,21.29                  ,-1.42          ,-2.40                     ,-1947.51   , 
MUX   ,-7.22      ,3.0061    ,4865121   ,46.86    ,987.02M   ,44             ,+8.47                     ,36.20     ,3.30      ,-0.23,-87.20      ,15.37                  ,-30.53            ,36.02                  ,3.52                   ,Metals & Mining                               ,NYSE    ,MCEWEN MINING INC        ,Gold                                ,0.01    ,3.28          ,3.00  ,19100   ,4777329      ,4399867     ,101.84                  ,110.57                 ,No        ,3.24  ,3.315 ,3.01  ,34.33                 ,4799131       ,4415807    ,101.38                   ,110.18                ,No                ,Materials             ,0.30          ,3.28      ,2.95  ,4300    ,4719039     ,76.43                     ,103.10                 ,14.61M         ,No                  ,NC ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,1                 ,1.00              ,21.06M    ,60.39M ,21.06M  ,299.57M           ,0.07    ,0.07      ,-0.07     ,--          ,-1.05     ,-0.50     ,-0.26     ,--                          ,34.87     ,206.10            ,-0.2739,-0.3639                ,-6.75                      ,-0.1607                ,-12.36                  ,+229.88              ,-35.27               ,+54.18               ,-0.41     ,3.42         ,4.33     ,1.605                  ,2.84      ,1.72     ,84.63                   ,10.00                        ,-8.35   ,-0.04,+0.0361                ,-0.01                 ,-0.3509                ,-4.67                    ,+12.86               ,+5.11                ,+21.36               ,+4.89             ,10              ,3.42      ,4.43    ,3.08        ,2.84    ,-1.23                ,0.3089         ,-0.2339  ,-1.22,+0.256                  ,-0.2375                  ,-9.66                    ,-0.4627               ,+53.37               ,+17.46               ,+0.13                ,+4.33             ,4.30       ,4.92      ,2.84     ,2.84   ,0.365        ,60.00            ,-0.0561       ,2.00              ,--                   ,46.86                    ,2.22            ,--           ,--                   ,16.27    ,3.12      ,3.71      ,3.40       ,3.39      ,3.49       ,44.57                ,45.90     ,25.72                   ,12.80,4.44                ,-0.95                     ,0.18           ,3.57      ,3.57       ,3.31      ,3.53      ,3.46       ,42.66     ,48.09                ,22.03         ,21.60,-0.18      ,-0.79          ,0.24                      ,3.52      ,3.38       ,3.53      ,46.13                ,16.43                   ,14.84   ,2.59                   ,-1.19          ,-0.44                     ,-21932.63  , 
VNET  ,-7.14      ,5.265     ,1754358   ,--       ,643.54M   ,49             ,-2.76                     ,12.24     ,6.50      ,-0.41,-97.06      ,13.54                  ,-53.35            ,25.33                  ,6.92                   ,Internet Software & Services                  ,NASDAQ  ,21VIANET GROUP INC       ,Internet Software & Services        ,--      ,5.68          ,5.26  ,2500    ,1727165      ,720949      ,101.57                  ,243.34                 ,No        ,5.67  ,5.68  ,5.27  ,23.59                 ,665939        ,568179     ,263.44                   ,308.77                ,No                ,Information Technology,--            ,5.68      ,5.20  ,2100    ,636260      ,134.20                    ,275.73                 ,9.97M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,2                 ,3.00              ,-140.44M  ,548.79M,-140.44M,113.3M            ,-1.24   ,-1.24     ,-0.77     ,-0.34       ,-0.80     ,-0.12     ,0.14      ,20.00                       ,-3.38     ,--                ,-0.415 ,-1.965                 ,-17.87                     ,-1.8336                ,-20.39                  ,-67.57               ,-51.81               ,-50.21               ,+1.31     ,5.76         ,7.70     ,15.44                  ,5.51      ,6.77     ,86.46                   ,28.15                        ,-7.31   ,-0.01,-1.795                 ,-0.25                 ,-1.3668                ,-24.40                   ,-18.97               ,-79.92               ,-7.90                ,-19.23            ,1               ,7.12      ,7.70    ,5.51        ,5.51    ,1.57                 ,0.415          ,-0.405   ,-0.18,-0.161                  ,-1.2363                  ,-19.40                   ,-1.455                ,-71.93               ,-41.91               ,-22.01               ,-8.38             ,7.70       ,21.12     ,5.51     ,5.51   ,0.48         ,2.00             ,-0.065        ,-0.20             ,--                   ,--                       ,1.39            ,11.75        ,--                   ,1.17     ,6.48      ,7.10      ,7.37       ,6.66      ,7.56       ,15.43                ,34.35     ,47.15                   ,2.94 ,8.33                ,-1.61                     ,-2.33          ,7.10      ,8.50       ,6.75      ,7.03      ,7.87       ,28.27     ,36.38                ,70.60         ,5.53 ,-0.20      ,-2.05          ,-2.37                     ,6.92      ,7.28       ,7.12      ,31.23                ,8.13                    ,6.38    ,5.51                   ,-2.20          ,-1.39                     ,-6635.56   , 
NUGT  ,-6.88      ,7.6356    ,39912784  ,--       ,1.61B     ,108            ,+6.69                     ,31.53     ,8.87      ,-0.92,-95.29      ,12.44                  ,-24.66            ,32.54                  ,9.83                   ,--                                            ,NYSE    ,DIREXION DLY GOLD MINERS ,--                                  ,--      ,8.33          ,7.63  ,65400   ,37268055     ,44350520    ,107.10                  ,89.99                  ,No        ,8.20  ,8.52  ,7.64  ,100.00                ,43984767      ,51315858   ,90.74                    ,77.78                 ,No                ,--                    ,--            ,8.33      ,7.51  ,6900    ,45033893    ,96.68                     ,88.63                  ,293.61M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,193.24M           ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--        ,--                ,-0.6944,-1.3044                ,-15.22                     ,-3.6279                ,-20.02                  ,-54.07               ,-99.61               ,-35.13               ,-0.06     ,8.42         ,13.54    ,27.28                  ,7.40      ,5.51     ,87.56                   ,17.50                        ,-8.34   ,-0.13,-0.2244                ,-0.02                 ,-1.9786                ,-30.34                   ,+9.03                ,-91.61               ,+19.55               ,0.00              ,52              ,8.42      ,13.70   ,8.01        ,7.40    ,-2.00                ,0.8844         ,-0.5644  ,-1.56,+0.522                  ,-1.4955                  ,-19.19                   ,-2.0852               ,-39.22               ,-98.49               ,-46.71               ,0.00              ,13.04      ,35.80     ,7.40     ,7.40   ,1.01         ,62.00            ,-0.1256       ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,8.13      ,10.30     ,11.01      ,9.23      ,11.32      ,37.12                ,43.92     ,30.34                   ,4.71 ,13.67               ,-4.64                     ,0.72           ,9.66      ,16.70      ,8.97      ,10.00     ,11.85      ,41.41     ,44.94                ,39.46         ,12.09,-0.67      ,-2.06          ,0.25                      ,9.83      ,10.07      ,10.21     ,43.38                ,13.17                   ,9.44    ,5.98                   ,-4.86          ,-1.22                     ,-154800.94 , 
