Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Exchange, 
MSCI  ,-8.52      ,99.26     ,6633450   ,35.68    ,8.72B     ,173            ,+0.30                     ,77.80     ,95.26     ,1.98 ,-64.38      ,20.33                  ,-19.93            ,41.14                  ,95.22                  ,NYSE    , 
NCMI  ,-5.50      ,12.47     ,607904    ,30.19    ,799.28M   ,76             ,-0.07                     ,36.59     ,12.75     ,-0.28,-47.79      ,3.35                   ,16.91             ,25.64                  ,12.69                  ,NASDAQ  , 
INSY  ,-2.44      ,10.59     ,609076    ,34.58    ,776.55M   ,29             ,-0.38                     ,39.50     ,11.17     ,0.03 ,-98.00      ,13.39                  ,-34.89            ,20.79                  ,11.62                  ,NASDAQ  , 
WBS   ,-2.28      ,53.46     ,448009    ,25.19    ,5.01B     ,69             ,+0.65                     ,39.50     ,54.65     ,0.05 ,-89.98      ,15.63                  ,-10.67            ,20.32                  ,55.27                  ,NYSE    , 
STL   ,-2.22      ,24.20     ,1321651   ,22.99    ,3.34B     ,26             ,-0.08                     ,43.32     ,24.64     ,0.11 ,-75.00      ,23.53                  ,-19.05            ,15.79                  ,24.84                  ,NYSE    , 
AF    ,-2.21      ,20.76     ,1284361   ,34.11    ,2.14B     ,60             ,+0.10                     ,66.26     ,20.13     ,0.65 ,-27.52      ,14.49                  ,3.13              ,38.93                  ,19.56                  ,NYSE    , 
FNB   ,-2.10      ,15.39     ,3593215   ,20.13    ,5.07B     ,59             ,-0.44                     ,40.76     ,15.71     ,0.09 ,-93.94      ,12.50                  ,15.70             ,19.10                  ,15.75                  ,NYSE    , 
VIRT  ,-2.08      ,16.50     ,333667    ,19.15    ,685.24M   ,12             ,+0.62                     ,29.50     ,17.22     ,-0.29,-96.82      ,--                     ,-18.59            ,35.42                  ,17.61                  ,NASDAQ  , 
SNV   ,-1.94      ,41.45     ,465476    ,22.26    ,5.15B     ,57             ,-0.10                     ,36.50     ,42.37     ,0.03 ,-95.31      ,7.55                   ,-6.46             ,13.76                  ,42.58                  ,NYSE    , 
WIT   ,-1.90      ,9.82      ,965721    ,19.46    ,18.51B    ,14             ,+1.07                     ,52.06     ,9.83      ,0.10 ,-63.27      ,32.14                  ,27.54             ,20.84                  ,9.79                   ,NYSE    , 
FRC   ,-1.89      ,94.73     ,792196    ,24.47    ,14.84B    ,100            ,+0.27                     ,42.57     ,95.76     ,0.42 ,-73.51      ,19.87                  ,-3.00             ,18.62                  ,95.85                  ,NYSE    , 
WAL   ,-1.87      ,51.02     ,361155    ,20.69    ,5.45B     ,47             ,+0.71                     ,44.80     ,51.54     ,0.24 ,-81.03      ,12.70                  ,-2.97             ,13.00                  ,51.99                  ,NYSE    , 
ARES  ,-1.84      ,18.65     ,353998    ,15.82    ,1.54B     ,24             ,+0.32                     ,29.77     ,19.72     ,-0.36,-92.00      ,53.33                  ,-14.92            ,25.03                  ,20.56                  ,NYSE    , 
FHN   ,-1.83      ,19.07     ,2056996   ,20.57    ,4.52B     ,59             ,+0.26                     ,33.40     ,19.67     ,-0.19,-94.35      ,20.19                  ,-21.45            ,16.92                  ,19.91                  ,NYSE    , 
RJF   ,-1.74      ,77.19     ,1214653   ,19.88    ,11.24B    ,54             ,-0.47                     ,38.90     ,78.63     ,0.51 ,-91.31      ,23.23                  ,-16.79            ,22.77                  ,79.04                  ,NYSE    , 
PGTI  ,-1.65      ,10.43     ,228800    ,22.34    ,517.84M   ,6              ,+0.53                     ,43.92     ,10.50     ,-0.26,-46.88      ,12.50                  ,-1.85             ,28.41                  ,10.53                  ,NYSE    , 
ORLY  ,-1.62      ,271.28    ,1256360   ,25.67    ,25.24B    ,130            ,+1.26                     ,51.83     ,270.89    ,0.84 ,-44.14      ,32.20                  ,17.09             ,13.87                  ,270.06                 ,NGM/NGS , 
CFG   ,-1.62      ,36.80     ,4141224   ,18.88    ,18.94B    ,88             ,-0.40                     ,40.40     ,37.53     ,0.16 ,-89.82      ,14.80                  ,-6.57             ,13.92                  ,37.77                  ,NYSE    , 
STI   ,-1.61      ,57.91     ,4531037   ,16.29    ,28.82B    ,154            ,-0.13                     ,35.86     ,59.07     ,0.24 ,-90.65      ,24.07                  ,4.08              ,21.47                  ,59.54                  ,NYSE    , 
AAOI  ,-1.60      ,47.50     ,1236916   ,27.38    ,900.09M   ,76             ,-3.75                     ,53.70     ,47.74     ,4.43 ,-55.38      ,26.67                  ,16.43             ,64.95                  ,45.94                  ,NASDAQ  , 
