Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                    ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
CLF   ,-5.45      ,9.36      ,14670034  ,11.15    ,2.88B     ,89             ,+5.70                     ,43.24     ,9.66      ,-0.26,-72.62      ,54.10                  ,-20.08            ,23.33                  ,10.17                  ,Metals & Mining                                    ,NYSE    ,CLIFFS NATURAL RESOURCES ,Steel                           ,--      ,9.71          ,9.36  ,7200    ,16070387     ,15607946    ,91.29                   ,93.99                  ,No        ,9.90  ,9.92  ,9.37  ,46.98                 ,19046270      ,20553463   ,77.02                    ,71.37                 ,No                ,Materials             ,--            ,9.71      ,8.70  ,4700    ,22015716    ,73.77                     ,66.63                  ,146.91M        ,No                  ,C  ,*****    ,C                  ,12.50          ,12.50                 ,62.50           ,12.50                  ,--              ,8                 ,2.75              ,199.30M   ,2.11B  ,199.30M ,296.39M           ,0.87    ,0.87      ,-5.13     ,1.39        ,-47.52    ,2.08      ,-6.32     ,2.00                        ,8.26    ,721.52            ,-0.35 ,-1.73                  ,-4.49                      ,+1.5892                ,-0.19                   ,+60.07               ,-84.80               ,+149.07              ,+1.83     ,9.77         ,12.37    ,2.45                   ,8.64      ,2.13     ,45.90                   ,4.20                         ,-3.60   ,+0.19,+0.77                  ,+0.05                 ,-0.7336                ,+19.57                   ,+15.46               ,-49.74               ,+21.00               ,-9.54             ,1               ,9.77      ,12.37   ,8.97        ,8.64    ,-6.57                ,0.56           ,-0.54    ,+1.96,+0.524                  ,-0.457                   ,-7.02                    ,-0.0186               ,+252.42              ,-62.57               ,+87.02               ,+9.82             ,12.22      ,12.37     ,8.64     ,8.27   ,1.22         ,12.00            ,-0.66         ,0.47              ,--                   ,11.15                    ,--              ,-166.37      ,6.97                 ,1.36     ,9.34      ,9.74      ,8.39       ,9.77      ,8.94       ,48.49                ,51.40     ,27.52                   ,27.38,12.10               ,-2.32                     ,0.17           ,9.60      ,7.49       ,9.75      ,9.66      ,8.64       ,48.99     ,52.64                ,23.11         ,26.69,-0.12      ,-0.07          ,-0.04                     ,10.17     ,8.91       ,9.53      ,50.87                ,17.19                   ,18.94   ,8.23                   ,-2.47          ,0.55                      ,-48349.46 , 
BGS   ,-5.43      ,39.15     ,2103040   ,24.31    ,2.80B     ,56             ,+1.74                     ,22.66     ,42.20     ,-1.08,-93.94      ,11.76                  ,-31.32            ,33.48                  ,43.28                  ,Food Products                                      ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats          ,1.86    ,42.05         ,39.10 ,1400    ,440667       ,615017      ,477.24                  ,341.95                 ,No        ,41.40 ,41.40 ,39.15 ,88.16                 ,686350        ,548702     ,306.41                   ,383.28                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,500     ,665065      ,368.10                    ,316.22                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87    ,537.16            ,-2.90 ,-3.60                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,88.24                   ,7.25                         ,-6.90   ,-0.65,-4.60                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.25           ,-2.25    ,-1.55,+0.72                   ,-1.23                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.30         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.57     ,44.07     ,44.51      ,42.62     ,44.09      ,39.10                ,40.83     ,40.20                   ,6.06 ,48.04               ,-4.35                     ,-4.70          ,44.05     ,45.62      ,41.99     ,43.62     ,44.12      ,35.94     ,45.65                ,54.81         ,14.26,-0.80      ,-6.45          ,-1.35                     ,43.28     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.47   ,38.51                  ,-7.70          ,-3.30                     ,-3407.55  , 
TAHO  ,-4.82      ,7.51      ,2158534   ,18.93    ,2.40B     ,54             ,+3.58                     ,38.53     ,7.89      ,-0.41,-76.47      ,6.52                   ,-10.01            ,24.58                  ,8.14                   ,Metals & Mining                                    ,NYSE    ,TAHOE RESOURCES INC      ,Gold                            ,0.24    ,7.70          ,7.51  ,3600    ,3814213      ,2482397     ,56.59                   ,86.95                  ,No        ,7.89  ,7.9399,7.52  ,68.36                 ,3074538       ,2868327    ,70.21                    ,75.25                 ,No                ,Materials             ,3.10          ,7.70      ,7.48  ,2800    ,2989443     ,59.41                     ,72.21                  ,28.58M         ,No                  ,D  ,--       ,--                 ,31.25          ,50.00                 ,18.75           ,--                     ,--              ,16                ,1.88              ,117.88M   ,784.50M,117.88M ,311.74M           ,0.41    ,0.41      ,-0.35     ,0.41        ,0.61      ,-0.45     ,-0.65     ,5.00                        ,15.03   ,278.19            ,-0.19 ,-0.73                  ,-5.39                      ,-2.602                 ,-12.89                  ,-33.93               ,-65.44               ,-27.89               ,+0.59     ,7.76         ,9.24     ,9.0701                 ,7.11      ,7.66     ,93.48                   ,5.34                         ,-2.47   ,+0.19,-1.99                  ,-0.06                 ,-0.5886                ,-25.26                   ,-17.90               ,-65.94               ,-11.02               ,+5.57             ,6               ,8.01      ,11.43   ,7.11        ,7.11    ,0.18                 ,0.4299         ,-0.38    ,+2.47,+0.266                  ,-0.4385                  ,-7.10                    ,-1.1398               ,-26.74               ,-52.95               ,-34.29               ,+4.65             ,9.21       ,17.01     ,7.11     ,7.11   ,0.4599       ,4.00             ,-0.03         ,0.80              ,--                   ,18.93                    ,0.98            ,1.64         ,18.84                ,3.06     ,7.69      ,8.79      ,9.89       ,8.04      ,9.53       ,41.77                ,41.81     ,26.42                   ,23.53,9.22                ,-1.41                     ,-1.24          ,8.84      ,11.75      ,7.91      ,8.67      ,9.80       ,40.42     ,42.46                ,22.97         ,19.30,-0.36      ,-1.72          ,-1.04                     ,8.14      ,9.45       ,8.85      ,41.52                ,16.55                   ,13.25   ,7.06                   ,-1.39          ,-1.47                     ,-4731.59  , 
STLD  ,-4.65      ,35.44     ,2403291   ,22.85    ,8.64B     ,80             ,+2.38                     ,50.35     ,35.30     ,-0.32,-60.04      ,8.95                   ,-14.47            ,14.42                  ,35.81                  ,Metals & Mining                                    ,NGM/NGS ,STEEL DYNAMICS INC       ,Steel                           ,0.56    ,35.65         ,35.42 ,1100    ,2502998      ,3726258     ,96.02                   ,64.50                  ,No        ,37.17 ,37.17 ,35.44 ,89.23                 ,2934742       ,3828471    ,81.89                    ,62.77                 ,Yes               ,Materials             ,1.60          ,35.65     ,35.27 ,500     ,3003109     ,90.65                     ,80.03                  ,86.52M         ,No                  ,D  ,*****    ,B-                 ,40.00          ,26.67                 ,26.67           ,--                     ,6.67            ,15                ,2.07              ,360.01M   ,7.78B  ,360.01M ,242.35M           ,1.56    ,1.56      ,-0.54     ,2.49        ,0.67      ,0.83      ,0.73      ,7.50                        ,4.91    ,1010.67           ,-0.21 ,-1.92                  ,-0.46                      ,+3.53                  ,-0.53                   ,+108.87              ,+170.41              ,+50.52               ,+1.45     ,35.70        ,38.25    ,3.00                   ,33.65     ,20.02    ,91.05                   ,-0.06                        ,-0.59   ,+1.52,-0.50                  ,+0.04                 ,-0.44                  ,+10.99                   ,+0.20                ,+113.53              ,+3.55                ,+12.84            ,0               ,35.70     ,38.47   ,34.47       ,33.65   ,-15.25               ,1.73           ,-1.73    ,+4.26,+0.83                   ,-0.16                    ,-1.21                    ,-0.19                 ,+63.99               ,+135.63              ,+50.05               ,+5.70             ,38.24      ,40.17     ,33.65    ,32.81  ,1.90         ,16.00            ,-0.17         ,0.97              ,--                   ,22.85                    ,3.87            ,81.46        ,14.32                ,1.11     ,34.86     ,35.82     ,33.01      ,35.43     ,33.95      ,52.29                ,52.52     ,22.99                   ,39.96,38.25               ,-2.16                     ,-1.24          ,35.97     ,29.99      ,35.42     ,35.42     ,33.27      ,50.58     ,52.90                ,12.63         ,35.64,-0.25      ,-1.83          ,-1.71                     ,35.81     ,34.68      ,35.21     ,51.17                ,29.64                   ,24.61   ,33.38                  ,-2.09          ,0.04                      ,-6206.05  , 
SWK   ,-4.30      ,131.01    ,477381    ,20.13    ,20.00B    ,22             ,+0.57                     ,68.27     ,128.84    ,1.71 ,-56.53      ,8.61                   ,-0.45             ,38.66                  ,128.34                 ,Machinery                                          ,NYSE    ,STANLEY BLACK & DECKER IN,Industrial Machinery            ,2.32    ,131.07        ,130.98,200     ,887213       ,1006363     ,53.81                   ,47.44                  ,Yes       ,136.90,136.90,131.02,89.66                 ,738568        ,908591     ,64.64                    ,52.54                 ,No                ,Industrials           ,1.80          ,131.07    ,130.46,200     ,755442      ,51.76                     ,63.19                  ,115.26M        ,No                  ,B  ,****     ,B+                 ,27.78          ,5.56                  ,66.67           ,--                     ,--              ,18                ,2.39              ,964.90M   ,11.41B ,964.90M ,152.63M           ,6.51    ,6.51      ,5.79      ,7.04        ,4.77      ,3.09      ,5.30      ,10.73                       ,8.46    ,211.15            ,-0.06 ,+2.01                  ,+2.13                      ,+9.73                  ,+5.69                   ,+40.09               ,+86.49               ,+13.94               ,+1.12     ,131.25       ,131.25   ,-6.43                  ,125.33    ,97.47    ,91.39                   ,-1.69                        ,-0.05   ,+5.83,+15.37                 ,+0.03                 ,+3.13                  ,+8.01                    ,+14.80               ,+67.90               ,+7.67                ,+15.85            ,0               ,131.25    ,131.25  ,129.61      ,124.55  ,-32.99               ,5.89           ,-5.89    ,+4.45,+0.74                   ,+2.73                    ,+2.45                    ,+7.05                 ,+33.87               ,+78.44               ,+3.72                ,+6.27             ,131.25     ,130.47    ,127.45   ,114.86 ,6.45         ,74.00            ,-0.56         ,0.86              ,--                   ,20.13                    ,--              ,60.60        ,18.61                ,1.75     ,129.21    ,124.32    ,121.41     ,128.23    ,122.84     ,68.78                ,60.04     ,8.51                    ,43.47,131.06              ,5.28                      ,14.24          ,122.96    ,120.14     ,128.80    ,125.31    ,122.09     ,63.55     ,60.12                ,68.56         ,70.28,1.63       ,10.81          ,12.91                     ,128.34    ,121.38     ,124.67    ,63.71                ,45.62                   ,77.84   ,125.61                 ,4.30           ,12.77                     ,-47.86    , 
HA    ,-3.85      ,48.03     ,625817    ,11.41    ,2.66B     ,38             ,+2.46                     ,41.30     ,49.06     ,-0.86,-82.73      ,3.66                   ,-18.54            ,35.63                  ,49.25                  ,Airlines                                           ,NASDAQ  ,HAWAIIAN HOLDINGS INC    ,Airlines                        ,--      ,49.75         ,48.00 ,500     ,790888       ,724330      ,79.13                   ,86.40                  ,No        ,49.95 ,50.00 ,48.05 ,95.78                 ,750699        ,762030     ,83.36                    ,82.12                 ,No                ,Industrials           ,--            ,49.75     ,47.95 ,700     ,733985      ,55.85                     ,85.26                  ,38.54M         ,Yes                 ,D  ,--       ,B                  ,36.36          ,--                    ,45.45           ,9.09                   ,9.09            ,11                ,2.55              ,235.43M   ,2.45B  ,235.43M ,53.45M            ,4.36    ,4.36      ,2.98      ,4.77        ,1.10      ,0.98      ,1.01      ,8.06                        ,9.61    ,395.32            ,-1.72 ,-1.32                  ,+1.01                      ,-1.13                  ,-4.23                   ,+156.25              ,+834.11              ,+20.24               ,+1.25     ,50.27        ,52.40    ,10.90                  ,47.55     ,34.69    ,96.34                   ,1.94                         ,-3.47   ,+0.20,-9.52                  ,-0.01                 ,+0.15                  ,-2.22                    ,-12.72               ,+231.27              ,-5.26                ,+41.80            ,1               ,50.27     ,58.50   ,47.75       ,47.55   ,-13.26               ,1.98           ,-1.92    ,+0.40,+1.20                   ,+0.50                    ,+0.31                    ,-2.20                 ,+7.73                ,+671.20              ,+3.55                ,+9.06             ,52.23      ,60.90     ,47.75    ,47.55  ,2.05         ,9.00             ,-0.08         ,0.49              ,--                   ,11.41                    ,4.77            ,73.17        ,10.43                ,1.09     ,48.77     ,51.79     ,51.25      ,49.37     ,50.77      ,52.37                ,46.20     ,19.81                   ,17.27,50.85               ,-1.35                     ,-9.33          ,52.92     ,48.03      ,48.96     ,50.81     ,50.39      ,43.19     ,48.46                ,14.64         ,37.88,-0.95      ,-8.63          ,-7.25                     ,49.25     ,51.73      ,50.98     ,46.80                ,14.75                   ,37.20   ,47.66                  ,-3.13          ,-6.50                     ,-1989.21  , 
AEM   ,-3.81      ,42.13     ,1354686   ,61.41    ,9.59B     ,119            ,+3.60                     ,47.40     ,42.14     ,-1.35,-58.90      ,3.85                   ,0.16              ,34.98                  ,42.65                  ,Metals & Mining                                    ,NYSE    ,AGNICO EAGLE MINES LTD   ,Gold                            ,0.40    ,42.99         ,42.11 ,300     ,1894270      ,1982538     ,71.51                   ,68.33                  ,No        ,43.80 ,44.38 ,42.13 ,66.23                 ,2123478       ,1829134    ,63.80                    ,74.06                 ,No                ,Materials             ,0.90          ,42.99     ,42.04 ,400     ,2066175     ,48.15                     ,65.56                  ,78.29M         ,No                  ,NC ,--       ,B-                 ,22.73          ,22.73                 ,40.91           ,--                     ,13.64           ,22                ,2.59              ,158.82M   ,2.14B  ,158.82M ,225.47M           ,0.70    ,0.70      ,0.11      ,0.57        ,0.39      ,-3.97     ,1.81      ,1.00                        ,7.43    ,--                ,-0.86 ,+0.37                  ,+0.79                      ,-3.00                  ,-5.21                   ,+52.84               ,+21.91               ,-4.95                ,-0.54     ,43.15        ,50.43    ,15.72                  ,39.29     ,32.87    ,96.15                   ,-1.63                        ,-2.00   ,+0.81,+0.23                  ,+0.06                 ,-0.63                  ,-6.52                    ,+2.60                ,+31.60               ,+3.56                ,+3.68             ,37              ,43.15     ,51.21   ,39.86       ,39.29   ,-9.17                ,2.25           ,-1.67    ,+1.88,+1.49                   ,+0.34                    ,-1.44                    ,-2.36                 ,+14.12               ,+10.95               ,-15.87               ,+2.30             ,49.51      ,60.10     ,39.61    ,39.29  ,2.34         ,76.00            ,-0.09         ,2.61              ,--                   ,61.41                    ,2.55            ,23.88        ,75.12                ,4.53     ,40.87     ,45.33     ,45.17      ,42.67     ,45.00      ,52.19                ,46.71     ,25.22                   ,41.10,47.59               ,-6.46                     ,4.79           ,44.44     ,48.64      ,41.45     ,44.06     ,45.20      ,45.74     ,47.63                ,6.09          ,34.40,-1.44      ,-3.57          ,6.55                      ,42.65     ,44.35      ,44.28     ,47.31                ,22.32                   ,28.06   ,37.71                  ,-7.29          ,-3.50                     ,46.58     , 
HL    ,-3.63      ,5.05      ,5553892   ,28.40    ,2.00B     ,39             ,+3.38                     ,40.60     ,5.20      ,-0.36,-69.86      ,27.03                  ,-23.13            ,41.95                  ,5.46                   ,Metals & Mining                                    ,NYSE    ,HECLA MINING CO          ,Silver                          ,0.01    ,5.07          ,5.04  ,25500   ,6875703      ,10687251    ,80.78                   ,51.97                  ,No        ,5.24  ,5.266 ,5.05  ,58.72                 ,7537017       ,7059551    ,73.69                    ,78.67                 ,No                ,Materials             ,0.20          ,5.07      ,4.97  ,13400   ,7288146     ,65.32                     ,76.20                  ,33.33M         ,No                  ,B  ,--       ,B-                 ,11.11          ,11.11                 ,66.67           ,11.11                  ,--              ,9                 ,2.78              ,69.55M    ,645.96M,69.55M  ,395.44M           ,0.18    ,0.18      ,-0.23     ,0.10        ,0.05      ,-0.08     ,0.05      ,1.00                        ,10.77   ,462.72            ,-0.02 ,-0.45                  ,-7.18                      ,-0.8096                ,-14.50                  ,+79.84               ,+0.49                ,+37.55               ,+0.42     ,5.12         ,6.72     ,2.374                  ,4.61      ,2.46     ,72.97                   ,1.72                         ,-0.39   ,+0.17,-0.25                  ,+0.07                 ,-0.5509                ,-13.77                   ,-3.20                ,+44.24               ,-8.22                ,+4.93             ,8               ,5.12      ,6.78    ,4.70        ,4.61    ,-2.51                ,0.216          ,-0.19    ,+3.35,+0.166                  ,-0.392                   ,-9.80                    ,-0.8598               ,+81.10               ,+15.66               ,+0.04                ,+3.03             ,6.72       ,7.64      ,4.61     ,4.61   ,0.296        ,6.00             ,-0.08         ,1.21              ,--                   ,28.40                    ,1.36            ,34.25        ,50.99                ,3.10     ,4.92      ,5.92      ,5.88       ,5.34      ,5.78       ,41.13                ,44.91     ,28.77                   ,30.14,6.77                ,-1.46                     ,-0.34          ,5.82      ,5.81       ,5.14      ,5.71      ,5.74       ,41.69     ,45.03                ,30.90         ,20.20,-0.33      ,-1.01          ,-0.35                     ,5.46      ,5.95       ,5.75      ,41.88                ,15.19                   ,13.49   ,4.16                   ,-1.40          ,-1.02                     ,-24162.34 , 
MASI  ,-3.56      ,92.07     ,1363210   ,17.07    ,4.86B     ,140            ,+1.33                     ,55.28     ,92.33     ,4.56 ,-56.36      ,22.34                  ,32.23             ,73.00                  ,91.32                  ,Health Care Equipment & Supplies                   ,NASDAQ  ,MASIMO CORP              ,Health Care Equipment           ,--      ,96.47         ,92.01 ,300     ,889232       ,482312      ,153.30                  ,282.64                 ,No        ,95.47 ,95.62 ,92.08 ,83.28                 ,1131958       ,716424     ,120.43                   ,190.28                ,No                ,Health Care           ,--            ,96.47     ,91.05 ,300     ,1092044     ,132.28                    ,124.83                 ,85.08M         ,Yes                 ,B  ,--       ,B+                 ,14.29          ,28.57                 ,57.14           ,--                     ,--              ,7                 ,2.43              ,300.67M   ,694.62M,300.67M ,50.42M            ,5.65    ,5.65      ,1.55      ,2.32        ,1.30      ,1.02      ,1.07      ,15.00                       ,43.28   ,558.83            ,-4.40 ,+1.07                  ,+5.64                      ,+28.42                 ,+20.98                  ,+212.59              ,+350.47              ,+81.66               ,+1.09     ,96.50        ,96.68    ,-0.88                  ,76.05     ,37.16    ,77.66                   ,1.45                         ,-4.56   ,-1.00,+23.81                 ,-0.03                 ,+7.06                  ,+41.77                   ,+43.13               ,+243.43              ,+46.05               ,+71.96            ,1               ,96.68     ,96.68   ,95.06       ,75.06   ,-53.89               ,3.55           ,-3.40    ,-1.04,+1.27                   ,+5.15                    ,+7.90                    ,+16.73                ,+154.18              ,+353.71              ,+52.79               ,+42.28            ,96.68      ,94.74     ,93.55    ,66.79  ,4.57         ,99.00            ,-1.02         ,0.73              ,--                   ,17.07                    ,9.48            ,--           ,41.55                ,7.00     ,94.61     ,80.23     ,69.23      ,90.66     ,74.62      ,90.39                ,72.77     ,19.60                   ,43.64,99.77               ,19.49                     ,25.52          ,78.08     ,63.45      ,93.40     ,82.49     ,72.38      ,72.32     ,82.07                ,26.71         ,77.64,4.99       ,19.88          ,30.77                     ,91.32     ,71.21      ,80.51     ,86.81                ,33.88                   ,89.34   ,82.87                  ,12.05          ,24.91                     ,4675.74   , 
VALE  ,-3.53      ,10.40     ,18173422  ,14.48    ,50.71B    ,67             ,+6.27                     ,54.58     ,10.14     ,-0.03,-31.93      ,9.09                   ,-3.08             ,20.43                  ,10.33                  ,Metals & Mining                                    ,NYSE    ,VALE SA                  ,Steel                           ,0.34    ,10.68         ,10.39 ,3400    ,31017750     ,29869734    ,58.59                   ,60.84                  ,No        ,10.78 ,10.80 ,10.40 ,45.46                 ,29958481      ,29182481   ,60.66                    ,62.28                 ,No                ,Materials             ,3.20          ,10.68     ,10.36 ,28500   ,31402088    ,38.17                     ,57.87                  ,309.03M        ,No                  ,-- ,***      ,--                 ,14.81          ,11.11                 ,55.56           ,7.41                   ,11.11           ,27                ,2.89              ,3.80B     ,27.02B ,3.80B   ,5.24B             ,0.74    ,0.74      ,-2.45     ,--          ,0.05      ,0.01      ,0.55      ,11.76                       ,4.02    ,--                ,-0.28 ,-0.26                  ,+3.34                      ,+2.62                  ,+6.61                   ,+63.35               ,-48.31               ,+164.88              ,+1.57     ,10.71        ,11.70    ,0.90                   ,9.27      ,3.45     ,90.91                   ,-2.98                        ,-2.62   ,+0.10,+2.51                  ,+0.10                 ,+0.23                  ,+32.50                   ,+40.16               ,-16.47               ,+22.61               ,+9.57             ,1               ,10.71     ,11.70   ,9.94        ,9.27    ,-6.91                ,0.40           ,-0.38    ,+0.94,+0.63                   ,+0.35                    ,+2.20                    ,+0.66                 ,+145.49              ,-39.44               ,+97.53               ,+3.70             ,11.70      ,11.70     ,9.27     ,7.84   ,0.44         ,76.00            ,-0.04         ,0.62              ,--                   ,14.48                    ,1.71            ,71.12        ,--                   ,2.07     ,9.92      ,10.07     ,8.38       ,10.16     ,8.97       ,60.44                ,55.94     ,24.01                   ,68.07,11.49               ,-0.48                     ,2.23           ,9.70      ,7.12       ,10.09     ,9.85      ,8.66       ,54.61     ,57.27                ,10.31         ,60.03,-0.02      ,0.46           ,2.24                      ,10.33     ,8.93       ,9.68      ,56.62                ,29.53                   ,42.19   ,9.18                   ,-0.71          ,1.17                      ,-11562.76 , 
