Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                          ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High   ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin  ,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
TELL  ,-12.78     ,11.06     ,1050669   ,--       ,2.55B     ,96             ,+10.55                    ,38.96     ,13.11     ,-0.52,-88.63      ,3.35                   ,-27.83            ,26.05                  ,14.42                  ,Oil Gas & Consumable Fuels        ,NASDAQ  ,TELLURIAN INC            ,Oil & Gas Refining & Marketing    ,--      ,12.81         ,11.02 ,100     ,2107284      ,356633      ,49.86                   ,294.61                 ,No        ,12.68 ,12.79  ,11.06 ,--                    ,1269344       ,684853     ,82.77                    ,153.42                ,No                ,Energy                ,--            ,12.81     ,11.00 ,100     ,1192764     ,72.81                     ,88.09                  ,24.02M         ,No                  ,NC ,--       ,C                  ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,100.00K   ,1.69M  ,100.00K ,199.38M           ,-0.64   ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,6.23      ,--                ,-1.75 ,-6.94                  ,-11.18                     ,+4.12                  ,-3.21                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,13.07        ,21.74    ,8.95                   ,9.69      ,0.80     ,96.65                   ,31.21                        ,-13.66  ,-0.13,-0.44                  ,+0.12                 ,-1.42                  ,+47.46                   ,0.00                 ,0.00                 ,0.00                 ,0.00              ,2               ,13.07     ,21.74   ,11.83       ,9.69    ,-10.20               ,1.73           ,-1.62    ,-1.01 ,+1.22                   ,-1.61                    ,-9.96                    ,-0.43                 ,0.00                 ,0.00                 ,0.00                 ,0.00              ,21.74      ,21.74     ,9.69     ,9.69   ,1.79         ,--               ,-0.06         ,-0.85             ,--                   ,--                       ,--              ,--           ,--                   ,1514.89  ,12.56     ,13.24     ,9.06       ,13.33     ,10.59      ,46.12                ,50.65     ,26.91                   ,11.37,20.60               ,1.30                      ,4.37           ,12.63     ,6.66       ,14.51     ,12.62     ,9.91       ,47.61     ,53.42                ,1.20          ,19.47,0.08       ,-2.09          ,6.36                      ,14.42     ,9.75       ,12.20     ,51.12                ,27.56                   ,18.32   ,8.25                   ,-1.43          ,-3.12                     ,-6172.17  , 
YRD   ,-8.85      ,25.65     ,1856453   ,13.06    ,1.71B     ,84             ,+4.61                     ,44.96     ,27.05     ,1.25 ,-71.22      ,--                     ,0.26              ,31.01                  ,26.40                  ,Internet Software & Services      ,NYSE    ,YIRENDAI LTD -ADR        ,Internet Software & Services      ,--      ,29.29         ,25.65 ,100     ,718538       ,621469      ,258.37                  ,298.72                 ,No        ,28.14 ,30.50  ,25.68 ,9.73                  ,587707        ,509727     ,315.88                   ,364.21                ,No                ,Information Technology,--            ,29.29     ,25.65 ,200     ,589791      ,254.27                    ,314.76                 ,20.41M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,43.83M    ,209.09M,43.83M  ,58.5M             ,2.24    ,0.87      ,-0.09     ,2.24        ,-0.17     ,--        ,--        ,--                          ,20.96     ,343.89            ,-3.64 ,+1.59                  ,+10.95                     ,+4.15                  ,+23.23                  ,0.00                 ,0.00                 ,+64.14               ,0.00      ,29.50        ,31.64    ,11.84                  ,23.23     ,5.63     ,100.00                  ,5.11                         ,-12.43  ,-1.15,+3.99                  ,-0.08                 ,+3.23                  ,+16.50                   ,+41.36               ,0.00                 ,-16.11               ,+79.29            ,71              ,31.64     ,31.64   ,28.06       ,22.66   ,-20.02               ,4.85           ,-2.49    ,-3.93 ,+1.29                   ,+2.89                    ,+12.41                   ,+5.52                 ,+255.47              ,0.00                 ,-1.20                ,+33.65            ,31.64      ,42.34     ,27.61    ,19.85  ,4.85         ,43.00            ,0.00          ,0.56              ,--                   ,33.63                    ,11.37           ,--           ,13.10                ,8.19     ,28.22     ,23.86     ,25.55      ,26.57     ,--         ,66.78                ,--        ,20.42                   ,28.78,30.54               ,5.42                      ,0.18           ,23.56     ,23.78      ,26.96     ,25.20     ,--         ,51.17     ,50.00                ,9.13          ,55.09,1.28       ,4.73           ,2.51                      ,26.40     ,25.46      ,25.06     ,59.57                ,24.53                   ,60.31   ,22.26                  ,2.00           ,7.53                      ,25.83     , 
PTHN  ,+5.85      ,27.52     ,5078445   ,--       ,4.56B     ,37             ,+3.49                     ,21.72     ,30.74     ,-0.01,-56.57      ,96.45                  ,50.37             ,34.84                  ,31.34                  ,Life Sciences Tools & Services    ,NYSE    ,PATHEON NV               ,Life Sciences Tools & Services    ,--      ,31.39         ,27.51 ,300     ,347280       ,347840      ,1462.35                 ,1459.99                ,No        ,26.00 ,27.66  ,27.52 ,24.41                 ,302450        ,312654     ,1679.10                  ,1624.30               ,No                ,Health Care           ,--            ,31.39     ,23.72 ,400     ,312813      ,792.00                    ,1623.48                ,10.78M         ,No                  ,C  ,--       ,--                 ,54.55          ,36.36                 ,9.09            ,--                     ,--              ,11                ,1.55              ,31.70M    ,1.87B  ,31.70M  ,145.13M           ,0.26    ,0.26      ,1.20      ,1.42        ,-1.03     ,-0.26     ,-0.83     ,19.33                       ,1.70      ,205.13            ,-3.87 ,-4.18                  ,+0.15                      ,+2.74                  ,+5.00                   ,0.00                 ,0.00                 ,0.00                 ,0.00      ,31.79        ,32.95    ,5.29                   ,30.48     ,24.11    ,3.55                    ,13.37                        ,-12.33  ,-5.39,-1.48                  ,-0.11                 ,-0.04                  ,+9.55                    ,+9.33                ,0.00                 ,+15.13               ,-5.23             ,51              ,31.79     ,32.95   ,30.67       ,30.15   ,0.39                 ,0.14           ,+1.52    ,-17.17,+1.06                   ,+0.05                    ,-0.13                    ,+1.50                 ,0.00                 ,0.00                 ,+12.54               ,+1.21             ,32.95      ,32.95     ,30.48    ,26.85  ,3.94         ,89.00            ,-3.80         ,5.23              ,--                   ,123.07                   ,--              ,-602.61      ,22.10                ,2.44     ,30.87     ,29.86     ,28.68      ,30.76     ,--         ,55.32                ,--        ,48.61                   ,43.43,33.37               ,0.75                      ,-0.95          ,29.64     ,--         ,31.20     ,--        ,--         ,--        ,50.00                ,58.67         ,32.56,0.39       ,-0.99          ,3.30                      ,31.34     ,28.61      ,--        ,50.00                ,12.66                   ,24.20   ,29.32                  ,-3.70          ,3.29                      ,4735.73   , 
GES   ,+1.22      ,10.82     ,9048825   ,16.22    ,1.03B     ,21             ,+3.40                     ,26.38     ,12.19     ,-0.31,-81.07      ,52.48                  ,26.97             ,27.00                  ,12.45                  ,Specialty Retail                  ,NYSE    ,GUESS INC                ,Apparel Retail                    ,0.90    ,12.23         ,10.81 ,600     ,2536019      ,1322402     ,356.81                  ,684.27                 ,No        ,10.69 ,11.30  ,10.82 ,74.06                 ,1630962       ,1331143    ,554.82                   ,679.78                ,No                ,Consumer Discretionary,7.40          ,12.23     ,10.29 ,4300    ,1555768     ,266.39                    ,581.63                 ,30.56M         ,Yes                 ,D  ,***      ,B                  ,14.29          ,14.29                 ,57.14           ,--                     ,14.29           ,7                 ,2.86              ,84.82M    ,2.20B  ,84.82M  ,84.36M            ,0.75    ,0.96      ,1.11      ,0.45        ,1.80      ,2.05      ,2.86      ,-2.85                       ,3.71      ,163.28            ,-1.41 ,-2.10                  ,-1.75                      ,-1.40                  ,-3.08                   ,-23.08               ,-57.14               ,-15.75               ,+0.54     ,12.27        ,13.81    ,11.54                  ,11.55     ,11.87    ,47.52                   ,13.68                        ,-11.53  ,-1.54,-1.43                  ,-0.09                 ,-0.44                  ,-10.26                   ,+1.07                ,-54.89               ,-15.70               ,+6.60             ,56              ,12.27     ,13.81   ,11.94       ,11.55   ,1.58                 ,0.48           ,+0.13    ,-12.59,+0.40                   ,-0.22                    ,-3.48                    ,-0.39                 ,-42.84               ,-49.88               ,-21.24               ,+4.26             ,13.62      ,22.84     ,11.55    ,11.55  ,1.01         ,10.00            ,-0.53         ,0.69              ,--                   ,12.74                    ,1.05            ,0.22         ,27.33                ,0.47     ,12.09     ,12.59     ,13.44      ,12.31     ,13.22      ,44.60                ,41.07     ,38.60                   ,18.93,13.48               ,-1.43                     ,-1.79          ,12.55     ,14.16      ,12.30     ,12.67     ,13.44      ,37.98     ,45.81                ,59.47         ,32.93,-0.18      ,-1.85          ,-0.55                     ,12.45     ,13.27      ,12.78     ,45.66                ,9.81                    ,32.45   ,11.42                  ,-2.72          ,-0.61                     ,8885.37   , 
INO   ,-6.72      ,6.11      ,1902724   ,--       ,508.80M   ,55             ,+4.19                     ,33.16     ,6.68      ,-0.06,-94.92      ,9.23                   ,-14.31            ,12.45                  ,6.79                   ,Biotechnology                     ,NASDAQ  ,INOVIO PHARMACEUTICALS IN,Biotechnology                     ,--      ,6.87          ,6.10  ,300     ,589919       ,955891      ,322.54                  ,199.05                 ,No        ,6.55  ,6.70   ,6.11  ,28.51                 ,713894        ,750529     ,266.53                   ,253.52                ,No                ,Health Care           ,--            ,6.87      ,6.05  ,600     ,746913      ,245.27                    ,254.75                 ,3.95M          ,No                  ,D  ,--       ,C                  ,40.00          ,40.00                 ,20.00           ,--                     ,--              ,5                 ,1.80              ,-29.10M   ,40.57M ,-29.10M ,74.06M            ,-0.90   ,-0.44     ,-0.64     ,-0.96       ,-1.43     ,-0.58     ,-0.48     ,--                          ,-71.94    ,258.42            ,-0.76 ,-1.04                  ,+1.20                      ,-0.62                  ,+1.92                   ,-5.78                ,+165.08              ,-37.72               ,+2.99     ,6.88         ,7.23     ,4.99                   ,6.50      ,5.85     ,90.77                   ,10.76                        ,-11.06  ,-0.32,-0.86                  ,-0.08                 ,+0.0364                ,-8.28                    ,-1.01                ,-52.56               ,-0.42                ,-38.50            ,3               ,6.88      ,7.45    ,6.60        ,6.46    ,-0.20                ,0.59           ,-0.44    ,-4.66 ,+0.276                  ,+0.0815                  ,+0.53                    ,+0.1292               ,-0.30                ,+209.26              ,-23.12               ,-30.78            ,7.23       ,11.69     ,6.50     ,5.85   ,0.65         ,19.00            ,-0.06         ,-0.32             ,--                   ,--                       ,3.07            ,--           ,--                   ,12.54    ,6.67      ,6.72      ,7.29       ,6.70      ,7.14       ,54.68                ,43.95     ,29.57                   ,5.08 ,7.25                ,0.01                      ,-0.81          ,6.77      ,8.18       ,6.77      ,6.80      ,7.27       ,42.35     ,48.19                ,26.66         ,23.61,--         ,-0.63          ,-0.07                     ,6.79      ,6.93       ,6.86      ,49.87                ,17.12                   ,25.68   ,6.33                   ,-0.90          ,0.17                      ,-1558.22  , 
BGS   ,-5.56      ,39.10     ,2091476   ,24.31    ,2.80B     ,56             ,+1.77                     ,22.49     ,42.19     ,-1.09,-94.95      ,9.80                   ,-32.03            ,33.48                  ,43.27                  ,Food Products                     ,NYSE    ,B&G FOODS INC            ,Packaged Foods & Meats            ,1.86    ,42.05         ,39.10 ,1400    ,440667       ,615017      ,474.62                  ,340.07                 ,No        ,41.40 ,41.40  ,39.15 ,88.16                 ,686350        ,548702     ,304.72                   ,381.17                ,No                ,Consumer Staples      ,4.40          ,42.05     ,38.85 ,300     ,665065      ,366.08                    ,314.48                 ,18.42M         ,Yes                 ,F  ,--       ,A-                 ,--             ,9.09                  ,90.91           ,--                     ,--              ,11                ,2.91              ,109.42M   ,1.39B  ,109.42M ,66.47M            ,1.73    ,1.73      ,1.22      ,2.20        ,0.76      ,0.98      ,1.20      ,7.00                        ,7.87      ,537.16            ,-2.95 ,-3.65                  ,-2.83                      ,-2.78                  ,-4.76                   ,+64.45               ,+127.47              ,+1.68                ,+0.02     ,42.20        ,47.75    ,11.44                  ,40.95     ,31.81    ,90.20                   ,7.38                         ,-7.02   ,-0.65,-4.65                  ,-0.06                 ,-1.86                  ,-6.20                    ,-4.00                ,+58.62               ,+0.36                ,+17.60            ,0               ,42.25     ,47.75   ,41.35       ,40.95   ,-7.04                ,2.30           ,-2.30    ,-1.55 ,+0.73                   ,-1.22                    ,-4.24                    ,-2.10                 ,+28.07               ,+62.43               ,-8.76                ,+3.92             ,47.75      ,52.84     ,41.00    ,40.95  ,2.55         ,15.00            ,-0.25         ,1.03              ,--                   ,24.31                    ,--              ,218.32       ,19.10                ,2.01     ,41.56     ,44.07     ,44.51      ,42.61     ,44.09      ,39.10                ,40.75     ,40.20                   ,5.05 ,48.05               ,-4.35                     ,-4.75          ,44.05     ,45.62      ,41.99     ,43.61     ,44.12      ,35.83     ,45.65                ,54.81         ,13.92,-0.80      ,-6.50          ,-1.35                     ,43.27     ,43.68      ,43.76     ,43.38                ,11.73                   ,14.36   ,38.50                  ,-7.75          ,-3.30                     ,-3480.96  , 
DERM  ,-3.66      ,34.18     ,475360    ,--       ,1.47B     ,56             ,+2.21                     ,46.57     ,35.09     ,1.19 ,-68.41      ,35.62                  ,22.88             ,37.64                  ,35.04                  ,Pharmaceuticals                   ,NASDAQ  ,DERMIRA INC              ,Pharmaceuticals                   ,--      ,36.16         ,34.11 ,100     ,258708       ,259685      ,183.74                  ,183.05                 ,No        ,35.48 ,35.68  ,34.22 ,66.72                 ,487892        ,336276     ,97.43                    ,141.36                ,No                ,Health Care           ,--            ,36.15     ,33.35 ,200     ,462599      ,280.53                    ,102.76                 ,9.23M          ,No                  ,D  ,--       ,--                 ,80.00          ,20.00                 ,--              ,--                     ,--              ,5                 ,1.20              ,-89.08M   ,22.58M ,-89.08M ,40.65M            ,-2.70   ,-2.70     ,-2.93     ,-4.26       ,-4.96     ,-27.03    ,-27.99    ,--                          ,-394.44   ,237.74            ,-1.97 ,-0.10                  ,+3.17                      ,+3.93                  ,+14.09                  ,+121.94              ,0.00                 ,+6.14                ,+0.89     ,36.37        ,38.75    ,3.07                   ,29.64     ,17.42    ,64.38                   ,4.00                         ,-5.45   ,-0.67,+3.57                  ,-0.05                 ,+1.67                  ,+12.18                   ,+19.22               ,0.00                 ,+5.35                ,-41.16            ,3               ,37.38     ,38.75   ,35.13       ,29.31   ,-15.93               ,1.50           ,-1.30    ,-1.85 ,+0.78                   ,+1.11                    ,+4.85                    ,+4.46                 ,+67.42               ,0.00                 ,+8.54                ,-33.33            ,38.75      ,38.75     ,34.13    ,27.32  ,2.33         ,89.00            ,-0.83         ,-0.57             ,--                   ,--                       ,5.26            ,--           ,--                   ,65.09    ,36.24     ,31.76     ,32.10      ,34.64     ,32.13      ,59.86                ,53.11     ,19.07                   ,31.59,38.05               ,5.94                      ,2.78           ,31.54     ,31.82      ,35.55     ,32.92     ,31.94      ,53.63     ,56.43                ,6.39          ,46.61,1.44       ,4.98           ,5.64                      ,35.04     ,31.73      ,32.66     ,59.11                ,21.67                   ,50.86   ,32.03                  ,2.07           ,7.71                      ,1973.93   , 
ESPR  ,-5.28      ,29.95     ,874971    ,--       ,712.77M   ,92             ,+2.25                     ,57.20     ,29.41     ,3.32 ,-45.77      ,17.72                  ,3.74              ,62.65                  ,28.52                  ,Biotechnology                     ,NASDAQ  ,ESPERION THERAPEUTICS INC,Biotechnology                     ,--      ,31.60         ,29.91 ,200     ,1114893      ,535463      ,78.48                   ,163.40                 ,No        ,31.62 ,32.37  ,29.93 ,58.86                 ,1255835       ,892230     ,69.67                    ,98.07                 ,No                ,Health Care           ,--            ,31.60     ,29.43 ,100     ,1188983     ,103.29                    ,73.59                  ,35.29M         ,No                  ,C  ,--       ,--                 ,20.00          ,20.00                 ,50.00           ,10.00                  ,--              ,10                ,2.50              ,-74.98M   ,--     ,-74.98M ,22.56M            ,-3.33   ,-3.33     ,-2.26     ,-5.91       ,-2.22     ,-3.31     ,-36.31    ,-5.76                       ,--        ,--                ,-1.65 ,+3.09                  ,+10.79                     ,+16.65                 ,+59.81                  ,-54.09               ,0.00                 ,+52.86               ,+2.85     ,32.33        ,35.14    ,2.78                   ,20.47     ,9.40     ,82.28                   ,0.38                         ,-5.22   ,+0.02,+17.15                 ,-0.08                 ,+4.22                  ,+111.33                  ,+152.40              ,+73.07               ,+147.82              ,-29.07            ,11              ,34.29     ,35.14   ,30.42       ,19.94   ,-20.03               ,2.41           ,-1.67    ,+0.06 ,+0.69                   ,+3.08                    ,+15.43                   ,+11.83                ,+103.80              ,0.00                 ,+142.99              ,-27.73            ,35.14      ,35.14     ,29.35    ,10.71  ,2.94         ,100.00           ,-0.52         ,-0.40             ,--                   ,--                       ,3.12            ,0.45         ,--                   ,--       ,31.49     ,20.12     ,15.42      ,28.18     ,18.58      ,66.56                ,64.69     ,10.46                   ,54.23,35.51               ,10.81                     ,16.96          ,18.91     ,14.26      ,30.06     ,22.57     ,17.90      ,65.47     ,67.52                ,47.66         ,63.06,3.70       ,18.68          ,19.03                     ,28.52     ,15.87      ,21.40     ,69.53                ,29.50                   ,66.69   ,21.53                  ,9.07           ,20.40                     ,639.29    , 
UTHR  ,-3.37      ,138.43    ,620788    ,9.58     ,6.57B     ,143            ,+0.02                     ,29.11     ,148.11    ,-3.37,-91.76      ,18.30                  ,-9.46             ,32.32                  ,150.31                 ,Biotechnology                     ,NGM/NGS ,UNITED THERAPEUTICS CORP ,Biotechnology                     ,--      ,146.03        ,138.33,100     ,574834       ,597136      ,107.99                  ,103.96                 ,No        ,143.26,144.50 ,138.49,92.10                 ,652260        ,620505     ,95.17                    ,100.05                ,Yes               ,Health Care           ,--            ,146.03    ,137.07,100     ,617416      ,111.73                    ,100.55                 ,84.94M         ,No                  ,C  ,--       ,B                  ,23.08          ,--                    ,46.15           ,23.08                  ,7.69            ,13                ,2.92              ,713.70M   ,1.60B  ,713.70M ,44.96M            ,15.25   ,15.25     ,12.72     ,16.07       ,6.28      ,3.28      ,5.71      ,35.00                       ,44.64     ,2131.73           ,-7.60 ,-12.03                 ,-2.84                      ,+8.97                  ,-5.43                   ,-8.78                ,+219.00              ,+24.06               ,+1.39     ,147.09       ,169.88   ,25.39                  ,142.00    ,97.52    ,81.70                   ,6.30                         ,-5.20   ,-2.77,-5.69                  ,-0.05                 ,-6.96                  ,+6.55                    ,+1.81                ,+48.99               ,+17.60               ,+41.50            ,5               ,151.16    ,169.88  ,144.69      ,142.00  ,-39.55               ,6.07           ,-4.83    ,-1.90 ,+0.02                   ,-4.28                    ,-4.55                    ,-8.39                 ,+21.89               ,+142.10              ,+20.80               ,+31.65            ,169.88     ,169.89    ,144.69   ,141.30 ,7.43         ,87.00            ,-1.36         ,0.41              ,--                   ,9.58                     ,3.46            ,--           ,9.09                 ,4.11     ,146.50    ,154.30    ,138.58     ,149.46    ,144.34     ,39.59                ,47.47     ,32.61                   ,8.24 ,166.20              ,-19.64                    ,-6.11          ,152.44    ,129.91     ,147.15    ,150.18    ,142.29     ,42.68     ,50.64                ,41.51         ,19.55,-2.51      ,-14.37         ,1.12                      ,150.31    ,142.39     ,149.13    ,47.39                ,13.48                   ,28.38   ,134.41                 ,-29.45         ,-1.91                     ,-834.01   , 
ERI   ,-5.30      ,18.75     ,267920    ,37.88    ,928.26M   ,26             ,+4.41                     ,63.05     ,18.04     ,0.78 ,-27.85      ,4.35                   ,34.25             ,33.62                  ,17.48                  ,Hotels Restaurants & Leisure      ,NASDAQ  ,ELDORADO RESORTS INC     ,Casinos & Gaming                  ,--      ,19.70         ,18.75 ,400     ,838779       ,434121      ,31.94                   ,61.72                  ,No        ,19.80 ,19.85  ,18.80 ,41.17                 ,523804        ,398943     ,51.15                    ,67.16                 ,No                ,Consumer Discretionary,--            ,19.70     ,18.70 ,300     ,501401      ,13.17                     ,53.43                  ,15.90M         ,No                  ,NR ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,24.80M    ,892.90M,24.80M  ,47.12M            ,0.52    ,0.52      ,2.43      ,0.95        ,-0.48     ,0.81      ,-0.04     ,5.00                        ,2.78      ,120.66            ,-0.95 ,+2.30                  ,+12.70                     ,+4.71                  ,+19.40                  ,+225.23              ,0.00                 ,+9.40                ,+1.03     ,19.80        ,19.80    ,-1.30                  ,15.90     ,10.42    ,95.65                   ,-4.78                        ,-4.82   ,+0.10,+1.65                  ,+0.06                 ,+2.44                  ,+31.44                   ,+16.22               ,0.00                 ,+18.55               ,+8.72             ,1               ,19.80     ,19.80   ,19.14       ,15.77   ,-8.28                ,1.10           ,-1.05    ,+0.51 ,+0.83                   ,+2.22                    ,+14.15                   ,+3.20                 ,+63.64               ,0.00                 ,+16.76               ,+1.89             ,19.80      ,18.55     ,17.45    ,14.90  ,1.15         ,79.00            ,-0.05         ,1.61              ,--                   ,37.88                    ,--              ,266.67       ,20.74                ,1.04     ,18.44     ,16.53     ,15.11      ,17.75     ,15.90      ,82.45                ,60.42     ,13.08                   ,72.15,19.69               ,3.70                      ,2.30           ,16.55     ,14.86      ,17.85     ,16.77     ,15.65      ,62.25     ,64.87                ,42.28         ,88.29,0.61       ,2.95           ,3.31                      ,17.48     ,15.36      ,16.56     ,69.44                ,32.23                   ,90.52   ,15.27                  ,2.15           ,4.25                      ,3016.08   , 
