Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
SDLP  ,-15.52     ,3.81      ,-0.86  ,4.58  ,3.81  ,3611165   ,4.67      ,4.51  ,-18.42  ,351.55M   ,Energy                ,NYSE    ,1.77     , 
CYBE  ,-13.78     ,27.59     ,-6.81  ,32.00 ,26.80 ,1142236   ,34.40     ,32.00 ,-19.80  ,236.74M   ,Information Technology,NCM     ,43.71    , 
APEI  ,-12.50     ,19.95     ,-4.20  ,22.95 ,19.35 ,158345    ,24.15     ,22.80 ,-17.39  ,388.72M   ,Consumer Discretionary,NASDAQ  ,14.41    , 
XOXO  ,-8.77      ,16.33     ,-2.10  ,17.90 ,14.99 ,638895    ,18.43     ,17.90 ,-11.39  ,487.66M   ,Information Technology,NYSE    ,73.48    , 
FRBA  ,-8.15      ,12.40     ,-1.15  ,13.75 ,12.30 ,67627     ,13.55     ,13.50 ,-8.49   ,115.45M   ,Financials            ,NASDAQ  ,22.21    , 
AIOCF ,-7.84      ,11.77     ,+0.45  ,12.82 ,11.77 ,5750      ,11.32     ,12.77 ,+3.97   ,498.09M   ,Information Technology,OTC     ,79.10    , 
AMBA  ,-7.49      ,56.00     ,-2.95  ,60.68 ,55.31 ,3323969   ,58.95     ,60.54 ,-5.00   ,1.95B     ,Information Technology,NASDAQ  ,45.26    , 
ASNA  ,-7.42      ,4.37      ,-0.22  ,4.78  ,4.34  ,2230145   ,4.59      ,4.72  ,-4.79   ,895.91M   ,Consumer Discretionary,NGM/NGS ,43.46    , 
VSI   ,-7.41      ,21.25     ,-0.05  ,23.25 ,20.55 ,366331    ,21.30     ,22.95 ,-0.23   ,507.30M   ,Consumer Discretionary,NYSE    ,12.56    , 
MSL   ,-7.34      ,13.95     ,-0.75  ,15.10 ,13.85 ,35532     ,14.70     ,15.06 ,-5.10   ,167.04M   ,Financials            ,NYSE    ,25.34    , 
BKE   ,-7.20      ,18.70     ,-1.15  ,20.25 ,18.30 ,760357    ,19.85     ,20.15 ,-5.79   ,965.17M   ,Consumer Discretionary,NYSE    ,8.24     , 
DIN   ,-6.58      ,52.27     ,-7.55  ,57.45 ,52.13 ,1199549   ,59.82     ,55.95 ,-12.62  ,1.08B     ,Consumer Discretionary,NYSE    ,10.87    , 
ITRI  ,-6.41      ,60.60     ,-4.10  ,64.75 ,58.35 ,517377    ,64.70     ,64.75 ,-6.34   ,2.48B     ,Information Technology,NGM/NGS ,86.15    , 
EXPR  ,-5.92      ,10.73     ,-0.52  ,11.50 ,10.43 ,1675794   ,11.24     ,11.40 ,-4.58   ,881.35M   ,Consumer Discretionary,NYSE    ,9.88     , 
TA    ,-5.77      ,6.1248    ,-0.3752,6.70  ,6.05  ,511160    ,6.50      ,6.50  ,-5.77   ,256.89M   ,Consumer Discretionary,NASDAQ  ,87.45    , 
SWKH  ,-5.71      ,9.90      ,-0.60  ,10.50 ,9.90  ,1413      ,10.50     ,10.50 ,-5.71   ,137.95M   ,Financials            ,OTC     ,85.16    , 
AEO   ,-5.62      ,13.94     ,-1.91  ,14.96 ,13.85 ,13553080  ,15.85     ,14.77 ,-12.05  ,2.88B     ,Consumer Discretionary,NYSE    ,12.31    , 
