Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
SDLP  ,-15.54     ,3.809     ,-0.861 ,4.58  ,3.80  ,3627441  ,4.67      ,4.51  ,-18.44  ,351.55M   ,Energy                ,NYSE    ,1.77     , 
CYBE  ,-13.75     ,27.60     ,-6.80  ,32.00 ,26.80 ,1145426  ,34.40     ,32.00 ,-19.77  ,236.74M   ,Information Technology,NCM     ,43.71    , 
APEI  ,-12.50     ,19.95     ,-4.20  ,22.95 ,19.35 ,158345   ,24.15     ,22.80 ,-17.39  ,388.72M   ,Consumer Discretionary,NASDAQ  ,14.41    , 
XOXO  ,-8.55      ,16.37     ,-2.06  ,17.90 ,14.99 ,642733   ,18.43     ,17.90 ,-11.18  ,487.66M   ,Information Technology,NYSE    ,73.48    , 
FRBA  ,-8.15      ,12.40     ,-1.15  ,13.75 ,12.30 ,67627    ,13.55     ,13.50 ,-8.49   ,115.45M   ,Financials            ,NASDAQ  ,22.21    , 
VSI   ,-7.84      ,21.15     ,-0.15  ,23.25 ,20.55 ,373043   ,21.30     ,22.95 ,-0.70   ,507.30M   ,Consumer Discretionary,NYSE    ,12.56    , 
AIOCF ,-7.84      ,11.77     ,+0.45  ,12.82 ,11.77 ,5750     ,11.32     ,12.77 ,+3.97   ,498.09M   ,Information Technology,OTC     ,79.10    , 
MSL   ,-7.34      ,13.95     ,-0.75  ,15.10 ,13.85 ,35832    ,14.70     ,15.06 ,-5.10   ,167.04M   ,Financials            ,NYSE    ,25.34    , 
ASNA  ,-7.31      ,4.375     ,-0.215 ,4.78  ,4.34  ,2231951  ,4.59      ,4.72  ,-4.68   ,895.91M   ,Consumer Discretionary,NGM/NGS ,43.46    , 
BKE   ,-6.95      ,18.75     ,-1.10  ,20.25 ,18.30 ,763557   ,19.85     ,20.15 ,-5.54   ,965.17M   ,Consumer Discretionary,NYSE    ,8.24     , 
EXPR  ,-5.92      ,10.73     ,-0.52  ,11.50 ,10.43 ,1677396  ,11.24     ,11.40 ,-4.58   ,881.35M   ,Consumer Discretionary,NYSE    ,9.88     , 
TA    ,-5.77      ,6.125     ,-0.375 ,6.70  ,6.05  ,512215   ,6.50      ,6.50  ,-5.77   ,256.89M   ,Consumer Discretionary,NASDAQ  ,87.45    , 
SWKH  ,-5.71      ,9.90      ,-0.60  ,10.50 ,9.90  ,1413     ,10.50     ,10.50 ,-5.71   ,137.95M   ,Financials            ,OTC     ,85.16    , 
DQ    ,-5.21      ,23.63     ,-1.16  ,25.70 ,23.50 ,110494   ,24.79     ,24.93 ,-4.68   ,258.65M   ,Information Technology,NYSE    ,5.58     , 
ANF   ,-4.69      ,11.30     ,-0.66  ,11.86 ,10.97 ,5587327  ,11.96     ,11.86 ,-5.49   ,809.39M   ,Consumer Discretionary,NYSE    ,63.70    , 
BGFV  ,-4.62      ,14.98     ,+1.52  ,15.78 ,14.15 ,1617992  ,13.45     ,15.70 ,+11.34  ,294.49M   ,Consumer Discretionary,NGM/NGS ,21.69    , 
MGRC  ,-4.38      ,34.90     ,-2.73  ,37.46 ,34.43 ,115533   ,37.63     ,36.50 ,-7.25   ,899.88M   ,Industrials           ,NGM/NGS ,22.59    , 
CLDC  ,-4.06      ,6.62      ,+0.03  ,6.90  ,6.62  ,2819     ,6.59      ,6.90  ,+0.46   ,150.90M   ,Financials            ,NASDAQ  ,8.72     , 
SPWH  ,-4.06      ,4.73      ,-0.11  ,5.0453,4.72  ,583722   ,4.84      ,4.93  ,-2.27   ,204.89M   ,Consumer Discretionary,NASDAQ  ,6.74     , 
ECPG  ,-3.93      ,32.38     ,-0.91  ,33.70 ,32.23 ,489886   ,33.29     ,33.70 ,-2.74   ,852.41M   ,Financials            ,NGM/NGS ,11.25    , 
ZUMZ  ,-3.86      ,19.90     ,-0.49  ,20.73 ,19.35 ,274230   ,20.39     ,20.70 ,-2.40   ,507.90M   ,Consumer Discretionary,NGM/NGS ,24.55    , 
HIIQ  ,-3.84      ,17.55     ,-0.40  ,18.25 ,17.10 ,254003   ,17.95     ,18.25 ,-2.23   ,141.98M   ,Financials            ,NASDAQ  ,28.37    , 
RUN   ,-3.65      ,5.54      ,-0.15  ,5.80  ,5.515 ,1005663  ,5.69      ,5.75  ,-2.64   ,590.72M   ,Industrials           ,NASDAQ  ,12.39    , 
CAFD  ,-3.60      ,12.85     ,-0.46  ,13.35 ,12.66 ,496230   ,13.31     ,13.33 ,-3.46   ,373.65M   ,Utilities             ,NASDAQ  ,10.52    , 
AWRE  ,-3.54      ,4.775     ,-0.125 ,5.00  ,4.70  ,155734   ,4.90      ,4.95  ,-2.55   ,109.91M   ,Information Technology,NCM     ,27.26    , 
ADPT  ,-3.47      ,6.516     ,-0.234 ,6.89  ,6.50  ,419365   ,6.75      ,6.75  ,-3.47   ,110.67M   ,Health Care           ,NYSE    ,1.20     , 
VRA   ,-3.44      ,10.24     ,-0.22  ,10.96 ,10.20 ,244294   ,10.46     ,10.60 ,-2.15   ,378.77M   ,Consumer Discretionary,NASDAQ  ,12.17    , 
DFIN  ,-3.39      ,22.48     ,-0.63  ,23.39 ,22.47 ,304468   ,23.11     ,23.27 ,-2.73   ,753.39M   ,Financials            ,NYSE    ,9.07     , 
MVBF  ,-3.28      ,13.25     ,-0.55  ,13.75 ,13.25 ,2362     ,13.80     ,13.70 ,-3.99   ,137.96M   ,Financials            ,OTC     ,11.16    , 
FRAN  ,-3.23      ,16.49     ,-0.48  ,17.05 ,16.29 ,577343   ,16.97     ,17.04 ,-2.83   ,641.16M   ,Consumer Discretionary,NASDAQ  ,15.93    , 
CSIQ  ,-3.21      ,14.46     ,-0.26  ,14.98 ,14.33 ,801517   ,14.72     ,14.94 ,-1.77   ,850.62M   ,Information Technology,NASDAQ  ,6.14     , 
PDLI  ,-3.21      ,2.1391    ,-0.0009,2.25  ,2.13  ,2029584  ,2.14      ,2.21  ,-0.04   ,354.26M   ,Health Care           ,NGM/NGS ,2.02     , 
CATO  ,-3.06      ,24.41     ,-0.60  ,25.22 ,24.25 ,163335   ,25.01     ,25.18 ,-2.40   ,627.55M   ,Consumer Discretionary,NYSE    ,9.67     , 
DRUNF ,-2.88      ,5.1345    ,+0.1045,5.2866,5.0608,9394     ,5.03      ,5.2866,+2.08   ,396.90M   ,Real Estate           ,OTC     ,8.83     , 
LKSD  ,-2.85      ,27.64     ,-0.78  ,28.77 ,27.60 ,173913   ,28.42     ,28.45 ,-2.74   ,922.23M   ,Industrials           ,NYSE    ,8.80     , 
ODC   ,-2.84      ,34.71     ,-0.58  ,35.72 ,34.21 ,3433     ,35.28     ,35.72 ,-1.63   ,179.26M   ,Consumer Staples      ,NYSE    ,25.18    , 
NSSC  ,-2.84      ,8.55      ,-0.10  ,8.85  ,8.50  ,12615    ,8.65      ,8.80  ,-1.16   ,162.64M   ,Information Technology,NGM/NGS ,27.52    , 
GCI   ,-2.75      ,8.6941    ,-0.0259,8.98  ,8.66  ,1019217  ,8.72      ,8.94  ,-0.30   ,990.45M   ,Consumer Discretionary,NYSE    ,19.82    , 
