Symbol,% Chg(Open),% Total Return (YTD3),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
FRAN  ,-4.85      ,-18.54               ,15.68     ,999525   ,15.47    ,622.65M   ,62             ,+2.01                     ,34.92     ,16.45     ,-0.46,-93.45      ,9.92                   ,12.84             ,25.08                  ,16.69                  ,Specialty Retail                                   ,NASDAQ  ,FRANCESCAS HOLDINGS CORP ,Apparel Retail                              ,--      ,16.48         ,15.66 ,300     ,823771       ,921660      ,121.34                  ,108.45                 ,No        ,16.48 ,16.77 ,15.67 ,99.03                 ,667645        ,805121     ,149.71                   ,124.15                ,No                ,Consumer Discretionary,--            ,16.48     ,15.56 ,400     ,651843      ,74.94                     ,153.34                 ,13.39M         ,Yes                 ,C  ,--       ,--                 ,10.00          ,--                    ,80.00           ,10.00                  ,--              ,10                ,2.90              ,38.15M    ,439.38M,38.15M  ,37.78M            ,1.07    ,0.91      ,0.76      ,1.06        ,1.02      ,1.05      ,0.52      ,12.25                       ,8.68    ,134.61            ,-0.80 ,-1.36                  ,-1.25                      ,-0.67                  ,-5.94                   ,+2.68                ,-46.35               ,+62.86               ,+0.75     ,16.48        ,18.98    ,5.62                   ,15.60     ,9.75     ,90.08                   ,4.49                         ,-4.85   ,0.00 ,-2.55                  ,-0.02                 ,-0.44                  ,-3.91                    ,-8.60                ,+6.20                ,+36.33            ,2               ,16.60     ,19.50   ,16.10       ,15.60   ,-5.81                ,1.09           ,-0.80    ,0.00 ,+0.33                   ,-0.21                    ,-2.61                    ,-1.04                 ,-8.24                ,-40.12               ,+24.32               ,+22.61            ,18.63      ,22.39     ,15.60    ,15.60  ,1.21         ,4.00             ,-0.12         ,0.66              ,--                   ,18.15                    ,5.36            ,--           ,15.49                ,1.42     ,16.18     ,17.46     ,17.34      ,16.62     ,17.10      ,45.94                ,45.93     ,23.79                   ,6.55 ,18.09               ,-1.38                     ,-4.83          ,17.62     ,15.52      ,16.38     ,17.19     ,16.97      ,42.50     ,48.10                ,35.41         ,28.71,-0.43      ,-2.34          ,-3.90                     ,16.69     ,17.60      ,17.23     ,45.97                ,11.35                   ,32.10   ,15.29                  ,-2.37          ,-1.40                     ,1264.28   , 
PIR   ,-4.84      ,-59.51               ,6.69      ,914044   ,26.29    ,584.56M   ,45             ,+2.33                     ,43.02     ,6.89      ,-0.10,-86.24      ,7.89                   ,-26.70            ,16.40                  ,6.87                   ,Specialty Retail                                   ,NYSE    ,PIER 1 IMPORTS INC/DE    ,Homefurnishing Retail                       ,0.28    ,7.04          ,6.69  ,2500    ,1562964      ,2972757     ,58.48                   ,30.75                  ,No        ,7.03  ,7.04  ,6.70  ,81.52                 ,2244949       ,2688703    ,40.72                    ,34.00                 ,No                ,Consumer Discretionary,4.00          ,7.04      ,6.66  ,1200    ,2169906     ,36.46                     ,42.12                  ,10.83M         ,No                  ,B  ,***      ,B-                 ,5.88           ,11.76                 ,52.94           ,5.88                   ,23.53           ,17                ,3.29              ,39.63M    ,1.89B  ,39.63M  ,83.03M            ,0.27    ,0.46      ,0.82      ,0.43        ,1.01      ,1.20      ,1.48      ,8.97                        ,2.09    ,140.17            ,-0.35 ,-0.12                  ,+2.51                      ,+0.8246                ,-5.00                   ,-41.56               ,-54.48               ,+25.01               ,+1.65     ,7.16         ,7.63     ,2.64                   ,6.54      ,3.73     ,92.11                   ,2.53                         ,-4.97   ,-0.01,-2.08                  ,-0.01                 ,+0.1418                ,+13.27                   ,-16.86               ,+21.43               ,+8.21             ,1               ,7.17      ,9.23    ,6.97        ,6.54    ,-2.93                ,0.35           ,-0.34    ,-0.14,+0.16                   ,+0.1725                  ,+2.06                    ,-0.3706               ,+13.36               ,-65.41               ,+49.72               ,+2.54             ,7.63       ,9.68      ,6.61     ,6.54   ,0.38         ,51.00            ,-0.03         ,1.12              ,--                   ,15.30                    ,2.04            ,70.32        ,16.53                ,0.31     ,6.88      ,7.30      ,6.45       ,6.93      ,6.78       ,53.23                ,49.42     ,24.37                   ,13.76,7.17                ,-0.02                     ,-2.80          ,7.55      ,5.84       ,6.86      ,7.05      ,6.67       ,46.73     ,51.47                ,12.21         ,34.25,-0.13      ,-1.02          ,-1.97                     ,6.87      ,6.86       ,7.02      ,50.02                ,19.07                   ,35.68   ,6.57                   ,-0.22          ,-0.65                     ,-8252.49  , 
UPLMQ ,-4.81      ,-73.87               ,6.14      ,316409   ,18.03    ,995.68M   ,15             ,+0.78                     ,31.10     ,6.66      ,-0.31,-96.75      ,--                     ,-29.10            ,17.25                  ,6.83                   ,Oil Gas & Consumable Fuels                         ,OTC     ,ULTRA PETROLEUM CORP     ,Oil & Gas Exploration & Production          ,--      ,6.49          ,6.15  ,1000    ,774161       ,750848      ,40.87                   ,42.14                  ,No        ,6.45  ,6.48  ,6.18  ,21.25                 ,710590        ,600502     ,44.53                    ,52.69                 ,No                ,Energy                ,--            ,6.49      ,6.14  ,1100    ,739070      ,107.78                    ,42.81                  ,5.07M          ,No                  ,NC ,--       ,--                 ,--             ,--                    ,100.00          ,--                     ,--              ,1                 ,3.00              ,56.15M    ,651.35M,56.15M  ,153.42M           ,0.36    ,0.36      ,-20.94    ,1.26        ,3.51      ,1.54      ,-14.24    ,13.00                       ,8.62    ,3923.82           ,-0.35 ,-0.66                  ,-5.03                      ,+0.0287                ,-10.26                  ,-59.05               ,-73.94               ,+711.65              ,+1.56     ,6.74         ,8.44     ,2.27                   ,6.10      ,0.16     ,100.00                  ,7.69                         ,-5.39   ,-0.04,-1.03                  ,-0.04                 ,-0.5245                ,+0.44                    ,-10.24               ,-3.81                ,-1.90             ,1               ,7.05      ,8.75    ,6.45        ,6.10    ,-5.98                ,0.34           ,-0.31    ,-0.62,+0.05                   ,-0.344                   ,-7.48                    ,-0.7417               ,+1018.77             ,-68.14               ,+68.27               ,+4.50             ,8.15       ,8.75      ,6.35     ,6.10   ,0.34         ,5.00             ,0.00          ,0.77              ,--                   ,18.03                    ,--              ,--           ,5.15                 ,1.53     ,6.43      ,7.24      ,6.68       ,6.78      ,6.62       ,38.56                ,47.30     ,26.09                   ,3.25 ,7.83                ,-1.24                     ,-1.37          ,7.23      ,5.15       ,6.61      ,7.01      ,6.41       ,42.37     ,49.13                ,17.24         ,22.76,-0.27      ,-1.04          ,-1.06                     ,6.83      ,6.92       ,6.98      ,45.12                ,18.42                   ,26.84   ,5.84                   ,-1.61          ,-0.71                     ,-2206.21  , 
CIG   ,-4.48      ,-5.59                ,3.515     ,4096298  ,17.89    ,4.95B     ,27             ,+3.27                     ,52.88     ,3.50      ,0.15 ,-54.17      ,6.25                   ,24.54             ,33.98                  ,3.49                   ,Electric Utilities                                 ,NYSE    ,CIA ENERGETICA DE MINAS  ,Electric Utilities                          ,0.19    ,3.70          ,3.51  ,46000   ,5175396      ,4587092     ,79.15                   ,89.30                  ,No        ,3.68  ,3.74  ,3.52  ,33.20                 ,5836122       ,5570576    ,70.19                    ,73.53                 ,No                ,Utilities             ,5.10          ,3.70      ,3.50  ,35300   ,5858876     ,61.43                     ,69.92                  ,18.67M         ,No                  ,-- ,--       ,--                 ,25.00          ,--                    ,50.00           ,25.00                  ,--              ,4                 ,2.75              ,746.68M   ,6.38B  ,746.68M ,1.26B             ,0.21    ,0.59      ,0.75      ,--          ,0.74      ,1.02      ,0.58      ,-9.71                       ,3.51    ,811.72            ,-0.185,+0.255                 ,+5.87                      ,+0.9842                ,+22.87                  ,+16.75               ,-45.19               ,+130.22              ,+1.90     ,3.84         ,3.84     ,0.02                   ,3.22      ,1.40     ,93.75                   ,-0.25                        ,-5.00   ,-0.02,+1.125                 ,-0.02                 ,+0.2368                ,+36.24                   ,+62.28               ,+52.46               ,+5.93             ,7               ,3.84      ,3.84    ,3.60        ,3.05    ,-2.10                ,0.225          ,-0.165   ,-0.54,+0.117                  ,+0.2053                  ,+6.84                    ,+0.6887               ,+93.53               ,-34.66               ,+28.48               ,+2.07             ,3.84       ,3.76      ,3.38     ,2.25   ,0.24         ,99.00            ,-0.015        ,0.76              ,--                   ,6.24                     ,306.24          ,68.21        ,--                   ,0.73     ,3.55      ,3.06      ,2.73       ,3.44      ,2.89       ,62.78                ,57.67     ,19.44                   ,45.83,3.74                ,0.40                      ,1.36           ,2.93      ,2.62       ,3.51      ,3.14      ,2.83       ,58.10     ,60.38                ,23.95         ,71.08,0.17       ,0.85           ,1.53                      ,3.49      ,2.73       ,3.07      ,62.26                ,31.68                   ,73.84   ,3.25                   ,0.22           ,1.05                      ,20151.57  , 
CORE  ,-4.18      ,+92.25               ,32.53     ,240104   ,29.03    ,1.57B     ,55             ,+3.94                     ,49.61     ,32.42     ,-0.58,-38.70      ,--                     ,6.26              ,42.40                  ,32.32                  ,Distributors                                       ,NGM/NGS ,CORE MARK HOLDING CO INC ,Distributors                                ,0.36    ,33.96         ,32.53 ,500     ,367376       ,314711      ,65.36                   ,76.29                  ,No        ,33.95 ,33.95 ,32.56 ,97.48                 ,393621        ,358359     ,61.00                    ,67.00                 ,No                ,Consumer Discretionary,1.10          ,33.96     ,32.53 ,100     ,382988      ,38.23                     ,62.69                  ,12.01M         ,Yes                 ,D  ,--       ,B+                 ,50.00          ,25.00                 ,25.00           ,--                     ,--              ,4                 ,1.75              ,54.20M    ,11.51B ,54.20M  ,46.32M            ,1.17    ,1.17      ,1.11      ,1.49        ,0.92      ,0.90      ,0.73      ,25.00                       ,0.47    ,1496.80           ,-1.43 ,+0.31                  ,+5.09                      ,-2.38                  ,-4.91                   ,+8.76                ,+252.95              ,-23.71               ,+0.66     ,34.02        ,34.02    ,16.05                  ,30.17     ,30.17    ,100.00                  ,-1.64                        ,-4.21   ,-0.01,-10.63                 ,+0.04                 ,+1.55                  ,-6.55                    ,-20.93               ,-10.93               ,+10.59            ,0               ,34.02     ,43.93   ,32.69       ,30.17   ,-2.36                ,1.42           ,-1.42    ,-0.03,+1.29                   ,+1.64                    ,+4.77                    ,-1.75                 ,-17.61               ,+184.68              ,-14.54               ,+4.21             ,34.02      ,50.00     ,31.00    ,30.17  ,1.42         ,5.00             ,0.00          ,1.24              ,--                   ,29.03                    ,3.47            ,65.63        ,22.83                ,0.14     ,32.01     ,35.22     ,36.34      ,32.62     ,36.08      ,66.96                ,42.78     ,20.92                   ,61.30,34.11               ,0.71                      ,-10.93         ,36.53     ,39.40      ,32.00     ,34.38     ,36.53      ,42.09     ,45.38                ,1.39          ,78.82,-0.96      ,-7.55          ,-9.21                     ,32.32     ,36.56      ,34.82     ,46.62                ,21.51                   ,74.06   ,30.53                  ,-0.41          ,-6.61                     ,360.56    , 
M     ,-4.05      ,-43.04               ,29.35     ,5156997  ,15.35    ,9.29B     ,142            ,+0.75                     ,29.42     ,31.04     ,-0.54,-99.53      ,0.89                   ,-9.41             ,15.95                  ,31.70                  ,Multiline Retail                                   ,NYSE    ,MACY'S INC               ,Department Stores                           ,1.51    ,30.54         ,29.35 ,800     ,7522947      ,7354686     ,68.55                   ,70.12                  ,Yes       ,30.59 ,31.60 ,29.36 ,89.27                 ,8103802       ,9592129    ,63.64                    ,53.76                 ,No                ,Consumer Discretionary,4.90          ,30.54     ,29.33 ,600     ,8100668     ,43.82                     ,63.66                  ,230.03M        ,No                  ,C  ,***      ,B+                 ,17.39          ,4.35                  ,78.26           ,--                     ,--              ,23                ,2.61              ,611.00M   ,25.78B ,611.00M ,304.1M            ,1.99    ,1.99      ,3.22      ,3.29        ,4.22      ,3.86      ,3.24      ,4.25                        ,2.40    ,--                ,-1.19 ,-4.12                  ,-3.66                      ,-4.97                  ,-2.47                   ,-48.73               ,-12.07               ,+3.28                ,+0.78     ,30.68        ,33.72    ,13.90                  ,29.75     ,28.55    ,99.11                   ,6.79                         ,-3.90   ,+0.05,-6.78                  ,-0.05                 ,-1.35                  ,-14.01                   ,-13.67               ,-20.55               ,+14.25            ,1               ,31.75     ,36.39   ,30.22       ,29.75   ,-0.78                ,2.25           ,-1.24    ,+0.16,+0.23                   ,-1.16                    ,-4.22                    ,-0.77                 ,-27.41               ,-18.09               ,-6.32                ,+3.02             ,33.72      ,45.50     ,29.75    ,28.55  ,2.27         ,4.00             ,-0.02         ,0.65              ,--                   ,15.35                    ,--              ,151.83       ,9.27                 ,0.36     ,30.83     ,31.12     ,35.45      ,31.24     ,33.80      ,38.60                ,41.52     ,21.97                   ,0.47 ,34.01               ,-1.28                     ,-8.60          ,31.88     ,35.44      ,31.34     ,32.28     ,34.25      ,39.15     ,43.46                ,3.65          ,12.42,-0.31      ,-0.35          ,-6.46                     ,31.70     ,35.23      ,32.64     ,42.40                ,23.64                   ,14.93   ,29.39                  ,-2.94          ,1.09                      ,-9393.78  , 
TGS   ,-3.91      ,+627.77              ,13.65     ,227886   ,35.45    ,1.10B     ,23             ,+2.60                     ,72.00     ,12.99     ,0.76 ,-25.00      ,30.62                  ,31.38             ,42.04                  ,12.60                  ,Oil Gas & Consumable Fuels                         ,NYSE    ,TRANSPORTADORA DE GAS SUR,Oil & Gas Storage & Transportation          ,0.04    ,14.09         ,13.69 ,100     ,280866       ,227530      ,81.14                   ,100.16                 ,No        ,14.20 ,14.20 ,13.80 ,28.43                 ,333205        ,257949     ,68.39                    ,88.35                 ,No                ,Energy                ,0.30          ,14.09     ,13.40 ,400     ,317169      ,60.44                     ,71.85                  ,3.86M          ,No                  ,-- ,--       ,--                 ,100.00         ,--                    ,--              ,--                     ,--              ,2                 ,1.00              ,63.18M    ,502.54M,63.18M  ,389.3M            ,0.40    ,0.40      ,-0.07     ,--          ,0.04      ,0.05      ,0.10      ,13.30                       ,0.85    ,--                ,-0.44 ,+1.66                  ,+11.86                     ,+5.17                  ,+26.42                  ,+144.87              ,+512.17              ,+85.58               ,+1.31     ,14.34        ,14.34    ,-1.40                  ,10.90     ,5.54     ,69.38                   ,-5.98                        ,-3.16   ,+0.11,+4.34                  ,+0.02                 ,+1.74                  ,+58.02                   ,+56.21               ,+54.65               ,+47.37            ,0               ,14.34     ,14.34   ,13.99       ,10.26   ,-7.86                ,0.56           ,-0.56    ,+0.78,+0.36                   ,+1.49                    ,+14.09                   ,+2.94                 ,+128.36              ,+807.16              ,+98.51               ,+12.84            ,14.34      ,12.80     ,12.95    ,8.98   ,0.80         ,99.00            ,-0.24         ,1.51              ,--                   ,35.45                    ,14.04           ,149.29       ,--                   ,10.92    ,13.28     ,11.29     ,9.21       ,12.71     ,10.15      ,89.99                ,72.89     ,15.37                   ,75.00,14.18               ,3.10                      ,5.26           ,10.91     ,8.09       ,12.83     ,11.46     ,9.78       ,74.09     ,77.34                ,37.53         ,86.54,0.67       ,3.73           ,5.73                      ,12.60     ,9.62       ,11.14     ,80.87                ,33.83                   ,91.91   ,11.02                  ,2.33           ,4.33                      ,1042.68   , 
BWLD  ,-3.50      ,+0.86                ,147.35    ,415104   ,29.87    ,2.66B     ,85             ,+1.60                     ,31.30     ,152.32    ,-1.39,-97.75      ,5.08                   ,-40.90            ,18.70                  ,153.55                 ,Hotels Restaurants & Leisure                       ,NGM/NGS ,BUFFALO WILD WINGS INC   ,Restaurants                                 ,--      ,152.95        ,147.35,200     ,472449       ,416656      ,87.86                   ,99.63                  ,No        ,152.70,152.95,147.45,85.65                 ,427124        ,469888     ,97.19                    ,88.34                 ,Yes               ,Consumer Discretionary,--            ,152.94    ,147.05,100     ,419511      ,74.47                     ,98.95                  ,71.33M         ,No                  ,C  ,--       ,B+                 ,26.92          ,7.69                  ,61.54           ,--                     ,3.85            ,26                ,2.46              ,94.21M    ,1.99B  ,94.21M  ,17.39M            ,5.12    ,5.12      ,4.97      ,5.76        ,4.95      ,3.79      ,3.06      ,16.90                       ,4.77    ,82.78             ,-5.59 ,-9.30                  ,-0.39                      ,-1.65                  ,-0.46                   ,-19.33               ,+77.17               ,+6.61                ,+0.79     ,154.15       ,160.80   ,22.15                  ,149.35    ,122.25   ,94.92                   ,3.76                         ,-3.66   ,-0.24,-8.40                  ,-0.02                 ,-1.52                  ,-1.07                    ,-0.94                ,-8.07                ,+16.06            ,1               ,154.15    ,163.30  ,151.65      ,149.35  ,-24.80               ,5.60           ,-5.35    ,-0.16,+2.40                   ,-0.61                    ,-0.98                    ,-0.71                 ,-0.56                ,+80.26               ,-4.44                ,+8.89             ,160.80     ,175.10    ,149.35   ,140.40 ,5.90         ,11.00            ,-0.30         ,1.27              ,--                   ,29.87                    ,9.85            ,39.64        ,26.54                ,1.34     ,151.87    ,153.61    ,154.22     ,152.85    ,154.93     ,48.03                ,45.49     ,29.54                   ,2.25 ,158.69              ,-4.56                     ,-18.50         ,154.15    ,153.81     ,152.89    ,154.41    ,154.86     ,42.30     ,48.67                ,23.65         ,19.12,-0.86      ,-3.75          ,-12.46                    ,153.55    ,156.93     ,154.65    ,47.75                ,18.24                   ,17.78   ,148.40                 ,-11.70         ,6.79                      ,-2582.29  , 
OXM   ,-3.45      ,-24.61               ,54.78     ,202346   ,15.78    ,953.54M   ,31             ,+3.56                     ,49.83     ,54.74     ,-0.30,-43.83      ,5.77                   ,16.56             ,27.47                  ,55.20                  ,Textiles Apparel & Luxury Goods                    ,NYSE    ,OXFORD INDUSTRIES INC    ,Apparel Accessories & Luxury Goods          ,1.08    ,56.86         ,54.78 ,100     ,236360       ,175852      ,85.61                   ,115.07                 ,No        ,56.74 ,56.74 ,54.88 ,89.86                 ,159248        ,163868     ,127.06                   ,123.48                ,No                ,Consumer Discretionary,1.90          ,56.86     ,54.66 ,200     ,156870      ,84.02                     ,128.99                 ,12.87M         ,Yes                 ,D  ,--       ,B                  ,75.00          ,--                    ,25.00           ,--                     ,--              ,8                 ,1.50              ,30.56M    ,969.29M,30.56M  ,16.77M            ,3.60    ,1.85      ,2.78      ,3.59        ,2.74      ,1.89      ,1.78      ,11.00                       ,3.15    ,176.23            ,-2.08 ,-2.07                  ,+3.00                      ,-5.21                  ,+2.96                   ,+3.83                ,+32.23               ,-10.11               ,+0.43     ,57.01        ,58.13    ,20.70                  ,51.55     ,51.35    ,94.23                   ,-0.41                        ,-3.66   ,-0.12,-6.06                  ,+0.04                 ,+1.48                  ,-8.39                    ,-4.99                ,-22.27               ,+17.39            ,0               ,57.26     ,62.08   ,55.45       ,51.55   ,-3.31                ,1.96           ,-1.96    ,-0.21,+1.96                   ,+1.66                    ,+2.67                    ,+1.64                 ,-22.95               ,+7.79                ,-9.14                ,+9.19             ,58.13      ,77.44     ,51.55    ,51.35  ,2.08         ,8.00             ,-0.12         ,0.67              ,--                   ,30.73                    ,5.45            ,13.15        ,15.83                ,0.98     ,53.96     ,54.92     ,61.24      ,54.83     ,58.57      ,62.79                ,45.91     ,23.16                   ,56.17,58.80               ,0.31                      ,-7.22          ,55.90     ,61.34      ,54.55     ,56.19     ,59.24      ,46.43     ,48.05                ,3.00          ,72.01,-0.47      ,2.52           ,-3.81                     ,55.20     ,60.29      ,56.74     ,50.20                ,21.81                   ,60.09   ,51.60                  ,-1.68          ,3.77                      ,431.36    , 
SIVB  ,-3.45      ,+54.50               ,190.23    ,462725   ,26.98    ,10.33B    ,86             ,+1.83                     ,47.11     ,192.36    ,3.30 ,-95.56      ,5.56                   ,17.52             ,21.83                  ,192.46                 ,Banks                                              ,NGM/NGS ,SVB FINANCIAL GROUP      ,Regional Banks                              ,--      ,197.19        ,190.11,100     ,826101       ,528578      ,56.01                   ,87.54                  ,No        ,197.03,197.03,190.29,97.89                 ,572216        ,523053     ,80.87                    ,88.47                 ,Yes               ,Financials            ,--            ,197.19    ,189.83,200     ,550662      ,18.36                     ,84.03                  ,161.58M        ,No                  ,C  ,***      ,B+                 ,35.29          ,41.18                 ,17.65           ,--                     ,5.88            ,17                ,2.00              ,390.27M   ,1.65B  ,390.27M ,52.36M            ,7.31    ,7.31      ,6.62      ,8.55        ,5.31      ,4.67      ,3.91      ,10.75                       ,25.37   ,652.74            ,-6.96 ,-6.71                  ,+2.46                      ,+43.22                 ,+8.36                   ,+54.90               ,+198.01              ,+73.22               ,+1.52     ,197.97       ,198.83   ,1.80                   ,181.61    ,82.90    ,94.44                   ,1.80                         ,-3.53   ,-0.16,+15.57                 ,-0.02                 ,+5.66                  ,+28.07                   ,+14.87               ,+20.79               ,+11.41            ,0               ,197.97    ,198.83  ,192.57      ,181.61  ,-106.93              ,6.80           ,-6.80    ,-0.08,+3.55                   ,+4.73                    ,+2.95                    ,+15.22                ,+104.11              ,+185.20              ,+71.88               ,+0.87             ,198.83     ,198.83    ,190.27   ,165.05 ,7.20         ,87.00            ,-0.40         ,1.15              ,--                   ,26.98                    ,2.83            ,--           ,23.07                ,6.27     ,193.59    ,182.53    ,159.33     ,191.19    ,168.40     ,67.54                ,59.97     ,17.89                   ,4.44 ,198.01              ,12.78                     ,18.33          ,181.01    ,136.73     ,193.65    ,182.87    ,163.45     ,57.83     ,64.01                ,8.02          ,50.72,4.02       ,20.12          ,28.12                     ,192.46    ,168.03     ,179.88    ,64.61                ,21.01                   ,58.71   ,186.91                 ,5.65           ,28.60                     ,1473.29   , 
