Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                           ,Exchange,Description              ,Sub-Industry                                ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
KSS   ,-4.93      ,38.55     ,3901924   ,13.02    ,7.15B     ,195            ,+1.68                     ,35.10     ,40.31     ,-0.65,-93.44      ,12.79                  ,-20.85            ,14.22                  ,40.89                  ,Multiline Retail                                   ,NYSE    ,KOHL'S CORP              ,Department Stores                           ,2.20    ,40.49         ,38.55 ,300     ,5454731      ,4296977     ,71.53                   ,90.81                  ,Yes       ,40.55 ,40.80 ,38.56 ,99.35                 ,4923457       ,5123309    ,79.25                    ,76.16                 ,No                ,Consumer Discretionary,5.40          ,40.49     ,38.22 ,200     ,4820938     ,34.92                     ,80.94                  ,219.13M        ,No                  ,C  ,***      ,B+                 ,17.39          ,--                    ,60.87           ,13.04                  ,8.70            ,23                ,2.96              ,556.00M   ,18.69B ,556.00M ,176.47M           ,3.11    ,3.11      ,3.46      ,3.62        ,4.24      ,4.05      ,4.17      ,7.20                        ,2.98    ,--                ,-1.94 ,-4.37                  ,-0.99                      ,-4.94                  ,-1.86                   ,-40.79               ,-5.19                ,+22.33               ,+1.12     ,41.07        ,44.50    ,18.87                  ,38.88     ,33.87    ,87.21                   ,4.91                         ,-4.79   ,+0.06,-11.20                 ,-0.03                 ,-0.68                  ,-10.87                   ,-16.86               ,-19.05               ,-20.10               ,+10.42            ,4               ,41.07     ,51.98   ,40.11       ,38.88   ,-4.35                ,2.25           ,-2.00    ,+0.15,+0.67                   ,-0.40                    ,-1.65                    ,-0.77                 ,-11.98               ,-5.85                ,-1.97                ,+4.09             ,44.50      ,59.67     ,38.88    ,38.47  ,2.58         ,2.00             ,-0.33         ,0.56              ,--                   ,13.02                    ,1.37            ,86.54        ,11.19                ,0.38     ,39.92     ,40.81     ,45.61      ,40.54     ,43.53      ,47.93                ,43.56     ,28.62                   ,6.56 ,43.56               ,-1.04                     ,-15.03         ,42.26     ,43.59      ,40.44     ,42.06     ,43.78      ,41.24     ,45.82                ,21.35         ,24.02,-0.55      ,-1.98          ,-11.59                    ,40.89     ,45.90      ,42.50     ,45.02                ,18.55                   ,23.49   ,38.23                  ,-3.42          ,0.27                      ,-13559.07  , 
CIG   ,-4.35      ,3.52      ,4187096   ,17.89    ,4.95B     ,27             ,+3.27                     ,52.88     ,3.50      ,0.15 ,-54.17      ,8.33                   ,24.54             ,33.98                  ,3.49                   ,Electric Utilities                                 ,NYSE    ,CIA ENERGETICA DE MINAS  ,Electric Utilities                          ,0.19    ,3.70          ,3.52  ,33700   ,5175396      ,4587092     ,80.90                   ,91.28                  ,No        ,3.68  ,3.74  ,3.53  ,33.20                 ,5836122       ,5570576    ,71.74                    ,75.16                 ,No                ,Utilities             ,5.10          ,3.70      ,3.50  ,40800   ,5858876     ,62.79                     ,71.47                  ,18.67M         ,No                  ,-- ,--       ,--                 ,25.00          ,--                    ,50.00           ,25.00                  ,--              ,4                 ,2.75              ,746.68M   ,6.38B  ,746.68M ,1.26B             ,0.21    ,0.59      ,0.75      ,--          ,0.74      ,1.02      ,0.58      ,-9.71                       ,3.51    ,811.72            ,-0.18 ,+0.26                  ,+5.87                      ,+0.9842                ,+22.87                  ,+16.75               ,-45.19               ,+130.22              ,+1.90     ,3.84         ,3.84     ,0.02                   ,3.22      ,1.40     ,91.67                   ,-0.39                        ,-4.86   ,-0.02,+1.13                  ,-0.02                 ,+0.2368                ,+36.24                   ,+62.28               ,-5.59                ,+52.46               ,+5.93             ,7               ,3.84      ,3.84    ,3.60        ,3.05    ,-2.10                ,0.22           ,-0.16    ,-0.54,+0.117                  ,+0.2053                  ,+6.84                    ,+0.6887               ,+93.53               ,-34.66               ,+28.48               ,+2.07             ,3.84       ,3.76      ,3.38     ,2.25   ,0.24         ,99.00            ,-0.02         ,0.76              ,--                   ,6.24                     ,306.24          ,68.21        ,--                   ,0.73     ,3.55      ,3.06      ,2.73       ,3.44      ,2.89       ,62.78                ,57.67     ,19.44                   ,45.83,3.74                ,0.40                      ,1.36           ,2.93      ,2.62       ,3.51      ,3.14      ,2.83       ,58.10     ,60.38                ,23.95         ,71.08,0.17       ,0.85           ,1.53                      ,3.49      ,2.73       ,3.07      ,62.26                ,31.68                   ,73.84   ,3.25                   ,0.22           ,1.05                      ,20151.57   , 
RAD   ,-4.07      ,4.662     ,22779447  ,61.02    ,5.11B     ,32             ,-0.53                     ,29.18     ,5.08      ,-0.38,-96.45      ,5.40                   ,-40.45            ,39.90                  ,5.32                   ,Food & Staples Retailing                           ,NYSE    ,RITE AID CORP            ,Drug Retail                                 ,--      ,4.85          ,4.66  ,64000   ,25280901     ,21377226    ,90.11                   ,106.56                 ,No        ,4.86  ,4.8721,4.67  ,62.51                 ,21416605      ,27462571   ,106.36                   ,82.95                 ,No                ,Consumer Staples      ,--            ,4.84      ,4.65  ,64100   ,20951339    ,70.65                     ,108.73                 ,123.88M        ,No                  ,NR ,****     ,B-                 ,33.33          ,11.11                 ,55.56           ,--                     ,--              ,9                 ,2.22              ,165.46M   ,30.74B ,165.46M ,1.05B             ,0.08    ,0.16      ,2.08      ,0.09        ,0.23      ,0.12      ,-0.43     ,6.83                        ,0.54    ,435.49            ,-0.178,-1.338                 ,-9.00                      ,-2.2854                ,-23.37                  ,-38.45               ,+142.50              ,-22.08               ,+1.86     ,5.08         ,6.15     ,3.8979                 ,4.61      ,4.64     ,94.60                   ,9.51                         ,-3.68   ,+0.02,-3.568                 ,-0.01                 ,-0.5832                ,-32.07                   ,-41.14               ,-29.40               ,-24.62               ,+15.84            ,2               ,5.15      ,8.77    ,4.78        ,4.61    ,-0.01                ,0.2101         ,-0.198   ,+0.41,-0.026                  ,-0.4785                  ,-10.75                   ,-1.4763               ,-39.30               ,+152.60              ,-20.32               ,+0.78             ,6.15       ,8.77      ,4.62     ,4.61   ,0.2221       ,1.00             ,-0.012        ,2.60              ,--                   ,30.31                    ,--              ,1198.31      ,54.93                ,0.17     ,4.82      ,6.17      ,7.00       ,5.21      ,6.56       ,33.49                ,35.17     ,33.63                   ,3.55 ,6.39                ,-1.03                     ,-3.95          ,6.52      ,7.20       ,5.11      ,5.94      ,6.70       ,31.77     ,36.17                ,36.59         ,16.78,-0.39      ,-2.80          ,-3.33                     ,5.32      ,6.93       ,6.12      ,33.23                ,15.61                   ,21.02   ,4.24                   ,-1.28          ,-3.76                     ,-148976.22 , 
M     ,-4.02      ,29.36     ,5168012   ,15.35    ,9.29B     ,142            ,+0.74                     ,29.48     ,31.04     ,-0.54,-99.29      ,1.37                   ,-9.37             ,15.95                  ,31.70                  ,Multiline Retail                                   ,NYSE    ,MACY'S INC               ,Department Stores                           ,1.51    ,30.54         ,29.36 ,1000    ,7522947      ,7354686     ,68.70                   ,70.27                  ,Yes       ,30.59 ,31.60 ,29.37 ,89.27                 ,8103802       ,9592129    ,63.77                    ,53.88                 ,No                ,Consumer Discretionary,4.90          ,30.54     ,29.33 ,400     ,8100668     ,43.91                     ,63.80                  ,230.03M        ,No                  ,C  ,***      ,B+                 ,17.39          ,4.35                  ,78.26           ,--                     ,--              ,23                ,2.61              ,611.00M   ,25.78B ,611.00M ,304.1M            ,1.99    ,1.99      ,3.22      ,3.29        ,4.22      ,3.86      ,3.24      ,4.25                        ,2.40    ,--                ,-1.18 ,-4.11                  ,-3.66                      ,-4.97                  ,-2.47                   ,-48.73               ,-12.07               ,+3.28                ,+0.78     ,30.68        ,33.72    ,13.90                  ,29.75     ,28.55    ,98.63                   ,6.76                         ,-3.86   ,+0.05,-6.77                  ,-0.05                 ,-1.35                  ,-14.01                   ,-13.67               ,-43.04               ,-20.55               ,+14.25            ,1               ,31.75     ,36.39   ,30.22       ,29.75   ,-0.78                ,2.24           ,-1.23    ,+0.16,+0.22                   ,-1.16                    ,-4.22                    ,-0.77                 ,-27.41               ,-18.09               ,-6.32                ,+3.02             ,33.72      ,45.50     ,29.75    ,28.55  ,2.27         ,4.00             ,-0.03         ,0.65              ,--                   ,15.35                    ,--              ,151.83       ,9.27                 ,0.36     ,30.83     ,31.12     ,35.45      ,31.24     ,33.80      ,38.60                ,41.54     ,21.97                   ,0.71 ,34.01               ,-1.28                     ,-8.59          ,31.88     ,35.44      ,31.34     ,32.28     ,34.25      ,39.18     ,43.46                ,3.65          ,12.50,-0.31      ,-0.34          ,-6.46                     ,31.70     ,35.23      ,32.64     ,42.40                ,23.64                   ,14.96   ,29.39                  ,-2.93          ,1.09                      ,-9355.88   , 
GME   ,-3.53      ,23.79     ,3144569   ,6.55     ,2.51B     ,106            ,+1.05                     ,37.45     ,24.69     ,-0.22,-97.76      ,3.23                   ,12.04             ,23.91                  ,25.04                  ,Specialty Retail                                   ,NYSE    ,GAMESTOP CORP            ,Computer & Electronics Retail               ,1.52    ,24.64         ,23.79 ,300     ,3449972      ,2563533     ,91.15                   ,122.67                 ,No        ,24.66 ,24.84 ,23.80 ,97.57                 ,2858492       ,2679418    ,110.01                   ,117.36                ,Yes               ,Consumer Discretionary,6.20          ,24.64     ,23.76 ,200     ,2777846     ,57.92                     ,113.20                 ,84.40M         ,No                  ,B  ,****     ,B                  ,57.14          ,--                    ,35.71           ,--                     ,7.14            ,14                ,2.00              ,402.80M   ,9.36B  ,402.80M ,101.88M           ,3.76    ,3.78      ,3.47      ,3.69        ,2.99      ,-2.13     ,2.41      ,8.50                        ,4.30    ,183.60            ,-0.85 ,-0.78                  ,-1.62                      ,-0.45                  ,-0.56                   ,-33.76               ,+27.69               ,-12.50               ,+1.20     ,24.67        ,26.67    ,8.88                   ,23.57     ,20.10    ,96.77                   ,3.70                         ,-3.45   ,+0.02,-1.65                  ,-0.02                 ,-0.54                  ,-1.80                    ,-0.98                ,-29.45               ,-1.01                ,+19.30            ,20              ,24.80     ,26.67   ,24.20       ,23.57   ,-3.66                ,1.05           ,-0.87    ,+0.08,+0.26                   ,-0.40                    ,-2.13                    ,-0.14                 ,-16.91               ,+13.35               ,-11.46               ,+7.79             ,26.67      ,33.72     ,24.00    ,22.27  ,1.09         ,25.00            ,-0.04         ,0.28              ,--                   ,6.52                     ,9.30            ,16.82        ,6.68                 ,0.27     ,24.60     ,24.72     ,24.81      ,24.78     ,25.23      ,46.64                ,46.28     ,27.24                   ,2.24 ,26.54               ,-0.78                     ,-2.33          ,24.85     ,26.33      ,24.67     ,24.89     ,25.45      ,45.02     ,48.39                ,35.39         ,21.09,-0.08      ,0.21           ,-1.26                     ,25.04     ,24.53      ,24.92     ,48.53                ,13.00                   ,27.72   ,23.55                  ,-1.78          ,1.33                      ,4873.12    , 
MOMO  ,-3.48      ,33.80     ,4768527   ,48.63    ,6.81B     ,116            ,+2.35                     ,65.53     ,31.37     ,2.57 ,-20.29      ,16.95                  ,23.64             ,41.41                  ,29.69                  ,Internet Software & Services                       ,NASDAQ  ,MOMO INC  -ADR           ,Internet Software & Services                ,--      ,35.01         ,33.79 ,200     ,5586560      ,3092116     ,85.36                   ,154.22                 ,No        ,35.02 ,35.76 ,33.81 ,22.74                 ,5900926       ,3271662    ,80.81                    ,145.75                ,No                ,Information Technology,--            ,35.01     ,33.40 ,600     ,5616701     ,128.42                    ,84.90                  ,188.06M        ,No                  ,-- ,--       ,--                 ,54.55          ,36.36                 ,9.09            ,--                     ,--              ,11                ,1.55              ,145.25M   ,553.10M,145.25M ,194.47M           ,0.72    ,0.72      ,0.06      ,1.37        ,-1.95     ,-0.52     ,-0.24     ,41.57                       ,26.26   ,--                ,-1.21 ,+6.80                  ,+17.91                     ,+11.51                 ,+38.29                  ,+250.10              ,0.00                 ,+108.45              ,+1.91     ,35.72        ,35.72    ,-1.41                  ,24.78     ,8.88     ,83.05                   ,-8.94                        ,-3.46   ,+0.01,+15.10                 ,+0.08                 ,+5.91                  ,+48.99                   ,+90.48               ,0.00                 ,+23.76               ,+26.35            ,31              ,35.72     ,35.72   ,34.01       ,24.78   ,-24.52               ,1.96           ,-1.22    ,+0.03,+0.80                   ,+5.32                    ,+20.33                   ,+9.69                 ,+192.48              ,0.00                 ,+10.95               ,+22.14            ,35.72      ,34.35     ,30.52    ,18.23  ,2.36         ,99.00            ,-0.40         ,2.07              ,--                   ,48.63                    ,10.73           ,--           ,25.57                ,12.31    ,32.74     ,25.84     ,23.60      ,30.41     ,24.44      ,73.25                ,62.88     ,10.42                   ,79.71,36.40               ,8.21                      ,16.03          ,24.68     ,20.53      ,30.78     ,26.96     ,23.74      ,65.19     ,65.01                ,57.04         ,89.11,2.16       ,11.94          ,17.85                     ,29.69     ,23.51      ,26.29     ,68.45                ,38.10                   ,92.45   ,22.98                  ,6.80           ,13.06                     ,25018.52   , 
SIVB  ,-3.47      ,190.19    ,462935    ,26.98    ,10.33B    ,86             ,+1.84                     ,47.02     ,192.35    ,3.30 ,-96.00      ,5.00                   ,17.46             ,21.83                  ,192.46                 ,Banks                                              ,NGM/NGS ,SVB FINANCIAL GROUP      ,Regional Banks                              ,--      ,197.19        ,190.11,100     ,826101       ,528578      ,56.04                   ,87.58                  ,No        ,197.03,197.03,190.29,97.89                 ,572216        ,523053     ,80.90                    ,88.51                 ,Yes               ,Financials            ,--            ,197.19    ,189.83,300     ,550662      ,18.37                     ,84.07                  ,161.58M        ,No                  ,C  ,***      ,B+                 ,35.29          ,41.18                 ,17.65           ,--                     ,5.88            ,17                ,2.00              ,390.27M   ,1.65B  ,390.27M ,52.36M            ,7.31    ,7.31      ,6.62      ,8.55        ,5.31      ,4.67      ,3.91      ,10.75                       ,25.37   ,652.74            ,-7.00 ,-6.75                  ,+2.46                      ,+43.22                 ,+8.36                   ,+54.90               ,+198.01              ,+73.22               ,+1.52     ,197.97       ,198.83   ,1.80                   ,181.61    ,82.90    ,95.00                   ,1.82                         ,-3.55   ,-0.16,+15.53                 ,-0.02                 ,+5.66                  ,+28.07                   ,+14.87               ,+54.50               ,+20.79               ,+11.41            ,0               ,197.97    ,198.83  ,192.57      ,181.61  ,-106.93              ,6.84           ,-6.84    ,-0.08,+3.56                   ,+4.73                    ,+2.95                    ,+15.22                ,+104.11              ,+185.20              ,+71.88               ,+0.87             ,198.83     ,198.83    ,190.27   ,165.05 ,7.20         ,87.00            ,-0.36         ,1.15              ,--                   ,26.98                    ,2.83            ,--           ,23.07                ,6.27     ,193.59    ,182.53    ,159.33     ,191.18    ,168.40     ,67.54                ,59.95     ,17.89                   ,4.00 ,198.01              ,12.78                     ,18.29          ,181.01    ,136.73     ,193.65    ,182.86    ,163.44     ,57.80     ,64.01                ,8.02          ,50.57,4.02       ,20.08          ,28.12                     ,192.46    ,168.03     ,179.87    ,64.61                ,21.01                   ,58.66   ,186.90                 ,5.61           ,28.60                     ,1467.96    , 
BWLD  ,-3.47      ,147.40    ,416104    ,29.87    ,2.66B     ,85             ,+1.59                     ,31.40     ,152.33    ,-1.39,-97.38      ,5.93                   ,-40.79            ,18.70                  ,153.55                 ,Hotels Restaurants & Leisure                       ,NGM/NGS ,BUFFALO WILD WINGS INC   ,Restaurants                                 ,--      ,152.95        ,147.35,100     ,472449       ,416656      ,88.07                   ,99.87                  ,No        ,152.70,152.95,147.45,85.65                 ,427124        ,469888     ,97.42                    ,88.55                 ,Yes               ,Consumer Discretionary,--            ,152.94    ,147.05,100     ,419511      ,74.65                     ,99.19                  ,71.33M         ,No                  ,C  ,--       ,B+                 ,26.92          ,7.69                  ,61.54           ,--                     ,3.85            ,26                ,2.46              ,94.21M    ,1.99B  ,94.21M  ,17.39M            ,5.12    ,5.12      ,4.97      ,5.76        ,4.95      ,3.79      ,3.06      ,16.90                       ,4.77    ,82.78             ,-5.54 ,-9.25                  ,-0.40                      ,-1.65                  ,-0.46                   ,-19.33               ,+77.17               ,+6.61                ,+0.79     ,154.15       ,160.80   ,22.15                  ,149.35    ,122.25   ,94.07                   ,3.73                         ,-3.62   ,-0.24,-8.35                  ,-0.02                 ,-1.52                  ,-1.07                    ,-0.94                ,+0.86                ,-8.07                ,+16.06            ,1               ,154.15    ,163.30  ,151.65      ,149.35  ,-24.80               ,5.55           ,-5.30    ,-0.16,+2.39                   ,-0.61                    ,-0.98                    ,-0.71                 ,-0.56                ,+80.26               ,-4.44                ,+8.89             ,160.80     ,175.10    ,149.35   ,140.40 ,5.90         ,11.00            ,-0.35         ,1.27              ,--                   ,29.87                    ,9.85            ,39.64        ,26.54                ,1.34     ,151.87    ,153.61    ,154.22     ,152.85    ,154.93     ,48.03                ,45.52     ,29.54                   ,2.62 ,158.68              ,-4.56                     ,-18.45         ,154.16    ,153.81     ,152.89    ,154.41    ,154.86     ,42.34     ,48.67                ,23.65         ,19.24,-0.86      ,-3.70          ,-12.46                    ,153.55    ,156.93     ,154.66    ,47.75                ,18.24                   ,17.82   ,148.42                 ,-11.65         ,6.79                      ,-2576.14   , 
JWN   ,-3.12      ,42.61     ,1673051   ,21.74    ,7.47B     ,116            ,+0.30                     ,35.58     ,44.40     ,-0.53,-96.71      ,9.82                   ,-8.41             ,16.40                  ,45.04                  ,Multiline Retail                                   ,NYSE    ,NORDSTROM INC            ,Department Stores                           ,1.48    ,43.92         ,42.61 ,300     ,2333948      ,3329146     ,71.68                   ,50.25                  ,Yes       ,43.98 ,44.08 ,42.62 ,64.80                 ,3923916       ,3511173    ,42.64                    ,47.65                 ,No                ,Consumer Discretionary,3.40          ,43.92     ,42.45 ,300     ,3899761     ,49.69                     ,42.90                  ,102.60M        ,No                  ,C  ,***      ,A-                 ,17.86          ,7.14                  ,60.71           ,10.71                  ,3.57            ,28                ,2.75              ,354.00M   ,14.76B ,354.00M ,170M              ,2.02    ,2.02      ,3.15      ,2.93        ,3.72      ,3.71      ,3.56      ,10.03                       ,2.40    ,--                ,-1.31 ,-4.26                  ,-2.49                      ,-6.23                  ,-2.16                   ,-38.06               ,-3.93                ,+25.49               ,+0.89     ,44.66        ,48.16    ,18.74                  ,43.37     ,35.01    ,90.18                   ,5.08                         ,-2.98   ,+0.06,-5.63                  ,-0.02                 ,-1.27                  ,-12.43                   ,-7.65                ,-18.49               ,-15.91               ,+40.67            ,2               ,44.83     ,49.19   ,43.66       ,43.37   ,-7.44                ,1.47           ,-1.37    ,+0.14,+0.13                   ,-1.12                    ,-2.82                    ,-0.97                 ,-22.19               ,-4.32                ,-6.22                ,+4.55             ,48.16      ,62.82     ,43.37    ,42.32  ,1.63         ,3.00             ,-0.16         ,0.93              ,--                   ,21.74                    ,11.82           ,242.87       ,15.00                ,0.51     ,44.09     ,44.69     ,50.05      ,44.58     ,47.43      ,43.18                ,44.18     ,25.55                   ,3.29 ,47.55               ,-0.26                     ,-9.17          ,45.31     ,47.85      ,44.77     ,45.80     ,47.80      ,42.57     ,45.61                ,24.91         ,12.04,-0.32      ,-2.04          ,-6.92                     ,45.04     ,49.43      ,46.23     ,44.94                ,15.36                   ,15.29   ,42.53                  ,-3.09          ,0.99                      ,-3344.04   , 
MGM   ,-3.06      ,26.59     ,14765174  ,14.36    ,15.84B    ,117            ,+2.81                     ,48.84     ,26.59     ,-0.31,-41.22      ,22.52                  ,7.29              ,21.36                  ,26.37                  ,Hotels Restaurants & Leisure                       ,NYSE    ,MGM RESORTS INTERNATIONAL,Casinos & Gaming                            ,0.44    ,27.58         ,26.58 ,700     ,10187984     ,7570094     ,144.93                  ,195.05                 ,No        ,27.43 ,27.45 ,26.59 ,73.17                 ,10654670      ,9097165    ,138.58                   ,162.31                ,No                ,Consumer Discretionary,1.60          ,27.58     ,26.34 ,7700    ,12576059    ,96.09                     ,117.41                 ,273.60M        ,No                  ,D  ,*****    ,B-                 ,66.67          ,28.57                 ,4.76            ,--                     ,--              ,21                ,1.38              ,1.24B     ,9.06B  ,1.24B   ,574.2M            ,1.92    ,1.92      ,-0.82     ,1.24        ,-0.31     ,-0.35     ,-3.62     ,9.37                        ,12.16   ,136.21            ,-0.99 ,-0.48                  ,+4.60                      ,+0.08                  ,-1.30                   ,+27.41               ,+92.08               ,+15.05               ,+1.58     ,27.60        ,29.71    ,3.17                   ,25.15     ,19.28    ,77.48                   ,-1.00                        ,-3.59   ,-0.15,-2.42                  ,+0.02                 ,+1.04                  ,+0.29                    ,-3.93                ,+4.09                ,-8.43                ,+21.81            ,3               ,27.60     ,29.97   ,26.85       ,25.15   ,-7.06                ,0.86           ,-0.84    ,-0.54,+0.75                   ,+1.21                    ,+3.93                    ,-0.36                 ,+32.21               ,+110.47              ,+10.05               ,+4.63             ,27.60      ,30.62     ,25.56    ,25.15  ,1.11         ,11.00            ,-0.25         ,0.61              ,--                   ,14.36                    ,50.22           ,129.54       ,22.16                ,1.75     ,26.24     ,27.83     ,27.74      ,26.71     ,27.35      ,63.00                ,47.82     ,27.53                   ,58.78,27.39               ,0.72                      ,-2.04          ,28.05     ,26.29      ,26.32     ,27.36     ,27.17      ,46.18     ,50.62                ,2.59          ,79.32,-0.51      ,-2.15          ,-1.01                     ,26.37     ,28.05      ,27.45     ,50.53                ,26.14                   ,79.85   ,25.34                  ,-0.01          ,-1.11                     ,10691.99   , 
