Symbol,% Chg(Open),% Total Return (YTD3),Dividend,In S&P Small Cap 600,% Vol Over Yesterday's Vol,DM (DX) 14 Day, 
CIG   ,-4.35      ,-5.59                ,0.19    ,No                  ,62.79                     ,23.95         , 
CORE  ,-4.01      ,+92.25               ,0.36    ,Yes                 ,38.64                     ,1.39          , 
M     ,-4.00      ,-43.04               ,1.51    ,No                  ,44.00                     ,3.65          , 
TGS   ,-3.91      ,+627.77              ,0.04    ,No                  ,60.44                     ,37.53         , 
SIVB  ,-3.47      ,+54.50               ,--      ,No                  ,18.37                     ,8.02          , 
HNI   ,-3.34      ,+46.45               ,1.10    ,No                  ,27.23                     ,25.20         , 
BWLD  ,-3.34      ,+0.86                ,--      ,No                  ,75.07                     ,23.65         , 
TPC   ,-3.14      ,+2.79                ,--      ,No                  ,36.54                     ,14.69         , 
JWN   ,-3.10      ,-18.49               ,1.48    ,No                  ,49.74                     ,24.91         , 
TILE  ,-2.88      ,+2.01                ,0.24    ,Yes                 ,37.87                     ,22.07         , 
SFM   ,-2.82      ,-41.79               ,--      ,No                  ,68.86                     ,59.67         , 
BURL  ,-2.77      ,+262.52              ,--      ,No                  ,59.89                     ,17.40         , 
WCG   ,-2.73      ,+126.25              ,--      ,No                  ,49.81                     ,29.14         , 
TEO   ,-2.68      ,+54.52               ,0.71    ,No                  ,122.17                    ,11.37         , 
CHFC  ,-2.65      ,+83.58               ,1.08    ,No                  ,10.09                     ,0.19          , 
BIG   ,-2.64      ,+44.80               ,1.00    ,No                  ,54.54                     ,22.39         , 
PPBI  ,-2.64      ,+136.37              ,--      ,No                  ,17.23                     ,11.63         , 
FL    ,-2.45      ,+75.24               ,1.24    ,No                  ,85.55                     ,5.24          , 
QVCA  ,-2.45      ,-19.02               ,--      ,No                  ,36.19                     ,5.27          , 
MNRO  ,-2.44      ,-6.73                ,0.68    ,Yes                 ,33.12                     ,37.73         , 
GWB   ,-2.36      ,0.00                 ,0.68    ,Yes                 ,22.17                     ,20.29         , 
STL   ,-2.33      ,+104.88              ,0.28    ,Yes                 ,20.10                     ,16.56         , 
FDC   ,-2.33      ,0.00                 ,--      ,No                  ,77.71                     ,6.50          , 
WAL   ,-2.32      ,+122.84              ,--      ,No                  ,29.63                     ,1.45          , 
CAR   ,-2.31      ,-30.31               ,--      ,No                  ,53.56                     ,18.82         , 
OCLR  ,-2.26      ,+218.67              ,--      ,No                  ,52.65                     ,15.11         , 
GVA   ,-2.20      ,+31.68               ,0.52    ,No                  ,36.41                     ,39.20         , 
IGT   ,-2.19      ,0.00                 ,0.80    ,No                  ,50.78                     ,24.32         , 
NJR   ,-2.17      ,+77.52               ,1.02    ,No                  ,13.41                     ,13.59         , 
CPN   ,-2.16      ,-46.93               ,--      ,No                  ,45.26                     ,35.64         , 
EE    ,-2.14      ,+52.87               ,1.24    ,Yes                 ,35.39                     ,23.64         , 
NCS   ,-2.13      ,-2.73                ,--      ,No                  ,20.97                     ,21.60         , 
HRB   ,-2.13      ,-10.57               ,0.88    ,No                  ,40.35                     ,45.12         , 
VWR   ,-2.11      ,0.00                 ,--      ,No                  ,54.81                     ,14.08         , 
AF    ,-2.11      ,+53.91               ,0.16    ,Yes                 ,34.99                     ,39.82         , 
CHSP  ,-2.10      ,+7.44                ,1.60    ,Yes                 ,23.82                     ,26.17         , 
LPNT  ,-2.09      ,+19.81               ,--      ,No                  ,54.97                     ,6.06          , 
DLTR  ,-2.06      ,+41.02               ,--      ,No                  ,80.15                     ,5.03          , 
CVBF  ,-2.03      ,+61.43               ,0.48    ,Yes                 ,9.18                      ,22.75         , 
MNR   ,-2.03      ,+79.41               ,0.64    ,No                  ,27.62                     ,14.23         , 
PLCE  ,-1.98      ,+137.06              ,1.60    ,Yes                 ,43.37                     ,49.43         , 
EVR   ,-1.95      ,+47.81               ,1.36    ,Yes                 ,45.76                     ,15.88         , 
AAWW  ,-1.93      ,+70.83               ,--      ,Yes                 ,35.84                     ,0.40          , 
NEP   ,-1.93      ,0.00                 ,1.41    ,No                  ,122.94                    ,53.69         , 
UBSI  ,-1.93      ,+57.21               ,1.32    ,Yes                 ,8.97                      ,38.13         , 
JLL   ,-1.91      ,-6.45                ,0.66    ,No                  ,27.41                     ,14.18         , 
AAN   ,-1.90      ,-6.50                ,0.11    ,No                  ,21.70                     ,18.31         , 
ENS   ,-1.90      ,+12.31               ,0.70    ,No                  ,16.44                     ,2.15          , 
TCBI  ,-1.85      ,+35.02               ,--      ,Yes                 ,15.52                     ,4.04          , 
XHR   ,-1.85      ,0.00                 ,1.10    ,No                  ,21.11                     ,16.55         , 
