Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
GNK   ,-14.38     ,10.78     ,237313    ,--       ,429.86M   ,58             ,+5.42                     ,44.37     ,11.36     ,0.42 ,-71.00      ,13.36                  ,14.89             ,24.02                  ,11.41                  ,Marine                                        ,NYSE    ,GENCO SHIPPING & TRADING ,Marine                               ,--      ,12.49         ,10.77 ,200     ,192469       ,195388      ,123.30                  ,121.46                 ,No        ,12.59 ,12.66 ,10.80 ,3.36                  ,151014        ,146495     ,157.15                   ,161.99                ,No                ,Industrials           ,--            ,12.49     ,10.49 ,300     ,147566      ,123.31                    ,160.82                 ,2.31M          ,No                  ,NC ,--       ,--                 ,50.00          ,--                    ,25.00           ,--                     ,25.00           ,4                 ,2.50              ,-217.16M  ,135.59M,-217.16M,34.42M            ,-29.95  ,-29.95    ,-29.61    ,-2.72       ,-219.58   ,-34.20    ,-34.73    ,--                          ,-160.16 ,--                ,-1.71  ,-0.92                  ,+9.47                      ,+4.54                  ,+23.40                  ,-86.18               ,0.00                 ,+101.81              ,+0.62     ,12.69        ,12.69    ,4.74                   ,9.85      ,3.62     ,86.64                   ,5.14                         ,-13.69  ,+0.10,+3.28                  ,-0.06                 ,+1.20                  ,+57.12                   ,+69.24               ,0.00                 ,+31.59               ,-20.33            ,1               ,12.69     ,12.69   ,11.93       ,9.61    ,-6.87                ,1.88           ,-1.81    ,+0.80,+0.64                   ,+1.08                    ,+10.64                   ,+2.37                 ,+69.44               ,0.00                 ,+153.39              ,-13.19            ,12.69      ,17.40     ,10.75    ,7.24   ,2.17         ,98.00            ,-0.29         ,-0.02             ,--                   ,--                       ,0.09            ,49.53        ,--                   ,3.17     ,11.32     ,10.31     ,8.32       ,11.21     ,9.22       ,71.42                ,54.09     ,27.57                   ,29.00,12.66               ,2.63                      ,3.58           ,9.84      ,7.10       ,11.33     ,10.31     ,9.02       ,53.11     ,59.38                ,1.48          ,69.11,0.44       ,-1.04          ,4.96                      ,11.41     ,8.93       ,10.05     ,62.12                ,26.77                   ,78.00   ,10.16                  ,-0.58          ,1.76                      ,285.29    , 
CMCM  ,-10.24     ,11.22     ,3742798   ,--       ,452.33M   ,89             ,-1.23                     ,48.49     ,11.54     ,0.66 ,-61.48      ,13.84                  ,14.75             ,26.24                  ,10.90                  ,Software                                      ,NYSE    ,CHEETAH MOBILE INC  -ADR ,Systems Software                     ,--      ,12.36         ,11.19 ,300     ,1342917      ,552733      ,278.71                  ,677.14                 ,No        ,12.50 ,12.59 ,11.22 ,9.69                  ,892438        ,605469     ,419.39                   ,618.17                ,No                ,Information Technology,--            ,12.36     ,11.00 ,900     ,830847      ,156.25                    ,450.48                 ,17.04M         ,No                  ,-- ,--       ,--                 ,28.57          ,--                    ,42.86           ,14.29                  ,14.29           ,7                 ,2.86              ,27.26M    ,586.38M,27.26M  ,36.6M             ,-0.09   ,0.20      ,0.08      ,1.45        ,0.09      ,0.01      ,-0.05     ,57.00                       ,0.76    ,272.61            ,-1.14  ,+1.21                  ,+13.38                     ,+1.63                  ,+20.23                  ,-28.54               ,0.00                 ,-7.06                ,+3.04     ,13.79        ,13.79    ,5.60                   ,9.36      ,8.77     ,86.16                   ,0.53                         ,-9.22   ,+0.14,+1.64                  ,-0.11                 ,+1.60                  ,+15.18                   ,+29.29               ,0.00                 ,-1.48                ,-2.56             ,7               ,13.79     ,13.79   ,12.05       ,9.36    ,-2.23                ,1.37           ,-1.28    ,+1.13,-0.15                   ,+1.46                    ,+14.91                   ,+2.08                 ,-22.75               ,0.00                 ,-22.16               ,-1.52             ,13.79      ,18.19     ,11.92    ,9.31   ,1.59         ,97.00            ,-0.22         ,-5.80             ,--                   ,62.73                    ,5.39            ,0.35         ,8.54                 ,0.77     ,11.95     ,10.36     ,10.52      ,11.29     ,10.62      ,67.37                ,52.46     ,23.69                   ,38.52,13.54               ,2.34                      ,2.01           ,10.20     ,10.78      ,11.28     ,10.64     ,10.73      ,54.01     ,57.68                ,8.84          ,65.20,0.53       ,1.01           ,3.03                      ,10.90     ,10.17      ,10.58     ,62.75                ,28.28                   ,80.86   ,8.26                   ,1.41           ,2.35                      ,2827.86   , 
AKS   ,-9.42      ,7.50      ,19741869  ,--       ,2.60B     ,144            ,+1.62                     ,34.71     ,8.09      ,-0.17,-96.85      ,4.55                   ,-28.73            ,16.45                  ,8.13                   ,Metals & Mining                               ,NYSE    ,AK STEEL HOLDING CORP    ,Steel                                ,--      ,8.27          ,7.49  ,15700   ,12953839     ,20073759    ,152.40                  ,98.35                  ,No        ,8.28  ,8.34  ,7.50  ,82.81                 ,15328022      ,20895341   ,128.80                   ,94.48                 ,No                ,Materials             ,--            ,8.27      ,7.46  ,16000   ,15972187    ,208.09                    ,123.60                 ,106.80M        ,Yes                 ,C  ,****     ,C                  ,14.29          ,--                    ,78.57           ,--                     ,7.14            ,14                ,2.86              ,58.20M    ,5.88B  ,58.20M  ,314.79M           ,-0.03   ,-0.03     ,-2.86     ,0.69        ,-0.65     ,-0.34     ,-9.06     ,4.00                        ,-0.13   ,692.06            ,-0.77  ,-1.18                  ,+1.67                      ,+0.5666                ,-5.77                   ,+108.79              ,+2.06                ,+94.63               ,+2.73     ,8.30         ,9.19     ,3.05                   ,7.60      ,3.31     ,95.45                   ,7.63                         ,-9.31   ,+0.01,-2.92                  ,-0.06                 ,+0.005                 ,+7.36                    ,-19.00               ,+35.78               ,-8.76                ,-9.31             ,3               ,8.65      ,11.28   ,7.99        ,7.60    ,-4.15                ,0.84           ,-0.78    ,+0.12,+0.132                  ,+0.136                   ,+0.06                    ,-0.5068               ,+99.28               ,+130.19              ,+86.77               ,+1.43             ,9.19       ,11.39     ,7.65     ,7.60   ,0.88         ,5.00             ,-0.04         ,-10.56            ,--                   ,--                       ,--              ,2002.87      ,11.96                ,0.44     ,7.98      ,8.59      ,8.06       ,8.15      ,8.14       ,51.89                ,47.19     ,29.98                   ,3.15 ,8.79                ,-0.57                     ,-3.39          ,8.93      ,6.83       ,8.07      ,8.43      ,7.94       ,43.31     ,50.46                ,28.18         ,38.15,-0.18      ,-1.78          ,-2.68                     ,8.13      ,8.70       ,8.43      ,48.51                ,16.80                   ,49.90   ,7.48                   ,-1.56          ,-1.25                     ,-53210.07 , 
HCLP  ,-8.39      ,14.48     ,2394535   ,--       ,1.33B     ,51             ,-0.84                     ,28.97     ,16.61     ,-1.07,-88.02      ,28.40                  ,1.69              ,30.85                  ,17.21                  ,Metals & Mining                               ,NYSE    ,HI-CRUSH PARTNERS LP     ,Diversified Metals & Mining          ,--      ,15.75         ,14.45 ,1600    ,1386992      ,1034228     ,172.64                  ,231.53                 ,No        ,15.80 ,15.93 ,14.50 ,34.78                 ,3154670       ,1591392    ,75.90                    ,150.47                ,No                ,Materials             ,--            ,15.75     ,13.90 ,400     ,2921189     ,196.94                    ,81.97                  ,22.10M         ,No                  ,NC ,--       ,--                 ,62.50          ,12.50                 ,25.00           ,--                     ,--              ,8                 ,1.63              ,-81.13M   ,204.43M,-81.13M ,84.2M             ,-1.64   ,-1.64     ,0.69      ,0.52        ,3.44      ,2.08      ,0.64      ,20.00                       ,-39.64  ,--                ,-1.28  ,-2.98                  ,-8.49                      ,-1.99                  ,-16.87                  ,-47.81               ,0.00                 ,+97.25               ,+1.06     ,16.64        ,23.30    ,7.38                   ,13.95     ,4.25     ,71.60                   ,14.85                        ,-8.10   ,+0.05,-5.82                  ,-0.07                 ,-2.13                  ,-11.21                   ,-20.45               ,-54.06               ,-5.75                ,-38.23            ,1               ,16.89     ,23.30   ,15.45       ,13.95   ,-9.65                ,1.45           ,-1.32    ,+0.32,-0.13                   ,-1.46                    ,-11.93                   ,-3.20                 ,+160.16              ,+8.20                ,+25.00               ,-15.26            ,23.30      ,23.30     ,13.95    ,13.95  ,2.03         ,10.00            ,-0.58         ,-0.41             ,--                   ,--                       ,3.58            ,66.05        ,30.35                ,6.49     ,15.91     ,18.75     ,18.01      ,17.02     ,17.72      ,36.02                ,43.45     ,40.06                   ,11.98,20.69               ,-5.55                     ,-4.28          ,18.94     ,16.02      ,16.62     ,18.05     ,17.39      ,38.64     ,45.74                ,50.70         ,35.50,-0.90      ,-4.53          ,-3.00                     ,17.21     ,18.24      ,18.10     ,41.88                ,13.11                   ,44.89   ,13.73                  ,-6.93          ,-3.55                     ,516.12    , 
SID   ,-8.24      ,3.23      ,2206178   ,13.03    ,4.91B     ,49             ,+2.02                     ,38.19     ,3.52      ,-0.10,-95.52      ,8.57                   ,-12.67            ,18.42                  ,3.61                   ,Metals & Mining                               ,NYSE    ,COMPANHIA SIDERURGICA NAC,Steel                                ,--      ,3.54          ,3.23  ,33400   ,2560845      ,2457585     ,86.15                   ,89.77                  ,No        ,3.52  ,3.55  ,3.24  ,12.02                 ,2349488       ,2289044    ,93.90                    ,96.38                 ,No                ,Materials             ,--            ,3.54      ,3.20  ,12400   ,2356841     ,90.18                     ,93.61                  ,8.98M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,20.00           ,60.00                  ,20.00           ,5                 ,4.00              ,484.21M   ,4.59B  ,484.21M ,1.39B             ,0.27    ,0.36      ,-0.02     ,--          ,0.10      ,-0.09     ,0.76      ,-9.06                       ,3.16    ,--                ,-0.31  ,-0.67                  ,-1.99                      ,+0.1752                ,-4.94                   ,+90.53               ,-58.88               ,+110.00              ,+2.32     ,3.55         ,4.20     ,0.69                   ,3.20      ,1.61     ,91.43                   ,8.92                         ,-8.76   ,-0.02,-0.16                  ,-0.04                 ,-0.1459                ,+5.21                    ,+9.60                ,-11.95               ,+7.08                ,+21.28            ,3               ,3.65      ,4.23    ,3.31        ,3.20    ,-1.59                ,0.32           ,-0.29    ,-0.56,+0.07                   ,-0.072                   ,-3.96                    ,-0.184                ,+57.21               ,-16.59               ,+43.73               ,+2.54             ,4.13       ,4.24      ,3.31     ,3.20   ,0.35         ,70.00            ,-0.03         ,0.56              ,--                   ,9.91                     ,8.63            ,370.98       ,--                   ,1.07     ,3.42      ,3.73      ,3.45       ,3.56      ,3.49       ,47.91                ,47.71     ,26.16                   ,4.48 ,4.09                ,-0.44                     ,0.33           ,3.66      ,3.18       ,3.52      ,3.61      ,3.43       ,44.97     ,50.36                ,27.55         ,25.24,-0.08      ,-0.75          ,0.60                      ,3.61      ,3.52       ,3.60      ,48.99                ,14.86                   ,36.03   ,3.14                   ,-0.86          ,-0.23                     ,-4620.44  , 
HTZ   ,-7.96      ,19.63     ,6763507   ,--       ,1.77B     ,268            ,-0.90                     ,37.22     ,21.33     ,-0.03,-78.35      ,39.57                  ,-18.79            ,20.15                  ,21.36                  ,Road & Rail                                   ,NYSE    ,HERTZ GLOBAL HOLDINGS INC,Trucking                             ,--      ,21.26         ,19.62 ,2000    ,2349072      ,3013592     ,287.92                  ,224.43                 ,No        ,21.33 ,21.33 ,19.65 ,88.07                 ,3135872       ,2597678    ,215.68                   ,260.37                ,No                ,Industrials           ,--            ,21.26     ,18.52 ,300     ,3276897     ,402.51                    ,206.40                 ,51.20M         ,No                  ,C  ,--       ,C                  ,20.00          ,--                    ,60.00           ,20.00                  ,--              ,10                ,2.80              ,-491.00M  ,8.80B  ,-491.00M,83.03M            ,-5.85   ,-5.85     ,3.00      ,1.20        ,-0.90     ,10.02     ,6.15      ,11.50                       ,-5.58   ,244.53            ,-1.63  ,-3.17                  ,-0.47                      ,-6.65                  ,-0.64                   ,-74.99               ,-63.71               ,-40.85               ,+1.98     ,22.02        ,24.28    ,31.81                  ,19.34     ,17.20    ,60.43                   ,10.19                        ,-7.66   ,+0.07,-2.19                  ,-0.07                 ,-0.07                  ,-23.83                   ,-1.39                ,-79.90               ,-9.77                ,-31.74            ,0               ,23.11     ,24.64   ,21.01       ,19.34   ,-1.32                ,1.70           ,-1.70    ,+0.33,-0.19                   ,-0.10                    ,-0.33                    ,-0.14                 ,-50.75               ,-74.29               ,-53.88               ,-2.30             ,24.28      ,53.14     ,20.83    ,19.34  ,2.81         ,18.00            ,-1.11         ,-0.16             ,--                   ,--                       ,--              ,982.79       ,17.79                ,0.20     ,21.41     ,21.21     ,25.73      ,21.33     ,--         ,47.78                ,--        ,34.08                   ,21.65,23.43               ,1.26                      ,-2.83          ,21.39     ,--         ,21.63     ,--        ,--         ,--        ,50.00                ,12.63         ,25.28,0.08       ,-1.31          ,-1.04                     ,21.36     ,23.66      ,--        ,50.00                ,26.44                   ,39.85   ,19.29                  ,-0.40          ,0.25                      ,-6897.45  , 
BXS   ,-7.94      ,29.00     ,1117308   ,22.22    ,2.93B     ,68             ,+0.84                     ,26.43     ,31.09     ,-0.01,-97.10      ,3.70                   ,-19.03            ,12.73                  ,31.34                  ,Banks                                         ,NYSE    ,BANCORPSOUTH INC         ,Regional Banks                       ,0.50    ,31.30         ,29.00 ,1000    ,622970       ,590687      ,179.35                  ,189.15                 ,No        ,31.50 ,31.60 ,29.05 ,68.76                 ,494059        ,500886     ,226.15                   ,223.07                ,Yes               ,Financials            ,1.60          ,31.30     ,28.90 ,500     ,490954      ,206.45                    ,227.58                 ,19.64M         ,No                  ,C  ,***      ,B                  ,9.09           ,--                    ,90.91           ,--                     ,--              ,11                ,2.82              ,132.73M   ,762.21M,132.73M ,93.73M            ,1.41    ,1.41      ,1.33      ,1.62        ,1.21      ,0.99      ,0.90      ,20.00                       ,18.22   ,182.21            ,-2.30  ,-2.75                  ,-0.14                      ,+3.25                  ,+1.44                   ,+40.80               ,+143.17              ,+31.57               ,+1.33     ,31.80        ,32.40    ,0.80                   ,30.60     ,20.19    ,96.30                   ,7.90                         ,-7.35   ,+0.20,-2.65                  ,-0.07                 ,-0.17                  ,+11.60                   ,+1.21                ,+33.18               ,+9.04                ,+7.86             ,1               ,32.00     ,32.40   ,31.25       ,30.60   ,-8.71                ,2.60           ,-2.50    ,+0.64,+0.26                   ,-0.04                    ,-0.55                    ,+0.45                 ,+54.67               ,+109.35              ,+25.67               ,+0.93             ,32.40      ,32.40     ,30.75    ,28.60  ,2.70         ,65.00            ,-0.10         ,0.95              ,--                   ,22.22                    ,2.10            ,--           ,19.33                ,3.85     ,31.16     ,30.76     ,28.51      ,31.10     ,29.44      ,49.34                ,48.74     ,34.79                   ,2.90 ,32.57               ,-0.10                     ,-2.05          ,30.87     ,26.49      ,31.29     ,30.68     ,28.97      ,43.61     ,55.54                ,41.17         ,36.15,0.19       ,-1.00          ,0.75                      ,31.34     ,29.58      ,30.45     ,54.05                ,14.50                   ,50.63   ,30.12                  ,-2.60          ,1.35                      ,-1561.99  , 
TNA   ,-7.63      ,99.25     ,5444188   ,--       ,777.56M   ,545            ,+0.92                     ,36.90     ,104.56    ,-0.63,-92.61      ,10.99                  ,-15.17            ,12.35                  ,105.86                 ,--                                            ,NYSE    ,DIREXION DAILY SM CP BULL,--                                   ,--      ,105.79        ,99.24 ,1300    ,2920973      ,3578400     ,186.38                  ,152.14                 ,No        ,107.45,107.69,99.28 ,100.00                ,2916240       ,3304449    ,186.69                   ,164.75                ,No                ,--                    ,--            ,105.79    ,98.21 ,100     ,2873842     ,187.32                    ,189.44                 ,307.12M        ,No                  ,NC ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,--        ,--     ,--      ,7.35M             ,--      ,--        ,--        ,--          ,--        ,--        ,--        ,--                          ,--      ,--                ,-6.54  ,-11.49                 ,-0.06                      ,+13.07                 ,+1.16                   ,+22.43               ,+252.16              ,+66.12               ,+3.49     ,107.53       ,113.49   ,5.80                   ,98.72     ,49.26    ,89.01                   ,5.52                         ,-6.18   ,+1.66,-5.47                  ,-0.02                 ,-1.01                  ,+14.09                   ,+4.59                ,+32.62               ,+14.22               ,0.00              ,4               ,107.99    ,113.49  ,104.92      ,98.72   ,-48.95               ,8.44           ,-8.20    ,+1.57,+0.96                   ,-0.07                    ,-0.94                    ,+1.22                 ,+96.41               ,+145.44              ,+36.40               ,0.00              ,113.49     ,113.49    ,98.72    ,96.72  ,9.48         ,56.00            ,-1.04         ,--                ,--                   ,--                       ,--              ,--           ,--                   ,--       ,103.20    ,104.50    ,94.50      ,104.84    ,98.27      ,51.12                ,50.42     ,31.36                   ,7.39 ,113.24              ,-3.93                     ,-5.71          ,104.31    ,85.59      ,104.73    ,103.68    ,96.09      ,47.16     ,53.78                ,23.70         ,37.65,-0.20      ,0.86           ,-1.20                     ,105.86    ,98.18      ,102.73    ,52.42                ,19.34                   ,47.19   ,98.47                  ,-12.88         ,6.27                      ,-6711.88  , 
GWB   ,-7.56      ,40.97     ,366003    ,19.79    ,2.58B     ,128            ,0.00                      ,27.54     ,43.91     ,0.15 ,-90.80      ,12.30                  ,3.80              ,22.35                  ,43.99                  ,Banks                                         ,NYSE    ,GREAT WESTERN BANCORP INC,Regional Banks                       ,0.68    ,43.98         ,40.96 ,200     ,373133       ,346800      ,98.09                   ,105.54                 ,No        ,44.32 ,44.32 ,40.98 ,99.83                 ,370076        ,314013     ,98.90                    ,116.56                ,No                ,Financials            ,1.50          ,43.98     ,40.50 ,200     ,371572      ,118.45                    ,98.50                  ,16.71M         ,Yes                 ,D  ,--       ,--                 ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,121.25M   ,438.24M,121.25M ,58.76M            ,2.22    ,2.14      ,1.90      ,2.54        ,1.81      ,1.66      ,1.26      ,8.30                        ,31.27   ,247.29            ,-3.01  ,-3.51                  ,-0.02                      ,+4.78                  ,+1.41                   ,+109.43              ,0.00                 ,+27.34               ,+1.74     ,45.10        ,45.61    ,1.29                   ,41.72     ,25.87    ,87.70                   ,8.32                         ,-6.84   ,+0.34,-3.03                  ,-0.08                 ,+0.09                  ,+12.18                   ,+1.30                ,0.00                 ,+7.28                ,+8.10             ,0               ,45.60     ,45.61   ,43.92       ,41.65   ,-14.63               ,3.35           ,-3.35    ,+0.77,0.00                    ,-0.01                    ,+0.20                    ,+0.61                 ,+67.88               ,0.00                 ,+25.98               ,+1.19             ,45.61      ,45.61     ,43.46    ,41.23  ,3.82         ,67.00            ,-0.47         ,0.85              ,--                   ,20.55                    ,2.83            ,--           ,17.34                ,5.90     ,44.24     ,43.29     ,39.94      ,43.86     ,41.22      ,47.42                ,49.43     ,32.19                   ,9.20 ,46.19               ,1.88                      ,-2.44          ,43.34     ,37.08      ,44.38     ,43.11     ,40.49      ,44.34     ,55.89                ,27.01         ,42.08,0.41       ,-1.18          ,0.03                      ,43.99     ,41.25      ,42.75     ,54.14                ,18.50                   ,62.68   ,41.78                  ,-1.42          ,1.53                      ,228.33    , 
WAL   ,-7.43      ,47.33     ,1904477   ,20.32    ,5.35B     ,215            ,+0.53                     ,25.87     ,50.97     ,-0.18,-92.28      ,12.02                  ,-23.81            ,13.04                  ,51.52                  ,Banks                                         ,NYSE    ,WESTERN ALLIANCE BANCORP ,Regional Banks                       ,--      ,50.80         ,47.32 ,300     ,688416       ,665094      ,276.65                  ,286.35                 ,No        ,51.13 ,51.21 ,47.34 ,85.34                 ,519769        ,572385     ,366.41                   ,332.73                ,No                ,Financials            ,--            ,50.80     ,46.80 ,100     ,512637      ,300.18                    ,371.51                 ,35.45M         ,No                  ,C  ,--       ,B-                 ,44.44          ,44.44                 ,11.11           ,--                     ,--              ,9                 ,1.67              ,259.80M   ,743.42M,259.80M ,105.33M           ,2.50    ,2.50      ,2.03      ,2.97        ,1.68      ,1.31      ,0.83      ,10.67                       ,37.54   ,444.53            ,-3.47  ,-5.97                  ,-1.40                      ,+5.56                  ,+0.71                   ,+72.10               ,+481.12              ,+36.98               ,+1.58     ,52.29        ,53.84    ,2.63                   ,50.36     ,29.72    ,87.98                   ,8.48                         ,-6.83   ,+0.33,-2.82                  ,-0.09                 ,-1.06                  ,+12.28                   ,+4.29                ,+122.84              ,+10.53               ,+14.92            ,1               ,52.29     ,53.84   ,50.75       ,50.36   ,-17.08               ,3.88           ,-3.80    ,+0.65,+0.27                   ,-0.72                    ,-2.04                    ,+0.36                 ,+68.48               ,+263.45              ,+35.11               ,+1.65             ,53.84      ,53.84     ,50.75    ,47.15  ,4.41         ,66.00            ,-0.53         ,0.87              ,--                   ,20.32                    ,3.32            ,--           ,17.12                ,7.20     ,50.98     ,50.48     ,46.19      ,51.06     ,47.76      ,43.51                ,49.22     ,35.51                   ,7.72 ,53.73               ,-1.61                     ,-1.87          ,50.28     ,41.79      ,51.34     ,50.26     ,46.81      ,43.53     ,55.38                ,39.96         ,22.59,0.23       ,-0.50          ,1.56                      ,51.52     ,47.85      ,49.79     ,52.64                ,15.23                   ,28.83   ,49.30                  ,-5.41          ,2.58                      ,-2004.44  , 
