Symbol,% Chg(Open),Last Trade,Volume     ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                      ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
SID   ,-8.38      ,3.225     ,2223568    ,13.03    ,4.91B     ,49             ,+2.05                     ,38.06     ,3.52      ,-0.10,-96.27      ,7.14                   ,-12.88            ,18.42                  ,3.61                   ,Metals & Mining                         ,NYSE    ,COMPANHIA SIDERURGICA NAC,Steel                             ,--      ,3.54          ,3.22  ,17900   ,2560845      ,2457585     ,86.83                   ,90.48                  ,No        ,3.52  ,3.55  ,3.23  ,12.02                 ,2349488       ,2289044    ,94.64                    ,97.14                 ,No                ,Materials             ,--            ,3.54      ,3.20  ,39800   ,2356841     ,90.90                     ,94.35                  ,8.98M          ,No                  ,-- ,--       ,--                 ,--             ,--                    ,20.00           ,60.00                  ,20.00           ,5                 ,4.00              ,484.21M   ,4.59B  ,484.21M ,1.39B             ,0.27    ,0.36      ,-0.02     ,--          ,0.10      ,-0.09     ,0.76      ,-9.06                       ,3.16    ,--                ,-0.315,-0.675                 ,-1.99                      ,+0.1752                ,-4.94                   ,+90.53               ,-58.88               ,+110.00              ,+2.32     ,3.55         ,4.20     ,0.69                   ,3.20      ,1.61     ,92.86                   ,9.07                         ,-8.90   ,-0.02,-0.165                 ,-0.05                 ,-0.1459                ,+5.21                    ,+9.60                ,-11.95               ,+7.08                ,+21.28            ,3               ,3.65      ,4.23    ,3.31        ,3.20    ,-1.59                ,0.325          ,-0.295   ,-0.56,+0.071                  ,-0.0718                  ,-3.96                    ,-0.184                ,+57.21               ,-16.59               ,+43.73               ,+2.54             ,4.13       ,4.24      ,3.31     ,3.20   ,0.35         ,70.00            ,-0.025        ,0.56              ,--                   ,9.91                     ,8.63            ,370.98       ,--                   ,1.07     ,3.41      ,3.73      ,3.45       ,3.56      ,3.49       ,47.91                ,47.67     ,26.16                   ,3.73 ,4.09                ,-0.44                     ,0.33           ,3.66      ,3.18       ,3.52      ,3.61      ,3.43       ,44.91     ,50.36                ,27.55         ,24.99,-0.08      ,-0.76          ,0.60                      ,3.61      ,3.52       ,3.60      ,48.99                ,14.86                   ,35.94   ,3.14                   ,-0.87          ,-0.23                     ,-4698.38   , 
CAR   ,-7.96      ,29.71     ,4525682    ,18.30    ,2.75B     ,243            ,-1.54                     ,28.96     ,32.88     ,-1.08,-87.48      ,21.88                  ,-32.02            ,15.99                  ,33.06                  ,Road & Rail                             ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                          ,--      ,32.03         ,29.70 ,300     ,1706843      ,2106735     ,265.15                  ,214.82                 ,No        ,32.28 ,32.28 ,29.72 ,82.05                 ,1878560       ,1904581    ,240.91                   ,237.62                ,Yes               ,Industrials           ,--            ,32.03     ,28.99 ,300     ,2475685     ,250.45                    ,182.81                 ,56.32M         ,No                  ,C  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,85.99M            ,1.75    ,1.75      ,2.98      ,3.42        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-2.32 ,-5.33                  ,-3.12                      ,-3.96                  ,-10.22                  ,-43.94               ,+128.91              ,+15.27               ,+2.05     ,32.75        ,36.74    ,9.25                   ,31.77     ,21.85    ,78.12                   ,10.67                        ,-7.24   ,+0.25,-7.61                  ,-0.09                 ,-1.40                  ,-11.02                   ,-12.68               ,-30.31               ,-9.69                ,+49.39            ,0               ,34.61     ,41.00   ,31.77       ,31.77   ,-7.14                ,2.57           ,-2.57    ,+0.78,-0.50                   ,-1.03                    ,-4.20                    ,-3.65                 ,+14.34               ,+16.37               ,-4.29                ,+0.92             ,35.76      ,41.53     ,31.77    ,31.77  ,3.29         ,7.00             ,-0.72         ,0.78              ,--                   ,18.30                    ,--              ,5486.88      ,9.36                 ,0.32     ,32.57     ,35.47     ,35.87      ,33.28     ,35.45      ,38.68                ,42.99     ,43.35                   ,12.52,35.38               ,-1.73                     ,-9.23          ,35.74     ,35.67      ,32.88     ,34.82     ,35.45      ,39.23     ,45.52                ,37.86         ,12.11,-0.97      ,-6.96          ,-7.44                     ,33.06     ,36.50      ,35.07     ,43.13                ,19.54                   ,27.75   ,30.74                  ,-4.81          ,-4.06                     ,-8866.22   , 
BXS   ,-7.86      ,29.03     ,1126101    ,22.22    ,2.93B     ,68             ,+0.84                     ,26.43     ,31.09     ,-0.01,-97.10      ,4.63                   ,-19.10            ,12.73                  ,31.34                  ,Banks                                   ,NYSE    ,BANCORPSOUTH INC         ,Regional Banks                    ,0.50    ,31.30         ,29.00 ,1000    ,622970       ,590687      ,180.76                  ,190.64                 ,No        ,31.50 ,31.60 ,29.05 ,68.76                 ,494059        ,500886     ,227.93                   ,224.82                ,Yes               ,Financials            ,1.60          ,31.30     ,28.90 ,700     ,490954      ,208.08                    ,229.37                 ,19.64M         ,No                  ,C  ,***      ,B                  ,9.09           ,--                    ,90.91           ,--                     ,--              ,11                ,2.82              ,132.73M   ,762.21M,132.73M ,93.73M            ,1.41    ,1.41      ,1.33      ,1.62        ,1.21      ,0.99      ,0.90      ,20.00                       ,18.22   ,182.21            ,-2.28 ,-2.72                  ,-0.14                      ,+3.25                  ,+1.44                   ,+40.80               ,+143.17              ,+31.57               ,+1.33     ,31.80        ,32.40    ,0.80                   ,30.60     ,20.19    ,95.37                   ,7.80                         ,-7.27   ,+0.20,-2.62                  ,-0.07                 ,-0.17                  ,+11.60                   ,+1.21                ,+33.18               ,+9.04                ,+7.86             ,1               ,32.00     ,32.40   ,31.25       ,30.60   ,-8.71                ,2.58           ,-2.48    ,+0.64,+0.26                   ,-0.04                    ,-0.55                    ,+0.45                 ,+54.67               ,+109.35              ,+25.67               ,+0.93             ,32.40      ,32.40     ,30.75    ,28.60  ,2.70         ,65.00            ,-0.13         ,0.95              ,--                   ,22.22                    ,2.10            ,--           ,19.33                ,3.85     ,31.16     ,30.76     ,28.51      ,31.10     ,29.44      ,49.34                ,48.74     ,34.79                   ,2.90 ,32.57               ,-0.10                     ,-2.05          ,30.87     ,26.49      ,31.29     ,30.68     ,28.97      ,43.61     ,55.54                ,41.17         ,36.15,0.19       ,-1.00          ,0.75                      ,31.34     ,29.58      ,30.45     ,54.05                ,14.50                   ,50.63   ,30.12                  ,-2.60          ,1.35                      ,-1569.94   , 
GWB   ,-7.63      ,40.94     ,372343     ,19.79    ,2.58B     ,128            ,+0.02                     ,27.42     ,43.91     ,0.15 ,-91.39      ,11.52                  ,3.62              ,22.35                  ,43.99                  ,Banks                                   ,NYSE    ,GREAT WESTERN BANCORP INC,Regional Banks                    ,0.68    ,43.98         ,40.90 ,300     ,373133       ,346800      ,99.79                   ,107.37                 ,No        ,44.32 ,44.32 ,40.94 ,99.83                 ,370076        ,314013     ,100.61                   ,118.58                ,No                ,Financials            ,1.50          ,43.98     ,40.50 ,100     ,371572      ,120.50                    ,100.21                 ,16.71M         ,Yes                 ,D  ,--       ,--                 ,42.86          ,42.86                 ,14.29           ,--                     ,--              ,7                 ,1.71              ,121.25M   ,438.24M,121.25M ,58.76M            ,2.22    ,2.14      ,1.90      ,2.54        ,1.81      ,1.66      ,1.26      ,8.30                        ,31.27   ,247.29            ,-3.04 ,-3.54                  ,-0.01                      ,+4.78                  ,+1.41                   ,+109.43              ,0.00                 ,+27.34               ,+1.74     ,45.10        ,45.61    ,1.29                   ,41.72     ,25.87    ,88.48                   ,8.39                         ,-6.91   ,+0.34,-3.06                  ,-0.08                 ,+0.09                  ,+12.18                   ,+1.30                ,0.00                 ,+7.28                ,+8.10             ,0               ,45.60     ,45.61   ,43.92       ,41.65   ,-14.63               ,3.38           ,-3.38    ,+0.77,+0.01                   ,-0.01                    ,+0.20                    ,+0.61                 ,+67.88               ,0.00                 ,+25.98               ,+1.19             ,45.61      ,45.61     ,43.46    ,41.23  ,3.82         ,67.00            ,-0.44         ,0.85              ,--                   ,20.55                    ,2.83            ,--           ,17.34                ,5.90     ,44.24     ,43.29     ,39.94      ,43.86     ,41.22      ,47.42                ,49.37     ,32.19                   ,8.61 ,46.20               ,1.88                      ,-2.47          ,43.34     ,37.08      ,44.38     ,43.11     ,40.49      ,44.26     ,55.89                ,27.01         ,41.88,0.41       ,-1.21          ,0.03                      ,43.99     ,41.25      ,42.75     ,54.14                ,18.50                   ,62.61   ,41.77                  ,-1.45          ,1.53                      ,217.70     , 
PACW  ,-7.52      ,51.00     ,766729     ,18.92    ,6.57B     ,195            ,+0.72                     ,22.95     ,54.97     ,-0.39,-97.32      ,4.16                   ,2.70              ,12.54                  ,55.51                  ,Banks                                   ,NSC     ,PACWEST BANCORP          ,Regional Banks                    ,2.00    ,54.80         ,50.99 ,100     ,1163486      ,743444      ,65.90                   ,103.13                 ,No        ,55.15 ,55.15 ,51.02 ,91.81                 ,809223        ,661521     ,94.75                    ,115.90                ,Yes               ,Financials            ,3.60          ,54.80     ,50.82 ,300     ,778790      ,156.39                    ,98.45                  ,64.60M         ,No                  ,D  ,--       ,B                  ,20.00          ,40.00                 ,40.00           ,--                     ,--              ,10                ,2.20              ,352.17M   ,1.13B  ,352.17M ,119.87M           ,2.90    ,2.90      ,2.79      ,3.02        ,1.92      ,1.08      ,1.54      ,10.00                       ,34.97   ,603.42            ,-3.80 ,-5.37                  ,-1.27                      ,+4.35                  ,-0.98                   ,+30.01               ,+178.70              ,+36.41               ,+1.50     ,55.68        ,57.53    ,2.38                   ,54.25     ,34.37    ,95.84                   ,8.75                         ,-6.93   ,+0.35,-4.33                  ,-0.08                 ,-0.94                  ,+8.61                    ,+1.56                ,+45.72               ,+8.47                ,+7.93             ,0               ,57.08     ,57.53   ,54.75       ,54.25   ,-16.45               ,4.15           ,-4.15    ,+0.64,+0.39                   ,-0.71                    ,-1.68                    ,-0.54                 ,+61.25               ,+130.30              ,+29.70               ,+1.63             ,57.53      ,57.53     ,54.25    ,52.29  ,4.33         ,50.00            ,-0.18         ,0.81              ,--                   ,18.92                    ,2.90            ,--           ,18.14                ,5.83     ,54.94     ,55.24     ,51.32      ,55.13     ,52.67      ,41.77                ,47.29     ,31.55                   ,2.68 ,57.87               ,-0.78                     ,-3.90          ,55.21     ,47.24      ,55.46     ,54.79     ,51.81      ,41.17     ,53.59                ,35.67         ,22.34,--         ,-2.49          ,-0.38                     ,55.51     ,53.04      ,54.43     ,50.64                ,14.96                   ,30.99   ,53.14                  ,-4.58          ,1.33                      ,328.82     , 
WAL   ,-7.47      ,47.31     ,1908522    ,20.32    ,5.35B     ,215            ,+0.55                     ,25.77     ,50.97     ,-0.18,-92.72      ,11.56                  ,-24.15            ,13.04                  ,51.52                  ,Banks                                   ,NYSE    ,WESTERN ALLIANCE BANCORP ,Regional Banks                    ,--      ,50.80         ,47.30 ,200     ,688416       ,665094      ,277.23                  ,286.96                 ,No        ,51.13 ,51.21 ,47.34 ,85.34                 ,519769        ,572385     ,367.19                   ,333.43                ,No                ,Financials            ,--            ,50.80     ,46.80 ,300     ,512637      ,300.82                    ,372.30                 ,35.45M         ,No                  ,C  ,--       ,B-                 ,44.44          ,44.44                 ,11.11           ,--                     ,--              ,9                 ,1.67              ,259.80M   ,743.42M,259.80M ,105.33M           ,2.50    ,2.50      ,2.03      ,2.97        ,1.68      ,1.31      ,0.83      ,10.67                       ,37.54   ,444.53            ,-3.49 ,-5.99                  ,-1.39                      ,+5.56                  ,+0.71                   ,+72.10               ,+481.12              ,+36.98               ,+1.58     ,52.29        ,53.84    ,2.63                   ,50.36     ,29.72    ,88.44                   ,8.52                         ,-6.87   ,+0.33,-2.84                  ,-0.09                 ,-1.06                  ,+12.28                   ,+4.29                ,+122.84              ,+10.53               ,+14.92            ,1               ,52.29     ,53.84   ,50.75       ,50.36   ,-17.08               ,3.90           ,-3.82    ,+0.65,+0.28                   ,-0.72                    ,-2.04                    ,+0.36                 ,+68.48               ,+263.45              ,+35.11               ,+1.65             ,53.84      ,53.84     ,50.75    ,47.15  ,4.41         ,66.00            ,-0.51         ,0.87              ,--                   ,20.32                    ,3.32            ,--           ,17.12                ,7.20     ,50.98     ,50.48     ,46.19      ,51.05     ,47.76      ,43.51                ,49.17     ,35.51                   ,7.28 ,53.74               ,-1.61                     ,-1.90          ,50.28     ,41.79      ,51.34     ,50.26     ,46.81      ,43.46     ,55.38                ,39.96         ,22.45,0.23       ,-0.53          ,1.56                      ,51.52     ,47.85      ,49.79     ,52.64                ,15.23                   ,28.78   ,49.29                  ,-5.44          ,2.58                      ,-2033.58   , 
CVBF  ,-7.28      ,21.65     ,448532     ,24.66    ,2.55B     ,102            ,+0.38                     ,26.10     ,23.20     ,-0.08,-95.68      ,7.86                   ,-8.12             ,20.34                  ,23.47                  ,Banks                                   ,NGM/NGS ,CVB FINANCIAL CORP       ,Regional Banks                    ,0.48    ,23.18         ,21.64 ,300     ,612335       ,493086      ,73.25                   ,90.96                  ,No        ,23.35 ,23.35 ,21.65 ,69.07                 ,435929        ,423068     ,102.89                   ,106.02                ,No                ,Financials            ,2.10          ,23.18     ,21.51 ,100     ,465058      ,165.26                    ,96.45                  ,14.42M         ,Yes                 ,D  ,--       ,B+                 ,--             ,--                    ,100.00          ,--                     ,--              ,5                 ,3.00              ,101.43M   ,298.04M,101.43M ,109.98M           ,0.94    ,0.94      ,0.93      ,1.04        ,0.98      ,0.91      ,0.74      ,9.50                        ,34.21   ,--                ,-1.53 ,-2.55                  ,-1.24                      ,+2.38                  ,+0.41                   ,+56.68               ,+139.42              ,+38.03               ,+1.48     ,23.71        ,24.63    ,1.28                   ,22.79     ,15.25    ,92.14                   ,7.93                         ,-6.60   ,+0.17,-1.64                  ,-0.07                 ,-0.39                  ,+11.43                   ,+1.61                ,+61.43               ,+14.93               ,+10.60            ,0               ,23.85     ,24.63   ,23.15       ,22.79   ,-6.26                ,1.70           ,-1.70    ,+0.73,+0.09                   ,-0.29                    ,-1.64                    ,+0.09                 ,+43.79               ,+135.24              ,+35.12               ,+1.29             ,24.63      ,24.63     ,22.94    ,21.87  ,1.85         ,64.00            ,-0.15         ,1.05              ,--                   ,24.66                    ,2.81            ,--           ,22.33                ,8.55     ,23.15     ,23.06     ,21.20      ,23.23     ,21.93      ,44.77                ,48.88     ,30.15                   ,4.32 ,24.56               ,-0.31                     ,-1.34          ,23.05     ,19.49      ,23.37     ,22.94     ,21.54      ,43.36     ,54.98                ,31.39         ,26.08,0.08       ,-1.02          ,0.31                      ,23.47     ,21.96      ,22.75     ,52.57                ,15.74                   ,35.50   ,22.38                  ,-2.01          ,0.39                      ,-510.23    , 
TCB   ,-7.18      ,16.04     ,2066147    ,14.91    ,2.93B     ,144            ,+0.30                     ,21.46     ,17.27     ,-0.23,-99.56      ,1.56                   ,-14.37            ,10.85                  ,17.42                  ,Banks                                   ,NYSE    ,TCF FINANCIAL CORP       ,Regional Banks                    ,0.30    ,17.15         ,16.03 ,700     ,3228077      ,1497337     ,64.01                   ,137.99                 ,No        ,17.28 ,17.30 ,16.04 ,85.23                 ,1797876       ,1785478    ,114.92                   ,115.72                ,Yes               ,Financials            ,1.70          ,17.14     ,16.02 ,1500    ,1775494     ,128.65                    ,116.37                 ,56.19M         ,No                  ,C  ,***      ,B                  ,6.67           ,13.33                 ,73.33           ,6.67                   ,--              ,15                ,2.80              ,221.72M   ,1.40B  ,221.72M ,170.81M           ,1.15    ,1.15      ,1.07      ,1.22        ,0.94      ,0.82      ,-1.37     ,8.25                        ,17.00   ,208.96            ,-1.10 ,-1.97                  ,-1.62                      ,+0.30                  ,-4.83                   ,+11.91               ,+54.44               ,+22.86               ,+1.09     ,17.37        ,18.27    ,2.73                   ,17.14     ,11.62    ,98.44                   ,8.38                         ,-6.42   ,+0.14,-3.81                  ,-0.08                 ,-0.39                  ,+1.76                    ,-12.08               ,+11.83               ,+0.72                ,+10.58            ,1               ,17.72     ,20.03   ,17.14       ,17.14   ,-4.40                ,1.26           ,-1.24    ,+0.82,+0.05                   ,-0.28                    ,-2.21                    ,-0.87                 ,+44.80               ,+24.96               ,+19.86               ,+1.05             ,18.27      ,20.03     ,17.14    ,16.78  ,1.28         ,12.00            ,-0.02         ,0.64              ,--                   ,14.91                    ,1.49            ,--           ,14.03                ,2.10     ,17.26     ,17.84     ,17.10      ,17.35     ,17.25      ,38.04                ,44.39     ,36.71                   ,0.44 ,18.17               ,-0.50                     ,-3.79          ,18.15     ,15.73      ,17.38     ,17.61     ,17.04      ,38.27     ,49.26                ,35.25         ,7.86 ,-0.15      ,-2.40          ,-2.50                     ,17.42     ,17.62      ,17.59     ,45.62                ,17.57                   ,15.38   ,16.67                  ,-1.66          ,-1.39                     ,-3915.98   , 
LTXB  ,-7.15      ,39.23     ,266290     ,20.07    ,2.01B     ,68             ,+1.07                     ,28.16     ,41.77     ,-0.29,-97.94      ,3.82                   ,-2.34             ,12.47                  ,42.29                  ,Banks                                   ,NASDAQ  ,LEGACY TEX FINANCIAL GRP ,Regional Banks                    ,0.60    ,41.94         ,39.16 ,100     ,231567       ,261437      ,114.99                  ,101.86                 ,No        ,42.25 ,42.25 ,39.23 ,87.38                 ,194858        ,220176     ,136.66                   ,120.94                ,No                ,Financials            ,1.40          ,41.94     ,39.11 ,300     ,198500      ,158.68                    ,134.15                 ,9.72M          ,Yes                 ,C  ,--       ,B+                 ,50.00          ,25.00                 ,25.00           ,--                     ,--              ,8                 ,1.75              ,97.82M    ,369.28M,97.82M  ,47.89M            ,2.09    ,2.09      ,1.53      ,2.40        ,0.81      ,0.83      ,0.98      ,12.00                       ,31.83   ,348.02            ,-2.71 ,-4.24                  ,-0.82                      ,+3.42                  ,-0.39                   ,+84.12               ,+202.88              ,+60.33               ,+1.06     ,42.24        ,44.94    ,2.69                   ,40.76     ,17.83    ,96.18                   ,6.94                         ,-6.46   ,+0.31,-4.25                  ,-0.06                 ,-0.58                  ,+8.89                    ,-2.24                ,+70.32               ,+8.89                ,+11.58            ,0               ,42.61     ,44.94   ,41.80       ,40.76   ,-21.28               ,3.02           ,-3.02    ,+0.74,+0.44                   ,-0.35                    ,-1.37                    ,-0.17                 ,+116.19              ,+120.57              ,+41.58               ,+1.22             ,44.94      ,44.94     ,41.16    ,38.33  ,3.14         ,38.00            ,-0.12         ,0.86              ,--                   ,20.07                    ,2.76            ,--           ,17.48                ,5.44     ,41.54     ,41.97     ,39.31      ,41.88     ,39.94      ,47.29                ,48.72     ,28.15                   ,2.06 ,44.41               ,-0.59                     ,-3.69          ,42.17     ,35.14      ,41.95     ,41.70     ,39.12      ,43.84     ,53.56                ,36.47         ,22.86,-0.06      ,-1.87          ,-1.02                     ,42.29     ,40.66      ,41.44     ,51.24                ,13.10                   ,29.55   ,40.17                  ,-4.37          ,0.91                      ,-59.73     , 
SIVB  ,-7.15      ,176.41    ,966882     ,25.80    ,9.88B     ,197            ,-0.60                     ,28.38     ,190.19    ,1.64 ,-94.56      ,8.55                   ,2.93              ,22.31                  ,191.84                 ,Banks                                   ,NGM/NGS ,SVB FINANCIAL GROUP      ,Regional Banks                    ,--      ,188.61        ,176.31,100     ,890583       ,532299      ,108.57                  ,181.64                 ,No        ,189.99,189.99,176.51,97.85                 ,593975        ,527150     ,162.78                   ,183.42                ,Yes               ,Financials            ,--            ,188.61    ,175.14,100     ,570606      ,130.63                    ,169.45                 ,173.32M        ,No                  ,C  ,***      ,B+                 ,35.29          ,41.18                 ,17.65           ,--                     ,5.88            ,17                ,2.00              ,390.27M   ,1.65B  ,390.27M ,52.36M            ,7.31    ,7.31      ,6.62      ,8.57        ,5.31      ,4.67      ,3.91      ,10.75                       ,25.37   ,652.74            ,-12.20,-20.53                 ,-1.69                      ,+34.03                 ,+3.58                   ,+54.90               ,+198.01              ,+73.22               ,+1.52     ,197.03       ,198.83   ,8.84                   ,184.49    ,82.90    ,91.45                   ,9.17                         ,-6.47   ,+1.38,+1.75                  ,-0.09                 ,-3.05                  ,+22.01                   ,+9.87                ,+54.50               ,+20.79               ,+11.41            ,0               ,197.97    ,198.83  ,188.43      ,181.61  ,-92.24               ,13.58          ,-13.58   ,+0.73,-1.15                   ,-3.23                    ,-1.59                    ,+6.52                 ,+104.11              ,+185.20              ,+71.88               ,+0.87             ,198.83     ,198.83    ,188.43   ,165.05 ,14.85        ,88.00            ,-1.27         ,1.10              ,--                   ,25.80                    ,2.71            ,--           ,22.01                ,6.00     ,191.76    ,182.47    ,159.89     ,189.64    ,168.53     ,44.01                ,53.19     ,33.43                   ,5.44 ,200.62              ,4.03                      ,4.10           ,181.05    ,137.07     ,192.58    ,182.55    ,163.63     ,47.62     ,59.11                ,33.90         ,30.30,3.52       ,8.42           ,16.71                     ,191.84    ,168.54     ,179.71    ,56.46                ,16.50                   ,48.56   ,183.06                 ,-10.71         ,18.50                     ,260.64     , 
