Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                ,Exchange,Description              ,Sub-Industry                  ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin   ,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SBLK  ,-14.78     ,9.80      ,783726    ,--       ,638.09M   ,107            ,+5.59                     ,47.61     ,10.16     ,0.53 ,-64.75      ,1.16                   ,4.54              ,25.78                  ,9.99                   ,Marine                                  ,NASDAQ  ,STAR BULK CARRIERS CORP  ,Marine                        ,--      ,11.38         ,9.79  ,300     ,518800       ,439874      ,151.07                  ,178.17                 ,No        ,11.50 ,11.50 ,9.81  ,10.70                 ,669956        ,591429     ,116.98                   ,132.51                ,No                ,Industrials           ,--            ,11.38     ,9.78  ,100     ,632155      ,171.69                    ,123.98                 ,5.69M          ,No                  ,NC ,--       ,--                 ,37.50          ,12.50                 ,37.50           ,--                     ,12.50           ,8                 ,2.38              ,-153.84M  ,222.11M,-153.84M,56.07M            ,-3.23   ,-3.23     ,-11.71    ,-1.10       ,-1.00     ,0.65      ,--        ,--                          ,-69.27     ,--                ,-1.58  ,+0.28                  ,+13.91                     ,+4.9246                ,+30.07                  ,-28.39               ,-81.15               ,+131.59              ,+2.79     ,11.60        ,11.60    ,-0.36                  ,8.69      ,2.61     ,98.84                   ,3.97                         ,-13.88  ,+0.12,+4.56                  ,-0.01                 ,+1.5755                ,+76.29                   ,+122.70              ,-83.55               ,+81.24               ,-14.16            ,0               ,11.60     ,11.60   ,11.02       ,8.10    ,-7.17                ,1.70           ,-1.70    ,+1.05,+0.602                  ,+1.3895                  ,+16.07                   ,+2.6308               ,+195.64              ,-55.44               ,+123.63              ,-7.37             ,11.60      ,11.14     ,9.27     ,5.21   ,1.72         ,100.00           ,-0.02         ,-0.15             ,--                   ,--                       ,0.70            ,91.08        ,--                   ,2.87     ,10.18     ,8.99      ,6.66       ,9.98      ,7.66       ,70.01                ,57.30     ,23.26                   ,35.25,11.37               ,3.12                      ,5.02           ,8.40      ,5.60       ,10.19     ,8.92      ,7.32       ,55.68     ,64.12                ,6.84          ,75.66,0.51       ,0.58           ,6.58                      ,9.99      ,7.06       ,8.61      ,65.45                ,26.67                   ,83.88   ,8.61                   ,0.50           ,2.32                      ,379.08    , 
QTNA  ,-14.65     ,21.03     ,685164    ,--       ,805.73M   ,122            ,+4.97                     ,41.93     ,22.33     ,--   ,-87.90      ,14.65                  ,0.26              ,28.29                  ,22.02                  ,Communications Equipment                ,NASDAQ  ,QUANTENNA COMMUNICATIONS ,Communications Equipment      ,--      ,24.36         ,21.01 ,100     ,430811       ,280250      ,159.04                  ,244.48                 ,No        ,24.64 ,24.64 ,21.09 ,--                    ,221911        ,247143     ,308.76                   ,277.23                ,No                ,Information Technology,--            ,24.36     ,20.41 ,200     ,224967      ,334.68                    ,304.56                 ,10.31M         ,No                  ,F  ,--       ,--                 ,50.00          ,50.00                 ,--              ,--                     ,--              ,6                 ,1.50              ,-1.90M    ,129.07M,-1.90M  ,33.08M            ,-0.30   ,-0.30     ,-9.16     ,0.25        ,-20.72    ,--        ,--        ,22.50                       ,-1.47      ,397.14            ,-3.33  ,-0.13                  ,+10.65                     ,+4.96                  ,+16.80                  ,0.00                 ,0.00                 ,0.00                 ,0.00      ,24.67        ,25.45    ,-0.50                  ,20.65     ,13.75    ,85.35                   ,5.29                         ,-13.67  ,+0.28,+2.57                  ,-0.04                 ,+2.34                  ,+25.54                   ,+34.36               ,0.00                 ,+10.27               ,+14.08            ,0               ,25.45     ,25.45   ,24.06       ,20.25   ,-6.66                ,3.61           ,-3.61    ,+1.15,+1.15                   ,+2.34                    ,+10.64                   ,+3.50                 ,0.00                 ,0.00                 ,0.00                 ,-1.88             ,25.45      ,24.14     ,21.75    ,17.75  ,4.23         ,98.00            ,-0.62         ,-3.51             ,--                   ,--                       ,6.26            ,2.86         ,95.75                ,6.24     ,22.60     ,20.84     ,--         ,22.10     ,--         ,73.85                ,--        ,27.49                   ,12.10,24.17               ,2.93                      ,2.93           ,20.59     ,--         ,22.14     ,--        ,--         ,--        ,50.00                ,1.03          ,57.37,--         ,2.45           ,5.82                      ,22.02     ,--         ,--        ,50.00                ,26.93                   ,71.10   ,19.86                  ,-1.82          ,5.33                      ,10.31     , 
LJPC  ,-8.20      ,33.69     ,1013325   ,--       ,701.99M   ,116            ,+8.02                     ,54.85     ,33.36     ,3.55 ,-74.73      ,12.50                  ,-0.37             ,49.20                  ,32.17                  ,Biotechnology                           ,NCM     ,LA JOLLA PHARMACEUTICAL C,Biotechnology                 ,--      ,38.44         ,33.65 ,200     ,535421       ,359727      ,189.26                  ,281.69                 ,No        ,36.70 ,38.45 ,33.77 ,49.61                 ,1584946       ,700877     ,63.93                    ,144.58                ,No                ,Health Care           ,--            ,38.44     ,33.01 ,100     ,1461189     ,121.14                    ,69.35                  ,19.39M         ,No                  ,D  ,--       ,C                  ,100.00         ,--                    ,--              ,--                     ,--              ,5                 ,1.00              ,-78.18M   ,620.00K,-78.18M ,18.26M            ,-4.54   ,-4.54     ,-2.68     ,-4.75       ,-2.00     ,-12.17    ,-41.77    ,13.20                       ,-12692.37  ,5.87              ,-4.75  ,-0.33                  ,+19.51                     ,+16.69                 ,+58.93                  ,+65.04               ,+1204.73             ,+108.14              ,+1.56     ,39.28        ,39.28    ,-0.78                  ,16.71     ,14.24    ,87.50                   ,2.83                         ,-12.36  ,-1.74,+16.05                 ,-0.03                 ,+8.16                  ,+76.75                   ,+119.28              ,+172.64              ,+85.14               ,-90.77            ,19              ,39.28     ,39.28   ,35.70       ,16.71   ,-18.77               ,4.76           ,-3.01    ,-4.53,+2.85                   ,+6.27                    ,+26.96                   ,+14.25                ,+97.47               ,+697.33              ,+104.95              ,-78.13            ,39.28      ,37.67     ,33.77    ,16.71  ,5.44         ,100.00           ,-0.68         ,-0.36             ,--                   ,--                       ,12.91           ,--           ,--                   ,1139.60  ,35.08     ,24.77     ,21.63      ,32.03     ,23.71      ,77.94                ,60.63     ,14.83                   ,25.27,44.09               ,19.47                     ,15.89          ,23.69     ,20.27      ,34.64     ,26.89     ,23.07      ,61.69     ,67.33                ,44.44         ,65.71,3.69       ,14.00          ,20.28                     ,32.17     ,21.68      ,25.94     ,71.75                ,38.55                   ,75.39   ,20.24                  ,15.60          ,18.31                     ,-33.77    , 
AKAO  ,-7.48      ,20.15     ,1363270   ,--       ,810.10M   ,126            ,+2.30                     ,30.68     ,23.43     ,0.51 ,-95.14      ,14.77                  ,-30.48            ,43.88                  ,24.23                  ,Pharmaceuticals                         ,NASDAQ  ,ACHAOGEN INC             ,Pharmaceuticals               ,--      ,22.64         ,20.14 ,100     ,1975559      ,1544913     ,69.01                   ,88.24                  ,No        ,21.78 ,22.40 ,20.17 ,53.32                 ,1221281       ,1157527    ,111.63                   ,117.77                ,No                ,Health Care           ,--            ,22.64     ,19.76 ,100     ,1178355     ,184.24                    ,115.69                 ,45.11M         ,No                  ,NC ,--       ,--                 ,90.00          ,10.00                 ,--              ,--                     ,--              ,10                ,1.10              ,-71.23M   ,41.77M ,-71.23M ,35.78M            ,-3.00   ,-3.00     ,-1.49     ,-3.01       ,-1.42     ,-33.83    ,-52.77    ,63.70                       ,-170.51    ,394.08            ,-2.49  ,-3.87                  ,-6.55                      ,+10.73                 ,+12.10                  ,+118.87              ,0.00                 ,+614.94              ,+1.73     ,23.31        ,27.79    ,3.89                   ,21.25     ,2.59     ,85.23                   ,21.43                        ,-11.00  ,-0.86,+6.90                  ,-0.20                 ,-1.52                  ,+90.07                   ,+73.89               ,+39.72               ,+310.68              ,-95.04            ,14              ,26.70     ,27.79   ,22.06       ,20.90   ,-17.17               ,2.25           ,-1.63    ,-3.80,+0.51                   ,-1.59                    ,-6.31                    ,+2.44                 ,+604.09              ,0.00                 ,+522.02              ,-61.73            ,27.79      ,26.29     ,22.06    ,12.33  ,2.64         ,99.00            ,-0.39         ,-0.32             ,--                   ,--                       ,7.56            ,19.78        ,--                   ,19.39    ,24.23     ,20.65     ,12.80      ,23.27     ,16.31      ,42.19                ,56.68     ,27.80                   ,4.86 ,27.65               ,-0.04                     ,7.71           ,19.51     ,9.28       ,24.47     ,20.51     ,15.10      ,51.34     ,62.03                ,23.78         ,6.91 ,1.33       ,2.83           ,9.43                      ,24.23     ,14.36      ,19.53     ,58.53                ,17.12                   ,8.56    ,20.80                  ,-2.40          ,5.09                      ,-5698.99  , 
BCRX  ,-10.22     ,8.305     ,1229993   ,--       ,736.74M   ,101            ,+4.71                     ,55.80     ,8.18      ,0.69 ,-35.39      ,3.57                   ,43.89             ,22.40                  ,7.65                   ,Biotechnology                           ,NCM     ,BIOCRYST PHARMACEUTICALS ,Biotechnology                 ,--      ,9.20          ,8.30  ,400     ,1546139      ,1268602     ,79.55                   ,96.96                  ,No        ,9.25  ,9.25  ,8.31  ,45.71                 ,3355066       ,1877961    ,36.66                    ,65.50                 ,No                ,Health Care           ,--            ,9.19      ,8.27  ,300     ,3200894     ,78.52                     ,38.43                  ,13.59M         ,No                  ,C  ,--       ,C                  ,30.00          ,30.00                 ,30.00           ,10.00                  ,--              ,10                ,2.20              ,-55.14M   ,26.35M ,-55.14M ,80.08M            ,-0.75   ,-0.75     ,-0.59     ,-0.67       ,-0.68     ,-0.55     ,-0.79     ,-17.40                      ,-209.25    ,405.43            ,-0.885 ,+2.005                 ,+20.06                     ,+3.4727                ,+37.40                  ,-12.12               ,+64.80               ,+84.07               ,+3.52     ,9.20         ,9.20     ,-0.56                  ,4.20      ,2.36     ,96.43                   ,-0.14                        ,-9.63   ,+0.06,+1.855                 ,-0.01                 ,+1.7341                ,+60.74                   ,+45.34               ,-17.06               ,+11.63               ,-223.70           ,0               ,9.20      ,9.20    ,8.67        ,4.20    ,-5.91                ,0.945          ,-0.945   ,+0.65,+0.413                  ,+1.5353                  ,+23.26                   ,+2.5015               ,+241.70              ,+575.57              ,+51.82               ,-51.97            ,9.20       ,8.69      ,8.21     ,4.20   ,0.98         ,98.00            ,-0.035        ,-0.53             ,--                   ,--                       ,430.17          ,1614.77      ,--                   ,27.96    ,8.69      ,6.71      ,5.87       ,7.92      ,6.32       ,77.14                ,58.85     ,18.59                   ,64.61,10.14               ,2.63                      ,1.72           ,6.71      ,5.02       ,8.29      ,7.04      ,6.14       ,59.58     ,63.83                ,20.08         ,85.42,0.64       ,2.39           ,2.31                      ,7.65      ,6.17       ,6.86      ,67.32                ,27.92                   ,90.94   ,5.17                   ,2.21           ,3.24                      ,16700.53  , 
PBYI  ,-10.17     ,40.20     ,692686    ,--       ,1.64B     ,83             ,+2.97                     ,50.57     ,40.64     ,2.02 ,-31.78      ,7.92                   ,25.58             ,24.47                  ,38.76                  ,Biotechnology                           ,NASDAQ  ,PUMA BIOTECHNOLOGY INC   ,Biotechnology                 ,--      ,44.45         ,40.20 ,100     ,1025623      ,1073986     ,67.54                   ,64.50                  ,No        ,44.75 ,44.85 ,40.30 ,68.05                 ,1503910       ,1025775    ,46.06                    ,67.53                 ,No                ,Health Care           ,--            ,44.45     ,39.80 ,400     ,1465060     ,135.99                    ,47.28                  ,44.68M         ,No                  ,D  ,--       ,--                 ,42.86          ,28.57                 ,28.57           ,--                     ,--              ,7                 ,1.86              ,-276.01M  ,--     ,-276.01M,36.95M            ,-8.29   ,-8.29     ,-7.45     ,-7.76       ,-4.73     ,-1.90     ,-3.42     ,-95.91                      ,--         ,--                ,-4.25  ,+2.85                  ,+14.69                     ,+1.53                  ,+23.37                  ,-82.00               ,0.00                 ,-2.88                ,+0.43     ,45.44        ,45.44    ,28.42                  ,28.95     ,19.74    ,92.08                   ,-1.18                        ,-9.56   ,+0.30,+8.95                  ,-0.04                 ,+5.78                  ,+3.57                    ,+44.79               ,-60.86               ,-14.75               ,-132.75           ,3               ,45.44     ,45.44   ,42.60       ,28.95   ,-20.06               ,4.65           ,-4.55    ,+0.67,+1.28                   ,+5.70                    ,+14.93                   ,+8.42                 ,+16.15               ,+51.61               ,-37.95               ,-112.06           ,45.44      ,73.27     ,41.70    ,28.95  ,5.05         ,92.00            ,-0.40         ,-0.23             ,--                   ,--                       ,7.81            ,--           ,--                   ,--       ,42.20     ,36.33     ,40.62      ,39.87     ,39.15      ,65.89                ,50.72     ,21.36                   ,68.22,46.57               ,4.20                      ,7.45           ,35.69     ,42.61      ,39.72     ,38.09     ,39.82      ,52.29     ,53.71                ,12.97         ,85.25,1.66       ,9.10           ,9.95                      ,38.76     ,37.55      ,38.14     ,57.51                ,27.73                   ,89.70   ,30.94                  ,1.85           ,12.20                     ,6430.53   , 
ARRY  ,-8.66      ,9.125     ,4677225   ,--       ,1.70B     ,129            ,-2.05                     ,22.07     ,10.76     ,-0.24,-93.95      ,4.89                   ,-0.73             ,23.97                  ,11.04                  ,Biotechnology                           ,NCM     ,ARRAY BIOPHARMA INC      ,Biotechnology                 ,--      ,10.07         ,9.12  ,1400    ,6804178      ,5541153     ,68.74                   ,84.41                  ,No        ,9.99  ,10.00 ,9.13  ,78.24                 ,4329165       ,4706033    ,108.04                   ,99.39                 ,No                ,Health Care           ,--            ,10.07     ,9.08  ,1900    ,4284124     ,30.82                     ,109.18                 ,70.98M         ,No                  ,C  ,--       ,C                  ,66.67          ,11.11                 ,22.22           ,--                     ,--              ,9                 ,1.56              ,-92.84M   ,30.55M ,-92.84M ,169.01M           ,-0.66   ,-0.65     ,0.07      ,-0.71       ,-0.69     ,-0.57     ,-0.33     ,16.00                       ,-303.91    ,172.59            ,-0.945 ,-2.525                 ,-8.77                      ,+1.6466                ,-7.44                   ,+29.89               ,+234.18              ,+205.04              ,+2.16     ,10.30        ,12.15    ,3.40                   ,8.93      ,2.50     ,95.11                   ,21.40                        ,-9.38   ,-0.08,+0.125                 ,-0.17                 ,-1.0691                ,+19.55                   ,+14.56               ,+102.30              ,+42.06               ,-343.88           ,2               ,11.43     ,13.40   ,8.93        ,8.93    ,-6.58                ,0.875          ,-0.865   ,-0.79,-0.2109                 ,-0.9677                  ,-9.60                    ,-0.81                 ,+301.52              ,+159.78              ,+235.28              ,-42.19            ,12.15      ,13.40     ,8.93     ,8.50   ,0.92         ,91.00            ,-0.045        ,-0.65             ,--                   ,--                       ,--              ,-299.63      ,--                   ,55.71    ,10.79     ,11.01     ,8.90       ,10.86     ,9.46       ,30.50                ,48.61     ,29.87                   ,6.05 ,12.35               ,-1.30                     ,0.54           ,10.63     ,6.81       ,11.08     ,10.59     ,9.04       ,42.42     ,52.37                ,41.58         ,19.26,0.01       ,-2.06          ,1.31                      ,11.04     ,9.38       ,10.38     ,47.58                ,12.33                   ,20.83   ,9.72                   ,-1.76          ,-1.29                     ,-483.52   , 
CSIQ  ,-4.66      ,12.28     ,4652233   ,5.65     ,783.01M   ,107            ,+0.02                     ,32.12     ,13.61     ,-0.01,-92.19      ,19.49                  ,-26.61            ,22.72                  ,13.97                  ,Semiconductors & Semiconductor Equipment,NASDAQ  ,CANADIAN SOLAR INC       ,Semiconductors                ,--      ,13.55         ,12.27 ,1700    ,1052785      ,1472443     ,441.90                  ,315.95                 ,No        ,12.88 ,13.23 ,12.28 ,38.75                 ,1374510       ,1164119    ,338.46                   ,399.64                ,No                ,Information Technology,--            ,13.55     ,12.05 ,300     ,1376676     ,325.03                    ,337.93                 ,14.52M         ,No                  ,NC ,***      ,B-                 ,9.09           ,9.09                  ,63.64           ,--                     ,18.18           ,11                ,3.09              ,173.32M   ,3.47B  ,173.32M ,57.79M            ,2.40    ,2.93      ,4.11      ,1.61        ,0.63      ,-4.53     ,-2.11     ,14.00                       ,4.96       ,386.62            ,-1.27  ,-2.66                  ,-3.00                      ,+0.49                  ,+3.00                   ,-59.86               ,+294.83              ,-21.20               ,+2.96     ,13.75        ,15.85    ,8.77                   ,13.17     ,10.25    ,80.51                   ,11.81                        ,-9.37   ,-0.67,-0.07                  ,-0.10                 ,-0.54                  ,+3.72                    ,+11.25               ,-59.11               ,+27.67               ,+16.73            ,18              ,14.61     ,15.85   ,13.23       ,13.16   ,-1.80                ,0.95           ,-0.60    ,-4.94,0.00                    ,-0.42                    ,-3.84                    ,+0.39                 ,-34.48               ,+292.57              ,+14.20               ,+3.04             ,15.85      ,22.00     ,13.23    ,11.21  ,1.18         ,75.00            ,-0.23         ,0.24              ,--                   ,4.62                     ,1.08            ,95.11        ,8.44                 ,0.23     ,13.52     ,13.17     ,13.12      ,13.62     ,13.31      ,46.24                ,46.86     ,32.76                   ,7.81 ,15.31               ,-0.57                     ,-0.05          ,13.07     ,13.59      ,13.73     ,13.35     ,13.44      ,44.94     ,50.71                ,24.27         ,19.98,0.16       ,-0.36          ,1.02                      ,13.97     ,12.80      ,13.29     ,51.17                ,19.97                   ,32.30   ,12.63                  ,-3.09          ,1.01                      ,-4699.59  , 
HCLP  ,-9.65      ,14.28     ,2276688   ,--       ,1.33B     ,51             ,-0.62                     ,28.21     ,16.58     ,-1.09,-91.67      ,18.52                  ,0.57              ,30.85                  ,17.20                  ,Metals & Mining                         ,NYSE    ,HI-CRUSH PARTNERS LP     ,Diversified Metals & Mining   ,--      ,15.75         ,14.25 ,4900    ,1386992      ,1034228     ,164.15                  ,220.13                 ,No        ,15.80 ,15.93 ,14.30 ,34.78                 ,3154670       ,1591392    ,72.17                    ,143.06                ,No                ,Materials             ,--            ,15.75     ,13.90 ,3200    ,2921189     ,187.25                    ,77.94                  ,22.10M         ,No                  ,NC ,--       ,--                 ,62.50          ,12.50                 ,25.00           ,--                     ,--              ,8                 ,1.63              ,-81.13M   ,204.43M,-81.13M ,84.2M             ,-1.64   ,-1.64     ,0.69      ,0.52        ,3.44      ,2.08      ,0.64      ,20.00                       ,-39.64     ,--                ,-1.48  ,-3.18                  ,-8.44                      ,-1.99                  ,-16.87                  ,-47.81               ,0.00                 ,+97.25               ,+1.06     ,16.64        ,23.30    ,7.38                   ,13.95     ,4.25     ,81.48                   ,16.38                        ,-9.37   ,+0.05,-6.02                  ,-0.08                 ,-2.13                  ,-11.21                   ,-20.45               ,-54.06               ,-5.75                ,-38.23            ,1               ,16.89     ,23.30   ,15.45       ,13.95   ,-9.65                ,1.65           ,-1.52    ,+0.32,-0.10                   ,-1.45                    ,-11.93                   ,-3.20                 ,+160.16              ,+8.20                ,+25.00               ,-15.26            ,23.30      ,23.30     ,13.95    ,13.95  ,2.03         ,10.00            ,-0.38         ,-0.41             ,--                   ,--                       ,3.58            ,66.05        ,30.35                ,6.49     ,15.89     ,18.74     ,18.01      ,17.00     ,17.72      ,36.02                ,43.15     ,40.06                   ,8.33 ,20.71               ,-5.55                     ,-4.45          ,18.94     ,16.02      ,16.61     ,18.05     ,17.39      ,38.24     ,45.74                ,50.70         ,34.29,-0.91      ,-4.70          ,-3.00                     ,17.20     ,18.24      ,18.09     ,41.88                ,13.11                   ,44.48   ,13.70                  ,-7.10          ,-3.55                     ,173.60    , 
AKS   ,-9.42      ,7.50      ,19656555  ,--       ,2.60B     ,144            ,+1.62                     ,34.71     ,8.09      ,-0.17,-96.85      ,4.55                   ,-28.71            ,16.45                  ,8.13                   ,Metals & Mining                         ,NYSE    ,AK STEEL HOLDING CORP    ,Steel                         ,--      ,8.27          ,7.50  ,19900   ,12953839     ,20073759    ,151.74                  ,97.92                  ,No        ,8.28  ,8.34  ,7.51  ,82.81                 ,15328022      ,20895341   ,128.24                   ,94.07                 ,No                ,Materials             ,--            ,8.27      ,7.46  ,12900   ,15972187    ,207.19                    ,123.07                 ,106.80M        ,Yes                 ,C  ,****     ,C                  ,14.29          ,--                    ,78.57           ,--                     ,7.14            ,14                ,2.86              ,58.20M    ,5.88B  ,58.20M  ,314.79M           ,-0.03   ,-0.03     ,-2.86     ,0.69        ,-0.65     ,-0.34     ,-9.06     ,4.00                        ,-0.13      ,692.06            ,-0.77  ,-1.18                  ,+1.67                      ,+0.5666                ,-5.77                   ,+108.79              ,+2.06                ,+94.63               ,+2.73     ,8.30         ,9.19     ,3.05                   ,7.60      ,3.31     ,95.45                   ,7.63                         ,-9.31   ,+0.01,-2.92                  ,-0.06                 ,+0.005                 ,+7.36                    ,-19.00               ,+35.78               ,-8.76                ,-9.31             ,3               ,8.65      ,11.28   ,7.99        ,7.60    ,-4.15                ,0.84           ,-0.78    ,+0.12,+0.132                  ,+0.136                   ,+0.06                    ,-0.5068               ,+99.28               ,+130.19              ,+86.77               ,+1.43             ,9.19       ,11.39     ,7.65     ,7.60   ,0.88         ,5.00             ,-0.04         ,-10.56            ,--                   ,--                       ,--              ,2002.87      ,11.96                ,0.44     ,7.98      ,8.59      ,8.06       ,8.15      ,8.14       ,51.89                ,47.19     ,29.98                   ,3.15 ,8.79                ,-0.57                     ,-3.39          ,8.93      ,6.83       ,8.07      ,8.43      ,7.94       ,43.31     ,50.46                ,28.18         ,38.15,-0.18      ,-1.78          ,-2.68                     ,8.13      ,8.70       ,8.43      ,48.51                ,16.80                   ,49.90   ,7.48                   ,-1.56          ,-1.25                     ,-53132.42 , 
