Symbol,% Chg(Open),Last Trade,Change,High ,Low  ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
OME   ,-19.40     ,20.15     ,-6.10 ,25.05,19.95,896759    ,26.25     ,25.00,-23.24  ,589.00M   ,Consumer Staples      ,NYSE    ,18.83    , 
GEF   ,-7.91      ,54.02     ,-6.29 ,59.90,52.10,916836    ,60.31     ,58.66,-10.43  ,3.17B     ,Materials             ,NYSE    ,38.50    , 
NMIH  ,-7.74      ,11.03     ,-0.88 ,11.95,11.00,326906    ,11.90     ,11.95,-7.35   ,703.82M   ,Financials            ,NASDAQ  ,11.02    , 
ANIP  ,-7.67      ,51.52     ,-8.28 ,55.85,50.07,757355    ,59.80     ,55.80,-13.85  ,692.48M   ,Health Care           ,NASDAQ  ,87.55    , 
BOFI  ,-6.97      ,30.01     ,-2.10 ,32.36,29.77,1309424   ,32.11     ,32.26,-6.54   ,2.03B     ,Financials            ,NCM     ,16.47    , 
GEF/B ,-6.76      ,66.90     ,-6.55 ,71.75,65.75,11427     ,73.45     ,71.75,-8.92   ,3.17B     ,Materials             ,NYSE    ,46.89    , 
SSRI  ,-6.40      ,10.23     ,-1.00 ,11.12,10.13,2347981   ,11.23     ,10.93,-8.90   ,1.34B     ,Materials             ,NCM     ,18.11    , 
CLF   ,-6.35      ,10.01     ,-0.86 ,10.83,9.92 ,17124074  ,10.87     ,10.69,-7.90   ,3.13B     ,Materials             ,NYSE    ,12.49    , 
TASR  ,-5.70      ,22.85     ,-1.49 ,24.23,22.52,3368171   ,24.34     ,24.23,-6.12   ,1.27B     ,Industrials           ,NGM/NGS ,83.85    , 
PAAS  ,-5.31      ,16.60     ,-1.38 ,17.77,16.53,2291225   ,17.98     ,17.53,-7.68   ,2.74B     ,Materials             ,NGM/NGS ,27.34    , 
FANH  ,-5.16      ,8.09      ,-0.85 ,8.53 ,7.78 ,227815    ,8.94      ,8.53 ,-9.51   ,516.89M   ,Financials            ,NASDAQ  ,26.56    , 
CX    ,-5.15      ,8.65      ,-0.49 ,9.13 ,8.64 ,13336191  ,9.14      ,9.12 ,-5.36   ,12.63B    ,Materials             ,NYSE    ,17.38    , 
GOL   ,-4.98      ,28.45     ,-1.36 ,30.03,28.08,138908    ,29.81     ,29.94,-4.56   ,603.71M   ,Industrials           ,NYSE    ,4.26     , 
BKS   ,-4.97      ,9.075     ,-0.825,9.60 ,9.00 ,1481269   ,9.90      ,9.55 ,-8.33   ,719.56M   ,Consumer Discretionary,NYSE    ,55.05    , 
BBDO  ,-4.97      ,10.07     ,-0.19 ,10.60,10.07,4009      ,10.26     ,10.60,-1.82   ,59.96B    ,Financials            ,NYSE    ,13.16    , 
VALE  ,-4.85      ,10.00     ,-0.69 ,10.61,9.96 ,25040947  ,10.69     ,10.51,-6.45   ,55.09B    ,Materials             ,NYSE    ,14.49    , 
TRNC  ,-4.81      ,14.17     ,-0.68 ,14.92,14.11,39959     ,14.85     ,14.88,-4.61   ,540.96M   ,Consumer Discretionary,NASDAQ  ,78.16    , 
BBSEY ,-4.72      ,9.156     ,-0.034,9.61 ,9.00 ,16708     ,9.19      ,9.61 ,-0.37   ,18.28B    ,Financials            ,OTC     ,16.03    , 
CDE   ,-4.72      ,7.975     ,-0.585,8.49 ,7.89 ,3465598   ,8.56      ,8.37 ,-6.83   ,1.55B     ,Materials             ,NYSE    ,25.18    , 
CMC   ,-4.70      ,20.26     ,-1.41 ,21.33,20.24,1903027   ,21.67     ,21.26,-6.51   ,2.50B     ,Materials             ,NYSE    ,71.32    , 
