Symbol,% Chg(Open),Description              ,Last Trade,Volume    ,Market Cap,Exchange,RSI 10 Day,RSI 30 Day, 
PBYI  ,+14.14     ,PUMA BIOTECHNOLOGY INC   ,33.10     ,7672201   ,1.40B     ,NASDAQ  ,40.27     ,45.45     , 
AEO   ,+5.15      ,AMERN EAGLE OUTFITTERS IN,15.01     ,7190928   ,2.61B     ,NYSE    ,47.24     ,46.80     , 
BKE   ,+5.05      ,BUCKLE INC               ,19.75     ,751983    ,926.27M   ,NYSE    ,41.67     ,43.03     , 
ASNA  ,+4.78      ,ASCENA RETAIL GROUP INC  ,4.715     ,2401089   ,866.70M   ,NGM/NGS ,42.69     ,42.55     , 
CBL   ,+3.69      ,CBL & ASSOCIATES PPTYS IN,10.27     ,1815730   ,1.70B     ,NYSE    ,46.36     ,44.54     , 
SEMG  ,+3.39      ,SEMGROUP CORP            ,36.60     ,391492    ,2.39B     ,NYSE    ,37.02     ,44.51     , 
VLOWY ,+2.86      ,VALLOUREC SA             ,1.08      ,13444     ,2.55B     ,OTC     ,26.78     ,43.27     , 
PIR   ,+2.50      ,PIER 1 IMPORTS INC/DE    ,6.98      ,959544    ,565.46M   ,NYSE    ,46.62     ,48.63     , 
IPXL  ,+2.43      ,IMPAX LABORATORIES INC   ,9.475     ,2579765   ,687.02M   ,NASDAQ  ,21.66     ,33.46     , 
FRAN  ,+2.40      ,FRANCESCAS HOLDINGS CORP ,17.10     ,356917    ,632.85M   ,NASDAQ  ,43.47     ,47.25     , 
PRGO  ,+2.38      ,PERRIGO CO PLC           ,75.97     ,2533109   ,10.75B    ,NYSE    ,35.13     ,42.86     , 
DYN   ,+2.37      ,DYNEGY INC               ,8.20      ,1958908   ,1.05B     ,NYSE    ,35.56     ,43.49     , 
FGP   ,+2.37      ,FERRELLGAS PARTNERS  -LP ,6.48      ,274272    ,618.86M   ,NYSE    ,45.29     ,41.65     , 
GME   ,+2.33      ,GAMESTOP CORP            ,25.04     ,1636936   ,2.49B     ,NYSE    ,47.25     ,49.90     , 
NPKLY ,+2.30      ,NAMPAK LTD               ,1.3299    ,25684     ,866.34M   ,OTC     ,41.82     ,48.17     , 
AAN   ,+2.24      ,AARON'S INC              ,28.34     ,254818    ,1.98B     ,NYSE    ,47.79     ,45.54     , 
JCP   ,+2.22      ,PENNEY (J C) CO          ,6.44      ,12024643  ,1.92B     ,NYSE    ,38.69     ,39.63     , 
JACK  ,+2.16      ,JACK IN THE BOX INC      ,95.63     ,593056    ,2.98B     ,NASDAQ  ,25.78     ,36.18     , 
AMAG  ,+2.08      ,AMAG PHARMACEUTICALS INC ,23.33     ,806469    ,784.65M   ,NASDAQ  ,47.65     ,44.06     , 
UAA   ,+1.99      ,UNDER ARMOUR INC         ,21.01     ,2721785   ,7.88B     ,NYSE    ,33.11     ,30.41     , 
