Symbol,% Chg(Open),Last Trade,Change,High ,Low   ,Volume   ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Price/Book Ratio, 
BKD   ,-5.45      ,13.28     ,-0.86 ,14.04,12.95 ,7343519  ,14.14     ,14.04,-6.12   ,2.62B     ,Health Care           ,NYSE    ,--       ,2.04            , 
HL    ,-5.34      ,4.96      ,-0.30 ,5.25 ,4.94  ,5485782  ,5.26      ,5.24 ,-5.70   ,2.08B     ,Materials             ,NYSE    ,29.46    ,1.41            , 
PEN   ,-5.24      ,77.70     ,-4.90 ,82.50,76.20 ,420111   ,82.60     ,82.00,-5.93   ,2.64B     ,Health Care           ,NYSE    ,--       ,9.63            , 
ENDP  ,-5.03      ,11.51     ,-0.74 ,12.16,11.45 ,7374657  ,12.25     ,12.12,-6.04   ,2.73B     ,Health Care           ,NGM/NGS ,--       ,1.02            , 
FI    ,-5.03      ,10.58     ,-0.64 ,11.14,10.45 ,1661454  ,11.22     ,11.14,-5.70   ,2.50B     ,Energy                ,NYSE    ,--       ,2.37            , 
AGI   ,-4.57      ,6.68      ,-0.41 ,7.00 ,6.58  ,3772984  ,7.09      ,7.00 ,-5.78   ,2.10B     ,Materials             ,NYSE    ,--       ,1.08            , 
JBLU  ,-4.25      ,19.29     ,-0.92 ,20.14,19.11 ,7851040  ,20.20     ,20.14,-4.53   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     ,1.74            , 
TAHO  ,-4.04      ,7.84      ,-0.33 ,8.21 ,7.74  ,1655976  ,8.17      ,8.17 ,-4.04   ,2.54B     ,Materials             ,NYSE    ,--       ,1.16            , 
IVPAF ,-3.30      ,2.93      ,-0.19 ,3.03 ,2.8702,163471   ,3.12      ,3.03 ,-6.09   ,2.43B     ,Materials             ,OTC     ,3.44     ,2.22            , 
CXW   ,-3.26      ,33.08     ,-1.34 ,34.27,33.00 ,1058237  ,34.42     ,34.19,-3.91   ,4.05B     ,Real Estate           ,NYSE    ,18.41    ,2.94            , 
KSS   ,-3.16      ,39.27     ,-2.07 ,40.74,39.03 ,2758853  ,41.34     ,40.55,-5.01   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    ,1.39            , 
PAAS  ,-3.11      ,16.21     ,-0.61 ,16.77,16.08 ,1405193  ,16.82     ,16.73,-3.63   ,2.55B     ,Materials             ,NGM/NGS ,25.56    ,1.84            , 
AU    ,-2.88      ,10.13     ,-0.47 ,10.45,10.08 ,2372123  ,10.60     ,10.43,-4.43   ,4.25B     ,Materials             ,NYSE    ,70.67    ,1.69            , 
AEM   ,-2.78      ,39.83     ,-1.40 ,41.09,39.61 ,1569053  ,41.23     ,40.97,-3.40   ,9.27B     ,Materials             ,NYSE    ,58.90    ,2.45            , 
KGC   ,-2.68      ,3.27      ,-0.10 ,3.385,3.23  ,6462396  ,3.37      ,3.36 ,-2.97   ,4.17B     ,Materials             ,NYSE    ,--       ,1.06            , 
SID   ,-2.67      ,3.64      ,-0.17 ,3.77 ,3.63  ,2689457  ,3.81      ,3.74 ,-4.46   ,5.27B     ,Materials             ,NYSE    ,14.02    ,9.29            , 
DRGDF ,-2.49      ,11.24     ,-0.39 ,11.60,11.09 ,9874     ,11.63     ,11.53,-3.35   ,2.02B     ,Materials             ,OTC     ,--       ,1.10            , 
WSM   ,-2.46      ,48.44     ,-1.90 ,50.08,48.06 ,1421561  ,50.34     ,49.66,-3.77   ,4.42B     ,Consumer Discretionary,NYSE    ,14.97    ,3.83            , 
UAA   ,-2.43      ,20.09     ,-0.50 ,20.62,19.99 ,3069159  ,20.59     ,20.59,-2.43   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    ,6.44            , 
RGLD  ,-2.38      ,63.55     ,-1.88 ,65.10,63.16 ,263951   ,65.43     ,65.10,-2.87   ,4.27B     ,Materials             ,NGM/NGS ,--       ,1.92            , 
