Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
RAD   ,-4.39      ,5.23      ,-0.22 ,5.49  ,5.20  ,22143328  ,5.45      ,5.47  ,-4.04   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    , 
JBLU  ,-4.12      ,19.31     ,-0.89 ,20.14 ,19.11 ,7907238   ,20.20     ,20.14 ,-4.41   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     , 
RIG   ,-3.50      ,12.96     ,-0.57 ,13.44 ,12.76 ,11139515  ,13.53     ,13.43 ,-4.21   ,5.05B     ,Energy                ,NYSE    ,6.44     , 
AAL   ,-3.44      ,44.82     ,-2.00 ,46.68 ,44.38 ,8173481   ,46.82     ,46.41 ,-4.28   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     , 
KSS   ,-3.21      ,39.25     ,-2.09 ,40.74 ,39.03 ,2777671   ,41.34     ,40.55 ,-5.06   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    , 
M     ,-3.03      ,30.37     ,-1.40 ,31.35 ,30.26 ,7243032   ,31.77     ,31.32 ,-4.41   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    , 
AEM   ,-2.95      ,39.76     ,-1.47 ,41.09 ,39.61 ,1578369   ,41.23     ,40.97 ,-3.57   ,9.27B     ,Materials             ,NYSE    ,58.90    , 
UAL   ,-2.78      ,72.77     ,-2.82 ,74.85 ,71.90 ,3656350   ,75.59     ,74.85 ,-3.73   ,23.78B    ,Industrials           ,NYSE    ,11.04    , 
ABEV  ,-2.52      ,5.41      ,-0.13 ,5.55  ,5.41  ,9685519   ,5.54      ,5.55  ,-2.35   ,86.59B    ,Consumer Staples      ,NYSE    ,26.51    , 
MYL   ,-2.48      ,44.19     ,-0.99 ,45.44 ,44.18 ,3099044   ,45.18     ,45.31 ,-2.20   ,23.91B    ,Health Care           ,NASDAQ  ,49.11    , 
UAA   ,-2.48      ,20.08     ,-0.51 ,20.62 ,19.99 ,3086682   ,20.59     ,20.59 ,-2.48   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    , 
MAS   ,-2.16      ,33.14     ,-0.92 ,33.96 ,33.14 ,4061985   ,34.06     ,33.87 ,-2.70   ,10.91B    ,Industrials           ,NYSE    ,23.17    , 
EW    ,-2.13      ,89.76     ,-2.68 ,92.10 ,89.23 ,3557276   ,92.44     ,91.71 ,-2.90   ,19.64B    ,Health Care           ,NYSE    ,35.42    , 
ULTA  ,-2.11      ,274.33    ,-3.81 ,281.17,273.49,722093    ,278.14    ,280.24,-1.37   ,17.31B    ,Consumer Discretionary,NASDAQ  ,46.62    , 
ALK   ,-2.10      ,96.40     ,-2.54 ,98.81 ,95.53 ,1133240   ,98.94     ,98.47 ,-2.57   ,12.22B    ,Industrials           ,NYSE    ,15.13    , 
TGT   ,-2.03      ,56.14     ,-1.22 ,57.35 ,56.01 ,7395712   ,57.35     ,57.30 ,-2.12   ,31.90B    ,Consumer Discretionary,NYSE    ,12.21    , 
IP    ,-2.02      ,52.56     ,-1.44 ,53.88 ,52.13 ,2136932   ,54.00     ,53.64 ,-2.68   ,22.21B    ,Materials             ,NYSE    ,24.79    , 
UA    ,-1.99      ,18.25     ,-0.39 ,18.65 ,18.20 ,2203178   ,18.64     ,18.62 ,-2.09   ,7.89B     ,Consumer Discretionary,NYSE    ,41.88    , 
LUV   ,-1.88      ,57.41     ,-1.45 ,58.60 ,57.16 ,4048786   ,58.86     ,58.51 ,-2.46   ,36.21B    ,Industrials           ,NYSE    ,16.59    , 
HCP   ,-1.75      ,31.49     ,-0.71 ,32.16 ,31.39 ,2143110   ,32.20     ,32.05 ,-2.20   ,15.08B    ,Real Estate           ,NYSE    ,24.06    , 
