Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Industry                                    ,Sub-Industry                       , 
AKRX  ,-4.66      ,22.28     ,-1.83 ,23.90 ,22.13 ,2160491  ,24.11     ,23.37 ,-7.59   ,3.00B     ,Health Care           ,NASDAQ  ,16.40    ,Pharmaceuticals                             ,Pharmaceuticals                    , 
CAR   ,-4.55      ,32.50     ,-1.97 ,34.20 ,32.11 ,1811171  ,34.47     ,34.05 ,-5.72   ,2.96B     ,Industrials           ,NASDAQ  ,19.70    ,Road & Rail                                 ,Trucking                           , 
TPX   ,-3.57      ,45.32     ,-2.22 ,47.00 ,45.04 ,1009528  ,47.54     ,47.00 ,-4.67   ,2.56B     ,Consumer Discretionary,NYSE    ,14.07    ,Household Durables                          ,Home Furnishings                   , 
AAL   ,-3.45      ,44.81     ,-2.01 ,46.68 ,44.38 ,8191792  ,46.82     ,46.41 ,-4.29   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     ,Airlines                                    ,Airlines                           , 
CXW   ,-3.31      ,33.06     ,-1.36 ,34.27 ,33.00 ,1072305  ,34.42     ,34.19 ,-3.95   ,4.05B     ,Real Estate           ,NYSE    ,18.41    ,Equity Real Estate Investment Trusts (REITs),Specialized REITs                  , 
KSS   ,-3.24      ,39.24     ,-2.10 ,40.74 ,39.03 ,2779206  ,41.34     ,40.55 ,-5.09   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    ,Multiline Retail                            ,Department Stores                  , 
AEM   ,-3.00      ,39.74     ,-1.49 ,41.09 ,39.61 ,1580570  ,41.23     ,40.97 ,-3.61   ,9.27B     ,Materials             ,NYSE    ,58.90    ,Metals & Mining                             ,Gold                               , 
M     ,-3.00      ,30.38     ,-1.39 ,31.35 ,30.26 ,7248237  ,31.77     ,31.32 ,-4.38   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    ,Multiline Retail                            ,Department Stores                  , 
UAL   ,-2.85      ,72.72     ,-2.87 ,74.85 ,71.90 ,3660255  ,75.59     ,74.85 ,-3.80   ,23.78B    ,Industrials           ,NYSE    ,11.04    ,Airlines                                    ,Airlines                           , 
CSRA  ,-2.64      ,28.72     ,-1.22 ,29.61 ,28.41 ,897375   ,29.94     ,29.50 ,-4.07   ,4.88B     ,Information Technology,NYSE    ,25.27    ,IT Services                                 ,IT Consulting & Other Services     , 
UAA   ,-2.53      ,20.07     ,-0.52 ,20.62 ,19.99 ,3094638  ,20.59     ,20.59 ,-2.53   ,7.89B     ,Consumer Discretionary,NYSE    ,46.26    ,Textiles Apparel & Luxury Goods             ,Apparel Accessories & Luxury Goods , 
MYL   ,-2.49      ,44.18     ,-1.00 ,45.44 ,44.18 ,3100487  ,45.18     ,45.31 ,-2.21   ,23.91B    ,Health Care           ,NASDAQ  ,49.11    ,Pharmaceuticals                             ,Pharmaceuticals                    , 
HTHT  ,-2.49      ,57.59     ,-2.19 ,59.68 ,57.01 ,116524   ,59.78     ,59.06 ,-3.66   ,4.13B     ,Consumer Discretionary,NGM/NGS ,35.99    ,Hotels Restaurants & Leisure                ,Hotels Resorts & Cruise Lines      , 
TCO   ,-2.48      ,67.56     ,-1.80 ,69.53 ,67.55 ,300074   ,69.36     ,69.28 ,-2.60   ,4.20B     ,Real Estate           ,NYSE    ,39.21    ,Equity Real Estate Investment Trusts (REITs),Retail REITs                       , 
WSM   ,-2.47      ,48.44     ,-1.90 ,50.08 ,48.06 ,1427489  ,50.34     ,49.66 ,-3.78   ,4.42B     ,Consumer Discretionary,NYSE    ,14.97    ,Specialty Retail                            ,Homefurnishing Retail              , 
PBF   ,-2.28      ,22.24     ,-0.56 ,22.93 ,22.18 ,1261146  ,22.80     ,22.76 ,-2.46   ,2.49B     ,Energy                ,NYSE    ,13.13    ,Oil Gas & Consumable Fuels                  ,Oil & Gas Refining & Marketing     , 
PDCO  ,-2.21      ,43.86     ,-1.14 ,44.85 ,43.78 ,1454520  ,45.00     ,44.85 ,-2.53   ,4.41B     ,Health Care           ,NGM/NGS ,24.70    ,Health Care Providers & Services            ,Health Care Distributors           , 
MAS   ,-2.14      ,33.15     ,-0.92 ,33.96 ,33.14 ,4077423  ,34.06     ,33.87 ,-2.69   ,10.91B    ,Industrials           ,NYSE    ,23.17    ,Building Products                           ,Building Products                  , 
EW    ,-2.13      ,89.76     ,-2.68 ,92.10 ,89.23 ,3560571  ,92.44     ,91.71 ,-2.90   ,19.64B    ,Health Care           ,NYSE    ,35.42    ,Health Care Equipment & Supplies            ,Health Care Equipment              , 
ULTA  ,-2.08      ,274.41    ,-3.73 ,281.17,273.49,724654   ,278.14    ,280.24,-1.34   ,17.31B    ,Consumer Discretionary,NASDAQ  ,46.62    ,Specialty Retail                            ,Specialty Stores                   , 
