Symbol,% Chg(Open),Last Trade,Change,High ,Low  ,Volume    ,Prev Close,Open ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
HL    ,-5.34      ,4.96      ,-0.30 ,5.25 ,4.94 ,5487982   ,5.26      ,5.24 ,-5.70   ,2.08B     ,Materials             ,NYSE    ,29.46    , 
GFI   ,-5.23      ,3.08      ,-0.16 ,3.25 ,3.05 ,5544429   ,3.24      ,3.25 ,-4.94   ,2.59B     ,Materials             ,NYSE    ,16.20    , 
CAR   ,-4.67      ,32.46     ,-2.01 ,34.20,32.11,1803190   ,34.47     ,34.05,-5.83   ,2.96B     ,Industrials           ,NASDAQ  ,19.70    , 
AKRX  ,-4.65      ,22.28     ,-1.83 ,23.90,22.13,2148523   ,24.11     ,23.37,-7.58   ,3.00B     ,Health Care           ,NASDAQ  ,16.40    , 
RAD   ,-4.39      ,5.23      ,-0.22 ,5.49 ,5.20 ,22033531  ,5.45      ,5.47 ,-4.04   ,5.74B     ,Consumer Staples      ,NYSE    ,68.57    , 
JBLU  ,-4.12      ,19.31     ,-0.89 ,20.14,19.11,7889265   ,20.20     ,20.14,-4.41   ,6.81B     ,Industrials           ,NGM/NGS ,9.08     , 
AAL   ,-3.49      ,44.79     ,-2.03 ,46.68,44.38,8116721   ,46.82     ,46.41,-4.34   ,23.60B    ,Industrials           ,NASDAQ  ,9.73     , 
TPX   ,-3.43      ,45.39     ,-2.15 ,47.00,45.04,975894    ,47.54     ,47.00,-4.52   ,2.56B     ,Consumer Discretionary,NYSE    ,14.07    , 
RIG   ,-3.43      ,12.97     ,-0.56 ,13.44,12.76,11113960  ,13.53     ,13.43,-4.14   ,5.05B     ,Energy                ,NYSE    ,6.44     , 
CXW   ,-3.26      ,33.08     ,-1.34 ,34.27,33.00,1058237   ,34.42     ,34.19,-3.91   ,4.05B     ,Real Estate           ,NYSE    ,18.41    , 
PAAS  ,-3.23      ,16.19     ,-0.63 ,16.77,16.08,1411293   ,16.82     ,16.73,-3.75   ,2.55B     ,Materials             ,NGM/NGS ,25.56    , 
KSS   ,-3.18      ,39.26     ,-2.08 ,40.74,39.03,2774011   ,41.34     ,40.55,-5.03   ,7.30B     ,Consumer Discretionary,NYSE    ,13.29    , 
AU    ,-2.97      ,10.12     ,-0.48 ,10.45,10.08,2376802   ,10.60     ,10.43,-4.53   ,4.25B     ,Materials             ,NYSE    ,70.67    , 
M     ,-2.97      ,30.39     ,-1.38 ,31.35,30.26,7228025   ,31.77     ,31.32,-4.34   ,9.66B     ,Consumer Discretionary,NYSE    ,15.96    , 
AEM   ,-2.90      ,39.78     ,-1.45 ,41.09,39.61,1576891   ,41.23     ,40.97,-3.52   ,9.27B     ,Materials             ,NYSE    ,58.90    , 
UAL   ,-2.83      ,72.73     ,-2.86 ,74.85,71.90,3629045   ,75.59     ,74.85,-3.78   ,23.78B    ,Industrials           ,NYSE    ,11.04    , 
SID   ,-2.67      ,3.64      ,-0.17 ,3.77 ,3.63 ,2689457   ,3.81      ,3.74 ,-4.46   ,5.27B     ,Materials             ,NYSE    ,14.02    , 
ESV   ,-2.64      ,9.59      ,-0.32 ,9.86 ,9.44 ,5492787   ,9.91      ,9.85 ,-3.23   ,3.00B     ,Energy                ,NYSE    ,3.17     , 
CSRA  ,-2.61      ,28.73     ,-1.21 ,29.61,28.41,897256    ,29.94     ,29.50,-4.04   ,4.88B     ,Information Technology,NYSE    ,25.27    , 
RDC   ,-2.52      ,17.20     ,-0.40 ,17.64,17.17,2041091   ,17.60     ,17.64,-2.30   ,2.21B     ,Energy                ,NYSE    ,6.90     , 
