Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm),Price/Book Ratio, 
DKS   ,-6.71      ,47.69     ,-4.92 ,51.25 ,47.54 ,21422716  ,52.61     ,51.13 ,-9.35   ,4.63B     ,Consumer Discretionary    ,NYSE    ,18.21    ,3.98            , 
ZTO   ,-6.06      ,12.26     ,-0.70 ,13.12 ,12.14 ,2516172   ,12.96     ,13.05 ,-5.41   ,6.81B     ,Industrials               ,NYSE    ,29.55    ,4.55            , 
THO   ,-5.45      ,104.76    ,-10.66,111.00,102.55,3096004   ,115.42    ,110.80,-9.24   ,6.07B     ,Consumer Discretionary    ,NYSE    ,21.35    ,15.94           , 
GEF/B ,-4.91      ,61.50     ,-3.34 ,64.68 ,61.30 ,12548     ,64.84     ,64.68 ,-5.15   ,2.86B     ,Materials                 ,NYSE    ,33.92    ,61.50           , 
IVPAF ,-4.48      ,2.77      ,-0.17 ,2.92  ,2.77  ,139465    ,2.94      ,2.90  ,-5.78   ,2.32B     ,Materials                 ,OTC     ,3.24     ,2.09            , 
FNGN  ,-4.12      ,43.05     ,-2.30 ,44.95 ,42.90 ,751557    ,45.35     ,44.90 ,-5.07   ,2.82B     ,Financials                ,NASDAQ  ,98.59    ,12.29           , 
GPK   ,-3.90      ,12.57     ,-0.58 ,13.08 ,12.55 ,5934279   ,13.15     ,13.08 ,-4.41   ,4.10B     ,Materials                 ,NYSE    ,18.52    ,--              , 
RDC   ,-3.89      ,16.82     ,-0.61 ,17.59 ,16.79 ,1960037   ,17.43     ,17.50 ,-3.50   ,2.19B     ,Energy                    ,NYSE    ,6.83     ,0.43            , 
CPN   ,-3.76      ,11.27     ,-0.42 ,11.78 ,11.26 ,2147071   ,11.69     ,11.71 ,-3.59   ,4.20B     ,Utilities                 ,NYSE    ,44.98    ,1.73            , 
CLF   ,-3.74      ,9.53      ,-0.37 ,10.08 ,9.53  ,11495368  ,9.90      ,9.90  ,-3.74   ,2.93B     ,Materials                 ,NYSE    ,11.37    ,--              , 
ESV   ,-3.73      ,9.28      ,-0.35 ,9.72  ,9.28  ,7602596   ,9.63      ,9.64  ,-3.63   ,2.92B     ,Energy                    ,NYSE    ,3.08     ,0.36            , 
FBR   ,-3.72      ,8.03      ,-0.15 ,8.34  ,8.00  ,1612707   ,8.18      ,8.34  ,-1.83   ,4.58B     ,Materials                 ,NYSE    ,9.61     ,1.61            , 
SBH   ,-3.64      ,20.92     ,-0.37 ,21.71 ,20.79 ,894199    ,21.29     ,21.71 ,-1.74   ,3.06B     ,Consumer Discretionary    ,NYSE    ,13.20    ,--              , 
GEF   ,-3.39      ,53.37     ,-1.99 ,55.36 ,53.08 ,118160    ,55.36     ,55.24 ,-3.60   ,2.86B     ,Materials                 ,NYSE    ,28.96    ,52.50           , 
TDG   ,-3.33      ,239.37    ,-7.82 ,248.34,233.75,1363284   ,247.19    ,247.61,-3.16   ,13.06B    ,Industrials               ,NYSE    ,28.89    ,--              , 
SIG   ,-3.08      ,62.69     ,-2.90 ,64.99 ,62.10 ,2039954   ,65.59     ,64.68 ,-4.42   ,5.11B     ,Consumer Discretionary    ,NYSE    ,9.82     ,2.47            , 
KS    ,-3.06      ,21.88     ,-0.78 ,22.64 ,21.75 ,1042951   ,22.66     ,22.57 ,-3.44   ,2.19B     ,Materials                 ,NYSE    ,25.75    ,--              , 
TEO   ,-3.03      ,21.76     ,-0.49 ,22.49 ,21.62 ,77847     ,22.25     ,22.44 ,-2.20   ,2.17B     ,Telecommunication Services,NYSE    ,18.45    ,5.12            , 
MGM   ,-3.00      ,25.58     ,-0.97 ,26.41 ,25.33 ,15073236  ,26.55     ,26.37 ,-3.65   ,15.24B    ,Consumer Discretionary    ,NYSE    ,13.82    ,48.34           , 
QVCA  ,-2.97      ,18.81     ,-0.40 ,19.38 ,18.72 ,1798997   ,19.21     ,19.38 ,-2.11   ,8.76B     ,Consumer Discretionary    ,NASDAQ  ,19.60    ,--              , 
