Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Price/Book Ratio, 
RAD   ,-6.28      ,4.7143    ,-0.2957,5.03  ,4.6602,32583044  ,5.01      ,5.03  ,-5.90   ,5.28B     ,Consumer Staples      ,NYSE    ,63.04    ,--              , 
ERF   ,-5.69      ,8.45      ,-0.60  ,9.03  ,8.38  ,1733905   ,9.05      ,8.96  ,-6.63   ,2.18B     ,Energy                ,NYSE    ,6.97     ,3.61            , 
SID   ,-4.80      ,3.37      ,-0.22  ,3.55  ,3.32  ,1776094   ,3.59      ,3.54  ,-6.13   ,4.99B     ,Materials             ,NYSE    ,13.21    ,8.75            , 
VALE  ,-4.22      ,9.415     ,-0.515 ,9.85  ,9.41  ,23525569  ,9.93      ,9.83  ,-5.19   ,50.69B    ,Materials             ,NYSE    ,13.46    ,1.59            , 
TPL   ,-4.06      ,285.09    ,-12.68 ,298.70,282.05,30488     ,297.77    ,297.14,-4.26   ,2.36B     ,Financials            ,NYSE    ,63.88    ,49.57           , 
TECD  ,-4.05      ,90.32     ,-3.48  ,94.75 ,88.16 ,501637    ,93.80     ,94.13 ,-3.71   ,3.57B     ,Information Technology,NGM/NGS ,15.60    ,2.01            , 
TARO  ,-3.93      ,113.75    ,+2.03  ,118.40,112.01,40901     ,111.72    ,118.40,+1.82   ,4.58B     ,Health Care           ,NYSE    ,9.58     ,2.50            , 
CIEN  ,-3.70      ,23.94     ,-2.23  ,25.14 ,23.52 ,12578036  ,26.17     ,24.86 ,-8.52   ,3.70B     ,Information Technology,NYSE    ,50.96    ,10.38           , 
CLF   ,-3.68      ,9.17      ,-0.26  ,9.62  ,9.13  ,9611170   ,9.43      ,9.52  ,-2.76   ,2.80B     ,Materials             ,NYSE    ,10.83    ,--              , 
KROTY ,-3.66      ,4.21      ,-0.15  ,4.37  ,4.14  ,39438     ,4.36      ,4.37  ,-3.44   ,6.98B     ,Consumer Discretionary,OTC     ,19.89    ,43.32           , 
AETUF ,-3.59      ,14.11     ,-0.58  ,14.64 ,14.11 ,3541      ,14.69     ,14.64 ,-3.92   ,5.20B     ,Energy                ,OTC     ,34.16    ,2.16            , 
ESV   ,-3.54      ,8.855     ,-0.415 ,9.41  ,8.77  ,9500175   ,9.27      ,9.18  ,-4.48   ,2.81B     ,Energy                ,NYSE    ,2.96     ,0.35            , 
CIG   ,-3.47      ,3.475     ,-0.225 ,3.635 ,3.43  ,5247947   ,3.70      ,3.60  ,-6.08   ,4.91B     ,Utilities             ,NYSE    ,17.89    ,306.24          , 
ALGGY ,-3.30      ,12.14     ,-0.19  ,12.56 ,12.14 ,2275      ,12.33     ,12.56 ,-1.51   ,2.57B     ,Industrials           ,OTC     ,8.41     ,1.11            , 
TCBI  ,-3.19      ,88.00     ,-1.70  ,91.70 ,87.85 ,264032    ,89.70     ,90.90 ,-1.90   ,4.44B     ,Financials            ,NGM/NGS ,28.84    ,2.42            , 
FHN   ,-3.17      ,19.57     ,-0.36  ,20.22 ,19.55 ,1824733   ,19.93     ,20.21 ,-1.81   ,4.66B     ,Financials            ,NYSE    ,21.20    ,2.22            , 
SUBCY ,-3.05      ,14.89     ,-0.01  ,15.36 ,14.89 ,15787     ,14.90     ,15.36 ,-0.07   ,4.91B     ,Energy                ,OTC     ,11.82    ,1.00            , 
HGV   ,-3.05      ,28.00     ,-0.79  ,28.88 ,27.92 ,427549    ,28.79     ,28.88 ,-2.74   ,2.85B     ,Consumer Discretionary,NYSE    ,16.97    ,29.33           , 
RIO   ,-2.86      ,39.86     ,-0.75  ,41.07 ,39.73 ,6554515   ,40.61     ,41.03 ,-1.86   ,55.50B    ,Materials             ,NYSE    ,15.91    ,2.09            , 
LTXB  ,-2.83      ,41.59     ,-0.76  ,43.12 ,41.46 ,74215     ,42.35     ,42.80 ,-1.79   ,2.03B     ,Financials            ,NASDAQ  ,20.26    ,2.78            , 
