Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
RIO   ,-2.85      ,39.86     ,-0.75 ,41.07 ,39.73 ,6560682   ,40.61     ,41.03 ,-1.85   ,55.50B    ,Materials             ,NYSE    ,15.91    , 
PAGP  ,-2.76      ,31.85     ,-1.16 ,32.95 ,31.77 ,1813398   ,33.00     ,32.75 ,-3.50   ,5.00B     ,Energy                ,NYSE    ,35.11    , 
OKE   ,-2.61      ,55.12     ,-1.46 ,56.76 ,54.99 ,1118988   ,56.58     ,56.60 ,-2.58   ,11.92B    ,Energy                ,NYSE    ,34.08    , 
THO   ,-2.60      ,101.59    ,-2.42 ,105.00,100.84,1263053   ,104.01    ,104.30,-2.33   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    , 
BBL   ,-2.27      ,31.47     ,-1.37 ,32.21 ,31.41 ,1315699   ,32.84     ,32.20 ,-4.17   ,34.56B    ,Materials             ,NYSE    ,35.24    , 
BHP   ,-2.14      ,36.65     ,-1.50 ,37.54 ,36.58 ,1965903   ,38.15     ,37.45 ,-3.93   ,62.21B    ,Materials             ,NYSE    ,40.95    , 
HCP   ,-2.12      ,30.40     ,-0.90 ,31.06 ,30.35 ,1840200   ,31.30     ,31.06 ,-2.87   ,14.65B    ,Real Estate           ,NYSE    ,23.38    , 
O     ,-2.09      ,57.98     ,-1.86 ,59.39 ,57.92 ,1597259   ,59.84     ,59.22 ,-3.10   ,16.22B    ,Real Estate           ,NYSE    ,52.96    , 
BRX   ,-1.99      ,21.20     ,-0.61 ,21.72 ,21.12 ,1691384   ,21.81     ,21.63 ,-2.80   ,6.64B     ,Real Estate           ,NYSE    ,23.94    , 
KIM   ,-1.88      ,22.23     ,-0.52 ,22.65 ,22.12 ,2568126   ,22.75     ,22.65 ,-2.31   ,9.68B     ,Real Estate           ,NYSE    ,28.80    , 
NVDA  ,-1.80      ,98.89     ,+0.15 ,101.30,98.63 ,12675119  ,98.74     ,100.70,+0.15   ,58.16B    ,Information Technology,NGM/NGS ,38.42    , 
CFG   ,-1.80      ,37.88     ,-0.09 ,38.64 ,37.86 ,2100225   ,37.97     ,38.57 ,-0.24   ,19.33B    ,Financials            ,NYSE    ,19.27    , 
DLR   ,-1.75      ,105.33    ,-2.15 ,107.21,104.72,1145756   ,107.48    ,107.21,-2.00   ,17.12B    ,Real Estate           ,NYSE    ,48.85    , 
BX    ,-1.74      ,29.09     ,-0.30 ,29.61 ,29.08 ,1747576   ,29.39     ,29.61 ,-1.01   ,17.27B    ,Financials            ,NYSE    ,18.81    , 
MOS   ,-1.64      ,28.77     ,-0.41 ,29.44 ,28.71 ,3116970   ,29.18     ,29.25 ,-1.41   ,10.22B    ,Materials             ,NYSE    ,34.33    , 
AMTD  ,-1.53      ,39.19     ,-0.21 ,40.09 ,39.03 ,1901660   ,39.40     ,39.80 ,-0.53   ,20.80B    ,Financials            ,NGM/NGS ,24.62    , 
LYB   ,-1.52      ,89.80     ,-1.43 ,91.50 ,89.71 ,1709457   ,91.23     ,91.19 ,-1.57   ,36.72B    ,Materials             ,NYSE    ,10.00    , 
OHI   ,-1.51      ,31.62     ,-0.68 ,32.18 ,31.46 ,1047037   ,32.29     ,32.10 ,-2.09   ,6.35B     ,Real Estate           ,NYSE    ,16.98    , 
COF   ,-1.46      ,92.65     ,-0.17 ,94.43 ,92.56 ,1193806   ,92.82     ,94.02 ,-0.18   ,44.61B    ,Financials            ,NYSE    ,13.47    , 
STI   ,-1.44      ,59.48     ,-0.24 ,60.64 ,59.42 ,1985685   ,59.72     ,60.35 ,-0.40   ,29.35B    ,Financials            ,NYSE    ,16.59    , 
