Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
APRI  ,APRICUS BIOSCIENCES INC  ,2.82      ,1274960   ,-15.82     ,NASDAQ   ,--      ,--               , 
IGT   ,INTL GAME TECHNOLOGY PLC ,23.55     ,3805064   ,-14.32     ,NYSE     ,0.80    ,78.00            , 
HCLP  ,HI-CRUSH PARTNERS LP     ,14.65     ,4968382   ,-13.82     ,NYSE     ,--      ,19.00            , 
VNET  ,21VIANET GROUP INC       ,5.70      ,4294605   ,-13.64     ,NASDAQ   ,--      ,12.00            , 
PRKR  ,PARKERVISION INC         ,2.39      ,1889143   ,-13.09     ,NCM      ,--      ,4.00             , 
ERII  ,ENERGY RECOVERY INC      ,7.92      ,1167017   ,-12.00     ,NASDAQ   ,--      ,6.00             , 
SND   ,SMART SAND INC           ,13.31     ,1279481   ,-11.80     ,NASDAQ   ,--      ,94.00            , 
TELL  ,TELLURIAN INC            ,9.99      ,2242372   ,-10.80     ,NASDAQ   ,--      ,--               , 
CVEO  ,CIVEO CORP               ,2.95      ,2049946   ,-10.33     ,NYSE     ,--      ,--               , 
GTT   ,GTT COMMUNICATIONS INC   ,23.48     ,663208    ,-9.54      ,NYSE     ,--      ,68.00            , 
PLPM  ,PLANET PAYMENT INC       ,3.82      ,1065982   ,-9.48      ,NASDAQ   ,--      ,66.00            , 
TCS   ,CONTAINER STORE GROUP    ,3.945     ,354654    ,-9.31      ,NYSE     ,--      ,2.00             , 
EMES  ,EMERGE ENERGY SERVICES LP,13.69     ,1127863   ,-9.22      ,NYSE     ,--      ,97.00            , 
YRD   ,YIRENDAI LTD -ADR        ,28.15     ,930653    ,-9.19      ,NYSE     ,--      ,29.00            , 
MOMO  ,MOMO INC  -ADR           ,30.21     ,18260346  ,-8.26      ,NASDAQ   ,--      ,95.00            , 
SMTC  ,SEMTECH CORP             ,34.00     ,2565483   ,-8.23      ,NCM      ,--      ,74.00            , 
ENT   ,GLOBAL EAGLE ENTERTAINMEN,4.37      ,445924    ,-8.00      ,NASDAQ   ,--      ,2.00             , 
ELF   ,E.L.F. BEAUTY INC        ,28.55     ,3858078   ,-7.99      ,NYSE     ,--      ,11.00            , 
BIOC  ,BIOCEPT INC              ,2.10      ,1243844   ,-7.49      ,NASDAQ   ,--      ,--               , 
PIR   ,PIER 1 IMPORTS INC/DE    ,6.55      ,2155854   ,-7.49      ,NYSE     ,0.28    ,89.00            , 
RNVA  ,RENNOVA HEALTH INC       ,2.3599    ,2390624   ,-7.45      ,NASDAQ   ,--      ,24.00            , 
MTW   ,MANITOWOC CO             ,5.715     ,1901560   ,-7.22      ,NYSE     ,--      ,54.00            , 
SMRT  ,STEIN MART INC           ,2.795     ,812808    ,-6.21      ,NGM/NGS  ,0.30    ,2.00             , 
ASNA  ,ASCENA RETAIL GROUP INC  ,4.27      ,4738277   ,-6.15      ,NGM/NGS  ,--      ,1.00             , 
SNSS  ,SUNESIS PHARMACEUTICALS I,4.13      ,558873    ,-6.14      ,NCM      ,--      ,51.00            , 
SCM   ,STELLUS CAPITAL INVESTMEN,13.05     ,338062    ,-6.12      ,NYSE     ,1.36    ,87.00            , 
ESPR  ,ESPERION THERAPEUTICS INC,32.06     ,1933414   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
XOG   ,EXTRACTION OIL & GAS INC ,16.09     ,1015551   ,-5.63      ,NASDAQ   ,--      ,3.00             , 
ACH   ,ALUMINUM CORP CHINA LTD  ,11.94     ,207387    ,-5.61      ,NYSE     ,--      ,84.00            , 
TTI   ,TETRA TECHNOLOGIES INC/DE,3.8356    ,1510801   ,-5.53      ,NYSE     ,--      ,2.00             , 
BKS   ,BARNES & NOBLE INC       ,8.55      ,773814    ,-5.52      ,NYSE     ,0.60    ,2.00             , 
ZTO   ,ZTO EXPRESS (CAYM) INC -A,11.59     ,3340174   ,-5.23      ,NYSE     ,--      ,13.00            , 
UUUU  ,ENERGY FUELS INC         ,2.03      ,318966    ,-5.14      ,NYSE AMEX,--      ,--               , 
CJ    ,                         ,36.50     ,429577    ,-5.11      ,NYSE AMEX,--      ,--               , 
SPWH  ,SPORTSMANS WAREHOUSE HLDG,4.225     ,386966    ,-5.06      ,NASDAQ   ,--      ,--               , 
TEX   ,TEREX CORP               ,29.55     ,2087238   ,-4.98      ,NYSE     ,0.32    ,66.00            , 
BKE   ,BUCKLE INC               ,17.25     ,820466    ,-4.96      ,NYSE     ,1.75    ,3.00             , 
PER   ,SANDRIDGE PERMIAN TRUST  ,2.8995    ,607150    ,-4.93      ,NYSE     ,0.48    ,48.00            , 
GGB   ,GERDAU SA                ,3.655     ,9733688   ,-4.82      ,NYSE     ,0.02    ,80.00            , 
BGFV  ,BIG 5 SPORTING GOODS CORP,14.43     ,658587    ,-4.79      ,NGM/NGS  ,0.60    ,6.00             , 
HMY   ,HARMONY GOLD MINING CO LT,2.095     ,5003914   ,-4.77      ,NYSE     ,0.07    ,43.00            , 
CENX  ,CENTURY ALUMINUM CO      ,12.38     ,2671704   ,-4.73      ,NGM/NGS  ,--      ,99.00            , 
IPXL  ,IMPAX LABORATORIES INC   ,9.10      ,2152927   ,-4.71      ,NASDAQ   ,--      ,1.00             , 
USLV  ,                         ,13.27     ,1771918   ,-4.67      ,NASDAQ   ,--      ,--               , 
RRTS  ,ROADRUNNER TRANS SYSTEMS ,6.85      ,342636    ,-4.60      ,NYSE     ,--      ,2.00             , 
EXP   ,EAGLE MATERIALS INC      ,96.41     ,1615118   ,-4.54      ,NYSE     ,0.40    ,54.00            , 
IRET  ,INVESTORS REAL ESTATE TRU,5.72      ,931206    ,-4.51      ,NYSE     ,0.28    ,41.00            , 
FRED  ,FREDS INC                ,14.62     ,720546    ,-4.51      ,NGM/NGS  ,0.24    ,99.00            , 
ELP   ,COPEL-CIA PARANAENSE ENER,10.29     ,352639    ,-4.50      ,NYSE     ,0.36    ,97.00            , 
BW    ,BABCOCK & WILCOX ENTERPRI,9.56      ,768890    ,-4.50      ,NYSE     ,--      ,1.00             , 
