Symbol,% Change,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
TLRD  ,-32.22  ,TAILORED BRANDS INC      ,15.84     ,14486545  ,-4.17      ,NYSE     ,0.72    ,91.00            , 
VNET  ,-19.15  ,21VIANET GROUP INC       ,5.70      ,4295105   ,-13.64     ,NASDAQ   ,--      ,12.00            , 
FMSA  ,-16.74  ,FAIRMOUNT SANTROL HOLDING,7.21      ,20748102  ,-4.12      ,NYSE     ,--      ,71.00            , 
HCLP  ,-15.10  ,HI-CRUSH PARTNERS LP     ,14.65     ,4970482   ,-13.85     ,NYSE     ,--      ,19.00            , 
PRKR  ,-14.95  ,PARKERVISION INC         ,2.39      ,1889143   ,-13.09     ,NCM      ,--      ,4.00             , 
IGT   ,-14.86  ,INTL GAME TECHNOLOGY PLC ,23.55     ,3806764   ,-14.33     ,NYSE     ,0.80    ,78.00            , 
HZN   ,-14.75  ,HORIZON GLOBAL CORP      ,14.51     ,2067202   ,+2.83      ,NYSE     ,--      ,4.00             , 
TELL  ,-11.90  ,TELLURIAN INC            ,9.99      ,2242447   ,-10.80     ,NASDAQ   ,--      ,--               , 
MOMO  ,-11.58  ,MOMO INC  -ADR           ,30.23     ,18260446  ,-8.20      ,NASDAQ   ,--      ,95.00            , 
CVEO  ,-11.38  ,CIVEO CORP               ,2.96      ,2055664   ,-10.03     ,NYSE     ,--      ,--               , 
SND   ,-11.33  ,SMART SAND INC           ,13.31     ,1279581   ,-11.80     ,NASDAQ   ,--      ,94.00            , 
EMES  ,-10.47  ,EMERGE ENERGY SERVICES LP,13.72     ,1128163   ,-9.04      ,NYSE     ,--      ,97.00            , 
TCS   ,-9.82   ,CONTAINER STORE GROUP    ,3.95      ,354754    ,-9.20      ,NYSE     ,--      ,2.00             , 
PLPM  ,-9.48   ,PLANET PAYMENT INC       ,3.82      ,1065982   ,-9.48      ,NASDAQ   ,--      ,66.00            , 
SFS   ,-9.27   ,SMART & FINAL STORES INC ,11.25     ,1643188   ,-0.88      ,NYSE     ,--      ,23.00            , 
RATE  ,-8.68   ,BANKRATE INC             ,10.00     ,663301    ,+1.01      ,NYSE     ,--      ,34.00            , 
SSYS  ,-8.38   ,STRATASYS LTD            ,18.37     ,2115797   ,-0.70      ,NGM/NGS  ,--      ,65.00            , 
PIR   ,-8.19   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2156054   ,-7.42      ,NYSE     ,0.28    ,89.00            , 
ENT   ,-8.00   ,GLOBAL EAGLE ENTERTAINMEN,4.37      ,445924    ,-8.00      ,NASDAQ   ,--      ,2.00             , 
CSTM  ,-8.00   ,CONSTELLIUM NV           ,6.90      ,3116925   ,+5.34      ,NYSE     ,--      ,94.00            , 
GTT   ,-7.94   ,GTT COMMUNICATIONS INC   ,23.48     ,663308    ,-9.54      ,NYSE     ,--      ,68.00            , 
ERII  ,-7.91   ,ENERGY RECOVERY INC      ,7.92      ,1167417   ,-12.00     ,NASDAQ   ,--      ,6.00             , 
ACH   ,-7.76   ,ALUMINUM CORP CHINA LTD  ,11.95     ,207517    ,-5.57      ,NYSE     ,--      ,84.00            , 
MTL   ,-7.74   ,MECHEL PAO               ,4.41      ,279797    ,-3.08      ,NYSE     ,--      ,13.00            , 
MTW   ,-7.61   ,MANITOWOC CO             ,5.71      ,1902160   ,-7.31      ,NYSE     ,--      ,54.00            , 
BIOC  ,-7.49   ,BIOCEPT INC              ,2.10      ,1243844   ,-7.49      ,NASDAQ   ,--      ,--               , 
YRD   ,-7.31   ,YIRENDAI LTD -ADR        ,28.17     ,930953    ,-9.13      ,NYSE     ,--      ,29.00            , 
PES   ,-6.84   ,PIONEER ENERGY SERVICES C,4.425     ,962017    ,-3.80      ,NYSE     ,--      ,14.00            , 
PCOM  ,-6.58   ,POINTS INTERNATIONAL LTD ,7.10      ,335073    ,-0.42      ,NASDAQ   ,--      ,37.00            , 
BPT   ,-6.51   ,BP PRUDHOE BAY ROYALTY TR,15.47     ,561092    ,-3.89      ,NYSE     ,3.98    ,5.00             , 
SMRT  ,-6.21   ,STEIN MART INC           ,2.795     ,812808    ,-6.21      ,NGM/NGS  ,0.30    ,2.00             , 
MRWSY ,-6.16   ,MORRISON (WM) SUPERMARKET,14.02     ,314574    ,-0.28      ,OTC      ,0.35    ,67.00            , 
ASNA  ,-6.15   ,ASCENA RETAIL GROUP INC  ,4.27      ,4738377   ,-6.15      ,NGM/NGS  ,--      ,1.00             , 
SCM   ,-6.12   ,STELLUS CAPITAL INVESTMEN,13.05     ,338062    ,-6.12      ,NYSE     ,1.36    ,87.00            , 
HOS   ,-6.07   ,HORNBECK OFFSHORE SVCS IN,3.635     ,726217    ,-4.09      ,NYSE     ,--      ,2.00             , 
SCMP  ,-6.02   ,SUCAMPO PHARMACEUTICALS I,11.33     ,1145436   ,-3.21      ,NASDAQ   ,--      ,3.00             , 
SPWH  ,-5.90   ,SPORTSMANS WAREHOUSE HLDG,4.225     ,387366    ,-5.06      ,NASDAQ   ,--      ,--               , 
CIG   ,-5.82   ,CIA ENERGETICA DE MINAS  ,3.315     ,4930201   ,-4.19      ,NYSE     ,0.19    ,99.00            , 
ESPR  ,-5.76   ,ESPERION THERAPEUTICS INC,32.06     ,1933414   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
BAS   ,-5.71   ,BASIC ENERGY SERVICES INC,30.79     ,687683    ,-3.31      ,NYSE     ,--      ,--               , 
REI   ,-5.66   ,RING ENERGY INC          ,10.00     ,385329    ,-2.82      ,NYSE AMEX,--      ,9.00             , 
CENX  ,-5.64   ,CENTURY ALUMINUM CO      ,12.37     ,2678288   ,-4.77      ,NGM/NGS  ,--      ,99.00            , 
SBS   ,-5.61   ,CIA SANEAMENTO BASICO EST,9.76      ,1529112   ,-2.40      ,NYSE     ,0.07    ,96.00            , 
UUUU  ,-5.58   ,ENERGY FUELS INC         ,2.03      ,318966    ,-5.14      ,NYSE AMEX,--      ,--               , 
CWH   ,-5.55   ,CAMPING WORLD HOLDINGS IN,33.52     ,1123320   ,-0.42      ,NYSE     ,0.32    ,96.00            , 
CRR   ,-5.50   ,CARBO CERAMICS INC       ,11.25     ,762087    ,-3.72      ,NYSE     ,--      ,99.00            , 
DGAZ  ,-5.45   ,                         ,5.0299    ,25402857  ,-2.33      ,NYSE     ,--      ,--               , 
MYOS  ,-5.37   ,MYOS RENS TECHNOLOGY INC ,3.17      ,355542    ,-0.63      ,NASDAQ   ,--      ,--               , 
ELP   ,-5.16   ,COPEL-CIA PARANAENSE ENER,10.29     ,353315    ,-4.46      ,NYSE     ,0.36    ,97.00            , 
TEX   ,-5.11   ,TEREX CORP               ,29.55     ,2087338   ,-4.98      ,NYSE     ,0.32    ,66.00            , 
