Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange,Dividend,Relative Strength, 
APRI  ,APRICUS BIOSCIENCES INC  ,2.82      ,1274960   ,-15.82     ,NASDAQ  ,--      ,--               , 
IGT   ,INTL GAME TECHNOLOGY PLC ,23.56     ,3803349   ,-14.30     ,NYSE    ,0.80    ,78.00            , 
HCLP  ,HI-CRUSH PARTNERS LP     ,14.63     ,4965132   ,-13.97     ,NYSE    ,--      ,19.00            , 
VNET  ,21VIANET GROUP INC       ,5.70      ,4292505   ,-13.64     ,NASDAQ  ,--      ,12.00            , 
PRKR  ,PARKERVISION INC         ,2.3801    ,1888143   ,-13.45     ,NCM     ,--      ,4.00             , 
ERII  ,ENERGY RECOVERY INC      ,7.92      ,1165429   ,-12.00     ,NASDAQ  ,--      ,6.00             , 
SND   ,SMART SAND INC           ,13.32     ,1277881   ,-11.73     ,NASDAQ  ,--      ,94.00            , 
TELL  ,TELLURIAN INC            ,9.9767    ,2232372   ,-10.92     ,NASDAQ  ,--      ,--               , 
CVEO  ,CIVEO CORP               ,2.95      ,1985618   ,-10.33     ,NYSE    ,--      ,--               , 
GTT   ,GTT COMMUNICATIONS INC   ,23.45     ,662908    ,-9.63      ,NYSE    ,--      ,68.00            , 
PLPM  ,PLANET PAYMENT INC       ,3.82      ,1065782   ,-9.48      ,NASDAQ  ,--      ,66.00            , 
YRD   ,YIRENDAI LTD -ADR        ,28.15     ,930653    ,-9.19      ,NYSE    ,--      ,29.00            , 
EMES  ,EMERGE ENERGY SERVICES LP,13.70     ,1124163   ,-9.15      ,NYSE    ,--      ,97.00            , 
SMTC  ,SEMTECH CORP             ,33.95     ,2561438   ,-8.37      ,NCM     ,--      ,74.00            , 
MOMO  ,MOMO INC  -ADR           ,30.23     ,18246598  ,-8.21      ,NASDAQ  ,--      ,95.00            , 
ELF   ,E.L.F. BEAUTY INC        ,28.49     ,3854578   ,-8.20      ,NYSE    ,--      ,11.00            , 
BIOC  ,BIOCEPT INC              ,2.10      ,1243800   ,-7.49      ,NASDAQ  ,--      ,--               , 
PIR   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2144454   ,-7.42      ,NYSE    ,0.28    ,89.00            , 
