Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
ZTO   ,-5.23      ,11.59     ,-0.60 ,12.23 ,11.54 ,3327317   ,12.19     ,12.23 ,-4.92   ,6.40B     ,Industrials               ,NYSE    ,27.80    , 
CLNS  ,-3.86      ,12.95     ,-0.52 ,13.51 ,12.83 ,3802481   ,13.47     ,13.47 ,-3.86   ,7.58B     ,Real Estate               ,NYSE    ,23.31    , 
AMX   ,-3.27      ,12.72     ,-0.68 ,13.19 ,12.55 ,11525151  ,13.40     ,13.15 ,-5.07   ,30.52B    ,Telecommunication Services,NYSE    ,96.11    , 
VIPS  ,-2.88      ,12.80     ,-0.39 ,13.23 ,12.79 ,3817003   ,13.19     ,13.18 ,-2.96   ,6.69B     ,Consumer Discretionary    ,NYSE    ,25.96    , 
FAST  ,-2.78      ,49.99     ,-1.45 ,51.84 ,49.96 ,1846974   ,51.44     ,51.42 ,-2.82   ,14.88B    ,Industrials               ,NGM/NGS ,29.76    , 
PPG   ,-2.71      ,103.13    ,-3.70 ,107.32,101.42,5073676   ,106.83    ,106.00,-3.46   ,27.47B    ,Materials                 ,NYSE    ,32.56    , 
TSO   ,-2.67      ,81.01     ,-2.75 ,83.23 ,80.39 ,2287929   ,83.76     ,83.23 ,-3.28   ,9.80B     ,Energy                    ,NYSE    ,13.68    , 
AAL   ,-2.65      ,43.32     ,-1.57 ,44.93 ,43.25 ,7822724   ,44.89     ,44.50 ,-3.50   ,22.63B    ,Industrials               ,NASDAQ  ,9.33     , 
SBS   ,-2.65      ,9.735     ,-0.605,10.175,9.73  ,1515432   ,10.34     ,10.00 ,-5.85   ,7.19B     ,Utilities                 ,NYSE    ,10.44    , 
GGP   ,-2.62      ,23.01     ,-0.57 ,23.70 ,22.86 ,6126067   ,23.58     ,23.63 ,-2.42   ,20.87B    ,Real Estate               ,NYSE    ,17.60    , 
SPG   ,-2.59      ,170.13    ,-4.56 ,174.77,169.50,2923705   ,174.69    ,174.66,-2.61   ,55.87B    ,Real Estate               ,NYSE    ,29.76    , 
FLR   ,-2.50      ,53.00     ,-1.63 ,54.52 ,52.91 ,1268424   ,54.63     ,54.36 ,-2.98   ,7.61B     ,Industrials               ,NYSE    ,27.32    , 
THO   ,-2.45      ,99.01     ,-2.44 ,101.76,98.23 ,1272706   ,101.45    ,101.50,-2.40   ,5.33B     ,Consumer Discretionary    ,NYSE    ,17.53    , 
BSBR  ,-2.43      ,10.03     ,-0.34 ,10.28 ,10.03 ,1920519   ,10.37     ,10.28 ,-3.28   ,39.59B    ,Financials                ,NYSE    ,18.63    , 
KIM   ,-2.43      ,21.68     ,-0.56 ,22.39 ,21.59 ,4115234   ,22.24     ,22.22 ,-2.52   ,9.47B     ,Real Estate               ,NYSE    ,28.15    , 
IRM   ,-2.25      ,33.99     ,-0.77 ,34.86 ,33.94 ,1173932   ,34.76     ,34.77 ,-2.22   ,9.17B     ,Real Estate               ,NYSE    ,82.07    , 
REG   ,-2.20      ,63.19     ,-1.59 ,65.04 ,62.92 ,1244830   ,64.78     ,64.61 ,-2.45   ,11.02B    ,Real Estate               ,NYSE    ,45.62    , 
STX   ,-2.17      ,46.52     ,-1.59 ,47.80 ,45.58 ,5458504   ,48.11     ,47.55 ,-3.30   ,14.20B    ,Information Technology    ,NASDAQ  ,28.06    , 
SCCO  ,-2.03      ,35.21     ,-0.85 ,36.11 ,35.09 ,1168179   ,36.06     ,35.94 ,-2.36   ,27.87B    ,Materials                 ,NYSE    ,35.93    , 
HUN   ,-2.01      ,21.71     ,-0.44 ,22.18 ,21.61 ,1499755   ,22.14     ,22.15 ,-1.96   ,5.28B     ,Materials                 ,NYSE    ,16.24    , 
