Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm),Industry                                    ,Sub-Industry                        , 
SMTC  ,-8.50      ,33.90     ,-0.39 ,37.35 ,33.30 ,2560338  ,34.29     ,37.05 ,-1.14   ,2.25B     ,Information Technology,NCM     ,46.88    ,Semiconductors & Semiconductor Equipment    ,Semiconductors                      , 
LCII  ,-5.64      ,101.15    ,-6.50 ,107.55,100.85,175174   ,107.65    ,107.20,-6.04   ,2.66B     ,Consumer Discretionary,NYSE    ,20.70    ,Auto Components                             ,Auto Parts & Equipment              , 
CMD   ,-5.54      ,79.35     ,-4.88 ,84.00 ,78.57 ,187513   ,84.23     ,84.00 ,-5.80   ,3.51B     ,Health Care           ,NYSE    ,54.46    ,Health Care Equipment & Supplies            ,Health Care Equipment               , 
EXP   ,-4.71      ,96.24     ,-4.94 ,101.90,94.13 ,1612969  ,101.18    ,101.00,-4.88   ,4.90B     ,Materials             ,NYSE    ,24.47    ,Construction Materials                      ,Construction Materials              , 
WCC   ,-4.28      ,67.53     ,-3.06 ,70.90 ,67.35 ,381448   ,70.59     ,70.55 ,-4.34   ,3.44B     ,Industrials           ,NYSE    ,33.62    ,Trading Companies & Distributors            ,Trading Companies & Distributors    , 
JOBS  ,-3.96      ,34.41     ,-1.49 ,36.05 ,31.25 ,646899   ,35.90     ,35.83 ,-4.15   ,2.14B     ,Industrials           ,NGM/NGS ,24.61    ,Professional Services                       ,Human Resource & Employment Services, 
AKZOY ,-3.39      ,25.32     ,-0.27 ,26.21 ,24.89 ,258320   ,25.59     ,26.21 ,-1.05   ,17.16B    ,Materials             ,OTC     ,15.95    ,Chemicals                                   ,Specialty Chemicals                 , 
MOH   ,-3.35      ,47.04     ,-1.44 ,48.89 ,46.71 ,919763   ,48.48     ,48.67 ,-2.97   ,2.75B     ,Health Care           ,NYSE    ,52.70    ,Health Care Providers & Services            ,Managed Health Care                 , 
KLXI  ,-3.02      ,45.61     ,-1.58 ,47.73 ,45.29 ,537866   ,47.19     ,47.03 ,-3.35   ,2.48B     ,Industrials           ,NASDAQ  ,98.31    ,Aerospace & Defense                         ,Aerospace & Defense                 , 
HRB   ,-2.92      ,23.44     ,-0.50 ,24.25 ,23.31 ,4414701  ,23.94     ,24.14 ,-2.11   ,4.96B     ,Consumer Discretionary,NYSE    ,15.37    ,Diversified Consumer Services               ,Specialized Consumer Services       , 
FAST  ,-2.78      ,49.99     ,-1.45 ,51.84 ,49.96 ,1848717  ,51.44     ,51.42 ,-2.82   ,14.88B    ,Industrials           ,NGM/NGS ,29.76    ,Trading Companies & Distributors            ,Trading Companies & Distributors    , 
EXR   ,-2.77      ,76.52     ,-2.10 ,78.98 ,76.35 ,737023   ,78.62     ,78.70 ,-2.67   ,9.90B     ,Real Estate           ,NYSE    ,27.05    ,Equity Real Estate Investment Trusts (REITs),Specialized REITs                   , 
AIT   ,-2.77      ,59.75     ,-1.85 ,61.70 ,59.35 ,158011   ,61.60     ,61.45 ,-3.00   ,2.40B     ,Industrials           ,NYSE    ,73.91    ,Trading Companies & Distributors            ,Trading Companies & Distributors    , 
GWW   ,-2.76      ,243.11    ,-7.04 ,251.07,242.81,375242   ,250.15    ,250.00,-2.81   ,14.72B    ,Industrials           ,NYSE    ,25.34    ,Trading Companies & Distributors            ,Trading Companies & Distributors    , 
WNR   ,-2.73      ,34.96     ,-1.19 ,36.04 ,34.27 ,1751412  ,36.15     ,35.94 ,-3.29   ,3.93B     ,Energy                ,NYSE    ,29.15    ,Oil Gas & Consumable Fuels                  ,Oil & Gas Refining & Marketing      , 
PPG   ,-2.70      ,103.14    ,-3.69 ,107.32,101.42,5074308  ,106.83    ,106.00,-3.45   ,27.47B    ,Materials             ,NYSE    ,32.56    ,Chemicals                                   ,Specialty Chemicals                 , 
TSO   ,-2.67      ,81.01     ,-2.75 ,83.23 ,80.39 ,2288663  ,83.76     ,83.23 ,-3.28   ,9.80B     ,Energy                ,NYSE    ,13.68    ,Oil Gas & Consumable Fuels                  ,Oil & Gas Refining & Marketing      , 
CXP   ,-2.65      ,22.05     ,-0.59 ,22.80 ,21.88 ,379292   ,22.64     ,22.65 ,-2.61   ,2.77B     ,Real Estate           ,NYSE    ,33.29    ,Equity Real Estate Investment Trusts (REITs),Office REITs                        , 
GLPI  ,-2.64      ,30.40     ,-1.42 ,31.30 ,30.24 ,699141   ,31.82     ,31.22 ,-4.48   ,6.61B     ,Real Estate           ,NASDAQ  ,19.87    ,Equity Real Estate Investment Trusts (REITs),Specialized REITs                   , 
AAL   ,-2.63      ,43.33     ,-1.56 ,44.93 ,43.25 ,7826250  ,44.89     ,44.50 ,-3.48   ,22.63B    ,Industrials           ,NASDAQ  ,9.33     ,Airlines                                    ,Airlines                            , 
